,pd10,pd15,pd20,pd25,pd30,pd35,pd40,pd45,pd50,pd55,pd60,pd65,pd70,pd75,pd80,pd85
0.5,462.11025152386395,631.8204948986665,771.4616882376434,883.6124293528575,981.7823659725756,1060.0799739076351,1163.6140479133999,1258.1853458095195,1324.7384488137895,1411.315365867365,1502.1141966978396,1587.2659269546955,1674.067525404255,1752.864203195395,1802.713897257855,1928.5689514869
1,487.890518643948,645.685756721244,777.021799571481,892.319316207675,998.377673568044,1075.0299527175112,1184.736188764572,1261.2197960751541,1341.382925744202,1434.9114593057668,1511.550162494299,1608.43954508816,1689.4341984473901,1763.500148287817,1822.461802820577,1928.5689514869
1.5,497.3503883397355,658.4417371959845,783.3589701953446,901.5523666566789,1006.1007956554225,1093.0600936876926,1189.664150404529,1280.6493909537676,1348.93377690304,1449.8035473351415,1523.5366766606955,1613.844533988445,1695.249337332295,1768.017490632425,1847.9101950685806,1928.5689514869
2,501.58090493536804,663.036669285564,790.72470501816,916.821836411396,1012.396386024882,1105.378637270662,1199.023595038262,1288.715046192472,1372.34093191296,1458.603319592382,1534.6926843900499,1622.2915590023401,1701.3899392734959,1777.93789464296,1859.8004905322,2018.2377497169
2.5,506.12203273456,669.8208344576201,798.5186757150276,920.4209707832225,1020.294694991075,1115.6488030220623,1207.1169403980675,1298.80083598285,1378.4482913566999,1464.7398352925325,1538.7975678914502,1627.3098840188675,1708.215806517375,1786.799836096825,1863.5137169072,2025.8030691668998
5,529.824807183365,683.4641659110399,818.13356363859,937.88182561177,1043.307793602575,1137.195890643495,1226.6456045004,1321.5227176347148,1411.0982949055249,1485.558074251865,1567.3365116589998,1654.065149494045,1741.7649204756,1817.46135958085,1889.9755502237851,2053.2402173969
10,550.8119869710299,715.50024958186,845.78627608835,962.63649231266,1073.2520054993702,1161.24470579427,1257.2478660028,1346.65225844724,1446.78998731568,1521.68205370112,1600.27250781356,1688.6213071481302,1770.21285958,1844.02139596747,1957.4264746160002,2069.0372334069
25,588.65291546045,756.891547797375,890.1073806598499,1011.2701890197,1120.65282205975,1221.7002039833,1319.534049266175,1407.667790730025,1503.544456851125,1580.8975981848,1661.38012170695,1759.1653212739,1844.514907842875,1921.75267332365,1997.7063241754,2077.2472752669
75,677.996967444,859.694219445825,1009.458755955425,1142.50615383,1255.747701395025,1371.091879365125,1469.4934447848,1567.38473092055,1650.7288560389002,1724.25961492685,1796.542237766025,1871.331796126125,1938.554138770475,1995.677186254625,2043.8369162516249,2085.8288461229
90,727.12925067277,916.9942514182801,1085.30691235597,1210.5561963166401,1329.53753746501,1423.33427938712,1525.49044682376,1616.82404764638,1700.23287107926,1773.6939528739902,1838.23643323848,1905.09250875794,1962.8892005575299,2011.9407928267901,2054.3656013290997,2088.6875344399
97.5,786.7136460639974,977.8518448916125,1148.956189165735,1270.46711126476,1388.1511140321074,1491.2978246747475,1577.8132740365274,1661.804985790345,1747.4752791413,1813.6475548826875,1871.98948963007,1930.7327174822574,1982.286528901245,2026.3021655541752,2063.6977022289498,2090.0255744672
98,791.129614275264,983.8058542099,1153.382033733004,1276.715631435998,1394.1042643840601,1496.2727178578161,1588.5947703493719,1666.521782879222,1756.0260948794498,1815.361671039386,1877.1598222999062,1933.214461780658,1983.453673847706,2028.29944658446,2064.711739674024,2090.0255744672
98.5,797.0794264498245,988.2752772075601,1161.570476471792,1280.5592996843964,1405.584153875609,1502.788319000363,1600.188191795492,1676.9670646156223,1765.1689102887728,1820.8363671336485,1880.4781447633516,1936.1214169231187,1986.59723248205,2029.70512761566,2065.257239355975,2090.0255744672
99,804.63934156138,992.687670408983,1165.569267573394,1285.6115667351871,1416.3015939771349,1511.0519143373322,1608.7749695876971,1693.405443683222,1768.198704163744,1831.988505666046,1887.0828486617302,1941.153812797835,1993.6857948298998,2031.711090092427,2066.244071766587,2090.0255744672
99.5,812.8296131785445,1017.295032812866,1186.5725242092333,1290.242459973342,1425.1629955710175,1514.4988329965224,1615.085359940428,1710.1105628099556,1790.9174871361708,1838.3039840691736,1901.072446407879,1946.48846376087,2000.8469660851185,2034.4732308938005,2068.640018055455,2090.0255744672
Median,630.11324898365,802.6570520649,947.6372808323999,1075.9482440898,1181.9648174598,1293.8782638294,1391.12343863675,1491.92506874305,1582.5610330739,1658.9035226024498,1735.47461792285,1826.36855083085,1901.9241651069,1965.7526325058002,2028.8415618249,2082.9406833289
Mean,634.9964467494729,810.4997553147585,955.1552855143118,1080.3760270071618,1191.6138793617365,1294.6114829849987,1392.1568484149798,1486.931611377477,1576.3927405921495,1650.6907483507464,1726.7279199547525,1809.6598948954297,1883.9700181642993,1947.9910138005348,2012.2621821531784,2077.2199415754803
