,mpd10,mpd15,mpd20,mpd25,mpd30,mpd35,mpd40,mpd45,mpd50,mpd55,mpd60,mpd65,mpd70,mpd75
0.5,116.53051977872494,125.45373872772385,130.51123804726492,134.09017922930784,135.11529118012174,135.88721713617403,136.94662426013332,137.4282181474736,138.32006856872388,138.50573128494068,139.21916976707303,140.00878544410887,140.05359103040195,140.73445452959078
1,122.11948674939572,126.47385669832137,132.5075499988045,134.83407664315448,135.8297973769637,136.2760978806095,137.45499925135687,137.7792088955499,138.54429903926876,139.19713176621804,139.3747725257228,140.11310821625125,140.12566283390512,140.95000111779802
1.5,123.364612664043,129.60007640149058,133.8205828989943,135.36291589479518,136.20515538170363,136.75294583522617,137.71050856352775,138.17491129002917,138.83687767580997,139.5442820646405,139.57712741306815,140.1546189764834,140.28597730811484,141.07126358289648
2,124.56355173495054,129.98741521846992,134.01042470986548,135.8504751819152,136.6908176487815,137.0529160259087,137.9655776302298,138.42565051030286,139.05811594201438,139.6558196626107,139.82541266566437,140.3054778050704,140.51334419556596,141.11595700016412
2.5,125.06514766701301,130.55609881492333,134.33086542304812,136.29929045082318,136.76287483479038,137.20069670827417,138.27438766500396,138.54493882839887,139.2128306081089,139.78247442825705,140.08031870751716,140.36337381590312,140.6946645124805,141.17496671553312
5,128.6397218642355,133.3053662354441,135.71264789793426,137.40447962208896,137.65694129060927,138.4961117944322,139.0176264967687,139.1791068069769,139.78292192890646,140.28980513722962,140.57377882107446,140.9087538136977,140.98935957980717,144.56004719286955
10,133.0310219093669,135.9203131803104,137.3376858307473,138.519054283798,138.8545277316918,139.4045167511396,139.8464884420965,140.1269522136829,140.5167424415161,140.8115559031182,141.1039771755348,141.4671879138849,141.63627399592102,145.40745203885018
25,138.1842239845495,139.080516696641,140.087722052964,140.50755514258825,140.7678821113715,141.08467155538523,141.2938801920315,141.69436504164676,142.00734104121526,142.01735048913525,143.5389763547455,145.8494632381225,145.78667733362175,145.79888808209074
75,147.6921892706815,147.342442431852,147.982904710422,153.85452621802975,152.77958189472702,151.54787970492148,150.53936678097625,149.6619036401185,148.98662106373826,148.334179503854,147.733959479504,147.27322673552075,146.8046015408855,146.3816064704365
90,175.1756241450283,166.3160340891714,160.6140979184807,157.4121323948435,155.23823782104222,153.1669461970381,151.9121458455307,150.7340390621083,149.93552191330213,149.0598419959423,148.3453834835585,147.75558179144429,147.15192634264181,146.5609788972138
97.5,182.3105313757705,169.98849579965452,163.71974636038485,159.43721838808577,156.82717134513587,154.71749597682788,152.93572670522687,151.83336166184077,150.64241845711484,149.7235453552387,148.89373688007228,148.17659788150243,147.47123963765603,146.73585318562283
98,182.97640883987043,170.91636184286244,164.23896511550828,159.61387696063568,156.96660541129933,154.82548955845303,153.01917370128862,151.95903146121645,150.70025077852532,149.8084225156151,148.9430516862308,148.22995676804246,147.51619672464386,146.74361052587125
98.5,183.58293097613722,171.36409084657333,164.62324814227816,159.96128136840062,157.08275250704037,155.0660139731669,153.0779717100642,152.0465031844483,150.79333244164377,149.89770585151146,149.10620150395656,148.30636579335703,147.58342388480818,146.76043256737776
99,184.75634806283165,172.0740818509422,164.92052051561123,160.65805414724358,157.25815926125622,155.32545550428767,153.39140169290758,152.26636261718681,150.90977894454753,150.02581142238475,149.2390405648802,148.4790206719013,147.60073681874573,146.76528164391698
99.5,185.79073772105946,172.59070001107858,165.48054264804847,161.2352079412589,157.6327844945385,155.57298044981735,153.42051483053586,152.44503767793503,151.04746507376203,150.17866376158304,149.5043437612618,148.63059310390275,147.66110056851028,146.78407131171312
Median,143.3598707811155,143.239953945867,142.926047406833,143.347623456777,143.3354913808885,143.7887902601385,144.508612136357,147.8880203023065,147.63656205912048,147.1787235243805,146.8884470260455,146.7091462988,146.364089993172,146.10244218018101
Mean,145.8423100987674,146.0370359960829,145.74621962609638,146.13417776505236,145.92838471052696,145.9114523965218,145.7592491686006,145.95345117004112,145.98402431421127,145.75148664439465,145.81195908527909,145.91998935544277,145.76466349531603,145.84704067193735
