,pd10,pd15,pd20,pd25,pd30,pd35,pd40,pd45,pd50,pd55,pd60,pd65,pd70,pd75
0.5,458.2534433945465,602.2620194962944,723.0007347922304,816.600391073313,933.413369105787,1058.3113732408422,1140.7244749981035,1229.8988059708975,1329.7342443127775,1423.79410159797,1531.6128405307395,1619.5602771271801,1711.83412125478,1829.298744714745
1,479.147524164871,623.118910526829,753.363313149423,833.750009606808,951.5197157820969,1066.120853562899,1148.171121475861,1253.233785907894,1367.034327211194,1439.958100970329,1539.9615907335628,1636.934102593091,1727.79121153776,1839.93484885113
1.5,483.4249786486115,627.8594360863809,762.4622125956446,854.1198567069321,964.722886774501,1075.742027909135,1170.6940820957254,1272.9079790721084,1374.959605683512,1457.3184585776776,1549.975233668899,1653.5552733368536,1744.258413438725,1843.7589344851901
2,490.308416946744,633.312227999488,770.561707471452,875.6349455175119,968.0708904975801,1094.0129233760622,1177.1514031714742,1280.0912961136642,1381.85945772436,1462.9471768108758,1555.927837982078,1657.1530665675,1750.8620202079,1846.65348229344
2.5,495.47929536353,640.3392094626125,773.5905794468125,885.7096696103775,970.89543621483,1099.6276668975001,1183.643480108045,1289.7890514407625,1387.3271303108377,1477.5578329059974,1561.5211121023276,1662.9724553034798,1756.616692589925,1852.184955477525
5,514.09588695611,654.440530757855,790.608388534485,910.4616465292199,1001.9271145350999,1119.255102830815,1209.42691938859,1322.44437584738,1419.154105675745,1502.57208681585,1597.919280838415,1687.713618492845,1781.01292172007,1898.44215025365
10,535.91292925459,682.54050131879,816.674129954,938.30602148352,1039.20818635743,1151.79847193121,1251.85347654383,1362.3069991239502,1451.1460604149102,1536.4900079518,1630.39812649149,1723.4171857786,1808.7425005412501,1941.7947862624
25,574.2212672233,730.0965399787999,865.0741981809499,994.0788985341251,1099.3614238956502,1208.5758534782499,1314.022062833875,1415.67528702425,1511.523512167425,1600.828926406525,1691.93305343905,1788.546793737325,1885.45423950795,1977.6401852958
75,664.2387564606249,836.261381164,993.349658908425,1132.065763712425,1243.2581016425752,1356.790110718225,1471.050239836775,1566.060554892575,1652.835060654825,1738.808275436375,1811.9679680684499,1888.98696992395,1954.352079944,2009.925023938875
90,721.0660785832,902.6756327174201,1059.00560112845,1188.34864485617,1308.68921459295,1420.63329311145,1532.99051401445,1616.88724342813,1694.7340634396999,1772.97235981028,1846.34470840617,1913.64513127755,1968.95307956919,2018.858961831
97.5,778.9326481896,967.75702213757,1123.5857240636299,1246.2558624993549,1372.5446873208375,1491.1700250461874,1577.6603994875975,1671.8417452155124,1745.14604155395,1810.27310888455,1874.5282855209973,1931.697381041185,1983.5139158137276,2024.3492982229875
98,787.6447709437,973.5493730345601,1134.5236710162478,1249.562867101702,1375.358806806678,1494.43862405992,1581.882390881864,1677.834505295456,1749.924504690422,1816.2197128998898,1877.32628913597,1932.8239453914518,1984.7634756590999,2025.253562936916
98.5,795.59178921308,977.7936185549704,1146.4556814993066,1257.747216447879,1379.054161942071,1507.273840006895,1587.1709704847415,1686.099773811131,1754.963249833165,1823.5823873988606,1885.034517809865,1936.6112402681424,1987.453604126161,2026.66340950575
99,808.1820971105159,984.308414431118,1160.197149522389,1262.813961115901,1391.413981529643,1516.1940640187288,1596.3007877876569,1690.752582032979,1758.5605175181302,1827.488298617611,1892.1774797598998,1939.122533003001,1991.897352137463,2027.4398874688711
99.5,826.3060028106395,998.6596182377405,1175.1533449492135,1294.855535416047,1409.3750600235944,1531.9671140843866,1612.074766595345,1706.097137837078,1774.4397105076393,1835.1751949228326,1896.850920118567,1949.30850483688,1994.3402275274825,2028.2487657329725
Median,617.6942914111501,781.39386889415,923.35061892545,1060.1036852340499,1165.59954771,1281.73683747805,1394.4535198308,1495.00069928405,1589.64715200325,1677.0325850708,1763.97983486965,1847.71748689995,1928.06235638365,1998.6778778558
Mean,622.8146766259244,786.3018283735628,932.1661611997739,1062.1635729426564,1170.8549065727595,1284.9754541964041,1392.3386385856393,1490.7548243957372,1579.8976826550984,1665.3941127194114,1748.8219958606069,1832.1277496572202,1910.0930224633541,1986.0295107177622
