"","name"
"1","Odocoileus_virginianus"
"2","Sorex_vagrans"
"3","Neotoma_fuscipes"
"4","Microdipodops_megacephalus"
"5","Urocyon_cinereoargenteus"
"6","Sorex_preblei"
"7","Mustela_frenata"
"8","Ursus_arctos"
"9","Onychomys_leucogaster"
"10","Taxidea_taxus"
"11","Lepus_townsendii"
"12","Antilocapra_americana"
"13","Lasionycteris_noctivagans"
"14","Myotis_lucifugus"
"15","Myotis_californicus"
"16","Sylvilagus_nuttallii"
"17","Dipodomys_californicus"
"18","Ursus_americanus"
"19","Myotis_melanorhinus"
"20","Neotoma_cinerea"
"21","Ochotona_princeps"
"22","Ammospermophilus_leucurus"
"23","Reithrodontomys_megalotis"
"24","Lepus_californicus"
"25","Dipodomys_microps"
"26","Sorex_trowbridgii"
"27","Thomomys_talpoides"
"28","Peromyscus_maniculatus"
"29","Corynorhinus_townsendii"
"30","Chaetodipus_formosus"
"31","Antrozous_pallidus"
"32","Urocitellus_beldingi"
"33","Otospermophilus_beecheyi"
"34","Marmota_flaviventris"
"35","Perognathus_longimembris"
"36","Vulpes_macrotis"
"37","Microtus_longicaudus"
"38","Myotis_evotis"
"39","Dipodomys_deserti"
"40","Sorex_palustris"
"41","Eptesicus_fuscus"
"42","Mustela_erminea"
"43","Microtus_montanus"
"44","Urocitellus_canus"
"45","Lasiurus_cinereus"
"46","Peromyscus_crinitus"
"47","Odocoileus_hemionus"
"48","Thomomys_townsendii"
"49","Procyon_lotor"
"50","Scapanus_latimanus"
"51","Lynx_rufus"
"52","Euderma_maculatum"
"53","Neotoma_lepida"
"54","Zapus_princeps"
"55","Tamiasciurus_douglasii"
"56","Callospermophilus_lateralis"
"57","Myotis_thysanodes"
"58","Tadarida_brasiliensis"
"59","Canis_latrans"
"60","Thomomys_bottae"
"61","Parastrellus_hesperus"
"62","Glaucomys_sabrinus"
"63","Mephitis_mephitis"
"64","Peromyscus_boylii"
"65","Peromyscus_truei"
"66","Martes_americana"
"67","Mus_musculus"
"68","Spilogale_gracilis"
"69","Myotis_volans"
"70","Myotis_yumanensis"
"71","Erethizon_dorsatum"
"72","Urocitellus_mollis"
"73","Dipodomys_ordii"
"74","Puma_concolor"
"75","Perognathus_parvus"
