"","x"
"1","Xerospermophilus tereticaudus"
"2","Urocyon cinereoargenteus"
"3","Mustela frenata"
"4","Ursus arctos"
"5","Taxidea taxus"
"6","Myotis californicus"
"7","Macrotus californicus"
"8","Ursus americanus"
"9","Chaetodipus fallax"
"10","Nyctinomops femorosaccus"
"11","Natalus mexicanus"
"12","Myotis melanorhinus"
"13","Eumops perotis"
"14","Ammospermophilus leucurus"
"15","Reithrodontomys megalotis"
"16","Neotoma macrotis"
"17","Chaetodipus penicillatus"
"18","Lepus californicus"
"19","Ovis canadensis"
"20","Sorex trowbridgii"
"21","Sorex monticola"
"22","Peromyscus maniculatus"
"23","Corynorhinus townsendii"
"24","Chaetodipus formosus"
"25","Peromyscus californicus"
"26","Antrozous pallidus"
"27","Dipodomys simulans"
"28","Neotamias merriami"
"29","Didelphis virginiana"
"30","Neotoma bryanti"
"31","Otospermophilus beecheyi"
"32","Sciurus griseus"
"33","Dipodomys panamintinus"
"34","Perognathus longimembris"
"35","Nyctinomops macrotis"
"36","Dipodomys agilis"
"37","Dipodomys merriami"
"38","Vulpes macrotis"
"39","Microtus longicaudus"
"40","Vulpes vulpes"
"41","Onychomys torridus"
"42","Myotis evotis"
"43","Eptesicus fuscus"
"44","Microtus californicus"
"45","Sciurus niger"
"46","Lasiurus blossevillii"
"47","Lasiurus xanthinus"
"48","Perognathus alticola"
"49","Lasiurus cinereus"
"50","Sylvilagus audubonii"
"51","Odocoileus hemionus"
"52","Procyon lotor"
"53","Scapanus latimanus"
"54","Chaetodipus californicus"
"55","Lynx rufus"
"56","Dipodomys stephensi"
"57","Peromyscus fraterculus"
"58","Neotoma lepida"
"59","Myotis thysanodes"
"60","Tadarida brasiliensis"
"61","Canis latrans"
"62","Thomomys bottae"
"63","Parastrellus hesperus"
"64","Urocyon littoralis"
"65","Bassariscus astutus"
"66","Mephitis mephitis"
"67","Peromyscus boylii"
"68","Peromyscus truei"
"69","Sorex ornatus"
"70","Mus musculus"
"71","Choeronycteris mexicana"
"72","Spilogale gracilis"
"73","Notiosorex crawfordi"
"74","Myotis volans"
"75","Myotis yumanensis"
"76","Erethizon dorsatum"
"77","Sylvilagus bachmani"
"78","Puma concolor"
