,mpd10,mpd15,mpd20,mpd25,mpd30,mpd35,mpd40,mpd45,mpd50,mpd55,mpd60,mpd65,mpd70
0.5,122.94756899031707,125.92124610678607,132.091215055834,135.04092272842064,136.40484163710858,137.3322771130775,138.58911839640666,139.02801188224103,139.37297973124063,139.91272486642666,140.70655251386117,141.05751656908382,141.70697067680553
1,124.40473516978041,131.18740981555027,133.38508993039804,135.7079172081598,137.30899180436555,137.65599125140238,139.19707608970197,139.18155935230595,139.76871114807184,140.08140924150462,140.78875087986393,141.25705410254855,141.754910784622
1.5,127.4415914783962,132.00343433982428,134.36963854382498,136.30521229645936,137.7290455346091,138.15456204533743,139.30980857989644,139.5466584614031,139.9063029132655,140.4377493619551,141.0990511353047,141.3790864209489,141.9333455839424
2,128.7185540702614,132.474381157204,134.78204895098554,136.73757864297087,137.94344756594725,138.44827339392089,139.55777344363747,139.83180628231628,140.2977126165004,140.65070902046025,141.24973427302848,141.513145635844,141.9842138956885
2.5,129.23294662104342,132.96986971122175,135.175017460155,136.86205634909578,138.1533127043689,138.7693545287077,139.75362661944956,139.94942789775385,140.51514200163052,140.8492647472167,141.3431070316619,141.6952419926352,142.08385779229687
5,132.35712645045135,136.0671411510038,136.56500908074156,138.1788242647448,138.72210042258925,139.4271560861141,140.31680703677503,140.50208434044376,141.04291680631454,141.26887655910406,141.75106014344004,141.9920248212104,146.25279733105288
10,134.96658629938761,137.4581803902712,138.515787238374,139.46698391241722,139.68330440143743,140.3149993650568,141.0016448464596,141.0812533505263,141.5634109928466,141.8619396780534,142.4047830441961,142.7036998401314,146.6411226140816
25,139.54148917747324,140.50290860306677,140.79785301611975,141.46873681519327,141.64511654104302,142.135610079279,142.39929813451124,142.56694245531824,143.1186973609635,146.02753007188352,147.16179702525426,147.09695197517027,146.96534532398724
75,148.93343439666722,148.3006399205685,156.3832939705245,155.26020177696975,153.7427471980745,152.42973565456148,151.4026357406545,150.50895204137075,149.699045007158,149.022860718863,148.520055204679,147.98841139512248,147.47013436252877
90,176.6821399199794,167.4448938610353,161.3475494943934,158.0093000794746,155.68090881971108,154.0558975791696,152.45148001436502,151.3951991145556,150.4654881808953,149.594515617995,148.9422878045581,148.3316881141611,147.593775672849
97.5,184.2893621479631,170.32386641837428,164.2975166208331,159.66903642271117,157.2633081333878,155.13033989891912,153.61433695533475,152.25509299720656,151.08782274038654,150.19505363466985,149.41251949858383,148.59662349911,147.6854981884875
98,184.78174348127664,170.5187480177807,164.54933286165615,159.86510341553523,157.45470240789666,155.35252866739089,153.7340870985946,152.2849755050242,151.1576372788178,150.2486384449054,149.44646183802328,148.63975929665068,147.70693051868776
98.5,185.37922321686406,170.81592578037328,164.7865998186336,160.2079083343647,157.68976413519985,155.59785065660816,153.82353350588153,152.55329161868426,151.3194709104938,150.2772659301969,149.5408716376137,148.66061696264757,147.70937034079768
99,186.3052158167232,171.28973703151593,165.16392392565876,160.82877762917303,157.88863252955053,155.8268030573224,153.9774165666436,152.69011798978428,151.42952774454528,150.44520495818767,149.55890359286846,148.6980432949792,147.72180096895772
99.5,187.2746045921822,171.93945511694162,165.79185861469443,161.17888675784812,158.2949721961324,155.996110866414,154.3537843274709,152.89123053507032,151.61416100858634,150.70497623365236,149.6228212373164,148.73256683282284,147.7321392280942
Median,144.303397404563,143.9712581068905,143.7944323039485,143.773952410907,144.1327234481655,147.06025751846948,149.5986036500235,148.8064027850435,148.714578164739,148.2068535156265,147.9697300108265,147.57672220114648,147.24382213878
Mean,147.5925130205534,147.45102135198604,147.02896101487352,146.88730897948588,146.90207590729057,147.16262710820686,147.23138764156127,146.94682066510313,147.0500474731602,146.96447025252237,147.157651995407,147.00583480979827,146.98359687969815
