,pd10,pd15,pd20,pd25,pd30,pd35,pd40,pd45,pd50,pd55,pd60,pd65,pd70
0.5,454.5648748456045,604.3098750242165,735.75356080234,859.8473162269864,979.6148217936241,1081.954665374566,1184.0287147351105,1294.64254200627,1393.98161403793,1485.43275738176,1576.189910918496,1666.8614772299206,1776.613192701235
1,471.412125089872,629.26160272434,761.057204944126,870.89948945421,1001.10158784447,1106.856231721807,1215.2938813130982,1312.099698845291,1404.950967919085,1497.118545906829,1592.16841414349,1680.71046527587,1789.4467280503
1.5,487.8227629732005,636.291218484345,763.9027350020936,879.0282374310631,1010.0727026571379,1116.07624499442,1227.8846658487835,1335.542865842345,1419.8410981541206,1507.2798905232316,1600.74925709064,1691.7527848068,1800.57731340409
2,489.070452267318,650.1636011181639,777.209863362162,885.772235098444,1017.038539487982,1122.2976103440399,1235.41296370491,1342.866483837678,1421.55256700148,1517.765230856738,1610.1789528403378,1704.946944461758,1806.27778263936
2.5,493.2973664120475,653.8157094478275,783.5413100121125,897.3221444921,1024.9201033869,1130.6601568959275,1237.426447246295,1345.2503379381499,1424.6556079315226,1523.152956037675,1616.06923481905,1713.060113277475,1810.6428422496
5,514.6907057965,681.7195764005751,808.0331930787,925.105448397055,1053.2708504234,1160.66872722995,1267.03350138684,1371.424027197195,1448.000341835015,1552.847599501695,1643.728810579945,1738.0687609086,1874.0135377684999
10,537.9576267956201,707.67814263526,836.3647377566899,961.3803926887,1078.6346090013799,1185.56230817039,1290.94541353909,1394.84250159134,1484.9068743875998,1586.7409579184,1680.68491554111,1772.6056303242,1900.6149668222
25,579.9552231753249,748.520305030675,886.54448274265,1010.33760189845,1132.8704030994,1245.686444107875,1347.771636815675,1450.945457387475,1545.5871121166,1647.2850968175248,1753.899265802075,1846.988619426,1942.10954301725
75,670.0433380645,855.3817472175001,1008.437912579,1155.542454401575,1274.6454709667,1402.250158097175,1503.450718585,1603.9842005536,1682.9289783905751,1762.4334215230251,1844.275606811575,1910.9713053004,1966.1308770425
90,716.44896157609,917.34521172722,1074.14748367963,1213.59424106815,1343.40155516419,1458.64905555829,1560.43821234101,1651.396496439,1727.3333608531002,1800.1290848439,1866.4759473532001,1925.1976291899,1971.64945416561
97.5,794.513823490275,984.4644240054275,1136.3253351891974,1278.5589435983575,1390.0586765571975,1508.0936247628952,1612.0162263344,1693.6137324581075,1763.9189538850524,1833.334566303825,1881.9260312617998,1938.0162198854725,1977.2130029514474
98,806.4608642302,991.85209029476,1141.9967272121119,1287.45101506772,1397.1814347943,1514.781274569858,1613.355995045956,1697.673840461116,1769.347733643948,1835.522774734082,1883.270980004478,1939.183784996602,1977.92754496228
98.5,812.5289474988205,1001.8708663207999,1159.4175686002845,1299.7587053186899,1406.8924533479374,1523.645222785746,1622.2667844039386,1703.1119009376428,1774.320274065175,1839.044501439688,1885.528274201515,1940.3932007490698,1978.65934700763
99,824.955564664733,1021.2109609435049,1179.234215677611,1315.273403365449,1424.39797614747,1538.296086558961,1630.0537416115599,1708.924066258726,1777.194617443359,1843.99042984455,1889.95496070299,1943.12929451006,1979.5983427619199
99.5,842.0479245400995,1038.031308899386,1191.9579066388046,1331.0365563401301,1461.0565639877225,1550.2536880593075,1636.7427003928178,1719.0636115639124,1781.6231643407205,1846.542525891115,1893.5993940604803,1949.0851621223098,1981.4612051628299
Median,622.6637345029501,798.5530847412,940.6041802243001,1072.7980494821,1194.2975479902,1326.1306318033999,1437.0092058985501,1533.53496376785,1620.9939762991,1719.72772050305,1806.91241066355,1886.6600952515,1956.4418606055
Mean,627.2862565940686,805.139302052414,948.6588722668595,1081.7449875977543,1204.0330621561393,1323.6605461530205,1428.309082254488,1526.0747070217722,1611.3321624783628,1703.6327353890329,1790.3548207247275,1869.1575625847336,1944.6051843557734
