,mntd10,mntd15,mntd20,mntd25,mntd30,mntd35,mntd40,mntd45,mntd50,mntd55,mntd60,mntd65,mntd70,mntd75,mntd80,mntd85,mntd90,mntd95,mntd100,mntd105,mntd110,mntd115,mntd120,mntd125,mntd130,mntd135,mntd140,mntd145,mntd150,mntd155,mntd160,mntd165,mntd170,mntd175,mntd180,mntd185,mntd190,mntd195,mntd200,mntd205,mntd210,mntd215,mntd220,mntd225,mntd230,mntd235,mntd240,mntd245,mntd250,mntd255,mntd260,mntd265,mntd270,mntd275,mntd280,mntd285,mntd290,mntd295,mntd300,mntd305,mntd310,mntd315,mntd320,mntd325,mntd330,mntd335,mntd340,mntd345,mntd350,mntd355,mntd360,mntd365,mntd370,mntd375,mntd380,mntd385,mntd390,mntd395,mntd400,mntd405,mntd410,mntd415,mntd420,mntd425,mntd430,mntd435,mntd440,mntd445,mntd450,mntd455,mntd460,mntd465,mntd470,mntd475,mntd480,mntd485,mntd490,mntd495,mntd500,mntd505,mntd510,mntd515,mntd520,mntd525,mntd530,mntd535,mntd540,mntd545,mntd550,mntd555,mntd560,mntd565,mntd570,mntd575,mntd580,mntd585,mntd590,mntd595,mntd600,mntd605,mntd610,mntd615,mntd620,mntd625,mntd630,mntd635,mntd640,mntd645,mntd650,mntd655,mntd660
0.5,91.2662783520001,81.97198260833328,77.0589111350001,76.618694988,80.25254932749996,75.09918855628577,73.64716700312499,69.76742567588892,72.0416964913,69.79859464636368,66.27433224750004,64.3992156943846,62.861850817142916,64.33704136506667,60.283498956062495,62.068960535235256,59.0950752055,59.056282903315775,58.823358289299996,56.86029055714283,55.67212843309094,54.873915344739096,55.586188272708334,53.26401875468,53.117744351576896,52.64361706129626,52.41669380725008,52.10158158934487,50.8370902358,49.85284082332257,50.915229613,49.80671614354541,48.823897274205905,48.85050417137145,48.78590060713884,48.79554092394596,47.59522784736847,47.66211008961542,45.8340250205,45.64546926348779,46.16111954490475,45.93115678786043,44.98353788386359,45.02292776895551,45.26632452495653,44.35104722559578,44.58610921937497,44.10678510565305,43.56366846882,43.31088239994119,42.81782340353844,44.292115516094384,43.548806661,43.29561420529088,42.4346929049464,41.65037821270175,41.288905469137916,41.70993542779659,41.86941997854997,42.24650314908198,41.76959311764514,41.76044384792064,41.758983094906256,41.2036751763231,41.147835979121254,40.39082664961197,40.51022329742646,40.29284460336232,39.98822814088573,40.599852349169005,40.39133029379169,41.026856674876676,40.82800933848648,40.444093955480035,39.52655763530262,40.053388135129836,39.44285291806414,39.449286879253215,39.6861515125,38.83582127604936,39.06820618069514,39.29721652681925,38.743154721166654,38.87859517570592,38.664509271162764,38.418294981011485,38.629961080909105,38.84708523498874,38.577750725155575,38.63444409427472,38.626475902315256,38.30575001576343,38.25039498235107,38.327291570989445,38.32358638508334,37.57422191200005,38.01415106289792,37.94444996860612,37.90988092577,37.91177044095051,37.42217552993142,37.76027418148545,37.481505699221174,37.02744873067616,37.614455187179274,37.19160176209343,36.908995187194456,37.534976996816546,36.87160685028177,37.31847890479283,37.11761390864286,37.18659514192924,37.0131868886579,37.19495645459996,36.738800496525904,37.04266912282056,37.05278213322882,36.67489291397481,36.673402853175034,36.66054366734706,36.68010385408196,36.63028259637401,37.02282368305642,36.838028988272,36.562168292357185,36.709364951811,36.62260160905469,36.69794690998451,36.70719355493846,36.72758064905343,37.8487381439394
1,94.168011407,91.88336373600004,82.0069048745,79.5805431196,85.9358422673334,77.33136299028574,76.57475519924999,75.82099581577779,73.7073019514,72.75042144127269,69.90837082283333,67.06988901415384,65.96888754685713,66.6584200341334,62.355328183625,63.44696017329415,61.15082070188889,59.673591558842055,59.8443628914,59.00289361257145,57.341237658818194,55.8742666505217,56.60689497933337,54.64369220824,54.21776835415385,53.965902733555595,52.76703470992859,53.06608947103448,51.981177183,50.91994412870971,51.6261414615,50.58837266660607,49.86483496823527,49.83231079034288,49.22819753744447,50.243883123783796,48.2118484796842,48.14174084958981,47.0818462071,46.805239576195156,47.67564928199998,46.83660506906982,46.30214531709092,46.6210289432445,45.764589064347824,45.05795864165955,45.46963899933336,45.33046884200004,44.3357705438,44.63606182658825,43.70158841784619,44.81384529773589,43.76222207140741,43.81112294003636,43.29568357703572,42.657179200280716,42.248080993724095,42.45506052016954,42.76180200716667,42.927522885409836,43.05078017077424,42.509649319682495,42.133967719812496,41.64074408876927,42.07477341654543,40.819123286925404,41.33129123779415,40.909260355217384,40.88870213528574,41.31342178501406,41.20105390350001,41.792874214739726,41.23404870808109,40.87274026818663,40.003890234210566,40.70186754958447,39.90224059894876,40.21231281665825,40.122288030575,39.625129267061716,39.727847828000016,40.16614885853015,39.17781446680951,39.24444293327064,39.45650930665113,39.15742393682757,38.94995770906822,39.126390727685354,38.81063626493337,38.945523098021994,39.04780261206521,38.67445018296775,38.569846050744694,38.798401560694785,38.526044132208334,38.149948004886646,38.43887458877554,38.213360325899025,38.07089342804,38.12058236174258,38.02751455572547,38.20328166473789,37.907892369384626,37.55129469965714,37.896736771811284,37.49603312371961,37.53452383748145,37.925271485944954,37.31014993641819,37.485628536612566,37.31982242910716,37.48628996969913,37.171505772,37.29526084669567,37.217069403224116,37.21582885753841,37.200219292983085,36.96054877756301,36.915807778066664,36.97402642004956,36.82540276196721,36.854340353349635,37.07330094635487,37.025612570431996,36.7485926783651,37.01225966261421,36.87506990042188,36.83522444006205,36.84699892758457,37.25229681868706,37.8487381439394
1.5,99.1823339189999,94.2326621186666,87.98730428175,82.5991299894,87.0021089188334,81.3676699777143,77.385427680125,78.0068949566667,74.7664735396,74.72230466318183,71.03136957325,69.64887030792313,66.95369957078572,68.2875784759333,64.9394248175,64.34340367411764,62.51944980999996,60.989219815421094,60.4378120519,59.8950105007143,58.64789893954543,57.83777660434785,57.583874844374996,55.88284910952,55.303593016884605,55.028648290629576,53.40696237078571,53.737240518172435,52.4175984443333,51.277230890290305,52.46935398340625,51.254773578787876,50.64744386861767,50.86031430017139,50.043460227722235,50.65233072091892,48.49816603944739,48.50555666502564,48.238769579725,47.49630036146344,48.180559112833315,47.28018942958139,46.89332109850002,46.964544520422265,46.74460856871739,45.78923536202132,46.04373880114581,45.56610522214291,44.84840517706,45.10392286729408,44.38595617744232,45.15828394909438,44.131878442592594,44.08809983023638,43.93276104721431,43.14557194233338,43.356575414896575,43.1451075812542,43.08859445215,43.284668968934454,43.44232238464514,43.072423338539735,42.58175148970313,42.12986642438462,42.36572770716663,41.350597334059735,41.87674412494116,41.47005919584057,41.36031423212856,41.59819901254929,41.59840097826393,41.88451676860279,41.56979506102702,41.130325235053306,40.73569201893427,41.01498872988312,40.434299812282035,40.43937172931643,40.6063540009875,40.134557681679,40.050630869682955,40.3692358598554,39.3936000536786,39.36861140950592,39.689640844162774,39.48193982648273,39.35759036995455,39.44067681794383,39.28582901194443,39.46988598601102,39.2386888575978,38.90301183570973,38.80436833489364,38.91617283833686,38.760466662625,38.35677767264947,38.54974348360204,38.60048848798995,38.28807070899,38.368478167802024,38.28553396922551,38.387644419640786,38.112456275923044,37.728926896047604,38.14661838911317,37.79406574251401,37.6760990532037,38.00225218694496,37.52744910079091,37.649751687945944,37.514345538589296,37.52565911396459,37.44747560755268,37.49909219476521,37.358695390862025,37.29864408007696,37.35555124303394,37.167289662201654,37.0671634782,37.1550736101901,37.05246105356556,37.08180801049589,37.11936425291126,37.091426547472004,36.88707576367464,37.20980235181103,36.994256686546876,37.015047188883734,37.02660539063849,37.44490960890844,37.8487381439394
2,102.283777172,97.68975398399994,92.908574113,85.7239734648,88.556055822,83.47385541142862,79.22839515150001,79.78167739022227,77.31318717719999,75.5121713410909,71.58479547199997,70.70631986276926,67.4459648534285,68.77321620720006,65.40337745549999,65.1893736395294,63.198075204222185,61.64996457157893,60.764434012,60.73075714609525,59.6054582072727,58.15864856608693,58.37532490850003,56.44186355648,55.77015149169235,55.41407646325924,54.35005525042855,54.37937520124134,53.18982924226663,52.32301069212905,52.89650099475,51.913973052242426,50.971372248117625,51.189671462171454,50.48975752999999,51.01208327762162,49.110219784842116,49.11346088758972,48.725192459999995,47.970734612780475,48.350542388285724,47.78695577841866,47.322570444181814,47.40829495404442,46.995403493043455,46.20726370544684,46.63235732291663,46.01096516546933,45.20380395496,45.41407830823532,44.95527482261542,45.557244768754735,44.64051872585185,44.225845886472726,44.447945204142904,43.68244783908778,43.728392535931086,43.38577827227115,43.38792224193337,43.497808898754094,43.645402433225776,43.50366104723814,42.8566888390625,42.49030833015384,42.59149168030306,41.96348307791044,42.585251505588296,41.81432954318839,41.806267785942914,42.14252782518311,41.88679647688891,42.14865108915069,41.736335377189164,41.53727485258667,40.877562336579004,41.34017433355841,40.929579611846165,40.68775453245574,40.81263600715,40.33706375471602,40.32221211663415,40.52269869802414,39.80928672152381,39.646289888988214,39.86254779125583,39.87689942303452,39.628543139409096,39.58511241240445,39.428853108399984,39.638590922241804,39.43633335913045,39.075326185591386,38.92281806489361,39.131547469894784,38.82672268466666,38.65455769628863,38.68727282583671,38.76478493329297,38.437016087239996,38.5937650968317,38.64977351301961,38.488194439378645,38.30605520361535,37.98556469733334,38.212673315962284,37.9393709101682,37.94412818677775,38.062788652844,37.713094496399954,37.726151631675705,37.65122119010713,37.626845777840686,37.543182025684196,37.55259723871309,37.43165050137933,37.37083854570945,37.466916643118616,37.305346497714325,37.18399365326667,37.22834784142146,37.167457479508194,37.15228116757728,37.15630354180649,37.205149124192005,37.011338910666645,37.31434567662993,37.056508787125,37.16616287051162,37.368405948553864,37.46503244949616,37.8487381439394
2.5,104.35054741249999,98.9565704283333,95.70472505625,87.644963021,90.48704318416661,85.60645850928566,81.0330256825,80.77959921055553,77.90749210749999,76.43021696954541,72.84979009541667,71.53311628884612,69.14531044607142,69.80553299099999,66.14620115531251,65.69440204,64.24917257666667,62.347989010526355,61.22609619525,61.09761681499996,59.92355824999999,58.53625708804344,58.60006392354167,56.9197929272,56.418804520000045,55.710059986481454,55.31063506321424,55.02124326793103,53.73268450750003,52.7209983170968,53.4003499,52.4031723228788,51.257046900882386,51.67560449099999,51.09250237458333,51.318075886756795,49.373139780000024,49.58620229461541,49.30484602375,48.86585152975607,48.80773518023813,48.53137365755812,47.64788984602268,48.0539553983333,47.288372990760855,46.657062938085154,46.90328414708337,46.52944769755101,45.778420212600004,45.786312057745064,45.47057499903846,45.98710761518864,45.081094341574094,44.4059998169091,44.89580557964285,44.08660986394736,43.96705072387931,43.85272817593224,43.83466027741664,43.86830267508198,43.81576511443552,43.77088671349205,43.006927638828124,42.71403401530771,42.74978109712124,42.27886832708954,42.80275200389703,41.99416865478261,42.095752867500046,42.25981356225352,42.219617552500054,42.32884656267129,41.80871905925676,41.70193212946667,41.09480148763163,41.461750021363606,41.28128009730773,40.88533742670888,40.9461839776875,40.61220517216053,40.485132244817066,40.74529039421682,40.04729818934524,39.9219826560588,40.20769228494185,40.05319305235631,39.7952098936932,39.7420515003371,39.60505112150004,39.77988032186812,39.56584380749999,39.31081791951617,39.04723089505319,39.23192607389469,38.99710645114583,38.830824031185614,38.81978958933669,38.90456230939393,38.59320642835,38.732077011683124,38.75206441710784,38.63132509669906,38.48962280091351,38.06117434642858,38.27487717566036,38.099817499766324,38.06854914555552,38.166167247201805,37.99037962704548,37.81023209576578,37.71948808040178,37.76683887309738,37.65957177131582,37.576237372521796,37.57222222146547,37.46720210136752,37.57462856860172,37.38150550592437,37.25436026950003,37.3805310430578,37.27965202192624,37.271729649552874,37.19331202306454,37.25949482412,37.13410811432536,37.35560945212598,37.14484711441406,37.278232538333356,37.427402339307655,37.53410107083972,37.8487381439394
5,119.19223959,110.40564980333336,106.17318508,97.86245280199991,94.65227665166664,90.1700258614286,86.46738372125,84.83341403777776,82.745579269,80.13858916090912,77.2048332041667,74.52910805153851,72.60758704285716,71.8285593593334,69.56921052625,68.64935563647063,66.87177239111105,65.58528442473687,63.470711143,64.02534492428575,61.46554027318177,60.72336885826083,60.887405360416665,58.8363043096,58.1051818669231,57.413520712962956,57.12767636142857,56.92655043827586,55.686807791333365,54.64553700516134,54.74669298,54.26070887333338,52.69785170647055,52.777004444285716,52.50341535777781,52.42169345162161,51.061325416842145,51.219766382820545,50.573104760250004,50.04003723048778,49.90422776690481,50.00210067767441,49.03994934431819,49.09760023288888,48.31469163869569,48.12331698914897,47.932789396875,47.638793628367374,47.030156702999996,47.017381226666686,46.67045243326924,46.927144876226464,46.06132755814811,45.55613553000005,45.80508010642855,45.20336051736844,45.09089680172418,45.24710924440679,44.79896355616667,44.74865077180324,44.468575252903236,44.59485047746029,43.829321783593755,43.84421736846157,43.65405153500001,43.39509183238805,43.64665356632352,43.11190448507246,43.1258427281429,43.2128375387324,42.95955488291662,42.92163607616443,42.75291620878375,42.5087078242667,41.962893940789456,42.18952725727274,42.040422003974335,41.491760015063285,41.4954269945,41.57692319641976,41.32642332975614,41.31710379566264,40.863238089404724,40.81982921964708,40.69715412267446,40.637435344942524,40.47684922761369,40.23354860617977,40.393015120111144,40.251114117142905,40.0057104058696,39.922963564731205,39.71468969734043,39.739779134736885,39.60511147781247,39.63606892195876,39.26179678551021,39.31580741252528,39.186557201999996,39.209772023267305,39.09346011147061,39.03298743417476,38.996454886249964,38.80361434228574,38.66434682594343,38.65702416757009,38.495930735833376,38.520858338440384,38.386449532090936,38.22184860414416,38.165751698839316,38.07462300893805,38.088413171578985,37.95001535643476,38.036622682155176,37.775368737948746,37.89562594389828,37.742239503193254,37.565978082416635,37.740663673140475,37.60316653557382,37.61307927837402,37.536607166532214,37.5260193708,37.37905349119049,37.584617926614165,37.536752695781246,37.606752988604626,37.640406561153895,37.64683100022901,37.8487381439394
10,132.32272011999999,123.327615593333,114.267217965,109.01598568,101.52330497999971,96.49116210285713,92.5070411975,91.14988880888889,87.00675932200001,83.96075244545459,82.40914890333339,78.38400035384616,76.70948483999999,75.10392386399997,73.058717545,72.12033297058822,70.51825875333333,68.28878752947371,66.66353176300001,66.45174416380954,64.64684587545455,63.676603449565235,63.232175719166726,61.5496483152,60.90389127230767,59.98191898518521,58.99688188785712,58.5726152779311,57.95514825466664,56.96344660645158,56.382324066875,55.92078242727276,54.8669197694118,54.51299914114282,54.541924450000025,54.41037011729726,53.08722066947366,52.97703983384613,52.3320763515,51.88044967073175,51.60218973857145,51.415352047441885,50.28450204727275,50.6656144768889,49.94332527000003,49.53707008553195,49.09260285624997,49.20419215387752,48.6653652276,48.38842779098043,47.99193084192305,47.98722961962264,47.6175509659259,47.06027389818181,47.194788596071476,46.82941722456136,46.243683335517254,46.36637079118641,46.19427869433336,45.93199151967211,45.5029421158064,45.59923040634925,44.902802651875,44.98486791815384,44.78771314363633,44.354859533134345,44.5417699626471,44.18119398637682,44.23239704857148,43.9720968377465,43.7199153561111,43.81927337452055,43.62395314459462,43.44808208720003,42.79628749184207,42.86885032441562,42.80766379538464,42.377992815949426,42.3610280995,42.15180524641973,42.058325483658535,42.02826195373497,41.70816002738095,41.6478591129412,41.287367403255814,41.35709634436786,41.283121617272734,41.05441019123595,41.01637707466671,40.74456796153846,40.62760802260866,40.56306636279573,40.325344857021314,40.399761394947376,40.222876955208356,40.11057648742269,39.94783143142853,39.805854613939395,39.741162868800004,39.70128320316834,39.56323806196076,39.61618285398059,39.45598094076926,39.37342788342855,39.18426289735847,39.050988883364525,39.01593758777777,38.97066593211008,38.79588976618184,38.65204221603606,38.60894499946432,38.53848160230091,38.606776660175484,38.41086640643478,38.422221602931,38.219913661025615,38.27165302711861,38.10272381344535,37.977642905833356,38.11740382793387,37.96276170065574,37.95344957967484,37.94985999225806,37.84557667168,37.77793321873012,37.79475878346458,37.79133516203125,37.76096025875969,37.76482048292305,37.739949564274816,37.8487381439394
25,160.65533209999998,143.76699976666674,130.93011635,124.25804428000001,113.81707838333325,110.53989884285726,102.9256231625,100.5385771166665,96.729238075,92.69494233181817,91.0081174458333,87.1007629923077,83.51441190357143,81.28360129333333,79.496971128125,78.09733561176473,75.71670101944447,74.21268754736842,72.24489454249999,71.2213851952381,69.1198990431818,68.1049605478261,67.69496406458337,66.128338134,64.76936009230766,64.16029570555557,63.06929068035715,62.389795536206876,61.611207065,60.759912909677425,60.23859630625,59.612054633333344,58.72158801176472,57.97050208,57.6236197652778,57.216447940540576,56.85510874605262,56.25532868076925,55.08560991375,54.863553595122,54.23627262857145,54.1642695906977,53.678736111363676,53.209758565555596,52.71515708260867,52.09820366382977,51.66406867708332,51.740413595918376,51.015409196,50.7146090382353,50.44995104807697,50.36241788018867,49.5397364314815,49.32163289545458,49.30838088392852,48.77092691403513,48.4689004086207,48.12222390338982,48.16418296916665,47.70867346721315,47.36061558548387,47.03084550952383,46.60580029453125,46.56969268923075,46.58204228787882,46.028167522388074,46.03010972573527,45.7415447586957,45.807192617857154,45.230809899999976,45.160809563888904,45.10376434931505,44.8977904391892,44.587214586666704,44.2491037756579,44.154115518831176,44.068151369230776,43.71827406139245,43.63682777,43.47975639197532,43.345919851219506,43.21963413192773,42.99766193988098,42.76555657235297,42.515763476162824,42.4343581005747,42.463756614204556,42.25501818314607,42.09742422,41.8383285730769,41.73285085978263,41.64181277311825,41.4513899617021,41.4331247626316,41.27436004166665,41.0531761974227,40.86755695204083,40.77610458737377,40.6901346805,40.5695508222772,40.45249867892155,40.379339075728126,40.254449827403825,40.2921735614286,40.024767242924575,39.94622484345793,39.78933168240742,39.75811343577985,39.6142780363636,39.52666998423425,39.38727687767857,39.309352288938044,39.236243363157854,39.113058837826074,39.130501096120675,38.92285158461537,38.90142268728815,38.7576784714286,38.647855100833354,38.566228328925654,38.54243901065578,38.47427844430898,38.408175274193525,38.2776828988,38.19195821150795,38.131069746456674,38.04307934296875,37.98945453139535,37.91915678192311,37.86995008244273,37.8487381439394
75,231.271440725,200.62431538333325,177.8034898875,165.38337740999998,148.45177617499974,140.97500326428548,131.59593488125,126.00003489999975,120.073503555,114.88401751818225,110.08112313749976,105.80085135000026,101.961805232143,97.66601846999998,94.91134233125,93.45446822352945,89.78675534722225,87.4412938947368,85.48918569,83.08965254285715,80.91516028636363,78.94583529782611,78.24773202291665,76.330708338,75.04576526153845,73.83195302962963,72.68088707142857,71.35721714137935,70.49418039500003,69.26686672741933,67.9390982515625,67.38746766363636,66.655841225,65.4636686542857,64.6389477819444,64.2097259337838,63.322762534210554,62.56814638846155,61.7683311675,60.92650518170733,60.18517220952383,59.806602022092996,59.37852966590907,58.581343564444424,58.012859846739175,57.23749913297875,56.99131107812502,56.569003498979626,56.190423042,55.55613108333335,55.0310165096154,54.84253097264155,54.1871895648148,53.81461094909095,53.63007355535715,53.12803863859652,52.584044985344825,52.4989798898305,52.1008374783333,51.712355331967224,51.33854662177418,50.87535889603175,50.37895386640625,50.178865228461554,50.112534783333324,49.892283369403,49.352026985294124,49.14568426086957,49.07885333285712,48.8371297450704,48.388036309027775,48.32322156575345,47.9043794777027,47.538222000000026,47.3026598921053,47.2424981,46.83408178205125,46.579688932911395,46.55828895625,46.12276412716052,45.933739817073175,45.633031407831325,45.510638039880945,45.396726158235325,44.96958216046512,44.94473996091955,44.8265402585227,44.56458821853935,44.4258228611111,44.01453590824175,43.9796231277174,43.78887415,43.618371579255296,43.47616055052635,43.12640417916667,43.052679978866024,42.80141875510203,42.85960627878787,42.662315406000005,42.372198903960424,42.237165975980396,42.10568825436895,41.930980244230774,41.75483125666668,41.54697571650947,41.453701179906574,41.27557312268522,41.22614780825685,40.97117466136363,40.812166174774774,40.73356707410717,40.57028167389385,40.440826887719325,40.33004202130432,40.174951885775904,40.00685654230772,39.9032582944915,39.711907212184926,39.59415572249998,39.427769442562,39.31111971147537,39.20669024999998,39.0612857040323,38.928342379200004,38.794512067460325,38.65266645866142,38.50938606640625,38.370368427906975,38.221481447307674,38.072598747709954,37.8487381439394
90,266.21656234,230.82792210666702,199.49180998000003,184.439406332,165.4509523366664,155.9948933742861,145.5002711025,138.0507459555559,130.811805468,123.30492624181821,119.515546168333,114.52934223384591,110.70078861142821,105.23636692799971,102.92102429750001,100.0728591694119,95.92849358222225,93.90639459263166,90.937112397,88.57926026000001,86.66317438909087,83.90360272347823,82.30497142416671,81.19056475280001,78.6736818484615,77.8173186940741,76.50597339928571,75.44622933379306,73.93010964266666,73.1592251187097,71.488567920625,70.65081796727276,69.58188530941176,68.44149627657144,67.31107020444448,66.99079594324321,65.77523189631576,65.33142129794868,64.1933971875,63.68072177853657,62.92287664666665,62.38879675488375,61.531819926818166,60.71099405644442,60.57935808173912,59.52024627574467,59.01830260833333,58.82930147510203,58.128257384,57.65937789411766,57.260609331538454,56.85959016905658,56.180168619259284,55.65023897418186,55.42338664785718,55.133877564561395,54.56352016655169,54.18434852813558,53.77679171799997,53.395898319016396,52.947685118709664,52.44136119301587,52.2282318996875,51.906928967384594,51.59717902151512,51.38015356925373,50.808734415588226,50.71534842463765,50.496065877142826,50.07692465971829,49.79064985361112,49.493285883561626,49.19748028405407,48.95014058586667,48.54152121078951,48.37846386935063,48.02962217769236,47.87642722101262,47.6429698955,47.24849184444442,47.051053808048785,46.689143527469895,46.53396987500003,46.33016350752945,46.01609744581398,45.85425035448279,45.71287627318181,45.3497597469663,45.30616402200004,44.875826709230815,44.816943937391315,44.655180874623625,44.487861704680874,44.23981862126312,44.00396976979164,43.76996229422683,43.54774984142854,43.56546551111114,43.3235065498,43.02086788574257,42.942774298235285,42.69587473475733,42.504979594615435,42.33142939885711,42.20687706547169,41.99523149887847,41.77019934388885,41.71195257266053,41.494330699454544,41.2856053437838,41.186021153392836,41.02778177168146,40.86261473789478,40.73877591669561,40.58934377568965,40.366906258632454,40.24226310288132,40.04493129512606,39.947954513999974,39.74116205950414,39.62641517311477,39.45049443203255,39.324158849032294,39.17514806992,39.0313998322222,38.858939970866125,38.684048736875,38.503917739224825,38.31876880369231,38.132899372366424,37.8487381439394
