,mpd10,mpd15,mpd20,mpd25,mpd30,mpd35,mpd40,mpd45,mpd50,mpd55,mpd60,mpd65,mpd70,mpd75,mpd80,mpd85,mpd90,mpd95,mpd100,mpd105,mpd110,mpd115,mpd120,mpd125,mpd130,mpd135,mpd140,mpd145,mpd150,mpd155,mpd160,mpd165,mpd170,mpd175,mpd180,mpd185,mpd190,mpd195,mpd200,mpd205,mpd210,mpd215,mpd220,mpd225,mpd230,mpd235,mpd240,mpd245,mpd250,mpd255,mpd260,mpd265,mpd270,mpd275,mpd280,mpd285,mpd290,mpd295,mpd300,mpd305,mpd310,mpd315,mpd320,mpd325,mpd330,mpd335,mpd340,mpd345,mpd350,mpd355,mpd360,mpd365,mpd370,mpd375,mpd380,mpd385,mpd390,mpd395,mpd400,mpd405,mpd410,mpd415,mpd420,mpd425,mpd430,mpd435,mpd440,mpd445,mpd450,mpd455,mpd460,mpd465,mpd470,mpd475,mpd480,mpd485,mpd490,mpd495,mpd500,mpd505,mpd510,mpd515,mpd520,mpd525,mpd530,mpd535,mpd540,mpd545,mpd550,mpd555,mpd560,mpd565,mpd570,mpd575,mpd580,mpd585,mpd590,mpd595,mpd600,mpd605,mpd610,mpd615,mpd620,mpd625,mpd630,mpd635,mpd640,mpd645,mpd650,mpd655,mpd660
0.5,208.17161718888866,222.9907713259052,229.73851885221026,229.504512195133,233.84253188804627,241.34937562747916,246.89890963214106,252.81894522965672,255.91467492559988,253.20044866880107,260.74871359879955,269.2420167633266,263.8459661064596,269.65996605843657,268.75064204600625,270.5948310198037,268.32320248820605,268.07533497829587,275.2208902144145,275.5049938680857,278.4992636050972,277.10982418775933,276.85849261349995,280.7829425846572,283.0697926584636,280.3466295879218,282.4613726483913,275.87507783307063,285.51174410560293,284.58008234958965,281.7468354303436,283.1447439467147,285.79839133857575,287.3205008211184,287.70272412853086,287.2012607470203,287.3976673602841,287.7996346612025,290.7260040267745,285.80122591835544,290.07221121909805,287.4669229164104,292.0629346474207,290.83045424434846,291.7780003831215,294.24080964601615,290.3953914195074,290.2462547991737,289.039748874275,294.77867276470056,296.4216473417062,293.86010161325606,295.13923698457177,295.72543818921747,298.1946633156089,293.03230613516854,297.5103908735778,295.8208735068143,296.9011231217853,297.898891166503,297.0958996369613,296.47199923187856,297.5110921878539,300.69626324171645,301.4990635815433,299.9275053365538,301.5060663129083,300.0428379652448,300.98132143370526,300.9547346727084,302.68018005456,301.9470545620154,303.8015326428072,302.5719817370218,301.66613698199177,302.0671974731882,303.96822754054296,302.69574338043634,303.2200420642935,305.3733127207882,304.7873745902372,305.7564706119379,304.43481270457465,304.0896059202669,304.4132154710554,304.2590253575,305.64045505396746,303.88016003380443,305.61332057411795,307.2398724839096,307.45058421708677,307.6693704433533,306.5906580550889,308.17715510758785,307.66619835964485,308.48711706649976,307.51235664232513,306.5901075312236,308.0073725240948,306.5879362839701,310.5305536885667,311.3051825835897,309.6291996404368,310.6469814294895,309.3271026147379,311.0378914114677,310.53934224242226,310.5988013229891,310.22747232598954,311.76683852663234,311.41259603087656,311.7549688226866,311.96571678000623,311.8958024395006,312.5007545964502,313.1407532974308,314.24541502890486,314.15014375842355,314.46502498053894,314.2310724079317,314.988812144457,315.3471521271915,315.56114196056683,316.79836445312225,316.4380916810613,316.9753510033798,316.27922599147195,317.3620607859632,318.67403145289694,319.1509661540487,322.139972091829
1,210.79623960155578,226.2449941537143,232.68300528857858,233.21395198906635,241.74187555535605,249.16293293391584,253.41148439015424,254.8355476700404,260.08934229077573,255.57504178545494,266.38349309179057,274.2593783180292,266.3610576553086,272.69796469969725,271.1044535587276,274.1736864123358,269.60624125498407,274.32496079856213,277.26321177430356,279.4680128880991,281.19854293220664,282.19063732833604,281.1106912091853,282.91149604783465,286.1507510166045,281.68774962160535,285.1149156376197,283.2422997105368,287.2423615384922,286.8395140740274,283.4802219681239,288.6146396700064,290.73424694225787,289.09548026516956,291.1297513825915,290.27526821079886,290.91942439691206,289.72550179584147,293.6878026330359,291.99802310016565,293.65451736697116,291.220944446717,293.5297658220792,295.7241720227814,294.39779691972325,295.1432504538873,294.96102230618436,293.5077717293372,293.9044917408278,296.96771254272574,297.3218791393988,296.06424100196494,298.0058833578681,298.20297945144165,299.74035663707764,297.0571032491623,299.04749461208434,298.2429406981449,298.989587573992,300.5993653834343,299.073639901925,300.0111651234123,300.09376432571196,301.97808826911796,302.08966774832504,301.97425146770473,303.708265014855,303.8655743530811,303.06776432723154,303.34287187823645,303.8323427773486,304.3888773275463,304.59426121156514,304.9946879988071,303.02537074336277,303.3941962294253,304.97190098829657,304.7082583131539,305.3264055853389,306.36075607161877,307.33330330510574,306.584144443396,305.90681660063603,305.89829146852844,306.49975568375226,307.1136617128032,307.116224055256,307.2045738430146,308.12984400396635,308.1581616748627,308.34873113234244,308.97702482180676,308.6350669828785,309.1188101441138,307.9612784923184,310.2599863029951,309.4478671823959,309.35715026125337,309.6570603859523,308.759159203051,311.3044086383457,311.7158567924732,311.08728551442806,312.0322589776815,311.95344129975786,311.76504199319515,311.5608344472074,312.24248605461514,312.18301995135437,313.14387424573675,312.3382212918078,313.21646208000664,312.4347237452895,313.10993918619295,314.1118742283816,314.3887024117835,314.61437302492135,314.7205527890604,314.9699862606701,315.0958899719526,315.9726104995889,315.7012884311469,316.3557188902259,317.15803197618857,317.2216045907554,317.44811704219876,316.95669075207405,318.2944902106556,319.0982992985112,319.69165190605145,322.139972091829
1.5,215.19095552033366,228.26093061495214,235.57424776892145,240.8700084039,247.88902477841347,254.17929934754645,257.4234767588593,258.9345282759597,261.73821522859174,261.26701072792605,269.1224538292088,276.3179422717406,269.9533004013565,274.2773546636651,274.8742896713639,275.1560587722385,270.9751196152085,275.3238350819624,281.0804305815984,281.93037957548125,284.31632159513885,283.41140472401935,283.9214254348451,285.1094298557951,287.0087021197208,284.26487855583184,285.79802913125155,288.31720297543563,288.6121300200014,288.68427510333856,286.60440663088394,289.536892782557,292.110882115108,290.95081591244843,293.2420020017593,291.95783399866764,293.1627950666601,292.37370964703786,295.30652488905486,293.5678583514596,294.4249061913138,292.6174337976979,295.4756329620438,296.72344769803516,295.893666327685,296.21414088016905,297.0108226869545,296.00746676893976,296.28495361126545,299.24707391819663,300.47691331580717,298.5921886540851,300.00688535219757,299.7728236453248,300.54123024266414,299.5161606644211,300.26177693435255,300.12767692352776,299.9782092850506,301.715542701104,300.1668407721035,300.76441647312083,301.58721365559825,303.38513837427354,302.8914013792771,303.1393031664395,304.27913675080777,305.21633120760566,303.6717427624413,303.7268549593338,305.66696045220704,305.21999790621635,305.7527794708639,305.5209173705505,305.3727584951498,304.935997266084,306.0153645916026,306.227142230751,306.3756483829025,307.9928732469866,308.36846466975425,307.09226639907365,307.03911283191786,306.7190510513868,307.6552396091827,308.1745867380401,308.65976867943056,307.9787320816309,309.33222002783646,309.36029073542744,309.89694169971773,309.94663882890626,309.04388586747564,309.78422378202555,309.0504455888666,310.7591429169762,310.53718827103455,311.0264194007778,310.6100142352125,309.9837386538972,311.73544671477504,312.3564012817967,311.6874469543823,312.4278556397064,312.71792639896984,312.5283362535973,312.03629210861124,312.9886271356642,312.936959117053,313.35408262791856,312.8750002539914,313.9713093753898,313.3289946772261,314.11355863198594,314.6159060880626,314.7232273128451,315.03943571241257,315.469656975786,315.42407291558305,315.56093038437183,316.34648985534204,316.4245681829226,316.91538288562555,317.61583548793647,317.38848554981496,318.06443327738106,317.84791029655514,318.4522773487415,319.2000702299304,319.7590796662871,322.139972091829
2,217.92223332177755,229.12222355161924,242.8351283268421,242.24497335053334,250.82330391829868,256.1695375331089,260.01027285859,260.1106919503433,263.0014142761467,264.10674530930663,270.7010240670618,278.281510114712,273.50543219744065,274.9135071951283,277.900541701196,276.6271355727059,277.00880316147794,278.6391126171738,281.81154493919604,282.2831696018173,285.68532218428703,285.26717047398984,286.80324031703367,287.2551597592256,289.78970076629486,285.7848602072,288.4513836749926,290.79805793778513,290.1723792590695,290.15875819197316,289.79559657478933,292.1481723766416,293.00887733015514,292.8854476139848,294.59365523719026,294.04780697917005,293.9731415703551,293.3110706902757,296.34877305295123,294.53762966537886,296.1982975822959,294.0599591632623,297.06634611097115,298.86838130599523,297.49868513203694,296.7368755410552,297.911588179577,297.4354090303046,298.751559050579,299.80446213108746,301.45374277003486,300.2502292160119,301.5930606816663,300.6664256423426,301.57633098309697,300.3120476399984,301.1885111243029,301.59909149115157,301.63752225519363,302.2535045918132,301.7734547865617,301.5162973068877,302.1246610944528,304.1877085331681,303.57796846276983,304.1794861244287,304.91601465320974,305.6849706981114,305.31107198606793,305.00476032913656,305.9957599799083,306.11177097722214,306.77416873169324,305.99038081628794,306.39439073268494,305.8169458863949,307.5136541490398,306.87165393428955,307.02263257007843,308.64882030096265,309.4259521977824,307.7070409658987,307.5014471678514,307.4833286949059,308.2424921416293,308.50904610916393,309.1732558927107,309.051161158652,309.90712496250313,309.6515684327655,310.4698110418405,310.36887180923077,310.14642470331506,310.3424434189654,310.08495692689894,311.2003054001549,311.1274695181546,311.52293794136654,311.12839251871026,310.97907381709774,312.3031120546963,313.25456438978966,312.2679607750648,312.8280617121685,313.0496755078077,312.75439298474083,313.258455386657,313.3943775003301,313.4834991040162,313.5876619756017,313.86102728744225,314.671487275343,313.7358441111188,314.6884773101463,314.86040192550996,315.2452393067111,315.37606913555106,315.74724601718464,315.9058117585038,315.9161908723521,316.57002851593967,316.6738693849048,317.12502416268495,317.8263582926922,317.7361242750484,318.31387983679,318.1999407868035,318.7132114524949,319.43463256283286,319.8240446159089,322.139972091829
2.5,220.65079314833292,230.61376851381002,245.7547511071052,244.775440520333,253.2891242659768,259.53307167588224,262.0997899023397,263.45275792899025,265.94224895661233,266.4325905307074,273.71567881992894,279.622555539736,276.0469125418841,277.73797831041435,280.1678905668192,278.14686932042036,279.93104304526884,280.4767889686113,283.6928443443987,283.34054112135556,286.5082999352082,287.839942404958,287.68959329768956,288.02019490652225,291.36084790158355,286.45570467723553,289.9545406584404,292.847667863391,291.1764374570363,292.65255230450356,291.49681876226623,293.68682137290847,294.16512896542497,293.4909099570833,296.0434135410115,295.1921439939602,294.553574943926,294.0772894072878,297.6826672482887,296.14881193293354,297.8925241586664,295.4541012341969,297.7537523219669,300.0251168434764,298.320562323809,298.835485225757,299.1187984181239,298.7111687761194,301.2664840945345,301.2944128670043,301.9059974167094,301.4741819574115,301.81213783176435,301.42680428787565,302.2175222916191,301.1093778176541,302.4351590757787,302.18921356236604,301.94125979327924,303.293370374521,302.7559257381897,303.0873823033467,303.22495271066157,304.6771895175251,304.31747208453464,305.526534744845,305.49960781986704,306.2256194147141,305.9284568781505,305.7996867361765,306.8129008289829,306.69171176758465,307.25971954722553,306.4956444953852,307.3073640476845,306.24565377253214,308.12773477157646,307.4699477419051,308.25629925674303,309.32889480710935,309.85469632491464,308.2847793968105,309.1480996550898,308.734114665441,308.68641200868075,309.3693703130824,309.7643465946132,309.5317031142616,310.5147618258943,310.20727883016525,310.8347899707735,310.76100931641747,310.76935376752675,311.19297200965326,310.3833502249641,311.618644496917,311.8563361811265,311.7666377088738,311.77577010528523,311.46696714956187,312.6679078494802,313.62920531056324,312.74649295289254,313.4476869474732,313.1565538872308,313.4741304554131,313.9890115802596,313.7199113016179,314.2776677837448,314.1596658776375,314.55041488362116,315.3497923180283,314.60715096726017,315.2146983564816,315.22813317397816,315.73756982780907,315.7355086581105,316.15520345651777,316.28804489947413,316.1365104221931,316.72592582549544,317.02552161206154,317.451369052136,317.9912415431739,317.9531834689686,318.45917325389655,318.39868614070565,318.8065877471627,319.5439550319193,320.1231219792466,322.139972091829
5,227.15053977333335,235.78964130476226,252.63467880394754,254.35775457,262.8222052187357,269.0515755521012,272.33617791910297,272.7864755976769,276.92558517571433,274.21062994983134,279.25498925101675,283.64308550610576,281.89278899931725,282.5403884772251,285.7123189754431,286.7205286387958,286.3992494145323,285.69991997760343,290.44344754582823,290.41996735472526,291.2315738606251,292.57543416302076,291.7100420199584,292.6813706281034,295.2760819955751,292.6231578141735,294.61935811012364,295.1646255780267,295.4130442227066,296.00383014539597,296.22493508540055,297.12261693776037,298.0541065095928,298.2792920573005,300.25213614872445,298.958744586475,300.08999456971634,298.67718053419554,301.115688647487,299.7396033534958,301.9473118247115,300.0714114073769,301.8676177114214,303.22209501839654,302.9219164543861,302.5162005691764,302.46357576786045,302.80600888571735,305.15213740654644,304.3784634865307,304.83434206189077,304.4123336330044,304.72628304775264,304.8703340471216,305.28252634043776,304.08766207717287,305.15054693907416,305.7185443765594,305.83086421718775,306.0430045322649,305.84324532930447,305.9725273835811,306.55996251725196,307.994087413128,306.6328704890928,308.013812817589,308.6225635761648,308.69266909022065,308.57963834327893,308.62269249514634,309.0986153780491,308.946725073813,309.7488632335821,309.39128006236336,309.78362747786935,308.70245545196724,310.6233807294233,309.8750392283041,310.68059200287723,310.6741558288747,311.1169324087602,310.8017897967158,310.79366439769666,311.24015393583176,310.7853200030836,311.36997467346225,311.3550292266935,312.5210848277801,312.9895561718495,312.31366766076053,312.4553818851165,312.52474907494343,313.3893837328883,313.3302217119734,312.89142640109225,313.0928384634214,313.1500943309379,313.08968700909014,313.1344553301705,313.64367814052525,313.994669288614,315.1684239443373,314.44314262344875,314.57901307669357,314.88110236033833,314.90304566452613,315.169408800266,315.0194846737723,315.75394996340276,315.5557983131837,315.97508638642256,316.4317974467378,315.94559932559287,316.3995864451722,316.24709048750907,316.78363529912457,316.6616819428716,317.1406265927651,317.17750372497824,317.11318247589173,317.64995088315055,317.7998656662551,318.05654989067966,318.61055655307,318.73456382316476,319.1208953758451,319.247152316334,319.5088491737401,320.08749111740343,320.4766143445192,322.139972091829
10,233.8487172244449,249.7118458114287,260.0921855415786,266.335310094667,273.15814057885046,277.1209083435294,281.7003701674356,282.2328961717167,285.474704835592,285.4621741301007,289.0491743778533,291.4233230121153,288.5422447097719,292.1540758921805,291.0700438457916,292.1325919001122,293.0499275142318,293.0173787724073,297.517352886808,295.81956862805816,296.6675642254712,299.0592065606105,298.7727760411344,299.8128407643616,300.9170754823019,299.73386608252105,300.4244961486329,299.9279541732375,300.5644265292083,302.5671415992124,302.5299184631917,302.7814543187732,302.8632624524056,303.7417455604856,304.4854475734077,303.8949669852999,304.07937282183195,304.1848558205978,305.3711063415626,304.7196845777711,306.70798885027097,306.3367722193347,306.2144368859572,307.94142482891294,306.88178008689596,307.3724723358718,306.4401127247633,306.44046153984567,308.7038740851212,308.26925909352514,308.5001761739384,309.2844679047746,307.7165127148999,308.1198161761644,308.95014197505407,308.3565327970151,309.77297952959793,309.6841914579915,310.366172227661,309.023943802468,309.93648603705003,309.9194767920938,310.5286570235366,311.0992031389475,310.9755445865713,310.7693601204467,311.81580589633194,310.9203517299862,311.2612510285008,311.8712633439581,312.180651132866,311.69964954895113,312.9105332529806,312.6174016147482,312.3445111049022,312.0370709996884,312.7439107959783,313.1487768729703,313.1054516212017,313.54242229060253,313.40877111430507,313.5742110861648,313.542957871795,313.86500979668364,313.43383104020126,313.6601596423814,314.2267771682306,314.57437480553483,314.713858305076,314.41313511079835,314.45845255572493,315.0433988497166,314.9385842212592,315.1339391116321,315.0681707102719,315.34474078062533,315.3962582818985,315.2884513543861,315.40833184797907,315.4706113109401,315.8612916228327,316.6357964966505,316.3196101325696,316.456242985722,316.4021202260496,316.6490319723125,316.8310612202448,316.8799122669439,317.1285453048885,316.8209892841582,317.65731391373913,317.6427348791229,317.3425270955086,317.8912955741374,317.9991631067121,318.01784758143407,318.1024124224915,318.4926769517839,318.29837369316994,318.47250062766483,318.7664326346775,319.1105283919873,319.1217840743493,319.51070377144913,319.8319836364195,319.80659208751734,320.1175030288425,320.38451823557693,320.7014067328641,321.12784932314526,322.139972091829
25,273.5701497944448,277.316012490476,284.29860107499997,289.588031875,292.4667712224135,295.7217131974788,297.77218185288496,299.920210649495,300.7546610591835,301.662639651515,302.944996513559,304.7529272687498,303.40345893499,305.165618343784,305.40844373575925,304.667508348459,308.4052935571785,305.37099652407625,309.04674947020203,308.76310053214297,308.46497704683077,309.79122433020626,308.350055387955,309.312444238129,310.5228350272813,309.7128340469875,310.803936285432,310.078897426006,310.64035977885874,311.26906007402624,310.97194523708725,312.0499724088693,311.1752900268535,312.05530953993446,312.3279598236813,312.999703056434,312.4994591597882,312.8637614797252,313.744668151834,313.3946343925395,313.87764900655077,313.7114634178005,313.37625338375875,314.936917333294,314.91931865075975,313.46851232604126,313.9557505637555,313.659354474908,314.9195736205625,314.3324472836655,315.7838574641895,314.6622606620642,315.014745442668,314.77334430407427,315.3183292650215,314.64785544088227,315.988211634459,315.3050321693762,315.579228809549,315.8122281904335,315.147406594201,316.07923522745955,315.9209084596735,315.69954823428327,316.7990834425485,316.6087083257572,316.89668045478874,316.1110896179217,316.3234161945807,316.43095094618474,317.11392332755725,316.2829700019265,317.04927948680154,317.33946411386796,316.72061719643074,317.3710563674243,317.11128093535353,317.4061605306368,317.3097727865103,318.08091189594825,317.35088613754226,317.6684274421742,317.8472873102195,317.603860135899,317.670929640999,317.65855524541547,318.1051934347382,318.192471530793,318.32074989203954,318.3035165692643,318.33926320018475,318.47744869317296,318.527658653811,318.7143387054145,318.7082221207055,318.44207475643725,318.94286187632576,318.58283730127596,319.0479334421665,318.74182018570224,319.01087357586573,319.07520784731577,319.3809538287625,319.386828908539,319.37112232791526,319.136143184662,319.4574291860545,319.6443740054575,320.017634847513,319.24475832919927,319.7533334426465,319.7563702431715,319.700462494945,320.1855492750765,319.9550875888428,320.164960149008,320.0703994470977,320.400795008236,320.22247851803127,320.291008722459,320.60708642590225,320.758763116485,320.64151552589146,320.87993811645424,321.1188741926085,321.018091859783,321.2177671766175,321.38605912704725,321.50281397055625,321.8272183373298,322.139972091829
75,363.2139200944445,354.3406266142855,354.40260499473726,350.5487425550003,345.694199837931,346.6241180655465,344.8347277397435,344.745373200505,340.4516313859185,341.2347055599325,340.880461638842,341.1048478615385,337.931620803623,336.98946780126147,336.9859923223105,338.211300444118,337.11676075655424,335.6294772603588,335.81766646505076,336.2857841222527,335.354766618891,333.8974165986273,332.73912719611326,334.953975048194,334.729674409332,334.05373853714747,333.1691261229705,333.803252323707,332.65075089637605,331.67073180234576,331.5513213801887,332.156061513378,333.08422810428146,331.68071799106747,331.8064292796553,331.375554841128,329.75033283465626,330.94300735220696,330.6078344668467,329.8644723741275,330.9553629428005,331.40940006537676,330.860731449533,330.20410420845224,330.2225891789825,330.651465387798,329.75321065607545,330.14003532049173,330.50711008449,329.844028553126,330.7873084223495,329.7068915248285,329.66804331257725,329.22070896096875,328.4922679123595,329.09448941373876,328.5757094532815,328.90739457199373,328.8645678961875,327.9632126358928,328.202468198048,327.829311365332,328.5497476396945,328.420073276743,328.5960668813573,327.4352345068637,328.30148000589077,327.0817848103055,327.70024504267326,328.13737504739424,326.999959095412,327.5525848678455,327.69796997478227,326.89385028223876,327.630004430145,327.0446200173702,327.2673211044528,327.316401365611,327.0388751458742,327.443612523084,326.8204850336662,326.99538428674725,326.55911244496,326.415662333774,326.5120053724345,326.82185856373223,325.82905782328925,325.552293861813,325.98697025791427,326.6332858949315,325.927453244672,326.2030329777067,326.04944080794377,325.8359467894028,326.0006882605625,325.49855157838874,325.97497761464024,325.3505325823862,325.8842093534145,325.45971524274324,325.39302623646347,325.045506329508,325.15859718554174,325.57077421344275,325.1043358511628,324.96805905667304,325.1549836247957,325.2255179503,324.9556315368502,324.8726651938662,324.5100944540043,324.62332914218575,324.68273684929676,324.6295292906075,324.1530893842995,324.24020333518297,324.119986314879,324.15715678636496,324.1837432534155,324.10244811393454,323.92289017863226,323.93442266417696,323.78386573447824,323.78923954745375,323.53510325120624,323.44773049065026,323.1949485417023,323.10051080989473,322.8565037061743,322.76469508463975,322.139972091829
90,413.95739563777823,393.25833076190474,394.6539300421056,382.24570228799973,370.68500869287396,371.3964115821846,367.8390174932052,365.7563216113134,360.3022526035916,358.5503240709762,360.09289325011343,359.85228288201955,354.948870842319,352.8258901388106,353.725663060348,352.1887762945656,351.79359498179747,350.9225767291823,347.1128960690908,348.4805017778391,347.87652466844014,345.9953626395731,344.54644925558864,346.46874399527707,347.3278049597261,344.6651354472969,344.46077089432674,343.0700746641764,343.2667898420578,342.9599689186925,342.53059296908833,340.59966403240185,341.675973531201,340.2023014382137,340.9773468881068,339.6994633812806,337.7602420321751,339.11832259755755,338.4212082896035,338.7685780291921,339.4576830809205,338.6268096750706,338.6640078017934,338.0232708131111,337.3524869546802,336.830847931369,336.7189485753379,337.2800056546,337.07036634894797,336.0963102674141,337.4647508321625,335.75833618178956,336.2787774916594,335.91810482307085,335.56205327842576,334.9552968938965,333.7794119610165,334.6603449334899,334.1092326532349,334.10965718653597,333.5012740882363,333.3136200537414,334.306904025447,333.8051286862826,333.8311999407371,332.9936961473697,333.3344554050216,332.4779612577891,332.2607167259862,333.2958300371096,332.2530897874424,332.9864863037907,332.47567564296827,331.840093529694,332.09129443401713,331.6374617760254,331.7106753789331,331.39075848846653,331.038392610642,330.9204920204987,330.3669557142548,330.9176498191169,330.9013313073667,330.6715615963348,329.6894390064735,330.82855308516787,330.0761970837209,329.1908829976497,329.7875965436568,329.3831516816212,329.1654616464325,329.2829269455673,329.2287058059429,329.11451078410505,329.1195402861408,328.6255462428493,329.0403514802892,327.9756508655057,328.2970387337335,328.2727737656056,327.9608040531453,327.87993769860753,327.8336453799067,327.9358172251192,327.3325793145546,327.4957544007756,327.4856914667358,327.3417682177074,327.07325474775894,326.7952173903695,326.5789256855403,326.5074626146604,326.3657641133225,326.3600001836168,326.25044440614346,326.05762208592074,325.7150182813521,325.7079689841828,325.6763945577109,325.3575116478455,325.1081006486571,325.162900370927,324.85852457172007,324.6891259890615,324.3643759539682,324.16317251475374,323.97534686671355,323.5893696572867,323.38055363436985,322.8217812795961,322.139972091829
