,pd10,pd15,pd20,pd25,pd30,pd35,pd40,pd45,pd50,pd55,pd60,pd65,pd70,pd75,pd80,pd85,pd90,pd95,pd100,pd105,pd110,pd115,pd120,pd125,pd130,pd135,pd140,pd145,pd150,pd155,pd160,pd165,pd170,pd175,pd180,pd185,pd190,pd195,pd200,pd205,pd210,pd215,pd220,pd225,pd230,pd235,pd240,pd245,pd250,pd255,pd260,pd265,pd270,pd275,pd280,pd285,pd290,pd295,pd300,pd305,pd310,pd315,pd320,pd325,pd330,pd335,pd340,pd345,pd350,pd355,pd360,pd365,pd370,pd375,pd380,pd385,pd390,pd395,pd400,pd405,pd410,pd415,pd420,pd425,pd430,pd435,pd440,pd445,pd450,pd455,pd460,pd465,pd470,pd475,pd480,pd485,pd490,pd495,pd500,pd505,pd510,pd515,pd520,pd525,pd530,pd535,pd540,pd545,pd550,pd555,pd560,pd565,pd570,pd575,pd580,pd585,pd590,pd595,pd600,pd605,pd610,pd615,pd620,pd625,pd630,pd635,pd640,pd645,pd650,pd655,pd660
0.5,1126.267966845,1416.6987434,1817.512186595,2106.27402206,2425.985955075,2623.71555834,2954.939829295,3119.7295979,3381.376736115,3715.32261216,3822.4678900999997,4101.982232205,4307.001697775,4539.32730283,4641.006729605,4937.36286124,5212.04727741,5387.65072561,5448.251437705,5740.314792804999,5897.11210873,6107.093351404999,6387.10106859,6525.980814744999,6639.99698655,6661.0523148150005,6990.37300136,7038.741764490001,7298.29983606,7407.88648965,7584.883798435,7802.885725625,7962.976060755001,8072.881635355,8144.312836115,8349.406496085001,8560.431722584999,8665.731157405,8756.432012995001,8896.353604995,9058.73981655,9133.380354635,9292.006177065,9411.227039735,9630.605143499999,9662.575677159999,9851.249936515002,9881.206149915,10008.709139904999,10323.052698035,10289.17152504,10571.6613589,10603.308653945,10695.21748986,10910.35941136,10931.29545528,11080.699286555,11073.65225019,11400.598664250001,11426.006541634999,11629.76943017,11648.98141918,11902.8541884,11768.445801459999,12195.643395675,12215.69739179,12310.174844715,12408.07440836,12530.052929005,12719.50449901,12697.89410814,12985.144440600001,13092.255737875,13020.112380525,13294.30250694,13220.483240849999,13637.81187788,13668.351382044999,13852.786324395,13917.146150449998,13876.067097255,14132.06905523,14303.27395972,14373.36146469,14301.226281155,14503.692253235,14721.808353004999,14916.88676632,14974.263458905,15145.43314947,15072.608670265,15367.68604413,15330.25509158,15514.555463294999,15579.870291165,15854.942474200001,15797.37440103,16049.954974985,16024.086080755,16292.540367455,16359.84759648,16475.624122185,16604.111850100002,16685.342482465,16752.947531545,16834.040838255,16959.717052835003,17113.447353025,17315.961219394998,17441.406671065,17510.438882575,17553.335699299998,17707.024762284997,17860.484056949997,18133.00854477,18113.615403635,18247.94439956,18250.486513305,18365.68830174,18564.9380596,18694.297339055003,18705.686617385003,18883.1137265,19055.02057108,19165.23993812,19315.57068695,19482.807607324998,19597.709535280002,19745.461608755,19894.014728015,20366.830223
1,1164.21185698,1464.20669821,1853.6149906800001,2157.39401255,2477.42137967,2706.63950428,2980.6003903700002,3201.36585013,3450.31158436,3766.2863485000003,3947.5815109799996,4187.00257884,4452.3860724,4622.99603176,4812.55819413,5026.11786635,5292.80087164,5425.9448129,5532.59980301,5824.47479197,6047.32366866,6240.33880858,6430.231969490001,6575.461068109999,6752.5418195600005,6886.8088397,7053.794908090001,7182.11934884,7363.31777538,7494.19530916,7668.22297202,7846.20162473,8062.853956139999,8108.3726005299995,8267.492873849998,8450.40688896,8618.44882097,8742.33477385,8891.29854064,8995.87279082,9142.42910353,9222.65584962,9373.16868003,9451.12902355,9681.08331012,9768.490894640001,9897.71129914,10048.376277309999,10165.511510960001,10414.68516396,10410.78353982,10622.42497395,10712.71414739,10800.5786105,11024.637148250002,11076.06219037,11175.320477469999,11266.82900991,11472.97398352,11573.68786188,11715.107178819999,11799.018387529999,12007.49343409,11975.61326014,12234.797904649999,12433.86464253,12343.57716139,12509.876704549999,12585.71584473,12899.14400864,13018.05842793,13104.3192193,13169.881093580001,13174.798169,13353.876536349999,13470.17520165,13790.46285943,13824.14517478,13953.63915698,14035.662769240002,14000.912757240001,14269.74922471,14409.224788419999,14481.91660046,14550.16301057,14675.06422994,14795.03759488,14957.6036558,15058.04475159,15216.14710665,15269.76811529,15454.95279795,15493.54194033,15601.483451889999,15755.69837839,15957.657062389999,15858.214005670001,16132.59026908,16137.89586218,16325.03350178,16433.71393324,16574.27833141,16720.286372680002,16789.18919479,16870.048927819997,16935.22507452,17078.132928460003,17251.82185349,17395.59345526,17502.80348948,17621.944532679998,17661.50030444,17845.879150729997,17980.06650208,18174.94288998,18199.5229649,18319.70624716,18388.62796951,18513.267982110003,18688.22786284,18785.37901649,18842.60325569,18962.705607120002,19139.12152762,19261.58102626,19369.14936829,19507.941579029997,19651.37126425,19800.80464002,20024.30764949,20366.830223
1.5,1190.1227356900001,1524.0637476650002,1876.3958610349998,2191.3266484,2519.399526245,2758.39082432,3028.68875412,3242.7251861550003,3515.75446944,3843.09319912,3998.237891505,4239.90749762,4488.194339215001,4671.20396124,4844.09243084,5075.726888415,5326.832633665,5506.262293795,5649.340838675001,5870.352053905,6096.2136062849995,6274.606646284999,6454.633111204999,6626.959696395,6823.576723675,6959.01009577,7147.71271135,7253.87194289,7464.871345355,7571.779408685,7721.920880255,7902.331567085,8114.884106305,8228.054034855,8286.8900249,8538.484666765,8645.035747965,8797.079315855,8936.363526645,9057.497257125,9195.102898355,9285.009956725,9431.515031775,9550.064082550001,9745.383841375,9851.073295844999,9986.557017215,10128.09133423,10243.44536317,10426.438767985,10483.958006295,10649.84976143,10819.897671785,10862.11143069,11098.969507475,11138.652075895001,11250.329585065,11389.17485204,11560.473456555,11641.26581207,11791.78041839,11905.056425445,12095.017044365,12104.659208565,12340.03245508,12513.83719346,12430.962686415001,12574.197079935,12677.67853974,12934.836540165,13118.918992155,13137.87504578,13256.9501439,13312.9299087,13543.27002247,13585.54282728,13856.29676594,13906.76969721,14011.70512493,14123.241018025,14144.929061499999,14311.152578660001,14485.235741049999,14541.636589759999,14719.41724499,14819.585513785,14877.275922069999,15024.229446455,15110.3444597,15291.3906268,15367.94756373,15495.297533620002,15612.120003605,15718.730115895001,15804.61285318,16070.070343705,15953.80104509,16229.94083929,16243.533140645,16422.284579585,16530.247427735,16611.898671905,16801.237707105,16806.15154417,16973.155095690003,17052.506528015,17180.82587096,17285.754621959997,17470.50842652,17534.309370465,17700.594331295,17740.47773496,17882.78038736,18012.070569275,18221.679257069998,18270.47599778,18349.713987475,18483.18026357,18583.905359005,18745.74017826,18835.135503974998,18899.89874175,19032.701644405,19190.795577675002,19294.937612700003,19414.560442,19543.038852915,19706.654190575002,19822.552662285,20045.07041211,20366.830223
2,1206.38222206,1551.45132642,1891.61647724,2217.4651758200002,2532.17175322,2797.3651349799998,3080.12057014,3290.86296824,3542.81271336,3896.74979404,4040.23570862,4292.24157826,4521.2090634,4703.717467500001,4872.41207402,5202.07656784,5369.87438218,5591.4930114,5690.96911534,5914.62526874,6161.5196144599995,6312.89967384,6471.9022177,6666.69755838,6841.15222254,7009.509034000001,7174.88083688,7336.33547736,7514.358449439999,7641.12223764,7798.34107396,7942.95261748,8139.2798073799995,8258.46486876,8336.500743780001,8573.54519884,8692.2909049,8825.20312046,9016.6386856,9072.8151154,9226.858556,9322.39859866,9518.03216676,9607.759468,9782.67078534,9890.12119962,10080.35809944,10154.70741634,10304.65343972,10483.31800446,10522.23909348,10699.4436519,10862.19175536,10882.587470159999,11120.791366739999,11173.81912562,11338.06901626,11436.49708518,11629.382925060001,11677.39093242,11864.86904586,11995.220635740001,12160.01869768,12219.22361674,12410.91433154,12578.788993,12521.41981518,12648.88058334,12755.963038060001,13006.4525726,13196.0794197,13196.7001629,13307.77143128,13389.18571338,13599.68441806,13665.05978786,13895.578939859999,13966.35169698,14068.37264388,14167.31822588,14196.25472838,14336.6416553,14540.00555982,14577.31747756,14752.653266360001,14915.33109586,14981.64022372,15074.1662846,15155.83512048,15320.35267238,15398.342248219999,15560.406712560001,15701.116305959998,15799.992583640002,15917.24247472,16116.313396520001,16013.12874652,16270.69527678,16318.68719832,16468.720601020003,16543.89870384,16671.2012625,16825.374871,16839.47092072,17025.8165481,17096.38088968,17245.238639619998,17345.69522714,17498.70163812,17583.31067684,17767.205295260002,17825.4357753,17936.51861768,18042.735420319998,18248.03988246,18314.9441495,18384.165299020002,18507.64362826,18623.1855336,18763.913130160003,18885.327705400003,18938.00905254,19080.7012245,19246.18277064,19335.008717,19466.737051099997,19604.16785766,19733.30264978,19863.84136196,20070.21540366,20366.830223
2.5,1221.5797114,1571.6608355,1907.67677365,2235.5575033,2548.350263075,2837.848873625,3103.60146855,3308.124506675,3580.23146525,3942.1640155249997,4056.514148075,4368.793004725,4563.16163395,4728.39534945,4911.2831235,5223.44933715,5397.879701299999,5642.739451625,5714.5586408,5959.562983,6192.801423125,6341.235120575,6513.712061550001,6679.7778401000005,6871.226334925,7065.286046374999,7197.0554405,7376.63057265,7545.79612755,7683.230140925,7833.444348475,7974.5449227750005,8162.355447275,8291.575122625,8391.740361325,8600.285656075,8743.1909168,8864.13870795,9068.390227325,9091.410476075001,9271.4985505,9396.448596975,9557.02852695,9702.638808650001,9831.47700755,9918.154946674998,10119.976605025,10219.21039375,10359.096972,10515.763524700002,10556.8558879,10740.66556715,10913.787410424999,10946.895857250001,11133.938313425,11186.264013799999,11398.052429975001,11480.43882225,11716.28593045,11759.83396675,11896.021517025,12062.172320375,12210.25758695,12303.512319374999,12457.825898925,12605.338769025,12549.212604575001,12735.064830849999,12831.175067075,13049.9786883,13224.99132265,13236.600989975,13327.98897215,13430.457156825,13624.257214649999,13712.700885799999,13912.251809625,13980.012534075,14099.391776175002,14236.18449645,14312.963290525,14366.253708975,14594.3453816,14644.513033575,14826.139451525,14952.595933925,15021.945910024999,15119.9381959,15175.252742875,15394.66578115,15445.202006624999,15591.847232999999,15736.577727349999,15831.695278875,15940.20587765,16145.695691474999,16076.753468425,16329.825042375,16371.404409474999,16524.474415049997,16580.0692116,16702.135907375,16859.484418925,16887.6558655,17054.0616369,17162.340844875,17297.372466350003,17367.81323105,17551.749506674998,17647.696649575002,17796.121555475,17849.328926275,18000.22561995,18074.3198009,18267.558364375,18337.071169425002,18431.656256125003,18532.0485693,18647.6460776,18805.16714745,18925.014911175,19014.911144200003,19104.119825924998,19270.0515199,19371.37385285,19492.165512925,19625.721022025,19752.181825699998,19883.965485775,20086.733139825,20366.830223
5,1271.938676,1630.16773965,2004.0039961500001,2311.2651708500002,2611.3234348,2958.11890665,3238.72968505,3470.7354397999998,3746.6211816,4038.8793471,4200.6751239000005,4465.0573804,4685.040651050001,4931.6999685499995,5070.4326805,5356.0458762,5531.7054493000005,5753.37118525,5877.0479363,6128.82272515,6315.3441882,6464.67309135,6651.498248399999,6836.572366949999,6967.4947085,7186.6030544000005,7342.0610476,7522.438869400001,7700.0632063,7793.01631715,7922.7617764,8091.4198639999995,8300.517095300002,8447.7440255,8580.130729800001,8744.02499295,8891.3168419,8960.294373850002,9177.9711679,9275.3722459,9413.19435045,9554.6691605,9718.230422600001,9861.82866005,9989.19519355,10084.0250905,10288.984899100002,10386.879370699999,10529.652714799999,10698.122556,10734.14974915,10908.62486735,11047.685441,11151.5876307,11318.21901195,11448.4019474,11555.9655425,11642.10289085,11823.67531325,11945.78563135,12071.4930833,12208.8079499,12382.6424751,12467.1105277,12570.5308341,12765.41177335,12733.899653749999,12906.08393645,13035.0347851,13201.61881515,13355.566447700001,13418.90033175,13519.55589485,13607.800613250001,13794.4392984,13963.257588999999,14046.093676100001,14157.77676895,14249.9955811,14396.80243785,14480.93932745,14556.31965755,14737.8677232,14803.9941472,14949.8547686,15060.17878095,15155.16044245,15233.2137748,15340.2628013,15527.81965145,15619.6504381,15739.9397672,15852.915778,15957.205014550002,16099.53084105,16251.58445625,16275.91134705,16452.31795935,16491.97581465,16626.960070899997,16768.1660635,16888.273708099998,17013.9563605,17031.54648265,17216.17273175,17298.05380625,17424.7352333,17505.7572126,17664.16543885,17763.51610705,17908.340797999997,17990.5424521,18120.8405307,18229.991662549997,18337.090406850002,18438.10492455,18562.52229405,18664.677184149998,18739.363537200003,18912.195874250003,19031.2956179,19108.60476605,19218.44321705,19353.07276655,19440.36079405,19588.48855755,19728.3603144,19849.06570925,19964.11003415,20152.9434737,20366.830223
10,1323.4032207,1737.1968841,2103.8457405999998,2411.9224326000003,2730.3497638999997,3049.1772505,3362.5481743,3634.9877144,3884.1416367,4138.7016029,4377.5444823,4589.8970272,4854.4149363999995,5055.9608684,5186.792795400001,5482.5997979,5662.460977,5890.0895278,6031.7659998,6274.5825569,6433.5718032,6620.754325999999,6790.311578600001,6999.3137339,7140.7700125,7322.3730148,7506.6855764,7674.9377611,7853.5099566,7962.1311963,8124.0537159,8235.0329572,8428.544097299999,8615.045094,8712.974438,8917.767391200001,9054.2278325,9120.271159200001,9333.9086061,9455.838572100001,9591.257673400001,9760.377634299999,9912.5812408,10050.542249799999,10147.9645409,10267.7623159,10453.0494423,10538.7482544,10732.0913422,10881.508061100001,10924.237215000001,11084.6017839,11215.6354321,11389.606814699999,11484.5270867,11653.5170961,11765.5364693,11835.8282321,12046.1068163,12139.7572587,12262.1604371,12424.193905600001,12611.454631800001,12632.096042699999,12742.4430526,12927.0434454,12945.6930565,13144.3679233,13229.4129523,13394.3220301,13512.5945965,13629.7163907,13749.7072288,13823.2810214,13990.7938557,14135.2936761,14193.341572000001,14307.1831628,14438.446095199999,14579.5327968,14679.7421624,14751.5926652,14926.806746,14989.8587937,15154.1504562,15261.081366,15374.438336,15467.2744317,15543.5813009,15728.817164,15797.7670827,15916.7973076,16058.1467249,16177.7046778,16273.387654999999,16381.240304199999,16472.234891699998,16580.8841407,16644.125543899998,16813.348126300003,16938.6099355,17016.1180771,17138.6611768,17217.5381066,17391.8595317,17455.232157500002,17562.314693300003,17652.665408599998,17804.8182151,17925.8437807,18032.9437617,18130.901036799998,18252.5460519,18361.513428000002,18448.9247598,18564.66968,18673.8285571,18799.151063100002,18853.351891500002,19023.6641014,19134.6263168,19229.1275049,19339.0099138,19452.6340722,19542.4271051,19712.1793522,19804.5012361,19933.9094775,20041.4420968,20204.81647,20366.830223
25,1429.9952644999998,1877.3617167500001,2270.87720725,2588.262229,2936.54408075,3254.66921075,3568.8732115,3843.5343777499997,4092.1077475,4341.7901005,4626.7102075,4840.24469225,5096.2496165,5304.968691,5458.71363425,5707.875986999999,5921.827556249999,6180.7530835,6316.8852015,6539.882988,6689.53423525,6901.115935,7039.61254975,7245.9913585,7424.778314249999,7584.161943499999,7788.35638875,7943.69127475,8136.76225625,8242.18580625,8398.91049675,8542.25133525,8750.181886,8936.251766000001,9049.277068,9252.85275675,9359.116159500001,9469.88600975,9598.530377750001,9777.024185999999,9922.0319605,10066.6316795,10219.507279500001,10359.44789525,10495.817327,10642.961687250001,10776.5579365,10890.47893575,11045.5413305,11185.297523000001,11280.796797750001,11434.308644,11566.5562925,11717.66578775,11862.548208,11966.643592,12099.24657,12198.5361485,12339.810647999999,12487.3427595,12593.10182625,12718.019544750001,12892.32457775,12971.514129,13089.0814325,13207.963724000001,13261.39374125,13486.7061275,13582.9444095,13688.170286,13801.492386,13938.56464025,14055.235408,14151.39573,14291.533287,14424.45599925,14502.21333725,14599.591881249999,14736.27565525,14884.14502425,14940.1459445,15088.2601455,15226.1671035,15280.143715499999,15441.27238925,15566.672868,15638.573357500001,15769.3722,15838.32472425,15985.418385,16100.80690675,16182.710553,16320.60270275,16455.6647465,16562.98780625,16651.29051525,16714.924883249998,16818.8609845,16921.5023565,17048.71515475,17161.946738500003,17267.666783,17403.10540275,17490.08250575,17619.58781275,17711.71774675,17798.114856,17894.42794175,17995.1775215,18139.0861645,18245.663712,18345.148010999997,18452.019770749997,18559.633775,18673.823357499998,18753.391246500003,18858.562770750003,18982.272737749998,19065.10357,19192.025389000002,19286.9949625,19375.55821675,19498.44088225,19597.263079,19700.873241,19826.06124,19926.91308475,20037.9996335,20130.194284999998,20252.50067825,20366.830223
75,1737.2799015,2243.85578325,2660.3905665,3062.1763419999997,3414.51288775,3745.088905,4091.68390975,4371.49016775,4652.22679325,4926.9829227499995,5178.222894750001,5428.5025655,5648.826113249999,5902.13955075,6111.48268675,6316.00293525,6541.779338,6809.12969,7020.25093475,7195.3644,7393.0201815,7572.515722499999,7738.0632365,7900.20900825,8105.14527875,8275.3215425,8468.817246,8653.9904245,8799.80288675,8963.01000825,9061.617922,9278.31810325,9444.033827,9562.15968875,9726.2424415,9945.263806750001,10023.489746,10173.270291,10347.207697,10479.648687249999,10646.141161250001,10776.535864,10938.1004685,11063.18858925,11175.5730205,11334.59372325,11453.377532,11580.33324,11757.445321,11883.56174525,12000.3742805,12161.641698000001,12234.40954575,12421.6817125,12527.5287145,12663.141187500001,12771.29798875,12907.16402425,13023.775689999999,13157.18196325,13262.3381505,13395.61053925,13576.849409999999,13648.911657249999,13748.413155,13873.013048499999,13996.78601475,14124.680864000002,14242.6788295,14347.02701625,14451.76280925,14579.654045250001,14667.36803075,14794.990919,14896.3600135,15029.719341,15134.799954,15239.45651375,15334.882189,15492.11905175,15585.38669825,15681.506073,15795.0499585,15919.9862335,15990.7243785,16154.37031,16203.48851775,16351.72051775,16425.401975250003,16535.406618250003,16658.7774905,16729.87959875,16861.568657,16978.54927375,17085.10481375,17187.062798,17262.91318325,17317.84797525,17478.3199115,17566.647931249998,17648.79528625,17760.85819025,17876.857552250003,17969.2471475,18065.87371125,18186.28564325,18248.66798875,18356.966138750002,18442.3926685,18537.522566,18662.6229235,18761.746838749998,18814.119112250002,18932.65891575,19025.3286555,19111.58000375,19202.95374275,19299.5610825,19374.333304,19478.687687999998,19554.7864575,19638.47259375,19728.7318775,19824.33399025,19915.96451675,20001.567889,20086.30437975,20162.106492500003,20238.67689375,20315.37605125,20366.830223
90,1909.8853663,2420.9746191,2876.4223137999998,3278.98516,3666.9484168,4038.8903092,4362.8504282,4639.4381326,4937.1324552,5188.5747887,5453.6385098,5714.4368343999995,5974.960674700001,6171.6786172,6412.420055,6618.9034034999995,6855.9232632,7094.899764500001,7321.8211246,7482.399886300001,7677.2826365,7831.7359726,8020.0402368,8179.6835311,8379.4551666,8542.9463865,8771.9806845,8950.7505151,9104.6690113,9237.7828131,9362.193483500001,9605.6044463,9767.2529008,9856.9117905,10025.3803212,10230.5311575,10322.794015899999,10453.2972355,10675.3308702,10775.5360048,10951.8731953,11065.5283559,11204.7615001,11407.2448803,11434.3769197,11627.511879700001,11752.161821900001,11895.085028099998,12027.498926,12143.5112395,12289.325112600001,12454.6199982,12542.7000302,12684.8372062,12811.7077687,12951.7432039,13049.9570359,13175.2877639,13289.6343995,13418.7029351,13547.1501342,13666.498626999999,13811.7813399,13957.235205899999,14026.0144451,14148.2938897,14264.859938700001,14411.3237787,14488.8876301,14581.7817378,14725.0631732,14848.8494283,14908.2077847,15041.4017613,15149.700610400001,15316.7500163,15374.0330411,15510.3576723,15611.097395300001,15722.518911,15811.7374209,15933.7888313,16027.185164999999,16156.013946699999,16249.5222348,16362.897363299999,16437.810171999998,16573.4425132,16679.331068000003,16749.848397600002,16847.003609299998,16940.0490547,17075.1133755,17177.788431599998,17291.510727599998,17377.9974095,17468.6199892,17519.3707216,17663.268069899997,17751.163765,17817.0666984,17937.1439054,18048.256471,18135.5689331,18237.4608981,18354.2559914,18392.5649874,18500.247984399997,18580.468501,18690.8117526,18804.2910987,18893.892886700003,18951.8304975,19054.269061299998,19146.390964399998,19230.9348774,19322.9337209,19406.6554821,19480.989376,19579.9921483,19657.3095943,19732.0994058,19810.5420935,19901.2716304,19986.3297222,20055.758303900002,20134.9220523,20202.4567293,20268.8711862,20333.095531500003,20366.830223
