,mntd10,mntd15,mntd20,mntd25,mntd30,mntd35,mntd40,mntd45,mntd50,mntd55,mntd60,mntd65,mntd70,mntd75,mntd80,mntd85,mntd90,mntd95,mntd100,mntd105,mntd110,mntd115,mntd120,mntd125,mntd130,mntd135,mntd140,mntd145,mntd150,mntd155,mntd160,mntd165,mntd170,mntd175,mntd180,mntd185,mntd190,mntd195,mntd200,mntd205,mntd210,mntd215,mntd220,mntd225,mntd230,mntd235,mntd240,mntd245,mntd250,mntd255,mntd260,mntd265,mntd270,mntd275,mntd280,mntd285,mntd290,mntd295,mntd300,mntd305,mntd310,mntd315,mntd320,mntd325,mntd330,mntd335,mntd340,mntd345,mntd350,mntd355,mntd360,mntd365,mntd370,mntd375,mntd380,mntd385,mntd390,mntd395,mntd400,mntd405,mntd410,mntd415,mntd420,mntd425,mntd430,mntd435,mntd440,mntd445,mntd450,mntd455,mntd460,mntd465,mntd470,mntd475,mntd480,mntd485,mntd490,mntd495,mntd500,mntd505,mntd510,mntd515,mntd520,mntd525,mntd530,mntd535,mntd540,mntd545,mntd550,mntd555,mntd560,mntd565,mntd570,mntd575
0.5,87.3029514955,89.24223017866673,83.4210785330001,78.8535645572001,81.58146373466664,72.96003881100005,74.004318079375,72.34803040700002,70.8092349285,69.57379164427276,66.19093364625003,68.00748023176926,62.480853643642924,64.27689980180001,63.5439798029375,60.62749203117654,60.17972886094442,60.45614480126317,60.1357341235,57.364687857047606,59.65358279522733,57.32941309939136,55.63200427587497,54.55244653508,53.78665159565386,53.55440859811116,54.10949751000005,51.080259461448314,53.0056569167334,51.349788803580665,50.232039667468754,50.24742219421211,50.516800204529424,49.54600389662861,49.99528351988892,49.942836725243296,48.73867695705262,49.6331903708974,48.343269130025,47.79716077353655,47.07390378828572,46.85349734416282,48.37360429606824,45.879590392888936,46.38240775678265,45.283478210766,46.41260909562503,45.29780738738783,44.859423365199994,44.93079122250983,45.45272562746157,44.1782262327736,43.89946185877781,43.834462481836354,44.56408528119644,43.89475466973684,44.13981986187936,44.299782693389815,44.614361378516705,42.9804528168525,42.60375214354842,43.22583234195243,43.00220437040625,43.04161830361539,43.07351982786368,43.01757526729857,43.0687610319265,42.283638038202916,42.219702762542816,42.91605280618309,42.13601865491671,42.343965746999984,41.63289081567573,41.96039073226663,41.65121881710529,41.761717966818175,41.5989481507436,41.671346837316506,41.886429512675,40.48735422243213,40.89826709314635,40.81540023636144,41.14798458640474,40.31233446039998,40.8033213858954,41.06362309445976,40.292861804704565,40.00787277692141,40.48915324688889,40.63109906210994,40.14866460816309,40.22355214391402,39.43977024473408,39.56333938217894,39.98984641609375,39.835876752917486,39.83059230422452,39.24042604224245,39.50853206078,39.51231495773271,39.43875080320588,39.41650189637868,39.612461789250055,39.266448792076204,39.25358281914156,39.16850567045799,39.42288206410185,39.02290314308261,39.14609543995458,38.94016587501805,39.42546002161608,39.32275174637171,39.19304201560526,40.4760952591304
1,91.684313964,90.6507959066667,89.379715932,84.28596637999999,86.12771964500004,77.0102999391429,77.6658616205,75.233652752,74.24709438980001,70.93012945309094,68.74564952533336,69.64406183999995,65.70581185214284,66.06718127733328,65.34631142725,64.63144103023535,62.58817481077773,61.332036873473726,61.8393879285,59.718900838857145,60.768636687363625,58.526800503304365,57.53956073183333,57.35763724568,55.25579915184617,54.370414179407426,55.308872610785684,52.817305840069,53.9649470178,52.83390501122584,52.17990065325,51.53144034672724,51.22628961500003,50.37313270571426,51.030915139277795,50.42697463162157,49.69785777421049,49.834059018769246,49.4182740238,48.797310237999966,48.52561902514291,48.283822565395305,48.514077151227326,46.56734043684447,46.98751329573918,47.729511183659596,46.725601393041664,45.89881242387753,45.60738882564,45.49008859478434,45.919719095230754,45.25588641758492,44.85326799474079,45.28895028963638,45.81305309000001,45.29930669722804,44.80173633741383,44.90636997220343,45.09600144583334,43.79201137104914,43.834852958451634,44.142763006603126,43.93528857046875,44.08201073886157,43.847466108272705,43.831018599223896,43.522199852999975,42.867929029188375,42.96104719025717,43.195419991239454,42.7018661986389,42.701160500054776,42.44085469797297,42.50078241098664,42.49517170136846,42.7310721459481,42.0995681070256,42.02406097318987,42.18532621565,41.1838976222222,41.417473072243936,41.129690564771046,41.43693362549997,40.86651019988239,41.2701270936047,41.43868701850574,40.85946832238633,40.42471283991015,40.85819697460005,40.71672519224175,40.401767460695666,40.48094484148384,40.07846603991489,40.33834316334738,40.468925986312506,40.1444559533196,40.01938451004079,39.61929661082828,40.01303587636,39.97555548572275,39.81580990915684,39.688715178446635,39.831438172519235,39.42799988689522,39.51366619232077,39.35717511168228,39.48922659164816,39.545576356623826,39.31874976339997,39.187480168954984,39.539157124267845,39.49124485385842,39.51062331507014,40.4760952591304
1.5,95.542664665,95.1592345916667,93.02840803275001,86.3795570658,88.48913016350001,80.88304842914282,81.214370542875,77.17175527955553,75.08558553660001,72.55402322109094,70.7200569915833,71.14227432415382,67.48868450178568,66.9909328662,66.992235770375,65.47419212676463,63.38556431788887,62.581563367263186,62.558189577,59.936105410809525,62.016000180409115,59.647313112434816,58.3835250629584,58.02110394572,57.10157097492306,55.00145726070367,56.005505638785685,54.04619689868966,54.483029463600005,53.7763610446774,52.809746337187505,52.18378784212116,51.96512840197062,51.20831234042853,51.310209977166735,50.97948297632436,50.01503139907892,50.62509927346153,50.249277789075,49.216390393268256,48.68304518221433,48.622090460069806,49.026569821136356,48.40165204397777,47.584282244282655,48.13423969210641,47.185551166500005,46.90476250518366,46.2000616287,46.00313981686271,46.81502923749999,45.98632303392458,45.55279458798149,46.11359114947277,46.271935228625004,45.676372446666655,45.434571991137965,45.077795888169476,45.2276420933667,44.201824332819676,44.17973334030647,44.50600605123811,44.359752401734376,44.599626512599976,44.049204090757584,43.91665268629854,43.896675391941194,43.362511309246415,43.17123117304281,43.55620196063384,43.1021275245139,43.259636092821886,42.86102948020271,42.6775220660667,42.78120504403951,42.839732716857156,42.340886997012795,42.20956999782275,42.295498897962496,41.78739586074074,41.80890569364634,41.538719105433756,41.737708170261925,41.11981464876469,41.51566947761633,41.54442423094258,40.98973906840913,40.742029935584256,41.07591004966663,40.870919277912115,40.66690561804349,40.61999852550535,40.40293432565956,40.669756515968444,40.556802035645795,40.32020728227834,40.19442219016329,40.08371353731314,40.15200496203,40.07645011234653,40.14392592790201,39.864524732174715,39.96706817076923,39.6054967709333,39.77465046769815,39.46870317837386,39.689660637138864,39.60452266412846,39.456239556963624,39.47154451963068,39.6716391847679,39.660525809513295,39.96107063947369,40.4760952591304
2,97.664075312,97.56339887066667,94.45475088,90.23084232800001,90.8494392986667,83.08652972285714,82.969438779,78.34339440755558,76.19892099719999,73.77680057963642,72.20972734900003,71.62209187876925,68.79279828714286,67.51610415706666,67.60834906875,66.76609425670584,64.3496639697778,63.35021121178951,63.4699402632,60.94921096800001,62.3099968469091,60.56836474556519,58.79098123533336,58.904382240320004,57.44664121169227,56.099075870666724,56.51316712557147,54.82611826537928,55.2785396633333,54.21878659664521,53.340224529000004,53.00072205660607,52.31924699035294,51.83026162891434,52.42557659766671,51.60203152075678,50.86795972568423,50.936513149333386,50.9011205538,49.7780769093659,49.394615026190515,48.948409862511596,49.24300031054549,48.53981162355553,47.873859164087,48.539628916851115,47.6114999753333,47.938259772489765,46.79224805032,46.759167259294145,47.080245528461575,46.53025227675473,46.137141756444485,46.62502666319995,46.693651591571395,46.23501317221056,45.80067252,45.32339005681354,45.4820861171333,44.54558320983605,44.715760521935486,45.062874601142894,44.93305262475,44.89043544363077,44.354219573393955,44.047212591701495,44.23822491817653,43.83557222394198,43.46605509474291,43.76939110653522,43.39606700716668,43.47885140438359,43.127574871945995,42.8985370512533,43.051857369157915,42.97845450659739,42.63981838830769,42.45447590840504,42.511461888650004,41.92599721061727,41.96159919580486,41.725492839566265,41.9471182696667,41.31527751534117,41.75640641841857,41.7556292472644,41.27268389745452,41.22368666332583,41.26238340417783,40.98574788167029,40.87502371439134,40.775804273462406,40.55658669340423,40.80874037553682,40.69393449449997,40.505198108371175,40.3388760517959,40.16193918339399,40.22077738656,40.106601006257456,40.22441277360788,40.01556860213594,40.122875450000016,39.76339623657143,40.03368250528303,39.55104266127108,39.85647627496298,39.67037187038534,39.51198627840002,39.66516139657653,39.87194541432141,39.93237938088493,40.04941251042104,40.4760952591304
2.5,103.50112293250001,101.057987695,95.52534481125,91.545348357,93.12487325083337,84.71073968642857,83.56915514812499,79.80305913055561,76.953755483,75.22729673181813,73.40355975041669,72.54871193999998,69.51233296999996,68.31632283166671,68.75347603124999,67.41230386088233,65.04060010250005,64.00037560289475,63.873035406,61.72209131499999,62.68623502227272,61.476797522391294,59.57187599083333,59.5346528958,57.95174482057698,56.420596648703714,57.14272120124999,55.58583475551726,55.764710013166635,54.49307147290323,53.86864548765625,53.344679738030344,52.6491986267647,52.43207282471423,52.63350176583335,52.031420593513474,51.57813713921052,51.54463585333331,51.224592628,50.32917393890243,49.789128105595296,49.478858213139574,49.601131025000015,48.88153523344441,48.1591275227174,48.750800937766,48.24900318104167,48.22760907397959,47.1536831908,47.15776532882351,47.203457421153836,46.90950816009433,46.41925123101858,46.776409340818155,46.930139286517885,46.70648022824566,46.28214863146551,45.60063712491531,45.77284840833336,45.01508931491804,44.978374343709675,45.1560270059524,45.07163162765625,45.17707562861536,44.49654321189398,44.404450885671686,44.3257043347059,44.15590734992756,43.80544631078571,43.93695767683094,43.60958623868059,43.53819536404108,43.34941436263517,43.07495632706664,43.258700767828934,43.12192285714282,42.731620208910265,42.67990001620253,42.7326994105,42.25166214296298,42.083996071829304,42.051987309277074,42.1778289508333,41.384129172529455,41.94797130831391,41.93615807959773,41.41918959840912,41.34822207775281,41.40459149783333,41.106219840604375,41.18073697864134,40.968132754623646,40.850992660638305,40.88818659573681,40.86006894348955,40.57859647582473,40.61345801183672,40.27852056055554,40.36860180405,40.219766386386105,40.28469774181375,40.15593123723299,40.29307626216343,39.836597917619024,40.070058309103764,39.6413711699533,39.87593238657408,39.79748310610088,39.59960112040907,39.770810029594564,39.963887418794634,39.9664241864159,40.11524539333339,40.4760952591304
5,113.67687427999999,109.3999179999997,103.228718305,98.61254290000001,99.5156677633333,90.38496360714291,88.51012582749999,84.26567048000003,83.624315524,79.64806861090909,76.421453065,76.8711852030769,73.60957445071432,72.1139408653333,71.342493339375,70.26068338294124,68.33004182500005,66.48157030999995,65.5798544215,64.43147315142856,64.63474082363633,62.91378077000004,61.2890081204167,60.6577568788,59.70142727230772,58.72948580962959,58.81897746857141,57.94418132275857,57.057079994333364,56.62927572322583,55.260449114375,55.126814381212114,54.517568336176495,54.48882968742861,54.57619574388894,53.70525045054053,53.15104449710527,52.6537001646154,52.530005953250004,51.7743454631707,51.64472800380957,51.2592078872093,51.07703127704542,49.91778904977782,49.77490009934787,49.979820771702116,49.696579615000005,49.316610441836694,48.6572037082,48.528244734313716,48.516195714807715,48.29066925716984,47.63915063222225,47.78562906327273,47.79567104357144,47.511592745087675,47.668489044827616,46.980077914406806,46.77404381066673,46.05358810327872,46.24635447274192,46.17876306952379,45.95698824640625,45.9156942543077,45.42937949409088,45.26915727164182,45.21649276544116,44.86493350840581,44.65228002585712,44.62124942253523,44.25875041597226,44.21159058972601,44.15633401256755,43.85256653013333,43.79219645460532,43.639004424155814,43.503643988974346,43.25105923075951,43.3124057155,42.868569906543165,42.75244392914637,42.63786551385539,42.74488344297621,42.32804489388238,42.60485459360467,42.4444363043678,41.97493316454541,41.89046014292134,41.88090796333335,41.53348212065934,41.587403175869596,41.44717371193553,41.195946639042575,41.267234606210515,41.2601690055208,41.162046018762936,40.912696906326495,40.79318154010099,40.7618109247,40.673640728415805,40.586052899509774,40.53241994951459,40.60190546769228,40.264467457238084,40.45157717556601,40.02132453775703,40.17280865907407,40.12620337495419,40.13502527800002,40.18483415981982,40.242687583392886,40.162581823539796,40.22041423956141,40.4760952591304
10,130.21196801000002,121.2062801933336,113.624104805,109.716299576,106.3903320333333,99.1651556742857,93.9357131775,90.23710440888894,88.93047075,83.88695112727275,80.7433642583333,80.5678620738461,77.60371893142852,76.41844148799997,74.6758306875,73.63746842470592,71.85760550444448,69.9451378252632,68.47577331699999,66.85541008095237,67.0091655763636,65.0166586086957,63.69963271,62.9290240976,62.22422266000003,61.27841464518521,61.239284777857165,60.162331588275904,59.21716899000003,58.7025366529032,57.468280067500004,57.43986254606065,56.78315273235293,56.10505350171427,56.545002261111165,55.67351131405411,55.1897899289474,54.37910579282055,54.3287346375,53.78263707024387,53.188934382380914,52.785002569302335,52.6467394068182,51.78877310177782,51.52406684869566,51.6515726374468,51.02408122583336,50.78493304285713,50.1276104132,49.916559118039196,49.75283645961542,49.452183860000034,49.29366141000003,49.10553575418186,48.89575117071427,48.76111153403506,48.59844376551722,47.95353040474581,47.75326147966664,47.193545143278676,47.489643705161335,47.28429623904764,46.9132874103125,46.929751271692304,46.270122058484844,46.29576101492541,46.18285925,45.82800387130432,45.474716450571385,45.43917174394366,45.18308988555554,45.16924222164389,44.952321797027025,44.649736226933356,44.570517139736886,44.536886526233765,44.239519371794906,44.06471809949372,44.003148597250004,43.60197843382715,43.500690832926814,43.30903157542172,43.31013579285714,43.16240530188241,43.15061852604655,42.97575297770115,42.54071385568179,42.49035976674157,42.61288196422224,42.20498584021977,42.183467304782674,42.01798621741935,41.8212915040426,41.86441872147374,41.8936355133333,41.621062737525776,41.54321877183672,41.39101716404041,41.2577855128,41.131194841386105,41.124500064117676,40.99801851436893,41.045471889999995,40.71814132152378,40.85235554924533,40.58909677327102,40.664349608518535,40.51950241559637,40.51856985181817,40.462421660540556,40.416740843571404,40.37182352690267,40.34213255771934,40.4760952591304
25,159.977228525,143.81126755000025,130.5974936375,124.2490723,120.24006687499975,110.72503469285701,104.96555988124999,100.1017333222225,97.533062245,93.3710435454545,90.44213715000001,88.65555200769234,84.73611099642852,82.44255198,80.90884611875,78.98718821176467,77.42998148055557,74.9146637,73.6265271975,72.30148957619048,71.3976175045455,69.76617423043477,68.28964215833336,67.29113052,66.5309674903846,65.34529157407411,65.25129615178574,63.94734616206895,63.06612756666667,62.75255164677422,61.566841971875,61.221991450000004,60.37488466323528,59.64991878857145,59.3169051472222,58.89340511351355,58.198942057894776,57.3381980897436,56.9468571925,56.4129914304878,55.92918100476195,55.389192411627874,55.33512193295458,54.42327716888893,54.2664534532609,53.99454712659572,53.4778616885417,53.07093717959188,52.715396823999995,52.2138649401961,52.146675790384606,51.570077363207524,51.51791323240742,51.2646350309091,50.89003887767855,50.57168534736843,50.43839900086208,49.762796964406824,49.6133468816667,49.03006980327873,49.0150334201613,48.846389507142824,48.446308378124996,48.451375742307725,47.864828763636396,47.77474430746267,47.652866265441205,47.188023553623204,47.24916774071428,46.8988383978873,46.748763951388874,46.5120380815069,46.36868164256758,46.312202402000004,45.8909569138158,45.883863925974,45.66053423333335,45.35524105949365,45.1415152175,44.9148637685185,44.7363134542683,44.59850363855422,44.50747911547622,44.37579974470593,44.2344917901163,44.00062389137935,43.68197589204542,43.5610877567416,43.46212444000005,43.385289827472576,43.2204094130435,42.9774815962366,42.82203872606382,42.78804960315787,42.714131559895826,42.42710975567013,42.3317733005102,42.14662208232322,42.110312162999996,41.8450170579208,41.83396466715688,41.81414658640775,41.71627076105768,41.4619139719048,41.37197337358487,41.2026711911215,41.15712314351855,41.01219774633025,40.943399680909124,40.786307132882925,40.70651014285717,40.57947702168145,40.5199562307018,40.4760952591304
75,229.96547335000002,200.03416828333326,180.244959125,164.51001306999999,152.43291308333326,141.13413877857124,135.30351795625,125.81518290555574,121.43857605,113.944438922727,109.9461074625,106.705282073077,103.17137352142875,97.79762685666672,96.726617615625,93.83104544999995,90.69060917500002,88.65434861842104,86.40327546750001,84.96693563809525,82.76789455909088,80.96182452173917,79.2035319479167,78.095123102,76.46244492884615,75.02684217777778,73.84137259464288,72.87072566379308,71.67752672166662,70.46882883225811,69.822265990625,68.66734370000005,67.80980173088236,66.80938946428573,65.99734886944447,65.76552295270271,64.6902366026316,63.466196165384645,63.033928932500004,62.7119716780488,61.73544277261905,60.90018136162793,60.505318910227274,60.12771294555557,59.917457621739125,59.15300234468087,58.51185726666665,58.22887737959182,57.397287622,57.141394720588224,56.75974135096153,56.11266811509435,55.976354648148174,55.463084513636325,55.069610806250026,54.48557811578945,54.2020332931035,53.81718831949155,53.272316488333345,52.9663186909836,52.75880950161292,52.6066219857143,51.9637430390625,52.032138913846126,51.4147173765152,51.10723834402988,50.85447364779415,50.5584690231884,50.32109650500003,49.96822108661973,49.7277018083333,49.47093639863012,49.0650984452703,48.96761375399998,48.523039239473725,48.51347559025972,48.19023777948718,47.9825483310127,47.6855810875,47.26359618765433,47.22140502378048,46.92826945903617,46.68383628333335,46.50118290882355,46.24687627558138,45.9890532511494,45.75829062102277,45.626079119662954,45.33785110888893,45.16292942527475,44.972915126630426,44.7102774962366,44.54795771063832,44.4156934468421,44.2052641546875,43.940228690206176,43.7823475280612,43.60011534646465,43.3877221315,43.197990681683194,42.97668835980397,42.88518121019415,42.71502717692305,42.45864215714285,42.26089637500005,42.108188013551455,41.92048933472223,41.75436626009178,41.555364634545455,41.33945087432433,41.144100891071474,40.99037392522128,40.764762595614,40.4760952591304
90,268.87212836000003,230.8464251466664,204.93553250500003,182.706205076,168.147032346667,159.0269693771425,148.6200352525,137.6170403733337,132.354586722,124.0683825818181,119.81995327166699,115.1551935215383,111.0987960028574,106.1227924653336,103.17253884875001,100.3739345505884,96.27092670555552,94.65983736631581,92.03073976499999,90.74363005714287,87.52792058000003,86.08481846173919,83.69220174583334,82.16276180320001,80.40603225384622,79.69511427333333,78.02385576928573,76.93395022275865,75.72494158933335,73.86212853677422,72.976973434375,71.91910544060606,71.2096075935294,69.59664108228574,69.12914765500001,68.57620741189187,67.27894305789476,66.41102321076922,65.69217118700001,64.99675664390244,64.74722296333339,63.8847809911628,62.83097034954541,62.3610618608889,62.14345820913049,61.33911429319152,60.61666419583336,60.36661976204079,59.427023315199996,59.60568696862746,58.61516557692312,57.92788156641513,57.80347141296293,57.27056885200002,56.67569679321431,56.218011836842095,55.97561337586209,55.481169865084716,55.02143105999997,54.622362226885215,54.17907082387094,54.08767247333332,53.419730013750005,53.42589304123076,52.81904296939391,52.47610696328361,52.20353037058825,51.83515844202897,51.494579752,51.20681566084508,50.84456106333335,50.50615081698634,50.2922569764865,49.9672835192,49.62970277210528,49.534552668831154,49.139838524358964,48.951153654177254,48.6667583155,48.321463868888884,48.12658500463419,47.66950739349397,47.67291254785716,47.19948301482355,47.051702494883685,46.893950763678184,46.51975873477274,46.355156843595545,46.08791996688891,45.90876219758241,45.60684682608695,45.32362566795698,45.12946594063832,45.02924910884213,44.717784398125026,44.431634810515426,44.32093238020408,44.08003230383839,43.784470816,43.71664127405945,43.47356414137254,43.27875644174761,43.03971376173074,42.82647375980954,42.60143921226414,42.456399259439266,42.21427325166663,42.022346256697254,41.78936392199996,41.59077442468466,41.31555815428569,41.11588776407079,40.84421252280703,40.4760952591304
