,mpd10,mpd15,mpd20,mpd25,mpd30,mpd35,mpd40,mpd45,mpd50,mpd55,mpd60,mpd65,mpd70,mpd75,mpd80,mpd85,mpd90,mpd95,mpd100,mpd105,mpd110,mpd115,mpd120,mpd125,mpd130,mpd135,mpd140,mpd145,mpd150,mpd155,mpd160,mpd165,mpd170,mpd175,mpd180,mpd185,mpd190,mpd195,mpd200,mpd205,mpd210,mpd215,mpd220,mpd225,mpd230,mpd235,mpd240,mpd245,mpd250,mpd255,mpd260,mpd265,mpd270,mpd275,mpd280,mpd285,mpd290,mpd295,mpd300,mpd305,mpd310,mpd315,mpd320,mpd325,mpd330,mpd335,mpd340,mpd345,mpd350,mpd355,mpd360,mpd365,mpd370,mpd375,mpd380,mpd385,mpd390,mpd395,mpd400,mpd405,mpd410,mpd415,mpd420,mpd425,mpd430,mpd435,mpd440,mpd445,mpd450,mpd455,mpd460,mpd465,mpd470,mpd475,mpd480,mpd485,mpd490,mpd495,mpd500,mpd505,mpd510,mpd515,mpd520,mpd525,mpd530,mpd535,mpd540,mpd545,mpd550,mpd555,mpd560,mpd565,mpd570,mpd575
0.5,208.46283302977767,220.72147657666696,226.5379066209211,227.654738098467,234.2974685871264,242.1751609819996,247.6817078214235,250.9364152909093,249.61919698515877,258.26070367524625,260.73272577795194,262.2740024444805,268.6741295399749,262.6078707955175,267.60227363210436,271.1159873139666,267.06533902622147,273.32530902153013,276.19829457012736,272.4473360840701,277.6135593859189,283.2272818046564,279.75749084342556,280.71438148357925,284.3858925884693,283.16139341134686,282.0355788237172,283.8551258666545,282.5904862800993,284.96722208242966,284.13171334252235,283.7826948830903,284.6831534413491,290.0897657840578,288.8806293119992,285.38998832188696,291.9239743705867,289.78530429279164,294.3026286845541,290.6383499022396,291.8779584242633,296.52041470781455,292.91456448374487,292.4034012584286,291.1431642865111,296.38648659789425,295.9101969163752,293.2896903549142,295.19877244343786,298.9946432312701,297.85181208827476,297.49189621730403,300.2351767214204,299.50194376530567,298.4578870069977,300.3245444360989,302.5019563696774,300.2867803987782,303.373705881655,301.7044971492361,302.9704040368253,303.29547534873547,301.25441112515676,302.9414807128928,303.2972338934698,304.11129764226234,302.18431125266596,302.50145209827826,302.50638889204004,305.7824615517635,304.5034185935239,306.37927910699443,305.4771834222545,306.4548006039185,306.1556399747655,305.6237540977701,306.2689553069473,308.3450113206339,308.2998366650299,307.72457439167977,310.1000936306485,308.2081731907916,308.62047362385505,310.1739964942959,309.35805830212547,310.26115807628804,310.5336407724693,309.08955053490865,310.55363617395466,312.97970615941,311.51379887670737,311.9455873614113,310.8405054467263,311.8446352630847,311.8896602876416,312.13299776505534,312.62382613198093,314.1673941403323,315.3812380923804,314.51805271902737,314.0661169361229,313.9137655875974,316.8919983339058,315.81340479600203,316.9474783253931,317.2623375365968,316.81293620131856,318.1707152233596,318.2821885791523,319.42687256339354,320.3452104990849,320.59599307078804,321.32021582035395,324.823202890277
1,215.67707446555534,226.01127365142875,231.90069784231594,231.41537779039967,242.1622238011031,247.18855200171393,251.71261824461564,254.1690861001614,254.92046059247338,260.95549376132004,265.6466492065538,264.2103415758265,273.8734405032589,267.880319231683,272.69430838382584,273.19250154609,271.81212092901893,277.27310028071224,280.5127404088813,275.5009851379416,282.18752431596704,285.5212317853488,283.56412775757957,283.45756684319457,288.4876333374839,286.1408253607674,287.173619227182,289.4528136457801,287.0707084202812,289.09920095270536,289.76022400924614,290.4131086020073,291.2826793298061,291.87695697207454,291.5115776010399,289.91497424627477,293.76662048766315,292.61303994894814,295.619418427595,295.8702213031265,294.86873363650534,298.32036442504454,295.50829262867165,294.5801929209871,294.92889652244764,298.2028316851098,298.20776597474594,295.5373133967234,298.4532362708183,300.09126720656315,299.58398927839977,300.1922438775544,303.0120300210507,301.7304080540403,299.9403435214042,301.9557471816951,304.4440614854476,303.4038008720964,304.3121977348253,302.9718119529025,304.28908064882586,305.45826500092267,303.5517980472028,303.7529599345721,304.93637950967656,305.6221911894115,305.46824569136254,305.1321117083619,304.91413738210264,306.8328813499909,306.29990011255745,308.0763415045323,307.1795614322732,307.2697461708304,307.6202872340994,307.5114067108867,307.97193305843757,308.8552187646895,309.9241511413511,308.76718963395075,310.4196461386897,309.81869800601766,310.45596868257564,311.90286657858695,311.75330116749683,311.3758514210362,311.85941115768105,311.1238924073881,311.4544600273642,313.57231164221935,312.25419545449057,313.0568786156238,312.9836160026617,313.3362286496169,314.59069075234044,313.08100950234433,314.40374975488663,315.0265081552366,316.0847890881961,315.87184248002075,315.99506889662297,315.30063504950414,317.3604709584101,317.15593774101274,317.3659273656522,317.92647575717126,318.1893885007268,318.9230040842264,319.1420026277355,320.1456269429438,320.82206631717077,320.8682434684625,322.06933471013923,324.823202890277
1.5,217.95262175755568,228.30092239028542,233.5422660939207,233.18032668656699,244.18590409090797,251.6069947582187,256.5137528859234,256.9429004761621,257.68831554811885,262.9536345923772,268.21363718526607,268.382035874183,275.7497275770246,271.46447354122125,275.405781527044,277.56345685537264,273.94004546998275,280.6010555033078,281.3359074760414,278.241258427256,284.94392986342046,286.67490657676177,285.24056610647597,286.5484496881018,289.4549897888164,287.46778763889074,289.5568526080716,290.4862119593707,289.14961734743065,292.40703138994803,290.93153012523237,293.0481471856815,294.43505751876233,294.41220744640043,293.06043647446694,291.9306164313386,295.2060463458253,293.91914171744037,297.5224803741924,297.2870035160457,297.34869649051984,299.4417395943609,298.420419745755,295.39157993847334,295.69173040476016,299.16089535819987,299.1445303093435,301.6620008755066,300.75623059295077,301.29389741465735,301.4059964362608,301.55782020713474,303.77832926614155,303.064823576522,302.1645207407055,303.4573366715586,306.0079973215804,303.65454045449155,306.4129594833083,304.4123969261448,305.5699640512198,306.30733404916435,305.49223739477753,305.70852161163145,305.5347017842172,307.8408919905417,306.28847238747477,305.78334323987883,307.1133464547476,307.35579406639414,307.4375786814542,309.0198776247517,308.0656986540631,308.48843510346717,308.4911050725515,308.70774565638123,309.28667108761107,310.1894424166455,310.981462428058,310.24748848479834,311.42137776253463,310.3906074144579,311.50455048044313,312.47759897921446,312.0171873236082,312.5440227962886,312.3951705968161,311.7206638200495,312.1715362415528,314.57606078994127,313.51484536154226,313.7900093228971,314.3024894219574,315.0742679329957,315.6242088317835,314.0748804265842,315.08808519970563,315.4323194695472,316.68708536075275,316.39301221178243,317.0527474596422,316.3082835660347,317.5839276739309,317.8382025571695,318.11859035581136,318.4887674891843,318.84549421413175,319.052325382162,319.7607488074665,320.49738103463505,321.1787400168501,321.2971430476934,322.2942056096296,324.823202890277
2,219.99574365466668,230.33180435771456,236.4196080268421,235.97414419386635,246.75635507678157,253.8336855177819,257.71599539676964,258.73209421644407,261.2148388236901,267.5771612020198,271.5796673798872,270.7873177414617,276.92228287966884,274.1724731541336,279.59277789768976,281.6846622619493,278.11899656313636,282.48004527015496,283.8065692256565,281.47267324800765,285.97362899983034,287.84588038913853,288.1609543609892,288.90929612784475,289.86585403002994,288.15835348852596,290.97844249629765,291.63143076536824,289.8318953955206,294.3980568317922,292.56897919468196,294.9800363067254,295.8167512912632,295.20673949542976,294.6687210561988,293.9185059791963,295.7254182380778,296.60979484459125,298.1890269529947,298.0976501717535,299.1959490956714,300.4529607898436,299.20940730850396,298.31484377454007,298.30115096827046,301.4112362118462,301.0719487977926,303.21044973795506,301.7380239402829,302.6214755833848,302.0155806277457,303.0359988891859,304.85027178698726,304.2484279344644,303.8413613439582,304.0563695151934,306.43250401292255,304.543229180979,307.03090280889114,305.8574052731489,306.900029536256,307.5460976581239,307.1761141045003,307.3542935314571,307.56566920656655,308.21836196123945,307.5973770685491,307.47846269358786,307.39694878487256,308.37280995355474,308.41420069499713,309.3826153615894,309.0998121693978,310.03895842432104,309.69549709495334,309.8094084106723,310.58537756058763,311.44755236520473,311.37894103582454,310.8414873902332,312.04360365923907,310.9469426394677,312.20680309835785,312.96739735032367,313.38470174254934,313.1246427275316,313.1783578658809,312.8222843758026,312.6159831752082,315.26831966833635,314.0709050123013,314.344635772686,314.5510576257295,315.56333223725505,315.8376314571906,315.0139184349961,316.0668401340704,315.668280643788,316.9697742543347,316.7926056032007,317.3989083606736,316.8862452403606,317.8996219853167,318.0206864063562,318.4464558302754,318.8232009454057,319.24901437853896,319.44571932906274,320.01554813130116,320.59014264664114,321.41324753416467,321.63388873965926,322.4941845842421,324.823202890277
2.5,221.58815094333312,231.10404516952354,239.77603134815786,241.19690425816668,248.1255029736209,256.104486394706,260.5527341848714,260.5282398821722,265.16060772422423,269.2872284828282,273.30625198684993,274.0810615503129,277.8237306692134,277.23702944661284,282.80918791295085,283.2197045307278,280.1014267021977,282.9091906475364,285.0137801758635,284.2103313059434,286.63213273240206,289.2765203340884,290.9270237303821,289.9213253076327,291.1030335902683,289.1394896619516,293.64997608251525,293.9577888575858,292.6346217255053,295.5712392031843,293.4265860852534,296.1035076330853,296.5904106548557,296.3605984823189,296.6573430431004,294.958673384809,296.3879777278853,298.1230416548509,299.2272350825401,298.69523133466555,300.00034034769385,300.963562167572,301.37850681455166,299.1677836445179,299.14089935305583,301.9875615645263,301.8126951886307,303.52136613453325,302.8636810001611,303.12436453572303,302.6512835335414,303.9695083528728,305.1728431919244,305.4429001771506,304.56647294104897,305.2379211433443,306.9990722801558,305.97353266674304,307.6048512826593,306.2051784186342,307.18749294023974,308.1114397404376,307.6952295975239,308.003092617934,307.89134481602974,308.81658193907873,308.41230639435605,308.0544132134972,308.3166675489973,309.2451877668522,309.04844450305444,309.82677946925673,310.1774794004745,311.19886691999824,310.5571007301447,310.59488924060844,310.92443826620604,312.2135489975796,312.31282054790455,311.4095087944319,312.3314507538872,311.3080875662132,312.3888812242507,313.7672924853409,313.80526656066365,313.73246950195454,313.4075740706365,313.1152281613915,313.013160006835,315.5140827058613,314.3121414698466,315.24883101368164,315.272733369048,316.07559070845815,316.43642596683736,315.3754798049263,316.3054560781153,316.5411438674405,317.1803860598174,317.2186797251403,317.74968508320705,317.3217635954591,318.155470572615,318.62396107922274,318.7728528877933,319.2324984404176,319.41433401956886,319.688133525825,320.28191367073185,320.8126711653227,321.4746881248864,321.8036527335782,322.6879515994416,324.823202890277
5,223.9422600588892,234.32449648571438,248.95340814578967,253.59400400833334,259.69264816206896,266.7323326519331,269.74289364544825,270.8254405150508,276.89737055493885,277.3570002181817,279.52169636559336,281.3089343192789,286.7519966754455,285.7321489545222,288.2065779689561,287.56966942523775,287.33108601850154,290.6444238019488,289.9366220253229,291.40804872747236,292.02150104129305,295.0026499950116,295.83126032468505,295.4616879733034,295.3815172037148,295.7223738998449,297.4255244072711,297.0897189132572,296.80229977256386,299.98098577961434,298.24704179586894,299.2884862275316,300.6927389631676,301.1314509243091,300.72444244850374,300.4135102973329,301.72933052363453,302.6224722881573,304.12261235531633,303.7612967374799,303.8998060294916,304.4974594705321,304.8741351930741,303.1568731766863,304.4709085356316,305.59068305616296,306.47798858336137,307.730269093178,305.9733715566172,307.1614490597189,306.57161232236604,307.35792834946875,307.67618191302887,307.79341338645526,307.4039856901335,307.3881180560466,308.7098210038227,308.67403795500996,310.0420345133555,309.1716325483517,310.1573061906751,310.55441271755575,310.30070316508534,310.6270168904576,310.38010956861496,311.5017788341052,311.8190473708471,310.96879700590983,311.7967319271299,312.2501263712028,312.1728044734758,312.63960169364947,312.099923028614,313.88197043416653,312.5481747090213,312.8057617092449,313.09102034159247,314.326658529286,314.49734468915256,313.2268294510557,314.2210523386465,313.5621354912279,314.4811280808793,315.32190173440637,315.07927501931715,315.6387569405986,315.4665478698912,315.58387373101823,315.36697086692277,317.52643341589817,315.8493168387883,316.67166850177523,316.9782833021222,317.60517358107774,317.79172760917845,316.8832938620335,317.64201917006244,317.97382924328707,318.20251849961267,318.8274283233612,318.8589047401778,319.0941792610283,319.33540608818043,319.3774542953294,319.965612565365,320.28627808622764,320.36164636304824,320.601130624978,321.22381989771145,321.47555399830526,322.0641335861326,322.37635833773896,323.0688899224819,324.823202890277
10,231.5942980400002,248.1656642971425,262.63691953684236,267.773691862667,271.8132018820691,276.6371877808407,282.3017174623074,282.0697072668687,284.6852556872655,288.77230182693614,290.9058666290394,289.9771058610574,294.1935989545758,293.63937124879317,295.40969021705735,294.42130993826333,295.9351152470659,296.3023830074356,297.1076089964849,298.3819795847982,299.844038513795,300.1718004773758,302.78638337599403,301.6635593916127,302.6054311566014,301.1578278541957,302.71615838782117,304.003558752107,302.6405841075076,305.5277325830083,304.5355185912656,304.1638688250704,305.6613232134698,305.5029366569457,306.8381825473436,306.07362369649786,306.7444674530827,307.5487430079619,308.9055687358795,308.5329308600479,309.0369951685308,309.48081533399693,308.647200188497,307.5986618323414,308.4831518238584,309.527261559149,309.9164437912033,310.7538718559519,310.8845976841836,310.66048431937617,310.75523017277374,310.9879922147344,312.0614875427368,310.9596207535771,311.9283610422171,311.7816699418634,311.84813479194594,311.49806077037687,313.9747832474157,312.47658199548323,313.0764246500347,313.8882423683022,314.0802039777529,313.6698388604601,313.49930435413427,314.81665825305924,314.7131404084818,314.0880838004886,314.4155448033941,315.4110960753785,314.57454610370127,315.4685058268586,315.5494426398523,316.30930867154046,315.3481783713514,315.36260640985637,316.358247087692,316.29759557300736,317.2030101134389,316.39824458326365,316.5942436054016,316.08298684055643,316.8395550635638,317.3967034394162,317.2048799184716,317.4156639475478,317.8054369362294,317.6058967943357,317.27872999254095,319.0377092102362,318.0009016775078,318.5781931888966,319.1665546569792,319.6458741282593,319.6235518555859,318.9371294543275,319.2960382324942,319.6204637580305,319.5610516742473,320.2977308313796,320.3795911971452,320.31483283538324,320.6428119674473,320.7106921706839,321.10650773747255,321.2459216239783,321.4001227016316,321.7281861040675,322.0860858536131,322.3198835206866,322.7809075537116,323.0591659544066,323.7619896986261,324.823202890277
25,262.2897364722222,279.608661052381,284.60077467105276,289.735532883333,295.54354189080425,295.659089943698,298.9707993057692,301.46691940757603,303.4924168108165,305.81013967676745,305.739349213983,305.9243443711537,307.4796693242237,307.12144686432475,308.78679784485746,307.38652928935574,309.60235163358277,308.54972399731275,309.17801247934324,309.8801155648355,311.434443993244,310.7208436813885,312.6761326278007,312.0180064038062,313.5167590969587,311.83597428955227,312.40666362733805,313.4762007641285,313.455858603423,313.83546523389174,313.346851590782,314.5948915774205,314.2136774894015,314.752402060854,314.65951471949126,314.24938431997623,316.41727094845425,315.2527798357653,316.99074879160776,316.6731712368245,316.6190748410915,317.126567898805,316.2269933330117,316.138351802044,316.42737202045777,316.95884105115454,317.1889602991113,317.137391108063,317.01790474546203,317.43685084514476,317.6327805827595,317.592583336478,317.69528557551274,317.501039242973,317.5852977080135,318.0135454052015,317.92179061823776,317.45477844360653,318.91522021318826,318.3561417388478,318.9548685794605,318.82145305298775,319.3666492254557,318.4449088798295,319.40798926974776,319.95220141444275,319.1714372534093,319.1401705993092,319.69324568919376,319.98783077866676,319.18685465446424,319.7287251088513,320.00961777237274,320.5086516460105,320.0250219759305,320.2878148619385,320.64507641385876,320.2754126473493,321.06586835215523,320.62691785797574,320.6328474649325,320.539994591025,320.994566328296,320.69822232754177,320.99259724244575,320.67276611469924,321.54438140840773,321.03921535618525,321.27595764576074,322.0104351019895,321.75664970269474,322.00734370388375,322.14181048198975,322.24929130456127,322.240967055341,322.119104062209,322.0413104416367,322.36203345984575,322.41596081931675,322.8081415837183,322.63280036013924,322.70161050193076,322.71984816680197,322.7808093416253,323.17671893062726,322.9213427820613,323.31708430931076,323.4785103785852,323.4755944418365,323.82426504212447,323.8770682815692,324.08662534708503,324.4957341188775,324.823202890277
75,370.69496789444423,362.57611296190476,352.7404638868425,352.166932261667,351.2817478511495,350.89626718991576,349.376354059295,344.7481730489902,346.4120701028575,345.50781839023574,341.38662594915223,342.187688097596,342.2989874259838,343.44824949891876,339.865555400633,339.0171473619048,339.8439194681025,338.04963728824197,339.4034831932328,337.770042403388,337.59873470150126,337.61080849397376,338.37358831810224,337.4879368494195,337.478514978563,335.4124547515755,336.96863910950674,336.546165782567,336.52520263977624,335.0205852259322,335.0468547657035,335.01230441067975,334.1579736318135,335.03550749468,334.6795084001085,334.8843992019095,333.978058606892,332.126662691858,335.06624832036476,334.3011237051888,332.83148835332673,332.9874859465773,333.029702379836,332.5617298074998,332.7942457362635,332.7128496388617,332.5349227826972,332.5723330128137,332.278649130594,332.7637741539135,332.0082160958795,331.128107162693,331.91621245985095,331.3751996226407,331.205857126453,331.0055794354215,331.06493792170374,331.0348957577077,331.09180976657774,331.4512186327545,331.77593831164546,330.9128118664845,330.81612134635577,330.11671392001875,330.367272066036,330.6071372399235,330.75323214831246,330.165621265293,330.11288283313576,329.89757784457726,329.76286481837656,329.78735470397453,330.48202547267624,329.5156344882355,329.39446053342624,329.36561137060346,329.49671338003776,329.4986138355655,329.90496463364354,329.687258790337,328.81110071871325,329.09191126727796,329.376116321684,328.59091878912903,328.7481413355855,328.588717987208,328.5742177624588,328.479485461403,328.2191740622845,328.62063279249173,328.3856106237825,328.17588034167625,328.23057963296276,327.97623782080376,327.63410712027473,327.786638761293,327.48893874768197,327.4935075475855,327.5798050686995,327.68137778233927,327.36626012395925,327.22796134630727,327.075699214199,326.890250396056,326.90319247279325,326.75124214543774,326.4972512975813,326.43311831940076,326.1331969027503,326.16678362472453,326.0378740032248,325.68850082782626,325.55953391375624,324.823202890277
90,422.3115754733335,411.6105809904765,389.5724701463158,384.97463590466674,378.0568926983906,375.9604084910925,376.904208343718,365.9199803713128,367.2782092962447,364.6015451431654,361.2980025055371,361.67312091076917,357.6971376367702,357.73282428201793,354.7768593431643,354.3518814815685,354.4569469773035,353.657330352027,352.8341132283433,351.29777403714263,349.56845333644725,350.2924894890009,349.9340369523526,348.0632498029162,348.95095723321447,345.4209459690215,347.9277905606781,346.9503021223369,346.89672300213897,345.6366192274489,345.54546124514974,345.2902105822765,342.7872608199584,343.1857716326566,343.0870268053259,344.5609570507873,341.6429746416599,342.2486707557279,342.9074636424575,341.7959310696511,341.1591465481108,341.5202765421344,340.57492089467803,340.0990703151351,339.5478091098689,340.1361301717623,339.93941239537617,339.9493183856744,339.6473880483121,339.6442689944422,338.5630596605882,337.3952511753917,337.6347412830597,336.581712077171,337.1697748307934,336.9150070840726,337.93700047912887,336.6056603192898,336.4634237692265,337.1259058761175,337.1008371565822,336.0589291466061,336.1816785099861,334.7877016260213,334.6408402451046,336.6242546504892,335.5986239943175,334.276618432642,334.9113037197098,334.9510793062878,334.7861363954708,333.99775943679094,334.5052170565911,334.1054030032003,333.0842789900903,333.4427701930247,333.6597908161194,333.26229301727676,333.6385730720315,332.91019706066214,332.2038396639536,332.9110843703763,332.3495132556416,332.0596798195536,331.7779287737913,332.15322262374457,331.5848685674573,331.27128401297057,331.40373092178686,331.26494691701805,331.28040118641775,330.6287126002469,330.705329109436,330.87945778692443,329.686823494203,330.3123062050426,329.77813777744586,329.8148705873391,329.6231395676141,329.29220316238366,328.9546302352536,328.863041151718,328.8627483985342,328.5445302079942,328.3679690783146,328.07193739389527,327.74312404545157,327.4970510522153,327.1856937939385,326.9510716325837,326.7733155015712,326.32402906697155,325.6210358785122,324.823202890277
