"","x"
"1","Isoetes_bolanderi"
"2","Isoetes_echinospora"
"3","Isoetes_howellii"
"4","Isoetes_nuttallii"
"5","Isoetes_occidentalis"
"6","Isoetes_orcuttii"
"7","Lycopodiella_inundata"
"8","Lycopodium_clavatum"
"9","Selaginella_asprella"
"10","Selaginella_eremophila"
"11","Selaginella_hansenii"
"12","Selaginella_scopulorum"
"13","Selaginella_wallacei"
"14","Selaginella_watsonii"
"15","Asplenium_septentrionale"
"16","Asplenium_viride"
"17","Azolla_filiculoides"
"18","Azolla_microphylla"
"19","Woodwardia_fimbriata"
"20","Cystopteris_fragilis"
"21","Dryopteris_arguta"
"22","Dryopteris_expansa"
"23","Polystichum_californicum"
"24","Polystichum_kruckebergii"
"25","Polystichum_lemmonii"
"26","Polystichum_lonchitis"
"27","Polystichum_munitum"
"28","Polystichum_scopulinum"
"29","Equisetum_arvense"
"30","Equisetum_laevigatum"
"31","Equisetum_palustre"
"32","Marsilea_oligospora"
"33","Pilularia_americana"
"34","Botrychium_ascendens"
"35","Botrychium_crenulatum"
"36","Botrychium_lunaria"
"37","Botrychium_minganense"
"38","Botrychium_montanum"
"39","Botrychium_paradoxum"
"40","Botrychium_pinnatum"
"41","Botrychium_simplex"
"42","Ophioglossum_californicum"
"43","Ophioglossum_pusillum"
"44","Polypodium_californicum"
"45","Polypodium_calirhiza"
"46","Polypodium_hesperium"
"47","Adiantum_aleuticum"
"48","Adiantum_jordanii"
"49","Argyrochosma_jonesii"
"50","Aspidotis_californica"
"51","Aspidotis_densa"
"52","Astrolepis_cochisensis"
"53","Cryptogramma_acrostichoides"
"54","Cryptogramma_cascadensis"
"55","Notholaena_californica"
"56","Pellaea_andromedifolia"
"57","Pellaea_breweri"
"58","Pellaea_bridgesii"
"59","Pellaea_mucronata"
"60","Pellaea_truncata"
"61","Pentagramma_triangularis"
"62","Woodsia_oregana"
"63","Woodsia_plummerae"
"64","Woodsia_scopulina"
"65","Calocedrus_decurrens"
"66","Chamaecyparis_lawsoniana"
"67","Juniperus_californica"
"68","Juniperus_communis"
"69","Juniperus_grandis"
"70","Juniperus_occidentalis"
"71","Juniperus_osteosperma"
"72","Sequoia_sempervirens"
"73","Sequoiadendron_giganteum"
"74","Thuja_plicata"
"75","Ephedra_aspera"
"76","Ephedra_californica"
"77","Ephedra_funerea"
"78","Ephedra_nevadensis"
"79","Ephedra_viridis"
"80","Abies_amabilis"
"81","Abies_concolor"
"82","Abies_grandis"
"83","Abies_magnifica"
"84","Abies_procera"
"85","Picea_breweriana"
"86","Picea_engelmannii"
"87","Picea_sitchensis"
"88","Pinus_albicaulis"
"89","Pinus_attenuata"
"90","Pinus_balfouriana"
"91","Pinus_contorta"
"92","Pinus_coulteri"
"93","Pinus_flexilis"
"94","Pinus_jeffreyi"
"95","Pinus_lambertiana"
"96","Pinus_longaeva"
"97","Pinus_monophylla"
"98","Pinus_monticola"
"99","Pinus_muricata"
"100","Pinus_ponderosa"
"101","Pinus_quadrifolia"
"102","Pinus_radiata"
"103","Pinus_sabiniana"
"104","Pinus_torreyana"
"105","Pseudotsuga_macrocarpa"
"106","Tsuga_heterophylla"
"107","Tsuga_mertensiana"
"108","Taxus_brevifolia"
"109","Torreya_californica"
"110","Brasenia_schreberi"
"111","Nuphar_polysepala"
"112","Asarum_caudatum"
"113","Asarum_hartwegii"
"114","Umbellularia_californica"
"115","Anemopsis_californica"
"116","Ceratophyllum_demersum"
"117","Sesuvium_verrucosum"
"118","Trianthema_portulacastrum"
"119","Amaranthus_blitoides"
"120","Amaranthus_californicus"
"121","Amaranthus_fimbriatus"
"122","Amaranthus_palmeri"
"123","Amaranthus_powellii"
"124","Amaranthus_watsonii"
"125","Nitrophila_occidentalis"
