,mntd10,mntd15,mntd20,mntd25,mntd30,mntd35,mntd40,mntd45,mntd50,mntd55,mntd60,mntd65,mntd70,mntd75,mntd80,mntd85,mntd90,mntd95,mntd100,mntd105,mntd110,mntd115,mntd120,mntd125,mntd130,mntd135,mntd140,mntd145,mntd150,mntd155,mntd160,mntd165,mntd170,mntd175,mntd180,mntd185,mntd190,mntd195,mntd200,mntd205,mntd210,mntd215,mntd220,mntd225,mntd230,mntd235,mntd240,mntd245,mntd250,mntd255,mntd260,mntd265,mntd270,mntd275,mntd280,mntd285,mntd290,mntd295,mntd300,mntd305,mntd310,mntd315,mntd320,mntd325,mntd330,mntd335,mntd340,mntd345,mntd350,mntd355,mntd360,mntd365,mntd370,mntd375,mntd380,mntd385,mntd390,mntd395,mntd400,mntd405,mntd410,mntd415,mntd420,mntd425,mntd430,mntd435,mntd440,mntd445,mntd450,mntd455,mntd460,mntd465,mntd470,mntd475,mntd480,mntd485,mntd490,mntd495,mntd500,mntd505,mntd510,mntd515,mntd520,mntd525,mntd530,mntd535,mntd540,mntd545,mntd550,mntd555,mntd560,mntd565,mntd570,mntd575,mntd580,mntd585,mntd590,mntd595,mntd600,mntd605,mntd610
0.5,83.5301018114999,78.460785838,75.314842457,76.4189350852,76.88467863533333,78.23734686471425,69.32948645975,72.437113961,67.7024046664,68.747508174,63.81010298508333,66.06452513730761,64.4205721235715,64.42448632480007,62.041723994375005,57.402272787176464,60.166061477055536,59.44405634552635,58.93084284075,55.996074790619055,55.82634843077269,54.06394556069572,54.124318547625,53.048105091880004,54.11323969150002,53.59743358559258,52.802785829071446,52.182427180620735,51.47309078086667,50.985075507193514,50.256963764000005,50.38841091748489,49.006748512911734,49.19584420554288,49.2538434705834,47.80822647683786,47.093956088657926,47.37926270971793,48.228320277775,46.806227507341504,45.899207373285726,47.003985575093004,45.76404306997731,45.999382138933335,45.54743245104346,45.85448327053195,45.35160687337507,44.13341416377552,44.571402270259995,44.04959613311765,43.483074040384665,43.859663713679296,43.673832597833346,42.5650451398,43.17690536842862,42.712555831614026,42.86652999236205,42.42497562967793,43.23345618031663,42.74549547468852,42.016364912564555,41.642935254555574,41.5375904561875,41.402736518923135,40.811428358348515,41.767088578820875,41.6223365486912,40.042977730275325,40.09284867402859,40.45796781199999,40.85574483527775,40.814041051630134,40.57374951409462,39.72240980046663,39.88145345497371,40.34846612568832,39.73657680780774,39.70495860958232,40.2028735086625,40.010288141703676,40.21667624336583,39.63992586642168,38.653105474595264,39.057952876082375,39.46929559022092,38.88988225259767,39.25031993117047,39.06445764313484,39.061573422744445,38.878263306351606,38.97369396739127,38.917971018032226,38.35632602425531,38.62218769633682,38.50962823105212,38.33251647186601,38.62667313111221,38.491106071151485,38.1830470567,38.43872916339602,38.06241271630397,38.22256497946603,38.202891390980724,38.09793000959047,38.04583356984905,37.81866202004678,37.53290054396298,37.818715583614704,37.786481234136325,37.7958091325315,37.773230654758954,37.74364930258405,37.764825363982474,37.55748912761735,37.63799566686209,37.73222851988038,37.60764591549996,37.74973102760509,37.567229195974996,37.72064644423971,38.59198426744259
1,86.978750537,89.2754405093334,79.9328406890001,83.9668296404,83.14929168066666,82.01378364485721,74.12484231325,74.87707729444445,71.2866212926,72.082692446,68.11466312083337,68.40091292753849,65.81303548399995,66.32787790093334,62.9538199125,61.68817558929413,62.12123165033331,60.72596770557895,60.0546451334,57.85197381095242,57.37346652563633,56.453475617565275,55.4409807444167,54.765276496800006,55.16747072515381,54.94451972362965,54.38535903800001,53.059916610206926,52.3963306791333,52.70940394290322,52.0158543779375,50.95482489490909,49.9674739458824,50.20778748702861,50.05136845011114,48.79712930637834,48.05212370794733,48.36172797369232,48.8082357357,47.27753238243907,47.05291136590479,47.403671476976704,46.473090068454546,46.64696737302224,46.02851187030439,46.51726175774466,45.701800497750035,44.61367056636737,45.1037024078,44.96706909117649,44.66160634626923,44.85267999532076,44.62015593159261,44.202330681709086,43.79403816910714,43.924686475368404,43.37499713948272,43.56263768061013,43.60916104726667,43.41910771622953,43.00496652893554,42.684384544254,42.6247064683125,42.13470133901541,41.86754176984845,42.462379197194046,42.027386226823594,40.99665340933336,41.0954428172857,40.739311407605655,41.19128526175003,41.2712291685206,41.132733531513566,40.08093933282667,40.74908913676315,40.99293804192212,40.54355636638464,40.35897943972149,40.61127249205,40.32472341918518,40.439326860878076,39.97642170978316,39.28869561557139,39.70801963254121,39.70604947369771,39.347746066321854,39.807657448909126,39.73689055555057,39.40878125311107,39.120486369428576,39.2402271606957,39.18894109939782,38.639977808297914,39.068679030610475,38.8168662400417,38.79223909375258,39.08309339355099,38.68293072775762,38.45790632516,38.67101688944551,38.255151476980366,38.50956560605825,38.39250929826928,38.48499911721907,38.39175638069811,37.997897551532745,38.123623066462955,38.020072039944935,37.93192758647271,38.037974672324296,37.85295986282147,37.99379545619472,37.966069418912305,37.842740623113045,37.73151567777588,37.93611399799998,37.70187562298304,37.89486925532771,37.77829904048337,37.869480018380216,38.6096442622951
1.5,95.5028116565,91.328515121,86.41714437,86.9821631194001,85.0705493848333,83.39483250785712,75.87295538875,76.90236185777776,72.16613147300001,73.59724568663638,70.0491332123333,70.13060271338465,67.58794264864284,68.66222620093339,64.39382939806251,63.896190430647046,63.23172722166664,62.14765143100002,61.76610377075,58.47767916676186,59.615967434409036,57.50952848704353,56.8460079160417,55.91553358812,56.36751717980765,55.18662813159259,55.0344481590714,53.67081011041379,52.918451425933306,52.9407588846129,52.34717031990625,51.26171364815155,50.805472040529445,50.96592409225712,50.35871504038887,49.56008201445947,49.01408784997373,48.92205560210257,49.35783819905,48.33484151024394,47.53858150766671,47.85952176927908,47.08404171870452,47.01346678222224,46.47982653223919,46.94895206761703,46.198346018458295,45.32952893508168,45.83424561356,45.31971997741175,45.27482075367309,45.202035683773545,44.89731268559263,44.448600052018186,44.35722469860713,44.39579757617547,44.05472329299998,43.8746991688305,43.9061342309167,43.6163667192131,43.37317195325808,42.785243684523834,42.92048787104687,42.586035513338466,42.471052180409146,42.77714251040305,42.35592296288237,42.044751432014486,41.80753626749997,41.730850115028154,41.4750506008889,41.67547569178078,41.465437993027074,40.7008927437467,41.05340866092105,41.21350171923381,40.81449027878202,40.90481490049362,40.702723263575,40.48910557866667,40.709645899682975,40.2141514616386,40.00715718744047,40.03094758182356,39.967496729395364,39.712553094379274,40.08654834472732,39.8920749838539,39.684217340199964,39.44223023335165,39.58632310575004,39.42873072931185,39.0275033542021,39.29951140926314,39.163833187958296,39.03307650305151,39.19594702481633,38.91709444748488,38.65782972939,38.78777839020792,38.475931465588246,38.71746007430093,38.58011528303847,38.675106906838096,38.533625065641466,38.17216402523369,38.20280205618515,38.13258273640366,38.08523519143636,38.137938124117134,37.9670158042589,38.083887990822994,38.0823554467369,37.970296431043465,37.92716097432758,38.01796677658124,37.86383044226274,38.06068622276472,38.030052743475004,38.33291652518181,38.658530279991844
2,99.804873594,94.5268365373334,89.74173629999991,89.8152687976,86.04036105066668,84.38635393485715,78.99040658050001,77.88985313333335,74.4273933492,74.48273543236365,71.54149538066665,71.42242026276925,70.0451905671429,69.42272668213337,65.52162747775,64.38746767882354,63.430095608000016,62.59014850652627,62.4578248292,59.00548461561901,60.61766236872727,58.372539908521716,57.78172079599993,56.444522829600004,56.999274286307724,55.94171455466668,55.74799143942859,54.19963989917237,53.38689323320007,53.26612089600002,52.7736079255,51.97470040303028,51.38817997800003,51.381984487771454,51.262821978555536,49.998442139783826,49.668598372842126,49.47321981887182,49.7389177137,48.78629958839026,48.218488688476185,47.976803679534925,47.3875030784546,47.266375644711076,47.17362407565214,47.36190267404255,46.58678138966663,45.8369666908571,45.95805694016,45.787844016705876,45.74692375884613,45.61920248633965,45.285662350296285,45.03240201236365,44.5720802480714,44.48253318063157,44.19223449717241,44.08027883762714,44.23577284346666,43.72800649304916,43.60145457322577,43.596071827301635,43.377320869125,43.225875620123055,42.87724574296971,43.08120749337313,42.59660641523535,42.63905757350724,42.2581480070857,42.20165647132391,41.94812073994444,41.906700142301375,41.72921872627025,41.060441350666665,41.333869409578945,41.55027366867535,41.1468729244615,41.17083290881018,41.0106699238,40.735124539407444,40.96981981551221,40.53328371797588,40.19203532238099,40.389375646917614,40.22285110372096,40.009238738344784,40.25935086954547,40.28491656570788,40.00576120244449,39.59602499903301,39.744791653565194,39.56742584696776,39.168261356383,39.347297341936844,39.376889089375034,39.26966692202064,39.35767139020408,39.053233359878746,38.87400932288,38.84541608403959,38.69503932862746,38.83018680139809,38.80971964092305,38.743872800266686,38.634217170679214,38.37734175439257,38.40489956929628,38.31987926190823,38.21835561294549,38.20179109801802,38.08780229964283,38.194294263575244,38.158108887157944,38.1468531400348,38.10020774465516,38.18445606136757,38.02514693416948,38.1594202053109,38.21042282820003,38.37578101867766,38.75267473547546
2.5,102.30500716249999,95.09477476500004,92.12967271625,90.942591174,88.94732251250008,85.05902082714286,80.063039208125,80.10949734277783,76.5432197035,75.73659534954555,73.89523115333337,72.16167137230765,71.06762174892857,70.54957573699997,66.76991759281249,65.65909146235288,64.14774770305553,63.34192028921053,63.1961964845,60.59232755452383,61.19500841000006,59.039284803695644,58.403835508125034,56.8715682574,57.306480159999985,56.34087797018521,56.242410525178556,54.77785823448272,54.01126854366664,53.55283322935482,53.17243402859375,52.27523296696975,51.71761041676468,51.68445499228576,51.48834346319445,50.60531097716215,50.42520379144739,49.70920874371799,50.05803275362501,49.00777406585369,48.545086430952374,48.62776059127904,47.82135852511366,47.4714366006667,47.438437634130416,47.54844856404258,46.8116273697917,46.276965380102034,46.343940866000004,46.18221304627453,46.350723595865425,45.814845875943405,45.586777092129594,45.226287873545466,44.809075515714284,45.09593774333331,44.33186383017238,44.64140090084742,44.55960083925,44.018570873032836,44.10699022330643,43.75207506841272,43.52431059171875,43.65122478192304,43.08241164386369,43.42079378320895,42.81363305507353,42.83629596702899,42.63321531064286,42.5667284359859,42.32113853020829,42.204956825342435,41.94493897912162,41.40443380820003,41.519216170394685,41.74070683772724,41.39857487993594,41.412587461645536,41.173028246625,41.13168727382719,41.24637809774394,40.78635005849393,40.44346048744052,40.49720482947055,40.363796495581454,40.21280515959773,40.309550304545425,40.377048803314615,40.10657626122225,40.076374992582416,39.8332636315217,39.84645741096779,39.604458832074485,39.46339410973684,39.468769667760384,39.40008273525772,39.50159335637757,39.1935766114141,39.0370048997,38.94507762267331,38.85034259372552,38.97868439422328,38.878543893269246,38.88278659838092,38.80502229900949,38.418582476775676,38.5190348669907,38.43613478110089,38.306120406272704,38.36323577725221,38.22152425250001,38.28895384119474,38.1904670408333,38.25047429882605,38.17920035323278,38.25813979055553,38.09429772855933,38.25858706537813,38.2784485470833,38.49203564115703,38.7610447032787
5,118.482829365,106.22427818666665,99.6586407275,97.921955254,95.24336480500007,91.28719106142857,84.91384086000001,85.21739934222224,81.494772622,80.45665723999994,77.58793768166667,75.50322184307691,75.23862113642865,72.31108096400004,69.30848310125,68.26008135647061,67.259729515,65.7348983942105,65.3347586955,64.19257848761906,62.736179359999994,62.44927600608698,60.28844182375003,58.8774820776,59.25560781000003,57.74902276037041,57.71893324642857,56.45694981172414,55.84793624700003,55.18775828677414,54.6179302465625,54.089607465757545,53.63812786205887,53.97871043199996,53.09473464750001,52.49431186135133,51.7108772336842,51.191585790769246,51.246516958499996,50.148826295365886,50.36329348333333,49.7659479974419,49.43210553840907,49.02618528577775,48.695136754347864,48.57548543957446,48.091455295416665,47.88536935326536,47.395981277000004,47.41318157725487,47.13639556115387,46.77146066075471,46.74050956629631,46.846245743454524,45.998394958571446,46.04665528315794,45.50600189793102,45.64561770186442,45.424138788499995,45.072459128852486,45.0116093195161,44.539155257142895,44.43378575859375,44.472151696461516,44.15963386530302,44.15573240164178,43.91115315014706,43.528395555797104,43.194490597,43.13884075366202,42.95221547041663,42.87645345534245,42.73454382743241,42.2981878253333,42.27057814092105,42.312257727142885,42.20345368730773,42.03779518481012,41.97772922725,41.84632079888887,41.85285417999999,41.27869863915663,41.2727238615476,41.300930467176464,41.117150206162776,40.729223115517264,41.01966921261367,40.884223918202295,40.73845863800003,40.429825832857176,40.325274953152146,40.34875163516125,40.02668178393617,39.93008605842111,40.001416946041665,39.99389978453607,39.864840894387804,39.75204581727273,39.6404500897,39.497002618118806,39.44775598588234,39.37745860436896,39.242347597884624,39.21674940152386,39.12435431792451,38.9202372664486,38.902146497407394,38.82895683467889,38.582685104272755,38.751346177567534,38.52641938660718,38.72617069752209,38.45041803298249,38.609211961217405,38.506094651637945,38.60015366615383,38.56802231228809,38.62982837008406,38.60139253608337,38.63403065082646,38.7934025459016
10,135.59715527,121.87082222000001,112.113545105,107.215575344,102.9301154966667,97.49457328285708,92.40038961750008,91.87937840444442,86.759110422,85.69148319818181,81.5859655,79.33144640615377,78.40599927999999,75.97302866399997,72.97184807625,71.73597761529412,71.01094058555557,68.6924607536842,68.009422763,66.76859572380953,65.22289061181822,64.3703184852174,63.19017704750003,61.8092144936,61.14476986846151,60.153745094074125,59.751711292857124,58.64112316551721,57.93898842733331,57.60631592838709,56.94630704625,56.37384788303031,55.633176691764746,55.78272424,55.15999170444443,54.1008625016216,53.63350855631582,52.75698981948723,52.954982778,52.05677737414639,52.215077396190466,51.71272290186045,51.0094504572727,50.76347886044446,50.31511995347825,50.03790222553189,49.93730149999997,49.62836099836737,49.068530592,48.84344686078429,48.28413511846158,48.19348816603776,48.298764160370325,47.909059867636394,47.19373376821427,47.18571007929826,46.78223145310342,46.74683256677967,46.51641474866667,46.32379236918033,46.09196835580648,45.72140392317457,45.591806963749995,45.40864799323077,45.15936223636365,45.068676226268636,44.81682777735292,44.754693799999984,44.20429732828575,44.20043881464786,43.845515670277784,43.7469393120548,43.44493463108112,43.334710993066636,43.14615884500002,43.09829515636366,42.90690873179488,42.692086503291115,42.703424339499996,42.61039304987656,42.60597653243903,42.028941817831296,41.93154613309524,41.95320966329408,41.82635214488375,41.53535708298852,41.65906012909088,41.47653194584271,41.30679460755561,41.12163081494506,40.99607678108699,40.96584887548389,40.56600059063827,40.574172410947426,40.46772842812503,40.42814195402064,40.40156462755102,40.20110831959594,40.1592113788,39.955399995841574,40.00929392705884,39.82329802679616,39.75542494788462,39.71317976342853,39.56254544415092,39.37778751719626,39.38128085796298,39.34212413596333,39.18884241636365,39.174383483243275,38.920644198214276,39.07580260654866,38.88329165719301,38.9420070365217,38.931816311206894,38.91630962854701,38.871181091016936,38.87361277042013,38.7935603525,38.772067459338814,38.8365570819672
25,160.2184057,142.39216901666674,131.7534567625,122.47563745,118.3377852333335,110.936850514286,105.11911583125,101.38231125555549,96.4219655,95.0753299318182,90.43116284999998,86.91469346153848,85.07164170357146,81.49417172333332,79.67177919375,77.51135447647057,76.82114380555558,74.01968848157895,72.6159210675,71.6906158880952,70.07597611363639,69.1878962826087,67.41706795833335,66.316709574,65.19795210192308,64.84678759814818,63.95865114642855,62.8667250948276,61.740588345000006,61.254485641935474,60.5863554484375,59.87189415454547,59.277165491176476,59.08196660857138,58.179618312500025,57.259081833783775,56.717048521052675,56.25677047948722,55.88763069125,55.322183326829276,54.69353204642855,54.62948690581398,53.81319552159087,53.25976752444448,53.04726821413047,52.34250959787238,52.24546072395833,51.87072791530608,51.395861315000005,51.169082025490255,50.53059606923075,50.35529070094343,50.1046650574074,49.95269348999997,49.530071305357126,49.0967051122807,48.77158901206895,48.49609749661015,48.48644392333335,48.14859417950822,47.8774559483871,47.67313757142855,47.281133653124996,47.01362948692305,46.86727970454545,46.5499442097015,46.35479466985293,46.278614215942,45.76996660499998,45.64470420985918,45.44050195208338,45.09650891438355,44.8970109439189,44.810150893999975,44.56863135460523,44.33825737532467,44.16020659871793,44.12409559873417,43.904544728124996,43.81210079074072,43.56842486036582,43.37131149879518,43.12860627261905,43.06459269705885,43.01794569302327,42.685739403448274,42.713906259090926,42.517070897191026,42.47449160666665,42.10130195439562,42.025344011413075,41.91073821344088,41.7009226138298,41.64207545263157,41.414259541666695,41.28182053402065,41.30086994846937,41.059621179292925,41.020997508,40.837632712376276,40.70051876176468,40.656769013106775,40.52329244471155,40.5029365504762,40.31483434198115,40.10849799439252,40.077483366666705,40.015462489908224,39.98551383727273,39.7778135423423,39.59821562276785,39.5956986163717,39.5028187508772,39.44824386173912,39.36105908491378,39.272399619230804,39.195977995762725,39.1195416802521,39.01248952083333,38.9464515272727,38.9243466655738
75,232.40799535000002,198.76845565000025,179.4592804125,162.73956931,149.9264380333335,141.50955002857174,131.43730881875,127.0387031833335,119.07922491000001,115.73963697272725,110.85971962500025,105.68133500769201,102.75613529642875,98.59474920000002,95.1965966125,92.80698642352945,90.8334060888889,88.48457393684208,85.7572874525,83.6086086095238,81.74059007272727,80.20194883695652,77.90521264375002,77.20799835,76.20418205192304,74.56084923518523,72.72297437142856,71.54574244482757,70.70930426999998,69.86312932741937,68.4144916015625,67.80527536818181,66.54573299264706,65.99955099571429,65.49408973472225,64.15755911081081,63.51023269342105,62.748020801282046,62.05107265625,61.72057576463412,60.70363140357148,60.21930410813955,59.3300715511364,59.076202965555574,58.582984665217374,58.084523560638274,57.67197119062497,57.037185654081625,56.448200214,55.78382980686277,55.5457061682692,54.91319509056605,54.4780871509259,54.427397656363624,53.7765753285714,53.42764236228075,52.79830368448275,52.604587890678,52.30325429833333,51.866411063114796,51.68246617580645,51.12772441904765,50.80904582421875,50.75583802692312,50.143196893939376,50.0645057097015,49.558966649999974,49.3150079818841,49.25408548071432,48.91769848802817,48.51078431180557,48.07274694520547,47.868789045945924,47.700436482,47.35863926513163,47.2007179727273,46.96020604423077,46.703710299367074,46.572154524375,46.35016819753085,46.16011255000002,45.933775437349375,45.70360972857148,45.45943540588235,45.187409569767446,44.88665775632185,44.83697506761363,44.70787863988765,44.4327783222222,44.16338767637365,44.009464614673924,43.76981725913978,43.535317138829825,43.42999904789475,43.292710573437525,43.03857611804128,42.9620531357143,42.66255198131315,42.5619623825,42.31082240891085,42.25215129509805,42.035330310679626,41.896698183653854,41.74728705714285,41.54126669292452,41.394046468224325,41.252786229166645,41.07441900045875,40.939341504545425,40.749019158558596,40.603185034375,40.49537171150445,40.331198016666676,40.130382790869554,40.01784863060345,39.839900006837574,39.69700310550847,39.543614671848744,39.3671562625,39.194024454132226,38.9791665098361
90,270.40661933,226.9540428600003,204.28313836,182.077793856,167.4280732499997,156.633075702857,146.494084725,140.3320081511113,130.825854112,126.3941148690907,119.9808406033333,115.2637323569232,110.74968501714271,106.86011133866701,102.69206130125,99.49433770823529,97.05906486222224,93.83745236421053,92.150328617,89.17281685523808,87.10627800636362,84.7690004278261,82.3485809025,81.4037609976,80.5773318761538,78.80964857851848,76.87893170785712,75.51073841172412,74.84111996399994,73.33499530580644,71.674474139375,71.00546702121213,69.84621725411766,69.36503993200002,68.34113806388886,66.84311213837837,66.16298966526317,65.37039590871795,64.7662437765,64.32156002682922,63.006065737619025,62.4107326911628,61.813624705909135,61.63444352577781,60.88401398304353,60.093755085957476,59.78667700208337,59.04142248857147,58.5597562568,57.983025426666714,57.56540705807694,56.62338553924529,56.58528869333336,56.220189517454564,55.340361967857184,55.03511494491226,54.526966045517234,54.31637928406782,53.8498587873333,53.37924009213115,53.299217694838674,52.760118067301555,52.179676918125004,52.28296590461542,51.49684847939396,51.515084206567224,50.78913412794114,50.5769959556522,50.51700377142855,50.30956831915498,49.65792794833333,49.36320779369861,49.04525116702707,48.91582838506664,48.51607933157899,48.38450803662337,48.044214237179474,47.7750336637975,47.5845886695,47.25230401975308,47.06421050658532,46.83225360987952,46.658970584523765,46.37812029576472,46.06006796372095,45.80735775448274,45.63673619204542,45.39931238764042,45.17596574711109,44.90675045868129,44.76762332847828,44.52478555182798,44.24689403297875,44.1772424941053,43.93748833708333,43.73110407670106,43.65375920857147,43.281165941818216,43.0743908564,42.84212781683165,42.78199494882356,42.47046979145633,42.38533384307692,42.25725891390472,41.9420265073585,41.78180554056072,41.66179950981483,41.46178513192661,41.32589789199998,41.14583912360365,40.94401386446431,40.79748345415928,40.61657896894735,40.45359493947826,40.26205668396554,40.07197374444448,39.87437820067793,39.70465485327732,39.49333704733333,39.27827857123966,38.9948443016393
