,mntd10,mntd15,mntd20,mntd25,mntd30,mntd35,mntd40,mntd45,mntd50,mntd55,mntd60,mntd65,mntd70,mntd75,mntd80,mntd85,mntd90,mntd95,mntd100,mntd105,mntd110,mntd115,mntd120,mntd125,mntd130,mntd135,mntd140,mntd145,mntd150,mntd155,mntd160,mntd165,mntd170,mntd175,mntd180,mntd185,mntd190,mntd195,mntd200,mntd205,mntd210,mntd215,mntd220,mntd225,mntd230,mntd235,mntd240,mntd245,mntd250,mntd255,mntd260,mntd265,mntd270,mntd275,mntd280,mntd285,mntd290,mntd295,mntd300,mntd305,mntd310,mntd315,mntd320,mntd325,mntd330,mntd335,mntd340,mntd345,mntd350,mntd355,mntd360,mntd365,mntd370,mntd375,mntd380,mntd385,mntd390,mntd395,mntd400,mntd405,mntd410,mntd415,mntd420,mntd425,mntd430,mntd435,mntd440,mntd445,mntd450,mntd455,mntd460,mntd465,mntd470,mntd475,mntd480,mntd485,mntd490,mntd495,mntd500,mntd505,mntd510,mntd515,mntd520,mntd525,mntd530,mntd535,mntd540,mntd545,mntd550,mntd555,mntd560,mntd565,mntd570,mntd575,mntd580,mntd585,mntd590,mntd595,mntd600,mntd605,mntd610,mntd615
0.5,90.21500207999999,81.40570319666674,77.233130461,76.88368816799999,77.73364065666667,74.63321349514283,69.3700166965,67.6879714763334,69.5277401714,66.6411258965454,66.24709513866671,65.83109429538466,63.72121662292859,62.07864325360007,61.481418676249994,59.58795650747064,59.35983614772223,57.687125174263194,56.92482691865,54.834662610904736,56.50522516972728,54.689214817434774,55.292445674250004,53.838834465160005,52.70748182188463,52.61951731107405,52.98418846628573,51.7465711491034,51.4180140434,49.69211601587098,50.769745925375,48.4890428300303,49.04711475779411,48.10567546959996,48.76684068158335,47.299765901324314,47.56295959031579,47.33246235892314,46.348184286949994,44.967732665195065,44.80622162835711,46.20627716509304,46.19754397918181,44.85165800633337,44.458212607999975,44.61175199151061,44.463963913166666,43.82817297546943,43.4898141997,43.87582333901964,43.23349518990386,44.14967294288676,43.24944655048149,43.04862561452728,42.39570905130361,42.75687959031582,41.45519294965514,42.402380846661025,42.47147568508337,41.50370264573774,40.873809050612955,41.52627677342857,40.92053242254688,40.27168156629234,40.828145255863674,41.29440774843284,40.90436589941181,40.840463581217364,40.2141239571,40.24877960132393,40.24434596152777,39.031135916150646,39.58688658155405,39.437097246773334,40.37518297221052,39.171458537857156,40.577370955692295,38.99976841575946,39.6855915485,39.623575309358024,39.28714943254875,39.06387079500003,39.54394903145235,38.71436374687062,39.113156346779014,38.74450220237935,38.95089689627276,38.087014229775235,38.891490313266694,38.12624162217579,38.70601825332604,37.804204598569875,38.29726600689367,38.24789361868423,38.3609441655625,38.145113320546436,37.49722125533672,37.42203774027273,37.845764676710004,37.79876776430693,37.920324738323515,37.8688635757864,37.51427171978851,37.54408954030474,37.61765933343396,37.96149036911215,37.443714804888856,37.600418651972475,37.44597874120913,37.55383577757656,37.007767431607185,37.63457708908853,37.32175394276313,37.31879358888695,37.26486465013794,37.32633964465814,36.88539761000001,37.31887935348744,37.23662846649163,37.515878227851196,37.866984614147505,38.5391940308943
1,101.133870329,88.82863140133327,84.7589072555,78.8916967496,81.26772226233334,77.75917185942853,72.6227405507499,73.24316188200004,73.7037427386,70.1250831121818,68.554123906,67.07672180723078,65.74670921400006,63.6270945244,64.44429231424999,62.00290869600003,60.46302746266665,58.955549813157845,58.7905298333,57.6756000293333,57.60107213809091,55.995441877565156,56.16069670500007,55.63092073056,53.655446797769244,53.31779133607406,53.88060567550004,52.16605421779317,51.86062662766667,51.009762007032236,51.390336482375,49.66587599393939,51.357428389941184,49.318778999657184,49.136357487833294,48.2618107456216,48.733400156894746,48.12380477082058,46.7553007925,46.314704100243866,46.79956595933338,46.93811000599996,46.714519956954554,45.422767949999965,45.59902332226089,45.012242597787264,45.07216667425,44.36469356775506,44.64126837028,44.44926747917652,43.79922818207693,44.692705399207526,44.26910078788887,43.733624929127245,43.34320434478567,42.91827357501755,42.91612276482757,42.72807270047452,42.96524516806664,42.39202459124589,42.47506345412901,42.39426574739685,41.966026275968744,41.45147140036919,41.66437084727274,41.45661692208957,41.07041637329416,41.356388290637646,41.17210139631431,41.01169710064789,41.15833501166665,40.18873876413698,40.09885940535139,40.2444546408,40.714839721894755,40.016272966545486,40.79944066766662,40.025998568430374,40.1608524737,40.03277130098767,39.93753593119511,39.74939378612052,39.69642535926189,39.1968563531059,39.473395884813925,39.087086306000025,39.34271013506818,38.91258112649441,39.14043013622221,38.98508152160441,38.900850352673956,38.75046839817201,38.6755351741064,38.53352382791582,38.76420121531253,38.487227531113405,38.391841348673516,37.71591307270713,38.08540453312,38.063910139069286,38.24313630688232,37.996399758893254,37.95364310242306,37.8995556320952,38.058203724471696,38.062728651626145,37.60134916227776,37.872500875449504,37.71616830494547,37.67785543790994,37.59896354998212,37.71503402534512,37.554229967140344,37.562449572295634,37.61976559218963,37.444463241794864,37.1802140211864,37.49727512122688,37.4014980756167,37.82729870957024,38.11645549329507,38.5391940308943
1.5,106.0918070375,92.16695516166669,93.491488969,82.807164509,83.40412165549999,82.19498200114285,75.71382870587499,74.5111002433334,74.8249740892,72.53936869745456,71.07773303466661,68.77686456723075,66.51052074000006,65.9100331830667,65.85218588143749,63.337322468058865,62.09596647149997,60.696930351947366,59.58252606395,58.74635275385716,58.46544534772731,57.56658085000001,57.2001165079583,56.11546242144,54.290474008961525,54.23226501948152,54.587334650142886,52.75959071679312,52.5254614665333,52.05151478012905,52.1565197975,50.558615066212155,51.82162783291173,50.31933100294288,49.9933058477222,49.14864082345944,49.299452827578946,48.54477538858979,47.1247638115,47.49767967046338,47.50464243902378,47.982374604418574,47.255052741636405,46.01729934022223,46.109533260021735,45.75267665589365,45.4508684694375,45.02722299085716,45.12489863288,45.04542793578436,44.44250144542305,45.14405808115095,44.595403754148165,44.116538756509094,43.66171336516067,43.2751405504035,43.699954461068984,43.24955917683047,43.26686307525,43.08429580268848,42.93509446250003,42.81154336550794,42.27393241245312,42.212671845430755,42.275865765212146,41.829003570253725,42.03668044539704,42.00801205762323,41.561742028285686,41.39188452988735,41.47116250051387,40.70577007026023,40.42042191093242,40.5169531365467,40.96600296111844,40.43885973390908,40.98561882275645,40.33962167200003,40.6320214791375,40.25875415575311,40.288957842317075,40.13618440516864,39.825403226452416,39.681606964388244,39.58271177403493,39.31317630611493,39.544616390511415,39.11543886764044,39.43783613698893,39.386881115769256,39.03174450806522,39.07673553108602,38.96264435635107,38.80504137244208,38.9410445480625,38.75807185318553,38.698215512857175,37.93817625188893,38.367535796880006,38.21945149034649,38.3899444221863,38.11113026693202,38.37066305545196,38.141376256933356,38.16275806214148,38.17537765974766,37.91666640582407,38.07049846054126,38.02729118017271,37.882970068702754,37.76371978579464,37.85781785313275,37.75864434182454,37.692279775339124,37.69727491080169,37.639447590794866,37.3218236550339,37.58258004508406,37.5466500486417,37.98102557769421,38.20099293959834,38.5391940308943
2,108.05753361400001,95.02666618000006,96.339055592,86.7782628656,86.17755209399998,83.81070243657143,79.91184741549999,76.10870015377778,76.28476461,73.80073965927274,72.47173092166668,69.81219531446155,67.92235409457145,67.01521985413333,66.498380557,64.40146175482352,63.15781447466663,61.39813938505261,60.795828171400004,59.18363814419049,58.84851532254547,58.82987276660873,57.599849511500004,56.760202922400005,55.530900721384604,55.3067439322963,55.071594131142824,53.47750816027584,53.6220185941333,52.497341636129065,52.417640258125004,51.01226461139397,52.264781306941195,51.106283855200026,50.44962553555554,49.62075476637834,49.87037421157892,49.25475463374361,47.9841564675,47.776433532682944,48.01038491000002,48.26422524827912,47.47812674981819,46.657289638933314,46.760862910695614,46.04817164519146,45.93104223425,45.630166856,45.5376049968,45.623530729882354,44.841296671000045,45.35599860505659,44.8949945488148,44.3532462806546,43.90148878492856,44.05127394273686,43.98246479455176,43.46042454596611,43.69942107473334,43.53635069455737,43.22225402845163,43.27077813009526,42.689942935124996,42.515345682584645,42.57297179745457,42.290412597074656,42.4307488002353,42.20883836626085,41.69636585348571,41.52412177656335,41.68085198783332,40.95006211260274,40.92698682778379,41.083784092479966,41.15813168478944,40.6799223210909,41.15635603830773,40.515369644151946,40.8009417624,40.588025515209864,40.50312572541462,40.405089923759036,39.955220426238135,39.74138654517644,39.80366699772097,39.54315429912648,39.68783502004545,39.276712030561825,39.547573346800036,39.508963583868116,39.43713471673912,39.485441958322625,39.1080696001702,39.04979643705263,38.970424204,38.930387454886585,38.977075390571464,38.24455018856571,38.67040856172,38.4548498297426,38.61644869486272,38.297135222796086,38.52737020769227,38.248818285333336,38.30369335332073,38.2339149258692,38.05201272055552,38.19988311346789,38.17846621410908,37.9436867282883,37.9074197413929,37.99291759762828,37.818137890877196,37.74722453349563,37.72303178872416,37.72072110858116,37.40865027230512,37.69791561452105,37.6645613249,38.08675258155376,38.22699580180329,38.5391940308943
2.5,110.2203682075,99.4041436500001,97.58663104125,88.445278632,89.3905083016666,86.66347423071433,80.86635147625,78.16294691333334,77.14172915900001,75.45238320636366,73.33762840125006,70.28230846999998,68.39014503964293,67.80799530500003,67.1522767321875,65.2597358911765,63.575762571388964,62.478990860263174,61.2923627905,60.469906364523766,59.32810453386365,59.391160028913085,58.87281120791664,57.1349538128,56.17496633846151,55.746414166851885,55.49135720303573,54.645516287068986,54.391134963999995,53.546942948548406,52.58404045328125,51.66253034045457,52.61560251352943,51.544314894857145,51.09631186680558,50.43146461175676,50.201751363421025,49.57515420089745,48.656785897750005,48.371696302926814,48.76108191166668,48.4599394745349,47.743456502499974,47.311174846111115,47.0697632473913,46.43537300670216,46.34714744687503,45.94230205346943,45.7832474861,45.82159548313722,45.615226341923126,45.65559724990564,45.36628651814817,44.75582443381819,44.39888953080357,44.345013804473666,44.14909384112067,43.62791088813559,43.9792195115833,43.87546835565574,43.64338878491939,43.487117003333296,42.76210717679688,42.879760992153884,42.75269578499996,42.539757927238796,42.6670838750735,42.45134071405802,42.14512385757147,41.79392907915497,41.82845814722226,41.19399685883558,41.23920592277029,41.29350576406674,41.41141115513154,41.191007172142875,41.296726075064136,40.81719026354436,41.05370622875,40.70345857623457,40.6212495459756,40.52438887253015,40.10967147833332,40.01292849876475,40.06013226470929,39.77163715896552,39.99894908727272,39.69691640500003,39.75961813800003,39.61927980412088,39.54534660913047,39.59571036532262,39.23621587271282,39.167465231263186,39.13493438864583,39.01568443391754,39.05739397336731,38.54816196202026,38.8007116686,38.559481318366316,38.665198395882385,38.42459678155343,38.63809818076928,38.387021141952395,38.34256454410379,38.283826512242975,38.17817973606482,38.26962522380737,38.256972965136406,38.05824278702703,37.95938307870537,38.01330326362833,37.9125090294298,37.826098052608714,37.81496245965521,37.76897525978633,37.61198695478814,37.76235200189076,37.7599243495833,38.12703803231401,38.24718133872948,38.5391940308943
5,120.87331249,109.68112496000029,105.69636328499999,99.49760300999999,95.36260097666666,90.91741367142858,87.06963004375001,83.3992461544445,82.118880239,77.9551590590909,77.1730905525,74.73758149769233,73.23486823357145,70.5570130153333,69.81503987937499,68.5330456958824,65.40457149888894,64.94267551526316,64.372617053,63.076615752380924,61.79076415409087,61.470256751739136,60.02481750124997,59.0752373308,57.92754016461544,57.063208479259266,57.13737894964291,56.11971719206899,55.618247029,54.703138651612925,54.2817606271875,53.54423872272725,54.23227063499998,52.65376083828573,52.501948469166656,51.99258091648651,51.504508423421015,51.015108056923125,50.315268966750004,49.48489239634144,49.79281337833334,49.96780890279075,48.84083446840911,48.52491728688895,48.615102376086966,47.82369012276595,47.6353445252083,47.36426958142861,47.1673824998,47.203184455098,46.914215095000024,46.90414800943401,46.11764995925924,45.66863444836369,45.37924980785717,45.61112698035093,45.40045293465516,44.669441454576315,44.8228124948333,44.6911037109836,44.37935762500001,44.25510760142856,44.044932948749995,43.953434262769214,43.654117485454535,43.42116522343288,43.480128768382336,43.31902481579709,43.033025876714326,42.61161775366198,42.55180609680558,42.17715239356166,41.956831373243205,42.114854894800004,41.833684307105294,41.79476699987019,41.86625827512817,41.54579979151896,41.649846651875,41.40006583703699,41.31821226378053,41.15779715144581,40.80721857976191,40.63953668082357,40.70737304837208,40.36165511183908,40.44644699170458,40.24735113764047,40.30674682099997,40.08721080769231,40.00701228358697,40.01214587172047,39.63555453287232,39.63491910989474,39.55601282156247,39.57256690329894,39.32916183897955,39.21857593121215,39.3431039358,39.04011883178221,39.118438946960794,38.88141211669905,39.04882443855766,38.84179738552383,38.90026752103772,38.630157002336496,38.524350957777756,38.524908416422065,38.542934824636404,38.47089339693693,38.29846989080358,38.282500601681434,38.27659626728069,38.18462757582613,38.25203798637935,38.0637651299145,38.26581720796608,38.218036597058784,38.1411239724167,38.26002343148756,38.3251043189344,38.5391940308943
10,135.21081721000002,124.2739842933336,115.53864507,107.95035471599999,103.05731806999971,97.47451202285717,93.901854255,89.34783760000006,86.932350078,83.61834534181817,81.90413049333337,78.63293397692308,76.54427098000002,74.85726182933338,72.80796337250001,71.54336556705881,69.47481259444446,68.02200681684212,67.30151216,65.68840658380952,64.46616941181823,64.28717390260867,62.8637008225,61.6888904208,60.54939837230775,59.76031481629635,59.35879292142857,58.48472126551721,57.30742258599997,57.34937013354839,56.25894774375,55.71476820424246,55.79926709588239,54.451393977714325,54.0722125183333,54.02013835837838,53.053598539473676,52.36586540102564,51.982409814,51.3698114385366,51.28769752285717,51.54673898465115,50.47562257136362,50.076746031999974,50.199916110000025,49.31691656212768,49.313659335,49.02571871387758,48.6141662664,48.72732522470589,48.4026358915385,48.200532981132056,47.545451789629595,47.21634118690909,46.6547003075,46.65325033684212,46.706248796206886,45.878037542711866,46.11374279466664,45.73783323606554,45.36425171129032,45.13863975365078,45.0036851921875,44.94395703292304,44.57938983575754,44.505702444477585,44.38886745205882,44.214964875942044,43.934597127714326,43.676663730422554,43.403487192777774,43.14943007917809,43.11303524216214,43.08784075573337,42.6676932942105,42.6611059974026,42.620207526153806,42.29298366126579,42.33589461925,42.127842390617296,42.04738109024386,41.79191974457834,41.45331355547615,41.38058246094119,41.44096875186043,41.19247509586208,41.099582779545486,40.839564256629195,40.77162311933335,40.75989740043959,40.57726320739132,40.614039627741924,40.214320107234016,40.322274761052604,40.11623702062503,40.09403346020622,39.90502640469388,39.810297457777814,39.796591915,39.74230315980201,39.60251875313721,39.26460554718446,39.4717447294231,39.24556318552384,39.31487968792455,39.09258565495324,38.978907328518524,38.96060194660554,38.88516205527277,38.81677354648653,38.635833034285774,38.70846360654866,38.653009836666705,38.59806803930433,38.68358726258617,38.500460478632476,38.53442434661018,38.45562242420169,38.4200080745,38.41427258925621,38.42863247557375,38.5391940308943
25,162.06065235,144.816621716667,131.04937235,123.33260341,116.26359309999975,110.5259207642855,104.420427225,98.7608635111111,96.15906216,93.58083210000002,89.77447506249995,85.62578513846155,83.93585682500004,81.8941857,79.02523208125001,77.29400275,75.36390614444443,73.59398883421049,72.55155281500001,70.74444250238093,69.86505071818183,69.04330642173912,66.96413976458338,66.47572702,64.77293512499998,64.01469486666663,63.1215925375,62.5600759396552,61.5929488833333,60.76690693709678,59.818583203125,59.24282661969695,59.18655089558825,58.130870418571426,57.56043474305557,56.90337247837843,56.243544497368404,55.678845970512825,55.00538143875,54.78242637073173,54.117589889285775,53.92154695697677,53.27923882840908,53.20917055888888,52.5198440804348,52.08163911276593,51.834478436458326,51.432128161224476,50.842526844999995,50.656691973529426,50.30092405865388,50.07595787075473,49.460771734259254,49.24686094727275,48.911488155357176,48.48353018596492,48.513827568103494,47.774416610169524,47.84326600749998,47.53385924590165,47.12980402580647,46.883449374603146,46.829677211718746,46.684200153076944,46.3701945712121,46.104782160447776,45.936735785294125,45.7959961956522,45.33887969428572,45.306657431690155,44.801372449305546,44.630951329452074,44.586023767567625,44.3073049446667,44.015419695394726,43.79933683766235,43.871675599999975,43.596460407594925,43.454662925625,43.296921901851846,43.09930407682933,42.928351421686756,42.762864362500025,42.57365467117645,42.60742147325585,42.38590946781608,42.07081163863637,41.943700593820196,41.8322456338889,41.78028149340658,41.63909634021738,41.49163031021507,41.3753211898936,41.149371630526296,40.9767863536458,41.068831059278324,40.8376209428572,40.76732904343435,40.632472008,40.46765015841582,40.34403112990195,40.13033816165052,40.232931247115424,40.109041106666695,39.93480134528305,39.83718993177575,39.7744077412037,39.61710285550457,39.609430671363626,39.5225220072072,39.283831089732146,39.27929190000005,39.19699515482458,39.112778316086924,39.057361801293126,38.9256861089744,38.8564282944915,38.7563851747899,38.69680945791664,38.63430339834708,38.574584873770505,38.5391940308943
75,228.006382775,200.04669533333325,173.01012177500002,161.24538107,148.47562920833326,142.26589680000023,131.8008247125,126.4062273277775,119.87852041,115.0251757954545,109.89698843333326,105.06086515769199,101.69699480357126,97.3754697233333,95.03487496874999,93.42839319411763,90.1909295194444,86.96005010526312,85.40492122250001,82.73045304761908,81.64225637272727,78.8990241630435,78.30431060208335,76.317307598,75.20867613846153,73.63140650185187,72.6085838982143,71.47358791896548,69.68713139000002,68.78496468548386,67.391719521875,66.70302330454547,66.32978057205882,65.33167654714288,64.27173702500001,63.70993476216213,63.022320978947405,62.166161071794896,61.571198126249996,61.00811276097561,60.3915649261905,59.65820144302323,58.9572932318182,58.5495913588889,57.984609299999974,57.54220479042555,56.746838493749976,56.35575286020412,55.946182836,55.272710137254876,54.72318248365382,54.47389196037735,53.92709171574078,53.53140516999997,53.197462671428596,52.77143845438597,52.314868386206875,51.9925524923729,51.624889595833324,51.591514516393424,50.985288817741974,50.846631426984146,50.51779420625,50.222821229230775,49.999900219696976,49.600151029104495,49.131790525735326,49.0680966731884,48.61321694999998,48.399295374647906,47.99812564791667,47.7237598130137,47.53608635608113,47.312034884,46.82879650197365,46.71113059740257,46.576026788461554,46.3962847240506,46.07718011125,45.90369297839507,45.61381286463418,45.46700320903618,45.2186432577381,44.95759234117648,44.76694844069765,44.6054739488506,44.35586517556817,44.25236262752805,43.9191007111111,43.79469419615385,43.59779805543478,43.36058236612907,43.35993736808513,42.970639163684204,42.83945565833335,42.723125211855674,42.480651550000026,42.36713098939395,42.224691960499996,42.05651509306935,41.85927369460787,41.6860765548544,41.51611171923073,41.34527497666665,41.21184505849058,41.06139298831778,40.90671855555557,40.739261975229375,40.61194138318182,40.495402232882874,40.25785632857148,40.130685229646,39.9709098425439,39.89266953043475,39.72453262025862,39.54506324743592,39.43563156822032,39.24215183193277,39.132717070833294,38.9580979322314,38.77482339180325,38.5391940308943
90,269.30761815,228.6161851399997,196.55511923,181.449251328,167.5919857766667,158.7893620971426,146.1680596775,138.0107889755555,133.00533325199999,126.4894227436364,120.0942906666667,113.91235391692291,110.49244483000041,105.2343908053333,102.97286974625,99.25783415058828,96.63954565555551,93.67830487578945,91.16927774999999,88.24749260190472,87.12820887181815,84.02049832782608,82.54868789166665,81.304769476,79.57019919615385,77.65318885777775,76.23005566999997,75.14043685655169,73.76684469733333,72.44247772193548,71.516180258125,70.18962989272728,69.52894180588234,68.47549215200004,67.13447239722228,66.68061842378378,65.51201319947366,65.05078046666668,64.317009712,63.91462022146336,62.98336137952382,62.438906730232524,61.13074388454548,60.969684352444396,60.10434413826088,59.719803060000054,58.83224653916667,58.5026300122449,57.9779601272,57.44251051019609,56.765448254230755,56.58492613283022,55.93675076555551,55.394818701818146,54.8628952335714,54.68148623438593,53.99775002034484,53.82411103830511,53.383727164,53.341244981967186,52.54728587354835,52.28864199841274,52.1097210075,51.66759164492308,51.29237692878789,50.96509303492543,50.46790312852945,50.35924239681159,49.99636649342855,49.83630484957744,49.24982845416668,49.00589515068495,48.731737239189194,48.431119792,48.06596543894742,47.80069279584421,47.608711612051295,47.40502507417727,47.0373670335,46.892458971851866,46.61111404048779,46.3671611783133,46.11866317666666,45.84490756682356,45.549438928837255,45.33600682666672,45.19322307409088,45.1503427469663,44.78588516666671,44.508520261318665,44.42322816934783,44.10406236731184,44.07765989489367,43.68174412084208,43.49765273000003,43.34497462432994,43.14512980102038,42.96306067878789,42.814102269799996,42.65364654772275,42.34020380156865,42.20698195456313,42.013684883461586,41.832305511809544,41.71793011867927,41.532984814205605,41.30755074462959,41.12217349247707,40.98155553927274,40.82302103351351,40.58385303642855,40.48542775610619,40.27347220175435,40.175368851652216,39.954997846724154,39.780424793846116,39.61688510338979,39.41990795226895,39.282325605833364,39.06691863917358,38.84187029573771,38.5391940308943
