,mpd10,mpd15,mpd20,mpd25,mpd30,mpd35,mpd40,mpd45,mpd50,mpd55,mpd60,mpd65,mpd70,mpd75,mpd80,mpd85,mpd90,mpd95,mpd100,mpd105,mpd110,mpd115,mpd120,mpd125,mpd130,mpd135,mpd140,mpd145,mpd150,mpd155,mpd160,mpd165,mpd170,mpd175,mpd180,mpd185,mpd190,mpd195,mpd200,mpd205,mpd210,mpd215,mpd220,mpd225,mpd230,mpd235,mpd240,mpd245,mpd250,mpd255,mpd260,mpd265,mpd270,mpd275,mpd280,mpd285,mpd290,mpd295,mpd300,mpd305,mpd310,mpd315,mpd320,mpd325,mpd330,mpd335,mpd340,mpd345,mpd350,mpd355,mpd360,mpd365,mpd370,mpd375,mpd380,mpd385,mpd390,mpd395,mpd400,mpd405,mpd410,mpd415,mpd420,mpd425,mpd430,mpd435,mpd440,mpd445,mpd450,mpd455,mpd460,mpd465,mpd470,mpd475,mpd480,mpd485,mpd490,mpd495,mpd500,mpd505,mpd510,mpd515,mpd520,mpd525,mpd530,mpd535,mpd540,mpd545,mpd550,mpd555,mpd560,mpd565,mpd570,mpd575,mpd580,mpd585,mpd590,mpd595,mpd600,mpd605,mpd610,mpd615
0.5,207.59435934522224,221.8173147717145,224.61144207150022,228.08894177783364,240.94423453875837,243.61162885228566,255.20551025919252,256.8298567791112,253.97914430777115,262.1900751924715,257.9438158549802,266.23771664931706,272.1502820821032,268.82866730495164,268.48684607845445,267.8257519470756,276.3230160768126,274.3556763715786,275.248000012203,274.4845215082507,281.7241856239824,278.88103039786233,282.7149346164282,283.6814379089907,284.10727487259885,283.10174776342495,283.6384140367571,285.0805214712546,286.6194060319726,287.72947607177105,286.2060293860144,285.75956075386426,289.6589036479165,288.70494537253717,287.23191957159423,290.9730954893509,287.5888137567077,295.04622455070734,293.2408054237365,290.4986545496367,293.4878382030328,293.836458400712,290.4297728123579,293.14477120023,294.0584719708464,295.39144291278365,296.1084029072306,299.3121409801573,294.77770053022334,296.4422980711325,300.7010412436449,297.7499829895757,301.48931977790545,300.35203110815996,300.15013269895917,300.3124621801691,301.7009129011508,301.8623985755147,301.271008472288,300.3705021289211,303.2322037828877,302.8385507781564,303.82985064301045,305.76217495009456,303.40205369853584,303.2470854317643,304.3166873509215,304.1544069731269,306.66281038580394,305.0729140121635,305.34065698907335,307.55018663898716,303.8634976885733,305.6356393632041,307.8731707914458,306.9767196913366,306.88382341539386,309.0402772161786,307.76262682544507,307.2879765293902,306.0413827328026,309.2036419436008,307.94663127525706,310.36060027818166,309.935898947685,309.178144982302,309.7384659135729,311.1215433902255,311.2537225352847,310.0072023195921,310.255968045823,312.20072505531743,312.9852761247313,310.5923727342278,312.9730431759347,311.3077133803777,313.4963889394227,312.34153692789334,314.0703975470017,314.13666455491796,315.0803513098714,315.1549845338692,315.7336650542378,314.2198425716796,315.6210666004004,316.58429188261766,315.86819484209036,316.0962314957166,316.9825378213405,316.5467161061872,316.76618521408216,317.5907744282511,318.9673598967642,319.127854271651,319.27390462066097,319.2560849816305,319.4227030472272,320.55635227263156,321.4474319146064,321.5369342225164,322.9463151457509,325.750812742014
1,212.52263193000044,225.22951094380966,231.17722043368445,232.20954541726633,246.67325503901182,245.12128311415103,258.1325328300894,260.13151812587887,260.7842220258123,266.06880968568345,265.5051562066155,269.5723059934332,273.7368931241163,272.8238990902634,273.9085935391454,272.6517472540005,279.1987120820752,279.5186421483139,280.0958973204207,277.65672363112463,283.075322059029,283.95892259183506,285.3397765249959,285.9756572578579,286.9797777758118,287.44092246037116,288.18804802434806,289.1290738032725,289.85815895315153,292.38436373953965,289.99930353510376,292.8448084091605,292.24110212184297,290.7898091629264,292.44877151005886,294.65508445112584,290.69280747770733,296.737515552113,294.7966004598163,296.3097354590828,295.3583403095644,296.3877829965814,293.643161678589,298.5882645666071,296.12364994083975,298.56856619616116,299.8376195004213,301.3688084901767,298.83850617565935,299.10216031456224,301.7040847384688,299.4263437055518,303.2658431701244,303.1657563958531,302.6698087659487,302.1807761704656,303.8818830404739,303.7277094383297,303.3645475040239,304.3095324798033,303.7994115225206,304.8406545531455,305.29591973811165,307.00390411412803,305.57093676736093,306.9168527747542,305.7722288112667,306.6187937170963,308.5082844032319,305.74877775926694,307.66775468987055,308.835594914051,307.1925684887201,307.02918577630624,309.00397423277326,308.7045198261183,309.28492229447227,310.43676389432125,309.2350034889351,308.8827846420782,308.35543002832446,310.2326021386717,310.4061848370793,311.3998372080707,310.9095242942732,311.41266679075625,312.27162581638777,311.7762019495645,311.8941900490465,312.2213231935071,312.1934071373038,313.6527567441126,314.26935504995737,312.9015883068384,314.47044952456787,312.9388931380391,314.5483516640029,314.4059805287725,314.52484825315537,314.88581412955426,316.18395487005864,315.56338166933057,316.48118303116945,314.5810125559214,316.6255223173202,316.9120401156214,317.2545850279959,316.92151906326706,317.53797410907436,317.6528514565724,317.41906105422805,319.1217270162526,319.2949707036982,319.73335340119087,319.84184404253546,320.3971461754199,320.04689039475625,320.8842180290344,321.7034039087741,322.24928111607244,323.24262901390824,325.750812742014
1.5,216.324177039556,226.93189512247585,234.41027282581544,241.2360851661,248.96902967628722,248.33276670836983,259.4274445601474,263.6993678952832,264.7337904818693,269.32158361507106,269.2908226431833,273.2133632878272,275.3042649371986,275.97666142926164,275.7901821152045,276.0035317441822,280.2066821379364,280.7820836534108,281.8144928934689,281.4365228772881,284.8777775219028,287.49771074880994,286.46324269807934,287.4984757912629,289.7072848141469,290.06142089625075,290.12623714676147,290.32820400065845,292.231020351097,294.2230097402669,293.8797915348385,293.9482041633114,294.4669596751525,295.46334365299174,296.4788194034696,295.7963720059376,293.22416899810264,297.925685956594,296.7988146840432,297.2328718934361,296.8251786938573,297.4540369090677,296.69790887818465,299.2411387190817,298.18331524476986,300.6583787933162,300.82068634543674,303.43184507418,300.7744063730115,299.9566405869689,302.8902770814356,302.0133083441779,305.29808194855207,304.99527147451954,305.09748184293846,303.8616714903838,305.27362746573834,304.7345662393611,305.9294753644493,306.03642477417475,304.50197563299025,305.913960697358,306.4493841778097,308.08615078115605,307.07918755440926,307.6473292815629,306.40313079320237,307.7971152207025,308.86037807151666,306.2785868736271,309.3115675577863,309.91526844075304,308.54789625183514,309.28367414585813,309.69142888869277,309.79680804458116,311.0051738149968,311.2929921135675,309.9115682271699,310.3280948534051,310.0302548738705,310.99374503975315,311.60305766871164,312.5159870804954,313.02484883405674,311.98054989065383,312.81706175756,312.59699524430226,312.7438711154508,313.7809885302607,313.10768644110743,314.0302851713674,314.77429865372136,314.13855454584353,314.88539653176974,313.737354068537,314.9721989690923,315.1231880740931,315.06327633934484,315.61704135330893,316.480789022611,316.4351166038152,316.95194150484474,316.2845530131003,317.20454442642625,317.48621864931727,317.77171323452166,317.74091408752514,318.4367863666757,318.40195517501644,317.8738552880971,319.76152279700005,319.7881171549579,320.0844174457939,320.38685357164434,320.59029170302375,320.83321636800645,321.32815124278096,322.09869417370385,322.4709580908339,323.37488543587955,325.750812742014
2,218.026957787556,229.61391992609555,235.67917019968442,243.51159264653336,249.74691468914952,251.67215620981545,261.31744095084645,266.3260207154345,268.1143845609305,270.7961591691046,271.2107992747911,275.52322306878875,278.57397776669166,277.7291912970521,278.0003735030312,278.0706718152944,284.36441165780735,283.35169180347566,284.66685318705004,283.92771977326055,285.7975585034393,289.8937268476829,289.1954085580361,289.0426748784057,291.2426772335621,290.67849835142107,292.151721948861,291.88667500378506,294.48124360117225,296.8339099279731,295.0406151053963,295.59141595324746,296.35018545600144,296.983001936946,297.5844294675769,296.511064712508,295.96230204225446,299.2842799570991,298.2909273403515,299.60788402454483,297.9664601260945,299.07150356589807,299.0767019846456,300.38395241348115,300.35774164171903,302.29917207488205,301.43953253946995,304.9132339842231,301.6026457093153,301.6163122204824,304.428670745885,302.6558501587364,306.4939595865501,305.96600454918234,306.0434619248236,305.3256676916238,306.19499802668423,305.8623666715805,307.28423490127466,307.111070381821,305.63805688779775,308.23059904468255,307.6882923734263,309.2938901124175,307.8894593914093,309.26607929270193,307.9598125569429,308.9951171375642,310.674966522956,308.2751779477251,309.9061231737726,311.0245688987968,310.0184299048255,309.70056290978454,310.13441906297476,311.36144996001315,311.3020295752221,311.9860583619076,310.79081196926705,311.64588247293466,311.68886042373424,311.6657919873332,311.95174382617506,313.22611908477126,313.44805136531204,312.7728826567845,313.4538122370774,313.65859031151706,313.00791995424396,314.1072715537484,313.69255162874316,314.28164851410105,315.07078243991384,314.97721805863085,315.18170047152773,314.2642652445477,315.6911710334416,315.6428822434247,315.2455727786108,316.30896031442813,316.94322629751287,316.76948267122464,317.4131874835907,316.8776653528445,317.3373073165384,317.9658559494131,318.2693166834591,318.0718876088088,318.92518955166514,318.7025260525111,318.691317949524,319.9239966343194,320.07733142332387,320.3501708696301,320.74897383942056,320.84203667059467,321.1459402892834,321.57302822090065,322.2146044856674,322.54670583668985,323.681915808277,325.750812742014
2.5,219.97533040777776,230.1847665885711,241.51594015486828,247.0585522660003,251.7438073562644,257.2106374426895,262.16172735124974,268.18452458858553,270.1998499072449,272.5189146976768,274.36919256805123,276.94100857367744,280.24917070519706,281.78781230827025,279.650928757041,280.0561416567509,286.65143075200984,285.2703221866633,286.72184776346484,285.6770213463004,287.17237377125537,291.250857029039,290.77924673097294,289.87052358721934,292.16712221099294,291.4851239769711,293.60774997116675,293.57327668237565,295.6701809340025,297.41957958250117,296.20740184604983,296.51504409893187,297.77138529084755,298.4983440825882,299.14904367383343,297.46403264528465,297.86726319490657,299.9257201913087,299.3373700054042,300.37704669495025,298.96519108201943,300.35022685350333,300.48396655009634,301.82061489427184,300.68567074062895,303.31525559898165,302.1943206090626,305.6530379207196,302.70208331374323,302.34478398972834,304.92990178458655,304.7438300083539,307.38036679468934,306.5868596775789,306.4634913719837,306.11533776665664,307.66917275608733,306.86995257597124,307.8325400295442,307.99735320252194,306.5638427010547,308.82876739339963,308.45716582483607,309.73581081706766,308.84930168789646,310.04882796514454,309.04635985383845,309.48841574743693,311.1448866102852,309.15888269471833,310.68702544020084,311.495202698739,310.44138200841877,310.3533955688394,311.273654701282,312.1871156083537,311.69535935706335,312.3865855848074,311.7430334822818,312.09087521796977,312.850323599888,312.57153820962236,312.61316492170596,313.9003040515313,313.60651774566105,313.6282319187439,313.99700364515337,314.0089456035239,314.0934122981765,314.4852141542186,314.21223108379183,315.2830972906762,315.42502739321446,315.6837092803101,315.40357943718664,314.9796459913926,316.0529628862866,316.1624210469489,315.91356936557617,317.169995258114,317.4604608616903,317.10371217456685,317.5906148470318,317.40793530193366,318.11259387935945,318.21895950692993,318.70550421725926,318.57574604053406,319.17624957057217,319.03054591924274,318.9370509261426,320.17554058492124,320.3449038163564,320.66344684790096,320.94073196480764,320.99780692242086,321.27635833174503,321.9377295897253,322.470391383066,322.6875145398492,323.8115078891189,325.750812742014
5,227.9002437599998,237.29903511904715,253.20771677315764,254.3067370460003,263.3533887228737,265.976401703361,271.04624434391025,276.38119202999957,277.27674756036697,280.0622069040404,280.96343211954775,283.27448138437467,287.3256470971635,287.5193367453336,286.66346286729447,286.2549158127455,290.83104747592967,291.1882374756325,293.80329556964665,292.6380104299997,294.42785326384507,296.0600592627158,296.1851679117223,294.76969515563826,297.3853280699761,297.0469341503042,298.4256073709713,301.21713666426274,300.55217117317665,301.35869236047785,299.7607836580582,300.4120199226533,300.9271371320784,303.541078445629,303.163064021009,302.09032203998225,302.7584351433693,304.3853877722711,304.5823359151134,304.21929418569147,303.6294603772451,305.40581822765046,306.0345271962556,305.31006761611167,305.8125273879974,306.5221055266125,305.705098003799,308.35981489359324,306.0608494188983,307.0560200692076,308.2669339477203,308.01090321079806,310.4625122688432,309.0983268241298,309.5284382214729,308.52727677437144,309.7622617760757,310.11633755703485,310.5118622538183,310.46613161013767,309.7494561311059,311.18367249017456,311.9507080770361,312.2023977854685,311.3911982170818,311.91638838141375,311.490891679334,312.11348718774065,313.3641891657191,312.0451279857404,313.5907418715672,313.4494142883877,313.0478248782491,313.5553868627368,314.2524190286034,314.2762819852665,314.3544491834901,314.02343989651746,314.5416514176771,314.66993896119266,314.66659906743683,314.67100901417604,314.7032024274934,315.66381719336664,316.06512446345903,315.986220538929,316.0332601907267,315.7575566445254,316.41015230814054,316.4841422116304,316.7105272876564,316.8569658579741,316.89212138517695,317.3353450512075,317.1565742567902,316.895676301924,317.4993156359462,317.90617327775425,318.27742482275124,318.57444257357986,318.98504206606526,318.62258886519703,319.2566036618566,318.5022481691877,319.3580881922372,319.531306063451,319.91801963297877,319.5675093361941,320.45326739884734,320.5983295566622,320.73848137291014,321.08312123394757,321.02534782323295,321.61524199011814,321.6182461304348,321.98187979250866,322.4475277371175,322.48555096835787,323.1122317608386,323.5029584247798,324.2861709664512,325.750812742014
10,235.92812617555592,260.5954178857142,265.3808922847365,268.10338909000035,276.20397093264404,275.4854503563027,283.0915217434614,283.2730224333335,284.0383567980412,287.1280834980471,288.3526705638416,293.12071185673045,295.2382560268736,296.19644587243215,294.88974194879734,295.3141315408407,297.907674385618,297.96344337084,300.7089966466869,298.0152804359343,300.920079029108,302.6893017443475,302.41747923705884,300.9621916809292,303.67374148954053,301.784394066114,303.6514325779449,305.3211386971843,305.2976051771995,306.390895448714,305.4800473379401,305.5154669482925,306.5666082889595,308.4193268535567,307.5802093063127,306.4763370580145,307.7958899917124,309.4078975058419,309.4351671684975,308.5266025052989,309.2889080893097,309.0665013180441,309.9951930498633,310.0126268062619,309.7730780845869,309.9390831474667,310.1347626671928,311.2917968838204,310.5757937399778,311.6918070465273,312.1104639034189,312.11940088650124,313.36075845080796,313.0451738943648,312.5720707269252,312.67490391858166,313.6296166691327,313.3104048942516,313.5989016816881,314.1375247495689,314.010420659365,314.6813389150988,315.2420616641067,315.7759391149633,315.1135194931641,315.1280018969342,314.2700488369984,315.3096333121566,315.8546479957655,315.5420661111672,315.9048061663013,315.9358501675692,315.99755418852897,316.7084793372065,316.6580169520252,316.5902222277677,317.15547880686694,316.521401179929,317.3309690867648,317.271161466936,317.880351968443,317.1914173622028,317.1205446013286,317.9151117124526,318.2599521389281,318.3778728906239,318.13028017353173,318.6754971211396,318.2395733612147,318.4103569805044,318.99835561422054,319.234007267807,319.47050760127144,319.279790644514,319.3636473518494,319.1761447885987,319.6080533128186,319.68216044088837,319.99126938038773,320.2853712591578,320.5311158816946,320.435318992801,320.5455008201586,320.1579872029964,320.6611668515633,320.7133064249573,321.3479302956444,320.9760101772597,321.5658946388744,321.7882077291674,322.0150872061125,322.55903629111185,322.2393945772202,322.270281621203,322.4989540273226,323.0677918767004,323.181986194902,323.5045026888297,323.8835875300934,324.0452187604484,324.8449850858738,325.750812742014
25,279.06202656111077,286.8108722047617,290.53860266973726,292.4802145000003,296.14000925114976,299.0017241495798,301.194860653205,303.2396457161615,303.3285553940818,304.2152585868688,305.77214227839,308.19153958149025,308.34608732360226,308.52136227675675,309.46288045980975,309.486191501821,309.552188473221,310.269921562934,312.135503303333,309.3270100637362,312.14011457556325,313.80317114271526,314.2358587204482,312.25209604735477,314.7650257984495,312.29946099159724,313.972645464748,314.96732878841,314.4034022236917,315.52234134918353,314.8167582097483,314.37011629238725,316.4138201050995,315.98159504512324,315.59199476921196,315.044060560047,316.0867456418685,316.8945642324085,316.4172266809545,317.003896754567,317.3301493584875,317.7982992424695,317.99642575980727,316.631847325536,318.01288375137676,318.0153440994543,317.9126258464265,317.649401627869,317.935591262305,317.6740838717308,318.34921248776374,318.7544944979562,319.2584073471983,318.9241929021897,318.6630241700845,319.880024629417,319.3407812704985,319.0319035998965,320.0291913982053,319.3509588479187,319.257381954781,320.0958296459205,320.341539567021,320.52764547157676,320.3820073516532,320.52925157882726,320.3226599446775,320.3512645439752,320.3748815193775,320.6631134050685,320.4671786613783,320.70193002851875,320.367058952809,321.70084425848876,321.1504637822318,321.03826803462505,321.1765189534375,321.00654030967047,321.38428831036674,321.4129286814938,321.7617621070815,321.5949229803857,321.2590710196413,321.47459980418427,322.072478989202,321.650878967403,321.5136522971527,322.35011201770925,321.9735667384982,322.17848142098075,322.356510781306,322.2465149676402,322.62509157473573,322.609525674368,322.67790072345804,322.5841705974057,322.4673006293373,322.74596939335476,322.786449398407,323.03115586203825,323.130806144701,323.0542469887348,322.9789738616625,322.904199972941,323.4329062289745,323.3801450360253,323.6059450130405,323.51503668185353,323.70240974045504,323.9509275888962,324.062490395705,324.1052239274805,324.1510474173175,324.0414218479415,324.2414491412395,324.3074752162215,324.4470463511895,324.7611804922845,324.941347257593,325.03552684420976,325.46166097963174,325.750812742014
75,372.8306084944445,362.2677492619048,357.264099042105,357.4344009816665,354.12175178620646,350.36687807395003,350.4848785785255,346.3003206636365,344.99197747061226,344.9881791794615,345.823597011017,344.36297841153873,342.44022946314703,342.935921664865,341.17310338132927,340.27747692240877,341.11072205280897,340.989432776484,340.942368726616,338.3126455108055,340.0799321815682,338.56877452067124,339.01300899898445,337.49725373419346,339.04076333950525,338.64622581581,337.0479944245375,336.83237039530627,336.302639873266,336.4822477780055,335.1233666541865,335.902155259645,336.513398301793,336.4310198890315,335.776479621012,335.59470020029374,334.284458684921,335.434146218927,334.78377769561575,334.70263215619326,334.4513991878905,334.8931285206475,335.1707844406703,333.6666328691468,334.15268266771426,333.80889765550074,333.865900370354,333.85679129083326,332.4202698740885,333.17594383382726,332.864775848448,333.3795978960977,333.43190529420326,332.50003608759124,332.1453546572965,333.10894848948624,333.32325620565575,331.92144284531275,332.0477872924305,331.92324257011404,331.93498141512646,332.2846900552522,331.8976984660317,332.20653087580274,331.58525674089077,331.7662677630085,331.2307849472063,331.11933515968974,331.4959603265945,331.8002858386965,330.8660656021475,331.21884951342776,331.4201972295725,331.3726187717788,331.0242640902445,330.85699642674524,330.6821331448423,330.55893763309774,330.69534185353376,330.61845476873225,330.2373816847668,329.82781953065023,330.01981462286074,329.6179344720255,330.156987474652,329.60203959385524,329.59719705980547,329.56630102794327,329.734760565922,329.323143053139,329.8680758392587,329.366964786499,329.2613909887765,329.7635702576325,329.116498779756,329.56878722932623,328.9273328861025,328.89204161384674,328.8647149122665,328.89816799782375,329.0708403927388,328.5993503536432,328.44820062983,328.375892159524,328.55899670755275,328.17673025249775,328.2743858860685,328.2113795709895,328.07272799407497,327.90843682870826,327.6579206242018,327.5678854037625,327.5848628159895,327.4391747618905,327.37671040181925,327.1632658980215,327.1890709164715,327.06520033329355,326.89124751662746,326.55718661739076,326.4445759772715,325.750812742014
90,421.3316706955556,400.8763841333336,393.9704913105263,389.0067186446667,385.5109520721838,375.5544863035291,371.4398585597437,368.1765452420205,364.5360672337958,365.4593137827605,364.39763117694883,362.8004641925966,358.8945839006624,360.0402830303423,358.35465058756284,353.3938995874513,356.8427146728094,354.5148388189924,353.6552139699593,351.35146934087953,352.0764184837027,350.1242859697329,351.8757065041177,348.92377916247733,349.35195640444846,348.8786343884797,349.1714919423128,346.347579468199,345.7241675123665,346.5716817616753,344.70988888720956,345.8427302650705,345.93277798797806,343.6618953301811,344.0165151098946,344.294876734818,342.78415790850477,344.1372404476023,343.2690744797133,342.7188140321571,342.0790800105902,343.422215294779,342.5018607402782,341.3048484195719,341.403160184397,340.6173929485438,341.16376936383233,340.331557048779,339.75532908833367,339.6767470846812,340.14891688702403,339.504259489994,339.3115814990559,338.3441399045732,338.8842893756503,339.3556113228467,339.35022503249473,338.21746834435567,338.23037872894326,336.9313636595514,337.6437741650441,337.5714562579318,337.6099764705842,337.4128669971394,336.9003988642262,336.83069642093443,336.0834917624401,336.5061755455406,336.1283966619419,336.6421628248716,335.5823973870879,335.5553712114643,335.78849019469277,335.5680852815425,335.087781745798,334.8002128406956,334.5497187211982,335.12447953233215,334.3943200106889,334.5829249566164,333.963554781962,333.7251121441455,333.79286151470137,333.04050917884086,333.7416920446719,332.8735138735077,332.9584278546209,333.0548515414838,332.81043657035,332.63075211999234,332.8412147768433,332.25669686797016,332.24440762236503,332.5957038042067,332.08125858138243,332.1540564012779,331.5039745519711,331.3863918326897,331.0822042775381,331.5750233724298,331.3300335246516,330.87569561040965,330.6397718296186,330.5241898520657,330.8048268410356,330.1969600060847,330.14765946051136,329.846353292071,329.6883452370297,329.44389670036537,329.11845774500864,329.1845230734654,328.9561651855631,328.6342459046294,328.5321090419435,328.2404142183671,328.0180086095666,327.77243646194006,327.3333920391874,327.1630571126411,326.50454792346045,325.750812742014
