,pd10,pd15,pd20,pd25,pd30,pd35,pd40,pd45,pd50,pd55,pd60,pd65,pd70,pd75,pd80,pd85,pd90,pd95,pd100,pd105,pd110,pd115,pd120,pd125,pd130,pd135,pd140,pd145,pd150,pd155,pd160,pd165,pd170,pd175,pd180,pd185,pd190,pd195,pd200,pd205,pd210,pd215,pd220,pd225,pd230,pd235,pd240,pd245,pd250,pd255,pd260,pd265,pd270,pd275,pd280,pd285,pd290,pd295,pd300,pd305,pd310,pd315,pd320,pd325,pd330,pd335,pd340,pd345,pd350,pd355,pd360,pd365,pd370,pd375,pd380,pd385,pd390,pd395,pd400,pd405,pd410,pd415,pd420,pd425,pd430,pd435,pd440,pd445,pd450,pd455,pd460,pd465,pd470,pd475,pd480,pd485,pd490,pd495,pd500,pd505,pd510,pd515,pd520,pd525,pd530,pd535,pd540,pd545,pd550,pd555,pd560,pd565,pd570,pd575,pd580,pd585,pd590,pd595,pd600,pd605,pd610,pd615
0.5,1160.675637545,1445.861146295,1796.9691851950001,2110.557584535,2471.66354606,2558.48812639,2866.178001165,3207.530417455,3433.37099702,3696.8838794400003,3966.5400170599996,4147.558346635,4398.73502389,4570.756215235,4778.36125158,5036.888853115,5192.749395935,5355.688675655,5543.45590657,5715.371189905,5947.5770924299995,6089.598168330001,6255.533612955,6493.321110219999,6540.0885526249995,6850.477088415,6933.67761653,7026.318706505001,7181.964459175,7433.331277415,7492.57792888,7812.047947695,7775.76184724,7971.802292085,8152.017917069999,8240.347111935,8491.676312439999,8640.961963105,8578.538204890001,8811.542525545,9145.1164284,9137.25188423,9405.53916432,9354.719683,9591.123149425,9760.997512825,9888.724916625,9962.791535889999,10113.10646988,10149.80650636,10278.042998265,10444.262679424999,10629.594407535,10823.875149415,10818.87892406,11024.504696355,11135.356919925,11337.890416375001,11439.125179249999,11527.84203715,11580.217372404999,11697.970859615001,11919.467290575001,12057.944305945,12092.55978352,12315.519099785,12398.026045965,12427.646187115,12456.61441073,12777.17288309,12805.875026345,12972.651660079999,13025.236521354998,13073.886895735,13173.73915352,13332.05105728,13492.944948370001,13671.16165978,13751.150918535,13981.127094230002,13964.425906994999,13971.2767723,14231.674371895,14469.34710191,14571.695146615,14545.10157841,14629.46912073,15076.09249981,14920.029234444999,15030.91480542,15234.208939085,15367.953805489999,15353.747154350001,15636.453292385,15752.425638665,15728.932232944999,15871.35630669,16075.354058875,16191.178183525,16260.95624395,16440.449118935,16505.914190199997,16700.667605655002,16841.730769284997,17036.035475045,17129.856449155,17104.056268160002,17188.054283079997,17343.65851937,17436.624990440003,17702.4651318,17713.00374902,17858.684860565,17958.427329855,18127.271702355,18233.66750249,18408.833339060002,18532.265922295002,18610.463905714998,18864.308375915,18963.62367331,19465.13053
1,1183.17956251,1516.22646992,1824.41440073,2142.11937263,2479.28018948,2707.6631597600003,3006.6018851900003,3252.66609204,3506.7255342099998,3744.38918084,4016.25879653,4191.43621657,4492.43633648,4686.138214199999,4867.09317962,5119.84303682,5253.35809681,5490.8399799,5690.5074230400005,5823.84955083,6050.44969634,6262.628515570001,6350.21221402,6582.493335579999,6646.08139408,6966.10365809,7057.383390280001,7137.66069699,7306.6804151999995,7482.83968715,7618.3409347,7918.30577707,7947.63040217,8100.37592674,8273.83030969,8353.18388396,8639.80963168,8721.3813462,8754.09585909,8971.76975673,9222.90123588,9257.51611351,9511.00524565,9459.41872969,9686.28873276,9828.737204449999,9968.33527301,10077.6331494,10187.76071455,10278.32495572,10415.70543802,10573.55568772,10702.3550959,10873.30264333,10985.197348880001,11152.607534660001,11200.86507124,11421.57600756,11566.24154146,11651.33332847,11675.736731390001,11947.63035023,12011.2781213,12127.86866038,12248.57866238,12390.384013660001,12578.731796299999,12514.31911291,12658.13867391,12862.3470881,12976.21664685,13088.81639017,13194.821269869999,13174.04690979,13484.67456106,13557.45961406,13632.379543539999,13782.88536727,13906.66681056,14060.148668529999,14174.041098889998,14129.45445107,14383.762324129999,14536.9158945,14676.49952593,14648.21209583,14799.70322281,15125.13171205,15036.63463726,15128.69869023,15351.60627968,15426.286088230001,15579.798545200001,15723.28689772,15807.134339920001,15813.50260145,15962.55257667,16214.871922240001,16313.19595885,16374.11013584,16519.20066315,16618.87093356,16783.015788679997,16891.83844486,17071.11281124,17191.538002600002,17243.52352875,17284.728071539997,17434.657748780002,17618.61385398,17770.64673192,17827.26951777,17941.3971876,18048.35456374,18204.94388358,18255.130976520002,18450.32811553,18672.834177850003,18769.77996726,18887.28946049,19005.17184146,19465.13053
1.5,1208.71682457,1539.069062805,1886.088717575,2183.57413364,2506.64546904,2751.6694515249997,3038.2267779900003,3315.27789268,3567.29659049,3813.2061075300003,4079.5619149400004,4246.362276465,4517.957359535,4716.643808145,4968.43834996,5158.778157085,5298.437257685,5527.116173825,5735.52046314,5865.536052345,6131.611315375,6299.46288627,6404.634205560001,6656.288075975,6771.494890885,7012.818356735,7133.528417959999,7249.83416063,7354.92709265,7567.464430135,7663.318528565,7943.752755105001,8031.21340151,8129.522864225,8350.390532245,8438.695974335,8693.630681115,8772.54248206,8901.426314785,9026.32594988,9258.425383735,9307.119836255,9554.551042725001,9641.74479452,9760.96640161,9909.059280630001,10038.64424505,10153.251557985,10211.663202380001,10384.782698770001,10501.100348905,10671.082662955001,10820.821794399999,11015.47686279,11048.254203065,11185.019795965001,11292.60837459,11454.1773685,11628.72465099,11770.917138805,11764.70816328,12040.039952784999,12097.35071683,12166.91558352,12285.282784145,12442.700863965,12632.96876168,12650.7621062,12754.327245535,12923.134349415,13106.897311105,13144.35064383,13338.456471675001,13267.998761789999,13544.98271815,13684.75241459,13719.05504327,13908.087407425,14000.210911565,14184.21996775,14233.14676696,14242.035782395,14488.438322565,14580.858732445,14699.885439155,14790.240883789998,14827.906562695,15168.66014418,15141.36997398,15216.81515008,15446.20960113,15569.78278527,15635.37793434,15824.3919367,15871.816816954999,15897.701461765,16074.624493340001,16262.794578445,16378.798139080001,16466.287396210002,16585.05394146,16685.28080207,16837.2924071,16956.819246855,17090.620783035,17225.01827627,17291.257613010002,17384.954324275,17467.958875099997,17680.101786745,17818.952100855,17873.10084092,17980.676700699998,18096.115864165,18267.804658165,18331.130000735,18514.42432383,18716.356170345,18806.195409664997,18903.060538985,19101.420651235003,19465.13053
2,1213.57367652,1563.26261664,1949.29445794,2218.07517384,2514.17890686,2775.1837830000004,3052.06196838,3342.84153142,3610.16066376,3835.41497072,4113.501682839999,4279.5963734199995,4560.285483199999,4742.66035782,4995.32885178,5180.36906652,5345.59477188,5572.26556674,5799.80312892,5884.82693744,6200.70738806,6350.18747938,6454.2540051,6705.57672352,6833.66732632,7034.12806038,7173.3761802399995,7308.0096558800005,7412.27754446,7579.6091173,7715.496771460001,7965.217669000001,8076.335929700001,8182.597716900001,8396.7785057,8504.058858580001,8757.66660324,8873.235167320001,8944.906034,9114.68236654,9285.33380522,9341.17490454,9589.007970980001,9694.7381133,9808.32807738,9934.946433399999,10059.06857288,10181.7007393,10258.50134814,10430.05247766,10595.70756316,10721.29003982,10844.66281762,11079.54143768,11082.7641641,11279.70683388,11349.06751696,11524.606940720001,11685.76142752,11810.728734060001,11836.94962854,12069.37694976,12148.36122102,12253.60946778,12339.1728046,12534.77876556,12646.571893,12726.0298566,12850.27851462,12981.56570848,13155.7259572,13189.0816342,13377.376105880001,13417.939065319999,13617.33344284,13736.38189626,13793.40257642,13957.26163144,14035.246750780001,14209.53965004,14299.898137580001,14358.4619916,14521.21170762,14616.617718279998,14776.1726915,14849.42557092,14877.72322014,15195.739351279999,15220.102665280001,15306.33609196,15461.83332184,15602.20376502,15689.648813040001,15854.80788666,15913.47895976,16012.57555976,16108.27613332,16306.375544999999,16411.39859432,16486.60298774,16645.113448239998,16724.849506079998,16884.20936548,16977.1050699,17149.1720939,17239.8227908,17314.643956239997,17405.03624224,17523.84721642,17732.82698752,17876.12146206,17930.297023799998,18056.12199896,18140.6642301,18346.49152214,18393.98319876,18529.87443608,18734.94016346,18842.0343181,18932.32850974,19140.86514558,19465.13053
2.5,1217.043443125,1578.603644375,1960.382331175,2244.583984675,2535.959660325,2811.348183425,3093.5990901,3394.009258375,3635.098639575,3873.260970875,4135.239581625,4311.2268877,4579.7211947,4786.03654295,5019.275627825,5204.50282,5381.90431795,5602.44499455,5831.05644865,5940.104268024999,6217.2684802,6371.649600725,6485.593661125,6736.49675595,6857.036196675,7061.210685399999,7213.2569445,7315.83406075,7431.7325847,7607.498452275,7781.633446575001,8004.76890535,8106.5907367,8223.8931085,8440.959877674999,8535.86316105,8778.750208375,8903.113893425,9029.2692128,9178.627019450001,9311.81111585,9366.0738725,9618.9991087,9751.692542175,9852.334202375,9970.889306475001,10118.119747924999,10232.504750150001,10300.344355975,10489.380656325,10619.12400405,10765.805424925,10879.4833398,11124.989405549999,11159.966910375,11335.419922575,11389.567388649999,11595.638679775,11722.0579842,11841.647034125,11927.925932975,12157.064913025,12178.723023425,12296.249562575,12405.278846149999,12582.404730975,12690.12365545,12804.475013875,12902.395536625,13034.597339725,13198.260961,13221.875034875,13434.051259650001,13481.1104064,13643.5807504,13774.739834275,13889.9421231,13999.896302475001,14102.65437335,14301.3751891,14339.417492300001,14416.3344036,14572.673314125,14650.622885424998,14818.46692145,14896.702981575,14945.397161975,15228.742012800001,15286.568995,15350.811125249998,15539.0543474,15663.796028875,15769.48097115,15889.4730502,15976.547266675,16090.704911625,16176.665663525,16340.64856015,16504.817144999997,16562.1907613,16667.057864725,16752.2341709,16908.2065543,17003.630544925,17168.320717525003,17295.077253774998,17355.334786925003,17445.6256212,17557.801169975002,17747.856718224997,17907.572493925,17977.896037375,18078.942081,18172.14280535,18374.28690185,18429.197768875,18561.289868725,18750.110114175,18857.6783174,18950.537928150003,19153.71723645,19465.13053
5,1264.2474749500002,1649.6820599,2024.5693852,2334.204349,2621.53843115,2889.9515181,3213.14217165,3484.9541536,3744.51763465,4001.09345335,4224.4874955,4487.0658645,4678.32825,4900.39564925,5138.32933695,5338.7731266,5516.2803359,5719.1166906,5937.9576443,6115.7573078,6342.7806203,6482.07528055,6628.2394597,6833.33162715,6970.72793585,7146.4544625,7370.9635023499995,7459.29149385,7602.67923845,7806.2801553,7949.9753256,8138.1569213,8218.43755345,8355.4432127,8552.50874075,8674.7351121,8888.0491318,9036.3602733,9171.6107012,9339.73161955,9449.7968396,9538.6878375,9746.7196021,9917.0705931,9983.210531449999,10095.621281450001,10298.31920165,10388.99090955,10474.3663454,10684.330338450001,10781.9597627,10929.09360425,11125.0725546,11281.178496499999,11351.62853045,11494.3097316,11584.702228850001,11748.90435805,11850.420763150001,12005.7257996,12112.0037213,12325.402968,12326.343581000001,12489.363866200001,12594.279142450001,12736.70650505,12878.91412645,12978.0089112,13013.55183195,13191.1179348,13334.328432100001,13367.2420902,13573.52745225,13627.2485623,13784.071581600001,13917.6112982,14039.83543385,14163.864395800001,14303.4566543,14448.38913095,14519.5199198,14646.1311429,14757.4918507,14833.835765150001,14965.26459625,15022.45960735,15137.9426862,15333.62694665,15379.2248019,15541.43825485,15679.158934,15805.63709865,15903.502248499999,16008.366271249999,16085.85820885,16242.745339649999,16322.750508,16458.8465253,16639.90214035,16705.73828325,16795.41030455,16884.768044250002,17048.74750185,17168.86196795,17280.4145935,17419.78803815,17458.31441845,17565.7253311,17666.94832205,17849.54097505,17992.7273704,18048.990198900003,18171.50107455,18304.1859085,18432.1796747,18530.2236491,18661.02532325,18819.49666515,18912.43150355,19067.932673000003,19236.79077815,19465.13053
10,1329.9549504,1734.9121665,2140.5870434999997,2441.7839265,2753.3713196,3014.3138525,3321.5778201000003,3627.9143706,3863.7487331,4122.4590402,4367.345922099999,4607.927591,4835.6289776,5033.9350918,5272.3174036,5506.2320578,5668.5248877,5869.4763387,6096.8541374,6270.4715805,6482.2786765,6633.7550203,6774.2020863,6981.3520998,7181.1204369,7284.1276967,7520.9484042,7615.7231176,7771.7575915,7989.6977766,8105.4061835,8299.6732663,8443.0761668,8551.1972578,8750.553800700001,8917.264626799999,9065.7041507,9200.8829479,9346.1643067,9498.0747419,9612.895771,9738.3990937,9925.566793,10107.1543971,10165.946087999999,10290.9573956,10448.826733900001,10593.2701823,10681.965333,10863.560907000001,10989.8390715,11132.7762206,11273.7999074,11463.1819416,11544.2626277,11693.838862999999,11808.717628600001,11918.3670735,12037.351618,12157.3553713,12289.384370900001,12455.3792925,12533.5791971,12674.406865800001,12782.4093694,12914.7228767,13038.5938094,13165.6801178,13222.0717735,13346.8885049,13489.453977000001,13569.9473684,13716.0973589,13874.4167782,13970.7484832,14074.0739171,14192.0399396,14346.7290909,14460.1239436,14617.8106292,14644.4198317,14770.267697199999,14955.790412499999,15033.8742258,15139.7803563,15241.423278799999,15319.293743,15526.210722400001,15552.9881549,15729.987613899999,15849.3076132,15974.9651507,16098.107674,16183.4261816,16250.1507427,16371.8968369,16503.324985400002,16612.4486944,16762.100433800002,16849.7058613,16936.5431426,17067.138548299998,17193.4928533,17304.819120099997,17419.724520900003,17528.9671063,17612.570655800002,17728.079726,17808.31714,17947.4490696,18116.8141776,18180.455427300003,18284.1814792,18400.640063000003,18535.1158855,18659.723051,18760.0223657,18912.8912812,19021.5106868,19140.6599271,19289.907188600002,19465.13053
25,1446.0030227500001,1877.64603225,2281.9547595,2627.8115145,2954.01242025,3254.16092725,3542.65909225,3828.7323855,4107.194008500001,4342.2294947499995,4583.7987135,4880.44077125,5081.70903125,5288.2912655,5544.18028775,5719.285359,5907.75973325,6154.094366,6392.2061155,6526.374408,6730.72825075,6896.206387,7081.68677175,7253.17356525,7435.540273750001,7613.05994125,7801.96182025,7932.91105175,8075.5248935,8265.816302,8421.546210249999,8640.70615975,8772.4006065,8886.11114725,9088.10295075,9212.3515725,9390.7264345,9531.55859125,9679.279526,9790.21650325,9973.42816,10090.713866,10240.62894925,10403.61479625,10495.67754975,10605.113715,10798.629904000001,10915.520816749999,11000.78531475,11203.9791975,11316.5769805,11448.914785250001,11556.500340749999,11728.09678475,11844.461593,11997.57374775,12106.564665999998,12220.236733,12379.019273,12476.1573985,12618.446369,12754.11442175,12836.7846315,12991.20561,13104.851462749999,13221.827681499999,13348.05409625,13487.94404575,13549.4625135,13689.76338225,13797.30155725,13924.29951275,14034.819695,14179.77291725,14287.955451,14366.84248475,14509.239180999999,14636.999292,14738.250684999999,14868.0714235,14975.065258,15079.03535,15210.36530525,15307.97485775,15429.621938,15529.1742405,15634.254982999999,15808.8936825,15857.8526765,15977.6467185,16069.743591,16228.45050525,16325.14422225,16398.931667,16524.67703775,16628.1160225,16764.82247,16853.09468825,16978.726275999998,17071.81504425,17172.097934999998,17296.252458,17391.6213125,17531.063956500002,17629.50392625,17741.81848,17821.0114535,17925.049985,18050.390895999997,18155.53508175,18267.29749125,18356.211820750003,18456.14438025,18588.4785075,18685.03595,18797.010972,18894.62970525,19021.68027125,19122.79328,19233.36600875,19341.76808025,19465.13053
75,1741.4624595,2265.12731725,2689.2246772500002,3098.48073125,3410.8528367500003,3787.5428275,4105.994841,4354.01805825,4672.09245575,4912.87959,5176.15739125,5483.069093,5693.661042,5920.043485499999,6160.25585075,6384.91981925,6571.263559999999,6778.7010715,7034.87353,7212.816222,7390.088566,7543.9221825,7738.6380745,7946.911449,8130.542651,8264.77501775,8474.595021750001,8617.809899,8802.82931925,9004.717929,9110.7189125,9320.422455,9442.317547249999,9621.93312175,9758.94812725,9900.2534985,10053.92084725,10218.000061249999,10352.161513000001,10498.406442,10665.13909175,10749.02460575,10907.1476615,11060.324258249999,11207.107726499999,11346.64162225,11486.625646,11603.826599,11723.19665475,11863.28928,12001.179858,12155.2878675,12253.110767,12413.085073999999,12499.684209500001,12662.284777500001,12783.848643500001,12871.7558215,13031.28424625,13114.56245075,13280.21141475,13379.7862815,13500.204962,13639.3222895,13753.237600249999,13825.05617575,13965.32415,14111.55755275,14197.38766525,14331.711648249999,14445.424854500001,14517.651266,14665.97751575,14777.07553525,14872.9621145,14987.231925,15108.421762999998,15221.83921325,15302.69895375,15457.75389425,15546.179172749999,15639.028040000001,15764.369122749998,15883.435092,15968.98626575,16093.60338475,16170.573981,16303.7353525,16394.1200995,16511.5906395,16568.508437,16695.91559225,16813.850703999997,16892.3951565,17006.745035250002,17122.247974500002,17230.70907525,17313.526339,17425.117906249998,17511.48511825,17608.5356575,17706.43432675,17802.53925875,17914.8968865,18000.787922,18098.6099875,18178.276051,18299.1512405,18383.9144675,18464.01142725,18552.081174,18642.0963295,18741.26973575,18827.750221249997,18929.02761375,19003.102331000002,19090.8990255,19180.81910425,19256.04487325,19339.335843,19411.32855975,19465.13053
90,1919.284766,2446.7787934,2897.4519960000002,3337.246455,3636.1118347,4059.1705077,4374.2683992,4611.6750687,4963.925436699999,5217.2333211000005,5474.5346321,5767.9180439,6005.400164000001,6180.4815514,6429.1527612,6672.233075800001,6833.1249548,7088.7517396,7303.478048,7540.7936322,7686.5251907,7822.3881099,8026.773745500001,8205.6188164,8436.296881900002,8564.8227821,8755.1256865,8930.498410299999,9094.1220459,9283.4014776,9425.0761863,9592.254599,9716.482076,9937.754213,10077.4718334,10210.4094054,10363.3992788,10473.513492799999,10623.399521199999,10802.9166066,10990.692136900001,11086.8383853,11180.5659581,11381.804484299999,11507.0950822,11579.526257099998,11761.8656692,11861.7986317,11998.039162,12150.1341362,12307.206014300002,12454.8051247,12519.867075600001,12729.718260200001,12780.2241338,12914.2557074,13068.6551162,13121.4117718,13330.7553155,13359.4849624,13550.2527679,13627.4914536,13752.551018900002,13894.0285475,14038.5277785,14091.368218,14222.262883200001,14379.8139508,14443.361480399999,14585.3775125,14706.155917799999,14763.5280242,14917.0168285,15025.5021748,15127.909756000001,15234.7613399,15342.6364692,15454.6084672,15531.6629934,15671.1430726,15771.4343814,15826.2299754,15973.6859104,16095.9576757,16196.0318219,16305.2545138,16357.5780327,16478.5245774,16598.601912500002,16725.148707400003,16794.6322873,16882.9224082,17014.392315999998,17086.1918295,17215.2200177,17295.133440499998,17367.3925616,17484.757966600002,17599.7266968,17675.3157918,17773.7750784,17863.4924851,17957.6070411,18045.8334196,18120.7805622,18231.3428781,18292.2442848,18407.5236248,18487.904178099998,18578.114299,18655.601489,18743.5237271,18833.2262081,18911.4282753,19005.7615778,19076.074262100003,19154.6744966,19228.1270922,19298.3166199,19370.7302206,19426.626564500002,19465.13053
