,pd10,pd15,pd20,pd25,pd30,pd35,pd40,pd45,pd50,pd55,pd60,pd65,pd70,pd75,pd80,pd85,pd90,pd95,pd100,pd105,pd110,pd115,pd120,pd125,pd130,pd135,pd140,pd145,pd150,pd155,pd160,pd165,pd170,pd175,pd180,pd185,pd190,pd195,pd200,pd205,pd210,pd215,pd220,pd225,pd230,pd235,pd240,pd245,pd250,pd255,pd260,pd265,pd270,pd275,pd280,pd285,pd290,pd295,pd300,pd305,pd310,pd315,pd320,pd325,pd330,pd335,pd340,pd345,pd350,pd355,pd360,pd365,pd370,pd375,pd380,pd385,pd390,pd395,pd400,pd405,pd410,pd415,pd420,pd425,pd430,pd435,pd440,pd445,pd450,pd455,pd460,pd465,pd470,pd475,pd480,pd485,pd490,pd495,pd500,pd505,pd510,pd515,pd520,pd525,pd530,pd535,pd540,pd545,pd550,pd555,pd560,pd565,pd570,pd575,pd580
0.5,1139.621281625,1503.3979379950001,1812.5328851,2056.6318933350003,2366.4456844049996,2677.647631805,2889.75316561,3171.57000211,3430.066154795,3704.7857817000004,3916.678849725,4108.5794655049995,4335.60490979,4564.145091105001,4701.915645135,4930.45546471,5145.674104505,5397.397931515,5561.879031135,5751.7289852,5913.94011333,6142.027105800001,6329.049607385,6529.008438045,6635.154878455,6796.74300173,6921.274393065,7057.92373822,7287.721062,7462.854753209999,7464.752505505,7800.85581155,7960.39322647,8062.926999545,8241.04983593,8424.591608605,8511.338394555001,8658.43980443,8858.991866474998,8759.0210504,8995.6935286,9329.73078565,9245.304359055,9437.558240155,9531.39103079,9667.81595988,9952.83215279,10007.270029305,10135.04033375,10306.271715275,10313.64150629,10533.395976095,10764.376903045,10842.406994269999,10843.165073905,11050.475057275,11282.472134985,11142.418887644999,11509.88823718,11522.92210699,11789.205322875,11998.90872981,11986.043088715,12134.13950746,12202.36297066,12311.929954055,12553.102394059999,12801.808368080001,12679.676490055,12871.644801025,12960.376887875,13145.14923161,13223.256120775,13370.98934365,13461.61013146,13563.979165435,13753.55883297,13826.06583127,13929.814696575,14097.183064544999,14253.179695785,14281.51184069,14548.232033260001,14638.886013105,14713.290472125,14877.18986763,14822.979293735,15222.697398625,15239.841728625,15387.64903446,15511.60542181,15661.24787101,15691.65263768,15856.189139535,16017.615619245002,16132.10432848,16257.444546679999,16357.069787980001,16504.50302269,16722.56941424,16731.753356775,16753.03043137,16960.111583635,17182.122781975,17202.52322848,17382.552928535002,17536.05738601,17689.495717295,17725.35116257,17842.7649433,17970.88826641,18129.148550179998,18340.08823601,18485.78903808,18983.775211
1,1179.9854284199998,1541.8863039,1858.7212117400002,2117.38087104,2414.2902236,2756.27466549,2989.42755489,3229.89933814,3494.38013151,3741.86664118,3950.14002236,4177.735105440001,4451.64762401,4682.20716171,4829.542192139999,5037.3913422900005,5226.01666611,5464.035410840001,5633.173961289999,5825.5422104399995,6000.523068760001,6251.22532571,6407.14059565,6601.6819019,6717.94096999,6879.16481672,6997.06004689,7205.56751686,7345.75817998,7563.79422291,7587.08606131,7835.69078105,8018.68514699,8163.86417046,8334.424660269999,8540.489856029999,8613.95483109,8770.68383215,8908.35645528,8929.36770075,9089.35201562,9374.6860187,9290.89527282,9543.5218625,9666.83230069,9842.47090774,10015.03720885,10072.403731749999,10277.539299279999,10406.04250649,10526.63398782,10647.84177015,10808.10701661,10960.49749063,10920.993852520001,11236.003619590001,11347.24044914,11390.88066676,11571.52170689,11599.85653811,11856.21255093,12075.9438763,12121.606785279999,12238.374585130001,12348.77432682,12416.89460265,12660.02837957,12889.870350309999,12914.55931267,12986.27986385,13145.90816158,13288.31591082,13341.86813039,13518.46339395,13514.718995430001,13685.10592229,13834.489920170001,13990.277047149999,14098.30975851,14198.42547455,14362.000131519999,14500.44801834,14636.89019816,14748.23083755,14818.7155864,15042.93330259,14977.75307727,15276.00870006,15372.72071199,15514.1177519,15628.80855141,15756.02808182,15825.53482406,15920.83929373,16104.610282320002,16207.546501840001,16339.61738331,16462.41677112,16579.856132980003,16777.30320251,16799.78866275,16865.27336214,17081.3776712,17233.20579273,17315.26856538,17471.779278079997,17580.65212222,17744.98375822,17816.878526329998,17957.1125071,18090.23276238,18223.46487619,18398.2405611,18575.448192379998,18983.775211
1.5,1200.5388775299998,1564.66123745,1880.571585835,2161.081316605,2465.767300995,2787.809799775,3034.3384948,3293.3804991449997,3568.68783514,3778.283492035,3991.484293765,4193.495303445,4528.00545704,4769.654504095,4877.39393199,5079.2448374,5318.785800095,5540.793098,5716.700074155,5869.878524545,6054.960838655,6301.501332424999,6509.122583635,6636.469825815,6785.490140565,6913.43620425,7056.8658407600005,7239.779362905,7369.28258545,7649.317292,7656.440930395,7868.64664339,8048.29244422,8273.926976805,8369.7332798,8598.707239354999,8661.679981825,8797.99431393,8954.372869764999,9003.77630965,9136.733899985,9424.035786335,9359.280263405,9574.13803199,9777.674989995001,9889.291765315,10059.81524189,10164.536794259999,10334.870374929998,10435.907638775001,10566.79238191,10682.32506739,10856.831536185,11055.80774176,10958.16968999,11309.147139125,11374.266401285,11496.0035336,11642.289209800001,11718.30136339,11927.564877955,12135.635237995,12233.923747725,12327.059505375,12431.533128735,12499.5212475,12790.61642679,12929.28860095,12971.68265439,13071.649770475,13227.227566255,13333.875938500001,13434.119698475,13601.519799235,13587.140917789999,13759.191338390001,13934.30324416,14095.920725435,14183.270313764999,14302.615028425,14428.65151392,14584.038030220001,14694.46319377,14799.232508065,14887.854877665,15147.375851275,15039.302269435,15331.055207555,15412.07946525,15566.636408535,15700.66189887,15793.290631605,15867.439119115,15969.246633655,16173.760112115,16274.010078215,16360.102481015,16502.01218777,16618.035248135,16815.485005295002,16894.951475005,16938.940330794998,17137.581452165,17281.65391379,17415.711710665,17517.83438329,17614.017091375,17766.16090566,17858.551552085,17979.7285872,18136.903967064998,18279.12387115,18468.384789395,18664.578521305,18983.775211
2,1223.62439472,1585.84001964,1907.78104782,2186.86965134,2490.4357912399996,2812.92683138,3060.5048226599997,3319.40656104,3609.67865428,3825.16632694,4049.57362688,4227.9983494,4543.77343192,4810.0371347,4962.619773820001,5114.66765324,5345.431343419999,5604.8052883,5759.82712138,5910.399683600001,6100.8802694,6317.00822296,6525.0464704999995,6657.0115541,6845.67710862,6961.7634634999995,7081.04064562,7287.98304106,7420.10052246,7685.362311440001,7754.12661532,7902.71514526,8105.72749684,8296.8180868,8400.567933859998,8611.48176408,8691.480347480001,8828.083171580001,9021.4481996,9052.22562374,9200.7254264,9498.1989146,9394.93082636,9613.22920624,9837.38196414,9972.78742798,10095.435049919999,10227.35876922,10386.12400548,10502.630446500001,10602.68576536,10759.38464984,10897.93611798,11125.56482552,11078.26044238,11368.56334518,11440.5581332,11614.08511406,11712.24507682,11875.945101399999,12001.351781719999,12164.49045248,12303.30762032,12379.019429439999,12518.05216664,12565.47692994,12829.80648684,12989.05055726,13004.092539899999,13178.50213466,13287.11286514,13387.37669506,13522.0867667,13693.157517959999,13647.14116196,13818.16000546,13986.79193984,14175.33892026,14292.26997932,14388.10149506,14503.4899496,14651.75841584,14747.36029248,14843.829411,14942.13337216,15170.309193860001,15079.08032736,15387.91814734,15464.72259558,15615.42095486,15725.849993000002,15832.09039986,15928.74103672,16000.22998442,16209.5604832,16303.74181384,16421.964679419998,16556.38794384,16659.09074236,16840.2682325,16960.320826119998,16985.61006884,17153.64356292,17308.02849062,17437.09818224,17559.42562954,17653.07745118,17792.09297706,17907.36795604,17999.60753586,18195.63825232,18293.56289226,18502.3007602,18668.82326746,18983.775211
2.5,1238.34720145,1601.7337759,1920.9575492499998,2209.3960288000003,2535.8288991,2830.71607075,3102.3287707,3341.1019880999997,3625.19962025,3864.5610157,4103.818208275,4243.8937445,4583.17880725,4838.720637175,4995.581948374999,5172.894611075,5410.942589025,5629.0973759,5774.17452555,5978.836188475,6136.8928287,6372.041473775,6576.80155475,6670.69745595,6896.27932885,6996.787314599999,7129.55584875,7335.2077663499995,7481.393450099999,7729.148127375,7784.609695375,7942.398571125,8123.002766625,8345.528374175,8442.0075877,8629.612988225,8746.22533605,8869.80238925,9049.8743379,9072.71616385,9249.883816075,9534.49590995,9517.979862799999,9637.100187349999,9911.822681149999,10038.07078745,10130.2144633,10276.695908400001,10428.119465925,10592.001143475,10677.334572200001,10791.430968775,10928.638530024999,11166.974093125,11113.851076425,11390.30746345,11486.611483075,11658.2194941,11767.838980225,11905.2013734,12050.17695495,12199.0748249,12369.630421999998,12445.44207415,12564.9179047,12606.6439392,12886.310814625,13032.511866225,13032.688729725001,13232.187430775,13342.678721549999,13406.23188815,13576.5751915,13752.488863049999,13660.426080575,13879.684612250001,14020.31034225,14256.0155765,14343.93254865,14427.9053207,14526.671361699999,14694.820949800001,14769.28280035,14906.5635693,14971.150895924999,15194.425567475,15159.78749695,15414.99057915,15503.776199775,15659.520931199999,15778.635217000001,15872.005771025,15949.99009045,16033.421063374999,16239.39285385,16342.618953325,16474.4774148,16589.90416475,16707.081910999997,16863.3879394,16981.11583255,17041.89586795,17184.507021475,17326.309736725,17472.203942725,17575.28754995,17680.5257881,17847.4969752,17951.306831825,18027.46996825,18221.4614451,18322.1217895,18525.18635445,18693.231435550002,18983.775211
5,1282.18730565,1648.50205155,1988.03099995,2287.48686315,2641.64533425,2920.5084782999998,3206.8383442,3467.52173675,3733.61335545,3994.13522625,4242.946167200001,4434.923263850001,4712.12959385,4934.54380695,5091.53127495,5327.1270909,5521.610657499999,5765.5125493000005,5918.4434039,6100.6323313,6286.66267545,6473.65203195,6703.5640657,6814.9491264,6981.42421,7156.877080349999,7268.52591945,7467.54681585,7619.435846349999,7855.1256854,7907.02196415,8085.824069599999,8291.236199550001,8426.6893169,8606.90770105,8727.2548423,8870.18158135,9043.1362756,9184.66027245,9282.8939211,9434.7646339,9667.90927335,9752.03054715,9824.66682315,10018.3324814,10155.6567616,10267.7177624,10394.8044471,10621.785063500001,10780.45002185,10827.475849,10946.6071615,11145.764043,11259.4217344,11315.90963255,11557.61996835,11675.2243829,11845.2807738,11947.8908132,12097.010062500001,12234.95599695,12335.18297665,12492.6179918,12620.90655365,12739.5985609,12845.85506105,13006.947821400001,13149.3917071,13194.0774115,13381.913630949999,13464.6097678,13582.0613805,13731.05449815,13874.8334101,13946.9891919,14116.1187132,14196.393766149999,14365.54312455,14479.2845102,14599.9272711,14682.950221750001,14785.944658800001,14948.21389255,15057.4087957,15134.4083227,15325.4481246,15365.7620764,15546.1302733,15662.44608785,15786.603797200001,15908.20857995,15960.98467205,16103.580394,16192.34960435,16345.34929425,16466.55340005,16598.62890135,16729.2954549,16816.144319299998,16933.688991,17070.13056775,17142.190909,17302.071736150003,17460.2583124,17570.702939900002,17671.93775615,17780.24035955,17927.340537,18033.7602002,18122.44920335,18293.48845385,18439.78097255,18589.6190868,18748.541834400003,18983.775211
10,1333.6905835999999,1731.4802798,2078.3227685,2395.4897443,2769.252841,3049.9266728,3364.9943863999997,3614.1825648,3852.1970161,4160.0147773,4380.22997,4621.6912097,4835.2838793,5055.2011238000005,5225.0099008,5458.7298599,5679.3124035,5886.4712857,6059.7939019000005,6266.7655376,6434.0359971,6638.7253703,6836.777096899999,6973.491299,7148.591620300001,7303.5500713,7481.9285705,7589.9892915,7766.7095622,8056.4745431,8070.8255953,8255.9270597,8497.6650037,8599.8641517,8778.8472434,8935.668464499999,9067.1408846,9232.4698507,9355.5877766,9493.8393814,9635.4610027,9844.3488254,9971.8494331,10039.9875352,10193.3655363,10348.2686428,10490.2014944,10636.584186400001,10821.691323199999,10960.400066799999,11019.0666117,11186.0642798,11365.010457999999,11476.5703929,11566.6351077,11713.2264183,11884.2460635,12019.7093746,12137.4551168,12303.1822068,12419.743573400001,12522.6179599,12675.9064112,12794.6703935,12938.498701800001,13041.811082400001,13164.7677383,13322.3037732,13383.5622158,13530.2288705,13632.419422699999,13785.7676782,13910.353600800001,14039.6308123,14137.6886074,14272.7121604,14380.653591799999,14541.093883,14672.440274999999,14750.5226768,14859.4194645,14979.5087594,15097.4372502,15204.819051,15299.7676072,15498.0533101,15523.7609606,15688.5201511,15807.9867693,15935.6163313,16064.676184799999,16112.9046462,16288.8340077,16364.15377,16492.029538299998,16610.709896099997,16718.3091177,16875.7384373,16953.871539400003,17058.7310988,17168.9706519,17278.351395899997,17431.283694600002,17569.2936023,17691.4988965,17794.4225474,17897.0245665,18037.9463485,18153.531518599997,18240.925356800002,18396.8932876,18528.985904399997,18664.5561451,18807.2366841,18983.775211
25,1449.88427075,1882.7845307500002,2235.1722245,2601.7432815,2971.9294165,3271.4166517500003,3572.67598275,3841.25995725,4093.13465725,4392.0994285,4609.8180250000005,4856.389908,5077.0651312499995,5299.753053,5516.6523852499995,5713.51437575,5932.94415125,6148.59559275,6332.4249785,6550.0951565000005,6716.36113175,6902.375581,7078.88562,7282.641652249999,7444.530536,7584.41482525,7789.156167499999,7902.2165454999995,8113.13879275,8347.63074525,8405.67731525,8604.70431925,8768.166289249999,8936.1755945,9111.853648,9241.50642,9378.8524645,9552.390083499999,9683.021909,9857.786256750001,9971.5935835,10151.8493535,10299.834370249999,10371.03430825,10553.61694825,10692.41462075,10829.61583275,10938.275087,11141.967674250001,11290.0002955,11338.08875825,11499.57121525,11685.10834775,11779.923234,11940.48234025,12055.407122749999,12237.54433925,12332.396223,12440.3699095,12580.188133250002,12730.850043999999,12839.28589675,12985.831867,13091.19328125,13211.0169905,13353.005455,13458.261217,13590.8931835,13705.96755525,13808.948117,13967.44389425,14115.20929675,14195.98828325,14311.755162000001,14435.56728875,14559.96381275,14664.259345999999,14834.75833975,14912.39192975,15019.09137475,15126.3274745,15261.9156845,15349.296897,15519.994072,15596.6766365,15727.438372,15830.1329195,15925.10045975,16053.491207000001,16179.13646575,16272.392486,16392.5526555,16509.4837395,16615.36306375,16730.56982575,16864.914298,16945.724483749997,17079.329864749998,17180.56498525,17274.19637725,17381.2592235,17486.02035025,17620.943997000002,17757.68398375,17849.0437305,17960.82783725,18069.889687,18186.942584750002,18301.21269,18392.139722,18522.197668499997,18637.6213815,18741.9323915,18863.10319875,18983.775211
75,1751.58277225,2250.3169102499996,2681.8711142499997,3059.53333475,3420.738064,3777.568572,4091.94402025,4372.77199425,4659.34900075,4991.21734325,5208.805087000001,5444.01560675,5703.72549175,5932.880409750001,6184.89570125,6372.6741839999995,6605.35090175,6820.49337075,6977.7683675,7215.086664500001,7413.0651720000005,7579.1247535,7744.76527,7949.10378175,8122.65117825,8259.88199925,8475.064552,8594.085607250001,8783.17492325,9039.0674525,9164.42657875,9287.33015175,9484.44964375,9660.4542,9793.488110999999,9989.155481,10081.42661925,10216.55148725,10354.127918,10534.706715249999,10699.30199525,10840.288195500001,10968.2897485,11080.563198749998,11230.390421,11350.743907,11497.11337725,11671.867947249999,11840.63059225,11952.503775,12060.630285750001,12212.104529749999,12352.37578325,12439.74151725,12562.268488,12701.774090500001,12851.307715,12980.73156025,13114.499648,13247.154287000001,13371.187012,13473.61536225,13599.602495500001,13705.21747425,13853.045010000002,13974.7693965,14073.05940675,14215.31790975,14324.48577375,14430.770064,14555.64056125,14664.12715225,14792.7829105,14886.8431885,15027.68587425,15120.44174575,15218.7605685,15383.222034,15467.18482925,15560.154638,15704.47948975,15811.325647500002,15919.4639785,16038.509683749999,16124.58778675,16224.6502965,16326.8478065,16435.8163835,16555.75661175,16630.30895875,16745.294943,16840.063251,16943.36692625,17056.74274975,17160.14986225,17272.5740875,17363.3107635,17449.58831525,17559.1803235,17641.43371125,17747.993513,17857.09400225,17948.322247,18044.180035,18132.9685775,18227.79047375,18326.196673000002,18421.882396250003,18521.678582,18606.76826875,18682.36054125,18763.8971505,18846.86564525,18928.619275499997,18983.775211
90,1923.4058269,2432.536488,2881.6359009,3283.5434976,3663.3718032,4029.8371697,4328.2803537,4627.497127199999,4962.208959199999,5255.8559617,5505.068827800001,5716.1852027,5977.4168108,6256.4338673,6477.5407581,6659.3441152,6877.2153237,7140.1871616,7274.654232,7490.6885986,7710.3005151,7879.9436724,8053.6466209,8266.5155144,8403.9383872,8573.554914,8795.816207200001,8906.584233399999,9083.066479699999,9301.8801986,9486.9819787,9606.571925299999,9832.6466616,9937.220082099999,10123.0932467,10266.5328399,10358.166065,10527.6227994,10652.3280441,10847.643913,10993.8697482,11118.1927147,11259.5694666,11380.2479209,11543.9168117,11624.266025300001,11805.4836985,11951.0636688,12120.3003197,12229.6226642,12320.185042399999,12482.4307217,12622.269686000001,12698.627280800001,12888.1026385,12925.0855481,13180.4698726,13277.744526,13383.90028,13517.556102100001,13617.0884378,13695.7469226,13857.1115211,13974.566717200001,14130.4215583,14223.7807212,14328.7930813,14451.9095021,14579.345464900001,14667.2508005,14805.084927599999,14911.9777165,14997.846503600002,15107.7195247,15267.3748374,15358.1497152,15469.9096213,15599.8787033,15657.9526341,15795.909219500001,15889.765061600001,16019.6432765,16107.3476584,16223.4459166,16317.7563601,16395.2409279,16501.940230300002,16599.4478162,16711.1135278,16813.1749972,16918.258305900003,16996.451379100003,17110.9268366,17208.446954799998,17299.9030509,17435.5348654,17513.9962768,17579.1896649,17689.751131899997,17784.6266019,17883.1038962,17977.623359200003,18071.941883900003,18161.4830489,18227.081943,18310.049503500002,18414.799082600002,18502.4023022,18586.0300948,18662.1945882,18737.0367195,18810.4695229,18879.8119479,18946.4023946,18983.775211
