,mpd10,mpd15,mpd20,mpd25,mpd30,mpd35,mpd40,mpd45,mpd50,mpd55,mpd60,mpd65,mpd70,mpd75,mpd80,mpd85,mpd90,mpd95,mpd100,mpd105,mpd110,mpd115,mpd120,mpd125,mpd130,mpd135,mpd140,mpd145,mpd150,mpd155,mpd160,mpd165,mpd170,mpd175,mpd180,mpd185,mpd190,mpd195,mpd200,mpd205,mpd210,mpd215,mpd220,mpd225,mpd230,mpd235,mpd240,mpd245,mpd250,mpd255,mpd260,mpd265,mpd270,mpd275,mpd280,mpd285,mpd290,mpd295,mpd300,mpd305,mpd310,mpd315,mpd320,mpd325,mpd330,mpd335,mpd340,mpd345,mpd350,mpd355,mpd360,mpd365,mpd370,mpd375,mpd380,mpd385,mpd390,mpd395,mpd400,mpd405,mpd410,mpd415,mpd420,mpd425,mpd430,mpd435,mpd440,mpd445,mpd450,mpd455,mpd460,mpd465,mpd470,mpd475,mpd480,mpd485,mpd490,mpd495,mpd500,mpd505,mpd510,mpd515,mpd520,mpd525,mpd530,mpd535,mpd540,mpd545,mpd550,mpd555,mpd560,mpd565,mpd570,mpd575,mpd580,mpd585,mpd590,mpd595,mpd600,mpd605,mpd610,mpd615,mpd620,mpd625
0.5,207.48920557555522,219.6017523128568,227.53237296999984,231.85757031996633,231.90997881679283,239.7470466490081,243.01596484357103,246.03382530316148,249.9266921942446,257.20467870265344,260.2410176095707,260.1549715850479,261.57338188389053,264.5629239826455,260.55292863790555,268.80908893217605,270.51650231727837,267.90473034916477,273.80727799665544,278.2438205911762,277.1601017357948,275.31050876109964,279.3755071057048,281.6999452754397,279.3271830075568,283.093933953431,278.1852412315875,283.97101808819286,280.7150692754162,283.3284197875497,284.80253951788995,280.2578383311796,283.52711335253855,288.5614769308273,284.6014079839662,285.9691632844414,286.0422647531893,287.69006346596876,288.9046502655481,290.5044619981507,290.29065167566574,290.0599325887208,290.96369577265256,291.2751146120748,291.7270442837442,291.6843634021723,294.89055072764495,294.5386459048555,296.8792525849161,294.6660421845022,294.39024208681286,294.28799366415365,295.3026930458764,296.52510505048406,297.2192940272203,295.3611416909291,294.0384157154129,297.20063279378513,296.7772999754884,295.5769794268413,298.26810651143364,295.9746368938371,298.73387993012426,298.83728487291756,298.7043565250769,300.3705820677339,301.0671674104216,300.41439499723407,301.98490406465964,302.8318529705317,301.3328986823417,301.11365383749046,302.2646688570367,300.694348171711,304.6868615918484,304.2886703653725,303.0294144820218,304.3515582884692,303.3722989192069,302.7174580863801,304.9837135329308,304.6998836366798,305.67896328256285,305.93669463892473,305.66379752721036,304.9798656223228,306.6192620506356,305.9959797952884,307.40328996818226,305.3872380293724,306.2925812126282,306.9272805402354,308.8115599111586,306.9606916049234,307.12996941046885,308.4780861101914,308.9088329025542,307.2573456553278,310.06947301831485,309.2598145273711,309.7990215711088,309.1244540305836,309.91308093404206,310.75487154353294,312.0962921952738,310.9842701845486,310.75136799623385,312.9487678133942,312.47158625336925,313.4829669435638,312.6491275883237,312.3956196773658,313.97732932920496,313.78969719138007,315.0641782422828,313.95879771277987,314.5466342782191,315.26632858176214,315.82905871473446,315.96217621861905,316.4847285743197,317.97462592889343,318.2616231200792,319.3959710221926
1,210.81888396133334,223.24223984780963,235.47114059147327,237.27714989913335,237.57510348620715,242.9027637243695,247.25463823901325,254.86357799371717,254.60454694506095,260.8428408905592,263.0341035599717,263.62893984659655,266.4892354681452,269.8167919531098,271.293605005614,271.8321641526887,277.7355398188718,273.8298535899886,276.33851359354736,280.7057057937769,279.9413839038734,281.94646642513226,281.54765983865815,284.06756842239514,283.57278242861537,285.94540309120225,280.5317351308807,285.24591260806096,282.14401200324704,285.60639590088994,287.28188937143364,290.1987668204299,286.5256759754574,289.45741003170065,288.7653688058011,288.7096088025413,288.5828384385234,289.89096926184845,292.61766839561955,292.81414594797894,294.18106965829753,292.6849403379373,292.32866669747654,292.9794049238383,292.94463854196647,294.2045092909361,296.3173610855829,295.52342491680787,298.28782739897485,296.8187360616888,295.4134835440669,295.7323074349853,297.61251631496907,298.95808234335647,298.4615438838227,298.13694095027233,297.7453768286611,300.2259999511326,297.93615228886483,298.337291160305,300.40025995837954,300.06243293149697,301.3403339572094,301.33433477218057,301.5986523137979,302.28274231449575,302.61185388153405,301.7292213094357,303.98058462255005,304.1751685812916,303.70040263741674,302.5041611094207,302.7820007695914,303.5298149685806,306.5578821566335,305.690926052043,305.6253632852859,305.6429536911995,305.28712010916206,305.4334200231103,306.84485351717376,306.13614477124423,307.3405452069744,308.00104664390875,306.9556464080763,307.96969836359483,307.45705761259774,307.5945744189633,307.9145894424239,307.5896793345489,308.3437324478869,308.1774764783656,309.4743727370819,308.56079236417656,308.5692354697248,309.4659310755454,309.8759512354773,310.25075066318345,310.7323869482065,310.5911230797001,311.06224965000166,310.4528678470913,311.38885337416656,311.70748824927,312.4552846126446,312.54495700187346,311.4160465426148,313.33137522218937,312.9831301190389,313.84837522243635,313.27181118942195,313.5968798471195,314.67037229099566,314.3495654963217,315.49366714470756,314.63213298317885,315.3206285071997,315.7319441603277,316.44602916924134,316.97115605128073,317.203431700763,318.44061004817644,318.7298716308387,319.71736835701887
1.5,213.89720884888933,224.9308464249526,237.58166556478983,239.165430020533,242.3678829202185,247.95323285077288,255.3422333098011,257.57955524295926,259.4819625171432,266.21621962591263,265.6156538807886,267.4453572668266,269.86146579155235,273.72913689180496,273.1115319236689,273.69488347517915,278.8922611610603,276.447207428728,279.6343292213981,282.9293621074282,281.21280577503916,282.57739685646726,284.0528128467161,285.6851151166488,284.60912106866755,287.5187066442798,281.4807329412148,287.5406485549558,283.964423603082,287.9950314641353,290.5130150964325,291.46740426601315,288.6550031037472,291.4436999226224,291.5126757972366,292.0230555887025,290.6466455463882,291.1640606575833,294.58670144160266,294.2434420512377,295.3314950673214,293.80935779522866,293.0987022964088,294.557396394189,295.8615411398759,295.696913149521,297.67024707923525,297.7116520812097,300.1585600797454,298.97763492216677,296.4533200704912,297.75373251828205,299.2748400117888,300.1980767491041,300.53383726354923,299.722194428006,299.7472844485754,301.43926791810037,299.80846575173223,301.52683933351693,301.34444644158384,301.6554643592746,302.68153015740853,303.5244282138478,302.96874457272503,303.61783215205924,303.0253294988346,303.3779873249582,304.8710993977968,304.91021318596546,304.99262427336515,303.83345191540474,305.2458029192767,305.1538483084986,306.9239392931364,307.30035151837194,306.4510276396708,306.14537677494695,305.90745712359774,306.7854912938974,307.83733413715214,306.8275692731947,307.84486458261705,308.33832362487124,307.9965471417296,309.0431848264318,308.6588700338245,308.44567357642586,308.86625984512284,307.93735910414034,309.24633464318333,310.0052932182478,310.3594908512973,309.54456800317683,310.4466415863636,310.6043318573651,310.51363003953725,311.1984242435753,311.80449338326764,311.51994576219766,311.7804869724314,312.278716269508,312.36909123871874,312.14086482717465,313.359949078449,313.83056473514335,312.45866957231914,313.90195810266437,313.7146149091428,314.5736488479692,314.07857134110725,314.01973828509415,315.0085281598883,314.65262876436094,315.82385565816105,315.11365941474463,315.83387617131996,316.29488955712145,316.63137995225327,317.23106504990386,317.65536381948954,318.5246581753604,318.84814738068627,319.7490705426578
2,215.06471523555587,226.3686508392385,240.23076354736799,244.39518336959998,244.95220669485084,250.02446560181525,257.1078157086154,259.3660113197575,261.51069152142037,268.19360117457245,268.5545719615929,269.48153899207716,272.02575858038915,275.25806566110236,275.2086140751333,276.47114198255485,280.5375111837502,278.4374539412225,283.15105144933324,283.6530510642706,282.95268960768,284.5591263625201,285.12780386329655,287.2454830256154,286.1171995853048,288.7636469033631,284.0572854694802,289.2455504080461,287.28835929687875,290.45576467748634,291.3043779136949,293.62284546365663,289.92764604802954,292.8437169720144,292.8084594560139,293.70867329062787,293.00776346654465,292.9447264606819,295.05803830790796,295.0709784784276,296.8794025456191,294.47943945831065,294.2512864631335,296.8222627732793,297.754835644226,297.1386718736377,299.3561929191365,298.0274213725644,301.0219994536917,300.11391099181947,297.38077987177473,298.5548107870036,299.9009849619949,300.9359064119667,301.78286410368025,300.05811808988426,301.1300504509392,302.42878546312824,301.16304396619023,303.2740617449538,302.2676975083837,303.03784944945187,304.11099638215865,304.9784410647814,304.1324299374732,304.32361096423887,303.6018592889361,304.26730313973053,306.0750087462412,306.09460349330027,306.1938518809597,305.4433697576833,305.5902469523938,305.96965556809994,307.37667511170474,308.07313700266894,307.43846992988074,306.5792510806876,306.92848026737727,307.15423625988586,308.1215895020017,307.4279404196619,308.5546748448688,309.218098126931,308.9176384031982,309.5055994246076,309.22852508177226,309.08711773960044,309.7453833672254,308.2260472685367,310.6463370155128,310.7653068134658,310.7763821485197,309.9818555805156,311.5583445458295,311.3675589411229,311.6382179358434,311.5240663660584,312.24768155349244,312.26006706752713,312.1223658842346,312.6945823788309,312.9224512968369,312.8662037796167,313.6860982242343,314.1365641436284,313.2324118639693,314.2033315408806,314.2015571128524,314.9398025693096,314.51755277226977,314.35186242879604,315.3932543962892,315.2971925029798,316.0889542837579,315.6841593262825,316.0172808110286,316.6949702414941,317.0544562897566,317.40067733379715,317.9328399248505,318.73531697525203,319.08821051920484,319.8608087867185
2.5,216.68045209722223,228.1096299961907,243.42214182934183,247.316414809833,247.58535298034522,253.20749911420177,259.05620667445555,260.20847982227303,264.53516844267307,269.0493890006736,269.58191806556505,271.95685889915825,274.02651365891336,276.01623271124333,276.9309914058228,278.8711089623111,282.4051800864733,279.08854944858945,284.6822685341868,285.2698641574998,284.43231928902435,288.2455429175059,285.56788775338936,287.9257283220061,287.41883512604693,289.1744224535818,285.64113845568346,290.30867057051717,288.11837680828467,292.64816624651843,293.3091399435244,294.6846339129047,291.5035944643283,294.62624924440377,294.1234603496776,294.5703072623589,294.29310952685057,294.8839919241083,295.4672190649159,296.789929417542,297.5986074821951,295.40897199894385,296.178046396999,297.54828284848594,298.4720596711656,298.5602067566775,300.3718457221565,299.15485933393813,301.4848355046429,300.55760489487994,298.2305607311796,299.81803962749746,300.6584552305167,302.28525231355155,303.20973901024036,301.03818120921784,302.40763677694207,303.1880529571014,302.1950770873743,303.70703557739364,303.4629289534575,303.6386850726405,305.09391877491345,305.40633711284767,304.55554703086955,305.3038014120176,304.2415862286772,305.07652509447956,306.8191714609866,307.0177329696368,306.84024748330455,306.13736868943425,306.26505232086396,306.54997418081314,307.83717078517424,308.7419953726985,307.87422740093564,307.44140472070427,308.06906384124653,307.6307828883306,308.53070706878975,307.86866209843686,308.94978307426845,309.5016875270352,309.1022993270056,309.91273431188597,309.74232909884074,309.6563981078747,310.3794204887708,308.9280413913975,311.0761609914834,310.94881226101796,311.3181989613644,310.8173850604672,312.0588834341735,312.0641674261857,312.18453553371006,312.0331397870962,313.0200159971099,313.00044424130914,312.7312299122657,313.33869032665626,313.54769926872325,313.1541056635925,313.98980191976386,314.36827847283365,313.8543004102617,314.72978523531873,314.55734432196704,315.21765118481954,314.98585791413325,314.85223559197556,315.68451825673003,315.59303303059784,316.4282418905591,316.0153035106583,316.28249029179995,317.05463115745613,317.20226640168283,317.63684248588515,318.17599460260266,318.85639052114453,319.2028704961854,320.19629158607273
5,226.47657335111109,232.98935356761865,252.91427391605296,254.72684467033335,256.29855959747107,263.48608671579814,266.54053844359,270.80582334262607,273.34410104024465,274.7473853413473,276.65659142370083,276.0655938753367,281.71964847095205,282.8279298593872,282.253828215016,286.0519848685431,288.63845380543086,286.51314136347156,289.29814951689934,289.89173858120915,291.113988261168,291.8321463836616,290.7712716400138,291.5025579715096,292.62314606058436,294.5735425447429,294.33792258477945,294.8865200924902,292.82578115052377,296.84636969360713,297.42774069397035,298.91439131200326,296.44521834791857,297.78745999661106,297.55826446554653,298.75350660874864,299.7847951331436,299.97964705659007,300.7559022542787,300.92595201632264,301.74478864913624,300.0272630987784,300.74921553784367,301.69862866451984,302.146111069053,302.1929741709943,304.2666931407811,302.0187501009701,304.65233118847726,304.2751490921813,302.9700680804436,304.0346450948026,305.28149485415486,305.0968792717722,305.9778508743571,303.881303240072,305.8467625177452,305.6014124648083,305.20107521858847,306.42246218639997,306.4741620410442,306.3633478009156,307.6851209303903,307.7906632366196,307.49763833716236,308.5481597139906,307.96220408328395,308.20890654566534,309.28243553725287,310.22623789734195,308.97286621523455,308.3894025938988,308.5870096384261,308.87542675976016,309.6408650600505,310.40529004535176,310.53302189772813,310.00915557999576,309.86386134143265,309.95192767357537,310.9123742535451,310.9766430439354,311.3224280325007,311.1664447854843,310.87279350322086,311.56858178846653,312.8174436015643,311.0519051139715,312.216574074485,311.7810287997426,312.8855740139602,312.97579768694055,313.49640101928264,312.53802403060456,313.8583243910877,313.6469364734517,313.75059257012515,313.55145994159955,314.26810992143373,314.2522162188359,314.099908434344,315.0022891361843,314.6115417551611,314.8420407632697,315.140352045491,315.8262146062302,315.07072064784,315.787576903297,315.6280344557579,316.52419347735554,316.44774629844363,316.23195103301464,316.9061723130257,317.1313864773318,317.3794069757139,317.1424092269515,317.43661579405386,317.9879451932199,317.9680006206375,318.61544538741623,319.0949161329247,319.490181469801,319.8656994118195,320.80571406228955
10,234.131597968889,251.8320367885718,263.9452135510524,267.07783694533305,268.278993194483,274.89608134857167,277.95849216564113,282.7609877397982,282.99324476579557,284.06728440538706,284.5729971944629,285.78021777153833,289.9734842194618,290.6212343445764,289.34020526357585,294.54926488582663,295.99416518324585,294.9530469113547,296.9484212595558,296.0813372563373,297.2837645264222,296.9535123304351,296.2038370328995,298.8285724359484,298.2543407550148,299.7555348694525,300.4835191424459,300.3345232113219,300.5309291440182,301.9966339714789,302.8658174242457,303.6247947615817,301.10087349387373,304.0151052334715,302.0989133470582,303.475355208884,304.3819438527262,304.5041799763261,305.09670780370874,305.48311675972263,305.9127629408567,304.076341932336,305.3337837626774,306.9251514700478,306.8188614107387,305.787304186638,307.7782964185492,306.539143736106,308.31950062920197,308.3023449444369,306.9834106913336,308.00679563721593,308.0661171924466,308.6654971466383,309.1183556571354,307.95583313460315,309.3320294673808,309.3148186280131,309.2497821308317,309.8643594153753,309.71196645190906,310.2268111476372,310.5926706862171,310.5054608959661,310.9015074028555,311.1646906329142,310.2709147224418,311.24785686993283,311.714061469138,312.4223055173265,311.9564911372052,311.0116762136624,311.74708691959546,312.0970341122364,311.8688543432536,312.87587776636656,312.7695358096179,313.0721375583135,313.1618361049384,312.99363236921164,313.6667219724613,312.9558126530728,313.9007527590285,313.5640552954074,313.8118073868611,313.6284688515384,314.74654336246294,314.0673712753576,314.7789532646601,314.0711526742918,314.9671672160148,315.05948517224743,315.3458826367023,314.8673164316711,315.5466867120046,315.5911851116949,315.4373582356594,315.3937913391127,315.6634144031191,315.7810405622554,315.9696843498337,316.43230069573025,316.5745984659689,316.3184121446367,316.9942677692649,317.09075669064816,316.975888374143,317.1113451058504,317.2264535949787,317.5681026682566,317.68541094192597,317.5191311923654,318.1071587573749,318.10529439431144,318.4804458089016,318.30187319755663,318.4402869985016,319.00271412966936,318.9298076297935,319.3826346578021,319.8315297433943,320.13994110332175,320.3576426612692,321.062480976914
25,270.1195719388887,280.6426255333333,288.27875014605274,288.484149123333,291.93707699540226,293.9616163789918,294.47276443333374,300.5143924646468,299.57794180816325,300.8966464824915,302.01774500791004,301.84700829567277,304.76336507080777,304.38832990000003,303.91197495348104,306.0820781794118,307.4612502544323,307.4297088671893,307.0443618598485,307.13024898901074,309.03059370366975,308.81300781456923,307.28573746684174,308.9654248240645,308.8238919960645,309.4212024383635,309.54009477970175,310.77826204291205,310.001969881857,311.60800587821524,311.26493029310177,312.65034433706546,310.7665283201535,313.17090657609225,310.0080954796865,311.5332114443597,312.58157816023424,312.5008375883425,312.25221436801496,312.72538757603974,312.879403671474,312.43113920115223,313.405645193275,314.36579510761925,314.02894583881704,313.2540306051825,314.09595276631825,314.421036795166,314.868051873719,314.195074446503,314.0203232071425,314.34395023679275,314.48918891703875,315.030310196961,315.53320633281476,314.1640394990362,315.16922314353326,315.2124211602443,315.288497187642,315.58836476383726,314.85846786997604,316.3656474249013,316.00998472755674,315.6144669554135,316.36479860140054,316.18015010561277,315.75992747561577,316.5451638010955,316.45378492085547,316.715877229259,316.477599459637,315.90578389637926,316.521061725471,316.8609385040855,316.900138786193,317.15906995900946,317.11171859831273,317.274515749438,317.3350768049812,317.5731877389443,317.95694015420423,317.08158859058824,317.7360059986787,317.59839898186453,318.0288118455955,317.6093451114832,318.22165291688526,317.77192013137477,318.45361578200925,317.62721528796527,318.3404380674692,318.39543498091876,318.68557084256224,318.2737667588765,318.69406966141077,318.96714360987073,318.6336002411002,318.587846645647,318.8216697607395,318.87794533829174,318.91897577566175,319.26211299534174,319.14357411780276,319.025032380585,319.44309718160275,319.44992326229124,319.4648525746392,319.5302781895675,319.58817110107975,319.6637523196765,319.80935615001624,319.84156117674354,320.22859263745124,320.0172989500467,320.19972413108223,320.17627250702174,320.3545250404105,320.48864583670877,320.5141569654815,320.90622720305726,320.963661264871,321.1960098105,321.37151765955724,321.65391531646173
75,368.4038587444442,360.4676330619045,354.79139682631603,349.5260897483335,350.1426126609195,348.44570856218525,343.59055876666673,345.8002056939393,344.17248148979576,341.6380207986535,340.3781003368645,337.98541237812526,338.987264048758,338.30324947657675,336.8052900580695,337.72018629033596,336.7209745710365,334.7267770129903,335.44602796737377,334.53545168104426,334.8398529672643,334.79728342982474,334.25920588245776,334.86864320574176,334.96790797316623,333.26386771216147,332.4104035790595,332.030333520402,333.04799169078274,332.671909130415,333.0607070238205,332.25800054416123,332.189101878472,332.02764599487676,331.44581131190273,331.58279326850754,330.7709347387215,331.39182596071925,330.7690972511932,330.71658988125296,331.06744719912274,330.5859314643338,330.70102325994225,331.48627467319403,330.18862571589176,329.01479187950554,328.7600658626827,329.9574531090165,329.03581304086725,327.98107059913525,329.1173839101575,328.183606592424,328.8346435340908,328.9120528128735,329.02215204832925,327.849336915839,329.26329808306275,328.47053739785525,328.17739028875724,328.2296184373057,327.4975345000525,328.6270476773635,328.311808125686,327.7510880907785,327.6345098569265,327.66438315587624,327.030940096846,327.08829560658046,327.424717420434,327.46122902886145,326.947494957505,326.938638069389,326.77605789521726,326.96853818168273,326.7088837171642,327.33153377192275,326.5730083318435,327.0300164019337,326.7868415806205,326.80239262308424,326.32991350579346,326.1420694892553,326.07989632463375,326.5980797073755,325.74097160092697,325.81276898301303,325.78828375225726,326.1827143322048,325.7864976977135,325.43889132606375,325.88302365394776,325.96240941850226,325.34277810100025,325.5513019766645,325.505681696377,325.50750593152,325.4456857820185,325.2374706664127,325.028445459563,325.0587492338715,324.9068133432952,324.980178333724,324.721160602629,324.457127404188,324.43591660564624,324.573569175634,324.0830494940995,324.20467477420425,324.32157735874324,324.195357650171,324.0721026170422,324.0620407801073,324.1568850183763,323.788018747623,323.7315384802365,323.732694147591,323.52983192951604,323.4877381865322,323.271847882791,323.16200584285497,322.9970361849675,322.9127163589997,322.75913970891025,322.290914793392
90,414.5717188488893,406.3770411847616,394.2746864310528,382.175070112667,380.2793078062069,374.9278549976471,367.2935618780765,367.9307372369699,366.00425037665303,360.8592494583163,360.1564246490961,357.4291532970189,355.44750073072464,353.53381094983814,354.7972126694307,353.3209617547339,348.5723781324098,349.0336824707728,349.380519465273,347.71698788937704,347.42652719629695,346.68436317614066,345.4845092014845,347.6424569328775,346.7496405393678,343.95730367969054,343.2363076632273,343.2774716749812,342.6687555771902,342.8463200666277,343.0808680240096,341.0267201865635,343.0014049294601,341.6863189392443,340.7078695162757,340.9610654237013,339.7874558908824,339.4802958833413,339.13033871179863,338.7701341972554,339.2571199882569,338.50938778901116,338.33352418099224,338.4786193974369,337.9488805162293,335.5008159680743,336.84349387978403,336.736469911944,334.9720487863812,334.4334597737715,335.1715414339711,335.055383903579,335.3153798371141,335.3023938223119,335.46381795852017,333.1935576388927,334.96480087907844,334.3635442315878,334.1685647861111,334.1909587023599,333.1040171244326,334.6963497848591,333.4270131231505,333.1640894596238,332.83446530087457,332.5079882862309,332.3106598071736,332.400108299916,332.1363740310762,332.0622661579216,331.1762678435768,331.2975528982178,331.9031938016227,331.2231093805517,330.8172647468932,331.3883350870804,330.54082227072456,331.4026964845335,330.7213960249113,330.0317378292527,330.0722773916645,329.7637912223574,329.6305372812435,330.2988613373249,329.0765138936294,329.1583705839225,329.6564221338723,329.3312728047196,329.2500576315557,328.7462297696661,329.04757156522487,328.9711856862703,328.4295685505524,328.53602838732013,328.6065584463484,328.148939471303,327.9073488311861,327.76169702680295,327.70848804022614,327.6931377545107,327.6985843650754,326.9723129122514,327.0561222506896,326.9725033731298,326.5007345094706,326.69292104755914,326.297092390847,326.205694849947,326.2847025516029,325.98095164533777,325.86405593572556,325.73921167351193,325.55890076402267,325.197175596152,325.1785309500356,324.8888325495177,324.67339980076264,324.5631362013387,324.16819819566854,323.99898514521726,323.6866588732027,323.4609544476516,322.9756043214714,322.3296165033315
