"","name"
"1","Isoetes"
"2","Lycopodiella"
"3","Lycopodium"
"4","Selaginella"
"5","Asplenium"
"6","Azolla"
"7","Woodwardia"
"8","Dryopteris"
"9","Polystichum"
"10","Equisetum"
"11","Marsilea"
"12","Pilularia"
"13","Botrychium"
"14","Ophioglossum"
"15","Polypodium"
"16","Adiantum"
"17","Argyrochosma"
"18","Aspidotis"
"19","Astrolepis"
"20","Cryptogramma"
"21","Notholaena"
"22","Pellaea"
"23","Pentagramma"
"24","Woodsia"
"25","Calocedrus"
"26","Chamaecyparis"
"27","Juniperus"
"28","Sequoia"
"29","Sequoiadendron"
"30","Thuja"
"31","Ephedra"
"32","Abies"
"33","Picea"
"34","Pinus"
"35","Pseudotsuga"
"36","Tsuga"
"37","Taxus"
"38","Torreya"
"39","Brasenia"
"40","Nuphar"
"41","Aristolochia"
"42","Asarum"
"43","Umbellularia"
"44","Anemopsis"
"45","Ceratophyllum"
"46","Justicia"
"47","Sesuvium"
"48","Trianthema"
"49","Amaranthus"
"50","Nitrophila"
"51","Tidestromia"
"52","Rhus"
"53","Toxicodendron"
"54","Angelica"
"55","Berula"
"56","Bowlesia"
"57","Cicuta"
"58","Cymopterus"
"59","Daucus"
"60","Eryngium"
"61","Heracleum"
"62","Ligusticum"
"63","Lilaeopsis"
"64","Lomatium"
"65","Osmorhiza"
"66","Podistera"
"67","Sanicula"
"68","Sium"
"69","Tauschia"
"70","Amsonia"
"71","Apocynum"
"72","Asclepias"
"73","Cycladenia"
"74","Funastrum"
"75","Aralia"
"76","Hydrocotyle"
"77","Achillea"
"78","Acourtia"
"79","Adenocaulon"
"80","Adenophyllum"
"81","Ageratina"
"82","Agoseris"
"83","Amblyopappus"
"84","Ambrosia"
"85","Anaphalis"
"86","Antennaria"
"87","Arnica"
"88","Artemisia"
"89","Baccharis"
"90","Bahiopsis"
"91","Balsamorhiza"
"92","Bidens"
"93","Brickellia"
"94","Cacaliopsis"
"95","Chaenactis"
"96","Cirsium"
"97","Crepis"
"98","Crocidium"
"99","Dieteria"
"100","Eatonella"
"101","Eclipta"
"102","Encelia"
"103","Ericameria"
"104","Erigeron"
"105","Eriophyllum"
"106","Eurybia"
"107","Euthamia"
"108","Geraea"
"109","Gnaphalium"
"110","Gutierrezia"
"111","Helenium"
"112","Helianthus"
"113","Hesperevax"
"114","Heterotheca"
"115","Hieracium"
"116","Hymenoxys"
"117","Iva"
"118","Lactuca"
"119","Lagophylla"
"120","Logfia"
"121","Luina"
"122","Machaeranthera"
"123","Madia"
"124","Matricaria"
"125","Micropus"
"126","Microseris"
"127","Nicolletia"
"128","Packera"
"129","Palafoxia"
"130","Perityle"
"131","Peucephyllum"
"132","Pleurocoronis"
"133","Pluchea"
"134","Porophyllum"
"135","Psathyrotes"
"136","Pseudognaphalium"
"137","Psilocarphus"
"138","Psilostrophe"
"139","Raillardella"
"140","Rudbeckia"
"141","Senecio"
"142","Solidago"
"143","Symphyotrichum"
"144","Tanacetum"
"145","Uropappus"
"146","Venegasia"
"147","Berberis"
"148","Vancouveria"
"149","Alnus"
"150","Betula"
"151","Amsinckia"
"152","Cryptantha"
"153","Hackelia"
"154","Lappula"
"155","Lithospermum"
"156","Mertensia"
"157","Myosotis"
"158","Plagiobothrys"
"159","Arabis"
"160","Athysanus"
