,pd10,pd15,pd20,pd25,pd30,pd35,pd40,pd45,pd50,pd55,pd60,pd65,pd70,pd75,pd80,pd85,pd90,pd95,pd100,pd105,pd110,pd115,pd120,pd125,pd130,pd135,pd140,pd145,pd150,pd155,pd160,pd165,pd170,pd175,pd180,pd185,pd190,pd195,pd200,pd205,pd210,pd215,pd220,pd225,pd230,pd235,pd240,pd245,pd250,pd255,pd260,pd265,pd270,pd275,pd280,pd285,pd290,pd295,pd300,pd305,pd310,pd315,pd320,pd325,pd330,pd335,pd340,pd345,pd350,pd355,pd360,pd365,pd370,pd375,pd380,pd385,pd390,pd395,pd400,pd405,pd410,pd415,pd420,pd425,pd430,pd435,pd440,pd445,pd450,pd455,pd460,pd465,pd470,pd475,pd480,pd485,pd490,pd495,pd500,pd505,pd510,pd515,pd520,pd525,pd530,pd535,pd540,pd545,pd550,pd555,pd560,pd565,pd570,pd575
0.5,1135.2347344300001,1450.985748435,1805.3352044,2091.06962973,2384.819706585,2678.92381658,2858.821683795,3190.59992868,3399.1103793750003,3721.4750202100004,3874.97710809,4122.254289375001,4468.323558735,4454.301195375,4776.43484546,4945.07153876,5169.9534890899995,5481.9945779399995,5561.07101608,5859.11881089,5960.09683491,6178.29825767,6213.091815055,6527.154717395,6666.12395477,6840.324369835001,6975.9387285249995,7095.6180229,7258.266914925,7416.719104575,7707.5708729200005,7757.81068896,8022.9000512,8175.864676425,8140.8481861850005,8413.111594325,8614.50818693,8794.003774445,8798.260962024999,8984.10028585,9075.98120979,9296.524221304999,9272.8964861,9544.669735720001,9675.43773659,9794.998641420001,9986.4763608,10079.94025852,10211.427709805,10307.63865724,10473.59128006,10560.02093654,10795.67278508,10860.42238716,11031.03267288,11037.07773098,11249.9120812,11334.6267493,11474.784232565,11685.57886663,11874.085430735,11894.38525062,11978.32938425,12052.049279039999,12387.60518325,12246.310350205,12449.193640985,12656.253047405,12696.96639178,12919.260650585,12982.250830305,13033.653596940001,13213.703545245,13377.577409765,13480.912688954999,13744.28963261,13750.355130394999,13913.791149395001,14072.099227605,14063.661609565,14126.22933023,14407.62037473,14484.98678882,14432.54081043,14745.634588915,14816.961470785,15147.081221705,15192.771251535,15146.657139224999,15444.852011460001,15494.65617832,15489.676406229999,15751.012527585,16012.738258534999,15929.142525854999,16100.98997405,16309.693927245,16329.065149695,16576.28599477,16654.20601659,16586.58689179,16907.216898185,17013.503603705,17130.757444105,17250.300363825,17422.270610855,17498.162435505,17617.756252895,17717.715038795,17849.9787296,18016.43056994,18214.225803525,18357.661336715,18544.12665448
1,1188.60528521,1516.63573391,1841.54762937,2208.82637394,2424.08910152,2783.63952546,2970.1088657600003,3231.2197229500002,3534.33404973,3812.33492274,3967.76003786,4237.18778879,4515.2520491000005,4592.456638860001,4924.64899461,5111.40925227,5219.33036359,5523.55084242,5646.09090666,5889.93910547,6100.999483250001,6291.2245912,6376.13410116,6642.309031780001,6792.74008712,6935.19243138,7156.691318,7227.87294305,7298.24205722,7593.659686630001,7740.6780601,7878.99055907,8055.96636586,8243.843775360001,8276.77174175,8559.39523059,8702.17761097,8872.01295171,8924.502399609999,9145.96437643,9242.12586536,9373.08427398,9517.080971899999,9695.7518333,9759.37836223,9872.05657677,10064.66536437,10229.0031711,10325.28848244,10419.47156622,10558.9481763,10580.26129939,10853.026259569999,10943.50699075,11091.97026959,11166.77628294,11365.41787057,11453.98992921,11679.801955050001,11729.54226923,11916.28321782,11948.02597655,12086.44589202,12205.558373619999,12428.45737212,12477.864898150001,12586.2573038,12737.473042560001,12800.38005622,13011.801540839999,13129.25189602,13130.382006720001,13329.02052097,13419.49871731,13668.05352909,13790.2048645,13885.18258654,14041.53345213,14189.60544749,14175.05355875,14317.379223459999,14491.262199249999,14622.191981299999,14596.671807980001,14822.89972965,14980.12896726,15195.39935622,15295.87537882,15369.8639275,15520.60383906,15625.98078824,15670.19779551,15848.77979599,16063.869364479999,16025.795761630001,16235.97072028,16395.51944369,16426.325349810002,16641.312957370003,16744.89173678,16729.279108910003,16979.52964438,17097.64903046,17201.98889973,17295.503321160002,17482.14080066,17580.33930921,17739.61178111,17815.36238371,17953.57117671,18125.33585702,18248.6928457,18399.10429252,18649.45024797
1.5,1220.498856715,1547.2673379,1873.524815395,2249.310545675,2463.99193725,2836.4098889549996,3037.98731316,3341.8688057249997,3566.1795182200003,3848.8792053099996,4052.90060172,4290.742065535,4584.791775685,4657.285196595,4972.2039975650005,5188.729203115,5316.9334565399995,5563.775066515001,5740.101403725,5912.721529625,6177.113028055,6347.274552075,6421.307886969999,6699.421959075,6844.75084609,6985.97987307,7187.43627202,7300.1382987,7383.394131405001,7632.683539895,7835.063020625,7939.643874795001,8101.61486764,8280.481461555,8347.827048775,8590.647687335,8734.686946554999,8915.354415315,8976.126108125001,9198.457505999999,9304.17295981,9404.088631215,9579.873686210001,9718.90308156,9878.551536134999,10024.230039745,10114.31024937,10290.68154932,10366.69712344,10475.916065515,10626.73246984,10675.513859975,10907.308535535001,11025.23033583,11167.99987096,11208.169960555,11405.39839622,11504.487633859999,11725.419109555,11762.131638535,11987.330237135,12030.036740540001,12135.538214909999,12262.173947745001,12473.88127641,12584.67550378,12710.649829575,12805.277750915,12877.22612092,13061.087057634999,13180.300611115,13172.062765925,13457.017123245,13563.683466909999,13750.05649006,13842.28341301,13947.428655835,14080.308084145,14222.215825939998,14255.723487950001,14405.571511650001,14582.801654245,14710.611843455,14685.628721019999,14894.519962815,15078.34619502,15249.001652495,15382.440491675,15440.591513239999,15628.261273279999,15667.84283048,15772.647785435001,15895.759956705,16096.311209919999,16143.122087845,16288.337357600001,16431.922986715,16458.064106545,16681.770794075,16781.918168695,16840.344963085,17072.81416843,17140.43942664,17233.696894465,17353.77805444,17537.065145434997,17620.982129160002,17757.514571305,17853.090233875002,18000.431569365,18178.700322794997,18273.29740345,18416.520311944998,18707.20047971
2,1226.07126876,1566.54469138,1884.4863246,2264.83915386,2482.42064034,2848.6139039600002,3080.04766208,3381.09462748,3631.3592062,3881.19852076,4104.392166500001,4321.16310856,4598.734331539999,4713.71185056,5000.17381338,5209.350124340001,5373.2408732,5619.19376818,5790.02825346,5966.5323087,6213.636444,6401.10246546,6482.84949226,6720.95994882,6886.99199314,7045.370589560001,7228.903384519999,7388.04010276,7438.300088200001,7681.487483,7882.4237985400005,7969.9034697,8162.40229318,8319.63518218,8404.07991248,8609.7513737,8808.84339776,8948.52445996,9048.735700180001,9228.556536760001,9324.2910725,9473.50529904,9618.21695786,9748.41214252,9904.8369577,10092.664401,10146.92629462,10321.578189900001,10426.47960092,10517.62953816,10704.88755938,10744.75340544,10930.00438904,11078.83888492,11238.028007539999,11297.22020754,11454.423752,11558.904501519999,11788.41783486,11832.88739914,12012.16549142,12091.5026682,12191.84767228,12296.5123571,12528.88357968,12643.12840756,12761.221516200001,12872.076630840002,12893.00669152,13096.34541718,13233.40235756,13298.28641392,13512.941369260001,13599.88174186,13791.7321188,13947.534638340001,14005.56319268,14126.74689018,14247.94308058,14321.33076828,14482.74376888,14620.987618680001,14761.82144942,14789.88316792,14942.8879694,15151.4042718,15285.02822402,15427.837893920001,15495.9975448,15655.861934440001,15745.30209746,15819.743415160001,15923.289694019999,16123.26385846,16188.20781464,16309.358376,16469.73843686,16547.40066774,16696.598991019997,16826.10613164,16898.83102452,17093.630480840002,17232.090569720003,17267.63540314,17403.45565942,17566.39284886,17648.63486152,17801.196932979998,17918.09509298,18032.100902539998,18201.4356621,18311.6724284,18433.65298472,18741.981114460003
2.5,1237.118005675,1587.5378506749998,1920.470158525,2275.198127275,2511.06923675,2866.184324,3102.9562392,3445.787864325,3668.742556425,3901.07366135,4133.943932475,4361.975070175,4619.175511525,4752.2983366749995,5025.8233172,5242.832373974999,5414.773536725,5661.1232992,5826.975471250001,5988.435806925,6255.274404975,6422.03748895,6509.9264781,6752.30040645,6933.4376703,7080.441177975,7296.117526999999,7415.781539675,7457.8144793500005,7720.7980922,7897.242096825,8018.0611639,8218.698908375001,8378.071442274999,8424.94382645,8633.330604325,8825.613778075,8971.6002499,9096.421874950001,9245.04393105,9352.127128825,9516.3182053,9646.186338425,9767.728947849999,9945.1087144,10123.820898925,10181.51787375,10388.2942329,10458.360946050001,10576.798695200001,10737.12092605,10798.512823775,10986.035637674999,11118.4324138,11280.559131125001,11352.235784525,11519.7583182,11586.167702775,11833.677162525,11870.3404215,12042.023507774999,12135.303739375,12228.21478845,12384.975602025,12580.559009,12689.530618725,12800.943024925,12909.217477675,12953.27454445,13128.61530605,13284.595682175,13351.66972475,13550.761018175,13683.47449865,13812.93995495,13989.3164358,14048.569581875001,14141.273554575,14286.493187275,14355.734168949999,14520.633801175,14649.7095556,14815.429842649999,14850.227364350001,14971.9615206,15173.743231725,15307.55339445,15444.596747325,15548.7904236,15684.92234935,15779.40119165,15871.20996295,15956.993415575,16170.978917275,16219.3937921,16327.724548625001,16521.615810475,16577.37151615,16732.7839286,16854.05030995,16928.49885495,17115.131704675,17257.930350125,17293.127879649997,17427.20199045,17602.348732874998,17677.18509175,17830.307899325,17942.0503299,18077.385640925,18230.7907508,18319.23424375,18465.270308799998,18772.7132502
5,1274.1744056,1651.23111635,2001.6708130000002,2342.1935177,2616.2842502999997,2960.6046162000002,3236.31546745,3556.0037866499997,3795.83905345,4029.91469175,4249.727551200001,4478.6674026,4743.6860768999995,4915.72527925,5132.0211624,5350.643309200001,5586.612781899999,5761.91374205,5965.5419546,6129.9778847,6355.1094448,6512.59994505,6639.5577347,6872.0052059,7058.4764426,7174.91850505,7400.02662125,7556.31174775,7626.82771555,7811.8918835,8066.022011399999,8152.95708685,8340.06325715,8491.98891435,8588.9418711,8766.2055435,8972.554780150002,9077.92255735,9266.9974494,9354.18549265,9498.28104245,9629.800759200001,9776.56213685,9932.9391147,10069.401943699999,10205.1611052,10349.59309315,10514.72304615,10570.972073,10713.2190963,10856.33763145,10912.0334834,11123.756134649999,11287.357046,11442.65101585,11526.17219625,11700.8932788,11800.474193150001,11987.7048011,12086.961905299999,12227.705317150001,12308.86682815,12430.7313552,12541.22908495,12726.134113,12857.4873883,12962.43172215,13095.14664035,13184.532655,13293.25145525,13471.98293845,13575.3506946,13672.3600967,13825.91090065,13981.1640709,14096.2060087,14234.4131204,14350.828728299999,14446.999131550001,14530.9264516,14692.20809525,14794.3984414,14939.67127395,15020.67835815,15125.897404950001,15307.450804200002,15414.751592,15555.4533365,15682.7429605,15814.24180395,15913.8867732,15993.4641803,16103.97980165,16290.4041376,16338.7373802,16486.669833250002,16634.23149745,16743.80631575,16857.34785375,16974.8494273,17037.713270700002,17209.982722149998,17347.30590785,17399.9747687,17549.301954900002,17692.71111055,17799.27102045,17936.20511405,18061.355480550003,18160.80093605,18291.4039735,18402.658885,18602.84312305,18828.8996048
10,1319.6333490000002,1730.4676462,2102.2006912,2444.7357617,2747.8151262,3072.3489239,3360.4706923,3681.267617,3922.3568078,4163.124460499999,4378.4518336,4605.6306748,4860.6624274000005,5087.5353296,5273.0356383,5483.5252578,5750.7249867,5932.6420968,6125.2011733,6303.251873900001,6518.1252837,6667.3899796000005,6822.5510876,7030.2469871,7175.0200418,7353.2054636,7542.9348443,7695.6841146,7843.8283382,7979.034463399999,8219.5479652,8318.1318778,8501.5150196,8640.4156695,8756.4058226,8917.695145900001,9141.6962606,9272.2150913,9439.2897712,9526.985399000001,9668.656310900002,9800.8143034,9935.280155299999,10108.782455,10244.3263176,10396.7158574,10537.4929436,10696.966434099999,10738.106153800001,10916.7064759,11065.1675198,11180.8545444,11332.7929053,11478.3063951,11630.600042600001,11723.766295,11872.987567299999,12009.8930495,12163.2460625,12275.6627787,12395.6778971,12491.4004915,12636.582995300001,12728.8007196,12944.1219353,13044.453633899999,13143.4350381,13289.3496731,13424.0549752,13482.7689916,13665.7120582,13733.9779231,13877.6042114,14010.028567,14155.514464900001,14243.8645194,14406.3460987,14538.362659499999,14616.1655178,14744.623500400001,14891.431869,14989.8801513,15087.267273700001,15225.0542936,15307.8366155,15454.5092019,15578.3143572,15729.4156789,15842.1489314,15938.483941100001,16048.7559891,16149.234123799999,16240.7449158,16397.063872699997,16518.4709808,16643.0081419,16758.8081824,16890.9920199,16968.2567165,17116.8330537,17149.2674919,17342.6881838,17439.4997701,17522.106945199997,17680.7047745,17804.9653489,17907.2071275,18026.4698966,18171.515711300002,18275.074678499997,18428.3072966,18554.527028599998,18711.0357449,18869.009443400002
25,1441.71989775,1894.1430095,2272.978645,2621.682446,2955.04082525,3262.00983275,3580.4716295,3867.10450175,4108.2655895,4369.746441,4618.79339225,4879.48103525,5093.98194625,5332.630457,5506.66204725,5737.67957,5972.64465675,6173.424734,6379.4936745,6563.39835575,6762.64907675,6912.039078,7081.425588,7279.33422875,7427.1816675,7639.02889125,7801.3429452499995,7968.9843872500005,8120.73812275,8280.269174750001,8465.9843595,8634.064227500001,8792.66209875,8920.918763000001,9073.42738325,9249.964535,9435.558579249999,9538.9415,9722.430102499999,9839.351591499999,9990.0579125,10121.9703365,10267.586251499999,10418.365789,10530.41372875,10715.92827475,10874.14689,10989.18597825,11083.158078,11264.193862,11399.472412250001,11497.18000575,11665.2633035,11804.06031075,11899.8926615,12038.28779425,12205.2160845,12318.457784,12457.07266625,12593.80805125,12721.67894675,12819.26737275,12910.169673249999,13100.751473999999,13221.51958525,13321.075562999999,13448.4529515,13581.6642945,13707.46958875,13821.8526415,13943.654594,14027.74368225,14209.8891855,14297.844155499999,14427.05403075,14539.731448,14684.91449225,14796.274754,14888.2463465,15021.940181,15157.04347425,15246.8452715,15395.27823925,15507.38272175,15605.0098775,15727.20458225,15822.13303825,15952.582989999999,16068.16194375,16167.7183535,16304.5803145,16402.8022625,16485.9535685,16631.94911675,16749.10970125,16864.656403250003,17001.0853025,17064.05199675,17177.134127,17313.5762,17416.0517535,17512.249381,17650.92426575,17726.119693,17867.750718,17997.017518,18116.199239,18207.57053975,18339.3066485,18444.62081575,18566.01428,18678.370369,18786.88789025,18910.905379
75,1744.5766237500002,2243.30416175,2691.77368875,3075.7342575000002,3403.95471525,3753.01396075,4090.4309707499997,4425.756861,4664.48496525,4910.3319277499995,5185.70712475,5409.2596300000005,5642.849779,5910.877011500001,6136.92106625,6344.216405,6591.00708425,6805.467885999999,7003.2148825,7199.2452975,7364.261788,7571.85947575,7719.1638915,7918.4022970000005,8123.5277595,8337.066377000001,8454.09411925,8625.0679615,8782.81384375,8942.3900805,9149.01859525,9315.520118,9495.8619015,9645.7661985,9713.06527275,9942.9657845,10124.16880825,10224.91787475,10380.84347575,10528.63195125,10672.379676,10831.87958525,10975.13431125,11132.76886975,11262.655747249999,11396.761623,11566.56720575,11692.83449225,11804.149288249999,11913.77710275,12033.5279625,12203.90710175,12334.33087875,12484.04447,12598.433339000001,12714.14364175,12865.63504675,12970.46374275,13121.58707675,13229.3669435,13378.90943825,13460.94422425,13600.541144249999,13721.53133025,13846.06246275,13978.246647,14085.047194499999,14228.27814725,14320.127268,14431.429330500001,14565.109500999999,14682.416481249998,14778.01237175,14895.7959685,15042.68546775,15127.559360000001,15263.297902499999,15372.449074,15472.98445,15581.45282575,15700.2483535,15785.276282499999,15923.6941505,16007.593045500002,16164.149482249999,16258.77510975,16381.305646249999,16492.935425749998,16555.894105,16690.72836575,16802.761045,16887.148661249998,16981.182237499997,17088.7990975,17177.960133,17282.608044250002,17398.42523675,17501.4820995,17592.2814505,17683.56834025,17791.35754075,17871.52773175,17996.770631,18068.5476615,18161.49306725,18268.02871975,18359.542100749997,18456.72349475,18550.88587725,18634.49942075,18723.025728250002,18805.75410025,18887.83466975,18964.042854
90,1934.0862009,2436.8675579,2901.7707305000004,3303.3148862,3618.5944445,3995.4383394000006,4353.0085141,4690.2380866,4933.2639534,5192.3635481,5450.7598161999995,5736.6315093,5947.1563502,6198.3101073,6394.7920998,6642.789081100001,6858.3998813,7066.528188800001,7325.0045838999995,7514.9451406,7652.2398247,7859.5340636,7991.083842100001,8253.258298100001,8449.2147153,8637.4041334,8752.4164421,8925.4892053,9105.7464754,9222.202702,9453.7711156,9571.4195483,9789.7384426,9942.3064175,10037.8979811,10228.7285763,10419.3211057,10557.5233772,10653.8117409,10845.7174283,10952.7249695,11098.5791345,11266.0856463,11429.630948700002,11544.5193292,11673.347393,11914.1753811,11996.8299011,12136.197470500001,12207.7826631,12314.8149649,12518.900192699999,12603.6474932,12750.767797499999,12912.7144699,13035.9038244,13139.974139,13240.7744711,13383.9838564,13505.764659499999,13618.3949242,13702.9361501,13890.8275365,13970.8507386,14095.373506400001,14216.8361477,14380.00276,14488.6166216,14553.010823,14669.2756506,14804.213316899999,14919.4061982,15011.9238689,15108.507173599999,15248.994347,15385.1801027,15489.9815421,15598.2270794,15674.286845,15753.9588359,15902.1662158,16010.5220839,16113.0042698,16218.1978074,16337.7245661,16431.603443400003,16543.2725065,16676.4189603,16753.1972418,16892.2728006,16974.4710548,17058.5422501,17146.8076543,17252.5600118,17340.423788,17419.305916100002,17541.5917242,17628.6884166,17725.6084306,17807.5723744,17912.9473913,17983.2500774,18109.666307400003,18165.8256516,18267.6493978,18364.2661981,18443.8521406,18525.3130404,18606.272709499997,18686.2923696,18770.820193800002,18842.5663223,18916.9890262,18979.0536978
