,mntd10,mntd15,mntd20,mntd25,mntd30,mntd35,mntd40,mntd45,mntd50,mntd55,mntd60,mntd65,mntd70,mntd75,mntd80,mntd85,mntd90,mntd95,mntd100,mntd105,mntd110,mntd115,mntd120,mntd125,mntd130,mntd135,mntd140,mntd145,mntd150,mntd155,mntd160,mntd165,mntd170,mntd175,mntd180,mntd185,mntd190,mntd195,mntd200,mntd205,mntd210,mntd215,mntd220,mntd225,mntd230,mntd235,mntd240,mntd245,mntd250,mntd255,mntd260,mntd265,mntd270,mntd275,mntd280,mntd285,mntd290,mntd295,mntd300,mntd305,mntd310,mntd315,mntd320,mntd325,mntd330,mntd335,mntd340,mntd345,mntd350,mntd355,mntd360,mntd365,mntd370,mntd375,mntd380,mntd385,mntd390,mntd395,mntd400,mntd405,mntd410,mntd415,mntd420,mntd425,mntd430,mntd435,mntd440,mntd445,mntd450,mntd455,mntd460,mntd465,mntd470,mntd475,mntd480,mntd485,mntd490,mntd495,mntd500,mntd505,mntd510,mntd515,mntd520,mntd525,mntd530,mntd535,mntd540,mntd545,mntd550,mntd555,mntd560,mntd565,mntd570,mntd575,mntd580
0.5,88.3207067225001,79.14237084299997,86.37892704900011,81.1423577198,78.49357646949997,74.01570966257141,78.45681552399999,72.71322039500002,72.7758389211,69.2059677350909,65.57307651300003,65.55526551184616,64.76260211100002,63.29258259986667,62.0513404066875,61.6204952109412,61.519132518277765,60.92272982184216,59.0542987484,57.870680816476195,56.71160977827277,56.874389398087,55.6789632880833,54.10182328884,54.4413904366539,53.36932255455561,53.89558064171425,53.04030204206894,52.198325024166635,52.758336306967806,52.179301048375,50.96111750051519,50.8175919128823,50.82710703031433,47.8423037973056,48.51831226059459,48.08719012342101,47.47805887971796,48.572143745400005,48.295020145439004,48.01564305295241,46.262620514488425,46.53655640461366,46.16933490466672,46.13023969652179,46.548730128765996,45.49658472833333,45.2828583495918,45.13046366676,45.43731903052944,44.578947156173086,44.61753058633966,45.022399813499966,44.35836753267271,44.27872882378574,44.547018162052595,44.31480975591379,42.82437000747456,43.656786854866695,43.40227565649181,43.10040759582257,42.14841691307933,42.36374318707812,42.74778455906151,42.996100028515194,43.44388203468661,42.18470423592651,42.507924202376834,42.14240045731429,41.949968477295776,40.925950687847276,41.48788596426029,42.007077828837815,40.8404660073467,41.56981486201322,41.57773054014287,40.82825561982054,40.719677802772196,40.951058596212505,41.09997315992595,40.502047387987794,40.59233355337349,40.97986966815478,40.80030453685886,40.33658374579075,40.41907937243674,40.14084535884093,40.450805623269666,40.05268358131112,39.91111345774725,39.90417957596744,39.61561456117208,39.58457558725536,39.53782464269475,39.644420406677085,39.60884076228868,39.46632174537756,39.136684938565665,39.87362040582,39.60592191282181,39.343247104127435,38.8302834160874,39.40329653183659,39.26307220813338,39.18397172915097,38.68978864949531,39.100915812324104,38.833994082688115,38.92143619695458,39.05759123860361,38.9259709598393,38.85112187801775,38.92740727110529,38.97329827980868,38.814508473784485
1,92.691154259,85.60080427600009,88.40495078900001,86.31744832359999,82.5820186516667,82.20217427828575,80.88464086175,75.22539211955558,74.10145353339999,71.24667563945451,69.85128994566666,68.76047992338461,67.26656998114282,65.37761816920003,64.46957991175,63.18068786094118,62.59170446033336,62.69329730073683,60.0501283765,59.24754379561908,57.91533986363635,57.60025645695656,56.76801542100003,55.79593474952,55.598718576076905,55.232889714296306,54.80708696471427,53.89551945965517,54.2016691866,53.56458305367743,52.6480585105625,52.23460135799999,51.26800523323532,51.4916292873714,50.767877634500024,49.269893474162174,49.66409704326313,49.26178248887176,49.115862135449994,49.088608547463444,48.942521293571396,46.86753486209298,47.419325833681846,46.855256189288845,47.51854559999997,47.53305307187234,46.32606674741663,46.24077764355098,45.94184804576,46.34155091999995,45.57857253111539,45.15074696807552,45.44946068685191,45.49721313145459,45.250891877928545,45.073832134210505,45.112566211655135,43.81421424376269,44.3452076576,44.370727865442625,43.78475855167748,43.088189218000004,43.26621080890625,43.19781167316928,43.4392994347879,43.68918069465676,42.85197678008827,42.84687591017394,42.84902798091427,42.81822059059156,42.3356026656389,42.40185724687673,42.25980634313512,41.4008868115467,41.949580294736855,41.92229853833767,41.04019703007689,41.85205080407599,41.595920119300004,41.581759534740726,41.055388971195164,41.09185625171085,41.583712119142874,41.15274692303529,40.78387698251165,40.84449182721839,40.64263270613641,40.869443089213476,40.75361074722223,40.212587703340645,40.18348594436957,40.09012937058069,40.02644110757451,40.09450217591581,40.113235670375,39.88284882515468,39.831104421795935,39.725570172242435,39.948665759120004,39.842135389009954,39.626212716313745,39.21547041495148,39.53717313446158,39.52999842266665,39.32560443816979,39.16756724543926,39.35538574451848,39.019481583578035,39.03511552876363,39.1337748298739,39.09792954050002,39.082104452849535,39.115837694964924,39.47416112914779,39.49640941368964
1.5,95.60648040550019,90.39096725899999,89.25021116399999,90.64162133960001,85.1282499935,83.55596245371433,82.4791042765,77.80866565111116,75.39510490069999,72.99914396818181,72.15090064725,71.35045637700001,67.905254844,66.9151124446667,65.045075687625,64.77474664847058,64.24331580705554,63.33025234621049,61.4268288687,60.34757194228571,58.65926088522729,58.426392281043455,57.3157073574583,56.65046122188,55.972770375115395,56.26331260803709,55.668071352785745,55.13202207982762,54.8169444737334,53.96711242177416,53.3210746340625,52.6135413983031,51.805349901735326,51.98009785457146,51.41333077111116,50.22447351124321,50.37192844205269,49.77346727676924,49.787724258299995,49.52055576604878,49.485652686142934,47.68374111727909,48.165129458545444,47.95192638535557,47.85991973252173,47.87875955125538,47.0864137492083,47.04010255555107,46.52569719594,46.4386806970784,46.209961683038486,45.62617973396232,45.99923635966664,46.076206791200036,45.914652438232174,45.40623840363162,45.39770498886203,44.35742866311864,44.8471334275,44.799642397114724,44.185501073370986,43.8832221917302,43.65462086628125,43.55195350323075,43.90553458350005,43.92122572123881,43.17645156033823,43.48785309520287,42.951780467871444,43.350923188676056,43.024227006444434,42.66590436615068,42.75126241441896,41.7752161551867,42.2692722744737,42.28318243867537,41.51231237765385,42.02701936473417,41.8434203795625,41.82221707517283,41.32849237441465,41.65692454904817,41.69335541589289,41.38979162682358,41.05952329869768,41.09730068203446,40.875984040784054,41.08868349113482,41.02235360482227,40.593094321439544,40.51904916727173,40.47998461954842,40.49351433886169,40.303122343568425,40.3651580815,40.10313964015464,40.14616984130609,39.98736550947474,40.070448001680006,39.9364546013564,39.69941881361763,39.44519621352431,39.6859952428846,39.639678145476225,39.50889315184909,39.241390586242986,39.46431851898146,39.25800131102751,39.265718316009085,39.240298601432414,39.19844247570535,39.12829348261952,39.179821436307016,39.76390601906088,39.75558042247413
2,100.372305134,95.08558416799997,92.003218664,93.8366303632,86.15605365266666,84.22906654,83.99302461250001,80.86453761733326,77.5739088916,74.80557590290914,73.89761475266667,72.01339271538458,68.52338300771432,68.39875523786664,65.56499713375,65.44481033741182,65.3032010253333,63.68863302294733,62.075725807,61.06068790228574,59.38185275600003,58.96693252069567,58.67315079266664,57.7517401192,56.71928775738456,56.904060898666685,55.978581558571406,55.68749942096557,55.28685233359997,54.17940482167741,53.98837034775,53.118735167030366,52.08045964376467,52.7272549770286,52.15734579911112,50.73715620432436,51.00728815947367,50.446419557640986,49.8204990941,49.744402719414694,49.67273855828573,48.136257553860524,48.76671027409097,48.6138560747556,48.35733128965217,47.99712310808514,47.5584032288333,47.519454895510265,46.81980408856,46.95922189607849,46.62795527676929,45.814644497132086,46.398957316740784,46.3324981237091,46.452046180928576,45.65662079803505,45.72586093565515,44.96341646664406,45.148697319399965,45.055148555672126,44.552598647161346,44.31798884926988,43.8035600978125,43.98327048793851,44.260945210787874,44.2172591596418,43.69705048441182,43.794950852579724,43.26995588005717,43.49120080918314,43.135525355722194,43.14076294158909,42.98046315908108,42.23745565498666,42.667579182157915,42.41911463615586,42.152377303282016,42.18826841088603,42.07671661885,42.03282877027159,41.62195112331706,41.899828942650615,41.86648068819048,41.589848206870606,41.173896927302316,41.26870158786207,41.03380775836363,41.16891204067416,41.14321752906671,40.78018588813182,40.76040420569567,40.67165152430109,40.676207514680854,40.39367502400004,40.60866530445836,40.24458417670102,40.30470961587759,40.08070993935355,40.243556840400004,40.04710857045547,39.80573967898036,39.669828710757244,39.8303244118846,39.71539433558094,39.63322982113207,39.37179769723362,39.6103681395926,39.35712173376143,39.45795464069094,39.34609882976582,39.36661246150001,39.1903728220177,39.28740820378952,39.82166544692173,39.827051800068965
2.5,101.5023486025,98.73336963999996,92.72020789875009,94.904804552,87.8692903283334,85.80002509071426,84.70064928625,81.73686701555557,78.780191148,75.57112182409092,74.64188528583337,72.94553707384621,69.43669280392858,69.73192169566663,66.7685484134375,66.43212219823529,65.85622934694445,64.21584950684206,62.8227419205,61.55382843690478,59.82044677795459,59.440701026304325,59.070698935416665,58.407550354,56.9444054467308,57.3376826522222,56.43537715089287,55.81059075448272,55.82666421466667,54.454090085161326,54.28321253,53.54870947015148,52.92293705852939,53.21923197814283,52.56366465222228,51.34904358824321,51.39828147421051,51.211000295256426,50.25574449925,50.40379345256103,50.111583399047646,48.68042221651163,49.162347703295474,49.043907129888886,48.71710839913043,48.22276900904251,47.9813502865625,47.86669678479588,47.0793443783,47.34292271617651,46.93620824586539,46.15198278990569,46.956168141111064,46.68893707136369,46.7207651910714,45.90687922394737,45.85677561689651,45.40903008889829,45.2748952166667,45.264746302295045,44.90146563500002,44.76256194761902,44.10228210859375,44.41126561592308,44.32295105431821,44.59280913708956,43.964267568750046,44.29095440601446,43.59825693478569,43.58899528535209,43.395805419027745,43.40032244794518,43.234267733175685,42.362523901933365,42.89556690868426,42.64545831350646,42.25959078544871,42.37099663651903,42.397468954249995,42.08039217358028,41.96996362182925,41.98665070566262,42.03742461065479,41.66087202970591,41.32286778296517,41.46338722793108,41.1834895917614,41.34159550955055,41.30929970477776,40.94831516439558,41.06442376277174,40.83950505451615,40.78348288962769,40.514875248473736,40.71885517463539,40.47867255994844,40.41328037969394,40.305266517070706,40.32576754635,40.10481501797028,40.06866692794122,39.775246496650446,39.931302831586585,39.758512107285775,39.68212033910375,39.507719069813085,39.69344708550926,39.43204963894501,39.50273479618186,39.41892582405407,39.43772077687504,39.28864908632745,39.44057343877194,39.83128218026087,39.86586981159488
5,114.00776348000001,111.6394540500003,102.269268415,100.51629594799999,93.39280357666674,91.35121440999998,88.24316079125,85.5503370422222,82.475556673,79.9241459809091,77.53598626750006,76.07199776923078,74.24288912428571,72.51919895466668,70.074308285625,68.2738002488235,67.80006903444445,66.24729210052635,65.21600534000001,64.02177974571427,62.23356926045451,62.10703807913045,60.93004949874997,60.9395560476,59.238790574230826,58.99952460407413,58.43941586964284,57.06255761896551,57.335046172333364,57.04793669677419,55.8609226559375,55.292420748484844,54.7107861626471,54.5658463,53.9733977433333,53.03434694486491,52.40555951368426,52.7819396194872,51.85667010375,51.860019283414616,51.429759512619036,50.30485499581402,50.66358906659089,50.53122344511114,49.687431631086966,49.70336747680848,49.36823944562503,49.190088940408216,48.3920298628,48.252231171176525,48.18168013423077,47.46049611113208,47.90380348092596,47.90514069672726,47.59156734464285,47.22101309350882,47.02207203137936,46.52342182423734,46.3304983243333,46.114956034262306,45.67694403580643,45.74275562317464,45.46724669703125,45.38453963923082,45.23469290439397,45.286166074776155,44.5961437576471,44.8974424994203,44.485710052000016,44.438181397183136,44.01284828430559,44.23567833561645,44.04878303391898,43.23307380373336,43.75018105513159,43.439663882207775,42.99982413858973,43.02306102291141,42.939520330625,42.91210340987655,42.71610914768295,42.56569472120485,42.54905389702385,42.21881226094113,42.13029154290699,41.9947611757471,41.76494336579551,41.81392912247197,41.70421451622224,41.452793784945065,41.50091722728264,41.17698507989251,41.228124464255366,40.99292968610523,41.161281856145834,40.842852421134076,40.7250910120408,40.669918929292905,40.701628109400005,40.52289912099008,40.41425603147056,40.220502021650454,40.25986156375004,40.14533493380957,40.08267155886794,39.933011482897165,40.03653524935187,39.78141731146789,39.96420122945451,39.79832580774774,39.76335682571429,39.808206795221274,39.83533557877191,39.9781657364348,39.93234490655171
10,131.70591406,123.71623353999969,111.62921209,109.227599196,102.08635118333301,98.30158765142853,93.77865279,92.61468419111108,88.221119522,84.60193327999997,81.9219175,80.65804955230763,77.83577097571431,76.143258492,73.51812407125,71.53681701294119,70.43525741444445,68.93472765157891,68.319911886,66.78529859619046,65.68548635000002,64.8611436208696,63.11284638083336,63.0588506632,61.88474254384616,61.07588559037041,60.45873252714285,59.506598780689636,59.3638702446667,58.94079775290323,57.962572405,57.92776002121217,56.52759010117643,56.38952251142856,55.721324350000025,55.09128510378379,54.63194164210531,54.25479695384612,53.423891212,53.97465788439023,53.064096818095265,52.226712674883686,52.05356785863633,51.99799627955554,51.11367678260869,51.179761962553165,50.85191104708333,50.28624295346939,50.1325926292,49.851476199999986,49.797181243461566,49.2709719864151,48.854143722592575,49.05870810690908,48.63361573678574,48.34128678912279,48.07811847000005,47.74134133559323,47.230250775666676,47.304291973442616,46.72964056129036,46.80215238634922,46.594882436875,46.5878504809231,46.17487297242424,46.19012259313433,45.68942905235292,45.57016104840578,45.49722509599998,45.2921044307042,45.03535051861111,45.03804116876713,44.80031525918917,44.168390488533305,44.45282957684212,44.306690665974074,43.81036114897435,43.74798008000001,43.6577643785,43.67311978617285,43.42534818024393,43.295929162168676,43.146928968333334,42.828103184705896,42.71268638837214,42.70094212183907,42.45123685795452,42.504482345618,42.29782337155561,42.024612258681344,42.017879666304395,41.86063543397854,41.71899391170217,41.561825390105234,41.63034501500003,41.39079001360824,41.20761865755106,41.21447518101014,41.1980754388,41.06067435287129,40.91754714647062,40.75970957689322,40.61059783980769,40.633440988761905,40.557197194150916,40.38330839383182,40.55270465185189,40.20483690990824,40.39033694527274,40.22368471459457,40.20963385839283,40.14999826106193,40.10792777508771,40.11488790643476,40.039097183275835
25,166.016328225,144.60438625000026,131.176572975,125.14700433,115.41832364999975,110.57621790714275,105.85705494375,101.17843519444425,97.81368949,93.75145939545457,89.94558886250002,87.8590521423077,84.47915240714289,82.85354908000002,79.9093202875,78.02191404999998,76.45246343888887,74.44537809210527,73.8395178625,71.74433106904763,70.76460440227275,69.63854843043482,68.12131752916665,67.247315636,66.11464643653845,65.28807054814814,64.5446268053572,63.443475179310326,63.3864929483333,62.34933544193545,61.4030853265625,60.7642778469697,60.309311588235296,59.7370681314286,59.24070414027777,58.47360901891895,57.848852060526326,57.166028932051255,56.82029935875,56.7631987597561,55.6261496988095,55.001287790697674,54.802549836363674,54.857148125555526,53.81157036521735,53.64155729361705,53.325786967708325,52.689476621428575,52.627988016,52.17181080784317,51.86667959711542,51.23303880849055,50.97913375555555,51.14571427545452,50.34202385714285,50.40853653771933,49.996912869827625,49.6087425161017,49.20197630750005,49.214294770491826,48.49671547338713,48.6362868452381,48.29978899765625,48.076998694615426,47.68324248712118,47.694523423880625,47.08687648529413,47.11658245724638,46.9099655357143,46.7214963591549,46.49404194375,46.28924795342465,46.12366367094597,45.781197356,45.66170420197368,45.58725473831167,45.2635476371795,45.1080935234177,44.921219449999995,44.858488320987625,44.601370111585375,44.442447590361425,44.20781028392858,43.925465731764724,43.87642901162792,43.80817898045975,43.461670398295425,43.402356051123625,43.27760283722225,43.07793839175825,42.9814501695652,42.9159694182796,42.69817262712765,42.5334058921053,42.49654761302085,42.308638228866,42.10197086581633,42.07062796818185,41.943992302000005,41.791861021287104,41.60791069411768,41.426000206310725,41.38953156057695,41.27058821619045,41.24855050660383,41.045820366822426,41.04449938564812,40.86520866422018,40.80544702681818,40.658031576576626,40.57081763616075,40.4416033172566,40.352172981578974,40.28412406782613,40.181791769396575
75,237.06783455,204.7778907333335,180.10709,162.27191016,151.76105505833326,140.86289728571398,132.64752606875,126.32500470000025,121.83663076,115.2686188954545,111.40522693333351,107.3123396692305,103.54369085,99.99205864000002,95.984235984375,93.20092700588235,90.48771505833335,88.22409886052637,86.51941862749999,83.89415789761904,82.9356205477273,80.82247125434785,79.51003592916668,77.88978344399999,76.0289589807692,74.83547772222227,73.71853474107145,72.3913027827586,71.56520956833337,70.80929088064514,69.1802581,68.5224648318182,67.10847485882356,66.84806489428573,66.08295347916668,64.74705469864865,64.00711729210525,63.3976373820513,63.012764785,62.46487850121955,61.607330875000024,60.7954869151163,60.036184610227274,60.298572974444454,59.2741356706522,58.837461640425545,58.63366339270832,57.8968980244898,57.588961236,56.914878136274496,56.35119495000002,55.57094063962265,55.4155924851852,55.195267984545424,54.811906345535675,54.255152679824604,53.85304036896555,53.5687901508475,53.13293648833336,52.82373917540987,52.237765558064474,52.103683525396804,51.8416097203125,51.510294576153846,51.29038265378785,50.870119329104476,50.4465948169118,50.23824339130433,49.86959796071433,49.70451194577463,49.42729587361108,49.2234856568493,48.9126286067568,48.726895968,48.269245530921054,48.247561704545475,48.033390967948726,47.679634735443024,47.343501085625,47.22358530925927,47.071788069512195,46.5859871174699,46.36869318809523,46.3114552976471,46.029756520348826,45.90713103390805,45.54815372045457,45.41074150674157,45.1949360916667,45.093800926373625,44.793375141304374,44.65935907258067,44.482246838829795,44.21248286315792,44.0737057661458,43.9051354015464,43.57223993265302,43.479935439393955,43.289083747999996,43.12894502128717,42.87547066225487,42.766654585922325,42.5686338879808,42.35102969619047,42.19860186603773,41.98130480280372,41.86740463564818,41.6612771055046,41.52532062045457,41.30770422072075,41.146470918749976,40.96265241061947,40.809011161403554,40.60078853086958,40.383842593534524
90,271.73463816000003,232.402702406667,201.69102753500002,183.85966094000003,167.5747213933333,154.65000816571398,146.3486218675,138.7153455222219,132.881594042,125.73781102000021,121.5775278199997,116.10716968,111.1243528642853,107.3116484453333,104.45946425625,99.68541905294121,97.35842935000004,94.75621148315787,92.25103782,89.5361620819048,87.46498431000002,85.77211941652169,83.9730233241667,82.537837352,80.08117060076923,78.72345458962965,77.67039825714286,76.75286351517246,74.8144364053333,74.16136122516127,73.02416972875,71.60471094545458,70.19479280588233,70.08494828057147,69.18613380611112,67.42076562162163,67.0099720026316,65.82054760820515,65.51953001800001,64.85339920146342,64.30690889380952,63.45842547581399,62.6080969513636,62.59059745555556,61.73614882086953,61.003700254468086,60.843726939583334,59.987060543265294,59.658592236800004,58.65022872156865,58.35995351461542,57.69274684566033,57.2996917888889,57.00065102290908,56.52522747357148,56.02129312912281,55.71574138034485,55.31189148067794,54.701125806,54.267495143606595,53.794627601612945,53.53563096920635,53.326311579687506,52.924205574153866,52.61879244848486,52.184738678805985,51.71923185058825,51.664087491884075,51.24362627457143,51.013674626760555,50.617779577222244,50.37609414191785,50.044640637027044,49.871870437866704,49.35737782368419,49.380054011688344,48.87509437230773,48.74123183367087,48.40582084775,48.08707081679018,47.94889276853662,47.55596262481927,47.23259191928569,47.08863660282352,46.85090436604652,46.72145674068964,46.35351964295456,46.15322390921352,46.0109666771111,45.7853313575824,45.482885383260864,45.32370155096771,45.148747569999976,44.833834762947355,44.65792962208333,44.53707436453613,44.156561984897984,43.99126156545455,43.8697367452,43.54679233940596,43.36009710882352,43.24941169689324,42.94381203000003,42.77398077238096,42.6170009250943,42.31424583495331,42.220528757407386,41.940508490825714,41.764505049090936,41.58528444864866,41.36964693821431,41.13256210088499,40.94922512228072,40.7070475483478,40.44083810189654
