,mpd10,mpd15,mpd20,mpd25,mpd30,mpd35,mpd40,mpd45,mpd50,mpd55,mpd60,mpd65,mpd70,mpd75,mpd80,mpd85,mpd90,mpd95,mpd100,mpd105,mpd110,mpd115,mpd120,mpd125,mpd130,mpd135,mpd140,mpd145,mpd150,mpd155,mpd160,mpd165,mpd170,mpd175,mpd180,mpd185,mpd190,mpd195,mpd200,mpd205,mpd210,mpd215,mpd220,mpd225,mpd230,mpd235,mpd240,mpd245,mpd250,mpd255,mpd260,mpd265,mpd270,mpd275,mpd280,mpd285,mpd290,mpd295,mpd300,mpd305,mpd310,mpd315,mpd320,mpd325,mpd330,mpd335,mpd340,mpd345,mpd350,mpd355,mpd360,mpd365,mpd370,mpd375,mpd380,mpd385,mpd390,mpd395,mpd400,mpd405,mpd410,mpd415,mpd420,mpd425,mpd430,mpd435,mpd440,mpd445,mpd450,mpd455,mpd460,mpd465,mpd470,mpd475,mpd480,mpd485,mpd490,mpd495,mpd500,mpd505,mpd510,mpd515,mpd520,mpd525,mpd530,mpd535,mpd540,mpd545,mpd550,mpd555,mpd560,mpd565,mpd570,mpd575,mpd580
0.5,205.6895154062218,217.68830851095262,227.10610885278965,232.350771173733,234.39149878835616,241.55450102307563,242.68915324774372,247.96300360870757,257.35262510762044,253.32358089376416,259.37047977515283,265.1083743175674,268.29174748409304,264.5994064878344,262.64475807843803,269.3934578398739,270.32247134877184,273.33808450604914,278.5160819751729,278.8124125305402,276.8288508006912,281.05735460175555,278.5269180083474,277.8345460931985,281.9554255822298,278.837981719437,284.5885933405226,282.61057851498714,280.73993677504967,283.11860885692124,288.6365247796548,286.55853152123683,284.5505541227351,288.6855743779059,289.3443877189662,288.7143978555886,291.0038581550104,287.77200007208967,291.20834611396646,292.6032420982112,291.56396580620094,295.0135860393062,291.48750315228915,293.351626721113,296.5199550363483,296.2048032896099,298.24654126901333,295.1174477362966,296.05358352977703,296.5111225628968,293.56528808895985,299.95855116577513,297.3190693175367,295.60719507986545,297.6951169119792,300.696150327239,300.6333053115128,299.06532131882966,300.87767410222597,300.407260283628,298.7705196068271,303.2706204003226,300.1864947481482,301.4796702397712,301.5350092528085,301.62164542667244,303.5318001228875,302.11521362206815,305.54118561834593,305.5639952191659,304.4598356987196,302.8949773059971,304.319257917543,305.3268116544535,306.32502626051297,306.3528077109458,305.0225794873191,307.21023938041327,306.13589399777305,305.91548811740313,306.90640744604735,307.7906811415043,307.2302681309545,308.16488278914557,308.42502198368356,308.4637078207225,308.11440962675147,307.78304683608684,309.5218538969026,308.67315975570875,309.06076472861315,310.07179782594113,311.59569747468913,311.9837361006803,311.21789499491973,311.2422923123409,312.2344283205781,312.44880559660794,312.4552351732812,312.81217299607914,314.56252589484586,314.0461847297073,313.37618333084833,314.8170898956403,315.2761241349444,314.5063171978148,315.7650722764061,316.29777225787535,317.48362889025987,317.3302817726695,317.1938482141218,317.77565942035767,318.1566441700999,319.6840980543547,320.688441391731
1,217.2830142486668,223.778998141905,229.25102001978928,237.75740075666633,246.32193719554002,243.8959050266558,255.23389123698712,250.37579012353555,260.17495367733835,258.93071449159606,264.38559231936716,268.3558404814517,270.9258050281488,272.60436153557526,269.95389496809173,272.8628265527843,273.9628466090885,277.26156522725177,279.5304086274402,279.61048981639976,282.8774643462257,283.43520174357553,283.7656845848362,280.8539664387609,284.4085780563997,282.7012393334065,289.7195260755966,286.6844156726836,286.3017521948692,286.3646557750495,289.60286880813646,289.6885104149685,290.5991556036746,291.28375977150733,292.94164309176085,291.04302351836304,292.34165309682277,290.29276419286856,292.7151664556749,294.35845873775725,294.22451735177117,297.97490846393345,296.2420509900629,295.3752558374845,298.5115125247133,297.8394193033744,299.8555017908329,296.259178709362,297.51083590283116,298.5995647643223,297.9964402705321,300.9511874962666,299.47939636202534,300.64956243632145,299.44523865284435,302.313259567357,302.0201904694546,301.12551515588723,302.8888040173129,302.1253968850996,301.36905052669704,304.94221895513385,302.5685983310524,304.6529117994405,305.55071847584014,304.83271016336766,305.4697761088466,305.8440508108381,306.986961257346,306.48207043138217,306.20889004482143,305.31835019868157,306.5830988829591,306.39801340108545,307.89819214240464,308.1136960127362,306.26009283412,308.7563941049477,307.7895820262824,308.20686767643485,308.8765744276775,309.19155652967106,308.3394470578656,310.3914693533326,310.24595610033094,310.3753068832637,309.6992694433423,309.4492775170096,310.64821745885064,310.6970422869605,310.9995042312122,311.2652148248175,312.53880189669536,312.8054827176647,312.22155592006163,312.7046645116587,313.2016867135328,313.2693645212874,313.87120282644355,313.84185066815047,315.32654855927024,314.6890057918192,314.27590566620836,315.4562249212756,316.00650008409536,315.7849106936301,316.90552012584817,316.9176004973805,317.7832100466562,317.9584706094351,317.9470790570186,318.5985579605531,318.5599884082503,320.14871109141745,321.0242590611492
1.5,218.98149551877765,226.06380722504787,231.15542222142105,243.638956893967,248.1081821847474,246.34034727591552,257.8542624219677,255.7823412118993,264.2834712066201,260.7799068758049,269.4806926044774,270.8962462182791,274.8553124618008,273.50131188911377,274.4700502571048,274.49831839661874,278.1682655023054,279.58434341222625,280.9885659096252,280.50473189707907,285.02593569524896,285.9310652605984,284.7370644349796,282.7373431317352,287.3478027522203,284.7741260838099,290.1574701091739,288.56191889867284,291.0293077714458,287.6874484638647,292.607617086125,290.63225146910827,292.4964738761563,292.96725692478503,294.7407507301173,293.68789089069315,293.3762187218465,291.23233888367133,294.518655439109,296.4981470895997,295.84660676274,299.60612482888854,298.22333718479155,297.35302372510057,299.767164844828,299.20450211963595,300.5248900914872,299.3977953862635,300.06003225099545,299.1337019676975,299.5533667454144,301.9855718698052,300.0143853460205,301.7779005030977,301.5585064280123,303.8515050215557,303.19820890940235,302.56606215046287,303.85964661503226,303.75220279077695,301.97819363467,305.7182710163623,303.868067833153,305.6225523270372,307.44396912837425,306.18577315784574,306.562973834707,306.72792200640833,308.5615761740869,306.90115045422743,307.4056698411516,307.8714533556315,308.235817565084,307.2847864835166,308.72043005752414,309.0883352196693,307.70887113522423,309.7514885897753,309.14611636812367,309.50001371330006,309.5313614522499,310.76095459881475,309.4639443945605,311.0106457942506,310.82044711286784,311.75109387157187,311.13043727091633,311.3507120971455,311.8660803069763,311.8750087178831,311.7179991324339,311.7232366930483,313.5390055778268,313.7030403953787,312.84052060646184,313.70838983415734,313.7962309711796,314.2376981921181,314.8145372932532,314.6829245438483,315.97000117987426,315.30766937309187,315.2840924122454,316.0878909723137,316.17909440618826,316.05560028977595,317.46791154183785,317.41000982854683,318.21269814643546,318.40023840934975,318.69624726551274,319.10004774444326,319.02463910602506,320.6238552665117,321.08927668845587
2,220.57193052311166,227.4586880906665,233.834506695895,247.47917670760032,249.4775306604138,249.62746525882355,261.597003809692,260.3837249561612,265.3244750593466,263.31045487967714,271.3513303968249,272.97425286842315,277.14724479166927,275.8608509350341,276.03823600250047,278.18259717242563,279.9534779197008,281.45482504606457,282.06161519355163,283.62138573342156,286.8513179335379,289.163088630084,286.8344855809017,285.4872941853577,289.2836897120525,287.9404286988835,290.8031624273815,290.1181151988888,292.8482434357171,289.3434613992094,295.2093492534352,292.28321889114284,294.53729958605254,294.2203620467598,295.76216534022194,294.8896258357018,295.34009099866256,293.1533383645425,295.1440867953387,298.11366666414006,297.4290156361512,300.82799725738926,298.958551743371,298.72440174583954,301.0892195880695,300.30966789839033,301.1589022954389,300.6031531157561,300.80685668352044,300.2151009597378,300.5814292580961,303.3957127571679,301.6325038217449,302.9938487203943,303.34171408114065,304.36847439765853,303.6346922810333,303.84007310139947,305.37556911166035,304.5113686561991,302.60971172959887,306.45173926997484,305.55187262182847,306.2718028566692,307.8926346439789,308.1101708174301,307.67600515748086,307.2731353956967,309.23218740509276,308.0423182152956,308.03515929111745,308.65386801196587,309.06561434698034,308.73717464285716,309.27537322267983,309.5761255899037,308.8794161835205,310.9913596095548,310.2222110985267,310.1822531537834,310.3200630620199,311.5971359479425,309.93260850869115,311.48164512649635,311.95408646327814,311.9435044360031,312.0177011817357,312.4082795072822,312.39492130491084,312.656364938354,312.3669859527037,312.5067366606802,314.2094397320093,314.2351580924355,313.60694312442945,314.63745160169856,314.71504287492036,314.91758854325536,315.45063097764415,315.3845422873965,316.2755239679446,316.2157702578337,315.72445575935814,316.6664741918788,316.60057176162405,316.78743174606615,317.83332364728966,317.7905144592385,318.5181527207715,318.791009870684,319.0176324758865,319.3867313708662,319.5672290835599,321.0106754408798,321.3902968051293
2.5,223.22188280833325,227.89668969238127,235.11306051907883,249.83652685166635,254.09686339896552,253.32091503739514,263.4102939639106,261.99012375469744,266.07745519616344,267.33837999410764,274.1289239900706,274.43655306009566,277.64629974563195,276.5443548552076,280.0359231560913,281.05748008422967,281.4914547090016,283.0996356827656,283.90291820994946,285.50057164994496,287.73099954399515,289.66433090265406,288.6700632023849,287.5477310837999,290.6594410395916,291.0351736278606,292.23576745440363,292.03947723601505,294.3127430098055,290.2020806286716,295.6109929660103,293.351159869516,295.09283621980296,295.1560481046174,296.4371903806343,295.80007978454773,296.8638434602271,293.9298872323075,296.618267615036,299.85757470297233,298.0689280043184,301.69093513742695,300.58015268165883,299.5610658698311,301.5273279753038,301.4064130079977,302.36401636949927,301.77430472499043,301.9924273650702,301.77338440169245,302.56402553805555,304.15639238722747,302.46598387859666,303.76414572169733,304.0649719199123,305.4497971792306,304.33623013295403,304.30578098982517,305.723565138421,305.6918701559619,303.9030065663076,307.1518825488457,305.823543706498,306.7454605454496,308.55976394329264,308.4854030379934,307.93402591572936,307.8806300099036,309.3666860080456,308.49473835261364,309.0310693185888,309.1185841878335,309.7793928590825,309.26660712806563,310.12077303515593,310.31065859055633,310.28323077350115,311.9638029689455,311.4140797827662,310.844055708527,311.04118465774985,312.1520719037307,311.2406225173561,312.00912897211396,312.29120504222954,312.2901578141419,312.5419740143911,312.99436197282387,312.88534286629243,313.54265999001643,312.9860267881361,313.821372466267,314.6789389254668,314.54479009319846,314.15625032268053,314.9587994723141,315.16018590419236,315.4138545488798,315.80595099425983,315.80963185539974,316.4603640684496,316.60315430734425,316.2345126197862,317.25106954415156,316.9342178393514,317.2194268253792,318.17798678750637,317.9402039463837,318.8893699720801,319.0371760139871,319.1793155461133,319.57608328580824,319.8258665750863,321.0930001769132,321.6907267606945
5,227.45383714666653,233.90853925142886,248.01819364000045,260.62903243233364,262.49921515023,265.45983800974767,270.24788465596157,270.82340950585893,275.4387697915513,276.1234747091583,280.607486248616,280.9209957636544,283.49632047927565,283.5038567817302,286.02815573977864,286.4365296368913,285.7923640025215,287.5674591552748,290.1521838246967,289.7249345978568,292.59227365172603,295.29276715565175,294.975010820861,294.5057701271479,296.0608370745083,295.6983064331344,296.17797108631044,296.9421812724805,298.0011468943178,297.4662484268374,299.42065981987804,298.15963287371017,300.02821835939477,301.02778527598053,299.73308524201764,299.76814599155716,301.6125811309579,300.10213078442484,301.73750798086934,303.01100601181224,301.4845813473366,304.6779699771053,303.2169826651624,303.70542179192483,304.6119316051587,305.2445899227605,305.9346723869229,306.17920937420564,306.2219690925238,305.8555134462347,306.06853670036287,307.28635329220714,306.60604100989656,306.8509055414256,306.7886655171749,308.0261680466272,307.3190229279047,308.26514834869823,308.70716748381506,308.35959711887364,307.3740164682527,309.851521830476,308.9239219416619,309.441179145303,310.4930202079245,310.8016515352937,310.30589535422234,309.9560764073121,311.66701375009745,310.9746419272217,310.6767041619652,310.8288831906108,311.7737466123566,312.06321972724663,312.02887840376104,313.0868132671404,312.8845682683095,313.2851797540644,313.32205695831277,312.4707273929921,313.2429155736548,313.80754913899267,313.3730452163829,314.2829709350005,314.0238025361702,314.1518340637869,314.1916507788722,314.81608109864396,314.7434602723352,315.2015609038061,315.37658960905065,315.4347916532096,316.20191551584276,316.0459084097921,316.2637670309345,316.7135725861102,316.89513288051313,316.8459483982766,316.8859534392453,317.07023003618417,317.35740126081936,317.6783170381544,317.73482052893763,318.4144553270086,318.2044672672647,318.6338515451311,319.01549396012496,319.23622492992746,319.62363524600966,319.9554226862392,320.154052178558,320.5054759222581,320.9649750831717,321.53277882835295,321.9823469734681
10,234.2633418333335,251.7182707219047,259.38786235368394,270.2994980100003,277.8208440349428,275.3018929031934,280.2392799433335,282.44464024949497,282.5188120540412,285.9627615746803,289.0633767378532,289.1159345006731,290.0160196867492,291.7043644456214,293.7707140375953,292.5966878382637,293.11082765111075,295.61045924886895,296.5341232541415,297.4034398812086,299.1450748673223,301.7919193197867,300.1799021247336,301.5851888320513,300.3817263706024,301.7378197673191,302.1094505830832,302.2107112357092,303.6165681386844,303.21315430336017,304.6524002615411,303.391037944819,304.4972187690641,304.9618115333992,304.2059621862445,306.0403351190595,306.31297087619095,305.9490236775577,306.9171430423666,306.6693699061023,306.29973933947633,308.6299847822217,307.79901695788675,307.97241606088113,309.0994877601481,308.9773685332895,309.2551525426608,309.8749516255139,309.1607811020239,309.8419573598577,310.0962167369767,311.05371246113737,310.25202956888927,310.8292856371862,310.3531234689251,311.5688439641463,310.9222089748576,311.4240603267517,311.84724485593534,312.0024329934171,311.145083176398,312.6776629758727,312.33117788076567,312.24260063083767,313.5402285249225,313.5874019073838,313.0884105660545,313.24294862291896,314.1260506271147,314.14860663923963,313.8108521182976,314.1022374595488,314.4052284470519,313.8342972922778,314.6207201978141,315.6885642816643,315.632325307029,315.5467848934599,315.0524148732431,315.1420617964282,315.34736249125893,316.0540379687099,315.5802242757131,316.4881484322462,316.1548870400932,316.101281561345,316.033374582198,316.8986402400809,317.0384980776513,317.3252867788606,317.5970533243039,317.7161603329549,318.0844710826505,317.70157660951384,318.2600130957215,318.4054164307543,318.5833949521134,318.5142887233432,318.664401859961,318.5159982685009,319.108608066653,319.5254521324408,319.34133564404095,319.9745277124664,319.6708215202933,319.9710930958567,320.2554325289357,320.3062663777878,320.6698220580348,321.1077992313158,321.1173199217627,321.4804896217939,321.7444571107074,322.2594480557345,322.7945050902612
25,270.96922150000023,281.38978706190477,286.8211872684215,293.55803176333325,298.55523732873553,296.35861962437,297.3896540887825,299.16439576868675,301.5711791640815,302.8207675848485,304.08097897838996,304.461917876202,303.19171886894446,307.2368191111715,308.241403931646,306.0363050042017,306.99379777315824,308.6386792378503,309.6426422590405,309.00120634981727,310.88298898265225,311.6973199617853,310.92823511908273,312.01909282438726,311.225294847197,311.65383618103897,312.992163561999,312.06230027155175,313.11266308554826,311.8168180571007,313.287263085731,312.51810040225473,314.00490348933175,314.15328636331674,313.01378644998454,314.3918481332847,314.116262550947,314.368216751837,314.77455843074125,314.4816085855808,314.817631762554,315.54632353425325,315.64668707945225,315.75949910525776,315.442894778783,316.688719670395,316.57275852039777,316.43334798824,316.3652649442895,317.07235758334076,316.78564230886576,317.67081229646976,316.808625876869,316.95780502071676,317.23831489919326,317.1821509076477,317.46651248324775,317.20106974483997,318.0522128026035,317.28789419046575,317.307044884873,317.6825006325145,318.4652612351045,318.2705687087557,318.28084512380025,318.363932212432,318.50430267915175,318.2003572740142,319.26166477161274,319.30696948970325,318.35439928652875,319.10233844075725,319.22841970302875,318.55673298793573,319.148731286981,319.375013131419,319.65333905378725,319.79665839198077,319.48037657530426,319.49445262035204,319.16428688445353,319.9580987974045,319.44996858515503,320.03457546588777,320.05829526085796,319.90571925102,319.77786231736104,320.5955249092873,320.48678099091546,320.57007917474925,320.664576851236,320.7884868315632,320.502321830143,320.77907141060626,321.1186777820088,321.5439900595677,321.258175979325,321.2555846151188,321.1472306895213,321.26403918582025,321.94478525275076,321.7988077232215,321.70375087578,322.083137986336,321.889688534089,322.11396728892123,322.207786990229,322.1025522889165,322.29391614089946,322.55254196873227,322.6541531723275,322.7611938040045,322.95958580069674,323.3451564346405,323.472347930503
75,367.86625137222273,361.8177483476193,355.239121697368,358.14374059333323,354.2106338425285,349.051195061345,345.89369147371826,346.8362317727275,345.39099638653073,343.0357208457913,344.019482427401,340.88506348124974,339.17716791211177,341.1324938034235,340.1551709628162,340.301477053081,337.74914811960076,339.75901973370674,337.3421518611615,337.3764669907513,338.17462535171,338.0382441871092,336.503436907458,336.21731068303274,335.0819802319022,335.1277473635715,335.33337833633124,335.19269389976074,335.0634106777632,334.82782132262224,334.12139470735053,333.39670906552124,333.8184503416643,334.59743424844027,333.13536173396926,333.864098497356,332.8767086869815,333.3467055002112,332.72213717085447,332.96050368586805,331.8821681485073,332.77137292384276,332.5535834800645,332.58517410438475,332.066307519385,332.53734151083876,331.9428323162305,331.521934475845,332.03327594458625,332.08387316215874,331.1515405496735,330.550627889966,330.921654167954,331.64980617953603,330.722863153847,330.49902592755126,329.5211030352525,330.01534606736976,330.79977576588647,330.0615464749135,330.5585113695635,330.1419568769585,330.462585657406,329.107617615708,329.9090209825413,329.75638528368074,329.015429256021,329.18280471370053,329.3047199154032,329.5216874752285,328.8589341832287,328.931127900873,328.89624713817875,328.2763593180392,328.7845802345265,329.238380012784,328.28655325500273,329.019415168766,328.26736279762827,328.44018526354324,328.20178725294903,328.0937408431063,327.8980503352935,328.44131281697,327.7958317636203,327.784276633132,327.66124866675574,328.0893065354185,327.69140850388777,327.32161771699174,327.53579885442355,327.0119363857342,327.48742732821773,326.99481956305124,327.20566403694323,327.07560819959525,326.7606334047205,326.769784479426,326.6781473704887,326.713160010518,326.57808552277095,326.4526612740923,326.30770782524473,326.2679381930752,326.0444640794773,325.9030406854148,325.768363986484,325.6321016146185,325.577787635736,325.40880466602897,325.4331507149823,325.18936602766,324.9880697852695,324.65338259788496,324.47796656470126
90,418.4364319399999,403.7332028819049,390.175281051579,385.2924668039997,385.1687978855174,372.6195363768067,370.04044358397476,371.86033444929313,366.5697041358372,362.9495471932657,364.21360280706233,358.12296431173036,358.4598708416978,359.2898858832437,355.9867611037971,356.23668046112033,353.9618761257932,355.111878318119,350.2761788281819,348.1445214645423,352.13190422982467,350.3987583695805,348.7388089327171,347.7358106565419,346.32365129791276,347.3099709941622,346.35959251098683,344.4417345337548,344.9118348115616,345.6867708660408,343.9596722419026,343.8713126601474,342.6476116941387,343.0056860808937,341.66373373338973,342.6578189282848,340.033369375377,342.3924140372825,341.2380453037987,340.17005494729807,339.9271711054498,339.90037108532096,339.0866838530846,341.1553159438493,339.1633668002127,339.20928086079687,338.9028877153977,338.5342909345201,338.018194125812,338.2168869876241,337.63711804969154,337.0346530497256,336.9708784680817,337.80615659705387,337.1516247899228,335.4956331151078,335.301345012302,336.3558037013908,335.4181814618952,335.31747108877454,335.6213596380918,334.97310457778997,335.2863674787107,334.1451920275021,334.56125890128044,334.8352978377623,333.9809264984888,333.7213546584331,333.8889690215358,334.0963385214614,333.5488040509285,333.3665571191783,333.1860986060442,332.6099033382762,333.0299317777948,332.8222145130169,331.99004958442134,332.8400623518092,332.4503805636176,332.279806678384,331.48804179540383,331.8446386705823,331.5464625323199,332.004075070002,331.0811099904291,331.1267026586425,330.9492061544067,331.5910461345638,330.7507233995495,330.1123424886384,330.5446614446294,329.94166810070664,330.1550147840198,329.5075837119694,329.7401996499861,329.3061602187867,329.1496762081998,328.89711810435995,328.80820580355953,328.6960832577419,328.4031733010072,328.2174828227279,328.24380607711174,327.8971169842912,327.6866728128994,327.4453678932161,327.02822099889244,327.1119393519291,326.8067623342861,326.3621786388211,326.2555234923309,325.9650755950598,325.66693318595884,325.20931138772113,324.5286899083709
