,mntd10,mntd15,mntd20,mntd25,mntd30,mntd35,mntd40,mntd45,mntd50,mntd55,mntd60,mntd65,mntd70,mntd75,mntd80,mntd85,mntd90,mntd95,mntd100,mntd105,mntd110,mntd115,mntd120,mntd125,mntd130,mntd135,mntd140,mntd145,mntd150,mntd155,mntd160,mntd165,mntd170,mntd175,mntd180,mntd185,mntd190,mntd195,mntd200,mntd205,mntd210,mntd215,mntd220,mntd225,mntd230,mntd235,mntd240,mntd245,mntd250,mntd255,mntd260,mntd265,mntd270,mntd275,mntd280,mntd285,mntd290,mntd295,mntd300,mntd305,mntd310,mntd315,mntd320,mntd325,mntd330,mntd335,mntd340,mntd345,mntd350,mntd355,mntd360,mntd365,mntd370,mntd375,mntd380,mntd385,mntd390,mntd395,mntd400,mntd405,mntd410,mntd415,mntd420,mntd425,mntd430,mntd435,mntd440,mntd445,mntd450,mntd455,mntd460,mntd465,mntd470,mntd475,mntd480,mntd485,mntd490,mntd495,mntd500,mntd505,mntd510,mntd515,mntd520,mntd525,mntd530,mntd535,mntd540,mntd545,mntd550,mntd555,mntd560,mntd565,mntd570,mntd575,mntd580,mntd585,mntd590,mntd595,mntd600,mntd605,mntd610,mntd615,mntd620
0.5,86.2251588235001,80.18376556233336,80.3345193275,80.7054242862,79.0606034325,79.43218499171428,76.13971058237499,72.77190569055556,70.8642532801,71.54169184327279,68.99875583075003,62.20887039023078,63.64855310628578,64.63241815793333,62.7234719315625,60.61581304141179,60.54786718538883,58.28400079999998,58.6632729552,57.26858760114281,57.11238666913634,54.96982659504347,54.24939965529163,54.01464957492,54.40725254069228,53.43905057518524,52.8764389463572,52.43806724351724,51.36120430540004,50.22756798222579,50.52497569303125,50.59262650778793,48.49908606276471,49.53785805900001,49.244251169749965,47.66863112740536,48.799708862947405,47.192151710512846,47.937573787450006,47.53258607212194,47.46363482335712,46.60985336460464,46.40365369070451,45.44307921088885,45.22717598202175,46.65545343310642,45.503486511687534,45.45443943108161,44.45162372448,43.6881047242157,44.57647220971153,43.08800473554712,42.912976059666704,43.37926380443636,43.06515498160712,43.16667977140353,42.03626127074143,42.455308016525436,42.35563549156664,42.55733076188529,41.924402665258064,42.483879944428615,41.8355694279375,41.6113350898154,41.510919682015206,40.95267327977609,41.41648428138237,41.44291025597099,40.50780801101427,40.84032561832399,40.71665028558331,40.71148683626031,40.97484884331078,40.416178518093304,40.451849528565745,40.68206713733764,40.20165911479493,40.144852874215154,40.3051036685125,39.84502254975312,39.56702279025606,39.49002252333734,39.52825807592859,39.713909277741166,39.33125127183721,39.2406954499425,38.80591244682956,39.39425722084273,39.36095515687774,39.04878764858242,38.85525266032611,38.74704944348386,38.51229535268084,38.64073033418944,38.37547523100003,38.45902043272166,38.48812055929589,38.711755003414105,37.70286446466,38.16708540192076,38.02932771248043,37.86885802680585,38.222686883125014,37.74320134645712,37.67805059818865,37.68754301662619,37.645025904629684,37.30453029455048,37.688581228118146,37.615994529522524,37.31496948042863,37.22859473342479,37.35439071994734,37.35949123588697,37.54778632508625,37.467907177598335,37.235373582042364,37.29429599363025,37.28110003853337,37.26763003146279,37.40603689552461,37.22955500297561,37.90816255292743
1,94.662884842,88.68458460000006,88.1973884,82.9375218728,82.27689073333333,81.81958905514286,78.27632187,74.46230250888894,73.803903473,74.07836203254544,69.95677127883336,64.81041071661537,66.43640095800001,66.73923995040006,64.42118974275,62.19150037494122,62.121465869666714,60.29397660831577,60.3693341063,59.134387984095284,58.40976342299999,57.111826494000056,55.74108073991667,54.995882261999995,54.85022799646158,54.17467732481484,53.943150908357126,53.83058572993104,52.96324318066674,52.31897194258068,52.028182732,51.967332857757576,49.64276209823532,51.02793792422855,50.6499103945,48.83406930686485,49.342229978947366,48.307036082871825,48.6043379541,47.92742357365857,48.0028522965238,46.98883544009305,47.24108638781817,46.31075088755553,45.88368499991307,46.87421028225536,46.199687299666635,46.02074547595923,45.40933633152,44.72414091545102,45.34742206973079,43.96809363049061,44.40281198022225,44.50793244356365,44.06354858174997,43.88615575329823,43.3694163478966,43.49516056328813,42.99995915439997,43.511487524557424,42.558047146612935,43.1285542270476,42.68215448265625,43.114963830799994,42.11130946921209,42.026196427223944,42.13688007732358,41.914836542057984,41.66939042774281,41.414187183295766,41.3182321108889,41.915118023863016,41.5516926477568,40.77605796237337,41.05111813286842,41.14052761548057,40.879427100051295,40.573794530227886,40.701134806025,40.264418099382674,40.28866078553665,40.17428309927708,39.92461002921425,40.07835792762354,39.712053330837236,39.56006954285061,39.24262101720453,39.688324296404524,39.73952661682225,39.49889354742858,39.28891117771742,39.466467393483924,38.89837924910642,39.102099383894775,38.718039662104204,38.79544601851541,38.702870074918415,38.861752682343464,38.33730242398,38.528851418376256,38.62815945880395,38.1479996568156,38.44381485201921,38.16819624897142,38.002146713698096,38.0731126813458,37.96603215251853,38.08040250526607,37.931237782272696,37.87000412992798,37.67787525935716,37.63943703435397,37.74111173584206,37.49576414045217,37.660891513465515,37.59324087052989,37.52884934220336,37.521958825714336,37.38037895713337,37.36286700424789,37.57735438244266,37.28372271988622,38.0349873688387
1.5,99.54011690349999,93.1695202543333,89.51509472925001,87.3863600778,83.8891325983333,82.92515440485717,80.216329438125,76.96535765233341,75.5659370083,74.74795559918181,71.4153157023333,66.1732807065385,67.3258321793572,67.33079169279999,65.706794997125,62.90446928541174,63.10841172977777,61.142988908368444,61.9751727548,59.93647113152379,59.06135146981818,58.03846588069572,56.4642573895833,55.402899116280004,55.4290327825385,55.124687312222186,55.373095350428585,54.175373516034526,53.6642358044,52.80051476316123,52.544253950937495,52.359860849272735,50.75148968176474,51.499938961,51.07411587469446,49.500598982729734,50.3661837793421,48.88951063641029,49.0080025682,48.555532832536606,48.72387271985717,47.70926091074424,47.98418108129545,46.7106866516444,46.314678283608664,47.10122203055325,46.49822626225,46.43679020073472,45.74006962692,45.47721646364702,45.89421120607692,44.60516734818871,44.76849742729628,45.063707269036385,44.557183754214286,44.251149077052624,44.05792442691383,43.91239332076272,43.6439684114667,43.634687708,43.348593593548436,43.428033682285765,43.0761284641875,43.3728730272615,42.46914641662118,42.824695668328324,42.435368847279385,42.195189269115936,41.97727173687141,42.06217640149294,41.632897905527734,42.071181068958865,41.861305738594616,41.00699343952,41.332981627276354,41.74359243387017,41.34913404714102,40.88429212625315,40.9478110071,40.77401541218514,40.78305369712193,40.48607669948197,40.1917883988452,40.439491216976435,40.175566518116305,39.86651660481606,39.583950180761356,39.81051325702244,39.97072232303337,39.823803713637375,39.58425937298909,39.58952966117205,39.20069258621279,39.21496525157898,39.0274928457708,39.09615724700003,39.14007707568371,39.04271624616159,38.61961436456,38.77008540798018,38.897543484539185,38.38708938646604,38.56363089295198,38.308971634619084,38.1319147305283,38.229873856018735,38.1247833829537,38.22083558105506,38.043482765518185,38.02468279192788,37.97239009749998,37.775774894601774,37.847270634614034,37.65764081394781,37.76140366149141,37.660404087435914,37.631693622169486,37.70713433964706,37.5469162885667,37.65258718433886,37.64515410463114,37.46675879654471,38.20430339150808
2,101.661572862,96.60964017733336,90.841429418,91.19251348160009,86.5375547066667,83.696587776,81.50941697100001,79.25216737911107,77.5682439252001,75.90316481090915,72.65313333666667,67.26585969138463,68.62457548457145,68.13435623600006,66.58426001325,63.75166933952937,64.21215161822221,62.853359633473744,62.53081379,60.676403211428564,59.563735985090936,58.80595219286962,57.67597275866667,56.325172709440004,56.226688768307724,56.08760852622222,55.83178305700003,54.3932611148966,54.9740844753333,53.069773528258104,53.243507217375,52.518775141454505,51.56059670047059,51.72979922868567,51.55507522977781,50.49857052108109,50.80297704115786,49.14917554820512,49.3443465393,48.959253366341464,48.93030115314289,48.18326506251158,48.45309081781816,47.342072676088854,46.98106018399998,47.328870839319165,46.861312829666666,46.654588662204105,46.28284498024,46.079081604235284,46.07512260915386,45.241564401056564,45.35129612940738,45.25856608705453,45.124006095571445,44.48794326807018,44.587965942827545,44.26361064054242,44.37228675160003,43.96756729540987,44.03895735593553,43.6906995271746,43.2273200654375,43.572313490030794,42.99209930587876,43.245564883044736,42.734385003117616,42.45659650127539,42.311273857828546,42.23949844028168,41.822658895333355,42.39790458958906,42.024950579081086,41.21395195519997,41.66253808863161,41.897155628883176,41.52612413738461,41.122544390379765,41.166646929200006,41.14457421387656,40.93887781726831,40.77649276978313,40.46100949538092,40.583785882023584,40.26500288190695,40.22169037135636,39.82480797450005,39.923398140943796,40.03838332497778,39.9851616264176,40.04676413817396,39.68219764511824,39.560746374978685,39.36891505949471,39.23423398079167,39.196496559628926,39.39737736648981,39.186381944888865,38.8432044834,38.90641217497034,39.05651747298045,38.57824457161162,38.61369210407691,38.39298025977147,38.23785955464154,38.47515984295327,38.2804351318519,38.32347130099083,38.310232216400046,38.112853304504526,38.167322726035756,37.997724410017696,38.035663466140306,37.8362306363478,37.92276693900001,37.73889820714533,37.68192381477969,37.79764199280674,37.709465604533364,37.68761672439673,37.91384229091804,37.92041244299189,38.23676570670968
2.5,105.0961222775,97.59077078499998,94.71576104625,94.0181779059999,87.90134994000006,85.04345884357149,82.52653031125,80.18711633333335,79.5709645485,76.68337495681823,74.2020895145833,68.72197704461539,69.74634020357146,69.3813117956667,67.178833343125,64.60538925,64.70279643777778,63.492386065789475,62.80665116225,61.29087152904762,60.58707796954544,59.683426404130444,58.30051688937497,57.1928910394,56.96737559692301,56.63173613370369,56.40881542500007,54.80413791810346,55.26896095833334,53.71229089000001,53.76949443609375,52.99034572909095,51.89157235882353,52.12884160642856,51.80444943680558,50.98202683270271,51.00139889223685,50.14855331192308,49.63574812775,49.03074240048786,49.360646240476235,48.587163398488364,48.591110380568146,47.8553453344445,47.217635800108724,47.773043789361715,47.24106931010417,46.948238086326526,46.6491470076,46.25380857735292,46.668665017596226,45.58903768764152,45.61387249083334,45.76917426190907,45.33099305330359,44.692685187807,44.70795313577585,44.586468116440706,44.603387854666664,44.26361747426234,44.256589500967735,44.15011172722223,43.40487447460938,43.82511417753848,43.399676887575765,43.55423568223882,43.07175316455887,42.84547659427533,42.54640745100005,42.4773606447183,42.222418430069446,42.58528402534243,42.23891866966219,41.4487028354667,42.05086976375002,42.061281083506486,41.585071438782045,41.46563493955697,41.417519905812505,41.26851090901234,41.096937508536556,40.98192354307229,41.00718038452379,40.689458577882384,40.40961294523262,40.50713090166672,39.99504889596596,40.18732758455054,40.17532468744442,40.189983958406636,40.12863378429345,39.762825984999964,39.63593473234049,39.4991668323684,39.37949628307292,39.317378151134044,39.551666710714294,39.34925233489903,38.919080116349996,39.010283498613894,39.13615609504902,38.850343058495184,38.68080672341345,38.696245341619026,38.43059302424533,38.66710903593458,38.553522088657445,38.435501079495396,38.40185020554547,38.254279345045056,38.196363710312504,38.06293560809733,38.177540877719274,37.93317869308699,37.987997719612046,37.89307143435902,37.776012900127114,37.91064393474787,37.7816872821667,37.77055347739665,38.02947950930331,38.06150448455283,38.2762443858065
5,117.6580271,105.4583959399997,104.8803144825,100.089298568,91.67443124833333,89.7672318185714,88.36422832999999,86.91515376000004,83.808095451,80.06921812727273,76.88316353000003,74.07003504615382,73.0485581842857,73.10519947333333,70.980439734375,67.85316198235296,66.4726215555556,66.19849514052635,65.326728838,63.87041944000002,63.145472789545444,61.437827351739124,60.44850104000003,58.9289103304,59.14368823153848,58.242269124814825,58.238562878928626,56.86956504896552,56.760756254,55.406676611935474,55.250320466875,54.78630841878789,54.27705158500002,53.366693610285694,53.35422674305553,52.712308837297265,52.37252841315792,51.78447010743592,50.81423391,50.20498460878052,50.957384070952365,49.87829301488368,50.06256992409092,49.22118999577782,48.67678705086962,48.56903922085106,48.85431111708336,48.30815691591841,47.714284172999996,47.888206775294144,47.489548595769264,46.87830347999998,46.927850874999976,46.74649870000002,46.48593773303573,45.92715806526319,45.610242521034465,45.55396950372882,45.54755980483336,45.514223165081965,45.27863455435485,44.97841100809526,44.367358695468745,44.5984543484615,44.322549390757594,44.08385450014927,44.13195236705883,43.680716222028934,43.4944350908571,43.33195002140844,43.28873730694448,43.30690223438357,42.963191349324376,42.43914888133333,42.73567926934207,42.66580612181821,42.274879373333356,42.347938870506376,42.046734460875,41.84967814160494,41.78000635548784,41.48828308674698,41.43775608726189,41.281878334000055,41.15545494720928,41.03428579206902,40.85826249420453,40.73210891235952,40.69611001499998,40.681970956923074,40.68806035304348,40.330828048924786,40.12535468329791,40.20369361957892,39.965427295104135,39.712316443505145,39.980579156428625,39.79060798333336,39.4959901898,39.46312151455444,39.55430309519609,39.27924237320392,39.187142403173084,39.21712025961904,38.968929737924576,39.057652103177595,38.85573238157412,38.815115638073394,38.67330301154547,38.559422747027,38.54999974625,38.53393164309731,38.42022795368424,38.415965392869545,38.34466280043101,38.25018605923075,38.256724256694945,38.11953532210084,38.16944188949997,38.25505010140498,38.28675923819672,38.25109953186996,38.332939540161334
10,133.11175425000002,122.453254646667,113.18151634,107.49385324,99.75355436333335,96.73949733714284,93.51153968999992,92.72054363111114,87.52411349000009,84.45876382181817,81.10949704000004,78.71360659384618,76.44943585714287,76.39915514799995,73.8633787875,71.67005384823531,70.44418087999998,69.25430828105262,67.750400318,66.49393114095237,65.82976794181816,64.34639991130436,63.11604105583339,62.220365878399996,61.074423922307695,60.514746302222235,59.89322186142863,58.86269197310343,59.09578914533331,57.42085773419357,57.339144590625004,56.69398244666669,56.077864331176514,54.94897423142853,55.04268977777779,54.21927659621621,53.91164827842102,53.639294533846176,53.064097154,52.483492741463444,52.510291761904796,51.37693157953488,51.46943306999998,50.73305085555558,50.482725007391295,50.27112855957445,50.28474278541664,49.97317109428571,49.393939005600004,49.126441639215656,48.98555769538467,48.37034289924533,48.04691343592591,48.035889078909065,47.71223772500001,47.230048832982504,46.91443560137932,46.80891853457629,46.614598515,46.41015619180333,46.37550833774196,45.83028343523807,45.8192047059375,45.84011210092311,45.609846168484864,44.910869714925404,44.948752889705865,44.529886730724634,44.59765561314285,44.15351981915496,44.10141200249998,44.02848678931507,43.81633492999999,43.47410127893336,43.51977159578948,43.23791209584417,43.1946312269231,43.01938797670885,42.759591758000006,42.70697914518523,42.55336495048783,42.30303128457833,42.19501078666667,42.05399265741182,41.77940562093026,41.69727150643679,41.63747615909095,41.37420646876405,41.29667062355552,41.17555593999998,41.180945250217356,40.97225335075273,40.72537363914899,40.65055442821049,40.58322699895833,40.39351276329896,40.46244319693877,40.291465588484876,40.0288054732,40.0226210326733,39.996434934901984,39.834396817864054,39.71992264788462,39.573517221904815,39.53746402566036,39.48193530242988,39.264740297592624,39.304613941651425,39.070856551272776,38.983548894774785,38.968640934285766,38.93521446743362,38.8952582598246,38.74728092017391,38.789252019137955,38.63742925777776,38.661130212372925,38.423515898823496,38.5052263923333,38.48427848760334,38.451806683606534,38.40495000926827,38.43451329612904
25,160.02794947499999,144.699190116667,128.73035143750002,121.36477773,114.963299091667,110.06059603571424,105.44899195625,101.0779631722225,97.26787563,93.04834964090912,89.97695292916664,87.5871520692308,84.56835474285715,82.03568550666668,80.3677329625,78.31318005,76.03989927500001,74.15881906842111,73.14036544749999,70.9683819285714,70.81363026818183,69.53204161086957,67.9782768125,66.549951424,65.61887476730773,64.58379344814819,63.724272710714274,62.74151073793102,62.55817623999997,61.28711358548385,60.958637542187496,60.59155529848485,59.303595816176504,58.28150262857145,58.2982549375,57.31442990405405,57.04116932368425,56.52325834615385,56.056700141250005,55.608949800000026,55.01283476428573,54.409612556976775,54.327013427272746,53.470301167777826,53.3102277652174,52.95478528829787,52.692854541666705,52.2007700326531,51.402327655,50.98651347549018,50.841728575,50.713794759434,50.098475337962995,49.973338488181774,49.64970746607142,49.336922243859625,49.1078356344828,48.8243645423729,48.53351184083335,48.3182516368852,48.05013211048385,47.691685869047575,47.605331910156245,47.44114479307693,47.11348576439397,46.570609729104476,46.60559399264707,46.27480570362317,46.02558580571428,45.66401874718313,45.640558897916726,45.347348110958904,45.2137567797297,44.94997086799998,44.753215949999976,44.5902006324675,44.39097872820513,44.366441261392424,44.085871665,43.96269133765435,43.8662688018293,43.48059325602407,43.31298702678572,43.31499302117648,43.06711354709305,42.90527613563215,42.69008526136365,42.50606384887642,42.46419350166667,42.32840779725277,42.099280328804326,41.859073046774256,41.75020896117025,41.7087234131579,41.49628004791668,41.400185608762875,41.2801537061225,41.044460668686874,40.976538162000004,40.84960947970298,40.88187998872547,40.62622268349518,40.459027816826946,40.39210667904765,40.236599164622625,40.198644616355125,40.0649459759259,39.999726553211,39.8419422236364,39.746163981081075,39.641067280357206,39.54385947433625,39.4647133355263,39.35690922652175,39.27449793103453,39.149191640170926,39.055187891101724,38.90792734999998,38.86108957999998,38.7540531516529,38.68647074303275,38.597536976422795,38.5365890197581
75,232.353672,202.09657783333324,179.04310911250002,160.44221016,151.235207066667,140.9895064071425,131.93899824375,125.7160267166665,120.70242556,114.0840571227275,110.1918614458335,106.26625033461525,101.739197046429,99.32960421333333,96.179829084375,92.82302636176468,89.98003566944438,87.34281371052636,86.3851858425,83.4863004142857,82.40312107954546,79.84136665652173,78.59266630833332,76.913335338,75.64669394615382,74.0939976203704,72.98638499464292,71.81462483275865,70.94097105333336,69.8911840096774,68.8063270078125,68.05813220151515,66.83227223235292,65.80891557714286,65.38320866805557,64.34449079594592,63.469399786842075,63.130586779487174,62.174892801249996,61.48878076829265,60.73818706785715,60.08766390232557,59.949755640909075,58.71442710888887,58.75888109891302,58.1187414319149,57.82360786666668,57.31622195408165,56.354094367,55.957045223529406,55.41704758846153,55.29081221603772,54.91530782777778,54.1031154090909,53.95017812857145,53.621963604385996,53.174840372413776,52.944102101694924,52.3120546866667,52.068580772950774,51.72999461774192,51.36936125952383,51.35463794453125,50.92553393,50.6399063621212,50.14258829477615,49.93645043382355,49.51950468043475,49.301012850714244,49.05299558521128,48.87123053194448,48.45745115958905,48.25806818513515,47.869749446,47.74478941052632,47.50226739545455,47.228935800641054,46.9588559879747,46.671985580625,46.485530368518496,46.31009570487802,46.13876516204817,45.81628079583338,45.50145633882357,45.43228704360465,45.17227185747125,44.94457934829548,44.701744554494404,44.49953551,44.3475378258242,44.13197917880437,43.906542890860194,43.8140676680851,43.62799295000005,43.38306495260415,43.143928296907205,43.050782761224475,42.850157348989924,42.6309571695,42.50336945544555,42.385806657843176,42.153539338349525,42.0082388427885,41.7712102947619,41.60352534339625,41.43597529018695,41.268666126388894,41.20685487110092,40.97843320545455,40.78915025405405,40.68605928616075,40.49587848407083,40.36249213859648,40.19201456913043,40.038707940517256,39.85997015128203,39.70288893813562,39.54013935798322,39.38970107125,39.22583587396695,39.0576994631148,38.89803090081305,38.68748621169355
90,270.83653973,229.310339986667,202.65487585,179.01876040800002,168.410925433333,156.4819954885717,146.8687678125,136.9354118644447,131.720789196,125.6981045563635,118.120086726667,114.1659768800001,111.17884828999969,106.6259149733336,103.87465286999999,100.1434416152937,96.32235146444448,92.90261042315792,91.84408992200001,89.14229564285716,86.9497202009091,85.01332285913048,83.20447671166667,81.318040524,79.96981179846155,78.19390376814815,77.11933992285714,75.60428714137933,74.7680980413333,73.60200339096772,72.14507904062499,70.89968407272727,69.70800825470594,69.0444727034286,68.20801933666664,67.42368672594591,66.50226360052635,66.12262813333334,65.2278514015,63.826868002926794,63.609384846666714,62.44239965069766,62.198500604090924,61.6404026942222,60.87339974391303,60.58800437574469,59.89566262041667,59.18669728734692,58.367947302000005,58.20001161098039,57.46592006153849,57.42298095509431,56.716691902962964,56.07233631636367,55.793301552500054,55.36551408561406,54.814416622758614,54.78583439694913,53.89837475999997,53.75356848885252,53.352165145483895,53.03854307269843,52.8578033859375,52.13999103415385,52.04434227,51.5415026113433,51.29220677235296,50.88964133971014,50.58943632542855,50.450331838591595,50.13206446249999,49.85061588602741,49.51678719891891,49.14230699093333,48.88810273763155,48.57634333896104,48.26844897512823,47.99997773670884,47.772569473749996,47.62696994222228,47.37318116804881,47.06021017638552,46.8105854145238,46.4003696818824,46.33473699627909,45.95061523609195,45.87765934659093,45.56834024404496,45.312168878000016,45.16720550703293,44.96903500956524,44.72081255440862,44.6405018387234,44.32726433221054,44.109825556249966,43.85369308226803,43.74884685836733,43.498325747070666,43.303894158,43.040466518217855,42.900800785882346,42.68642256466021,42.61701076884613,42.22797113466666,42.17083568207551,41.86810023962615,41.70492406648152,41.6757234981651,41.360851361272694,41.16534756324325,41.1051853617857,40.85223403592917,40.705418114035126,40.51618382226087,40.32291996465522,40.14067766940172,39.95275579779659,39.77783431915963,39.59213712550003,39.40640035272726,39.22079859491807,38.987664879187044,38.73758845967739
