,mpd10,mpd15,mpd20,mpd25,mpd30,mpd35,mpd40,mpd45,mpd50,mpd55,mpd60,mpd65,mpd70,mpd75,mpd80,mpd85,mpd90,mpd95,mpd100,mpd105,mpd110,mpd115,mpd120,mpd125,mpd130,mpd135,mpd140,mpd145,mpd150,mpd155,mpd160,mpd165,mpd170,mpd175,mpd180,mpd185,mpd190,mpd195,mpd200,mpd205,mpd210,mpd215,mpd220,mpd225,mpd230,mpd235,mpd240,mpd245,mpd250,mpd255,mpd260,mpd265,mpd270,mpd275,mpd280,mpd285,mpd290,mpd295,mpd300,mpd305,mpd310,mpd315,mpd320,mpd325,mpd330,mpd335,mpd340,mpd345,mpd350,mpd355,mpd360,mpd365,mpd370,mpd375,mpd380,mpd385,mpd390,mpd395,mpd400,mpd405,mpd410,mpd415,mpd420,mpd425,mpd430,mpd435,mpd440,mpd445,mpd450,mpd455,mpd460,mpd465,mpd470,mpd475,mpd480,mpd485,mpd490,mpd495,mpd500,mpd505,mpd510,mpd515,mpd520,mpd525,mpd530,mpd535,mpd540,mpd545,mpd550,mpd555,mpd560,mpd565,mpd570,mpd575,mpd580,mpd585,mpd590,mpd595,mpd600,mpd605,mpd610,mpd615,mpd620
0.5,212.66328890888911,216.51062325104724,225.65191867449957,229.50520692640035,232.45457131808018,235.63627763183192,251.6100853388208,251.23771516665633,252.16966461264866,251.6750785832056,252.671697085554,258.129156677149,264.72959348739306,265.1391151145153,266.7054006072277,265.22831433247933,275.922183977537,274.6512617423982,269.5151484557365,274.8336839513222,276.96179789105935,274.92568755776983,273.37686052965495,275.4844603628401,280.95151752345794,279.74256178868006,283.01312267191054,280.83298202401016,278.94354682481804,278.64189737608257,287.00895647112395,287.2437714697018,285.74806040987124,283.5227444683383,287.26820928954726,289.68462930584025,288.76627452607437,287.92209295083467,288.77071284495116,292.2720907293814,285.7511780357774,290.3917975665713,293.9454218730389,292.42266665136236,289.29796486066573,290.99733001249183,295.4665750950468,295.63891374288283,293.78065675015137,295.46227940755546,294.60435237175153,295.95889840509454,295.17805232696924,294.8230500265106,296.0686480418434,295.9198685374907,296.0853697124859,293.5868986942229,297.41611752577256,300.07434006083565,298.8894351574256,296.376008992308,299.36486994891214,298.2463131523302,300.4876687649823,301.2356686610941,299.01827432475415,302.2182789089076,301.28092189737265,302.34435760410184,302.89937966425134,300.7499442510024,303.4604125825195,302.71162889527386,305.08256531323474,304.91541467166314,302.1432935708382,303.5889092555741,302.0408815562973,306.6570028484578,307.22525201557056,305.59839521326813,304.5679857288117,304.00382195765854,306.88665707790744,306.4692186491419,306.4962216693687,308.1550065195745,306.94886508780303,307.4674010361452,306.7615115110863,307.9561121762942,307.52747521865626,308.7909281479105,308.0122509642517,307.3627522407987,308.67167957668744,310.0721559291139,310.4363695636541,310.4478314903662,310.91846744798806,310.5766088836444,310.69015547492273,310.76068130844345,311.6729368968312,311.2571797059344,313.03158348490643,313.0664101186487,312.7532230678157,312.1887277068575,313.63734320497434,312.94093030544764,312.72295700710583,314.6156080733636,313.59969403144294,314.8176829481843,315.68197166830146,315.41242116197765,316.3979030994902,316.9876633987033,317.6240808225697,318.32866887323405,319.30258367243675
1,214.5538357913329,222.44056000799958,229.71445761552621,234.72219536846666,234.45138600027624,246.3953793890421,254.8756863401799,256.1169443342627,258.8146611353631,259.7060298110978,258.7017934422145,261.8810497880769,268.852843813975,270.6282238736149,269.6830994162436,268.57130688606156,277.0222323968212,278.1200156003497,273.90341321094934,278.6744949053734,280.62119813036156,278.3980585544382,281.39702064741857,279.4912739166785,282.84712821428843,284.07286645148434,286.3537757284313,285.66549370251204,284.9947595027793,281.5815518565032,288.9796309657814,290.2087400845438,289.995540535442,285.716839878107,289.88116850094315,292.2356800037554,291.78141024627985,290.9014755816636,292.10676546503106,294.06755243830503,290.4038660707197,291.89722399747336,295.68505664712626,294.6156458609103,291.390417380575,294.88810851374313,297.7491854884271,298.8491152956583,296.1440982778123,297.0077834308447,298.2074306475708,298.8604588283107,296.04102990586387,296.14487140394846,298.41621154154524,299.102905636733,299.30906289452116,298.99826642035504,299.5575723819028,302.08435153903145,300.45383560374563,298.95355692521315,301.5960447040944,302.12229359332207,302.26193764204055,302.9318505989975,303.38001416284015,303.5663833278552,303.29468497023026,303.318825323609,303.2886539183605,303.5253557938343,305.3785881908814,303.5720676847406,306.67026785082027,305.890908018121,304.3171451365703,305.80596056761567,306.23281427933057,307.47538764220076,308.1002915131504,306.99691466381927,306.34779358957434,306.3222089106218,308.34700739136457,307.1270976753106,307.3754430123285,309.2050400569067,307.65070858543555,308.8999658933651,308.4494968434045,309.06166743898694,308.73231990526233,310.47161525503134,310.00771421237874,309.78501291162996,309.89187848619014,311.0271794556406,311.7469527177304,311.7037973795145,311.7183817671209,312.00620454495436,312.4096134205353,311.93270428058247,311.9771033055922,313.137242773643,313.9972689561303,313.7634613612666,313.5146899478689,313.6482764932292,314.7449301095848,314.0813796403873,313.68003209845466,315.32308930319937,315.26785400555167,315.29345692342235,316.145063474719,316.6279801447344,317.48032380557095,317.6418477574111,318.3365538620572,318.6462167643732,319.6321916375472
1.5,216.619073017444,224.0481432324767,231.76222117297348,237.69683859309998,245.21624474467802,252.6295051155628,257.27992374821156,259.34207506440447,263.9953889422856,264.87079467584556,263.0593861638811,269.05242363975464,271.8128402681552,273.51669666725405,272.8333645824523,273.06893911248716,278.04993836443583,279.6081865668852,278.35793559392937,280.7117343397674,282.1291963181781,279.93276058708585,284.1963409821489,282.141195598854,285.8143503631712,287.2176655056308,288.05310106881905,288.89299527656914,286.1924513413335,286.2943526283938,290.2296974326796,291.87266512640974,290.7546633387535,288.28551846527074,291.0510750572808,293.4896294735212,293.61969613358076,293.2129967859534,293.8776293665894,294.8680404200996,293.29136353309394,293.52918964229434,296.9530564774859,297.588105243025,292.9339011495708,295.806555787982,298.2864023183907,299.91082792931496,297.67133331940533,298.9496098430418,299.9253122678785,300.98592580139183,297.90683350380067,297.85511935746695,299.3045426511663,299.964219966658,300.24066881755925,300.57905057503467,300.6012747459183,303.0882406818264,302.90158071849453,301.27450586273085,302.277500246598,303.1260684697915,303.3100897283303,304.4138569020051,304.17715246173793,304.7005186417643,304.08337130460524,304.46902825864277,304.20888510569245,304.56349969228654,306.8301312585812,304.62153277939007,307.3918929321637,306.5367091279323,304.95217048924815,306.53970907923025,306.9342531657833,308.27105085794165,308.53970655200146,308.455530733761,307.4988798604914,307.6086983402779,309.1391387339284,308.17137238698734,308.1770200830429,310.1230949919775,309.7543647522799,309.9452806563086,309.1856914352956,310.32796807089716,310.1948736311306,310.6941532441808,311.2008850778146,310.22275096540415,310.35672160057993,311.34065559294487,312.5828642574423,312.0709483160987,312.9018593570312,312.42890969536614,312.9729052406087,312.81653527633256,313.0667738208463,313.54505566386854,314.48299061848957,314.9580324920097,314.44009087403305,313.94209775421774,315.1473835581034,314.4841453135394,314.91786649377644,315.7492391102522,315.7934148601599,316.26256491430985,316.7414691506997,317.14691422342395,317.83466961396743,317.91755532923776,318.69786546468146,319.04729867646483,319.89956662196397
2,218.31063521377808,224.78114231847627,232.68821720242056,242.79141802106668,245.6688877217014,255.56246836551287,258.95647532220556,262.12863805963605,265.4772006825472,267.182803409886,266.43676240119726,271.43962857882684,274.01715598039766,275.32169479992814,276.7159067568858,275.24303421947343,279.36991549795215,281.7247854710322,279.84534000905836,281.42217784393426,283.29618125773453,282.03477977199697,285.82311025149835,285.2800967113915,287.7509987313422,288.6066809178197,290.47770144694994,290.8687919482303,288.30361620622256,289.3118168312324,290.9933416444197,293.8253038728275,291.89477588549823,290.6070496051545,292.7822959692858,295.37054240507643,294.5362420220623,293.8309985361103,295.87971227367615,296.80892105283937,295.92162211810455,295.7264952327151,298.7700090912672,298.2886522437098,294.35041583809175,297.2301590696181,299.4829237074807,300.4647930215937,298.96817618940287,301.16632712453446,301.3532827529638,301.2009171870818,299.69608340083334,299.64381456443624,300.6758375740532,301.3824379662591,301.3934716974522,301.82381668543456,301.2337177186478,303.4459352550359,303.81156514543653,302.21339928472247,303.3800323552275,304.13893503612206,303.74794351752513,305.26884401363026,304.595846399578,305.5602947968536,305.07021667382315,305.3689965290958,305.11408211188905,305.3964482484437,307.72794374153324,305.5308400910397,308.1945584062054,307.6236633329395,306.31189771120023,307.7173723270236,307.9262392916449,308.78327841573673,309.3391909117682,309.0057329216444,307.60015423600095,308.2847694695488,309.87166476054455,308.8893833568124,308.9462911535881,310.89984696217965,310.6505713298945,310.1611182218683,310.17599914959334,310.8741947993825,311.43954463823127,311.18978763612245,311.69071880648397,310.8402624671265,310.82472591785535,311.9039517102251,313.29217926074693,312.7972735381564,313.3513804214181,312.9632519816591,313.3926176902462,313.2053936244657,313.7211844444328,314.03306876358084,314.78172337113995,315.2201972088327,314.758746328197,314.45610254818075,315.41514389284674,315.42668175082696,315.743017003371,316.1782194345047,316.47031128645807,316.8158080362695,317.10970244236205,317.64983032947157,317.94399171538186,318.35590268623105,318.8967057070672,319.32149480938443,319.9684110643553
2.5,220.86149342333377,227.57118466619036,233.50908385118464,249.10640735533363,249.13639062413768,257.40201325226934,261.80641142503214,265.7984151863637,269.3543093727345,268.3210219254543,267.77886747584796,273.11172458692363,275.7868090268947,276.86893586108135,278.93173867812527,277.63257463187705,283.05419631177926,282.63936893402064,281.49911467883317,283.3735384103941,284.97050616628815,285.59867938487383,287.33631654480445,286.7315822346455,289.7968487138464,290.71947780239367,291.3354676103851,292.85172106294044,291.15945473863576,291.73786949259704,292.8231157787858,294.67024187263166,293.79424865382214,292.1941188199216,293.7107834003942,296.26259019189814,295.7481018940575,294.87207755906434,296.912239664701,297.8398955229579,297.1315264492125,296.3894841597332,299.45787585123713,299.1013574495516,295.71146515781203,298.11860227084736,300.3564536726167,301.018678177901,299.53815691202806,301.75619598428466,301.9400589975392,302.0692733699596,301.8429181599053,300.9635272197789,302.8382128892763,301.8956635436546,302.0854350540902,302.31987213451845,302.70275683532486,304.05052434315166,304.78893644226196,303.6258456028404,303.7892955782736,304.8513497657503,304.6402206777218,305.76423001953265,305.2956341977765,306.0251830960722,306.09974220368304,306.3265759041258,305.9410883614608,306.0461909132084,307.81102948630024,306.45284996814263,308.84585316372,308.1267348287232,307.2946265053911,308.28416847032787,308.4161975039298,309.47682320394716,309.7563218360587,309.77108152880663,308.0270216287715,308.6869559899501,310.4396274024646,309.31954268772046,309.3215657461103,311.22365205473955,311.37238397835563,310.3396064487425,310.6162065828965,311.17469251206916,311.6793030896291,311.54325042656916,312.1741975343182,311.0936097379799,311.4369933202889,312.25287445104766,313.574167334528,313.1875956397647,313.91716491963325,313.383358335406,313.7691430281406,313.8324060828447,314.08704937738577,314.2557414479267,315.04435299786724,315.5960513397328,314.98512157286694,314.8549138208826,315.594089206423,315.8256307290435,316.2111437788837,316.4006682831956,316.8652034412857,316.9638703306614,317.2905216807962,317.77454745344727,318.3750630480213,318.5361614303685,319.0113633525274,319.58155788394777,320.48528919316163
5,226.19695533222276,231.40390107714322,246.78992121763204,257.11125669833336,259.3546771056326,266.5009490794962,269.8424843814741,270.6340027170703,276.1280103585714,278.65078107434323,276.5088341974299,280.38006042644184,282.8290871603727,281.4614075430631,285.05783661091755,285.079121740504,287.4334400720096,288.37299476250865,286.7917322962118,290.5674884757508,289.7138171808007,290.5733787418608,293.07259500444667,292.9263929763483,293.08917503002965,294.22866297759026,294.7810453759402,295.34496857947323,296.3460055062819,294.90168894181863,296.1329750986004,298.6524783989355,297.6278628777582,297.88910788189804,297.46806644544364,300.0333867762342,299.0981602660151,298.4066401536294,300.5159100306638,301.2406656055718,300.5514888998313,301.04258004509927,301.684032294927,302.6863531363854,299.87929943420124,302.6148737559591,302.7804682767365,303.85833037580153,303.47455231394025,304.77815401439204,305.4798944993863,305.1727866783364,304.9806800012452,304.5055479033442,305.76584816913055,304.44287536160857,305.6825524161876,305.5438104222854,305.6685951055199,306.53317325760594,307.5595825467132,305.9703680977491,306.88215397381106,308.0507769886339,307.785314380129,307.9127945531143,308.1350205448105,308.3483963624956,308.57065253668486,309.10806930545755,308.5682219100525,308.50536735228025,309.67738750399155,309.7846774772496,310.4202340114908,309.98197746637607,309.4309521047454,311.20678109535874,310.7951661789404,311.50788538351964,311.3741324205566,311.7558432105137,310.2142048695591,310.9445181751532,312.19631225864464,311.82476029222306,311.705717018006,313.1515269049355,313.0113119307469,312.82026888004157,313.19614050035347,312.8311340697129,313.2446939614053,313.32549229195735,314.06835234793493,313.82749751101943,313.78043373366177,313.97809699554045,315.05346299778677,314.59467204661865,315.27013658019763,314.7515886277543,314.8630100907171,315.2622914503738,315.47902010754666,315.66668772778837,316.34924115671845,316.58096410262385,316.1310925182087,316.4011791568028,317.0122051014233,316.9653222333938,317.1169405882117,317.28616708209216,317.62840400205465,317.79248775903585,318.164015375669,318.49477665810184,318.89459001732894,319.1590151562059,319.6146158244936,320.1342332475505,320.9965840730847
10,232.5454211022219,243.0472078971433,256.8637463431581,268.5707997519997,268.8881024190804,275.2520336198316,280.4851633961539,278.55546636383855,285.1203968413066,288.0428754399997,285.7695951836722,288.07323082528893,289.8778549103518,289.8722084318559,291.2748660087027,293.3465005845937,294.1720346247944,294.54145173428867,295.35725968274795,297.0602214315749,296.3334645669223,298.1790680367351,299.03250120550433,298.5930572226319,300.31314387271306,300.1252939197566,300.21770568804766,300.6798780059769,301.7559056495394,300.5615440824297,302.801435274756,303.1339757580934,303.5748034101357,303.72559864882805,302.8075266018742,305.30198408859013,303.3097598535955,303.4418584288659,305.1332459469345,304.9757713660063,305.7560328337524,306.3081049851688,306.3342671444913,307.3226338520162,304.8308271455786,306.3847710627391,307.7061418813808,308.1223992172571,306.9571212322603,308.77448688892395,308.65189777637374,308.6645368540595,309.0649785055243,308.70364557812843,309.18284318649233,307.72480251085744,309.6273527101586,308.746296661192,309.4444917394007,309.9434190852284,310.5941436376699,310.2876760694935,310.49876123159066,311.05937077059093,311.67287371211927,311.06472575585343,311.7616093004232,311.36166992680813,311.527800329721,311.3603791609171,311.7362089067871,311.9708574030916,311.6359257500298,312.4970747884722,313.1361334841427,313.1332133571917,312.8116711992594,313.0791027943717,313.36560356695264,313.7690219705656,313.7621569514199,313.4366587378616,313.1378487601492,313.7691975580953,314.3918384030333,314.0494208206979,314.0158988114773,314.935628813469,315.3928154066997,314.9563774839001,315.27597478919427,315.0935561948533,315.2372455939867,315.1990856661121,315.8659048073509,315.8451645679036,315.677415543032,316.04188968456754,316.7245253265022,316.3918443735804,316.9405155609157,316.5189680252157,316.7127305624661,316.77215993956213,316.85590775340324,317.1453445523693,317.77162110384734,317.8888075232477,317.4499163511977,317.6412514373211,318.202079655381,318.2946483454092,318.2752220890368,318.5521600227758,318.841731483148,318.9758820623591,319.1000184077474,319.43835139063,319.56031374952954,319.986179718919,320.3161143793372,320.8434671511337,321.2887113022163
25,273.39603596666655,279.44057350000026,283.7027197184215,289.435819793333,291.76183509425323,295.3649950495803,299.00223053173124,296.3139399722223,300.2707832667345,303.2375677181817,302.7496187781073,302.8407475322115,302.33678571573523,305.09159293819846,305.945963103718,307.1118692889355,306.63953128820253,306.08643701959727,308.7659054712627,308.459563538736,307.7904139337367,309.3393814205948,310.31310690836875,308.6080753054838,310.43304923548,310.6261133618575,309.32135846420897,310.6550827212642,310.324038991409,310.931670243192,311.5084016981523,312.21863549597174,312.44126369993023,312.1151283335308,311.90343846913424,312.58339954982375,311.69066938330576,313.7755916390165,312.945875247324,313.34071379985625,313.38463133238827,313.486163540643,313.581798404732,314.76216216359126,312.3128759840705,313.1449044524098,314.6543014741195,315.2527795508535,313.85996009831297,315.44293930568176,315.65033885563525,314.26444181776753,315.0515395784182,314.9351304407435,315.5655757306515,314.1541404265507,315.4442404312607,315.978122623049,315.3529321280935,314.8576847169435,315.6956516129035,315.3933253350925,315.7918580862903,316.84858971018974,316.31877931169777,316.0153758604972,316.56011873104706,316.1707648641728,316.77091622367624,317.12497254577875,317.05738323770123,316.33654474692173,316.6631778335568,317.2297848215685,317.18835699725724,317.48042747961324,317.0060737756775,317.658036418056,317.4800254810935,317.498483293302,317.23985331528445,317.710559309726,317.5767402008868,317.8583958823083,317.94067690861397,317.82907570956627,318.1324894444215,318.34174630562325,318.696760753935,318.74463195293623,318.61184869430224,318.8071301714545,318.49982771885175,318.688113237073,318.758941149137,319.2181205003923,318.97224856704423,318.854314656656,319.154765009485,319.17463348581623,319.2619227329212,319.325368017997,319.2843854501447,319.397242903032,319.54172493679226,319.5892900130942,319.8511297326445,319.98928793208,319.746001113509,320.0312762029535,320.1854445497622,320.20013130749726,320.267968146895,320.22502919900955,320.68477606288974,320.6557210864185,320.68120226407126,321.00211667344024,321.00304932893596,321.2219340639863,321.3960303730825,321.69709348446776,321.8677601580853
75,364.0612014166665,355.12994066190475,354.89546062894726,348.8106409333335,347.38989714770076,347.229082389076,344.64581358942274,346.801699667677,343.21267841734675,340.14963317946126,339.5587123295203,339.3434386233175,338.680195069048,336.53317154900924,336.524216419541,338.1422978689075,336.5856884742825,336.699149098768,338.8073912475755,335.439928782601,334.70894794799875,335.3267927312735,334.7357084233545,332.7422144752902,334.8618125605845,334.3475518699285,333.60833493270775,332.98060192864,332.03704353718126,332.998415605111,332.30998697765347,331.9480847679602,331.861160959085,331.31934105087026,332.9269810605523,330.4857899312573,331.7611641276385,331.9014890526835,330.9026313832535,330.6992422436635,329.801130586637,330.3937172296245,330.201644412682,330.227539051667,329.7636995548415,330.06984378525175,329.8051691568253,329.244197862128,329.5446541429558,328.8897088038905,329.71191673497174,329.15758462166923,329.0099381933915,329.144038146344,328.8285735935547,328.3070293158515,329.15985153663075,328.74400429725625,328.20214494956525,328.34153333020924,328.63172869012453,328.273259025427,327.65169340388877,327.7632673911968,328.232982103956,328.0440529328355,327.9759637098432,327.1542614462418,327.6780694215515,327.267858280815,327.55405844454526,327.0832106386947,327.0364554912618,327.27402649374005,327.11349407356926,327.631672924452,326.4185707007907,326.60794241389175,327.03853858505926,326.3153894867618,326.67260871884423,326.83121460380073,326.9755100297848,326.33735545579873,326.6833871499267,326.13933172212,326.5279388569525,325.76833988175895,326.05887701438775,326.1449775775335,326.08372383423523,325.8544733434278,325.86030044090654,325.47472875302697,325.5762450481948,325.5296040415307,325.216377345806,325.41612879357103,325.30334251916025,325.24028294769727,325.27489154771376,324.79460029512273,324.6514449675673,324.7188049210255,324.8726558938332,324.5474728309388,324.807877412197,324.82886897815723,324.3000097492203,324.539310170999,324.41033949829927,324.261266095271,324.16911616326126,323.92346559032,323.96127243945574,323.9486961604173,323.53406839315574,323.55436868203924,323.32767557659974,323.259232078712,323.2005818781653,323.03265852608274,322.51842342136877
90,412.28873854666705,399.0718840266665,391.88939771,379.9822213320003,375.3397126519543,371.6536162080668,368.78080859128204,367.8178011882827,363.50976948236763,358.3072283804717,361.2744835552542,356.6353215835577,357.66497291594175,353.18544765953106,351.26982977208894,351.9139664632497,351.2279421724592,350.3187039274361,350.7279694144445,348.0431452729675,346.9980953941621,347.46772644506524,345.6730671020593,344.2765825306323,344.7604694242936,345.6521132350029,344.3248719069063,344.15017645672424,341.7214822910783,342.5410185535314,343.7415149029402,342.4082731375463,341.131299967282,341.08893309923184,341.5024685775423,339.7760511795773,340.6327788923088,339.9934453520596,339.3437963321956,339.0941034681298,337.4490924790157,337.91137990598554,337.9504539881234,338.1229040461193,337.05655623798395,336.7605163991783,336.7215265583372,336.0994034918632,336.55084861770627,336.8614486409076,336.14853419826255,334.83586639199,335.9319219638221,335.1443050943806,335.274075339122,333.92395419428203,334.7214549578854,334.6180148819512,334.5099024777906,333.62680631917584,334.2524121367723,334.6637717913415,333.1991602668048,333.5373260390545,333.2485978498833,332.93058795422314,332.6239122990943,332.6603688465356,332.28558462053843,332.1409090202846,332.06206244012697,331.7140743185369,331.4969752239637,331.504198188985,331.6884950041021,332.2432747979491,330.6198825661383,330.73096940810655,330.6086488892279,330.3228085806968,330.7487419305347,330.5763105508159,330.6415678462481,330.15761032198907,330.41742214791816,329.6302031002763,329.8845467216617,329.41873879223454,329.29643564667793,329.4396667365054,328.9670968930258,328.97659983477195,328.5608399660074,328.3857111418933,328.22670498506665,328.3353553079854,327.8552023683136,327.681310342548,328.0175183050457,327.9756052827688,327.9134476864174,327.39495935173704,327.25683157007944,326.89556442605607,327.14973863038017,326.55147168061507,326.8708342704851,326.8232401496535,326.0450226279073,326.201172509993,326.1049550580192,325.7403193921984,325.5965319567109,325.3695208099513,325.2364820035229,324.9975355351294,324.6663187507828,324.4091502004886,324.1644745364349,323.95967798109103,323.79675487426056,323.2115015752753,322.55429392808713
