,pd10,pd15,pd20,pd25,pd30,pd35,pd40,pd45,pd50,pd55,pd60,pd65,pd70,pd75,pd80,pd85,pd90,pd95,pd100,pd105,pd110,pd115,pd120,pd125,pd130,pd135,pd140,pd145,pd150,pd155,pd160,pd165,pd170,pd175,pd180,pd185,pd190,pd195,pd200,pd205,pd210,pd215,pd220,pd225,pd230,pd235,pd240,pd245,pd250,pd255,pd260,pd265,pd270,pd275,pd280,pd285,pd290,pd295,pd300,pd305,pd310,pd315,pd320,pd325,pd330,pd335,pd340,pd345,pd350,pd355,pd360,pd365,pd370,pd375,pd380,pd385,pd390,pd395,pd400,pd405,pd410,pd415,pd420,pd425,pd430,pd435,pd440,pd445,pd450,pd455,pd460,pd465,pd470,pd475,pd480,pd485,pd490,pd495,pd500,pd505,pd510,pd515,pd520,pd525,pd530,pd535,pd540,pd545,pd550,pd555,pd560,pd565,pd570,pd575,pd580,pd585,pd590,pd595,pd600,pd605,pd610,pd615,pd620
0.5,1104.94646143,1491.4621925850001,1816.220552535,2110.83807773,2381.86700496,2599.7803099049997,2838.861413145,3192.660275055,3478.916497395,3718.064196415,3899.48698503,4092.17125181,4379.216885885,4530.8942750999995,4741.01760185,4953.35861243,5109.766592014999,5409.592241335,5459.329595425,5707.29782607,5851.563545025,6136.39263568,6182.62687601,6464.57768165,6532.27030409,6759.02656679,6897.8285773299995,7070.452519905,7314.98170233,7357.827974735001,7541.721031295,7673.268005775,7834.44288398,7964.219587705,8113.3467857000005,8408.40887367,8500.989582175,8561.400937255,8693.100409289998,8889.321447145001,8969.606571870001,9162.77156511,9388.70452533,9407.65532196,9479.717165815,9727.542831424998,9769.03596303,9917.17554803,10091.887601295,10260.88617487,10474.402993365,10390.891777904999,10749.808095955,10770.48737839,10836.866581535,11042.347505525,11161.972799965,11440.312182365,11434.806305975,11591.514657225,11699.43125773,11840.414773405,11968.49170197,12090.32185296,12138.4967684,12248.187309555,12587.282797810001,12593.38604955,12628.55815907,12765.27405186,12921.88349886,12971.635697085,13178.26712726,13326.27455145,13416.72948091,13541.357207955,13587.18544508,13865.644180615,13946.62815848,14169.845602875,14058.23499791,14187.719930624999,14189.044568815001,14407.91835456,14585.635393665,14794.106997500001,14901.3581969,15155.973402054999,15165.15778261,15150.08618389,15316.314664655,15536.58405877,15692.32822752,15776.752231595001,15767.57020357,16039.560845695001,15972.291257649998,16236.254004065,16321.237129805,16422.612563450002,16639.788266725,16778.19710271,16679.65679751,16943.389280565,16939.900664859997,17157.440743475,17101.602561465,17470.892906145,17432.361758685,17684.719776115002,17767.777821075,17899.706635625,18034.987536675002,18050.60708717,18177.99439939,18333.320347369998,18513.95388605,18688.307496604997,18738.670968454997,18865.71886845,19014.400248425,19158.61134476,19378.21615967
1,1137.34324124,1510.76418962,1859.90430403,2138.8417301199997,2406.75472342,2672.74314856,2959.23836899,3219.56471054,3534.57073476,3746.78325344,3937.1563970800003,4183.355887029999,4451.12940969,4638.46764373,4812.0074076500005,5023.10918751,5169.96260576,5443.01267549,5581.8269875,5829.02175444,5972.33101489,6185.787274900001,6323.83824858,6540.4109069,6720.57900607,6877.07834674,6984.16419262,7231.96529217,7400.77894956,7510.67772364,7661.22111487,7794.989964429999,8009.82926494,8130.44354774,8271.48435771,8517.00782033,8570.14457169,8778.47761385,8816.08531509,8993.042634320002,9037.98452844,9221.54654764,9521.70882285,9527.19617905,9626.91545803,9832.63365448,9879.43485475,10061.20303463,10160.650476719999,10453.93534758,10513.58128722,10525.448248769999,10840.65174413,10833.62592287,11111.46115704,11194.437267919999,11238.340696969999,11519.13865855,11561.89269685,11685.80476658,11882.02373914,11976.51203969,12081.7078251,12186.6433471,12288.14745594,12358.67923274,12643.90342328,12678.51533852,12757.709899180001,12871.05603358,13002.064737629998,13054.96794918,13319.40778655,13460.17972473,13530.25885155,13658.064201570001,13709.887081230001,13924.355118559999,13986.66522221,14260.51425166,14239.84004899,14281.182704179999,14471.85895304,14575.75239702,14688.57582558,14908.01796259,15055.60765436,15234.3123378,15226.78211301,15281.69061089,15437.31283547,15607.57213621,15745.63190798,15822.0737613,15850.947069040001,16085.137584709999,16070.40389587,16298.23197172,16395.77389585,16532.83169467,16685.52866476,16838.145665850003,16822.97941011,16991.61364946,16993.23508553,17221.747812129997,17324.76348954,17536.12653784,17545.204771070003,17770.572435230002,17835.067363770002,17948.13179458,18066.105189460002,18186.883516629998,18276.02320809,18427.72498838,18559.533382550002,18710.43792594,18837.96702807,18930.29713283,19081.56819066,19188.16401006,19464.192078720003
1.5,1186.9153082300002,1545.26576919,1884.1826366999999,2160.84517569,2483.11181939,2732.762067825,2990.28852875,3316.477847335,3595.5213984750003,3795.415227,4020.476897855,4244.33655924,4514.86199638,4714.5101301449995,4888.7290693449995,5067.188788845,5242.08479573,5488.4834980099995,5675.5948072149995,5889.507275665,6033.54951804,6244.697954275,6358.681859105,6594.752330644999,6745.0577272049995,6975.3495121900005,7039.811253735,7299.502029044999,7439.61599397,7578.643583014999,7716.289170665,7855.12766379,8036.380081435,8224.88774697,8376.847634824999,8540.732422965,8682.52299743,8848.511734509999,8903.105992949999,9073.05916142,9097.47139757,9325.784176275001,9585.532439730001,9570.720641605,9713.274379765,9878.267169535,9954.3648985,10113.128549784999,10229.632619315,10504.74303172,10571.64669658,10674.616861045,10874.95894246,10884.68317113,11183.099614375,11318.982488525,11337.47983303,11541.251548345,11612.772892015,11727.52595048,11968.293820485,12025.670099345001,12210.011248440002,12316.183178735,12386.337010795001,12431.057341549998,12686.36324512,12723.012233955,12833.29836145,12941.387637304999,13080.219169850001,13240.945128405,13394.391853165,13485.376142795,13608.828436655,13763.15074194,13863.005080500001,14022.85550522,14202.0420274,14281.536785765,14360.138154205,14397.47278359,14540.224903785,14707.960638310002,14743.985335125,14952.26010665,15082.021363955,15289.79814491,15336.119259775,15373.48095236,15501.048032949999,15651.437748,15834.55171428,15927.780355045,15925.886378865,16113.573148275,16119.623894275,16349.02258409,16475.754279645,16586.254925780002,16769.312434475,16889.864038159998,16949.98396031,17034.084622194998,17064.52926601,17287.034639960002,17364.76924771,17568.346496405,17573.70167454,17817.901150865,17863.672672735,17970.942593745,18096.946381635,18220.88309152,18371.01757013,18462.252906425,18589.801240835,18751.774720899997,18853.262021295,19009.72803793,19118.48082176,19217.11880229,19484.295311665
2,1196.8289703799999,1573.85722368,1915.7233670800001,2176.39783468,2524.43055718,2767.54474506,3061.21778748,3365.53381018,3629.30081588,3834.21732362,4052.04497252,4288.672276359999,4553.86935086,4757.65605256,4959.63734756,5132.55969496,5275.94706758,5500.7129852,5712.1096659,5951.53890246,6079.6572201399995,6270.5983639999995,6421.538635280001,6635.107904179999,6786.28576178,6988.15585564,7125.45300842,7339.744401700001,7479.10793438,7633.6633920799995,7756.86247558,7903.227162,8072.63890714,8272.603812,8415.719789800001,8584.56555092,8749.80900604,8865.76526708,8956.991594899999,9116.74468218,9188.746899759999,9378.1104188,9629.364988840001,9662.22985532,9754.269208720001,9938.88532412,10034.92115504,10180.20916862,10292.49293234,10553.87013238,10589.75196654,10770.090087460001,10936.0248572,10940.28571656,11231.33473604,11351.857888460001,11411.67439132,11589.5618367,11680.20644568,11789.18499926,12032.8788458,12042.10443028,12292.12729562,12357.76825384,12451.953705,12501.37541222,12732.15262056,12782.16001424,12896.87777666,13012.5240256,13225.45577516,13288.287176040001,13455.805578759999,13534.93166216,13640.768139900001,13838.7653702,13900.3960191,14074.2089805,14253.78463858,14323.26587542,14399.709125520001,14483.032961320001,14575.25408634,14779.790383739999,14758.15701256,15014.11017106,15122.0334825,15326.609324539999,15381.07090984,15418.27905182,15520.41143788,15696.994919120001,15871.06651832,15958.475425319999,15962.69263158,16162.939819719999,16192.110024739999,16418.07647792,16548.09506582,16622.502773800003,16791.006428200002,16911.5137946,16975.62875938,17092.10114172,17172.8660856,17307.22265576,17412.7524318,17609.31698584,17630.74175004,17838.36079178,17911.31083552,18006.499206120003,18151.73753788,18249.41522872,18384.82040078,18518.38923894,18631.66539622,18776.9848592,18900.48873074,19039.80904774,19140.92494142,19249.925721519998,19497.77397212
2.5,1208.45224805,1590.30491185,1937.3296708,2192.085338525,2540.7577418749997,2799.6299691500003,3079.0683922,3381.3637045250002,3638.7168741250002,3869.01997235,4112.337739574999,4348.451872275,4565.71593445,4792.816379700001,4992.608946575,5154.064308525,5302.67520925,5556.2343181,5773.429703125,5964.2936459249995,6111.0059,6292.163053050001,6471.676425075,6681.05101595,6803.647662425,7004.911572725,7159.20006305,7375.971072724999,7538.816367525,7680.95630285,7786.138548350001,7940.1714579,8128.670247875,8312.835258975,8444.474304625,8609.608179625,8778.137829775,8922.427818625,9039.793582575,9190.8486955,9247.289825925,9423.300833925001,9653.37325825,9711.2324446,9810.185341524999,9985.6344675,10123.095367650001,10262.20343555,10375.01355315,10574.034960250001,10663.735686225,10787.213592925,10979.816044500001,10977.89752425,11268.074535575,11375.045099125,11438.31367265,11613.402134,11746.567233549998,11852.161225625,12073.498904225,12095.8121279,12308.87991855,12388.49865165,12483.04387535,12531.49609875,12800.101629625,12847.961764825,12949.760397225,13067.02670245,13270.25900415,13340.125510075,13520.62161885,13627.125694275,13707.691165225,13911.639381675,13905.35910095,14122.316893325,14287.383921224999,14355.216400475,14453.31732165,14544.035067225,14651.850555800002,14811.1092508,14825.995565225001,15033.503244849999,15203.829582825,15363.33367965,15422.262704625,15484.260022275,15648.480585125,15743.832019375,15942.02708615,15986.304040275,16012.325474875,16189.9991583,16232.752684275,16427.680679075,16580.015355300002,16670.86458795,16820.412581825,16933.45668595,17015.998658775003,17133.081756674997,17201.10161365,17332.062528774997,17461.4524535,17629.969926625,17654.337608875,17866.583074449998,17983.831056825,18024.19748495,18174.531089325,18292.383280899998,18410.1061151,18551.4882849,18666.3035699,18791.0604455,18949.158573475,19057.839490925002,19158.769499625,19301.30241575,19554.0612683
5,1265.52959295,1664.8983428,2009.9721181500001,2303.36905765,2629.3737146,2895.83965015,3192.7594980000003,3481.64492665,3722.4669574,4020.61127755,4233.2657563,4476.2499468000005,4700.54356785,4887.4264321499995,5102.41630455,5318.484783350001,5452.1125908,5750.558607649999,5915.50206715,6110.63078855,6255.58532435,6465.04743875,6608.70714265,6793.325457649999,6945.0460823,7160.14486195,7331.10112415,7497.11738265,7665.0995254,7812.584106599999,7978.4638169,8070.9841778,8271.329158800001,8490.4437172,8550.00478285,8754.58062185,8875.608973,9091.6784843,9182.22470115,9336.8524383,9447.2312626,9588.919999549998,9836.6197135,9889.51145235,9972.54725505,10169.8209654,10297.9210403,10442.0521258,10574.6511976,10723.99980355,10822.484580299999,10940.89494425,11131.1150106,11218.31738005,11394.0285014,11529.10949675,11634.5688189,11734.60810435,11890.97679135,11993.0615934,12232.459749,12264.05749815,12460.7321501,12536.2460533,12645.92870755,12785.814737100001,12958.8573479,13050.4169543,13135.82898175,13221.9819094,13407.08632125,13499.31149075,13663.30968215,13764.632745,13897.6318565,14073.2355426,14083.10171525,14296.63713905,14406.518022299999,14483.75882715,14614.521426750001,14726.147725550001,14861.408935200001,14991.951887300002,15056.1564711,15162.09939925,15355.3606738,15498.58033915,15515.02713905,15644.1813903,15781.268674,15886.105055850001,16051.61344945,16171.249166349999,16152.593083849999,16344.28221585,16427.43846315,16539.718610649998,16697.55044825,16828.945000699998,16931.7876798,17023.571417,17188.494222399997,17260.73071465,17366.95318585,17486.422445300002,17599.7174568,17720.8197878,17807.6957047,17946.77267325,18075.73315275,18168.981194750002,18259.7734033,18403.51564625,18510.060741999998,18653.4129874,18764.64512175,18896.697426000002,19046.80664525,19175.0131241,19251.9765841,19403.92101805,19626.2592725
10,1312.6851953999999,1733.3375295,2103.5656266,2402.3480842,2755.5495417,3033.5539908,3318.7802552000003,3604.5595006,3856.9274019,4129.1046455999995,4349.7651147,4600.822902100001,4834.2167995,5025.9352354,5234.2556125,5437.3771695,5618.134512,5902.2623026,6052.4847406,6242.2718482,6412.4404371,6623.786919,6752.449050599999,6956.3167662,7126.3337448,7324.3944652,7464.5832957,7646.4050336,7808.8039074,7983.425208500001,8199.9562355,8282.4411394,8464.2986102,8636.6745954,8752.759097,8906.715274,9047.055931199999,9244.880950499999,9321.6526086,9504.194129200001,9624.5637144,9782.9765644,9966.4962717,10093.3938199,10172.221194,10342.4199072,10514.533170499999,10627.105454300001,10772.7418632,10908.9646955,11012.7737276,11130.5801237,11327.3722947,11440.818881199999,11587.0856819,11677.089589899999,11865.9808799,11957.605910799999,12069.2059803,12167.5955287,12386.131359699999,12467.6722123,12613.9833676,12744.0336286,12855.767274,12975.9052704,13113.1512856,13250.589564299999,13322.508889800001,13449.386757799999,13613.1268367,13682.3785132,13829.1039518,13949.0410804,14101.380551799999,14221.865424700001,14289.556890400001,14500.1693987,14572.6848643,14700.199081,14791.619289600001,14925.2008094,15013.705811,15153.34191,15251.1601963,15321.758221900001,15493.3759051,15627.475161499999,15670.3271159,15801.320513800001,15924.4514893,16023.664782000002,16192.6035109,16291.2461752,16318.889929300001,16502.9428883,16611.693056,16712.0042532,16817.409574100002,16982.7078177,17091.8374204,17167.495518300002,17313.1220421,17387.641142599998,17525.7383173,17608.8892768,17730.2177233,17838.0121221,17934.0851392,18060.3565237,18181.5302545,18279.0664254,18404.6165969,18537.7929243,18606.6920143,18774.5985449,18857.9657458,18991.8344891,19115.148659399998,19251.3235651,19351.2284183,19477.117100699998,19653.381697300003
25,1448.0874784999999,1863.3940465,2258.2863644999998,2592.6274075,2935.8992184999997,3234.81006,3547.6988739999997,3824.7727925,4103.20420575,4363.43188825,4577.10930825,4831.3328817500005,5087.07126025,5290.7225770000005,5498.924160750001,5688.660217,5898.86000275,6145.09142225,6279.265467,6482.310977499999,6713.599399999999,6901.5720345,7000.8052785,7262.2091105,7447.7389695,7605.4394795,7752.73716325,7916.37609025,8095.8593627499995,8266.00000775,8477.86715075,8600.492121,8783.785074,8961.2099595,9075.1356835,9224.202436,9366.38826125,9545.402373500001,9670.2972065,9816.290714750001,9954.27413275,10183.67208025,10270.401572750001,10422.29203425,10571.2615315,10681.85237,10832.245399250001,10938.97171525,11086.3844635,11261.896326999999,11341.51416875,11517.861962,11646.079213250001,11743.037577,11895.428019250001,12007.588862249999,12175.894568250002,12276.97408625,12420.617807,12515.49549825,12680.787416,12805.98706175,12883.49730925,13063.089707,13158.970941,13297.806902,13399.593482,13566.1753585,13670.8719615,13744.328263,13871.79363725,13989.1215985,14148.90220075,14271.49652075,14398.0981605,14503.808762,14566.5528765,14760.019137250001,14848.187918,14966.8699295,15087.4484775,15199.332739,15300.346342,15440.19981475,15518.855423,15606.0603455,15762.044534,15881.19768175,15954.651919,16095.323707,16187.920875,16316.32502075,16462.751633249998,16530.4394105,16597.984923,16755.128248499997,16876.277658,16961.350639750002,17082.57896775,17224.93070725,17311.34536775,17409.3302935,17538.4791275,17627.55171125,17743.3668695,17831.73182425,17943.62278025,18040.487881250003,18161.425154,18253.98258275,18371.58607375,18478.64043225,18579.219460250002,18712.71582725,18786.985195250003,18924.60349025,19016.8575345,19127.00894525,19245.92313625,19357.647055,19457.1620685,19573.02720975,19692.06352175
75,1754.24543925,2259.1065145,2641.8427224999996,3064.42448325,3388.15530125,3763.78100625,4093.1885572499996,4348.2784835,4648.30625225,4927.552816,5136.50715925,5402.998862,5678.8499059999995,5916.72508875,6147.87245275,6357.5886632500005,6564.11065625,6797.89190625,6996.209016250001,7179.03562275,7361.09672575,7571.61115825,7721.10776375,7912.02021925,8115.65545075,8292.734309,8458.05507725,8696.12779375,8796.81492625,8992.2282585,9157.27358825,9317.170122,9492.0333065,9630.941070249999,9751.332916,9927.11058675,10033.93091325,10246.52353975,10347.57807,10568.44076225,10671.1839885,10838.548228,10955.77178725,11113.454498000001,11215.9228045,11369.7447905,11528.3698915,11667.4079905,11754.35684075,11949.809129000001,12032.08699,12184.967787,12316.54775125,12431.00115125,12575.51166675,12698.92180975,12876.7078995,12941.4108235,13066.687318749999,13214.3889385,13333.234525,13432.2530325,13610.336832500001,13701.462219500001,13792.13683,13928.68620925,14032.4170275,14189.2269975,14312.260515999998,14401.6635765,14485.3685145,14622.270196,14799.324998,14862.440670749998,14963.0968865,15073.912855999999,15189.573436,15325.36418175,15389.350737,15575.445861,15652.186734500001,15749.82887825,15875.87660025,15998.184246,16066.51856625,16190.576754,16300.04545725,16413.8870565,16516.783757999998,16613.2910865,16699.07297175,16819.87898025,16940.396884,17030.654856250003,17135.815376749997,17248.2866455,17317.80301975,17423.298176,17551.35620275,17648.434997,17755.677629,17835.9095195,17945.7896935,18033.6659745,18145.7272895,18229.564637,18338.848602,18419.81405225,18511.573402,18604.3751375,18699.4145305,18802.470970249997,18881.36503825,18984.61777325,19071.39073475,19168.0688725,19248.51422525,19333.40052225,19416.54317275,19504.592946,19587.567093999998,19661.3486255,19732.665906000002
90,1917.7472473,2469.8149845,2887.7116581,3302.1752758000002,3628.9172592,4047.6826397,4342.0439733,4634.458727300001,4918.657272,5211.2859392,5455.2337981,5722.6348255,5924.8056155,6192.3527277,6459.763039500001,6671.0125297,6883.6355685,7087.6744205,7265.3838274,7443.655465899999,7643.292532,7885.2848017,8060.2249934,8229.8640855,8427.2795039,8593.808560200001,8737.533989,8984.473008500001,9125.501666099999,9311.4286313,9475.734644,9600.752443,9788.2148772,9932.2688307,10058.0644361,10227.982420400002,10328.722403200001,10550.908638500001,10695.8817274,10823.5106864,11013.1923745,11121.0155349,11254.8674145,11429.5408343,11510.6652913,11621.0345355,11835.4614406,11981.1606533,12056.009499700001,12203.208641700001,12308.385886,12456.2004081,12601.2776462,12742.7916306,12868.2451255,13005.9297806,13152.3410499,13283.2851485,13311.9238092,13503.4455299,13582.606259600001,13724.789848299999,13873.447059,13988.8521025,14074.436515599999,14214.6160222,14296.461508,14437.586709,14568.9554304,14642.915531999999,14718.3264354,14840.7329925,15013.004734299999,15121.9805808,15204.6690202,15320.3754103,15426.1188236,15561.2832688,15649.275459400002,15802.3423429,15870.6661559,15961.629771200001,16106.477286899999,16193.4642658,16285.061955699999,16384.6383264,16522.6822732,16623.507813400003,16718.0136894,16799.3931658,16899.1963542,17034.7582626,17106.8162741,17227.243373999998,17300.496474699998,17417.8885984,17504.6454415,17590.8900564,17719.6786765,17810.137682,17890.7060864,17988.4128221,18067.7308485,18182.8770252,18278.7326591,18368.8728616,18453.135779300002,18550.983996400002,18635.705018599998,18734.2780241,18796.4576709,18908.1527577,18975.176318600003,19062.1454688,19153.8729115,19238.211237,19321.611946499997,19399.620756800003,19471.349825999998,19554.5247068,19624.1254896,19690.1810139,19744.849152000003
