"","name"
"1","Isoetes_bolanderi"
"2","Isoetes_occidentalis"
"3","Selaginella_asprella"
"4","Selaginella_scopulorum"
"5","Asplenium_vespertinum"
"6","Cystopteris_fragilis"
"7","Polystichum_californicum"
"8","Polystichum_dudleyi"
"9","Polystichum_kruckebergii"
"10","Polystichum_scopulinum"
"11","Botrychium_ascendens"
"12","Botrychium_crenulatum"
"13","Botrychium_simplex"
"14","Ophioglossum_californicum"
"15","Polypodium_californicum"
"16","Polypodium_calirhiza"
"17","Cryptogramma_cascadensis"
"18","Pellaea_mucronata"
"19","Woodsia_oregana"
"20","Woodsia_scopulina"
"21","Juniperus_grandis"
"22","Pinus_torreyana"
"23","Pseudotsuga_macrocarpa"
"24","Asarum_hartwegii"
"25","Justicia_californica"
"26","Amaranthus_californicus"
"27","Amaranthus_fimbriatus"
"28","Amaranthus_watsonii"
"29","Angelica_genuflexa"
"30","Angelica_kingii"
"31","Angelica_lineariloba"
"32","Apiastrum_angustifolium"
"33","Cicuta_douglasii"
"34","Cicuta_maculata"
"35","Cymopterus_globosus"
"36","Cymopterus_multinervatus"
"37","Cymopterus_terebinthinus"
"38","Daucus_pusillus"
"39","Eryngium_armatum"
"40","Eryngium_articulatum"
"41","Eryngium_castrense"
"42","Ligusticum_apiifolium"
"43","Ligusticum_grayi"
"44","Lilaeopsis_occidentalis"
"45","Lomatium_californicum"
"46","Lomatium_caruifolium"
"47","Lomatium_ciliolatum"
"48","Lomatium_dasycarpum"
"49","Lomatium_foeniculaceum"
"50","Lomatium_mohavense"
"51","Lomatium_nevadense"
"52","Lomatium_nudicaule"
"53","Lomatium_parvifolium"
"54","Lomatium_torreyi"
"55","Lomatium_triternatum"
"56","Lomatium_utriculatum"
"57","Oenanthe_sarmentosa"
"58","Oreonana_clementis"
"59","Oreonana_vestita"
"60","Osmorhiza_berteroi"
"61","Oxypolis_occidentalis"
"62","Perideridia_bolanderi"
"63","Perideridia_gairdneri"
"64","Perideridia_howellii"
"65","Perideridia_kelloggii"
"66","Perideridia_lemmonii"
"67","Perideridia_oregana"
"68","Perideridia_parishii"
"69","Perideridia_pringlei"
"70","Sanicula_arguta"
"71","Sanicula_bipinnata"
"72","Sanicula_bipinnatifida"
"73","Sanicula_crassicaulis"
"74","Sanicula_graveolens"
"75","Sanicula_laciniata"
"76","Sanicula_tuberosa"
"77","Spermolepis_echinata"
"78","Tauschia_hartwegii"
"79","Yabea_microcarpa"
"80","Amsonia_tomentosa"
"81","Asclepias_albicans"
"82","Asclepias_californica"
"83","Asclepias_cordifolia"
"84","Asclepias_cryptoceras"
"85","Asclepias_eriocarpa"
"86","Asclepias_erosa"
"87","Asclepias_latifolia"
"88","Asclepias_nyctaginifolia"
"89","Asclepias_speciosa"
"90","Asclepias_subulata"
"91","Funastrum_crispum"
"92","Funastrum_hirtellum"
"93","Matelea_parvifolia"
