,mntd10,mntd15,mntd20,mntd25,mntd30,mntd35,mntd40,mntd45,mntd50,mntd55,mntd60,mntd65,mntd70,mntd75,mntd80,mntd85,mntd90,mntd95,mntd100,mntd105,mntd110,mntd115,mntd120,mntd125,mntd130,mntd135,mntd140,mntd145,mntd150,mntd155,mntd160,mntd165,mntd170,mntd175,mntd180,mntd185,mntd190,mntd195,mntd200,mntd205,mntd210,mntd215,mntd220,mntd225,mntd230,mntd235,mntd240,mntd245,mntd250,mntd255,mntd260,mntd265,mntd270,mntd275,mntd280,mntd285,mntd290,mntd295,mntd300,mntd305,mntd310,mntd315,mntd320,mntd325,mntd330,mntd335,mntd340,mntd345,mntd350,mntd355,mntd360,mntd365,mntd370,mntd375,mntd380,mntd385,mntd390,mntd395,mntd400,mntd405,mntd410,mntd415,mntd420,mntd425,mntd430,mntd435,mntd440,mntd445,mntd450,mntd455,mntd460,mntd465,mntd470,mntd475,mntd480,mntd485,mntd490,mntd495,mntd500,mntd505,mntd510,mntd515,mntd520,mntd525,mntd530,mntd535,mntd540
0.5,84.16444276950001,90.40781772433341,82.8933845439999,80.15011128820001,79.94412510033334,75.93235635957143,75.652520219875,77.46147465922228,71.7466876344,67.26036374572729,65.6803275786667,67.42868309084618,64.78798846971429,65.91596739559996,61.999895838625,59.457071676705915,59.58769953022223,58.32096472626313,58.49962631865,57.04176457038092,57.886521038590935,57.1392549283478,54.56477042929166,54.458343103400004,54.4578398146539,54.54856438855552,52.27030846114283,51.786988772275855,51.23588055750003,51.49939900496775,51.76223689009375,51.04442691878783,48.89465151297054,49.63094725265717,49.61865209713886,48.5327730719189,48.847294491842135,47.49035277687177,48.4386585142,47.009240314634184,47.39760487033334,47.73487384004647,46.42215368254551,47.179627944599964,46.80962734452178,45.41677349989366,46.81705928620837,44.835704922653036,45.36003293932,45.62041906586275,44.398779534596144,45.234054651471666,44.96848600238885,44.75007976809093,44.25067837055356,43.35941331828069,43.87744840032763,43.425644675237294,43.79643703269997,42.5044269937705,42.50176995461291,43.356247021920694,42.774863150125,42.093139997938465,42.67840671581823,41.58142305708959,42.08353268767652,42.41720293681159,41.857633413171385,41.8637761525916,40.85186546023608,41.692337580095916,41.76669333609462,41.3882908135333,41.261060137328926,41.58088370449352,41.17153082566668,41.23623232400003,40.8749067031,40.87451043781485,40.73475453302438,41.11344180578312,40.389643153595294,40.65314852303533,40.47137335248842,40.181126291206894,40.096150546636366,39.91361324104496,39.957100364588925,39.93400162780217,40.17929119535866,39.71764630029029,40.02265779954258,39.74424644530524,39.642658399572916,39.60638703869074,39.47867967539797,39.21758482485863,39.58080743625,39.264849423287124,39.119422987686306,39.22107279734947,39.154020953144254,39.16681078136194,39.3141435394151,39.41668498221496,39.18545931506487
1,93.343155841,94.630652438,89.7754984379999,84.3262224416,83.51816509400003,79.94335956257146,76.7632155042501,78.25883688644446,73.5227072846001,71.81560372218179,69.51391032783333,68.53139941015392,66.37190594400002,66.5150918846666,63.755514858,61.999515634,63.12744949711111,59.77850692463156,59.332292855199995,58.71906382057147,59.26960702609086,57.61048668643475,56.33658077516667,56.452733271999996,55.65363323000004,55.880294659111115,53.4267026404286,52.45032296593102,52.39672025473333,52.521343529419326,52.997706287312496,51.95795511551519,49.685660195000025,51.47616104491433,50.300191273055525,49.56939473805405,49.790741389631634,49.455676265692276,49.229357729250005,48.09306337053664,48.423008004857145,48.01321436293025,47.579847834727246,47.60176168595556,47.56397615160869,45.70494934506382,47.310480908333304,46.07630928983679,46.482082103559996,46.80295138345098,45.33265181930775,45.531800589962266,45.36216107129629,45.51914878741818,44.5911148181786,44.88810665989472,44.52054335610345,44.2200062365424,44.29297647116667,44.00108248763935,43.76985090887095,43.913946324222245,43.198852507375,43.160928062276966,43.70716451184854,42.31919356343282,42.66982833111768,43.155482099594174,42.87416913828576,42.70370006430985,41.65770102966667,41.946610597726036,41.90391421981085,42.085091400933365,41.638776573315816,41.98205654044156,41.885424182230764,41.847252641164545,41.498278215075004,41.30448973846916,41.29313680887808,41.32482227920487,40.709975068333364,41.04909847105881,41.06541323453485,40.63620672604599,40.70846400879542,40.63747655982021,40.42269944711116,40.254803500197845,40.48103913891299,40.098266800688144,40.12254798019147,40.007124026294754,39.922573110229166,39.88552812909275,39.624541564653086,39.43898559767675,39.6611996339,39.507620288158456,39.43661785964704,39.45604035541749,39.356782575615426,39.32777705838096,39.506174590037695,39.507713749046715,40.028283504611075
1.5,97.9561811074999,98.68753689866661,94.254544432,87.6374366934,86.2317111181667,81.5997124218571,79.39992745025,79.28693687877774,75.0542897791,74.57247450009096,71.66782831175,69.91383711253847,67.44942916192853,67.33336251760001,65.5975235161875,63.36809346447054,63.89506158761113,60.71822490305262,59.756657181899996,59.505604383000026,60.50953977809095,58.272191552869565,57.755398442333295,57.41822306788,56.11399290876927,56.81205241951852,54.20922101653567,54.41060678744831,53.9377261519333,53.5464919287097,53.827977407249996,52.99528325821214,50.580863974382304,52.186776224142875,51.01931059377783,50.25708184756758,50.30377120331578,49.98504548556413,49.958949289375,48.87400501297561,49.09268186580947,48.6075701146047,48.162247938568186,48.205383576288895,48.097404276630506,46.49638382951069,47.974332927125,46.69769340997964,46.7836558014,47.29416848482351,46.17354251282691,46.63378449243394,46.18254114229625,46.28745560976362,45.12771624698215,45.26953127745614,45.12096693151726,45.10474641533902,44.7096863307,44.72087771424592,44.23628580370966,44.34267840155555,43.880323736765625,43.81107307318457,43.91620796795453,43.07380151307467,43.226374479867616,43.50386355462317,43.287149396285756,42.95645169529575,42.214658087375,42.59569091841095,42.360171297405444,42.36464688424,41.94369147292109,42.097713406363646,42.16431772598718,42.022314053708854,41.694592906287504,41.48423404269132,41.590247305219485,41.481682502686716,40.98124102805953,41.17342582512946,41.50348460377902,40.988684413712605,40.81544635767049,40.82313613115734,40.69810869321117,40.50642048337367,40.7304433715543,40.26697304308597,40.35739058552134,40.25087967329469,40.02731819236455,40.08467423609281,39.93078180231635,39.772215150090936,39.79326263466999,39.802590169376245,39.654352407548984,39.635967668135955,39.53337752826924,39.58959008789528,39.70840681662261,39.91183049290657,40.17297514174071
2,100.41367778600001,102.73672965199968,96.816362976,91.018480572,88.04592203333344,82.9700438748571,81.212223014,80.6429169462222,76.7193149812,75.86289001200001,72.826418399,70.90882669446154,68.09276351085714,68.67781313440003,65.9641486675,65.19017523388239,65.20063386200002,62.32603854084213,61.025338449,60.21323311390476,60.695581156909114,59.03923803704343,58.181709186833366,57.78045004736,56.542532941692315,57.17410126459263,54.88289920642862,54.94357128027591,54.40997149679996,53.88445057522588,54.038248575,53.45160734327269,51.257219915764686,52.87003366445718,51.65026626444445,50.56771904032435,50.57825909557896,50.43866174461539,50.3565803428,49.64173406068294,49.729199342857164,48.95111039386049,48.55325207000002,48.58387348808891,48.47270027321735,47.06089881514895,48.12025780841667,47.29888733844898,47.22161075112,47.381104119529475,46.621613957538464,46.95993724083016,46.758456574518526,46.7117887191273,45.840024604857156,45.6496443157193,45.492303726275885,45.49636513193221,45.03849537380003,44.969862507803235,44.70876801664513,44.629741855619095,44.066593740375,44.19538413870769,44.27759047569697,43.39194728310448,43.79621823270591,43.810855894840614,43.44612837737145,43.08623089684508,42.4404645745556,42.890076552876735,42.56574858945952,42.4180600104,42.23299111399999,42.22512145849346,42.28878820394867,42.21057493868357,41.9856695966,41.70882638844445,41.64938383468298,41.96905419349402,41.249045301428616,41.37163060936468,41.69579959739535,41.06662517540232,40.98933133268184,41.08311619564048,40.97097941119997,40.63459657591206,40.87177469460869,40.3862376210753,40.45194263948938,40.34175504812633,40.132251102083366,40.17130734247419,39.97398312804077,39.94301666630304,39.94861221436,39.93444488574253,39.74798852380389,39.718843295650544,39.66503810100003,39.670642390019026,39.743563572150975,40.08656075768223,40.269101255296334
2.5,101.9870003425,104.909206586667,98.7082267675,94.413398571,89.1331160291667,84.48098867000007,82.140642978125,82.06856162,77.5400568355,76.71061941590916,73.83348110916673,72.13764603153847,69.85290572285712,69.19115231333333,66.4345650578125,65.62342796529416,66.06794487916669,62.65542550552634,61.937578530500005,60.854099879761876,61.47370039159092,59.391066247826096,58.45262325812497,58.212073495800006,57.10731929826919,57.769293610185244,55.397566017321445,55.919959052241346,54.883899195333335,54.33258403064521,54.58103636515625,53.69053571999998,51.94193427308822,53.12665599914283,52.223120858749965,51.174349853648714,50.834305568552665,50.73560401128206,50.68468865825,50.29142620024391,49.860633662738124,49.24445309976745,49.05584888738641,49.158145387222255,48.897270214021745,47.485298888191465,48.5397508559375,47.6323724646939,47.544206603,47.779442330980395,47.15298324461537,47.282384697641554,47.26300080694444,46.97077284445457,46.4165332582143,45.97958870736841,45.923805983620696,45.86362789542374,45.36094574483336,45.28412485336069,45.06593692112906,44.786473483333324,44.429488097265626,44.46159798207688,44.50947510992426,43.71024853186569,44.07129257404416,43.89849681637679,43.51710631385716,43.49393155014081,42.93359427055553,43.185710403219176,42.87606158574328,42.71390111946667,42.3886327258553,42.505536034675366,42.550452965769274,42.33532311322787,42.1455451305625,41.93458959327165,41.734099516463445,42.096318175722914,41.442894706130986,41.5244596824118,41.74621976302322,41.38264088954024,41.17809905903412,41.14660329910112,41.081406170777754,40.889528900109916,40.98272681293481,40.47284704241938,40.50468556196809,40.56064928652628,40.2495317920833,40.28901459417529,40.15616135795918,40.12051363565654,40.06831662075,40.08125044163371,39.873179591862744,39.81237236203888,39.81325981528844,39.76341682695239,39.911552667783,40.14979272093463,40.329609404768476
5,117.01038908,114.592732633333,107.1609395025,101.56437708600001,95.81903191500001,88.90473752000001,87.64741719125009,87.29170101333337,81.225181286,80.6680682527273,77.87331643916663,74.56292325923076,72.34836394428574,73.0669413533333,70.20023026375,67.22113500705883,67.69663352888895,64.77229778894737,64.4892975535,63.39842863476187,63.87855376499997,62.28188632565221,60.19899288958334,60.1577063296,59.343066072307714,59.18642920851848,57.86153999571434,57.04430565137934,56.389974866,56.256091277419316,56.274180928750006,55.31192446121215,54.172431657058816,54.23503346514287,54.10827921611112,52.69875936486484,52.51012936263161,51.93359894615384,51.99080075875,51.757950208780485,51.29861838547621,50.80557979534884,50.54095306568182,50.2620596111111,49.81252343956522,48.77168453553195,49.52948262124997,49.09208598224486,48.6643292954,48.50664002019606,48.03137913211543,48.11137873716978,47.90186206481482,47.75028951800006,47.18324283642856,47.15049919105266,47.03145129293104,46.76240453254237,46.14818064100003,46.37440991655734,46.01588449741936,45.6623365992064,45.3139202415625,45.453767283076914,45.0629340843939,44.826038330895514,44.80427203014703,44.67515040246377,44.278613530714296,44.44338166267608,44.032005702361154,43.76814174630138,43.486325452972956,43.44193366040003,43.4273879001316,43.10283456142853,43.171957385641065,42.891543954050604,42.74506573975,42.510947177654366,42.45058273414639,42.60876229843375,41.90103042392855,42.07960856199998,42.08923692081394,41.81592958022986,41.65865431647724,41.503804575955066,41.53360607355561,41.220373030549474,41.2900946544565,41.01277864086023,40.902250466063876,41.01608555968424,40.75667795874997,40.689365702061906,40.50434164969391,40.43430524878789,40.574769765300005,40.4556062067327,40.26534714215692,40.273883968737856,40.19608663076926,40.18973690676191,40.41541759877354,40.358389146168236,40.43047534027779
10,130.90464880000002,123.7286424399997,114.87411568499999,108.75719972,103.322341126667,98.31515986285713,94.6250272725,92.57047454000002,87.44616387800001,84.86132158363641,82.50547540833331,80.02490183384612,76.91914592000002,76.84091572666662,73.64284277250009,71.98353660823535,70.88927725111105,68.75696195263161,67.649462474,66.5662941638095,66.04524544363639,64.43294774956523,63.36656261833337,62.5888122312,62.35481811230765,61.25637685555559,60.59825551999997,59.49759526827584,58.564137129333304,58.71554387677417,57.973254866249995,57.755366427878805,56.1244107464706,56.21501150171427,55.71549544055554,54.889208556216246,54.784211931052596,54.52252271999997,53.868721027,53.64470501170733,53.058567878095225,52.44535290651166,52.00246167818181,51.92691961333334,51.16101221999998,50.78319565148937,50.745848467083334,50.54240177632649,50.1108498408,50.01372946235294,49.34239468576922,49.49786990528307,48.94698208999998,48.64204296436368,48.32366113535717,48.1392552168421,48.21647959344833,47.797174392542374,47.254687647333306,47.33544651344264,46.98052936161286,46.536958313333336,46.371667805,46.36631601784613,46.004404798787924,45.87865863014929,45.7454737805882,45.60899570260874,45.36085717199998,45.07897240140849,44.67309099166668,44.71545967479448,44.328556225945924,44.124334372,44.18448394105261,43.73955734857144,43.86387083000004,43.70465469822784,43.4693408125,43.24800743012343,43.00591819536581,43.12078616915663,42.7332687633333,42.65420121317649,42.69597190162795,42.28797055195403,42.1640128086364,42.07858422988762,42.00863981888894,41.81105063692312,41.80788125478265,41.49101332645166,41.44122856702131,41.498902876210565,41.28649778187497,41.19592645257731,40.972218786938754,40.91502938282832,40.953245556199995,40.89826036534656,40.75781562529411,40.66618074058253,40.651483051538435,40.61711850799998,40.55931639603771,40.54293720504672,40.52345294981484
25,161.35015055,147.233655366667,132.23719043749998,123.78367153,117.71387445833349,111.50910613571399,104.81112163750001,102.77672445555525,97.10811235999999,92.71189948181815,90.211031425,87.82671208461538,84.3444945107143,83.33908149666664,79.65320381250001,78.24965678823526,76.81650336388893,74.96182121578943,72.7995703225,71.75032074999997,70.08371443636366,69.13809879565216,68.16463118125,67.65414060399999,66.42758913653847,65.11262625925927,64.3435122607143,63.8934558896552,62.39818799333332,62.37941463225805,61.493061807812495,61.25203073636365,60.0517995676471,59.578683945714275,58.92195713472225,58.34407012702705,57.78341981578945,57.53794056923073,56.993563978750004,56.2881451390244,55.82036251785718,55.05493553023253,54.812349251136325,54.44748466999998,53.71284614021737,53.50682316808515,53.05549494583335,52.81696567040817,52.582547532,51.98575723137255,51.658015448076924,51.3178806735849,50.864028786111106,50.59138268090913,50.24067889553572,50.128124540350875,49.80431690948277,49.607647918644076,49.19730614000002,48.99737244016397,48.65284620322578,48.01662433968252,47.955296877343756,47.885285113076925,47.702530005303075,47.3836506455224,47.0376755014706,47.05443325289855,46.56248721214288,46.43117726549295,46.15040572986108,45.99782718630135,45.728242304729754,45.60332796133332,45.37258568157895,45.0867630733766,45.00710259935897,44.8082734556962,44.60008998375,44.38022254012345,44.243338500609724,44.07040547710847,43.89089199404763,43.64902026705885,43.64913997674422,43.42056376436783,43.1401062710227,43.047425571910125,42.977355705555574,42.743547209340626,42.66966408043475,42.46104214516128,42.35153121648938,42.206514260000006,42.0407412708333,41.928697286082475,41.792485642346946,41.648993846969724,41.635229952,41.483177596039596,41.331826159803924,41.17795204999997,41.0928100697115,40.9890801652381,40.83001870943395,40.765726816355176,40.6759397939815
75,236.79538785,203.32972856666652,183.286074,165.39644833,153.38969631666652,142.26507477857174,133.20113691875,128.75571193888877,119.68156963999999,115.548924477273,109.29047058750025,106.19127448846126,103.60027059999975,100.15707342000024,96.39916675937499,93.61631091470588,90.61818372222223,87.80343038157892,85.522443585,84.44563939761905,82.0863687477273,80.92286365434785,79.04258314166665,77.474145232,75.91525930961538,74.59998337592594,73.40394145535713,72.26323517413795,70.997076295,70.61880317741932,69.296760490625,68.65658745454543,67.07455335735295,66.62383167714287,65.89857867222223,65.13002414189188,64.37500384078945,63.63465377692305,62.843911326249994,62.44885408658538,61.42876588571433,60.75775386279067,60.29768877386365,59.67840508888892,59.13446862173915,58.87625490531915,58.35404565625002,57.63563996632655,56.875095022000004,56.55109145588235,56.3227140326923,55.812812115094374,55.23236763518523,54.85518461,54.531512619642875,54.062696634210525,53.6363252594828,53.408683120339,52.851953210000005,52.458342481147525,52.1376920846774,51.8560813587302,51.46767933046875,51.305588336153825,50.74940562424245,50.67903201865675,50.32761323014708,50.01586845869568,49.654421500000026,49.343278041549276,48.95530705694448,48.7541562273973,48.45961634324327,48.34341134866668,47.942380369736824,47.68438196558445,47.3689725217949,47.20618417974683,46.894741918125,46.66368205925927,46.440953675,46.131795673494,45.9941402232143,45.69021610058825,45.4990952348837,45.22999680229883,44.9955098159091,44.816745589325826,44.607459431111074,44.37204517527473,44.18700465380435,43.9430053919355,43.79876538670215,43.5816767736842,43.323486931770844,43.11153789020615,42.93877018673467,42.642450519191904,42.542505674,42.29981336336637,42.12371680441177,41.868776340291305,41.714947415865424,41.53765212857145,41.292895129717024,41.092178267289725,40.8418372324074
90,277.17080807,234.754337466667,207.830518535,186.310166092,173.5218964900003,159.03635934285728,146.68692101,141.4223826999998,132.19192331000002,126.36550011454561,119.14458637,115.187203581538,111.4897142928574,108.1373482159997,103.56973866875,101.2066498129415,96.8602429055556,93.5104426189474,91.170398707,89.61146624476191,88.11013345727278,85.59387577913046,83.98344586583336,82.145725568,80.11060899923079,78.99754037777781,77.3085483107143,76.22085117724133,75.01951194000003,73.72934778774194,72.74666420874999,71.36954645090913,70.43906796999995,69.76731880971428,68.81569247666665,68.04633514000001,67.27899515263154,66.22173174051278,65.38802905200001,65.25517377414634,63.86141146095236,63.651291710697684,62.39083806954548,62.12600648755559,61.50817824608697,61.034389504680874,60.398738310000034,59.79923369918368,58.9334420628,58.503536083137256,58.262312628076955,57.66364917245278,56.961471077037075,56.76111604254547,56.14602402678567,55.84864883684208,55.31082150068964,54.67451136406781,54.293288032999975,54.002251940327895,53.74397427451617,53.09035621460312,52.9407513778125,52.66210531446157,52.10621799454551,52.122086940895514,51.61760947882351,51.34184039043476,50.723091480571455,50.574393971831014,50.03502652972223,49.89177399479455,49.47666004459462,49.407328434400036,48.8217756913158,48.586570097662324,48.31005984461541,48.20858732354431,47.7226726385,47.560041576790105,47.2581679317073,46.86837705927713,46.71350364523809,46.44719212964711,46.24869939697671,45.84519847839077,45.679908073636376,45.50185202966292,45.18442506711115,44.924990278681314,44.795089207608676,44.46215938000001,44.31152068063826,44.06534240505266,43.802793274583365,43.54828568680415,43.3563378612245,43.07747709676772,42.9090189534,42.63498657485152,42.42483812588235,42.146991264271875,41.96131683173078,41.70455155866668,41.45607685867922,41.21553577850468,40.909350938518514
