,pd10,pd15,pd20,pd25,pd30,pd35,pd40,pd45,pd50,pd55,pd60,pd65,pd70,pd75,pd80,pd85,pd90,pd95,pd100,pd105,pd110,pd115,pd120,pd125,pd130,pd135,pd140,pd145,pd150,pd155,pd160,pd165,pd170,pd175,pd180,pd185,pd190,pd195,pd200,pd205,pd210,pd215,pd220,pd225,pd230,pd235,pd240,pd245,pd250,pd255,pd260,pd265,pd270,pd275,pd280,pd285,pd290,pd295,pd300,pd305,pd310,pd315,pd320,pd325,pd330,pd335,pd340,pd345,pd350,pd355,pd360,pd365,pd370,pd375,pd380,pd385,pd390,pd395,pd400,pd405,pd410,pd415,pd420,pd425,pd430,pd435,pd440,pd445,pd450,pd455,pd460,pd465,pd470,pd475,pd480,pd485,pd490,pd495,pd500,pd505,pd510,pd515,pd520,pd525,pd530,pd535,pd540
0.5,1146.792222085,1440.13887639,1738.534021145,2057.113429295,2363.86745377,2696.948768325,2995.38581118,3244.086008125,3455.7107760999997,3622.079877185,4017.632953305,4087.943743895,4232.24243335,4577.38998976,4760.6255846700005,5003.387514890001,5155.36411537,5326.71414385,5570.52636182,5782.670309415,5987.334014195,6107.89031377,6368.54065183,6550.240778995,6691.74388124,6712.186084565,7021.624798535,7110.33504824,7317.081338275,7427.066751765,7546.514739775001,7810.5260443199995,7994.00547243,8041.45773162,8136.36024733,8369.858714805001,8494.75653918,8737.21669212,8843.934259135,8881.60691596,9079.968136775,9323.7862195,9426.73219703,9522.248659525001,9683.23184031,9937.26554611,9963.366998685,10138.660099945,10285.448819615,10366.058245870001,10602.107536925001,10551.169796845,10820.76364273,10967.597025825,11080.67703124,11190.439243785,11295.07341547,11537.05401389,11639.835876945,11842.609493245,11846.251690345,11982.920739834999,12123.72339553,12313.597327135001,12318.442420104999,12574.29066226,12691.23665647,12725.275912055,12831.98549811,12964.18412563,13143.671280265,13227.01052941,13460.493729695,13530.525829445,13600.091517255,13724.256986205,13913.458850685,14014.63634056,13952.07660242,14217.92731752,14532.639551255,14466.68399103,14724.873076215,14886.56553089,14981.9502557,14977.085716630001,15095.69679809,15183.848181775,15335.720108935,15701.521159535,15759.34005025,15862.671705925,15965.765663499998,16130.311547005,16158.417812855,16275.92375882,16467.240038165,16654.93117973,16750.15482782,16853.013850485,16988.07086526,17146.721893175,17192.532001435,17458.302605614997,17584.419327295,17771.341212465,17979.43123663
1,1188.3352798,1496.7945471599999,1823.8916280300002,2141.74686098,2401.94494131,2768.40408355,3036.83456612,3317.6512443799998,3516.6861000100002,3717.5376605799997,4079.32304464,4210.222605270001,4281.68154898,4697.34494085,4890.55283605,5122.67061747,5255.349318889999,5426.35935231,5674.114256340001,5859.54960123,6036.7510905,6216.60995886,6455.51593127,6620.47683406,6774.6868319000005,6869.26289965,7110.34512212,7213.012645960001,7414.00440408,7560.13817654,7705.84758785,7878.6062040100005,8041.575473450001,8200.155572529999,8243.1909206,8475.6707322,8596.11534339,8835.86423175,8945.15441422,9064.810196800001,9185.74706017,9489.93167207,9509.106284369998,9619.415067180002,9776.64272521,9966.59946208,10075.95620845,10250.5350864,10417.37402444,10479.854772069999,10701.35312322,10731.05175385,10917.02359138,11022.91711176,11180.64861697,11327.47091177,11474.22966231,11587.78367163,11738.1206941,11931.11915339,11929.59417211,12085.75149036,12241.211567240001,12439.658975569999,12453.91159673,12618.079731580001,12742.15093189,12871.72155551,13046.59859451,13155.84135981,13265.87713906,13300.456520889999,13543.610105540001,13658.719604729999,13755.83897073,13913.909294,14012.61886968,14151.17090066,14145.7067058,14304.728635149999,14588.37337445,14652.40723483,14872.14912895,14970.17529101,15053.96992849,15083.94783853,15179.787760820001,15323.580803289999,15487.69002484,15738.24441133,15816.838827450001,15975.88915585,16052.79214565,16211.66453994,16304.34045424,16403.53500663,16556.601320960002,16684.41668451,16860.570114460003,16913.24329247,17068.85837285,17186.25708927,17301.72781245,17503.496834730002,17673.534846849998,17804.559644020002,18020.697820420002
1.5,1196.7970654550002,1516.363243525,1843.33768171,2198.87425367,2485.75417386,2820.36247797,3062.89160136,3346.512111895,3555.38964243,3794.893011795,4120.920068545,4298.443604415,4379.051654285,4741.3711727,4993.1317921400005,5209.00784953,5304.251360300001,5486.921019225,5710.953970265,5949.48664448,6109.738258765,6277.605067785,6512.798771715,6658.76592654,6846.302274369999,6957.842091375,7191.656742794999,7312.387196475001,7504.431824815,7646.691325085,7780.01141568,7941.573393775,8096.11221768,8237.676927044999,8338.489673315,8529.485260325,8677.49161545,8863.701943165,9014.22361796,9107.56790059,9327.340364945001,9544.443179689999,9568.161699335,9665.48410106,9855.01602175,9989.637519955,10170.153656280001,10311.362192165001,10466.34024989,10568.96997764,10795.78096486,10868.78731448,11013.62515928,11130.66941618,11225.990430585,11457.41229015,11555.30462632,11636.18036608,11805.85739261,12005.117580414999,11964.29667176,12179.882153330002,12291.6793075,12515.040255605,12536.905490125,12705.93264263,12838.666306605,12953.182615175,13120.939486795,13216.30000685,13320.993077924999,13404.272056164999,13609.55354167,13763.466128529999,13853.54968838,13956.870234785,14098.450392435,14205.545284915,14345.888688615001,14400.268650805,14658.50761018,14725.98149973,14927.074829494999,15032.054682580001,15109.02354191,15173.03275072,15291.464833075,15488.57750092,15557.806262560001,15770.54812182,15834.35689917,16024.177881545,16166.296357425,16273.979021129999,16355.76249913,16460.900311955,16616.75586498,16712.97272545,16895.955994115,16961.586192805,17107.20840657,17230.858588195,17336.696348014997,17539.63491492,17697.170927184998,17841.978494230003,18055.647541665
2,1227.5664957000001,1564.9743809,1879.82652284,2219.1999373199997,2518.7102640000003,2849.86180536,3090.5496837200003,3420.74279408,3587.29114732,3829.9470487000003,4150.324123820001,4331.17972946,4480.9806277200005,4804.67257472,5032.6516628,5253.09971588,5316.329867179999,5591.3637608,5759.593686300001,6031.37130488,6141.5660015799995,6331.130960179999,6554.10495612,6685.88823124,6876.0357816000005,7012.074402300001,7231.569008920001,7349.060103440001,7541.59585794,7733.8122155599995,7821.84214322,8001.75844222,8162.49220814,8304.42378084,8391.308485239999,8583.734966600001,8813.14202348,8936.27043694,9034.314272059999,9180.220592439999,9354.559265400001,9592.73530198,9677.21209642,9709.32503896,9943.7185791,10060.317298760001,10226.38061694,10389.02251204,10538.20732872,10614.898112840001,10834.30546632,10899.01744214,11083.08279272,11164.26025666,11301.74175952,11518.045391880001,11659.0483864,11694.605735300001,11853.88140426,12062.49802802,12046.7560333,12270.708144999999,12332.41797088,12566.96240088,12609.125214020001,12754.24664694,12865.2558126,13016.49628656,13183.480468060001,13274.197219239999,13419.88906116,13488.90025434,13654.82482386,13861.1783404,13914.3849523,14012.591907959999,14133.294644380001,14238.74859804,14399.15254458,14444.221952580001,14705.18895146,14771.02693756,14986.955618779999,15063.601674239999,15148.5792545,15271.713592740001,15391.322661639999,15583.28839288,15583.1641913,15808.080787780002,15879.40095626,16052.71095264,16198.535450200001,16287.8274392,16381.94567476,16531.63403958,16643.82490338,16748.70751546,16933.2074842,17021.6838598,17139.40703092,17272.3448108,17423.803790579997,17584.359917920003,17738.7415822,17916.21111548,18068.95107366
2.5,1243.1617434749999,1580.496305,1900.5450736,2248.404369275,2536.021076475,2873.8861389999997,3109.2707452,3437.7354929,3621.9908108749996,3862.858502275,4174.678084024999,4360.191061799999,4517.372036375,4850.1149602000005,5048.0997782,5289.2869707,5337.3628893000005,5616.84454015,5786.706093425,6052.175151474999,6171.222440574999,6368.55033005,6589.820375875,6727.292420175,6920.779158675,7063.881870374999,7251.997571524999,7404.14366805,7585.040088649999,7749.86333175,7868.3920424,8039.35595515,8231.083487875001,8326.943956975001,8443.908080725001,8677.073867825,8850.424286225,8961.065827675,9085.3286998,9222.165562475,9419.977491225001,9634.145727625,9709.281371575,9757.677028125001,9976.2815299,10099.9743549,10242.827095274999,10440.3945978,10567.871483975001,10661.118760175,10875.953477075,10944.823335075,11166.81837945,11243.92109365,11349.413211725001,11549.4716805,11676.99917385,11737.571587325001,11908.569861775,12104.6110254,12114.41721605,12294.726953325,12433.53458965,12630.182707725,12631.660447375001,12786.148546974999,12896.309588574999,13097.278297575,13217.3977488,13340.07548365,13459.550106125002,13521.903491425,13677.549617125,13879.636179124998,13947.559324599999,14039.391547225,14168.433659299999,14258.577549275,14447.881592425001,14473.191148675,14734.06856495,14813.131694175001,15009.049537225,15087.2840958,15212.704337825,15298.859165675,15436.64559035,15633.467964899999,15622.857787924999,15845.445079675,15922.383261925,16092.320469100001,16244.564625375,16310.155602275001,16417.162864225,16546.754111924998,16670.83442035,16766.432161999997,16980.446883725,17071.708276375,17182.805046525,17326.839317475,17461.088644674997,17600.273168300002,17751.538138825,17930.7393597,18106.0709552
5,1294.3656931,1650.6478927,2000.60152425,2362.98822685,2623.8607284,2960.5591064,3203.9589977,3529.3174968000003,3739.10982245,4018.83803425,4298.56707515,4499.2573585,4698.7684815,4958.8921804,5230.520117200001,5412.540580000001,5521.0430335500005,5748.9385028,5955.89254975,6188.99685145,6295.5452037000005,6550.5275354,6719.008081100001,6880.4261229,7065.7736711,7202.97293805,7401.7284963,7535.633350700001,7740.562277999999,7874.9712322000005,8020.6884755,8182.6110229000005,8381.1286055,8490.4814547,8577.9966261,8837.468544250001,8947.25728645,9149.028379200001,9271.74777195,9434.0287391,9545.39429735,9742.13518695,9882.5218532,9969.959185799999,10141.001999,10264.30086265,10373.69586735,10574.46833405,10725.762820200001,10809.99289895,11028.47744535,11110.592116650001,11288.666985450001,11409.65097345,11551.7826802,11690.66673355,11809.26695475,11929.705330949999,12048.75006595,12250.881465299999,12342.20483085,12461.57261965,12587.18908655,12769.719506450001,12832.1543589,12954.54321025,13089.16039095,13255.57880345,13365.5350409,13488.859626000001,13558.392202149998,13704.62932885,13833.6636066,14032.96065285,14133.94446395,14221.9084453,14329.7520698,14433.94225425,14609.014174,14680.807361,14887.5543504,14982.738657950002,15096.31812655,15236.6707625,15367.43716785,15447.6309601,15586.9038042,15726.826153599999,15798.80919985,15925.1694463,16037.199800400002,16185.9862218,16332.9823798,16459.59440845,16497.26712025,16656.657842549997,16775.657949649998,16909.0918642,17073.197294049998,17154.7562994,17269.92257605,17434.4602934,17559.536504,17688.58733515,17842.3844625,17989.4182205,18189.45361855
10,1351.2165401,1726.0026732000001,2109.1126636000004,2459.5363336,2745.9060412,3071.3746445,3334.9577566,3661.6578605,3887.8178307999997,4157.7044997,4437.5306583,4634.8793495,4843.4487648,5097.2108884,5350.7344824,5537.0872718,5686.371689799999,5929.2892581,6097.908646899999,6348.3925823,6476.4719389,6675.924500300001,6883.960812,7032.7408831,7229.133215899999,7366.644932900001,7606.736024700001,7739.2832006,7913.1449443,8051.5455842,8215.4109152,8398.7624005,8543.9700684,8631.3600177,8787.3005469,9049.9424616,9117.5091675,9307.7629593,9455.5588709,9602.523409899999,9766.965482200001,9923.5592032,10048.3007703,10239.0011043,10307.4741398,10431.9292977,10616.120390400001,10785.5513235,10905.127948199999,11020.5777193,11195.4333656,11312.98032,11485.9979184,11609.4499579,11732.521316600001,11851.235512399999,11974.8037879,12126.4671286,12230.5728738,12393.4741459,12549.2898556,12658.9648005,12816.9669079,12955.1401037,13019.6460016,13151.1992237,13269.7714524,13397.7669162,13525.1967417,13657.8806056,13761.4098023,13871.0962004,13991.278676799999,14170.6396379,14294.9228662,14408.6990411,14518.4417269,14599.841526799999,14769.7618595,14879.0308606,15044.4932285,15116.2832213,15268.1874128,15371.014717600001,15489.1634352,15607.1184742,15724.303232799999,15849.5007314,15971.9269936,16046.1375952,16154.5138422,16317.3903563,16466.9707878,16577.2150917,16660.8280266,16810.7848764,16912.5984413,17005.7380095,17189.5425459,17260.8858004,17417.5075151,17538.559346,17648.6771566,17793.0356751,17934.945708,18050.6072552,18230.6829495
25,1469.85681175,1888.1423397499998,2293.33212275,2626.76652175,2950.74926975,3280.41838925,3572.044275,3893.741516,4116.4226085,4387.76546625,4675.4513875,4874.48109775,5078.92297,5342.5913455,5569.12284425,5806.936835500001,5963.003694,6199.7138195,6387.417643000001,6583.687682,6755.31697,6932.26505325,7162.44845025,7338.29189375,7510.19108375,7646.15126625,7891.69041875,8024.89375775,8219.603584499999,8357.844473250001,8526.44038425,8717.65414075,8890.54072825,8977.320966,9150.6486845,9348.976613499999,9496.22217425,9619.31382775,9773.3406605,9970.303862,10090.2707935,10219.71468525,10396.9621075,10519.358772,10630.57248175,10798.579342250001,10946.25505625,11093.315341,11255.3257415,11383.687627250001,11483.7925935,11631.40830975,11772.26062,11888.215952999999,12031.190581,12168.429760750001,12287.06251725,12433.07360525,12569.976193,12665.04726075,12843.35943625,12969.665539,13067.102897249999,13247.002131000001,13318.32539425,13456.267622750001,13574.101089,13686.7213335,13828.2944335,13929.13019225,14049.94301475,14155.58885925,14294.217302750001,14442.83604475,14531.565106,14665.63934425,14769.195939500001,14892.6775795,15025.804578,15125.56249575,15273.1658815,15376.85895525,15490.624771750001,15604.50494925,15727.764081500001,15836.14715325,15949.3714415,16090.54969325,16202.35478025,16279.26093,16406.214526,16524.338833,16652.9546315,16766.97143025,16868.519497,16991.0261105,17091.23765625,17226.600481999998,17343.513068750002,17434.752798499998,17568.50515175,17664.4455285,17788.742277750003,17905.43180075,18036.008087249997,18148.23563925,18265.095207500002
75,1792.0752055,2302.9033615,2694.47413375,3115.55342225,3461.4663215,3804.90251525,4117.10526375,4416.7210085,4692.20103125,4951.51651175,5239.078035750001,5461.26527425,5709.54125475,5975.57734175,6221.72739025,6444.5308495,6625.3549315,6842.59498,7069.2588025000005,7221.825259,7425.11292075,7636.0848105,7857.939632,8005.34173275,8180.63701875,8333.547578,8559.271587,8711.24212825,8921.2071905,9059.838232,9228.4898815,9385.8332725,9550.742177249998,9714.46831925,9847.44491825,10038.4191185,10187.29966975,10293.031792,10449.356641999999,10649.477825000002,10744.37645475,10867.96027475,11073.292048,11227.50574575,11344.45314,11484.11190275,11605.683080499999,11724.158551749999,11917.351558999999,12012.52008025,12149.284402,12280.1697655,12397.899256,12544.206615750001,12691.06901775,12772.252567250001,12944.97213425,13082.32006625,13217.01073825,13309.92994425,13433.1189985,13543.177260749999,13688.765901,13844.54821325,13920.148192,14064.134851750001,14188.9208675,14286.35081425,14405.73706425,14500.3895715,14644.57853975,14754.2690255,14849.59133975,14984.5302925,15098.326375749999,15201.38130725,15290.44216875,15421.4551735,15522.39388025,15632.81205075,15758.4438045,15856.3699735,15948.44505425,16095.731691,16192.65750775,16321.7759215,16397.54285725,16516.2691375,16622.804396,16710.2023,16812.9500525,16910.46319275,17019.264095,17121.049068,17214.355676500003,17308.418019999997,17424.561799000003,17518.40150125,17610.52509825,17692.951169750002,17799.831528249997,17888.6331835,17982.13988775,18073.051972,18158.04134475,18239.860238,18315.91000325
90,1941.2809962000001,2481.4051505,2899.5631146,3327.8359754000003,3680.5859266,4085.732161,4376.353581300001,4692.6253505,4963.963715899999,5278.5605239999995,5520.8452136000005,5765.7021617,5982.4618587,6248.5965541,6495.8940378,6732.500713300001,6862.6944061,7159.1605324,7339.197282900001,7555.8839382,7714.9650031,7912.0149766,8153.926277,8263.3607012,8482.4276963,8641.211309100001,8850.5899742,8994.861266,9197.6842368,9337.5635628,9519.651293699999,9685.2290883,9852.8237155,10040.5556474,10147.0982108,10312.6211013,10434.3785589,10617.7417639,10723.3445316,10938.1975344,11001.9229265,11115.5667038,11358.4785258,11488.445763200001,11627.1640631,11781.882483899999,11874.2506846,12060.7489574,12165.5656884,12293.3925502,12423.389026300001,12560.7112502,12694.984644,12825.2201611,12967.479384400001,13031.7177913,13189.7478422,13331.9148079,13477.6152368,13574.385200199999,13734.3299038,13811.2965713,13925.7453764,14076.4026277,14161.755623300001,14305.1032327,14416.3141411,14522.430571199999,14628.4387277,14724.277557,14863.8571777,15004.0210479,15093.6984544,15187.6841076,15299.7076704,15395.7355037,15481.459020400001,15599.1182758,15718.5532045,15793.1764091,15952.962183,16024.272689000001,16139.1983433,16260.446242,16355.042808799999,16473.629352699998,16561.108257800002,16659.3580837,16756.5466757,16861.3172256,16964.6427173,17042.9147925,17154.234218,17252.8667937,17336.436434400002,17426.4134339,17511.3789942,17624.3947046,17705.8323508,17774.8851528,17870.8578492,17957.438528799998,18047.6166851,18118.906788700002,18199.329518399998,18270.1664364,18327.5672668
