,mpd10,mpd15,mpd20,mpd25,mpd30,mpd35,mpd40,mpd45,mpd50,mpd55,mpd60,mpd65,mpd70,mpd75,mpd80,mpd85,mpd90,mpd95,mpd100,mpd105,mpd110,mpd115,mpd120,mpd125,mpd130,mpd135,mpd140,mpd145,mpd150,mpd155,mpd160,mpd165,mpd170,mpd175,mpd180,mpd185,mpd190,mpd195,mpd200,mpd205,mpd210,mpd215,mpd220,mpd225,mpd230,mpd235,mpd240,mpd245,mpd250,mpd255,mpd260,mpd265,mpd270,mpd275,mpd280,mpd285,mpd290,mpd295,mpd300,mpd305,mpd310,mpd315,mpd320,mpd325,mpd330,mpd335,mpd340,mpd345,mpd350,mpd355,mpd360,mpd365,mpd370,mpd375,mpd380,mpd385,mpd390,mpd395,mpd400,mpd405,mpd410,mpd415,mpd420,mpd425,mpd430,mpd435,mpd440,mpd445,mpd450,mpd455,mpd460,mpd465,mpd470,mpd475,mpd480,mpd485,mpd490,mpd495,mpd500,mpd505,mpd510,mpd515,mpd520,mpd525,mpd530,mpd535,mpd540,mpd545,mpd550
0.5,208.47245155244477,220.73639593714248,228.69463641023648,233.0845292213,236.45392877018395,247.01868920428535,252.56140734759637,255.48991085737393,261.68426424284513,260.17174588829636,259.5424757613526,266.9092641928274,262.1990878261265,270.99201402071395,272.8805752572201,275.2208971312069,277.84588772482795,270.7631584539328,275.36937332408206,270.11618102910575,279.5386160127891,281.275125555013,281.27108829208964,282.0856043742804,285.20372876118745,282.5729349703781,281.11646059807737,285.90329883614737,288.5369024908721,286.7687057126975,286.22284839947696,290.1596601801548,292.64912016438825,292.1515023389457,288.7096392585508,293.25847655882865,291.20863080895543,292.6923545002485,291.0365526430839,297.3659651747196,296.3993017578109,296.55802398227604,295.4936917588874,295.3164775590719,295.493824781616,298.3090968618592,295.77685008792884,298.11732139721164,298.62583789796275,298.3879474239758,300.8149125967299,297.5513355752695,299.93341761214515,299.3516749711683,299.7467652383807,301.3908436540326,301.73817362325843,302.7107852996979,301.928735219451,303.5458361625019,304.3680087154541,303.580451913678,306.0062047322062,303.63556147245515,307.5173747214824,307.3578939444291,306.71251345651507,309.14448760862695,304.6365289567988,306.3268160050677,307.37527944523714,307.8656715738353,307.2349835753728,309.059765417518,310.2367002535285,310.62513358051746,309.1435799356287,311.49490805760047,309.287804908665,309.22902272434794,311.17339446417196,311.0496546994257,312.12466235406896,312.1802441072446,311.18414696758765,312.26461414213964,313.2047328118344,315.02870790563304,312.62944479150855,312.92570837041154,314.60376159669744,314.62436813763605,313.99712758248376,314.3950273754162,315.4090579281826,315.6000089035011,316.27594239683606,315.2547572144874,316.0080135806901,317.35252261142995,316.91112451420486,317.27430270361845,317.5491688062606,318.65920254550326,318.5842959527634,320.144795847251,320.64648430176067,321.17012409017826,322.24953028364087
1,211.54450655088903,226.30126229619037,231.49097002168378,238.71693292019967,241.7809480134028,248.5763464961677,256.96859621748763,260.12416342595986,267.10386413942035,264.4927230110171,265.44231435343477,271.58701130223994,268.9221978947947,275.0946682037839,276.265999691775,279.9824807993782,280.15419751253927,273.66587515318275,280.55564125802584,279.3924753106374,284.56052596261054,282.3417260069319,283.19720159016236,285.64115069967727,287.77696667772693,288.3350774762278,285.203501243347,288.2954812705846,290.3493725582483,292.11228341172347,291.0735849218924,293.566421520337,294.97829507984085,294.28811463081894,292.9605546729378,294.9644081853209,296.0575222053019,297.22751856802194,295.26256684022667,298.8458657322825,300.29234734033287,297.9637737201814,298.96864011725165,298.05442156305844,296.95569945173804,299.8311751528205,300.0891045013565,301.87571323465545,300.540262019834,301.4527518372865,302.0391896910854,300.1117947456046,301.61902607385446,302.67704712243,302.2687514332009,302.80653564758325,304.7117847636924,304.8009584588477,304.19018403371507,305.068476086765,306.2136490591749,305.80650797205516,307.22716280849073,305.7756257397668,308.9048478797385,309.30336970935707,307.2720215317764,310.20061357134176,307.0203037842114,309.27965027379986,308.7359265942724,309.2341049154082,309.11753626810093,310.3454001180462,311.80082899551917,311.61698179326635,310.5837896746562,312.39372203624305,311.6801887710656,311.4730149992032,312.0770917133257,312.3518862225802,313.2548361372057,312.71566514504434,313.0412977371816,314.0181102654888,314.44412032336896,315.71298499563,313.9342078543755,313.88975327160324,315.44106289951964,315.7388679289169,314.72573877119436,315.2953456837575,316.3750230471729,316.3184251513386,316.80885778918116,317.27040513667373,317.3549459385054,318.04545090368856,318.05132824428057,318.34181928729663,318.96537128368806,319.61987619627627,319.8761782330956,320.4317722695439,321.10429502434283,321.9026177999936,322.620834430028
1.5,214.91235964944434,228.32751584609503,233.91217145989467,242.30343583546698,247.32459428989637,253.97811841547875,259.71963213840394,263.58657845052505,268.2514078434812,267.04661858757567,270.0563053062037,272.6678530278369,271.4542354303042,276.8921209160252,279.28569564626554,280.5805504981487,283.35957480673676,279.02381084268575,284.16370400813616,281.83954926188125,285.3113345462821,284.6150560872956,285.31177921238304,287.6207610184279,290.24920562537164,291.10490914054594,288.9578796179561,290.0577840798821,293.1869095473005,293.63598445560575,293.7118726513486,295.70413224430484,296.11541559893413,295.9256363081445,294.4151226645706,297.16837686921286,296.8502281952579,298.9266207068375,297.37446599736666,300.2871065570878,300.92972340061186,300.7445906138877,301.3761781291807,299.79618795459294,299.7332163700258,300.9698945145023,301.66077979300167,302.7323377781838,303.068340702325,303.01084131653334,303.0006119637532,302.0665144130165,303.73665308243767,304.0920085227422,303.56901759600805,306.45682236311353,305.61206201920874,305.7242121486901,305.51949597032154,305.9659741059835,307.21555473460006,306.6113983329348,308.5964412693126,307.74292446230083,309.3527803459673,310.7387959848659,308.3569763983867,311.1862078053657,307.97471387712994,309.85032104617324,309.7696978160662,310.4975384108087,310.23084465616813,311.51627506858364,312.25826884517534,312.03514429228625,311.67405232286774,313.05436051670966,312.6943442364662,312.2820038203931,312.71917128519306,312.8945521331894,313.7283865779306,313.44976106808457,313.71895996582214,315.0215234769608,315.00184418633404,316.13787296741174,314.82635738741726,314.96253554653936,315.9715088098665,316.395594377605,315.56322461799505,316.0345019799037,317.01183651088337,316.7273495687878,317.5611474660001,317.51976958045253,317.99242172274467,318.59529757000234,318.83939160028456,318.7237762724133,319.27289062576193,319.84157560519947,320.407153440906,320.8293887863383,321.40718385075826,322.2883531499601,322.73207080041686
2,216.02223235688922,229.21336100761917,237.01334119800026,245.3798504919997,248.84769668363262,258.27829968383185,263.1326744374617,265.54857504719195,270.4744915012568,268.3030221432462,272.8935846025649,274.42291755671135,273.4246648551882,280.70477393265566,280.9366790937339,282.7822968540391,284.5504753120001,283.3273178387186,285.7456427627149,284.1823332433114,288.0352675563436,287.1766848651835,287.67180070393266,290.121612493141,291.6211634181924,294.181138305756,291.00722552191974,292.42943068730256,295.04932530261084,297.1068603595747,295.1603320333778,296.73810028148733,297.65708411859646,298.70939551825586,296.455265826156,300.00531980952496,298.7136718183217,299.55900376349405,298.5466176093062,301.4475386983664,302.22266974827113,301.3216223258648,302.02132439481846,300.6142314514314,302.38346946344086,301.5335556573962,302.9238517554772,303.43143832249154,303.9123195483974,304.4968442512719,304.2866770603193,303.5298412455693,304.4643001772654,305.78634108923166,305.4926565893693,307.7252491511545,306.29682748703175,306.9666480364731,305.9840673510759,307.41383232345777,308.58014299329153,307.2615236134873,309.37526629796054,308.9823917976227,310.20919420527747,311.0803599481075,308.91070914016535,311.70658816703093,308.4171231822134,310.4168121119067,310.4491540059714,311.3294090645092,311.19586375420835,312.11055321470144,312.5680890206258,312.5484062328527,312.0033423852437,313.4916566842893,312.99298682981794,313.437347271755,313.5772466193349,313.6905711471569,314.3968634748422,314.7421082139029,314.3616768002915,315.32644321805566,315.3769615539309,316.4627986942679,315.20288848153825,315.7452744847864,316.7477805135577,316.8083227485366,315.92263550819564,317.00963331874374,317.66090339330935,317.5001408563474,318.1901122286673,317.82312894280255,318.40591460547745,319.024948400077,319.2541989503271,319.3153587020787,319.8327226812534,320.21155723044313,320.71836435788407,320.993544209963,321.6399324885479,322.56226290568725,323.25353019887416
2.5,219.61438925944455,230.36418928238086,241.8844528396056,247.45552648000032,250.58900738833347,259.4103195436138,265.09439623791707,267.8015606871717,273.7120406524285,270.2842017602353,274.68381760279664,277.1084894267308,275.606575765176,282.6623586771895,282.34232240838645,284.35480340044785,285.27330735635445,287.035667607693,286.7628365179692,285.14908245589714,289.70932450357003,289.4696822416247,289.8833258489042,292.22492248938727,293.2422085880974,295.0494342364731,293.57827833377945,294.0413961782757,295.7153039768162,298.8456991109715,296.1762380638363,298.76194844881724,298.9214518371214,299.419370104105,297.1824934557618,300.6443899855169,300.86582614082727,300.2467181709119,299.67827109159174,302.39594643910056,302.54588523173834,301.8292917614868,302.39720225591765,302.1539680392025,303.82315336546975,302.32360674912707,303.374407907736,303.83586434300923,305.09241218240953,305.0885860374711,305.0060684020651,305.0393923645286,306.1330596504815,306.2035995483864,306.6051149757299,308.3256805442011,308.4037661063546,307.514319405862,306.6636996247842,308.59267611076683,309.3397860071673,308.1758260122499,309.87007393846943,309.8870823631933,310.958453342699,311.7283438159436,309.90546526467426,312.1492286864176,310.483651735898,311.07069772599203,311.49905661674353,312.38996116068887,311.3988171075257,313.09419016293583,312.96325116781037,313.2350261952276,313.15153691267267,314.1854797864264,313.77077342173345,314.1518550016804,313.95358152338287,314.08999508800565,315.1927727341107,315.4195556503444,314.5410474665938,315.7008719488188,315.8936879671458,317.36020465516344,315.6480028259478,316.3629307756312,317.04171567961305,316.9759000698419,316.6227418221707,317.31305206887504,317.87751754564897,317.7806329482446,318.6612852800649,318.1636386782225,318.6190047218248,319.32575331675474,319.63385252628535,319.5813380557626,319.9812300821616,320.548359259596,321.23942787092835,321.3229869048696,321.92184898647065,322.64303721073594,323.31375680863727
5,226.40987209444455,235.82819009523826,254.62626050368436,255.026190603,261.2654823143675,268.5807959779829,273.4679884401284,276.2341575387879,280.21235358632697,276.76909712370406,282.590393079859,284.12809252990365,283.34716030031063,289.71247776580196,290.64774316982624,290.06631994268935,289.70605234817725,291.7065218804931,293.8530552103838,292.7529614436449,294.23498153619676,294.02989865803175,293.9354489478152,296.73930006311,297.4667289516394,299.25554004646744,297.551180565072,298.15636191000016,300.31568908881474,301.7498982465945,301.1736898183294,302.83334591606035,302.5006825859656,302.8455250270935,302.72843474957165,303.84493604223815,304.7750138442383,304.2509190051808,304.3554227159493,304.99387255576266,306.699844616181,305.69861921437126,306.0048501680843,306.31080789890467,306.9269250357226,307.24664025120603,306.88927703696146,307.20328313855816,307.570710355382,307.90164436865575,307.769570240316,308.52891814304184,309.15069113553943,309.56131038211015,309.61058242095334,310.4927786391252,310.4705640546828,310.8991213445474,310.7207233430769,311.3425737791521,311.8179721466485,310.8512443153031,312.25535851612705,312.32382737315277,313.55258383121,313.80115972599697,312.57341681363215,313.6827436664629,313.17438615611167,313.00176817304896,313.31621268719596,314.02786378273663,313.8562422153525,315.1485319944571,315.434832348567,315.4281742348142,315.4027119800794,315.74178251117434,315.5372520520997,315.8370784975552,316.35750224927585,316.01884643919095,317.1355456041514,317.10733909970605,316.1688728737815,317.1138052623146,317.07410498202705,318.4397596385946,317.454454645977,318.1218831136718,318.46399010010634,318.31668524928557,318.40745619679507,318.8137395126792,319.2066016495991,319.4094580693491,319.64951905311415,319.98065801467556,319.7353921072561,320.5171101295521,320.4795479419136,320.93933962193455,321.02686222761633,321.52693781720546,322.060779551938,322.2285663032114,322.6141916319233,323.3629487828535,323.88965442426525
10,233.5034655933332,253.5030211504764,265.59943114842116,269.1865840200003,274.01161962436754,279.419508415462,283.7417262825643,285.610501099798,287.2345795333881,287.4786293376432,291.6322786245758,292.1262604293271,290.7808531501036,296.7282905519278,297.5692490074681,296.9083536928849,297.16364015543064,298.7482239927881,299.8253432176969,298.8166566210259,300.9545132907927,301.3709485721742,301.5222150771291,302.3160155844126,303.61150686930273,304.2618386753126,303.7349345287668,303.4837808828928,306.3709975032034,306.7575550232593,306.4177892845122,308.0746197616704,307.2698051407314,307.98746490673216,307.3245871119368,307.8930117608931,308.4961306227733,309.404366586603,309.4331129072008,309.66275238071734,310.69710263070874,310.16273939214074,311.5813182408263,310.71404795512694,311.2122061902067,311.3860651144789,310.8833483186712,311.29986166516517,312.515380799547,311.1927310680624,311.6589869982327,312.3147412183593,313.1101919960288,313.3991101003798,313.2447375875324,313.5760649075014,313.61675080355366,314.349299604091,313.838795819773,314.183492771156,314.7215720268882,315.23675385288465,314.7975904663342,315.3858105972688,315.9095446955786,316.4842712118762,315.3400027718274,315.726091857762,315.4493602437101,315.7532923789798,315.87498476820474,316.78187612739754,316.30147176027657,317.16088831357155,317.5471094237845,317.59570311435044,317.7590417626125,318.1224003468201,317.7024312464414,317.7562516685881,318.4167018956588,318.60848922939977,318.8031578397783,319.4215905526707,318.58513649921053,318.60062273280965,319.2940921948379,319.81278230170847,319.76064952548,319.5759425110284,320.1965488579076,320.3453163105299,320.2317014323953,320.6158242982815,320.8591727226449,321.0174896023825,320.9697653736459,321.5152388058543,321.3919034337379,321.9350365257251,321.6594215181013,322.0898480072364,322.4892456478954,322.4848884366383,322.90659844167686,323.1037220935226,323.4790624208222,324.0454426690271,324.4919731024204
25,275.2795352777775,285.97370626666674,290.38997023947354,292.1892336616667,294.75848052126423,297.0992337403365,301.3558411346153,304.2485236161618,305.00715325530626,303.95553843232346,305.54043189999976,306.3003975855768,306.9027921643892,308.867953867928,310.93155193164574,308.971165428011,310.47625160280904,311.2592472900333,311.3333599304548,310.74496471932224,313.20245987685576,311.8752202408083,312.37360570710774,313.98389928793574,314.576145101938,314.08858695887227,313.9657033913412,313.909789061973,315.2214319549887,315.2960634303313,315.02868893622224,315.889465273023,315.73347207826276,315.56406180706074,316.6064571555088,315.83504417300276,316.0114549230577,316.56667025508875,316.95041971342926,316.8602244537305,316.8212207940645,317.78611588826345,318.698456969448,317.71766752805576,317.96710155120525,318.0653666497727,319.121636752223,317.57173837253276,318.98012823677124,318.113684735912,318.59960176144955,318.94427362695797,318.9280875358252,318.43202524497724,318.66163041208375,319.0821298707565,319.67816076436,320.0615786271765,319.8741347354852,319.5611231588765,319.9333015575478,320.3977734778585,319.3753429579837,319.83127797367524,320.3516369479325,321.07751789731026,320.86430014687653,320.31817133407446,320.4964422813468,320.33958138193674,320.28802541005876,320.771812651701,320.73787580785154,321.03318611639924,321.7181741295725,321.31897718920476,321.67662006171327,322.1001414726855,321.5440029528573,321.77855108012477,322.17220188615875,322.11024383369977,322.09004039431477,322.52539167451175,322.27461481618127,322.4870613867578,322.6731728804233,322.8903544948425,322.82610709602824,322.8422623268918,322.685819959903,323.06482287910626,322.997478713519,323.090772940662,323.256374842504,323.2411804239242,323.353945691981,323.5401550403923,323.44368618122024,323.6872547542398,323.6234589443755,323.9342040110308,324.1487406410607,324.06897873083653,324.44285861066453,324.56982143652175,324.77166221260575,324.9223080661767,325.1942965848105
75,365.5788675166665,359.238136557143,358.04674944868424,352.611828911667,352.3056517787355,346.77557175210075,350.0379859791665,347.66034610000025,345.7804018493875,342.26121740740746,344.7720776247177,344.33684021826923,341.77329191604525,341.23956455063075,339.99005209066473,339.6186141102245,340.8111461298375,338.8519407090703,338.672097820909,340.532514174542,337.46730922289396,336.96869534744496,338.62841002335426,336.2837823401935,337.9542542218247,335.961578143339,337.263393125771,336.44489359248126,336.5250112192617,335.787257582321,334.9992447516115,335.87861417394674,335.3541270511485,335.45981295582925,333.97949555515225,334.7808262744125,333.8818660437625,334.60907063235504,333.65601087538926,334.17489730040677,333.8197979449535,334.27098841164974,333.864320800467,332.9324334727377,333.00642370974924,332.65458729176174,333.46128508655823,332.67885385993674,333.34233337955004,332.5429004619115,331.78741031130073,332.82045706490874,332.2097405099475,332.1992038939745,331.83225866890024,332.2656741223872,332.193687602392,332.6690082254815,331.3069911510925,331.077517129627,331.3859118266262,332.0584722694373,331.3722216530223,330.8968320537605,331.22228728361,331.48871140043826,330.5037833424045,330.879097304415,330.50686854826876,330.6677035938412,330.569496644352,330.45594086835024,330.28298865818124,330.5315651021815,329.998762411967,329.93100161799225,329.9440719176755,329.88735717092476,329.56677281164775,329.85300101009653,329.8826047928413,329.7418828775852,329.40785353495875,329.57489420648176,329.26812347329405,329.0784543316965,328.904419088059,329.00794776761273,328.81161079675326,328.58994841566096,328.605844332573,328.8090605300613,328.5969083652705,328.53594629773926,328.1520143473015,328.28331724591,327.96376803810597,327.715547405525,327.8399935086733,327.7714076043925,327.49296468535175,327.495734679921,327.3191949149383,327.20201460693204,327.1205050162928,326.95532709943325,326.7729759108897,326.3891910533393,326.227368200442
90,414.6242871133332,400.3849204723814,393.1359762584207,383.976158968667,374.71997018551724,372.31919284806725,372.06659170820564,369.8287961767679,365.2478049488978,362.5800806288213,362.2929399340111,359.8024429614425,357.1921160964805,357.5226719461622,355.0520817180062,355.05704797423004,353.2763305356304,352.3151688631129,352.458036611333,352.87344636608054,348.7647922803839,348.18184862742993,348.96962428071447,346.9988299298836,348.1716414752298,346.6564228937316,348.5045827580477,344.8305865250191,346.2756796182099,344.8921404044573,344.4707100369812,344.8493176847446,344.2273674434529,343.6257199612089,342.2590439502916,342.94829347026985,341.5049663548814,341.81807665757344,341.05035228054254,340.7408763972643,341.4123234796034,341.50651403399223,340.7344641464216,339.824114693802,340.3407929286991,339.0321409573522,340.5267024218825,339.180051086076,338.8788315262361,338.4591402579032,338.037421390451,338.5857716203374,338.23486828626204,337.75548028919974,336.9938469076935,337.5122105225946,338.59281181842783,336.79251967373216,337.127286925982,336.29371949063415,336.83865802314403,337.1943090204303,336.2396875389399,335.66661294940184,335.6791077297248,335.9485617673325,335.1419505865977,335.0859439161581,335.18518392503944,334.3379696204758,334.8892789721616,334.36276761624845,334.0696725709252,334.3694491756639,333.6375776877612,334.03855051302213,333.4442444278555,333.8649291603828,333.3873149744803,332.892351562758,332.7172862142285,332.7363652685802,332.5502082493112,332.2206303480018,332.2427761431735,331.8859366367311,331.5757706804563,331.5949410062111,331.53077908514126,331.0899010031932,331.0400114986361,330.8982661916831,330.6657202616162,330.545689345558,330.12698847186493,330.0336971976026,329.9510681713264,329.5203549256531,329.7050648121776,329.41766415906045,329.0180126131741,328.7184323327193,328.62823393155185,328.198695436327,328.0091870684115,327.8129831542064,327.26699316511514,327.0180818003575,326.2787732239368
