,mntd10,mntd15,mntd20,mntd25,mntd30,mntd35,mntd40,mntd45,mntd50,mntd55,mntd60,mntd65,mntd70,mntd75,mntd80,mntd85,mntd90,mntd95,mntd100,mntd105,mntd110,mntd115,mntd120,mntd125,mntd130,mntd135,mntd140,mntd145,mntd150,mntd155,mntd160,mntd165,mntd170,mntd175,mntd180,mntd185,mntd190,mntd195,mntd200,mntd205,mntd210,mntd215,mntd220,mntd225,mntd230,mntd235,mntd240,mntd245,mntd250,mntd255,mntd260,mntd265,mntd270,mntd275,mntd280,mntd285,mntd290,mntd295,mntd300,mntd305,mntd310,mntd315,mntd320,mntd325,mntd330,mntd335,mntd340,mntd345,mntd350,mntd355,mntd360,mntd365,mntd370,mntd375,mntd380,mntd385,mntd390,mntd395,mntd400,mntd405,mntd410,mntd415,mntd420,mntd425,mntd430,mntd435,mntd440,mntd445,mntd450,mntd455,mntd460,mntd465,mntd470,mntd475,mntd480,mntd485,mntd490,mntd495,mntd500,mntd505,mntd510,mntd515,mntd520,mntd525,mntd530,mntd535,mntd540,mntd545,mntd550,mntd555,mntd560,mntd565,mntd570,mntd575,mntd580,mntd585,mntd590
0.5,75.6946793154999,88.87703880533337,81.9924919607501,72.43276695499999,79.4032645545,73.32007467042851,72.92094089950001,74.29991464366674,70.9923471026,68.7113713097273,66.68774658591667,69.42465544707692,63.87846373371435,63.83195607753336,63.9217875174375,61.15890337176475,62.42798271338892,59.15507742478948,58.178217919350004,57.59369700399999,57.73099588386367,56.051571495000005,53.884578536416704,54.045430845759995,52.63167475626924,52.90715599114814,53.25009665121428,53.15686785703453,52.41907604986663,51.57797414896774,49.25569724934375,49.84216204703029,50.112859415323534,48.33743869237146,48.793426383416666,46.58999001472978,48.45432621857892,48.19890868392314,47.334970993525,46.78772306490248,46.76035308661909,47.04378967848837,46.47042158970452,46.034450361755546,45.651014101217434,45.260911308638306,45.07639349689583,44.89680615697964,44.43232759154,44.53134641950979,44.35060242061538,43.97534898650941,44.171405871444485,43.08165676083635,43.603665944392844,43.301348101315796,42.43388096956892,43.077211613067824,42.30240145605006,42.79079319054103,41.937771942177406,42.34489789080952,42.23215959225,41.970544258984624,42.194562045181776,41.671856306641814,41.72977075760298,41.04173332834787,41.79434142568576,41.41995521659158,40.86993493626389,40.72235709171231,40.62901247694594,41.117449291679996,39.96154441596056,40.14358968283123,40.23980757767946,39.89416826472151,40.407641896049995,40.320627482641996,39.85186018019514,39.13922800798799,39.72869841410713,39.64678057931763,39.546641206906955,39.0469137876667,39.694996492909056,38.85600627757306,39.30760794773331,39.437093965219766,39.49217761963049,38.965873348978455,39.07513105002132,39.1605669100211,38.71496273378122,38.661749493329935,38.74452719161223,38.308297652697,39.00804123236,38.983597137019856,38.849949493343146,38.98810651205825,38.8719595131827,38.59762474393332,38.26595807602827,38.53232444894389,38.336916704953694,38.59635677866056,38.285281199236394,38.332948345216195,38.438997426151744,38.23940481549561,38.5912250365439,38.43129520384344,38.36802732145692,38.57873742518804,39.9180065847458
1,86.2480368729999,93.20766934733328,87.4079301100001,81.5907613304,83.1989124433334,75.12955768885709,76.22808278025,75.79563485599999,71.803035769,70.84197978163641,68.08148607366665,71.15789740615386,67.08654089428576,65.02796335173329,65.17240876925001,62.51565878517653,63.782186644888895,60.598644060315806,60.3886195459,59.51269199219053,58.58549143663638,57.730802369913036,56.02285808533337,55.840925932000005,55.27863629346154,53.5372439968148,54.1019449452857,54.110830004689625,53.107496165466635,52.528016035806495,51.174276475125,51.6674667195152,51.16405341600001,49.51010306765719,49.46099670466669,47.835664260918946,49.08148577284213,49.13257700717949,48.295155488099994,47.698948060585394,47.54586228971431,47.41233850590696,47.01049996536359,46.63959941360001,46.18708450760869,46.18192945246805,45.6433778466667,45.71538199926529,45.00104164796,44.86175908113729,44.921494582615416,44.385158536717036,44.764179254148125,44.34637536818185,44.136078454249976,43.8067520415439,43.38584593465521,43.335077787966085,43.337741953033365,43.37754147075406,42.89025181916132,42.600585338603175,43.27166585053125,42.24198485719995,42.57621931924239,42.39300589337316,42.61881399935297,41.804478922086936,42.253175390571464,41.64074176002816,41.66764663272223,41.78057252208221,41.00427345905409,41.72302609592,40.79434910515787,41.11341466301304,40.806449997128226,40.391649574278496,40.720830600949995,40.631607860518564,40.32682529153662,40.14300178033731,39.95999457400005,40.269107959576466,40.15907510874415,39.729411958344855,40.245830364772715,39.412792347999996,39.6762682262222,39.714236800461556,39.78880232136956,39.41697187432258,39.500714702893674,39.50335849082103,39.22373322164583,39.27141615208243,39.194735838428606,38.96327120876768,39.15271731156,39.227810733366375,39.01330790001965,39.27669488423301,39.247159971326965,38.925310994152376,38.553893458509464,38.99703131381311,38.530065716018555,38.9355033400551,38.69053023930909,38.63570601263062,38.570800101374985,38.44949088463719,38.71629585207018,38.566670682713024,38.531125598068975,38.764088988803465,39.9180065847458
1.5,90.695893017,97.7018134776666,90.509246206,84.2908303344,86.0209045165,79.64672567271431,77.726228671375,77.33653645855554,73.545934853,72.15850160736368,70.90305215525,72.05240061430774,68.80734574457142,66.5186797304,66.112538973875,63.67962416682359,64.9733970886111,61.99357895142104,61.050666391149996,60.223147167380944,59.476024935136394,58.84286971913043,57.4190279002083,56.06803269816,55.55866304038468,55.10477809962966,54.83579526378573,54.51960028744832,54.0046096658667,53.07087920987096,52.14350067159375,52.336602262363634,52.13085657155887,50.4010509851429,49.98932979799997,48.831981275621644,49.49807279455264,49.578659371333366,48.61017582015,48.31204207512192,47.80808044426193,48.06234111025582,47.21890983247726,47.06854034362227,46.647893048173934,46.36124805221283,46.5760020550833,46.070390771347,45.59941763516,45.1615485200588,45.18473418478847,44.59412259532076,44.99224049798153,44.93925472985455,44.34628805001785,44.510635816017576,43.64072306039656,43.86573484776273,43.931472016483404,43.77057044336065,43.44961153064512,43.21078317666668,43.48932676876563,42.9355679352923,42.998581244712085,42.81127798198507,42.96505812039706,42.83187136230435,42.73411632821433,42.02921275683102,42.03598978449997,42.04485043080821,41.433961014567586,42.0932204469467,41.42504221675004,41.48775366833768,41.18748225110256,40.85953537863292,41.0952702822875,40.89154479685184,40.87190859102436,40.48259514012053,40.302597607047666,40.858111800011756,40.507211819593,40.002855001873584,40.35252456614768,39.83489409029214,39.9713261600889,39.93739824407689,39.87560544755436,39.53860877183876,39.93165237207446,39.71507946092631,39.3660305692708,39.534443531567064,39.66663568547959,39.170599903313104,39.31516511659,39.451638120079224,39.417800553784296,39.426891659553405,39.34792771951923,39.02971132135236,38.81742759088679,39.108407889177585,38.79175858570369,38.978283664990805,38.9061104329909,38.87086951972075,38.73110561582142,38.730698531300895,38.80026607150876,38.74739060980874,38.642574616034466,38.883553274316256,39.9180065847458
2,96.4573327179999,100.727181852,93.978440114,87.9170544816,88.887530896,81.74807587942865,79.19102774550001,79.13630643333327,75.1316803772,73.60887336545457,73.07195245933336,72.88642857292312,69.8447215985714,67.96804049200003,67.32661047775,64.32283579152946,65.68023028066666,62.68087887368421,61.7907836302,61.355113554476155,60.192068340545454,59.20456291843478,58.30198728866674,56.54100371488,56.8149996824615,55.64468684725922,55.482163746714285,54.90189434965515,54.409705970933366,53.53558773406455,52.866911400375,52.62139391006063,52.75800237588237,51.12499297657143,50.432743142222265,49.655631681297336,49.9601256304211,50.23981598225642,49.052573551,48.61300061570736,47.98237519857144,48.25470652576744,47.423500047181776,47.57107493688889,46.86973558173911,46.82279065617025,46.96834603008334,46.83749004408164,45.838154811040006,45.47998850541178,45.409350485230775,44.97607076233962,45.28732908777776,45.29678462945453,44.723933619785754,44.92095386463161,44.03284449531033,44.554896030508516,44.26887641773334,44.24863038340985,43.80311101645166,43.55658225276189,43.760743424,43.2934409582154,43.154651252606065,43.10152019719404,43.133835698411765,43.12356382597105,42.83993541348572,42.384975735718356,42.25482574577782,42.33018208082196,41.868226457405385,42.29016945530666,41.775008765368455,41.658355748935044,41.46862832174361,41.255265876455695,41.35163684425,41.02519091081481,41.10979656307316,40.970479599373505,40.607320532000045,40.92305416800001,40.688212686139536,40.28351416340229,40.6277087121818,40.089591839415725,40.187267980666654,40.41790851261536,40.181565244478236,39.98385777901073,40.08319993523405,39.845409374147415,39.60640610825006,39.77918515212374,39.800608413632695,39.25429856202025,39.41730827056,39.610416973742616,39.55964728611764,39.533709199145676,39.46435120423079,39.2121470303238,38.97515090894342,39.23907457528973,38.931735448888844,39.11749369247709,39.02015830701823,38.9583023005405,38.96743172949997,38.837907580035456,38.8823859794386,38.86287372365218,38.71846584944832,39.280245915042734,39.9180065847458
2.5,100.2366009075,102.79130713166667,97.7899776575,88.863338007,90.72916964583337,82.89841673857143,80.01751307562499,80.23403346333335,77.3370866935,75.51181061227277,73.6207489808334,73.537770965,70.81470831392855,68.71353294500004,67.9505546965625,66.09001633000003,66.67697327527779,63.01600924263164,62.293456069,61.56671811095239,60.74847138659088,59.96166337913043,58.697420615625035,57.90787132,57.188526863269296,56.15818483407407,55.93461178464283,55.43208687034481,54.64836126533333,53.968019970483894,53.368042210781255,53.02447732060604,53.13198914514701,51.64111598185716,50.89146985013884,50.35348512297298,50.33027586052628,50.5494995491026,49.206710557624994,48.802979423780535,48.38357950821432,48.65495294860466,47.869809516931795,48.08115782133336,47.035499643913084,47.203874138723364,47.14135382718754,47.104761438265335,46.4150101456,46.166928518823525,45.79734556740383,45.88271527075471,45.48928508333335,45.573033042545426,45.18977131812502,45.124463020614016,44.52338179250003,44.827120647288176,44.503883698833334,44.47546954122947,44.13165243177423,43.7763341201587,44.21299571460938,43.52599580007698,43.52497900477274,43.418517178283615,43.18804129485293,43.39199559181165,43.050349412285705,42.72211669950706,42.67925643013888,42.54992898020551,42.050402943513525,42.419626331133365,41.92513776407896,41.841690188181815,41.77231718519228,41.532811107911364,41.7425747313125,41.24440061179018,41.31791923719515,41.12942692620486,40.87616753172624,40.999922755941235,40.82165493703491,40.464795099885066,40.71679436477278,40.236449669887605,40.289773183222216,40.51789929890113,40.31339694239135,40.20548716161295,40.15566901696809,39.93066057052633,39.84086958114583,39.94682088530933,39.89957163709181,39.512302424141446,39.5409357263,39.67647252940593,39.60742014710788,39.61832900373783,39.64093739913458,39.41374302699998,39.11655767872642,39.352788357429894,39.044875252777814,39.19025797247706,39.12234221359091,39.061518437522544,39.01605340888391,38.93358889783188,38.966479817017536,38.9631756138696,38.769165527758624,39.44353168970088,39.9180065847458
5,112.881283425,111.148973016667,105.2634973675,99.187845454,96.52277248666672,89.82989831999994,85.984991255,86.03486783777777,81.78086917899999,79.61331389454546,76.90976855083333,75.92039117384616,73.39003474357145,72.45366277733334,70.9700917475,69.50495853294116,68.45858692111112,65.77393470263162,64.34424597900001,63.861359195714336,63.405987115909106,61.683728164782664,60.62793988416673,59.9411161912,58.8997038815385,58.02896745740746,57.59399299857139,56.95115498620694,56.2930800446667,55.5991676387097,54.8851259309375,54.393828111818216,54.29085744941177,53.13798391685719,52.55669028722224,52.28645293378376,51.660211996052695,51.79889562282052,50.80991414725,50.305811073414674,49.91010097785713,50.026001756279044,49.182045267499966,49.45654020288888,48.621741725869555,48.12064356468084,48.60737199354166,48.57392164591833,47.6279022618,47.26144363352939,46.92176688923076,47.30709921830193,46.525867522963026,46.686473641636354,46.20616333499998,46.24961843982456,45.8092981575862,46.2205148155932,45.2790410008333,45.49287215442628,45.07836141612905,44.83245318873014,45.088349707812505,44.647260517076916,44.38240237151514,44.225380414029814,44.18209706647059,43.923628153478234,43.74980589514287,43.59814675774651,43.31767413861116,43.37689103328764,42.95986909013513,43.1451429094667,42.88742479710531,42.75424121870126,42.57227262743589,42.191888275316465,42.26358213775,42.12278606370367,42.06172880853662,41.881360740843384,41.64454507773807,41.57189517717649,41.50578994058137,41.24777340609196,41.25941744204547,41.07324474235955,41.04532176588887,40.95103264175829,40.947518389021745,40.690147826774236,40.72385221255324,40.430794689789515,40.50425061802083,40.410046805463914,40.397978230510255,40.15040732151519,40.0747027303,40.16316203722774,39.95942631107847,39.91076296048547,39.916917284038476,39.80662442714285,39.65626229216985,39.68375055233647,39.43807201481478,39.527953210183526,39.405040973181826,39.38783070522519,39.25123775535715,39.31409006486725,39.28659684903511,39.34354834947828,39.39251395517243,39.62583509000002,39.9180065847458
10,129.40227038,123.391209173333,115.50234945,108.290602808,103.9188718666664,99.36190801428577,93.7549846325,91.24456870888893,88.303959068,84.99283286545455,81.383064485,80.37610131076924,77.60862097142858,76.16101327466673,74.25953799125,72.35952812941179,71.17294360111114,68.56859151263157,66.838914151,66.78050188476193,65.79628428636369,64.3802140486956,63.138384250000065,62.4043915728,61.35295189076924,60.70742259555554,59.82426816642857,58.813476622758586,57.99305836866667,57.79193812193553,56.992995731250005,56.20128484121214,56.0963621252941,54.93042174457143,54.13690697166671,54.29822818918916,53.63080257052627,53.148398948717926,52.55512024,52.30162204585366,51.998884453333325,51.78217748418603,50.63104101409091,50.92673819600003,50.18853950217391,49.74526618808511,49.80483905833333,49.87031823755101,49.2672999332,48.885213212156884,48.16422341153845,48.55082709547166,47.79348687296301,47.88186753890909,47.52749971392862,47.23201992842101,46.881317352068976,47.18962914745764,46.5989963263333,46.564556880983645,46.29880050451618,46.14166007142854,46.1165237659375,45.49441223415387,45.45150048939395,45.367445360597024,45.11275434205882,45.02384807942031,44.82158290742864,44.41913836704227,44.30983522777782,44.26700894301368,43.92248532216218,43.928543775200026,43.59878779157894,43.70875272181817,43.379106078717925,43.144735155189856,43.197016445,42.87719087481478,42.855627092926866,42.598868630120464,42.4648699488095,42.287396317176444,42.15134950465116,42.09582940942532,41.92778465045457,41.79877325280898,41.81139720311111,41.516191327472534,41.55132928065217,41.48458217225811,41.294264468510626,40.90426418042106,41.08206454875,40.87749558969073,40.92014865959184,40.719461722828314,40.6173166,40.61294428019807,40.41816390156864,40.38779559747578,40.31660424750001,40.22163941390481,40.1727732188679,40.08822751140188,39.94623015203701,39.88393040458714,39.75297500418187,39.81183764432433,39.63156543464286,39.74002661787609,39.727908376666655,39.78267659078257,39.750677632931044,39.78887590752142,39.9180065847458
25,156.76774294999998,146.2240044333335,133.56805323749998,124.20422257,117.34926154166675,110.78443229285675,104.60284869375,100.92190215555574,96.81229845000003,92.5563709136364,90.20862539583335,87.28542535000005,83.93972041785712,82.60292206333338,79.816528265625,77.60474759705883,76.52955291111118,74.9753192078947,72.23361461500001,71.63829279285714,69.90593799999998,68.57322172391302,67.78702706874999,66.443049178,65.733893,64.53894732407409,63.32008667321428,62.53207200689653,62.33064679499998,61.5532128225807,60.565113559375,59.31378815000002,59.500533567647075,58.29965320285713,57.54714559166668,57.742915040540524,56.75100995263155,56.168245389743596,55.57413985875,55.516732562195145,54.8654421047619,54.41429320930238,53.546750142045475,53.49641144444445,52.93745106195655,52.63540471914892,52.10062221979165,51.976613093877575,51.683592854,51.152968895098,50.91410734326922,50.45054290566035,50.1176232574074,50.1157373481818,49.594315608928575,49.33415650350878,49.11708402931033,48.999505062711904,48.69858879083333,48.45347012540982,47.96679742741937,47.83599388650792,47.678112999218754,47.21525079538463,47.37680910378785,46.783598862686574,46.75828855661765,46.48435813550723,46.302344952142825,46.19704124084505,45.84515234930557,45.77805292397262,45.568467672297274,45.26729182066665,44.9459624552632,44.88535037987015,44.893040236538496,44.57868161835445,44.42771728,44.067149305555546,44.06062612682928,43.95814259156627,43.61257370535712,43.60081070117645,43.5096501726744,43.24803064310345,43.01717879488638,42.95692421235955,42.79636761055555,42.69659538241758,42.451183165760845,42.462327047311824,42.30162682978725,42.158438037894776,41.954728863541646,41.81164789793813,41.82102892704085,41.50867798535355,41.436475711,41.418036660891126,41.1757539357843,41.17160657718443,41.067081158173124,41.02500119476187,40.8031904235849,40.8299542093458,40.6979320013889,40.59922211055043,40.461474133181824,40.4206041121622,40.240174801785756,40.26386027212388,40.17852346184212,40.105518496521775,39.97934998405175,39.94657014786323,39.9180065847458
75,232.35302332499998,197.40287815,177.743940975,161.77297463,152.012614541667,139.684230835714,131.76481989375,125.39643324444475,118.81436390500001,113.53835308636376,111.2956917541665,105.268706430769,101.23776894642825,98.19231503333333,95.82576836562501,92.18439557941174,89.98793248333337,87.66222834999999,85.4718656125,83.3984266214286,81.39093697954544,79.78100458695653,79.25647434583337,77.196947878,75.5594046480769,74.45491113148151,72.7574167553571,71.18905816896553,70.54602773333335,69.30612153064517,69.0178056265625,67.2528330439394,66.9082791485294,66.11437337142857,65.2731808972222,64.15554711621618,63.594209323684225,62.805634698717924,62.355054817500005,62.0084206719512,60.756078327380976,60.28511905581392,59.6335747681818,59.423380058888924,58.54231288369565,58.063894250000025,57.52654357291667,56.93781898469388,56.453049779,56.2220086480392,55.971449238461524,55.1659012179245,54.88110109722223,54.628652003636375,54.08072612857147,53.53720901842107,53.32119891896555,52.81692562966105,52.76993318500003,52.349035050000026,51.917354812096775,51.609495390476226,51.43588705625,50.97019217999997,50.79911055984852,50.3859188932836,50.12161703602942,49.613282725362296,49.65536939214287,49.372414852816874,49.01801578472225,48.758362978082204,48.50772242499997,48.22982333733335,47.90572506710525,47.4922749461039,47.503951835897475,47.3200006841772,46.96828866,46.90456661049385,46.53489513292685,46.44859576144575,46.178383132142876,45.981473328235325,45.9255699610465,45.55336606896553,45.369665460227246,45.04346296404498,45.028519887777776,44.784129572527476,44.49546474021742,44.37584283440862,44.184789934574454,43.966224104210525,43.8103902984375,43.629833888144326,43.49460965204082,43.31586829999998,43.1660058785,42.97221832574255,42.70512225343138,42.58434893446605,42.40852936490388,42.247722095714245,42.130911298584905,41.904977955140176,41.767294468055574,41.59997387752295,41.466211163636345,41.26714924324328,41.0888868017857,40.920865093805276,40.71969081666668,40.58106364956525,40.374816162500025,40.190491874786304,39.9180065847458
90,271.32861311,223.532587913333,202.45012734500003,181.65622335199998,169.072212766667,154.3725608171432,143.85658881999998,136.60973482444479,130.327536658,124.08006324181831,119.8135319766667,114.94153220769272,109.7955629471427,106.5026933346664,102.4860518225,98.4827435011765,96.44534582222221,94.03136926947369,91.639967497,88.29630789904762,86.18972492909096,85.11781042956524,83.21215745833335,82.11285641120001,80.46502428307689,78.25140015037036,76.79112211785714,75.5193108082759,74.5936549386667,72.8550248709678,71.97028052499999,70.926568010303,69.8201104282353,69.3100961285714,68.30894603166672,67.41264437243245,66.83832153052637,65.54609400153845,65.2257327115,64.74671033560978,63.25029415571431,62.790063807906996,62.30024276136365,61.60910859377783,61.117692620869605,60.52413616510634,59.82738292500003,58.95042123346939,58.4105931108,58.05463765019611,57.970960496923084,57.4831202509434,56.65201101296299,56.56692801018179,55.82185446785712,55.29173850842105,54.98171349379308,54.53647992135594,54.484513922,54.22489789737704,53.67269608935487,53.11632373428576,53.0951711603125,52.32834455846149,52.09700368151519,51.75388487134332,51.65239764735292,51.06240119159419,50.80250095457139,50.6762069630986,50.32684805166669,49.82962752958901,49.63957891054054,49.497260272266644,48.98688511789472,48.660728325194846,48.49917497871793,48.301020990886116,47.98570359075,47.83198096469136,47.5713059956098,47.45452103831323,47.13196533833335,46.914242316000006,46.70652844139539,46.390500664137974,46.34690227431817,45.92786414606742,45.77214541022226,45.52833214857146,45.342562991739136,45.051582529247334,44.892369859361686,44.65485063684215,44.50433998104167,44.314307375876254,44.10593660367344,43.89611042565658,43.723925808,43.48917804316832,43.25454037294121,43.05458360757282,42.8830213601923,42.71990900723808,42.5588882769811,42.32940481476632,42.13897497648152,41.90611490990828,41.74780092127275,41.57520969855858,41.36184891267858,41.15498174460175,40.94931149508772,40.73106598243482,40.49436156189659,40.26085008615385,39.9180065847458
