,pd10,pd15,pd20,pd25,pd30,pd35,pd40,pd45,pd50,pd55,pd60,pd65,pd70,pd75,pd80,pd85,pd90,pd95,pd100,pd105,pd110,pd115,pd120,pd125,pd130,pd135,pd140,pd145,pd150,pd155,pd160,pd165,pd170,pd175,pd180,pd185,pd190,pd195,pd200,pd205,pd210,pd215,pd220,pd225,pd230,pd235,pd240,pd245,pd250,pd255,pd260,pd265,pd270,pd275,pd280,pd285,pd290,pd295,pd300,pd305,pd310,pd315,pd320,pd325,pd330,pd335,pd340,pd345,pd350,pd355,pd360,pd365,pd370,pd375,pd380,pd385,pd390,pd395,pd400,pd405,pd410,pd415,pd420,pd425,pd430,pd435,pd440,pd445,pd450,pd455,pd460,pd465,pd470,pd475,pd480,pd485,pd490,pd495,pd500,pd505,pd510,pd515,pd520,pd525,pd530,pd535,pd540,pd545,pd550,pd555,pd560,pd565,pd570,pd575,pd580,pd585,pd590
0.5,1141.604213025,1484.73801467,1757.05017848,2030.7673976849999,2404.629252215,2659.47884951,2984.5484975500003,3164.4260582049997,3477.5091362549997,3736.06493361,3948.099334605,4163.691774465,4319.17125309,4585.17921699,4773.097880975,5091.2243847750005,5233.718778975,5363.121819835,5536.384040725,5832.293052875,5931.68024476,6148.923725085,6308.297795505,6448.907157834999,6546.76467702,6780.19337318,7020.072654945,7120.33720755,7368.326305240001,7596.109388295,7578.23624153,7760.511908009999,8052.48932221,8180.765925719999,8226.556765435,8371.80578465,8485.43903119,8703.970747475,8776.49423134,9023.86269922,9131.656494955001,9259.918165264999,9425.073619085,9641.292610925,9621.255685695001,9811.6819588,9881.035842285,10029.991246014999,10030.03031053,10282.298047065,10515.28754046,10550.115246050002,10652.40684836,10842.861563960001,10996.934697745,11116.93489961,11255.625558145,11315.077730870002,11567.013157565001,11443.06569488,11634.58046423,11902.491064995,11798.800540045,12112.832098975,12230.21826956,12432.51924354,12363.17798588,12534.414089425,12642.34964151,12726.24463358,12975.98652313,13055.496585305,13171.293412965,13248.39558506,13485.93317389,13558.651604409999,13760.82863962,13761.184637209999,13869.95263778,14108.331368534999,14166.60199832,14361.89316069,14474.046579705,14590.42766541,14682.725744925001,14774.62417465,14954.598808675,15024.57235593,15139.72304991,15259.11544212,15406.615063270001,15483.01073674,15629.117606574999,15602.08056125,15941.47852796,15981.555801565,16054.107962785,16292.575622945,16465.976135685,16540.050392065,16755.615373959998,16772.172069015,16852.692298935,17045.64613143,17106.26027709,17333.267901575,17310.569612545,17517.750550865,17659.156018269998,17708.970963634998,17912.215289095002,18001.860606129998,18171.161192685,18392.864772545,18483.722741675,18621.473910785,19172.083597
1,1183.00387455,1509.32921628,1799.58398377,2145.9400753900004,2488.4669530399997,2755.83514351,3014.45938097,3238.78337513,3526.53212419,3764.34893973,4041.5858764900004,4258.138083639999,4415.044231469999,4634.26449743,4895.16449749,5119.51688173,5281.2863229800005,5485.92240315,5681.17802443,5894.83245656,6068.1671588399995,6218.63732602,6397.27805437,6631.2876264,6689.5901306900005,6902.00051814,7120.33777928,7213.9033254999995,7456.575229700001,7642.11046695,7688.66440178,7873.01173664,8098.33638065,8258.05872425,8319.60870127,8493.36905896,8595.516538849999,8778.609448730002,8898.81647077,9036.91056333,9252.69332112,9353.56246497,9496.38623625,9688.935267820001,9692.52420746,9879.60296592,10010.04335367,10064.678604089999,10221.109405140001,10474.72403662,10534.10005085,10624.961802740001,10792.9803765,10934.33366978,11039.200690630001,11232.48612085,11352.40113736,11427.94586111,11663.90984309,11608.77324719,11738.346282449998,12030.941421520001,11895.007617489999,12221.101167640001,12314.28736672,12539.508280729999,12519.50548302,12671.98378439,12775.00015487,12824.973737190001,13077.37727381,13125.59236367,13279.77104883,13331.51506991,13512.5383382,13729.2559263,13840.076714390001,13884.72212174,14087.93294785,14207.64828546,14216.657907109999,14439.12670724,14511.922199080002,14627.48096058,14746.862929730001,14843.80211369,15031.0966677,15112.73824598,15275.137398370001,15317.665016820001,15489.82637841,15561.42482952,15711.81426926,15860.963501740001,16033.30589857,16182.860655929999,16248.9627234,16356.940581769999,16517.699078550002,16626.5876187,16782.35466367,16847.163787949998,16939.4901638,17124.01643704,17189.0750894,17373.96468863,17395.08388933,17656.40550441,17725.64846897,17794.024513459997,17949.317199089997,18131.574640310002,18254.94454862,18430.38901397,18548.57463084,18684.54893749,19172.083597
1.5,1197.200356365,1536.589442895,1868.914427555,2197.89327439,2512.36473433,2774.3918797099996,3072.422733765,3279.14009614,3569.793380955,3840.35092891,4084.722277635,4307.169721965,4484.445899605,4711.092228275,4958.072811445,5185.31930085,5343.02559396,5586.34133682,5768.522386414999,5916.9753738750005,6110.361706535,6280.37565233,6457.69095688,6684.39520452,6742.619764630001,6979.35303921,7169.99129117,7268.866731339999,7536.316050965,7699.50840273,7798.867375555,7992.38841891,8120.081931074999,8316.40495218,8378.58196572,8547.267951215,8660.340047635,8837.70943175,8949.587712875,9131.8158926,9272.244297759999,9431.161154435,9542.238658945,9741.659290845,9764.417339115,9961.0929123,10085.196218714998,10173.003135475,10282.25979344,10509.69371485,10576.10277602,10720.10044158,10912.81141388,10992.65208494,11115.532063095001,11292.71501809,11417.17875561,11514.463562285,11707.766750265,11677.191842795,11862.78210063,12064.93520765,12019.21606528,12297.095655645,12368.463246950001,12584.95542,12688.004894979998,12757.810290435,12875.233430525,12944.90363065,13143.748669109998,13188.037503174999,13402.62234374,13407.24984529,13567.187370369998,13775.87770204,13902.59565995,13951.18987957,14159.303673525,14257.495075145,14262.21181617,14496.193571795,14579.024512330001,14718.80281297,14783.83790835,14890.617314135001,15099.76918117,15152.170136705,15346.786225745,15489.027992915,15545.995858755,15605.958145845,15751.813846820001,15906.326806105,16127.05579615,16241.53428608,16321.076256855,16469.795859240003,16599.350488170003,16676.70382287,16832.988908584997,16946.158312785,16955.735514685002,17242.263392744997,17225.155441525,17417.89382087,17505.832410285,17702.22350928,17775.549889455,17865.22653358,18019.42382907,18194.33735976,18282.920550715,18457.287294725,18571.610245325002,18721.67144135,19172.083597
2,1205.39926582,1558.3640251,1898.74041946,2223.23697796,2534.3754668399997,2823.56997976,3106.7408077,3306.9707679800003,3602.37011176,3864.80058282,4110.34849228,4340.33654166,4543.55544462,4753.90114188,5024.77694732,5252.8166495,5371.7533577799995,5625.646027379999,5797.638390059999,5947.72063774,6169.50816616,6323.401900559999,6510.21462406,6734.7014328,6783.9690777,7023.28369088,7219.26096198,7297.448652380001,7557.1329309,7747.1251895000005,7841.15053534,8027.1824231400005,8148.94000948,8325.020651480001,8485.17603664,8575.02536548,8693.86455392,8891.83256792,8998.930606659998,9159.30577424,9358.64553342,9452.04921938,9598.32412646,9757.13625208,9832.382022580001,10030.7189761,10138.22280946,10205.24820622,10346.29805624,10542.11178974,10632.06959564,10797.49866576,10956.26542716,11043.90545438,11151.797935499999,11309.27362542,11459.77751414,11591.39850248,11730.64544932,11756.547255759999,11932.172094380001,12125.83180686,12076.69639616,12360.59573252,12385.481393080001,12643.19566764,12701.03612928,12819.734545000001,12949.35379942,13003.71617666,13236.96835922,13247.961962779998,13481.54302306,13507.22100946,13680.91863786,13831.34890872,13938.63352146,14008.666656340001,14214.45216552,14332.114927800001,14334.99020988,14568.37949756,14629.03158768,14814.31411584,14844.2177672,15011.51406666,15174.97180942,15188.248743720002,15395.04660086,15526.52024778,15599.463282300001,15730.98788006,15795.53291314,15948.73793136,16165.64661,16280.7638145,16350.32716352,16535.97316932,16637.86697408,16736.75868266,16857.77167736,16965.69144,17032.01506486,17259.62195352,17251.43618212,17452.3446184,17541.65996514,17726.4561644,17803.7839909,17895.278887319997,18080.54742998,18214.06029482,18318.36408488,18491.69054198,18599.725863760003,18770.19787978,19172.083597
2.5,1221.59651435,1592.6081887,1914.0021447249999,2240.258976675,2562.7658125,2856.6013875999997,3135.19646855,3329.7446944,3669.7031995,3898.41142295,4145.30473185,4382.677693549999,4577.48370945,4780.3383897,5041.7936077,5277.3097244,5408.091444174999,5642.865825625,5832.93278395,5963.801675350001,6231.911951675001,6397.1462776749995,6568.24686655,6785.6876831750005,6843.5554796,7049.7705906500005,7241.30304555,7338.108305549999,7602.898256449999,7773.783371075,7913.133978575001,8035.643414725,8195.241345325,8380.5278348,8506.129265175,8626.762474849998,8746.013846775,8916.735352925,9029.822216499999,9203.90475045,9394.259260224999,9519.314037175,9617.105498625,9811.541099775,9865.48972975,10060.613488975001,10175.881373325,10234.7444103,10361.906007825,10585.870683849998,10666.688082625,10830.389725425,11029.30394905,11088.453628424999,11233.239593025,11335.27465445,11493.423658625,11625.107473075,11772.957848225,11789.569714874999,11974.463804175,12163.93310045,12162.88366615,12403.2777981,12476.53014845,12691.3058609,12739.747034049999,12868.7638213,13014.058408325,13086.79927695,13272.827394075,13272.8194883,13520.275031699999,13564.560444275001,13749.350689174998,13868.766382375,13980.858964425,14063.09608885,14256.780077725,14362.50175555,14407.2598533,14597.718491825,14712.646834674999,14858.79613805,14913.318643625002,15031.52629275,15213.480985675,15218.961177,15450.34775855,15546.328137150002,15662.578095750001,15783.5152855,15817.476057175001,15982.650434325,16187.083057875,16338.481021325,16394.515597474998,16564.7634678,16647.263483900002,16772.123748225,16900.619728874997,16990.037855675,17084.663192225,17282.255522375,17321.6836668,17484.160315025,17604.525397275,17763.140109575,17836.26275145,17926.627719,18105.173531,18224.930601975,18338.058789525,18510.172974925,18613.404883,18822.534356675,19172.083597
5,1265.8161888500001,1653.4046936,1971.4032661,2299.0419610500003,2645.3931371999997,2934.3490693,3231.0708405,3459.2977907,3769.6825377,4018.52286855,4267.095085,4485.1184616,4708.85215625,4927.61849485,5123.12715475,5374.76777415,5554.84274165,5761.1448375,5930.10478865,6104.51197185,6332.924744999999,6538.72270865,6684.64924315,6896.328865,7010.94928635,7195.76834425,7378.7312258,7467.10228755,7693.9607919499995,7852.3229483000005,8062.2321697,8146.346749550001,8326.969530400002,8532.18222085,8632.569172200001,8757.2494972,8879.4612451,9033.0730353,9133.21286165,9354.470239549999,9502.7457954,9622.64451635,9753.66197715,9964.83926025,10041.68179765,10186.65760405,10332.830889,10412.7851547,10511.5905438,10740.904735450002,10820.27433835,10992.384012749999,11168.786455450001,11248.7090883,11387.91593855,11494.0173206,11669.076429,11795.2080917,11930.1782675,11966.103079550001,12132.13340505,12299.912890500002,12363.31953975,12546.8788451,12666.99614125,12841.19698195,12907.08384195,13028.08939055,13162.42022945,13268.8037824,13438.5736085,13476.84043215,13706.6521761,13754.8444628,13906.8656079,14025.9911774,14153.74051865,14232.080057500001,14465.19555215,14555.75513545,14575.473593949999,14763.53692325,14849.4766099,15021.001064,15102.66594155,15196.75397965,15341.0851338,15436.84870135,15559.976440350001,15687.159494,15787.285009000001,15932.47265955,15988.30115795,16151.766497300001,16299.9215654,16446.738389600003,16557.263979800002,16721.52369875,16758.599958749997,16887.5562764,16974.5742541,17098.8620355,17248.00641745,17392.06010975,17475.06841335,17587.49886275,17744.76073515,17842.13625395,17929.0539948,18053.25529855,18208.79345245,18288.0487416,18426.30315975,18582.916813699998,18727.023681,18929.845703199997,19172.083597
10,1342.5423592999998,1729.2190794,2092.6285528,2398.6330026,2740.9136766,3033.8806473,3344.561362,3595.4079295,3871.9696046,4152.2023174999995,4400.425113300001,4609.0513362,4842.766866,5090.7257770999995,5272.3191579,5500.8475801,5700.6210771,5882.5328204,6088.2420144,6266.6056092,6492.7307722000005,6678.8354363,6858.7823931,7017.9686472,7167.8879303,7344.4132959,7551.6024684,7661.6941821,7859.6934802000005,7989.480407800001,8235.5240494,8322.638181,8477.4152258,8708.6552474,8791.2597067,8915.1139985,9066.357465,9171.617792100002,9340.6072622,9503.7158139,9676.4758801,9804.6301396,9945.0035283,10072.4602301,10203.3151619,10369.267896899999,10520.292749499999,10617.1054394,10728.4988777,10890.1504743,11054.744358900001,11179.754053300001,11317.8530254,11432.500122200001,11576.9260459,11699.7780205,11848.919609800001,12011.876299900001,12131.4583427,12204.3092946,12344.7928551,12476.563735400001,12570.5530148,12720.0613159,12846.140175999999,13021.2288765,13107.3882922,13211.464297999999,13350.3482633,13468.315689500001,13652.8256208,13694.0488074,13840.850523500001,13960.2863883,14118.260629100001,14259.5546242,14317.5627664,14398.2512734,14622.7412982,14757.447313499999,14751.5335494,14915.3921714,15054.381366,15184.1018859,15279.3432187,15364.1994417,15494.143178299999,15607.8397365,15760.130594,15856.587677500002,15950.8014174,16089.990778000001,16187.6542618,16287.1392965,16442.0342181,16563.3101842,16708.728082700003,16835.7562839,16886.1961392,17002.495865099998,17098.3658942,17256.1058171,17363.2615093,17486.5346174,17593.5803863,17715.7898629,17848.156674899998,17946.436830500003,18047.0237567,18178.7922603,18302.4639496,18416.9306517,18552.1110234,18698.224705599998,18832.8295806,19006.9286641,19172.083597
25,1448.91280375,1877.62453375,2254.213112,2588.0767690000002,2922.1844275,3233.7209725000002,3579.2200034999996,3815.0436019999997,4122.699157499999,4374.7272345,4638.5203935,4865.14089575,5102.56246425,5301.8285525,5538.32739475,5726.253856,5934.959565,6144.709578,6356.9123965,6532.2187235,6757.0313555,6911.5318375,7083.3349075,7280.89297925,7438.53898725,7613.0136837499995,7816.5868602499995,7948.49672025,8141.84741225,8268.633770749999,8498.6297565,8600.535953,8743.834107749999,8970.57963125,9083.69356625,9225.405526,9367.2031145,9507.13482675,9671.947776,9817.6705955,9985.37820575,10110.17058725,10282.87243775,10399.47735775,10528.4546525,10684.0415045,10842.066226,10962.645493,11081.45570125,11219.3426795,11370.04770725,11512.519618999999,11644.333785750001,11740.31856825,11902.56164075,11997.105757000001,12193.20553475,12313.168145,12449.7064495,12513.60303075,12652.082712250001,12830.4688205,12894.63148475,13039.62117925,13141.8560345,13322.779112749999,13433.9237965,13528.63899575,13647.643550499999,13809.531077,13918.31964425,14010.94273875,14127.010557,14276.345344000001,14416.866919749998,14525.811101250001,14605.9020055,14739.94641475,14881.86252075,14981.8953315,15072.36266675,15193.97116725,15318.5854545,15447.87166775,15534.731782750001,15634.5493555,15777.56064025,15906.70710125,16015.6487705,16088.221936000002,16201.608935,16347.4262755,16442.43570625,16558.37812125,16684.98672475,16806.081298,16925.955115999997,17051.05135375,17099.54841175,17268.5064805,17346.32876325,17458.487941,17577.64067025,17692.894032,17792.435918,17895.624925750002,18040.8302395,18116.940553,18236.618744,18363.1308645,18492.52417225,18583.95966325,18708.074201,18834.071759500002,18939.300648,19049.038928,19172.083597
75,1756.962014,2229.32027225,2663.0951305,3063.9726855,3411.34034225,3739.175902,4068.6640695,4327.13198775,4670.49825275,4941.339399,5181.3286185,5420.21017175,5678.56278575,5933.880201,6136.02702525,6311.82418975,6520.6975795,6823.133441,6961.21367275,7184.7394685,7358.073848,7557.9819885,7739.23808975,7944.623144,8080.8082377499995,8306.84732425,8472.124065,8611.818301,8770.44784475,8986.791834,9122.00849425,9298.276895500001,9437.90271875,9636.09335075,9757.2314095,9898.564079,10062.912055,10241.101327249999,10400.79085875,10514.3317085,10705.034235,10832.335309,10976.344887750001,11069.55640525,11210.44766425,11373.09853625,11518.34868775,11664.03125125,11770.877458,11882.283581,12028.40013725,12198.635818,12309.283542,12439.03127875,12577.0874245,12658.625483,12832.35549625,12971.4462355,13062.61093925,13198.7986725,13311.13118675,13482.88764075,13549.44612125,13689.299901,13816.027233,13952.11374775,14032.54021925,14168.223442749999,14276.2748895,14418.869468500001,14537.00950325,14644.34719225,14748.999823,14889.188948250001,15013.35734725,15075.0851065,15232.368719,15299.9452485,15439.96295975,15549.1275105,15666.04998275,15748.17771525,15840.985215,15997.221113,16098.69634725,16209.969648,16313.225189750001,16429.13384175,16502.003132,16628.91087875,16735.508088500002,16826.356884,16928.80878475,17033.452517499998,17138.03680575,17223.297239,17358.68194075,17479.083495,17553.997784500003,17677.176246,17755.2030195,17833.300212,17959.8955445,18051.3575655,18141.940583,18235.2377715,18336.081548500002,18418.21502225,18524.04467875,18613.751228,18695.777611999998,18784.330306,18875.849121749998,18955.9497375,19042.1835325,19119.347238000002,19172.083597
90,1900.1653901,2427.1110516,2839.4644275,3302.9301840999997,3653.7002684999998,3995.9480372,4304.1042392,4598.1357287,4920.6664618,5177.8789136000005,5429.312130400001,5691.2196721,5947.0599057,6204.5135902,6406.5405979,6608.520134400001,6822.3661419,7146.3584626,7258.4381478000005,7486.9875969,7635.2364404,7854.8051678,8064.984919099999,8261.6891392,8390.0540797,8627.2501382,8806.792306899999,8914.3199936,9082.7573809,9270.8447647,9429.7888382,9560.7891999,9739.9723102,9917.2094225,10089.1816724,10202.8832701,10338.977007399999,10544.8177851,10701.8516277,10784.3392119,10986.4869911,11119.242972099999,11240.156018,11360.8378402,11486.6480272,11631.589985,11802.083582,11941.082464,12038.4983685,12156.8757601,12311.1452549,12478.1765713,12587.2686589,12723.061096200001,12852.5659557,12906.0200098,13104.4098286,13214.8454593,13353.530969300002,13483.1745537,13579.032507200001,13737.476182100001,13850.1480834,13961.429459,14108.3911356,14212.6523359,14274.003789800001,14432.8731452,14559.2469489,14651.1740392,14776.7224811,14893.870947899999,14989.356909,15133.8803007,15238.5860235,15346.9944702,15465.153707200001,15569.8651155,15652.8140165,15776.2329214,15873.9806975,15972.0869402,16047.0100831,16188.5715544,16304.2414006,16402.106752099997,16523.2809234,16625.9448666,16709.011894500003,16800.685494999998,16911.2184643,16991.8696093,17118.775646500002,17225.777777299998,17308.572162599998,17387.2250323,17514.6235299,17639.6184709,17703.108064599997,17818.3187214,17882.0430754,17965.9681423,18062.6810468,18154.613098600003,18261.0560144,18345.4515416,18429.5185631,18513.337751,18603.8681077,18684.953592,18762.8474019,18843.3924932,18923.870948300002,18997.7860013,19073.5999888,19137.489344100002,19172.083597
