,mntd10,mntd15,mntd20,mntd25,mntd30,mntd35,mntd40,mntd45,mntd50,mntd55,mntd60,mntd65,mntd70,mntd75,mntd80,mntd85,mntd90,mntd95,mntd100,mntd105,mntd110,mntd115,mntd120,mntd125,mntd130,mntd135,mntd140,mntd145,mntd150,mntd155,mntd160,mntd165,mntd170,mntd175,mntd180,mntd185,mntd190,mntd195,mntd200,mntd205,mntd210,mntd215,mntd220,mntd225,mntd230,mntd235,mntd240,mntd245,mntd250,mntd255,mntd260,mntd265,mntd270,mntd275,mntd280,mntd285,mntd290,mntd295,mntd300,mntd305,mntd310,mntd315,mntd320,mntd325,mntd330,mntd335,mntd340,mntd345,mntd350,mntd355,mntd360,mntd365,mntd370,mntd375,mntd380,mntd385,mntd390,mntd395,mntd400,mntd405,mntd410,mntd415,mntd420,mntd425,mntd430,mntd435,mntd440,mntd445,mntd450,mntd455,mntd460,mntd465,mntd470,mntd475,mntd480,mntd485,mntd490,mntd495,mntd500,mntd505,mntd510,mntd515,mntd520,mntd525,mntd530,mntd535,mntd540,mntd545,mntd550
0.5,89.820427926,80.27083197833333,76.8973820195,78.1454360665999,76.41595137699993,70.20582087671423,75.90923558187501,74.51083056322219,68.7055012234,67.37447707963636,66.15278018516663,66.44674724292308,65.512039675,64.16622288853337,61.998972961312504,60.0102151552353,61.219602584833346,57.02032883789479,57.819137885649994,58.06084051109519,57.77534035686362,55.12232859078259,54.70830204287507,55.508175486,52.93537835811536,54.245736469407426,52.787959335714326,52.02197910724134,52.52682268739997,52.13681928490325,49.941485289375,50.386668760515164,49.84853420144119,49.618564110342874,48.64246426511107,49.682458939351314,47.793657801157856,48.59622825869225,47.006978684699995,48.730666657121986,46.20760877514286,46.959528133511625,45.89637722865906,45.8559355218222,45.9124438243913,45.509154013574445,45.43129505643747,45.542984755673466,43.89615978854,45.80735103113721,45.539758788038476,45.292926319509476,44.62535572324075,44.43893032929086,44.33636847826784,43.69013656784209,43.393521641879346,43.85682798754238,43.885123071533336,43.87392609004915,43.46542060158061,42.6917829121587,42.34167797048437,42.959750957584596,43.565367158454514,42.469013497626854,42.338707177426464,41.62971038776814,42.633585073414324,41.78891987604226,42.740208209166695,41.308206868452025,41.686677445337814,41.20309901649337,40.72080842638163,41.16583429844154,41.10090830021799,41.618473931949396,41.224881374937496,40.89497967627158,40.6298507542439,40.85684924145789,40.14516187876188,40.16281013292937,40.99712016866282,40.58183625856323,40.503152320920414,40.110394204415755,39.984517056555596,40.36884480958247,39.99392508818481,39.93950819710749,39.75408521431911,39.769642859494695,39.7545843488125,39.86337432232987,39.71858675008162,39.637792555878825,39.52139133344,39.31741304096043,39.4029776171471,39.48073342308736,39.34617126777889,39.25954523503807,39.38713218805656,39.31749324695332,39.39405966669442,39.463488019330235,40.404589062500015
1,96.2557211180001,87.76964991666664,85.4465413555,80.532551756,81.46041657800001,76.21674954085714,76.910725211,75.63103901533333,69.7141231186,72.51585332963631,67.99844515733331,67.41718853153843,67.63536858200001,67.16214077293333,64.300086442875,62.821459185529456,62.14322395188892,58.0616309434737,58.453381984800004,59.17292110838098,58.86560606018183,56.82240390017395,55.80908990783337,56.18698556528,53.6914632001538,55.29333904444442,54.79272984350002,53.286447699793094,53.45690826306664,52.58174257129033,50.656545732875,51.953864086363616,50.49328738423531,50.84660252165713,49.06482533083329,50.326950810810814,49.06030897331575,50.325373153128226,48.68255296705,49.06264133926833,47.33531761276196,48.0206278766047,46.79398594836366,47.308516525377776,47.13353774521739,46.43950587068088,46.230582420208336,46.22403263228571,45.45535659376,46.804441690313745,46.39313127211536,45.95061355083023,45.8304359088519,45.06225034894544,44.829846805499976,44.3080755136491,44.485826907241396,44.543411192372915,44.54747882056664,44.30397927790167,43.75598874496772,43.80775625488888,43.08774067090625,43.76458179756919,44.15716915763641,43.23359085844774,43.16140386047064,42.66495689228984,43.251170402771386,42.368737466366234,43.06797617736111,42.49427190268498,42.08340684405411,41.808248868719964,41.229546101210545,42.01620941454546,41.61868128297434,41.823729315392384,41.724483148975,41.24492108548147,41.036048165682985,41.28133629399997,40.981479048142816,40.83646114908234,41.27340962906977,40.999994013310385,40.79331799365906,40.70624733869661,40.65866664188892,40.572913472593456,40.30986309619568,40.36633942337639,39.97463742982976,40.12693117075788,39.879639041479166,40.01332215057731,40.10206577332658,39.888747367979754,39.81117068566,39.57026165922773,39.62836602409802,39.83091217759224,39.56427013590389,39.375494731257135,39.57317120545281,39.4368390950093,39.582344671740714,39.54501568310089,40.4377751798364
1.5,103.2002436585,93.8368446573333,89.2706098445,84.96087554340001,84.5771089641666,80.45856015714286,78.557269165375,76.48941984122223,72.8991814966,73.30744377718179,71.8788258488334,69.81725270553846,68.58155157200007,67.48585406539999,65.301312508875,63.48867330176469,63.3700655465,59.84062973478946,60.23156178945,60.1302077018095,59.3841738888637,58.08816763839128,57.1961193220417,57.187643440559995,54.66231007157691,56.25909182029632,55.123339087571416,53.88005225406899,54.0212494952,52.929312158290365,51.476328642312495,52.280417407787894,51.3004007764118,51.79556410657144,50.1300680021667,51.017589907945926,49.72628959597373,50.61291288487181,49.002313928925,49.56174866448782,48.508283746999986,48.57725541965115,48.19044205236362,47.85960207051113,47.54621436673909,47.27170746412766,46.564920984458304,46.64124456828569,46.216065680759996,47.26164247823525,46.71280842613456,46.607222906207575,46.43747230875923,45.59488813372727,45.57567329114287,44.78633266822812,44.99213592708621,45.2086995777797,44.9473248584833,44.65052205755741,44.411545597322544,44.166975218253974,43.96719097329687,44.03744635130769,44.277022579651494,43.8243124290895,43.530635314749986,43.07153038526087,43.818511535485754,42.789693143493,43.27130620095837,42.73442161378085,42.45346262517567,42.265179737320004,41.939569931276274,42.34553200941557,41.95307101417949,42.10044005554428,41.812509217375,41.583883910765486,41.19540014764639,41.5251448644337,41.4623272482976,41.14637579500001,41.526661541069785,41.20668785382757,40.989414139136336,41.00243967844942,40.82869225075553,40.83665092526373,40.49174979890216,40.51702352493554,40.2255905331809,40.269687148663195,40.22821693271875,40.18701737388657,40.26057345649997,40.13699028202025,40.06965044705,39.67096524479213,39.7820808476863,40.02144455895145,39.619294408836595,39.565611639704784,39.74156009889624,39.53394751004669,39.64541059837039,40.04808673093583,40.4379226436364
2,105.909490708,99.50501710666674,92.502564141,87.937401432,86.57525198000006,83.44421289942856,80.964382084,78.72320677733335,74.600688914,74.91165231963637,72.75922008566667,70.94376501784612,69.26070562571432,68.63770455413334,66.053126368,64.55356760752942,64.22224274888887,61.180663673684194,61.2048331106,60.40818726933332,60.114666070181805,58.873260498956505,58.528662676500026,57.75732507936,56.04022741446153,57.03078931659262,55.545464992285744,54.55132566689658,54.62159680599997,53.65308933161295,51.999574520375,52.83518689599997,52.40507534247059,52.08976531874285,50.93070577844441,51.28469777902707,50.2429857030526,50.80366449302563,49.550017194,49.763096180195184,49.009254265809496,48.94082772911628,48.31160014618185,48.25735238168889,47.976014803565185,47.5263187318298,47.22113550950004,47.33549907453066,46.59507948208,47.561439431450964,47.16834458623075,46.8422206050566,46.80904681792596,45.88051186545452,46.25304972299997,45.52643664919297,45.23629445268962,45.51268367281352,45.218336541666694,44.846420953836066,45.07941520251617,44.31307006069846,44.246737858624996,44.29981694553844,44.491853332242385,44.0077717610149,43.74067209552939,44.029413155014524,44.0699974539429,43.19575772011271,43.32840711266665,43.00680435736991,42.917249179081054,42.54351930042663,42.25041777205265,42.53303233589608,42.05935698384613,42.423025300708886,41.94768154695,41.864252634419806,41.38985582702436,41.87509825681931,41.58747435338093,41.42591058889413,41.62456883637205,41.49136403282764,41.15900833918187,41.16824296543826,41.02817657786665,41.001642830373676,40.61171424482612,40.6812831952688,40.464407538255344,40.50964124282105,40.340279781083304,40.29017691055666,40.34772376877547,40.27992730343434,40.22146811932,39.856233407801966,39.9906653009412,40.085600428116535,39.753715681576885,39.791716882590485,39.84520479041511,39.61405601805607,39.78160077999996,40.24681471533946,40.4422784727273
2.5,110.19395345750002,101.30681493333364,97.83973229625009,90.404383698,88.17541421999996,84.00644684785719,82.566206946875,80.38137858555558,76.690072725,76.41253146090904,73.60310796833333,72.62446385884616,69.80860071857148,69.8205471143334,66.8294333903125,65.71668275411768,65.20601223361108,62.250258160526336,62.048507402,60.96925523404761,60.80760381590911,59.93861047565221,59.43807080999997,58.638850258,56.75219484826917,57.35542010888888,56.02647250910719,55.04952126068969,54.807350939,54.54815169048387,52.83132791140625,53.42971894742421,53.1808163726471,52.69851495542854,51.29935071055551,51.46782337797298,50.54804849092107,51.009175324358985,49.853852441625,50.11997056975612,49.39231345428574,49.352625959069755,48.59022196965913,48.59001193311109,48.56218176021738,48.113240962127705,47.488192885,47.73074705040818,47.1523396801,47.79914839941176,47.52310889576922,47.06706319462267,47.13384300416671,46.35794346945454,46.50610886232139,45.86546473377193,45.78457787844828,45.68515572830513,45.53550315174997,45.15681295991807,45.28785931330645,44.66483374293649,44.441325482812495,44.42379938176923,44.678742581363664,44.12424390119403,44.06136265367644,44.17887465369568,44.264080147571455,43.3049204403521,43.50707594437497,43.086042542602755,43.145554778648666,42.74231783479997,42.47376047611838,42.87747230311691,42.198296145256435,42.58802650455699,42.048837833875,42.157565340370354,41.577255692256145,42.21779555240965,41.800164199821445,41.58109819541173,41.72969883453492,41.66065343293106,41.23853007750002,41.23421692775285,41.239032862722254,41.22226160560439,40.77591732309784,40.78981218059136,40.608797836436146,40.641607055263194,40.458852068854135,40.43629026139171,40.428860904030635,40.395739794646445,40.30404136085,40.06589504133661,40.116904379901946,40.171420161553435,39.81004974706735,39.895884606666655,39.92705097424524,39.72345990808413,39.99532572490742,40.28680601458716,40.52937569004544
5,122.52070748,110.62133829333365,106.58993593,98.037514076,94.55317739333333,89.34828439285717,88.53645116125,85.06532049333333,82.018760269,79.10939632818184,77.14987122666666,76.33403522692305,74.36127056857143,72.98167968933329,69.656734425,68.97509084647055,68.5056326822222,65.08225419263154,64.49307387149999,64.40045263952385,62.789033346818165,61.8755020513043,60.681186000000004,61.2139583044,59.035411450000026,58.826035587407446,58.20860748071427,57.13459751000003,56.169019683333296,55.84940142677417,55.0749544159375,55.465939350909075,54.7144248852941,54.222153200857186,53.30106065555553,52.82493319675676,52.77107291000001,52.47794536384616,51.652897924,51.357865773414645,50.60836892404759,50.44986140906979,50.05900904386361,49.394303501555534,49.76976414413045,49.92511074212765,48.9901006570833,48.970773612653076,48.4460744852,48.801526023921596,48.71112473711541,47.99851590698112,47.95581407000003,47.55881025236368,47.77141552839284,47.08886393842107,46.693610062413846,46.91186198898308,46.370261423500025,46.03349313999998,45.96165604725804,45.75130164476195,45.721367939375,45.4044652330769,45.228463773939396,45.22226946253731,45.06374216382354,44.82879647391305,44.89460332171427,43.96168138774653,44.20592160208337,43.89121662191785,43.944368963513526,43.45031350959997,43.29241849513161,43.59369917402599,42.91122972423076,43.125074824810106,42.833612914999996,42.63819457123456,42.481938017682985,42.716754842650595,42.25902356583333,42.33288290129413,42.21424719837213,42.032941149540264,41.88883004374999,41.69823571157305,41.59714726288889,41.770611080879156,41.343127759782604,41.1423907078495,41.0610607870213,41.07411299399999,40.954263768645866,40.87509192804124,40.76661907673469,40.80452274929293,40.5857412927,40.47789587485145,40.599763047352894,40.464314891747534,40.272965566730804,40.203506443523786,40.36376877792457,40.3317568571028,40.43760885981485,40.48356708027522,40.6067643454546
10,138.05584284,122.1354513399997,115.50165919,107.888143376,101.42887263666671,97.77252827428569,93.45069865,90.1819209733333,86.878751014,84.30576657090913,81.16723264499994,79.94001115230768,78.74167005428575,75.84774963333336,73.6688366125,72.3062765635294,71.30918199111109,68.69904340842102,67.269406868,67.05457701142855,65.48147213363634,64.51048005391307,63.1861093683333,63.3547705672,61.215698842307695,61.26984292,60.30041968285717,59.578722158620685,58.33482106733336,58.29603643290325,57.093298641875,57.64188302848482,56.66971212294117,56.2803005622857,55.30613537055561,54.86213626756758,54.4338426305263,54.373494157435935,53.5467396655,52.75568625219509,52.495267273809525,52.39130421302322,51.851555145909096,51.274012967111105,51.34964683130434,51.431360316595736,50.401808316666674,50.26995676816327,50.150044892400004,50.116299547451,49.71828786500001,49.15871092150941,48.96601111925929,48.48807849054545,49.04622462535717,48.273191168421036,47.86755644724141,48.07757024101693,47.50418992600003,47.15717722459015,47.11741709225806,46.86287193047623,46.7661051521875,46.323696987999966,46.16701850333335,46.073722155223884,45.90996361529409,45.64856951884057,45.69452470457144,44.86646265830985,45.03583971944447,44.85064165589045,44.76229586054054,44.466480376,43.99101025078948,44.20077638233766,43.87150413128203,43.83400728860758,43.5452260265,43.28608714765435,43.11538285268293,43.39485903807226,42.9187440657143,42.980329368000014,42.91416660511631,42.751378433333365,42.437962545227265,42.3624096719101,42.25604755555554,42.214705200659395,41.91717752804347,41.68423608645163,41.72749873680853,41.66761309242103,41.52354667499997,41.44227846391755,41.28724686551022,41.27300128141417,41.034169729400006,40.940875397821735,40.9784036147059,40.896544252427184,40.74798170749997,40.61986851123812,40.738656663018844,40.66356309439252,40.6375553235185,40.606575253761505,40.6597806563636
25,163.10169745,144.10801861666675,133.95983971249998,124.19953991999999,115.3498921666665,109.8019170785715,105.13373705000001,99.72066487222224,97.071501745,92.51178671818184,89.09648140416664,87.9449341615385,85.24628445,82.68491131666667,80.68980632499999,78.35569563529408,76.3592347027778,74.87456713421051,72.3717908525,71.8820860666667,70.54595262727267,69.31662831304351,68.00750582708332,67.548073138,65.9230450153846,65.4816337611111,64.5455550642857,63.87949662068967,62.55001797500005,62.31745343064517,61.221463325,61.24993279848485,60.0056646073529,59.42382913571427,58.61406599999997,58.229625877027004,57.8580102118421,56.99954839487177,56.53165674125,55.8626692134146,55.53564593809528,55.10948944069767,54.371668189772706,53.823818478888924,53.921870908695645,53.649419960638326,52.92420611979165,52.7050778183674,52.208526964,52.2135665931373,51.556570099038474,51.48729973490565,51.087103242592626,50.72252577090907,50.79870911428575,49.96735322105262,49.8638489956897,49.701363878813524,49.29281505083335,48.99023502622955,48.738112668548396,48.39515101746035,48.24175175234375,47.8674908923077,47.57949103863638,47.78316294104479,47.2326356125,46.95447057826085,47.054093594285725,46.431889734507,46.347830292361095,46.044590280137,46.008229070945944,45.75065696533335,45.2611774756579,45.457875398701276,45.077263534615426,44.967995127215175,44.822198529375,44.54904088333332,44.473130757926825,44.408227676506044,44.02127105178575,43.9647547229412,43.9165916005814,43.66108345402303,43.45499955681815,43.34338930674157,43.14976745444445,43.0131328489011,42.86558272119562,42.69487547526885,42.664602892553226,42.47516686842103,42.30003171510415,42.189558509278356,42.128924202551,41.9296473429293,41.830912592999994,41.58912641534653,41.5725630720588,41.3980062975728,41.31870094471155,41.15755395714287,41.1508423075472,41.009582395794354,40.8910193541667,40.79914160137615,40.75420058
75,231.8739545,202.47058381666676,181.5578550625,163.62402293000002,152.1171832416665,141.76990064999976,133.54083083749998,125.523841583333,120.85483546500001,114.935024827273,110.02195602083326,106.91134987307674,103.18588044999974,99.57708495666671,95.51878995312501,92.48475566176472,90.73689348333333,88.27552202631578,86.464311475,83.9206972357143,82.33721862045455,80.9589004521739,78.45198606874997,77.158615486,76.59329612692308,75.11461100925928,73.31053905357145,72.62593064137933,71.0532141233333,70.49937522580647,69.264786025,68.4254395318182,67.21954271911768,66.19845253714288,65.85329090972222,65.02745412702703,64.31157388684207,63.10132665384617,62.6749984475,62.04114842560975,61.057138423809505,60.97367779418605,60.4864352727273,59.23429575222225,59.44590630434783,58.606666041489405,57.93069025937503,57.437111943877575,57.031630119,56.756577651960825,56.20255696634615,56.14995284056607,55.387485735185194,55.1116543527273,54.829175284821424,54.144128907894775,53.917371276724154,53.4232686898305,53.22133476249998,52.817283358196725,52.1271219322581,51.72932653095238,51.56811649296875,51.22120836461538,50.999877607575755,50.87998448731345,50.44102858970585,50.091363617391295,49.9263449164286,49.4924598528169,49.194454252083325,48.91726952602737,48.87111351148648,48.442311446,48.167669655921074,47.9908950162338,47.624833744230756,47.49230829873417,47.092369055625,46.957759682098796,46.66498235548778,46.50921860963857,46.1875201297619,46.1158833676471,45.8172242209302,45.546297154597674,45.25886175454545,45.102058410674125,44.92869810388888,44.695848353846145,44.47644967663048,44.2554975521505,44.06087143723403,43.837432202105276,43.7181259963542,43.3972487798969,43.2744365913265,43.047231273737395,42.885392798,42.6462775539604,42.52408326960788,42.23003436019415,42.0827815413462,41.864685142857155,41.697743276415096,41.50852767616823,41.2953128736111,41.083972225229346,40.8130990018182
90,270.82245097,227.171933813333,204.32774969500002,184.362735168,171.5804233466667,156.9895332314283,148.41493031500002,138.19169194444441,131.52449405000002,125.7941866836366,119.17985717833362,114.9466002461541,112.06775021000001,106.2344157173333,102.01323873125,98.33148375294118,96.66059622111108,94.36436866210528,91.94429492,89.07326897999998,86.7904431027273,86.13250537565216,82.71559418666669,81.8646575432,80.7818155492308,79.02899514518516,77.1786843092857,76.07818030620689,74.7501990846667,74.02830348903225,72.35266986125,71.28869889030307,70.52924207882354,69.15409489085718,68.69961985611108,67.65998011297295,66.77748966736843,66.00734574307693,65.4690248305,64.30161033512192,63.970463179047606,63.57584833441859,62.91953155136368,61.6845247537778,61.733153702608654,60.78251213574468,60.11312461125,59.44907947224489,59.354378841999996,58.86902173333337,58.273297519230816,58.01243922716982,57.28019171518518,57.04924690436366,56.47594077214283,55.8311315614035,55.31796493448278,55.0499126081356,54.8918240146667,54.24776155311475,53.75302060741936,53.14721815174606,53.0737997378125,52.55341589846152,52.39482281303028,52.129839855820926,51.62771669205879,51.34403107304349,51.21507678571433,50.674305303380315,50.33578627388889,50.06720908739723,49.92882778432436,49.449259373866695,49.17015496342107,48.907064054026,48.581798407435926,48.48574992987345,47.955372341250005,47.85788521555557,47.61904782829272,47.34229901349402,47.002664390952376,46.74374983317651,46.486120054186046,46.26073060827589,46.056717883409135,45.78690891685396,45.558718432888924,45.32657219626375,45.0207543569565,44.80190515161286,44.553078939574426,44.36528211852628,44.153310773750036,43.89521584494845,43.71786154306124,43.467466897171754,43.2918286674,43.02259079207922,42.82893494686278,42.52508690213594,42.39778192019227,42.11091343161909,41.92557307735853,41.670360250467276,41.448628649444494,41.17440284825689,40.827057514727315
