,pd10,pd15,pd20,pd25,pd30,pd35,pd40,pd45,pd50,pd55,pd60,pd65,pd70,pd75,pd80,pd85,pd90,pd95,pd100,pd105,pd110,pd115,pd120,pd125,pd130,pd135,pd140,pd145,pd150,pd155,pd160,pd165,pd170,pd175,pd180,pd185,pd190,pd195,pd200,pd205,pd210,pd215,pd220,pd225,pd230,pd235,pd240,pd245,pd250,pd255,pd260,pd265,pd270,pd275,pd280,pd285,pd290,pd295,pd300,pd305,pd310,pd315,pd320,pd325,pd330,pd335,pd340,pd345,pd350,pd355,pd360,pd365,pd370,pd375,pd380,pd385,pd390,pd395,pd400,pd405,pd410,pd415,pd420,pd425,pd430,pd435,pd440,pd445,pd450,pd455,pd460,pd465,pd470,pd475,pd480,pd485,pd490,pd495,pd500,pd505,pd510,pd515,pd520,pd525,pd530,pd535,pd540,pd545,pd550
0.5,1156.637494265,1456.85082373,1797.517246725,2094.78505189,2349.037158565,2672.2511925549998,2967.269476765,3104.8126708050004,3407.014928505,3712.57270347,3988.6397025600004,4097.15038391,4311.052021779999,4546.4719770950005,4724.556183675,4941.19580995,5055.685115065,5468.826601675,5404.641758345,5723.809839445,5943.56459562,6060.16097246,6343.803471915,6330.555701685,6577.695709369999,6601.36587091,6935.96084447,7151.187991965,7210.852643235,7437.14618693,7578.98123016,7611.858422015,7814.9058254,8097.171284975,8140.61468244,8225.30162889,8563.218614465,8579.76058612,8763.548435605,8920.21949616,9070.44809893,9266.74591976,9386.220236620002,9527.15553258,9596.94252223,9768.39385538,9984.39223941,10145.985297285,10286.382312565,10374.092665075,10498.161328295,10454.072678855,10661.290976235001,10743.082272385001,11070.08744035,11195.238811075002,11211.380285185,11416.457450225,11504.155559295,11724.480021795,11718.823547765001,11970.667217279999,12001.727117855,12318.05517288,12358.347700725,12449.25820427,12579.25627394,12787.885449914998,12679.871137025,13063.451929775,12959.840340395,13132.14500938,13238.655607665,13491.117306345,13579.27989081,13730.251633279999,13907.839919139999,14109.060237365,14287.009801645,14264.671837575,14383.771943689999,14301.134607380001,14625.52107689,14739.359241565,14929.241248475,15006.720963325,15107.101325650001,15174.527985995,15395.7547211,15516.578994545,15689.623398945001,15814.52999304,15879.88470563,16028.185894385,16238.910378454999,16360.9529788,16432.72265728,16520.305907420003,16664.944982689998,16746.274599035,16936.76361735,17084.392924454998,17224.244147635,17353.57197881,17475.69509484,17588.840800535,17826.47102967,17938.361642354997,18294.279948839998
1,1187.24983929,1517.1062971000001,1858.29742614,2171.8518813200003,2389.44424173,2698.09156965,3014.79300869,3174.18910931,3501.92912603,3748.67342139,4041.94244078,4241.7247536899995,4489.6912253400005,4612.500700420001,4866.39951095,5008.15742127,5116.36875529,5490.23031891,5559.571592210001,5790.00113579,6040.22413752,6147.569529570001,6421.938690479999,6490.820307739999,6690.56974524,6883.3332596400005,7050.37901825,7194.8260059799995,7331.378760410001,7632.20443308,7719.04985977,7757.60062329,7983.30468995,8166.23251428,8225.841486,8409.34465572,8605.63342922,8762.91870909,8879.257507010001,9017.56640938,9192.327390749999,9358.476052689999,9474.95977693,9549.32713283,9736.12248476,9860.21200181,10103.86345788,10273.673323300001,10331.854647549999,10457.35584246,10602.80927076,10583.33586855,10797.24043092,10921.348670379999,11172.780014169999,11258.53041223,11399.35951743,11552.838204709999,11694.459781649999,11852.62631609,11864.89168303,12067.62398403,12083.711757250001,12416.757992109999,12467.8805166,12571.48603568,12669.135994760001,12873.579688220001,12872.6674704,13103.38919909,13063.772246319999,13341.64552927,13359.495650519999,13634.5186589,13661.92495952,13816.18916274,13994.916073229999,14173.01510465,14328.294981719999,14440.328403419999,14501.80648851,14618.672825239999,14795.82219071,14827.75569587,15031.45178016,15119.56482786,15206.39874728,15291.383751579999,15523.23057508,15630.805601729999,15764.338941670001,15904.88485115,16017.64795633,16074.96571538,16262.684212240001,16409.02015078,16512.79480508,16619.91056573,16759.89086934,16880.56384014,16979.75362437,17120.94870964,17284.6092898,17435.41449681,17531.82768048,17717.63921305,17860.885475180003,18011.68777833,18314.870257
1.5,1202.3976495450001,1560.7843766800002,1878.08576234,2212.098323835,2433.832471545,2753.8233758650003,3060.116913275,3261.820833125,3556.1004704849997,3789.6501647600003,4086.02764248,4296.29020375,4528.4851309450005,4666.76789842,4897.887452399999,5098.777545790001,5248.05093847,5510.95528556,5684.152774655,5809.038181975,6077.08399529,6309.478774695,6482.423207315,6695.24283429,6759.74361614,6961.24348391,7101.285490990001,7293.85587977,7486.528449795001,7679.379169045001,7812.949485165,7895.792455954999,8100.680074435,8236.364909165,8360.331746445001,8454.497781325,8680.66446388,8828.21081966,8921.15255624,9043.129200320001,9252.056752564999,9439.184973805,9603.166672970001,9650.195861805001,9791.66593157,9945.227424544999,10155.935686335,10335.419413509999,10375.168885269999,10478.14147891,10724.722580895,10674.48827025,10845.472756735,11041.957267445,11213.125592685,11278.85724917,11468.682017215,11602.908630695,11761.63882772,11887.441999425,11962.44298233,12140.544459855,12149.291612044999,12443.028417275,12539.17734242,12635.069847825,12738.43676501,12963.826512645,12978.5108214,13156.305392335,13197.595661635,13433.914969169999,13423.575376725,13688.16560537,13732.476768060002,13901.497689,14046.02055586,14225.809618355,14379.58893695,14480.31292954,14543.143040335,14695.972593535,14885.649983610001,14872.90893282,15083.274153355002,15204.653010099999,15274.902216585,15380.723375104999,15587.542088870001,15677.56209172,15813.78359592,15982.216455795,16065.44451897,16166.84388022,16320.29799973,16487.847819165,16579.01373848,16655.518640324997,16839.620011895,16924.764843250003,17024.151772735,17164.129307035,17321.32804004,17467.44319151,17597.35312928,17744.443159315,17922.783251725,18092.09385859,18357.458538
2,1222.95895882,1583.1613838600001,1882.82954008,2225.8167646399997,2471.20075712,2793.50987972,3079.4556109200003,3327.39456564,3590.25815164,3831.5815361600003,4120.789689499999,4326.99704906,4558.894455,4706.10964022,4946.34173086,5129.83001324,5315.24158478,5570.87540096,5720.418583459999,5892.88773782,6175.17866254,6355.79389058,6512.45698004,6717.17864248,6831.7142485,7016.6671944,7150.609480620001,7326.8903808000005,7536.80390102,7694.6059591,7861.2877496599995,7956.74758806,8147.58137492,8286.829062339999,8415.99019294,8529.22052032,8726.2568756,8893.14290902,8970.260016440001,9152.11603432,9286.44907204,9464.588942780001,9635.476309520001,9726.21149538,9846.040110639999,9991.67684118,10177.53897924,10393.8842331,10407.118775559999,10570.08839076,10765.49740218,10786.0761057,10951.40440552,11069.97009142,11264.638776939999,11385.44785246,11521.41745634,11718.0198485,11826.72652278,11943.268133599999,12020.2744671,12203.11946856,12273.05921638,12494.92443972,12591.769207599998,12699.769466959999,12856.23592448,13013.4244348,13039.60539832,13206.4319408,13235.8609694,13480.00507094,13520.71069748,13752.89106668,13775.72796652,13977.19959368,14099.072956259999,14265.30033492,14460.831276640001,14525.90383766,14598.26025184,14741.818488100002,14924.1181125,14961.827443139999,15141.48904638,15236.22003348,15334.8025203,15440.876688839999,15636.9606055,15719.71262898,15854.899298580001,16002.96395202,16099.080591079999,16230.84345934,16344.07360718,16521.51327888,16603.88875304,16680.99708212,16873.92871014,16970.78337566,17065.831542940003,17212.96679182,17377.38237954,17506.86005736,17640.2039949,17784.26561204,17938.7188603,18126.5310465,18391.03802
2.5,1231.4200225499999,1589.357097525,1922.08152735,2235.7623720499996,2511.28336015,2832.728957325,3103.20274995,3352.3025852,3630.5249603499997,3877.489980375,4147.7983895,4383.564789725,4590.979888975,4775.709631725,4972.9492437,5196.275237225,5334.7139378,5599.673405375001,5746.5394376,5919.785577025,6194.999116475,6383.569592075,6533.09017545,6734.3449252,6877.42492215,7059.631565,7175.4382419,7362.315297975,7561.403269050001,7731.139998725001,7898.8625171,8023.944229674999,8182.9465525,8314.5047853,8480.144109199999,8584.642549775,8778.994765899999,8941.696032525,9007.8812212,9225.604362349999,9326.920823600001,9512.4109919,9665.120745675,9763.618907425,9890.254586575,10035.551217749999,10210.340685899999,10412.562579025,10462.394549,10624.363987625,10849.652927875,10846.169149300002,10988.21019155,11149.042243975,11301.431726775001,11432.693575750001,11596.939531225,11736.754781450001,11850.053485800001,11987.59193165,12062.478278325,12237.92502685,12320.954688625001,12579.12779685,12682.950154725,12744.491478625001,12930.467811825,13061.590401125,13077.614734925,13246.12444875,13287.08947865,13519.313268650001,13564.1662547,13817.813615625,13801.745215025001,14033.93204725,14155.84631315,14299.71265605,14488.97349265,14580.963241424999,14637.5378238,14765.3521723,14965.56942615,14978.290727675,15162.158727525,15257.43907345,15386.680501725,15498.43211175,15687.88767085,15789.206462125001,15947.454148674999,16041.979564674999,16121.137037975,16246.180799875,16364.543923674999,16566.91682305,16637.32716155,16719.9466988,16899.001267975003,17003.7459008,17100.882060875003,17260.6016692,17396.402481175002,17541.78008015,17661.210223025,17809.606066825,17964.175931625,18147.71430595,18398.079666
5,1273.0727353500001,1648.5578620000001,2015.8169561000002,2326.57152655,2618.05230145,2926.64343665,3181.8578012000003,3475.859206,3719.5444439000003,3984.2368656999997,4243.0959129,4515.54724105,4690.408292,4910.468659550001,5105.0936458999995,5294.810465,5486.3768619,5756.42215795,5894.97294195,6057.3268539,6319.17299205,6522.315541000001,6697.5201225,6866.693757749999,6995.977274450001,7161.66095305,7317.8743374000005,7492.297987749999,7684.27781075,7858.16027555,8034.836294799999,8138.702969600001,8297.11358365,8441.6372748,8578.985263600001,8739.8618816,8914.742727199999,9079.02638195,9202.866410999999,9385.7123514,9500.98635825,9670.95503505,9792.626085,9919.07054305,10054.537281,10229.52358145,10375.119070949999,10546.63327435,10675.89753885,10843.590743,11013.51491355,11020.53971465,11193.9824236,11337.106666650001,11471.173966150001,11579.6873981,11769.6505162,11897.741472750002,12024.7878792,12143.03340395,12273.2790386,12426.6710092,12566.843867700001,12703.26265775,12813.568923050001,12892.97789745,13072.61101595,13161.106388799999,13320.9188399,13428.01844335,13487.13679975,13708.668187649999,13722.65373615,13982.15651365,13985.61919515,14205.812201949999,14323.799519299999,14451.430532650002,14597.465503200001,14706.00492185,14821.390852249999,14912.1531767,15101.41552185,15153.200418249999,15301.3222332,15409.2012912,15486.71570485,15682.32679085,15789.1777611,15922.40861845,16057.65251255,16150.948075350001,16276.765306050002,16384.9898191,16499.1777705,16668.246172249997,16750.5438831,16838.8400867,16996.50187005,17104.232983100002,17200.73904445,17390.42588025,17504.8736161,17621.80269595,17778.084404700003,17897.412054700002,18072.482460199997,18198.6426579,18436.235485549998
10,1318.8924954,1714.0139735999999,2105.2691762,2429.2168455,2751.4359775000003,3051.6426011000003,3311.6595125,3601.195731,3852.5207282,4116.9525292,4390.6772916,4654.7267819,4821.8792543,5043.9283845,5250.323454,5453.1966,5655.9590305,5910.2948504,6060.9953812,6223.5090489,6486.2631836,6676.0176441,6856.5009912000005,6998.0634218000005,7173.7567014,7347.2377968,7487.0446498,7653.0775145,7861.0832416,8042.0778069,8184.2434812,8333.5056737,8512.4697253,8640.9775313,8775.2339232,8934.5361443,9097.3069095,9257.481661799999,9400.1529529,9547.4025758,9717.7953851,9875.160420999999,10017.0916537,10133.8352144,10288.737311500001,10449.1400626,10562.4576086,10699.9095882,10883.2762145,11007.8165995,11199.019956099999,11226.8796104,11396.1575658,11558.0621923,11654.4895386,11780.913613,11969.2549905,12060.6664613,12197.407711200001,12366.821226799999,12465.5517853,12599.116923900001,12754.0273274,12901.1001314,12976.7698677,13085.7243968,13259.7523688,13309.6552002,13493.4959227,13616.4674347,13707.4509823,13887.692442700001,13925.66777,14122.8490445,14186.977253000001,14365.6455087,14462.940687299999,14594.4448236,14791.0467051,14881.2596492,14991.742717199999,15078.3553212,15232.8575879,15294.9184273,15452.3174844,15577.8312443,15678.6878399,15815.7076186,15939.2472323,16066.0604368,16169.1065358,16291.9129487,16405.506365100002,16490.0629486,16637.6225409,16798.5845414,16878.0386114,16983.7540144,17129.634051,17257.3576619,17331.7308193,17493.9063751,17610.538709700002,17725.5619521,17870.2212037,17989.2520292,18131.4559784,18275.3843222,18454.252089
25,1444.451407,1874.27725125,2270.18434825,2615.02074075,2946.736433,3260.45981325,3546.84704075,3859.3357415,4111.70058675,4373.19160575,4627.354219,4876.3977335,5093.47121675,5319.3294465,5530.0694565,5725.119382499999,5951.520265749999,6176.4766725,6353.92249325,6506.024563999999,6731.41002725,6936.875824500001,7137.476141749999,7283.9856035,7502.1300762500005,7685.39643175,7782.9891447499995,7948.31819275,8185.49088775,8342.674748,8474.373752250001,8640.82548775,8851.9696,8981.8697895,9127.2719785,9276.36289925,9442.1721765,9586.9239265,9744.159582249998,9887.844469,10042.5286505,10189.22637625,10333.56860075,10454.0711335,10608.23066775,10753.85209575,10863.16648775,11012.21009925,11200.337403000001,11303.46105125,11476.453919,11594.07214,11716.489932,11830.131231,11994.341864,12061.519494,12280.67134675,12369.425599499998,12484.14979225,12635.02666575,12748.11280275,12905.082761000001,13050.6908835,13172.112676249999,13279.82513875,13397.91915575,13556.420634,13623.49654375,13807.88699125,13892.99462775,14019.78914275,14167.309108,14252.359491,14372.6868285,14498.071649,14622.085375999999,14739.13624875,14863.097282,15026.81008325,15120.7261605,15221.450582,15342.53600375,15472.70385275,15590.3329715,15711.72165675,15832.341128,15891.01742825,16063.2872015,16183.846345,16277.30471375,16403.8235845,16512.856874999998,16617.790061749998,16732.20384175,16852.76163375,16979.729634,17051.4041145,17186.94396975,17304.245280249997,17438.5457345,17531.63435075,17654.50207325,17750.872561,17883.9402825,17995.748482249997,18118.17958825,18228.279043,18348.96498075,18477.415414
75,1767.93009075,2245.49584175,2705.5780219999997,3075.013419,3447.62427425,3785.3091375,4068.27027125,4414.16846525,4657.49429575,4938.8011975,5207.714481749999,5465.536340000001,5679.19845875,5924.387104,6146.04430775,6365.24753825,6606.08872675,6875.3124245,7021.49740125,7220.8298765,7404.215461,7626.34607225,7772.795983,7976.12497125,8165.17569825,8335.579376,8480.62320725,8693.1235625,8912.431091499999,9052.593201,9160.077288749999,9333.3380885,9515.41865475,9671.6672875,9844.83535375,9945.643157499999,10149.05909325,10278.47218875,10440.5645075,10591.126603499999,10737.5446085,10864.06527675,10956.265269,11126.19827825,11307.85584075,11380.536795,11538.663726750001,11684.98027675,11863.8936405,11963.448798500001,12112.42297625,12269.99751325,12360.1334075,12470.093567,12632.17663,12769.73198925,12880.352413249999,13036.01226675,13152.814513,13271.421830750001,13369.12429475,13522.288097499999,13680.099043,13780.3289295,13906.45469975,14045.29094775,14171.1174035,14228.4424545,14387.26571825,14493.606749499999,14611.591521,14743.40575675,14822.4246145,14963.67704925,15063.708104500001,15168.043936999999,15313.6216885,15389.42554075,15529.22256725,15638.88383725,15745.72407575,15850.78697375,15972.36166975,16083.3061175,16164.38273625,16301.19249675,16378.627715,16508.173736999997,16610.4761525,16692.164370749997,16799.329203,16897.694523500002,16996.399455749997,17111.327280999998,17224.674804000002,17315.35023925,17397.626872,17510.394847,17621.833626749998,17707.277092,17800.0236305,17901.489818000002,17993.98711125,18082.895545749998,18175.952473,18266.298601000002,18356.13045125,18428.830688000002,18497.0593875
90,1934.3756238,2454.5747985,2933.8373927000002,3324.1241662,3730.5539111000003,4029.9848199000003,4334.252302899999,4646.2473724,4929.1435547,5239.5711265,5523.7954631,5748.89408,5992.7615829999995,6213.3049710000005,6440.896963599999,6650.2967366,6884.1186082,7142.0634836,7279.481041200001,7515.2547396,7697.4209327,7944.691163099999,8090.2918125,8250.1410825,8450.2845354,8655.2639182,8814.9267196,8992.0667633,9208.6581208,9349.5429981,9459.8212584,9637.2966376,9851.152307100001,9964.651713700001,10127.193803600001,10259.335116600001,10413.3588818,10567.5081314,10715.2657755,10902.6724121,11012.421343,11149.8182503,11271.0266306,11448.8115292,11625.109072,11726.4121186,11811.8544995,11978.2548281,12165.035446200001,12270.685909599999,12417.506781099999,12525.8298506,12665.1284295,12743.1190788,12896.123092,13037.511097999999,13157.4921609,13312.1373267,13441.750430299999,13571.757108799999,13661.4550591,13778.8664251,13911.824038,14021.6573378,14158.474671099999,14283.0111585,14415.0550553,14493.3124633,14596.0398921,14713.9486266,14823.766614099999,14952.5393134,15037.6114528,15145.223232999999,15286.131429199999,15392.2407387,15514.5613772,15598.0088074,15748.122017500002,15831.1171269,15926.4491031,16055.7289567,16154.0449335,16264.3776765,16357.261854100001,16463.8234343,16539.640272499997,16680.7437563,16783.4194777,16848.5299738,16945.8389817,17033.836475400003,17142.8069244,17241.6779322,17358.934643,17441.3404374,17509.3821885,17618.4518356,17721.3685981,17803.3588501,17898.3399342,17974.5535863,18063.6556809,18147.367218900003,18229.4336629,18307.9367998,18386.496995899997,18452.2749059,18499.687756
