,mpd10,mpd15,mpd20,mpd25,mpd30,mpd35,mpd40,mpd45,mpd50,mpd55,mpd60,mpd65,mpd70,mpd75,mpd80,mpd85,mpd90,mpd95,mpd100,mpd105,mpd110,mpd115,mpd120,mpd125,mpd130,mpd135,mpd140,mpd145,mpd150,mpd155,mpd160,mpd165,mpd170,mpd175,mpd180,mpd185,mpd190,mpd195,mpd200,mpd205,mpd210,mpd215,mpd220,mpd225,mpd230,mpd235,mpd240,mpd245,mpd250,mpd255,mpd260,mpd265,mpd270,mpd275,mpd280,mpd285,mpd290,mpd295,mpd300,mpd305,mpd310,mpd315,mpd320,mpd325,mpd330,mpd335,mpd340,mpd345,mpd350,mpd355,mpd360,mpd365,mpd370,mpd375,mpd380,mpd385,mpd390,mpd395,mpd400,mpd405,mpd410,mpd415
0.5,191.68090800531147,203.67661110750197,214.60156552157443,217.58609575167,220.27353209009613,224.48571268048855,225.61118434671923,227.11636958846864,228.36542429061606,230.65883132910224,231.13587510707382,233.79356134529513,231.8759674079488,234.72217129362338,233.2891760034578,234.23905181002112,234.20814256744714,235.29700923071778,237.70766509196514,236.01385986704855,238.75488717892523,236.82016772065626,238.31493502714764,237.57382222562856,238.96191747473512,240.9378183247612,241.9255030236559,240.2780115916071,242.12966808744997,241.1161035141873,243.1597241871507,244.20055606142,242.92322323319092,243.97402722914458,244.84555292306473,243.2674386535496,244.18415793826193,246.9542876574566,243.52547088109344,245.73022704053844,244.98813778576653,248.36082657852813,248.05143091206514,246.54440439648096,246.799462737298,247.5318059785215,247.8823711378118,247.5715960005366,248.6861021275009,248.70134634208785,249.8779648025099,250.12741526389703,248.1788628102733,250.7723169411506,249.73156849073501,251.38282656450653,252.3696928372532,250.67798473386623,249.61625249266967,252.62087515246685,252.32257248528805,251.75755035266465,251.50201808975677,253.2792378917632,253.15828818301316,254.12488967204973,253.6563642184359,253.89254256263703,254.797338768309,253.71204481243583,255.14771332342994,255.15867517073588,254.6065184306204,256.67177976106746,256.2147623209358,257.39161571086805,256.84057142978327,257.7352941536808,257.93206206148494,259.1436278067238,259.3425256143399,260.82286912665705
1,196.86943276133366,212.17532678933304,216.76858939645615,221.35876693426698,223.05669071666642,226.6053690635423,228.83718218132603,228.5423537229175,232.01210264704912,232.22628624628814,232.17768158489804,234.4188917697939,235.64797223693694,235.38774790565165,234.2123337389192,236.05261260011147,235.26030782600958,237.02691048388655,238.6836678644393,238.91495470403615,239.97671923756468,239.31890528381544,240.30148910693742,239.55196268059984,240.9251832774755,242.96022566520705,243.48269117885758,241.8140693354756,243.06037148795676,242.84638228882494,244.80434347477387,246.08062661882198,244.07941273535397,244.67901842793415,245.94631510716852,245.06593410433607,246.30767493715462,247.62051560844174,246.9559403176996,246.77489389733395,246.7510458881933,248.8683321572197,248.99182242928006,247.91285017954206,248.64949046560557,248.50941780892177,248.68246501808872,249.84352107219408,249.66180270309354,249.3340088424211,250.84083828428768,250.80036522263188,250.54977639208448,251.89806586029619,250.22129493645414,252.17001384713177,253.1692045821639,251.74683168820746,252.92220081380196,253.45129951001127,253.39087233289402,252.79628527519526,252.44580471902918,254.09812975271785,254.20606382236502,255.04635612613217,254.80315010539576,254.20777021194237,255.60254223699488,254.25153750904715,256.0540184316404,256.4718130353159,256.0014592732202,257.0944238259117,256.7267574364357,257.9156063228611,257.7124257465083,257.97156194574393,259.28519781353776,259.30632602820316,259.4858275619743,260.87097725311514
1.5,203.17950902713466,216.73419323424272,218.4789454263787,223.570528413295,224.29460226688155,229.1784658897217,229.59130863739745,228.84096198056238,233.01886583897988,233.20865476826242,233.4390706824422,235.59609227850217,236.47399952250748,236.933019669794,237.15571768022568,237.00402396527423,236.74916694299696,238.9234278653787,239.829472073722,239.96970541717408,241.62160958015352,240.12859423174066,241.04612092434368,240.55345138125645,242.81060381528735,244.17645784543467,244.4136050857196,243.32803357939906,244.15229591101752,243.9875342052014,245.23070314116828,246.73149106117023,245.4688441005205,245.91025572650167,246.68173122510083,246.07541411178318,246.73311453787542,248.25348249542463,248.0329295395923,247.73803391336187,247.57975429592938,249.45195256044224,249.75854236452352,248.91176624143708,249.48519068657563,249.40884033222756,250.08049392804827,250.2753679558855,250.71490019454384,250.85321064724158,251.56132103868066,251.15837047483151,251.274938149584,252.31759767331002,251.46055296103657,252.26942306734745,253.83397730327954,252.41859556750038,253.40624538825443,253.96714711607729,254.8326682632838,253.89205590514567,253.62646755353663,254.88768694389265,255.07313626970264,255.5838401515823,255.53495315923195,254.9048454396843,256.0187292089339,255.33006942741628,256.4036280792328,256.7509780913043,256.5167982685232,257.85652132832763,257.2650187886938,258.2962356987719,257.88100923642577,259.3393407733822,259.45695014686373,259.3892425391577,260.7956933498245,260.8969300048301
2,208.055829462222,218.09968735733298,221.56556555641953,225.24886937169632,226.02578482707742,229.55685750234042,230.15270279731195,230.18063061966268,233.86851385669172,234.03965344246058,234.39158151893068,236.37341503508242,237.11042832451034,238.4731840092512,237.7045724525239,238.0626304158361,237.9079196724741,239.85752044709253,240.60701377484216,240.81970935196586,242.52230145736365,241.25443991950874,241.63891089632259,242.6311387885626,243.4952207783155,245.273512268696,245.34324923627585,244.75278859503217,244.7295723038438,244.71625961854951,246.2526645485774,248.00665892741623,246.0971247468045,246.60643937698134,247.20862429714143,246.89164985167864,247.70314938121817,249.04169745616204,248.80035310505218,248.57541229241102,248.80664999469548,250.08824114859797,250.41280899313236,249.41002942623908,249.94416313081157,249.77812034164475,250.93139523653159,250.65239052279662,251.70822088755605,251.65988818375467,252.185414502465,251.6514610896327,252.23811808913996,252.7183046078996,252.14165487478058,252.60433245186627,254.15731972743282,253.13194325872036,253.92748275677314,254.37914695943934,255.12944825708766,254.26766474241475,254.5169954063294,255.11485820498237,255.4893890603885,255.77394335568744,255.82645560701968,255.58567886689687,256.23340630786424,255.84570856121672,257.0252307673929,256.9174380247354,256.93993421596616,257.94464405910463,258.19037612330294,258.3478914658027,258.1107774250076,259.49509134097735,259.5169602255836,259.45021748259427,260.88622439161367,260.9186133321756
2.5,212.60491490444423,219.8208592411413,222.50569971105276,226.70431642616634,227.62148691649392,231.12710638888717,230.98194328413467,230.72004200533618,234.6936986027654,234.52689238138063,235.35429726396998,236.83413670419756,237.9404352325598,238.8423418245751,238.8668676871946,239.45936393251148,238.60999337098707,240.6914773530752,241.29043551171884,241.52752591156633,243.82759661297823,242.58728660285473,242.89817751001726,243.64780697011398,244.46176282496043,245.9438973199893,245.7773096440149,245.4442594260085,245.57326256355466,244.9209946267176,247.43126328700353,248.9792187843638,246.78760572608343,247.36418997851263,248.26461649017168,247.29660475053822,248.17794512091226,249.46985087532687,249.45498634777914,249.29860172770188,249.09634518982276,250.23042908479522,250.7917003890119,249.69543057293433,250.71355498009518,250.29236836837876,251.51799943203665,251.57627238516523,252.08160199600817,251.87135391023136,252.57317128844096,252.0787281945857,252.93545145757417,253.04841006450928,252.9888939507178,253.3426582706561,254.66442557646616,253.90389767014884,254.4015623762407,254.6028951451234,255.32398271597435,254.61299761381665,254.8984468590808,255.43563260472678,255.828576639873,255.92027907319456,256.0451653412103,255.96287603342122,256.4532024985863,256.6142128593685,257.3621275014826,257.0766523337813,257.0804711197825,258.07047385522173,258.3803021961156,258.42450862078067,258.2295050208458,259.6123770699402,259.5611130076011,259.5431572110807,260.9144034076698,260.925982773516
5,218.93793710777737,225.3150356246894,227.57845591866104,230.00760368630702,230.86032534551694,234.23505356571425,233.83941343683915,234.83630484434778,236.8785955385465,237.60239390458204,237.89483086853986,239.35731503634526,240.09813040200595,241.37439049762776,241.88290368683272,242.08883025802874,241.9137128765102,243.89777934288054,244.79385908728003,244.8968137941901,245.86692619297057,245.9190911126954,246.1754911487798,246.04956827068585,247.31568558783465,248.4785926564092,247.9588209403573,248.8006492570933,248.7195254576545,247.66318269006305,249.80269234511766,250.6171598139733,248.98833777440686,249.97771933763764,250.35723002041635,249.71057020863915,250.3765133272848,251.20372052786868,251.01638276786557,250.9896108954737,251.873332640174,252.21282458062544,252.45812605370705,251.85687595704414,252.39662060595242,253.27447199133456,253.25142745683095,252.96570070858616,253.5888113294518,253.7181918737111,254.08294644035965,254.1972329578842,254.54912827211575,254.24493460136387,254.69039696265526,255.04474788853037,255.8927411753538,255.87152332497607,255.3575738402487,255.5196277716764,256.4878777044518,255.8048511768796,256.3789664521031,256.4953933830039,257.07398999478795,256.9420350967308,257.21729908527664,257.2900067332086,257.49341788010423,257.71159555228013,258.1976965724993,257.83196514282906,258.39869253927833,258.71819656929165,258.99604441467955,259.1772331638055,259.5981762022437,259.9184293798631,259.7956623642581,260.937619108593,261.0552653397051,261.1079006677578
10,226.8837948333335,230.9590622645716,232.81499771934728,234.73822686113328,235.8568880597721,237.7260465310108,237.2329892267299,238.8192537326468,239.5174309963502,240.96536751283952,241.8722424123234,243.0119780117666,243.70262612168278,245.373568956386,245.6612330418925,246.1165664309076,246.3843224272921,247.7415447546236,247.7410954093663,247.6965985329914,248.6525127867912,249.1193211852534,249.5634576138436,249.35731559077772,249.65576285114332,251.2344569913718,251.21308179514008,251.3882512696951,251.2873100866543,251.1927913800047,252.11861940279908,253.6229787148641,252.3528646787643,252.3547059350774,252.415799221739,252.8980934799946,253.3266345257079,253.894759770348,253.6174543732094,254.3200776794825,254.361522813014,254.2151281411438,254.9569700690242,254.5484867600685,254.1681280437323,255.5348719071515,255.2500817128011,255.1720177714375,255.6888263468399,255.70830809286812,255.9932812656626,255.9803325008314,256.6098889356643,256.24166013548944,256.6517351949495,257.0232480957773,257.5889396675796,257.5041530490059,256.7850741928231,257.2699407530942,257.8550065382946,257.4940558503764,257.77019805687775,258.0094345174653,258.34903671089177,258.4690580704337,258.56702849641283,258.59957605718245,258.679923138314,259.1598531080157,259.5151628222798,259.22010091513687,259.3284250581367,259.9167872800432,260.1458296359116,260.1439523640376,260.2429654269231,260.6641612598989,261.178704772265,261.1915165245249,261.2532113567451,262.63166499216214
25,237.0955869166665,238.82664311841626,239.95534430198774,240.4283149906335,241.93638109784598,243.92045728563,245.21414070790348,246.325696576293,250.14367491427777,251.64859407616524,251.61643643741547,252.7290909729475,252.59230608345976,252.9002492047715,252.738193388815,252.6831460009065,253.61869764259026,254.8515271269545,254.6949973811445,255.408364716182,254.93535727257176,255.18627962582525,255.1194560596775,255.75686344389325,256.3903361408785,256.28267990011426,256.59581135532227,256.33269729178255,256.8197167695872,256.42850985078826,256.9137861391575,258.0681255821762,257.1867160535587,257.246249107266,257.6648191939405,257.7999301517,257.579140158246,258.0027499515005,258.33116300312,258.346236392489,257.85465220753247,258.1789277638462,258.615943371443,258.3347691900502,258.1617234933585,259.2486397736405,259.31895562051625,259.273935202917,259.0653224952953,259.1200354645945,259.51028844233423,259.21730006639973,259.56418520000676,259.592152232516,259.9396057552843,260.016670866262,260.10024022666903,260.3719416319225,259.7459246095592,260.1074603900325,260.24169023092026,259.95112769779126,260.7083464472628,260.4169291160123,260.434749731844,260.675163948521,260.95000278038026,260.71880959821124,260.55186316897124,260.9318632262077,261.34618718506124,261.14510520782625,261.2462363201922,261.27731720612996,261.185440326272,261.8538770271247,261.899212251543,261.8833702649475,261.74105082534277,261.623534926429,262.74115113554,262.708859980081
75,281.89782260000027,292.88381065082126,282.71590772206275,276.69678467920977,274.17694057788674,271.833029500511,278.811958915417,277.1188773281355,274.078743037535,272.4191605857243,271.1997686370377,273.6981438663215,272.131540693684,272.34432257104277,271.36442694084826,270.790740055876,271.1465806607945,270.4354540666455,270.8615940411207,270.68450034321404,270.03030184931424,269.43555432344823,269.8734478875027,269.28716528247975,269.276990984036,268.73111524499745,269.094965228084,269.07561747923677,268.33850046168175,268.0751522548335,267.94616276064625,268.54278196292074,267.983138845085,268.3694941236095,267.369541309682,267.6646451125388,267.84142987231576,267.515848866961,267.42431747904504,267.127865025411,266.98738763268125,266.91296192087475,267.242608326462,266.83848163876524,266.22983713024576,267.13169725454577,266.67570301260275,266.658029050955,266.2906310655635,266.243144624354,266.777705286031,266.021665236283,266.32000476532824,266.2276793530245,265.911120192353,265.96144724662724,265.758107047655,265.7299083363685,265.39633642511524,265.44693728262723,265.4412116450935,265.30169343845677,265.27346087761805,264.95313732703346,264.86132462779324,265.2636435196505,265.0542543925825,265.0806111026753,264.828118413286,264.59557490595574,264.571221808979,264.33931654472576,264.3251752656463,264.3992551229155,264.454017111727,264.3708370260155,264.18959831215875,263.9585819328495,263.78166322807476,263.4564538548125,263.1987036367308,262.8948747737085
90,328.3841779911112,302.7079391705337,308.422234024979,300.31367429581763,296.5686904650828,291.8256317585981,289.3816313536692,292.3340063797376,287.68202786410285,284.5277470872913,283.37737440615217,284.57937145811127,281.33248170743957,281.4930163304626,280.4629326191127,279.2991472585713,281.9847150235455,278.2219102490439,277.6775705762926,278.6159186421383,276.90388108893103,276.8643638431532,276.9478180518857,276.67407660678947,275.3589093879498,274.08747256077606,274.8714337536318,274.60677993915334,273.70816832897617,273.6344225037439,273.32693722736894,273.7214902464749,273.38979228411006,272.83205817359027,272.26614787721263,271.9570999261622,272.0848616494044,272.0586848843157,271.3272920138891,271.0140868268861,271.0945659509438,270.1780837099103,270.5991563979154,270.89334779653296,269.6870832678347,270.567240297551,269.9144236608936,270.05614172574997,269.6003111985877,269.36301086630584,269.4234035143096,269.0084042598991,268.7025706753765,268.7893486640602,268.294106810014,268.23148151571434,268.01487865627644,268.4378545552936,267.7543380425489,267.5779880201917,267.748786988948,267.345064764784,267.3196720480717,267.0190008229896,266.5624174084585,266.7519971669413,266.4747252630842,266.6483753411286,266.2015604366203,266.23197753347023,265.9918885585577,265.76321549465234,265.60515484083834,265.3692707589089,265.1540150732461,264.894713172199,264.59465931275486,264.3023757416768,264.0241798096361,263.6915257055431,263.34769420733215,262.9515300844153
