,mpd10,mpd15,mpd20,mpd25,mpd30,mpd35,mpd40,mpd45,mpd50,mpd55,mpd60,mpd65,mpd70,mpd75,mpd80,mpd85,mpd90,mpd95,mpd100,mpd105,mpd110,mpd115,mpd120,mpd125,mpd130,mpd135,mpd140,mpd145,mpd150,mpd155,mpd160,mpd165,mpd170,mpd175,mpd180,mpd185,mpd190,mpd195,mpd200,mpd205,mpd210,mpd215,mpd220,mpd225,mpd230,mpd235,mpd240,mpd245,mpd250,mpd255,mpd260,mpd265,mpd270,mpd275,mpd280,mpd285,mpd290,mpd295,mpd300,mpd305,mpd310,mpd315,mpd320,mpd325,mpd330,mpd335,mpd340,mpd345,mpd350,mpd355,mpd360,mpd365,mpd370,mpd375,mpd380,mpd385,mpd390,mpd395,mpd400,mpd405,mpd410,mpd415,mpd420,mpd425,mpd430,mpd435,mpd440,mpd445,mpd450,mpd455
0.5,179.12344665699987,198.1521664676189,204.60710469131598,207.55611785540034,211.26212222931028,212.95593081424968,216.12489694343986,217.56280560491126,218.48940363554456,222.53625848472848,219.40743020264995,221.89910373641467,224.9429523337815,224.46139388051466,225.13524522507825,223.8191492469651,226.2924548644287,226.32585336609824,226.44512438956528,227.17908831192543,228.3211624610564,228.71223195104852,229.37090329487768,229.88897268480866,230.00170160023865,229.96848781050318,229.8447797795211,229.72708361396235,230.76420090800332,230.43031865959773,231.02469581380072,232.55143263684099,231.59561032471356,230.70736375755067,231.7977320100846,233.0409416626468,232.89401837003064,232.91291605438224,233.0497317832896,232.92495542999802,233.87592228927943,235.5971106179885,234.5341622108094,234.72131214628357,234.11219990398297,235.6008736574035,234.44402643505126,235.27232564368612,235.61855230327765,235.6338519466494,235.6904130193288,237.10192862385622,236.6434583425582,235.62160290750853,236.8749038072976,236.66248095394627,237.92441690023912,237.30825530215998,237.7690892984771,238.42810819150395,237.75575209886085,238.2113965595462,237.86025203221243,238.65851315465966,239.5951747961352,239.30558914539822,237.893944587407,239.2637583172613,238.9348344901095,240.33108286001007,240.00919513276503,240.45911456223462,240.5477349255141,240.91327801186878,240.84590182796472,241.5982992749292,241.4580711782832,241.9274966565477,242.21975766295427,241.5464544684286,241.56777724050832,242.709595596446,242.8692997986581,242.72313502121764,242.86193978159048,243.90241511619385,244.14706830668493,244.06497753705503,245.50887408240743,245.659596326432
1,193.56660121977788,201.06185899312726,209.45998240694712,213.85036128180033,215.60863708919555,215.2922891231929,218.26157564462628,221.43376609284357,222.66993880054258,223.57211606068412,222.0501397571496,224.45535142479216,225.90512211646302,225.14504564774688,226.09875422163452,226.12476907764287,227.57490211538953,227.65889913894105,228.052837961582,228.5567708359886,229.5818771002858,229.94402761029735,230.47376631054357,230.3495514963973,231.0327298592265,230.86126421144064,230.5817541105407,230.9127515531256,231.98797532034024,232.2283717925327,232.78725955343913,233.2769896857878,233.0121196369375,232.67872894235276,232.70232570722274,234.00929181048792,234.3017367382052,234.01846526513688,234.7137554699514,234.6484956402563,235.03717956983576,236.36010083995887,234.9657747744094,235.71888694906448,234.85852449090896,236.90421770619903,235.43306323501486,236.2012730467575,236.92413990719274,236.50228238486025,237.2083065119949,237.74351767493692,237.24568238353447,237.12844059128045,237.98383530597437,237.7612040012444,238.7575783134772,238.07389810221957,238.6436265043699,239.11250334064488,238.7538377523723,238.75775382402512,238.36622391006512,239.65844717962824,239.93487291848854,240.14183159132563,239.42971819487607,239.93110148223408,240.02410486663254,240.96447821548153,240.72374084651418,241.02732656592258,241.07829475833003,241.4241845008617,241.5091178407562,242.24308663832315,241.89914685826213,242.2570669199357,242.34338908304548,242.3429768124562,242.80436559196525,242.89956476180024,243.56901332215216,243.81991640570538,243.52636865395743,244.14665942903858,244.6149704871523,245.2522422678591,245.542944112224,245.6604170688252
1.5,199.70042140536668,204.49845454723842,212.0157647126971,214.50774314263143,218.05995363326738,217.963889839366,220.25193539548934,222.40013616563274,223.88893502194384,225.11243651575865,224.1632334365416,225.32054359570105,227.08899672075535,226.0360632242416,227.3415625275602,227.15751220736783,228.46042413143346,228.04921786503274,229.21712728792804,229.30868346436696,230.16013916575582,230.84299019489453,231.28087078713503,231.0700879996357,232.33558568361354,231.44906149108775,231.9121716136135,231.66477777600352,233.01443402902768,233.00663194664386,233.9664560810244,234.38674835240735,234.10592319187106,232.82723442175154,233.70154050975611,234.36404060146714,234.83911400733805,234.55204094046417,235.3036544243927,235.30851891608467,235.56939220562984,236.43302280507692,235.61356391062552,236.3528681091803,235.75375239205982,237.30980198168254,236.6175550308899,236.9787524637383,237.5804313243682,237.25634058670954,237.7091839573186,238.36427171303924,238.16863685166578,237.53789214565705,238.31328110328246,238.39276595178438,239.64459283598558,238.80932200374875,239.60251201734582,239.63300618051147,239.25448517423428,239.37500859100265,239.06409630649495,240.38271853890376,241.01116556566137,240.75890318857978,239.95153775701877,240.47935113575966,240.79747099785573,241.41399380495028,241.50943329274168,241.18354432954965,241.26308073682313,241.95814838947288,241.71851437683762,242.53959102342066,242.07352489494696,242.59161790942676,242.89060454775108,242.654962834856,243.09913629067412,243.70061593170632,243.81273989166024,244.08610217116387,243.72475575207946,244.25198633002722,245.3552237632225,245.46423497065985,245.5932776980454,245.660602003268
2,200.70836217504123,206.23076636155824,212.65088237726343,216.43184845814767,219.61945631903438,219.3540367696145,221.69361151415558,223.4782169431918,224.7912267649896,225.69504158761114,226.0941092694733,225.8284239287239,228.28776798101765,227.03850649963377,228.1685328048352,227.99044041422937,228.98667246944996,228.76137351631212,229.93499645917294,230.00046923728084,230.95053644421102,231.45677206490683,232.25961883896895,231.36135090438336,232.97285090208638,232.4884108843406,232.42492589132246,233.15160594589574,233.48270221787527,233.37411948480639,234.68169188294303,234.97517375524578,234.54550272276623,233.52463714500126,234.31540547917183,235.05085653429737,235.34645916214612,235.16445997188873,236.21076519130295,235.63948887493527,236.17611570493168,236.61929006473198,236.32299010159252,237.14160596329523,237.2652318726451,237.93958912221785,237.27187642676407,237.66430584799986,238.11884334641476,237.94995196987972,238.1732030137033,238.78576793870675,238.97699737668788,237.83500439283688,238.68202615546852,238.73710872694744,239.92559141354855,239.12984873509666,239.96687310911597,240.03308297377518,239.70061639479263,239.8859295375876,240.05337917284575,240.67147896706294,241.285692037374,240.98744154389001,240.5904504697633,240.79661686599545,241.07229103290334,241.79382454714246,241.77806674074571,241.81320406628032,241.6679984461214,242.27135151980335,242.02862993402098,242.7420194032894,242.41959999481958,242.80821518663885,243.02942942835062,242.9748571528629,243.64073153840138,243.85051721985704,243.9549181977349,244.21334558090604,243.8205177760018,244.36134255008616,245.45270412600328,245.56421207415838,245.63125194769438,247.28705704979194
2.5,202.6433533055551,208.33023466238092,216.9871008359773,217.38454507531998,220.96957973360375,220.29593014437023,222.7804594009569,224.14716284247575,225.56556285884477,226.09963946705903,226.5663319294021,226.67223849232008,228.6068424539653,227.49635838860897,228.8842076612568,228.9226966061773,229.69684509703842,229.71519198717107,230.41440996970798,231.0490568917045,231.37699286263359,232.14341782076548,232.66621334954402,231.72017454068487,233.16825832042244,232.81068944417098,232.98111731278917,234.03497214097618,233.80680821444182,233.66448515621227,234.87233081401553,235.1537136921955,235.17457079233742,234.2144993895122,235.20282109312154,235.29424565309725,235.7228818910775,235.66858477852554,236.7318540007418,236.02639393855355,236.42238456531922,237.0030794823068,236.7514850422052,237.3934336417324,238.02165847607804,238.35651873456513,237.58739519105345,238.04888572763628,238.32504147328058,238.33708757955668,238.82334987092742,239.09394795869076,239.34024896676104,238.7319292530464,239.0121177536244,239.02856534593425,240.2644008559013,239.7062744921648,240.29012184126026,240.1440464814773,240.02341476559394,240.52136103991378,240.41301871215816,241.1970724516808,241.3989860139022,241.44880396942193,240.97713370481011,241.0114280378649,241.35637489290878,241.97134070831055,242.3932645205906,242.17677005369262,241.95760227249778,242.52735303358833,242.39864402123027,242.91852124139925,242.5974525185467,243.21139702036356,243.24245553187242,243.12054354572942,243.9062325464501,244.08020336695557,244.0549972964997,244.403679425722,243.88758942566201,244.53862603046755,245.48887727384155,245.60439815731687,245.65906096074406,247.287266908956
5,209.2502946233329,215.2102838342856,220.1761452284206,221.9132312060003,224.54281328435323,225.25475470713127,224.89331944987146,226.7900497401014,228.03357100205056,229.0465725457054,228.98784381607496,229.3434390701113,230.0819734746375,230.0050907290261,231.5324039336306,231.2520153733125,231.69408526233866,232.11657705895496,232.1413518434107,232.80999336265984,233.68602431983717,233.90310256965367,234.24116125317974,233.92827258149515,235.11927011037082,235.10820269243266,234.9474157765778,235.8441677641524,235.42979613709016,235.84564806816533,236.5266675242222,237.40215879158953,237.11617037087186,236.52269826950356,236.86114243622208,237.4491778036872,237.5935954825473,237.3114959576783,238.1782124837261,238.16904762217214,238.25006394394575,238.7900027584932,238.76009702731895,238.62345635628805,239.07572560264944,239.40431395861225,239.3781619140398,239.5817739917269,239.64985583215255,239.71522934027428,239.91857835414132,240.29599475847493,240.6586071527233,240.14981238235504,240.21881154573094,240.59458262086497,241.25012785118074,240.98077777956397,241.32258354891394,241.35651259953679,241.0083178950597,241.60783659049454,241.82884683752224,242.23801416570856,242.33784907717407,242.1903378517252,242.30104370302,242.10305077969275,242.4258807533104,242.86571396306775,243.1290128196954,242.9332940938988,242.9800633183622,243.22714658274876,243.18056261285832,243.66913052603667,243.44856712528824,244.14500030873074,243.99359342805272,244.2845851702566,244.50940241795274,244.64962633638976,244.3561061072655,245.08391267505584,244.56844560704997,245.53597855979595,245.6888030103845,245.75667231552174,245.80555926245341,247.295655297783
10,216.70782858,220.9966896609523,224.2068496356197,226.167041604,228.6151355788312,228.5117789478589,229.5149668463139,230.269559500411,230.8977846842264,231.372467084537,232.2020138991628,233.0004696405251,232.3727576528264,232.9003931043079,234.1911770162634,233.77699551397188,234.0464360077629,234.66030176133052,234.7811253701046,235.41692571385698,236.2436668325428,236.7038177514628,236.58544396571062,236.59934533787958,237.3453150106039,237.5029906141011,237.71713535728608,238.18697819153758,237.8646241645134,238.2656109584079,238.64938859750902,239.3532228309388,239.1661549361755,238.3809921509725,238.8796109910661,239.45202925693582,239.5943544020927,239.4296370150748,240.0212487245739,240.0471113730681,240.0037309841845,240.415682960646,240.6707550274006,240.44052079374538,240.79608513432458,241.2397034011567,241.21490945264958,241.2634406466043,241.57489073877522,241.3724413061461,241.5154756059216,241.8866794950859,242.1704751724456,241.92512369165848,241.84846756317162,242.3573379340238,242.5344059000885,242.20413351050001,242.6278111009646,242.6394137942448,242.6360466198135,243.0665571510117,243.2031783821104,243.1628249075566,243.5898610787431,243.4191517729227,243.3923078727666,243.28834756733642,243.67932635271228,243.7690100406365,244.3143034803981,244.04023717069708,244.0944408350476,244.1833452756011,244.2949812821872,244.64894750415812,244.7122446225446,244.873207181322,244.81869204305488,244.9938904528368,245.1148964093743,245.3321940953062,245.041612496671,245.8079671746576,245.6799055818047,245.8780145664763,245.9460856777773,246.0003698221986,247.0766297766823,247.318259853953
25,228.47359993888898,231.2158228761905,232.5527517276315,234.08532708500024,234.74782066833325,234.64786989055625,234.9943242405265,235.39207237872,236.52832111632625,236.4901513046515,237.14302609250277,237.492284446055,237.386825233744,237.62849417122476,238.6458763518895,239.40892845267848,239.54135383991726,240.493899957811,240.388739965632,240.73323729096174,241.0002030373015,241.78995777613125,241.46101565341752,241.89265076786725,241.8155341538725,241.791215704189,241.8642816429855,242.06833359474075,241.96359964647826,242.35415933453476,242.65186984913075,242.92516480074426,242.63887152212902,242.50725688843175,243.07483587649298,243.20040541708275,243.35497945784525,243.0755682360275,243.57154911429149,243.26354941660676,243.61670962461676,243.854462018143,243.8519745788,244.240440824773,244.1673055558035,243.91966312944277,244.02543190098,244.35095022817325,244.44533673013424,244.3275927503795,244.71265556318076,244.4687372979685,244.60615543074675,244.72477258548224,244.63384034811526,244.9879056636935,244.87116851002924,244.97656471359576,244.8026296487885,244.80917956091,245.10145647087774,245.3352411018705,245.46388163959375,245.19093591183525,245.45045030321475,245.43441806606674,245.400912440346,245.2799864922355,245.63378684772326,245.6527994314175,245.9123210098965,245.76518092187678,245.808540658816,245.94558695854602,245.86693567666475,246.09140237566425,246.19596366804674,246.309912879829,246.272560388126,246.42745435799898,246.41611963081826,246.60908066216726,246.35054550681775,246.5272217191365,246.38462113800273,246.77099594867124,247.196825306889,247.35164719599027,247.3537331534455,247.368681921381
75,247.79906288333325,249.31997985238124,260.051103759211,265.36323491790677,260.999327235338,260.7035848081765,258.920372399153,256.33410800384877,256.087777308014,255.21536931957797,254.94844560253875,254.19249639168498,254.97761108447224,254.42407951283374,254.536603691971,254.9185698152825,254.16320405418574,253.82033178871848,253.21538633774674,253.72791145525576,253.7874232348925,253.91834413320376,252.58221607109024,252.21039972816726,253.62060140788452,252.99289338105777,252.257681668143,252.64366834565524,252.5369779096205,252.01778580996375,251.575119326416,252.31739301626376,251.13518149525225,251.283081985825,252.19246621247174,251.494050420533,251.950938607565,251.2133677233465,251.25711772569025,250.83630153361474,251.05834061880302,250.943944613261,251.3129037786655,251.26318779268377,250.93533494988026,250.87627257463248,250.70950561834076,250.66437105410773,250.501664392367,250.33278362824174,250.53280729027026,250.48246340221127,250.69699248989448,250.46459138386675,250.2378923727715,250.29925106102002,249.91754512453048,250.0387240827855,249.97412722582476,249.880357029985,249.94701588983799,249.81628165062327,249.8355375152825,249.90839856045525,249.67527564466502,249.7430373029865,249.56813750868525,249.4526787611575,249.3778245210275,249.3768288844885,249.24994361785275,249.137214188541,249.07924425015375,249.15302187055124,249.02176715000175,249.181503347728,248.98785697350377,249.06163153122625,248.94873427536024,248.815634901223,248.77112409364,248.70015005402826,248.5528274675575,248.42581145735477,248.27963090397873,248.198545555954,248.04198422967448,247.9024625449735,247.680927979846,247.4679971627
90,313.3878353066665,293.9369675465984,281.30434676263127,275.7892080105067,269.5531740114715,274.67706005818803,271.7650818254755,271.8144456001748,267.30348020176496,267.225541932218,265.1076419652444,263.5674040109451,264.151330703678,261.2311914640873,261.8644142936309,261.5041355555486,261.06496366555774,260.83599252162605,259.2101605919317,259.6614305210715,259.79660347767907,259.0068601673888,258.1819935112329,257.5510647083402,258.2493477934612,258.27416672799336,256.4547950214379,256.6109996706108,257.2325136694243,256.3414544022556,255.7024541883871,256.482331174771,255.4180020114433,256.0339603838655,255.848107988168,255.41290494658492,255.3640207989605,254.5883360094314,254.6393302284863,254.4095593316222,254.1455278576207,254.07727059978941,254.4071058203115,254.4221127588136,253.8598613859622,254.102244538853,253.28110109274613,253.4609258313398,253.11984354806802,252.9967758518876,253.122900457404,252.522173928384,253.031989399892,252.7322647569305,252.4277425930388,252.2335950480117,252.4905778521294,251.8103733594975,252.0042303855225,251.6535276721772,251.7026768030442,251.8128688968652,251.6245621969709,251.4907391269115,251.333506703408,251.3174346688692,251.2307395360857,251.0649477704417,251.00986878744632,250.8310568592608,250.6828566909966,250.4633610719322,250.4298212053318,250.308067798763,250.2723238916407,250.1724953893074,249.94774617248052,249.80228052178092,249.7448936812601,249.4615541627801,249.3608184567764,249.1714136961028,249.043659949322,248.8343759404567,248.6839591653403,248.53414522599218,248.29188387003978,248.1121077881487,247.84222956128818,247.5925050040849
