,mntd10,mntd15,mntd20,mntd25,mntd30,mntd35,mntd40,mntd45,mntd50,mntd55,mntd60,mntd65,mntd70,mntd75,mntd80,mntd85,mntd90,mntd95,mntd100,mntd105,mntd110,mntd115,mntd120,mntd125,mntd130,mntd135,mntd140,mntd145,mntd150,mntd155,mntd160,mntd165,mntd170,mntd175,mntd180,mntd185,mntd190,mntd195,mntd200,mntd205,mntd210,mntd215,mntd220,mntd225,mntd230,mntd235,mntd240,mntd245,mntd250,mntd255,mntd260,mntd265,mntd270,mntd275,mntd280,mntd285,mntd290,mntd295,mntd300,mntd305,mntd310,mntd315,mntd320,mntd325,mntd330,mntd335,mntd340,mntd345,mntd350,mntd355,mntd360,mntd365,mntd370,mntd375,mntd380,mntd385,mntd390,mntd395,mntd400,mntd405,mntd410,mntd415,mntd420,mntd425,mntd430,mntd435,mntd440,mntd445,mntd450,mntd455
0.5,84.743956771,87.94457329247001,96.860131115,90.0878749952915,86.78430834633333,87.86490974814286,84.02140632454281,83.66835314497936,85.27624169699901,83.28019947654546,77.96490319815358,81.15097960820694,76.09292264934759,75.96725110861263,73.31623593600874,73.88661541266518,74.72772000238194,72.88923744871539,71.0441546711549,69.91163771205255,70.42439016838232,69.09898357433292,68.15670221379318,67.51202832668871,68.33203904862832,66.18455476912132,66.8013421383641,65.8074693022229,66.72229223557018,66.51930941259585,63.65339249825503,64.1230053209136,63.69989031746506,62.21467124024109,63.0833054121331,63.255668771417994,62.11978469454624,61.72306576677031,62.33993973263448,60.90212972188979,60.29043501181695,60.08943077635217,59.65709813106376,60.1755650924575,59.91146832831284,59.37640696005024,58.69274204037429,58.612969042164444,58.30308477864728,57.82614202676362,57.643830490523726,57.5911081728766,57.63833076070665,56.98234382159609,57.320315155780456,57.22210553715708,56.75399503544237,55.91447915364611,55.59775585892096,55.679888264124855,56.203338106898116,55.0955368462699,55.39893872982714,55.0087033365081,54.908924268819526,54.97349110778047,54.71351336313828,53.9198299424593,54.36567260740166,54.554008104453224,53.98496895980994,53.83831300398844,54.22437514646657,53.69523164876503,53.76191676675002,53.29132233612192,53.62603601549431,53.1002655770373,53.31286099181602,52.863499585184826,52.98857566735085,52.93787823389156,52.75688412260998,52.65092278627203,52.377946414030546,52.70063833887623,52.618339131563204,52.469407593910155,52.486550069999986,52.77144843314283
1,93.1980871790001,97.90729606733332,101.157013171,94.4151911808,95.114675766,91.08624279955517,89.15995297128501,84.8953785591111,86.2947307519836,84.4792169922858,82.01348386756047,81.85519968387926,78.08960764745147,78.08377576040057,75.71135801124126,76.01094312526226,76.37127680913595,73.83300054587873,73.5206867566447,70.86025965882871,71.302302187258,70.53393194439097,69.23298845529493,68.94929633527263,69.41733393931024,67.90975067641018,67.42165025557738,66.28963186985817,67.20661182144467,66.9109031853643,64.65612459021088,65.34595398372824,64.55489335587211,62.89624944542852,64.21949264252815,63.744011491827386,62.79057049117255,63.033497478140376,62.55585278351273,61.91561218146084,60.63877177287365,60.69787801574842,60.820582903046784,60.99709960709761,60.71683351595814,60.11579006869547,59.45879920751359,59.588348462227415,58.80556478684416,58.59179695485563,58.128931939585414,58.15467248850447,58.33670121869113,58.17120187967598,58.07800067064015,57.56119516817161,57.088617933390694,56.93469447414977,56.693336162579534,55.958914997431066,56.42607330693953,55.67552895473018,56.08731436165745,55.67166862073349,55.49921960493492,55.18724017946764,54.88079124271513,54.592579461250274,54.58051537321227,54.87443448546499,54.411657471207874,54.10163718156699,54.55268297817945,54.02651501589707,53.89671171671693,53.65281880798095,53.86523339744005,53.480759868612104,53.456774534065254,53.047619441812934,53.242657381346596,53.09910887090876,53.03207509900811,52.871057306562534,52.546139346665676,52.85655362084465,52.940460642316154,52.77352940737082,52.569519274816564,53.05121682331866
1.5,104.5413817875,99.47886894721,102.85275573222499,97.57921400889451,97.96730687425,92.6048059118831,90.33563103508575,87.96279898263221,86.728849907,85.26835631581908,83.85608105928794,82.42454615303228,80.21184156997268,79.315920944412,76.78827853941125,76.90787200313233,76.5270788225915,74.47648022556106,74.5562802517201,72.32245821641858,71.88235168542668,71.06156692996889,70.23859344130577,69.76880162690307,69.56703506579787,68.68807012653473,67.67360761350483,66.97994424899727,67.6095834150796,67.37818150432092,64.90912743613673,66.14075433257013,64.79422702074453,64.70182775169015,64.75760696337315,64.05512351101429,63.16310878108438,63.31545786772028,62.961163363603376,62.492470138241906,61.88257776164784,61.494182069895146,61.482959839158106,61.605253458502396,60.94383269711493,60.35866805715531,59.678941901329516,59.93026915085375,59.05686806879773,59.11801531637619,58.661114397671305,58.446507147153774,58.7909080687462,58.39860953987319,58.57194145020895,57.73662641998543,57.484793674011414,57.16021823701618,57.22315603090177,56.50782314955362,56.68291429307587,56.0835487913211,56.357241887177324,55.897931148638946,55.82411244379054,55.53507531728543,55.378349984046885,54.78807939769673,54.91360924450574,55.11615569522742,54.771997511208,54.57573446351088,54.690545048256276,54.30695027123052,54.265841220815304,53.8995474344622,54.00856706808578,53.65470007144911,53.604466207814,53.29906639264622,53.40455078655219,53.23782915970944,53.204178810246894,53.01767972708778,52.78684297755699,52.98452973140207,53.02588681697851,52.86310299509797,52.767832309033295,53.099950796054934
2,106.521411277428,101.53597029307967,104.941863966316,99.1448635343644,98.98702552383934,94.19486323597486,92.9865623068535,89.44322243292888,88.25774113199999,86.4223533792727,84.40587977669684,82.99895337683634,80.99970550493029,80.91320102606213,77.805981213439,77.57475322752846,77.09180948958334,74.88501942424001,75.2004304248677,73.24692889934055,73.19439919462181,71.7817942264061,70.7057759558967,70.32667531423529,70.28471283695143,69.44766851161256,68.7870506829774,67.69329315215175,68.05933816549444,68.16930613019257,65.69925535186219,66.46230202204254,65.25857500125515,64.95100602777211,65.04454457347614,64.55287412213765,63.78439980586379,63.817132563705506,63.2622296799695,62.63826978584083,62.64305868728315,62.165368277983234,61.73035420782181,62.00927711432919,61.30242514068387,60.896162032314116,59.94995447754647,60.1939993209334,59.51693955066436,59.276994806021385,59.06433761071824,59.107209215796644,58.92568186438067,58.76762824989792,58.79094235937013,57.98635837004991,57.838180589117194,57.4070674659198,57.3498496545998,56.96212505093253,56.847890479129894,56.29921740844405,56.43028762246689,56.1712599579512,56.10931502160034,55.73897283904599,55.64160146107339,55.1176642070191,55.062885038105925,55.28569251590018,54.99207740690998,54.833507014263674,54.82432414545906,54.36250030618147,54.41610744166448,53.98620364129838,54.18013026864207,53.87340756532292,53.6641346300015,53.461174314049295,53.524980502320055,53.38017736338455,53.27236260767077,53.115276194701046,52.90687702967612,53.05043097920623,53.07819943094363,52.95548674379774,52.812612376970655,53.13975860191211
2.5,108.78758915750001,104.80400772753333,106.09429211624999,100.45654246199999,99.58987753940839,95.75381206203781,94.01318440833906,90.71413465432775,89.3164425228,87.15181389355482,85.50761885825438,84.38110080084235,81.72403463470334,81.2164675238333,78.59421029811469,77.8364505793384,78.08248568528502,75.37756212623249,75.720994910275,73.66285746312849,73.82804062030563,72.35347072934267,71.29373282666667,71.0191068546784,70.67694347954563,69.78767503800086,69.20766781013607,68.1733515616121,68.34338488773882,68.26495930746368,66.26812088692634,66.73238689480607,65.70722868364072,65.68502158763256,65.44046613444625,64.7460316735493,64.18503325257508,63.93441438478125,63.57399579126506,62.91060724071926,63.106521382830884,62.6120808940769,62.13901471556665,62.1856061781432,61.61128566640662,61.060805801825595,60.29529067384309,60.57231724525866,59.91665880052495,59.848825536721904,59.24091230994057,59.20080858361115,59.10887321711218,58.88099493458957,58.88463848438332,58.30532938676778,58.076815172747565,57.739696106183665,57.56949536719362,57.2281090960997,57.10087428824436,56.36011964021435,56.65994529745839,56.321185698298535,56.30576274882295,55.906819318230994,55.77583836395555,55.32545042706401,55.300190937885205,55.398336526995145,55.12937000380794,54.98247227105793,54.9987042490746,54.39460204838437,54.47691520759839,54.127964516115654,54.33986289931417,53.972241681928985,53.79968147029513,53.600758823233136,53.57489299620755,53.48534445202077,53.32862761527775,53.20170387718981,53.03726961452328,53.13918503913607,53.12746702055685,53.006337710143804,52.943175701426654,53.178876994705384
5,118.930443418,114.7584183244747,112.19723861,107.793347108,104.727356931693,101.03188469056455,99.430577385775,94.30773183444443,93.526062178137,90.76635820314863,88.439426564465,86.99313255394,85.85795488235571,83.34888021652267,81.19074901621,80.42260363332818,80.19720776743115,77.89312215498106,78.01054506311775,76.00907569778664,75.37895924822996,74.38143733466714,73.23739204943607,72.6383387444898,72.00560146618612,71.41279826690301,70.86501386986504,69.98294014496773,69.54782615310134,69.22459662317034,67.88977170922625,67.93792569790547,66.98170589716707,66.76631331595114,66.67644066502696,65.80718957433558,65.29141438159513,64.91739302412886,64.61822625389375,63.89446274378698,63.83869979089727,63.65940145944508,62.99850019418991,62.81436542863488,62.528812732644234,61.97221170648434,61.60874984117774,61.32044961724959,60.8461764586732,60.5128353388008,59.95810504437455,60.24892507705082,60.01637327033437,59.7774089858167,59.522825275911224,59.05338197631002,58.66414746622012,58.59028650120455,58.20983749969792,57.87066679181917,57.78803634121847,57.22372513766631,57.38431721980048,57.03652688582976,56.99145946002467,56.5946801296286,56.379835178781434,55.93886537703517,55.89937801064517,55.85297212254558,55.59698041724068,55.46345665322326,55.344974116110556,55.11234331180713,54.97060781394338,54.54858359538187,54.70993102814125,54.517564137217214,54.187415748765,54.020174450123285,53.95388228385482,53.9093287101052,53.6852734089646,53.56060058157298,53.37818729794961,53.41068184001338,53.31814093470451,53.25232326447342,53.16053140690497,53.29514532125253
10,133.1602009,125.1200676200003,120.16726406708,115.583608128452,111.39592124,107.3894072302856,104.1977736414,99.92708203388449,98.17112252641999,94.43482014452725,92.00323994739917,90.38155445455384,89.03827456171996,86.62964507720662,84.65980064420626,83.33777506802353,82.8832163951378,81.16402677775154,80.0353848521015,78.71624430022379,77.6330444053173,76.58990573518213,75.701185431745,74.684341563176,73.89961997256155,73.10566069249182,72.25315869055467,71.5867580586983,70.95094433816901,70.91547804062323,69.65653782620251,69.61609303192422,68.95697518056795,67.98779244015938,68.01280511372083,67.05543177853863,66.65749752424739,66.22357429477151,65.96879283365776,65.2623589772795,65.20444021958355,64.5127220834337,63.91874985666496,64.08968825705114,63.49460521898827,62.971655111359794,62.78531316994958,62.57456375803506,61.81288283828761,61.58177953785886,61.08028616291458,61.1506520723713,60.82796814410552,60.57570773787544,60.39659564849787,59.8827455697639,59.513070803439334,59.350059596410546,59.1771110113535,58.44850178531938,58.645547039064674,58.15368660581266,58.05780468035653,57.7779482713423,57.65663603550088,57.327108359994796,57.14451884715254,56.759809583696985,56.65642088183871,56.40136602999113,56.33517050882515,55.95969765713152,55.91928084751145,55.65561593983373,55.49504598104115,55.08836854795796,55.12143118443965,54.95888782428844,54.69639865575058,54.4727910806874,54.40675059850622,54.300425195286735,54.121430319504256,53.93829377887585,53.78734665411623,53.71914266242345,53.60884829569557,53.5063192502629,53.39371926824214,53.41217686330546
25,156.11133303075,141.6065031553165,133.684602001,127.87780172868,122.96244867403325,117.18443138628174,113.63993330049999,108.20470770372225,104.63102593645,101.2103249580435,98.20174353984163,95.8562439541154,94.55270632894282,91.30412909450003,90.0335344275,88.54971044514707,86.68228313509445,84.81083898244212,83.794731560805,82.15901999606075,81.39258519839092,80.27392790421743,79.22035921697706,77.859974097178,76.6172554781731,76.44914365968523,75.4914502446527,74.6083768352112,73.88761534370667,73.40973732273068,72.4450153119,71.87938015770303,71.27073163001762,70.49501614886856,70.39139263345552,69.54534436530405,68.9645780522263,68.7747453138276,68.0059962248825,67.5169580822482,67.27943723188632,66.52538887430407,66.06844625353237,65.83770094322276,65.13262359122392,64.91171170223082,64.59265061272453,64.48964833467346,63.524949713599995,63.26663145101227,62.711874113771124,62.59219292653447,62.436379693735205,62.050283786629976,61.6940181923125,61.26962619924125,61.038149278300004,60.7372828346487,60.57854137264455,59.91205826749385,59.93799276098585,59.498101735423006,59.249703291615226,58.98148681249655,58.614321251597325,58.42785367441157,58.250623007950374,57.94107154704495,57.79229424728145,57.482275882405304,57.2121827433795,56.87655131458085,56.68566821190537,56.43452071209098,56.37621929974832,56.061721865402276,55.94554658796348,55.72218912007503,55.49694962104188,55.2925122939318,55.057361619926795,54.8444896892301,54.687552644144624,54.4997860570041,54.3290259770247,54.18094895266065,53.988793939215924,53.8673910198312,53.6735890478517,53.5887543364176
75,207.38803195,181.678888428167,169.236800875,155.177009390265,146.1492840494165,138.30486429993948,132.6906515407125,126.6925340284805,119.91273672283,116.13565235612725,113.03092590855826,109.65373354482276,106.68921806371449,103.16701589679474,101.19076947984999,98.21790920127798,96.33581441223608,94.44922280478944,92.28186979548124,91.19583703144045,89.74717493697612,88.24395283976303,86.97493310863747,85.425649470253,84.2726168033423,83.53393354559162,82.27756309781782,80.92236008583448,80.11088510943335,79.13088811066127,78.69104356697187,77.91140914292426,76.87730115037866,76.20295397408785,75.9276313926542,74.99180748301417,73.98349474640857,73.52855344086028,72.83335274335501,72.28131341716887,71.82852228902972,70.87897148673315,70.5852257496699,69.89826038771164,69.51053384904347,68.90562724608935,68.6072368613776,68.07772593615204,67.447368311053,66.87922756633722,66.41685025049905,66.24393706043207,65.67983409727965,65.31748776350727,64.9931159202915,64.45795772493685,64.18203408619223,63.768129151084324,63.37255105659795,62.8946208445131,62.66506862109555,62.14472920208173,61.95823449270195,61.60097678535428,61.26065425893595,60.8563825371276,60.570678347972745,60.102386000506876,60.04156333698248,59.47891819452538,59.30703722515555,58.86621526687298,58.68742254806895,58.34449204840435,58.1205645003895,57.88967741819317,57.5073852442048,57.35244796526105,56.92738672272402,56.73708194338208,56.40495965356555,56.175602623787626,55.90851833912028,55.57856174306232,55.363645287953474,55.066110747688825,54.76188795786793,54.5081504265618,54.19579451182223,53.869898844659375
90,231.73117048720002,200.20911165386642,182.5735318104725,168.245381620056,157.54358429736672,147.6848421862573,141.1357115295425,134.0148394883254,127.64982036877099,122.7661472873779,119.095011171657,115.9848823326306,112.5262897999497,108.21828141480441,105.9164394284213,102.7154191602589,101.0540814555031,98.59544185426579,96.59857034501499,95.22047885770478,93.19815559897087,91.77110092674259,90.58614879506337,88.80706176640801,87.46330313424843,86.81679324956963,85.44445629872322,84.05284563546553,83.05349215729397,81.97031800634386,81.529446398045,80.58367110742574,79.34802279611884,78.73337907914345,78.13426460914667,77.31563464632025,76.0697830821337,75.6382723453703,74.93503915292699,74.11806892335443,73.83036511441523,72.942889347147,72.33601196577996,71.597194288974,71.33265758671757,70.58001850943381,70.30279886200061,69.79401518869636,69.1167619113544,68.84303879338141,67.99312699609114,67.69626779085488,67.25365694678496,66.64525878978617,66.46111355513338,65.91521878796433,65.410204755734,64.99603757764916,64.7066804494425,64.33376243495556,63.76695019564238,63.290296769363636,63.18707913050846,62.70691987759121,62.33814843545058,61.993650118711464,61.5325604733803,61.21369319445359,60.84671561909626,60.47365700848916,60.18225965461752,59.62674643819973,59.50969024087902,59.11978778797256,58.79216273814656,58.58667761936329,58.1444046700565,58.03572757089604,57.52436903521425,57.33339105943004,56.903623274561,56.629164973511436,56.38936510159943,56.02942982916133,55.70954613280642,55.44418666875977,55.10613480788637,54.75890289701123,54.38256775926667,53.97329094257144
