,pd10,pd15,pd20,pd25,pd30,pd35,pd40,pd45,pd50,pd55,pd60,pd65,pd70,pd75,pd80,pd85,pd90,pd95,pd100,pd105,pd110,pd115,pd120,pd125,pd130,pd135,pd140,pd145,pd150,pd155,pd160,pd165,pd170,pd175,pd180,pd185,pd190,pd195,pd200,pd205,pd210,pd215,pd220,pd225,pd230,pd235,pd240,pd245,pd250,pd255,pd260,pd265,pd270,pd275,pd280,pd285,pd290,pd295,pd300,pd305,pd310,pd315,pd320,pd325,pd330,pd335,pd340,pd345,pd350,pd355,pd360,pd365,pd370,pd375,pd380,pd385,pd390,pd395,pd400,pd405,pd410,pd415,pd420,pd425,pd430,pd435,pd440,pd445,pd450,pd455
0.5,884.9880711717,1221.48056183655,1591.072342525,1894.9081305232999,2248.99204183455,2508.36686077652,2750.387442875,3063.9400027188003,3337.3080434789003,3571.11604518825,3866.05917263415,4056.7271542286003,4280.39380683645,4498.917518054221,4769.76565490535,4980.740177015,5148.36424232003,5541.37593004575,5693.94546130665,5836.93993420055,6154.7474005452505,6285.98201758033,6514.2879956693,6685.47006942827,6959.08890574803,7169.3186169012,7249.1917544142,7470.45956455798,7609.597048093599,7879.1412247266,8042.29693575135,8253.71697079955,8313.22437806443,8611.46887164552,8728.44234573587,9008.65660225228,9134.09963039267,9311.585652379928,9510.05976887532,9622.03467549242,9835.20074059135,10092.06829152163,10160.40021355805,10294.283035489829,10443.07821332352,10745.34719803902,10850.062799711519,11032.23095254922,11231.71979148993,11398.960963044601,11540.07462868378,11717.092046208081,11805.11102537785,11963.83590809815,12210.6004867778,12295.70207570415,12562.32829852937,12664.65960003785,12870.141924006479,13049.059813117148,13115.6734244733,13330.26797674685,13581.533828505,13636.10100083912,13838.05036641373,13890.10170239622,14106.39629165025,14320.4915667662,14432.34673338885,14511.587603731921,14722.554079430549,14885.54137454362,15034.9122615704,15226.237868848399,15400.4778443742,15534.50343730303,15691.883957561751,15859.585565318399,16064.303118085549,16113.25725332113,16336.5863103319,16483.3197359865,16691.39684096785,16805.1858395335,17034.6906823283,17143.14128855285,17334.849063151,17441.08749300345,17727.0806246184,17886.892287326
1,919.72716816,1264.3447383766,1641.0581114200002,1905.93832663,2278.56735856266,2548.43589296,2786.79194106644,3120.3750349748602,3408.56951192486,3609.5675313589,3884.801247469,4093.7114263614,4390.6523292609,4602.1422787927995,4792.48335251744,5042.9826759099,5201.7369105931,5607.3805334986,5794.660858476101,5955.04011189156,6195.19576341226,6418.26438340576,6631.6625843265,6811.5538759257,7024.71606934156,7221.81962248754,7336.32195159046,7587.42548680594,7763.066928040899,7953.10094275214,8150.7345068625,8300.26903161904,8438.057211069301,8689.264863127399,8833.38286960064,9055.30874488714,9253.61412852754,9459.92951509556,9593.643909121201,9810.6849144715,9926.18745115504,10147.991586481641,10258.40298598846,10355.464990422399,10580.3512558726,10793.4607731372,10933.988207750559,11100.5615073506,11305.7094904792,11441.479370389041,11579.14836900246,11825.4172693086,11909.291654486999,12097.375055873601,12259.79929168464,12398.69600533854,12597.5472865181,12715.876742849401,12948.2922947926,13122.00988093686,13200.01314629594,13409.8271476386,13636.4908722599,13656.50794897216,13910.7397360879,13990.38804942586,14185.63895815186,14364.3918612456,14506.27133732264,14614.74619838356,14754.3150789079,14963.40845348,15128.8729334879,15297.14989185494,15429.11114222724,15589.682555215099,15779.0912114865,15922.2668184489,16100.6022449015,16221.7910075365,16380.851026017,16517.727368526703,16715.36972650186,16861.8840361069,17059.7905317753,17166.624258215998,17379.9092174147,17498.8377194873,17743.5012414997,17941.989926886
1.5,956.8765300288001,1281.91499888,1657.9740541751,1916.5123445699498,2294.1047235300002,2566.2845803027,2845.323328685,3125.7886912756103,3426.11156099554,3644.37416706765,3936.3831293587,4151.547116642,4439.5345190114,4698.49394110256,4834.3423671952105,5106.2779632072,5306.84502471149,5637.2929276174,5838.63992437665,5985.968043724651,6238.8273429791,6463.23759418385,6662.59446627316,6821.34513953245,7059.23652602534,7275.48827776225,7407.808034838999,7603.6145792543,7788.6907072753,8025.47882226335,8182.3337204393,8345.13415692795,8530.52513899655,8759.50785987301,8936.516487162999,9083.838596553102,9280.29091824324,9510.319079029641,9645.35109616101,9848.789740293401,9962.718921925241,10210.6129091808,10331.8377523943,10468.64989407855,10634.516310393701,10824.517307931861,10993.41467178275,11122.64680303455,11351.19709432841,11488.60491995559,11623.32554175094,11870.13534183985,11972.3677253352,12170.51109281439,12283.61296362805,12449.226710906409,12663.43850173415,12779.866243206701,13017.27491035974,13155.27599278424,13265.279138511389,13465.5826631044,13677.78949693114,13723.98379243859,13961.25010474264,14048.71366848276,14222.937840902889,14421.3191888827,14565.469137926,14692.8339890175,14828.44991133864,14989.5338122698,15178.0413503131,15336.3194906638,15487.52353501755,15638.99130830666,15843.300220836001,15958.0848232901,16132.75252669871,16260.467300272001,16395.15793761065,16536.89358658975,16742.84001340779,16881.213068611552,17087.7397763021,17200.4574460625,17404.012438461,17534.400534755052,17766.201738156,17958.589114411
2,979.1063617,1317.7495713800001,1675.9209931028001,1971.58920314,2306.7790295668,2595.1318733870003,2875.3703786018,3155.2742286534,3460.586865443,3699.3547227728,3974.9602067218,4211.106052166199,4467.9526436944,4711.935994808,4898.04178184,5138.17905002568,5324.7796161358,5664.8103167832,5860.5757717848,6035.831093476,6262.8389814204,6495.78537976168,6691.6696044834,6866.688155808801,7101.519309759919,7308.56559592,7428.9971438916,7632.42117038128,7830.7555297796,8040.818489702079,8220.761518641599,8385.334892253,8559.186152831999,8785.83255220548,8967.5997848684,9118.2469028464,9338.3084872218,9535.1769634998,9702.2353396772,9870.96892761512,9991.804225929602,10222.266452502,10387.1240155178,10532.567157869,10711.8806783366,10850.649842357601,11038.803720992719,11182.55032171588,11389.86085270188,11534.7140747446,11677.4566479436,11893.1077725952,12004.35033535728,12220.5364134654,12319.2974283346,12484.365421842998,12672.98733812932,12809.0598028798,13075.820324849521,13175.18952649852,13297.236087923799,13484.683428058279,13694.113783781799,13751.12208541688,13998.12208138648,14083.14537103168,14240.24703742308,14460.68091102192,14605.31164845708,14728.85138152408,14863.088056897801,15020.77369715628,15195.941493225,15357.8942397606,15526.024615697801,15680.4344277554,15866.573501024199,15982.81816420628,16150.1349912188,16293.65018835228,16424.872487114,16566.5077047534,16765.3607307312,16927.2095716234,17112.6029462734,17209.768787716,17413.761878442197,17566.448074842,17784.046377156,17985.174024216
2.5,994.864253525,1348.635676575,1689.99256822475,1988.5248018825,2346.081971902,2625.177629599,2885.1168668648497,3173.0542148281,3474.94443209025,3740.2722865,4006.29153496775,4217.159003169,4505.0625774605,4750.07047817725,4952.145492612651,5167.041732777,5361.6165252895,5684.589564121,5880.59526565075,6078.429346547,6307.1479457468995,6522.134736002,6707.4048131925,6901.91493296575,7120.0201293265,7339.59479728475,7463.857859205251,7703.26527230415,7872.48311828215,8061.6917019519,8258.153846938902,8420.26043983225,8608.158828731252,8801.51836195935,8998.5362423295,9128.7257578845,9368.716264302651,9559.834896465401,9754.892298858851,9913.7863037324,10003.2313981515,10255.08411640925,10408.7099109054,10560.5229395501,10754.3948167709,10869.4487120989,11091.15433030665,11231.6220589931,11421.655528748,11583.09299273585,11742.3095524701,11924.62743254835,12037.97642546075,12256.267872031249,12375.84251344165,12534.92496892325,12701.13938628675,12849.492281087101,13086.6216173035,13200.5755516205,13330.88558331565,13531.897218024,13709.099223907751,13767.79260893075,14018.278247338249,14119.684814578,14275.3248170391,14478.375089391751,14638.942990610749,14752.292300118099,14886.57867838825,15042.84171640465,15225.950126087251,15384.49730363815,15544.943458286749,15713.7140328445,15882.517717781,15999.333675874499,16167.882505460999,16311.2265614725,16467.674267565002,16590.31018032625,16797.40904808925,16948.458730563503,17133.4310446135,17227.194267323248,17422.406423492,17580.1340517085,17788.161071636,17991.151568211
5,1044.3187613605,1411.0078253494999,1740.2458977000001,2059.800958,2407.9355428883,2690.6556446619998,2989.702832051,3284.729847173,3545.8509795583,3819.8449017163,4108.580232186499,4336.7293851555,4565.8603611408,4852.2539253345,5030.896614563,5270.6427696866995,5520.421428788301,5744.8937660045,5992.9475289055,6203.1791262155,6384.5418031325,6610.272687155,6783.4769253835,7016.3431968482,7194.8567818705005,7413.364137699,7573.755303919,7809.2760617925,7956.7385764147,8159.6013249203,8369.410963505,8519.7830055417,8707.310997606,8941.3771614738,9090.6877409545,9251.7412124405,9487.3804749577,9656.0062048962,9854.7293737658,10002.755772884,10142.740337703,10346.1918450498,10509.8886811408,10688.2727600468,10860.2481706563,10977.5295208245,11230.704875251,11330.7773712302,11506.262333884499,11693.5673562375,11817.381651084,12015.4068498795,12129.1689329325,12349.3401553817,12496.464324114,12618.918891401701,12813.906384254,12962.2348149955,13163.165587487,13293.185559543,13437.5171846873,13620.8126930543,13779.9651708178,13895.4015437598,14102.991871330501,14220.8913189442,14362.537433537002,14562.2421861992,14724.2580142555,14833.8194078622,14994.31378158,15136.949158235,15314.2296178305,15477.8566850225,15622.416842656,15786.1897594015,15941.7297396425,16066.122390616001,16243.495013751699,16390.3004800315,16525.399159536,16659.328471051,16847.663540629,17011.5626910617,17178.533303686,17294.139921309503,17472.174430886,17634.0820979767,17826.904016786,18012.490820635998
10,1098.6914837,1465.2644637610001,1805.5231632999999,2133.157984894,2492.526362289,2781.705950806,3087.328486406,3391.598628523,3645.843531029,3930.0327591394,4213.030049474,4458.027825372001,4656.3031183,4941.580815599999,5156.341864418,5381.280337504,5624.447313066999,5864.0373367656,6086.0844796154,6299.657426,6499.35128364,6722.832534818001,6900.0201839034,7111.822142622001,7300.124528863,7527.1094498964,7732.942462917,7922.6040783904,8064.621672569,8253.075697578,8455.608970374,8655.485317097999,8835.986270837,9052.531649791401,9201.116377959599,9366.29702874,9601.117948848,9745.5677955184,9960.3634416996,10123.186950004,10263.333784819,10461.408805519,10610.466862295001,10785.005134857001,10967.48672294,11115.7637155704,11321.0017066756,11451.496554905,11622.8997943196,11817.607069314401,11950.5501249034,12129.942716591,12267.37866173,12449.689054598399,12627.570435741001,12775.9054231716,12919.280376571,13061.420683379401,13260.1305169036,13420.78670455,13565.096908565001,13730.037655484399,13892.98096662,14013.599357625,14207.6410559516,14322.322442982999,14496.5654273484,14658.582560699,14827.2005159464,14930.720973716,15107.734056544401,15244.8355147526,15416.673572798,15568.032834086,15722.576880896,15869.770084844,16012.729115632,16157.5645138786,16333.347540488,16466.738228752,16600.774234198,16748.30475508,16923.265799830002,17075.7566764324,17226.120688524,17378.354414683003,17526.835876195,17683.555672026,17862.858240949,18035.420251436
25,1182.6505495,1585.3112,1932.022580255,2283.4574481874997,2657.732442475,2951.7259455599997,3263.7193401725,3569.852883215,3813.84309303,4091.443554505,4380.034801071501,4634.7474335825,4855.4697581075,5114.1264068325,5344.2076619975,5565.35950761,5819.545514487,6035.5747746425,6265.852457607501,6474.4447167220005,6681.5782674525,6905.897049647499,7098.5375221665,7310.0413178515,7480.5095099495,7730.1888965165,7923.678857519,8108.6650796175,8286.36629014,8457.261776970001,8680.6004271195,8882.78186076,9028.48181905,9229.7559909875,9403.589658455,9589.437469124,9773.002203372,9960.4394777085,10129.737786631,10322.062093355,10485.8280276615,10671.8662411525,10813.155733840998,10989.116251214,11168.142368999,11325.083756087,11521.263445846002,11658.1966731835,11835.575160886,12007.217730868499,12164.048028261,12318.465789336002,12475.929418398999,12654.662448447,12813.077210117499,12959.6153862435,13118.162157269,13266.8042459715,13464.3789841735,13602.3488604915,13734.4187186535,13911.014981918499,14076.3433269495,14197.6525191235,14361.260426781,14517.871079041499,14668.9387276485,14832.927422554,14973.2850798835,15118.892042176,15258.63991582,15406.0218949285,15576.249874013502,15730.070298576,15856.2807288535,16007.5961480935,16154.977465671,16305.189289246,16451.5702642335,16591.889104426,16733.028586193497,16871.654576036,17042.737963466,17184.244735536,17332.6754156785,17475.8049517885,17613.268368961,17761.837214961,17911.472556786,18068.083596286
75,1365.0492405725,1840.1442876725,2238.093222325,2598.716742025,2953.8857500975,3292.6960816825,3607.799222185,3921.347663935,4190.424829085,4483.322071637001,4753.184559117,5049.1287147225,5268.586325159,5523.620656097,5737.697638144,5986.5135871395,6234.162987999,6460.3874111665,6679.1112367775,6899.6645450815,7104.1459090240005,7370.105137419499,7506.950127686499,7729.608023756,7942.1350451795,8164.0853902095005,8365.117799775,8559.6617302425,8753.475662279501,8932.494294875,9114.4432364395,9312.509972382,9492.1749750245,9675.3733407275,9843.29633911,10057.890701427501,10240.4473111895,10396.1168176495,10604.033428116,10781.8821029375,10926.8695425315,11118.777420339498,11262.880097976,11441.6084762795,11619.2770213965,11790.412100575999,11964.53139015,12121.4091335515,12278.2102566725,12449.699729296,12597.745348661,12736.933280921,12912.12316801,13072.3031268095,13251.812559289001,13401.156685997501,13533.3161905595,13686.619073186,13862.195280431,14003.0619973965,14162.942299886001,14316.422429866001,14456.018459819501,14591.2502244065,14777.926067779,14897.861404958501,15054.624892096,15208.478079191,15329.8957879645,15471.2435300545,15611.431214837,15740.2507574285,15892.811184527,16032.1886067235,16179.4076717635,16320.6098814085,16453.5362103215,16580.9979793535,16719.0522508835,16851.629114470998,16981.993672272,17124.1925108715,17267.276503061,17381.682217286,17528.295676260997,17648.3335313835,17766.9321938985,17890.664534286,18013.585542786,18130.192818286
90,1473.2429794,1957.602138756,2358.8864009659997,2722.5844964039998,3085.2750790299997,3430.7008,3765.094486261,4084.1541057229997,4368.408675701,4675.0674667779995,4912.534627899,5223.92040542,5448.2174596196,5696.578729448,5942.5094866656,6141.688556082,6419.856108118,6641.025207766,6854.083280064,7072.024759153601,7317.429414905,7552.684368778,7740.77089406,7910.895778807,8161.1773185636,8351.025434481,8590.795687523,8756.530353166,8920.059676996,9115.9893726996,9325.008518479399,9508.8374452176,9697.365703297,9867.231096043,10048.6175383214,10258.791893148,10437.36274187,10576.1850059486,10793.047792664001,10974.215549169601,11119.192954539,11308.222369895999,11484.552192591,11660.9600639926,11800.486711386,11992.458498653,12150.066983359,12321.0898338186,12439.3043653276,12644.178658740399,12771.105799681,12913.678407379999,13102.4656170976,13287.132291612,13431.1045897344,13586.069042176001,13725.7133309,13868.369526037,14043.019815879,14175.7915045724,14359.8299084856,14490.037966293,14620.903811004,14762.245400730599,14920.568296658601,15045.746848238401,15218.869872065,15347.06473144,15499.51081353,15601.825600827,15755.868977464,15875.675811158,16026.3320948706,16152.0546283,16321.5954022076,16439.007386510602,16570.040383549,16705.92834597,16836.051073166,16953.035304070003,17096.670839253,17217.9500809474,17359.466762015,17465.816313164,17593.707424775,17715.588217206,17835.667485206,17940.595428285,18049.398123684,18144.726704536002
