"","name"
"1","Abies_lasiocarpa"
"2","Abronia_nana"
"3","Abronia_turbinata"
"4","Acanthoscyphus_parishii"
"5","Achlys_californica"
"6","Achlys_triphylla"
"7","Acmispon_americanus"
"8","Acmispon_argyraeus"
"9","Acmispon_brachycarpus"
"10","Acmispon_denticulatus"
"11","Acmispon_grandiflorus"
"12","Acmispon_nevadensis"
"13","Acmispon_parviflorus"
"14","Acmispon_procumbens"
"15","Acmispon_rubriflorus"
"16","Aconogonon_davisiae"
"17","Aconogonon_newberryi"
"18","Aconogonon_phytolaccifolium"
"19","Adenostoma_sparsifolium"
"20","Adiantum_aleuticum"
"21","Agastache_parvifolia"
"22","Ageratina_occidentalis"
"23","Ageratina_shastensis"
"24","Agoseris_aurantiaca"
"25","Agoseris_glauca"
"26","Agoseris_monticola"
"27","Agoseris_parviflora"
"28","Agrimonia_gryposepala"
"29","Agrostis_elliottiana"
"30","Agrostis_hallii"
"31","Agrostis_hendersonii"
"32","Agrostis_humilis"
"33","Agrostis_microphylla"
"34","Agrostis_oregonensis"
"35","Agrostis_variabilis"
"36","Aliciella_monoensis"
"37","Allium_bolanderi"
"38","Allium_diabolense"
"39","Allium_fimbriatum"
"40","Allium_howellii"
"41","Allium_obtusum"
"42","Allium_parryi"
"43","Allium_sanbornii"
"44","Allium_siskiyouense"
"45","Allium_tolmiei"
"46","Allotropa_virgata"
"47","Alnus_incana"
"48","Alnus_viridis"
"49","Amauriopsis_dissecta"
"50","Ambrosia_acanthicarpa"
"51","Amsinckia_lunaris"
"52","Anagallis_minima"
"53","Ancistrocarphus_filagineus"
"54","Androsace_elongata"
"55","Anemone_deltoidea"
"56","Anemone_drummondii"
"57","Anemone_grayi"
"58","Anemone_lyallii"
"59","Anemone_multifida"
"60","Anemone_oregana"
"61","Angelica_californica"
"62","Angelica_callii"
"63","Angelica_lineariloba"
"64","Angelica_tomentosa"
"65","Antennaria_argentea"
"66","Antennaria_corymbosa"
"67","Antennaria_dimorpha"
"68","Antennaria_flagellaris"
"69","Antennaria_geyeri"
"70","Antennaria_howellii"
"71","Antennaria_luzuloides"
"72","Antennaria_marginata"
"73","Antennaria_media"
"74","Antennaria_racemosa"
"75","Antennaria_rosea"
"76","Antennaria_umbrinella"
"77","Anthoxanthum_nitens"
"78","Antirrhinum_cornutum"
"79","Antirrhinum_leptaleum"
"80","Antirrhinum_vexillocalyculatum"
"81","Antirrhinum_virga"
"82","Aphanes_occidentalis"
"83","Arabis_pycnocarpa"
"84","Arceuthobium_americanum"
"85","Arctostaphylos_canescens"
"86","Arctostaphylos_glandulosa"
"87","Arctostaphylos_klamathensis"
"88","Arctostaphylos_malloryi"
"89","Arctostaphylos_manzanita"
"90","Arctostaphylos_mewukka"
"91","Arctostaphylos_nevadensis"
"92","Arctostaphylos_nissenana"
"93","Arctostaphylos_parryana"
"94","Arctostaphylos_patula"
"95","Arctostaphylos_pringlei"
"96","Arctostaphylos_stanfordiana"
"97","Arctostaphylos_viscida"
"98","Arenaria_lanuginosa"
"99","Argemone_munita"
"100","Argyrochosma_jonesii"
"101","Arnica_lanceolata"
"102","Artemisia_cana"
"103","Artemisia_norvegica"
"104","Aruncus_dioicus"
"105","Asarum_hartwegii"
"106","Asarum_marmoratum"
"107","Asclepias_californica"
"108","Asclepias_cordifolia"
"109","Asclepias_eriocarpa"
"110","Asclepias_solanoana"
"111","Asclepias_speciosa"
"112","Aspidotis_densa"
"113","Asplenium_septentrionale"
"114","Asplenium_trichomanes"
"115","Astragalus_accidens"
"116","Astragalus_agrestis"
"117","Astragalus_albens"
"118","Astragalus_andersonii"
"119","Astragalus_anxius"
"120","Astragalus_austiniae"
"121","Astragalus_bernardinus"
"122","Astragalus_bicristatus"
"123","Astragalus_bolanderi"
"124","Astragalus_breweri"
"125","Astragalus_californicus"
"126","Astragalus_canadensis"
"127","Astragalus_clevelandii"
"128","Astragalus_congdonii"
"129","Astragalus_curvicarpus"
"130","Astragalus_douglasii"
"131","Astragalus_filipes"
"132","Astragalus_gibbsii"
"133","Astragalus_gilmanii"
"134","Astragalus_inversus"
"135","Astragalus_iodanthus"
"136","Astragalus_lemmonii"
"137","Astragalus_lentiformis"
"138","Astragalus_lentiginosus"
"139","Astragalus_leucolobus"
"140","Astragalus_monoensis"
"141","Astragalus_obscurus"
"142","Astragalus_pachypus"
"143","Astragalus_pauperculus"
"144","Astragalus_platytropis"
