,mntd10,mntd15,mntd20,mntd25,mntd30,mntd35,mntd40,mntd45,mntd50,mntd55,mntd60,mntd65,mntd70,mntd75,mntd80,mntd85,mntd90,mntd95,mntd100,mntd105,mntd110,mntd115,mntd120,mntd125,mntd130,mntd135,mntd140,mntd145,mntd150,mntd155,mntd160,mntd165,mntd170,mntd175,mntd180,mntd185,mntd190,mntd195,mntd200,mntd205,mntd210,mntd215,mntd220,mntd225,mntd230,mntd235,mntd240,mntd245,mntd250,mntd255,mntd260,mntd265,mntd270,mntd275,mntd280,mntd285,mntd290,mntd295,mntd300,mntd305,mntd310,mntd315,mntd320,mntd325,mntd330,mntd335,mntd340,mntd345,mntd350,mntd355,mntd360,mntd365,mntd370,mntd375,mntd380,mntd385,mntd390,mntd395,mntd400,mntd405,mntd410,mntd415,mntd420,mntd425,mntd430,mntd435,mntd440,mntd445,mntd450,mntd455,mntd460,mntd465,mntd470,mntd475,mntd480,mntd485,mntd490,mntd495,mntd500,mntd505,mntd510,mntd515,mntd520,mntd525,mntd530,mntd535,mntd540,mntd545
0.5,95.646908672,93.39122343599996,89.196520867,92.90944487402,90.32763740950003,86.37959921530819,86.52288503930595,84.46342535941088,80.61918702282901,83.79227570601792,79.715302018297,78.99896337631611,77.89406419218692,76.4577741991547,76.44117613765275,74.85590884965633,71.27724761114443,72.7430815964173,70.1696090514218,70.06669751652234,69.19556486477671,68.67682557847495,67.87031951151037,67.93117330747985,66.8458812590737,66.32469132507921,65.79998170939338,65.0273479404388,64.2336252479617,63.71757142998524,64.36418381482926,63.70645217117462,63.006471089334354,62.69970157262596,62.118436043704534,61.83446026488662,62.08929967645485,61.680557278905084,60.86296872548495,60.122436338041155,59.835693716635795,59.39107621849027,59.41290286421916,59.55345645032803,58.367386026625496,59.2511783795833,58.95339997598704,58.13971844101803,57.67328565421647,57.24222652326938,57.37084692177887,57.077941960342564,57.23213923235335,56.97975613935476,56.938216072218594,55.99329248636341,56.14098496666922,55.48469801756243,55.598957935170425,55.35493451125148,54.961204025500564,55.03238023873976,54.20716976091693,54.80579290674776,54.13664579853949,54.117220101705655,54.09324824662796,53.96096301693216,54.121768371154396,53.15619991045516,53.719187862387066,52.654533881756294,53.15162032355187,52.78307677086521,52.92077338473301,52.526242855787444,52.09355694225436,52.30345963762257,51.98927653846877,52.10280216103619,52.02045283302798,51.716596940955014,51.15553165567353,51.65784451115092,51.31930674071214,51.469602749585164,51.61123539606759,51.17344108660983,50.82206130656516,50.69717324998078,50.62130889031477,50.686305154374,50.57073961400102,50.44810796366963,50.40452788503367,50.39403582979506,50.493251039971,50.50535447954322,50.19953962716882,50.21524100448956,49.99576185045098,50.240140644328925,50.18118859109373,50.10922700991804,49.812934067688296,49.986260845841834,50.31854025138885,50.55683451288071
1,98.10150977872,97.26960962328803,93.4744797277,94.901681739908,95.8433740119067,90.87499921211995,89.4585033805735,86.7260690262789,84.141766168339,83.9735330575491,81.68308483514186,80.47447979572003,80.57288978235944,77.3887262638453,78.00269979158763,76.42176757292071,72.98488192494753,73.80838508273416,72.9004551687793,71.68910892904361,70.69780370531306,70.55132009149887,69.0055721665878,69.53494432305601,68.17372260851452,67.82294146540579,67.42172582678359,65.67263536692792,65.9232621795874,65.29428000113832,64.86640947624319,64.62659928247322,64.05013548562148,64.35693343467459,63.365781360070926,63.17987723329115,62.89762978360501,62.519684481014444,61.72352095793627,60.70139200745384,60.8026171483047,59.89308957921362,60.0482770662252,60.262042496441346,59.51177436495522,59.68973566210148,59.58877388514759,58.92501649859407,58.49213121583602,57.932478506093474,58.03721901750545,57.61907698588665,57.658033635201136,57.6175331266298,57.06396373369118,56.9555490306652,56.93448173336761,56.158403115711465,56.080916002325196,55.744005985682975,55.57155905073643,55.44726137577438,55.18332646537916,55.044775695756215,54.68800695240978,54.51801373699987,54.66785776809707,54.31610482970802,54.45428000606521,53.873368326601984,53.94810049039194,53.209108663631156,53.32039596163092,53.45400384556894,53.084013244633155,52.84074463276645,52.68315987711883,52.66504668256538,52.53514915851386,52.474803435185805,52.26521204172773,52.0862126284337,52.00346959573301,52.06319382903542,51.585137340128746,51.556394138982654,51.81813713789269,51.46903546042394,51.16763380427831,51.12450939443548,50.993766159425135,51.03701243640685,50.823042386183,50.68387714561819,50.60467490620665,50.57675228691867,50.629521022373766,50.58122593213403,50.50063982835298,50.452770869221915,50.269820726152865,50.389369463035024,50.29834298221283,50.2743740556571,50.18724024163847,50.173296260951375,50.364246621555544,50.61730159412848
1.5,100.30421171055599,101.68958258499998,96.4157106605885,96.66654909937401,98.21421582561331,92.4404784782857,90.56334261217125,88.2920490510009,86.770019203988,84.97067503329814,82.6867079949308,82.5235164117846,81.65532906769509,78.1767059817576,78.64128949070924,77.07566108194736,74.10576817245948,74.38198963136222,73.9834706436677,72.5291942347666,71.63345558264072,71.03325954087394,69.81088640118708,70.10593549894472,69.15217313767623,68.17522373323945,67.85451012753273,67.56532993421175,66.450284074436,65.92256862951844,66.19830618849056,64.96456027192629,64.93268270647604,64.57720756485192,63.81298982832213,63.469772095627135,63.38966221477338,62.90306993111562,62.22737720854583,61.079906504803965,61.198277841106595,60.64141346582425,60.31252746379868,60.88895396542753,59.917466854421775,59.94682355022055,59.79129801778911,59.185256385318986,59.13786146383634,58.53641538573991,58.735319753139,57.941488027818245,57.91246841801058,57.81449401606076,57.42582101022284,57.16772806101414,57.13154801087743,56.48532109652831,56.700624570802105,56.19349518243655,55.7624573328015,56.022360232229296,55.454679345347046,55.48730394649762,54.963478905011996,54.71985643926023,55.13590136332273,54.560439045753256,54.58953128669674,54.052474795332664,54.33322648342058,53.56832043238175,53.71849819897757,53.59901311569974,53.27168847804629,53.14896273489614,52.85784814170498,52.87835528442084,52.82107145094509,52.73022040246433,52.80325501786944,52.52092519992935,52.15514915127819,52.23147503752347,51.83034993340515,51.61835617161652,51.994944575007786,51.60270194546885,51.65063875946782,51.348960813025435,51.1628540875797,51.230854949194935,50.89150796018048,50.83619348822072,50.75394045911017,50.694380927570485,50.69735928773585,50.686926479596806,50.72353402223306,50.52058903347847,50.51200359522744,50.46138985902164,50.45104936678845,50.32944019242772,50.23914138182295,50.281141739168255,50.48254931166671,50.64796778338537
2,103.577725568,104.92425180000032,98.878200116,97.746087000272,100.02672978066633,95.49811210171427,91.73475124751324,89.90573605002758,88.0136008496856,86.42444867183994,83.77818470351063,83.86459858374765,82.0679845764654,79.84367221985056,79.26770987002725,77.84054965995865,74.97390572333913,75.2626770242316,74.992821327756,73.14533667959594,72.5945970771222,71.44800603287919,70.15232750168583,70.5791269031168,70.00361782410303,68.77545153532726,68.15208019485584,67.8555717494906,67.14521839081583,66.63730505074093,66.32264604290225,65.18059300589645,65.46371085864261,64.8764455479451,64.20405625334615,64.44716530649721,63.58690321913757,63.452966116571375,62.7704230589658,61.57768698842394,61.479540249435445,61.08079050327053,60.55122362545,61.36855572020424,60.30018807996465,60.42433990707145,60.24115237721682,59.64378527051576,59.28840410169488,58.958638627828556,59.25505817550207,58.336196704766294,58.122094958101506,58.06371691979096,57.75180416384902,57.532013195642,57.359656428115485,56.89979158730697,56.9270701722228,56.541085744552326,56.18454512539597,56.41423154752472,55.62182397364416,55.66843683863535,55.240852677290945,55.027011865192556,55.22720504356463,54.84424040227516,54.92423875259499,54.37284761048253,54.431056844105015,53.78054102416524,54.066537947198434,53.83407592647719,53.64190702691321,53.35354732380251,53.2090651736004,53.15280255895497,53.170761803047,52.91522801668799,52.9129639563065,52.5713826483837,52.353970079877044,52.27312901761381,52.01098119421666,52.00503837599825,52.08170764978469,51.74824626635955,51.72363345854178,51.4440724204017,51.258628139208106,51.43102848423108,51.11046956664479,50.99952026105507,50.88164116594917,50.83007471107959,50.79433863442114,50.77240603111427,50.8067525728162,50.59696040412418,50.56204707776546,50.551175876889666,50.510271954965404,50.41517610241544,50.336109977344854,50.3771055669159,50.55318832262962,50.65416799533947
2.5,107.13295975000001,107.147486903333,100.65638522625,99.699937051265,100.7646083384205,96.33335845928568,93.0821025542875,91.27007530833336,89.26312368049,86.86377378375818,84.82461168639271,84.43823061986926,82.78566670928574,80.27725556228214,79.73321743663438,78.46570043704408,76.26335511151875,75.96923054937999,75.48301794604338,73.90582152573047,73.58476862403057,71.8509483261995,70.51112741262807,71.1663331129996,70.30689158363438,69.56182359105745,68.38335795698192,68.01413249607081,67.50810495300084,67.26262912779646,66.49522832202668,65.91939407763071,65.72040822046534,65.51881329781645,64.69574231705876,64.83294623301246,63.85125360586534,63.58866420257566,63.22263160664344,62.156350426376775,61.78825552681845,61.38575277876469,61.24872752306784,61.51631249652365,60.531258549562644,60.63938428584549,60.493021722518755,59.92060510199049,59.4889802985956,59.34969266484631,59.33239060355771,58.45464883204858,58.49378055495566,58.243969630811,58.278080158147255,57.67181314962843,57.616172816833796,57.04084591370119,57.097963924759625,56.66836840986347,56.262548573795534,56.509459131863686,56.0105222907216,55.830894484202794,55.59055297697738,55.347123515667086,55.43435988056786,55.038864974209886,55.09912330201611,54.45663061838201,54.527220568336,54.147219015101776,54.18269275032392,53.960596077544835,53.751054434621906,53.46263572128596,53.27715157769843,53.36333161159883,53.365744501712754,53.032436403420064,53.06492128660335,52.69227352250062,52.468261477538135,52.3882830033373,52.230158401694425,52.133757434073466,52.15027620634152,51.880583944473436,51.792478636046035,51.612533346772835,51.38063842829591,51.48239614584254,51.247631704965215,51.066314580681535,51.098174886385905,50.929150577079426,50.8587347135772,50.84986550552009,50.87761033463618,50.69366526290954,50.68786893409439,50.575147719708774,50.537526393358654,50.45312708259409,50.402895394630185,50.43893482236575,50.58885113930559,50.67233982720187
5,119.224025835,114.64066597559335,109.6578143825,105.67780206502,104.831542483733,100.88174252848545,98.2605914605125,95.40819425165778,93.12181505971,89.67551679920179,88.75817536739001,87.34912968294151,85.58487709380962,83.03042589550464,82.0880467901962,80.54551883669765,79.36829264214359,78.33589904933318,77.22060836122999,75.90293306976668,75.43624002056364,74.4133504879217,72.48761988334164,72.68011896719821,72.06931209979847,71.35121920497832,70.64608931887969,69.5025276012903,69.41424304855987,68.66556403396179,67.74400325290466,67.80016349686669,66.6435593392085,66.46039085867368,65.78493087567068,65.9500905832128,64.89270728787662,64.69397081548739,64.20473304521676,63.19394165324379,63.43894160398038,62.995603387170135,62.61588080415894,62.392482946095264,61.94607319297087,61.595855464651926,61.335594669116844,60.78605578578549,60.5377710703092,60.30190060058852,60.08771897604804,59.579972915854746,59.28662586944661,59.09427954028394,59.00035971828042,58.509706342594825,58.17213569770249,57.95014042967562,57.66516294472703,57.338435632725655,57.278323604738276,57.187869303450675,56.73185133383267,56.64438519079013,56.31115080115373,56.089918899521955,55.925068289682514,55.6796671810146,55.71921774609703,55.163058849406426,55.04313115871172,54.90785718431089,54.722406270451046,54.438441919388865,54.27162621048171,53.92076544477538,54.001951175278414,53.90441732984685,53.905654657357566,53.52731123819872,53.51363872340694,53.10696110086083,52.86132409932673,52.72079687344228,52.58800393582833,52.69471156603962,52.401225999633,52.227527676477884,52.078845140152545,52.03487117848712,51.82368906593425,51.852104305898635,51.60617832989587,51.49927347172968,51.49596771605091,51.30459051344011,51.17555937900687,51.16461095066522,51.13328467605225,50.968779781693115,50.88065944041916,50.78975211877559,50.795791101975155,50.644368124466325,50.58692605879718,50.60182812046725,50.6894406724074,50.74093818238534
10,132.36776193,124.3061463546003,118.61485682305,112.280493376,111.6110534334217,106.3753746453997,103.2925941650662,100.217498303129,96.70544471332,94.44854284852724,93.29496832390417,90.96061851169229,88.79041908647142,86.41298922765333,84.83713078086875,83.30371865995292,82.67651626081782,80.51675047502422,79.751110101245,78.18484963165716,77.90495404739093,76.35195648019999,75.22053844261879,74.88778283463,74.0381242974615,73.1877141886889,72.48138345629394,71.2958418127434,70.835655953677,70.20032038264483,69.84404102040432,69.39996114048573,68.30693649803558,67.9469625598183,67.15583435101583,66.96031995661106,66.3072428381658,66.03187750382872,65.43335040695675,64.53469086743902,65.09033415492951,64.05365808552325,63.92173957549634,63.5417432061147,63.25875555655808,62.667845799120194,62.53416538436896,61.84707716688733,61.5958597616954,61.316546278498635,61.025317705233654,60.80800685882227,60.089726111872935,59.98478820900524,59.87718689001177,59.37429231061404,59.01312364542133,58.94088716475896,58.53770239684197,58.26034110114783,58.06802139545998,57.967079566836325,57.43724530444998,57.46008206894396,57.09946714561087,56.87116069955495,56.517098757963645,56.36469494769928,56.23937471893684,55.90661536493053,55.615379375593854,55.68258105866932,55.357974723318115,55.18469353976173,54.93847761166682,54.74935753428195,54.75886099577489,54.5535187403902,54.41607559326612,54.10930905795688,54.001137451671546,53.7123184890829,53.45625664861824,53.32085224585976,53.09162378012638,53.18145214757542,52.907664589660946,52.760425250676974,52.56878516090311,52.4931328957305,52.26958906810107,52.28330831426819,52.09967102516043,51.99631386127429,51.92104838950833,51.75298612415473,51.58118435179682,51.53925096884602,51.455591397386,51.27741986130095,51.17700992508654,51.14286143181748,51.05631836603328,50.91674223285121,50.832994124905625,50.796629426200134,50.83348893296295,50.81316352972473
25,150.61611305,141.02435823333298,132.995592342625,124.71898216853,121.53117899524975,115.73542594289275,112.22193060017224,107.71649056122224,103.9624285057975,100.946022378273,98.7430155270583,96.12422393896158,93.99393237339285,91.9465557974383,90.11922124961251,87.97619077634855,87.21046596010558,85.00481839578944,83.75628958374999,82.2582771379881,81.25546392486362,80.07654284943474,79.32822166912705,77.89449190786,77.02137307323078,76.54961358647965,75.76614769485536,74.54563308118188,73.75176596442665,73.33472249794674,72.45887329298125,71.97064232651665,71.03462130419851,70.55918196778572,69.62619471213198,69.52049477531752,68.74961881757238,68.37064025643845,67.5269760521975,66.91130176983171,66.9280939008911,66.2367495067593,66.07111350320908,65.39270672464164,65.14246330337009,64.58141923263932,64.2910867086484,63.60057346760715,63.338991848779,63.01785190352453,62.726018328420196,62.39105795965897,61.91402684926298,61.72490501963638,61.49462088889597,61.0154838454171,60.682821914946075,60.47394794773307,59.919698223145005,59.817638477653276,59.497370734674625,59.42691885244167,58.879755290815254,58.6522855601415,58.42529392630833,58.16216222682795,57.899011945449224,57.5069047868152,57.44785487435145,57.32314142884825,57.00813703327637,56.77463204687195,56.50591792966048,56.303129117486,56.065857111388496,55.84201004633768,55.73754870385895,55.5151970977908,55.26441765132307,55.077027235599076,54.8767922769503,54.57552845299667,54.46129102199195,54.262633011461745,54.04094730501045,54.00613945142215,53.75199277578778,53.6353672582256,53.34967408430252,53.1811729101659,53.045361119950776,52.9722156211094,52.743538019906154,52.647470208373676,52.46265968422945,52.37381408730643,52.197503196750546,52.100631890572245,51.996000629724996,51.8076992336198,51.617910830209276,51.52811938506045,51.41920719423075,51.29349452511642,51.17186939270095,51.10352008084115,51.01432346944443,50.948246591284374
75,201.9584246,180.816537886,166.505738358575,154.2365792781,145.36956452406676,137.2846939637965,132.36444884801574,126.09608573877776,120.31881047083999,116.79823911940875,113.19642956268726,109.52728817717724,106.57927595198424,104.09234449849325,101.07539336907026,99.05947375446468,97.14566523181665,94.56242061201314,92.8511826553075,91.3550289636452,90.02327488030114,88.5441802398348,87.20132985472085,86.066022288764,84.6283957699327,83.77728510224632,82.2064190667768,81.45660378845,80.4029492867258,79.7930770643613,78.7388967711164,77.49230909671208,77.1082188670632,76.28481664264143,75.19501869861806,74.94586182853645,74.13465226677235,73.55406160159488,72.72217844038313,72.22319541368293,71.47419822099644,70.97015157621277,70.5906100792659,70.0070167062922,69.27157501393583,68.94187004423885,68.40817620444527,68.0209034629612,67.18293027008849,67.018419101501,66.42309140811878,66.1344717883561,65.69202039075412,65.41857400974908,64.85238539252768,64.48924994537983,64.15841449302458,63.82920758822755,63.338428547423746,63.057840359606544,62.556016304187075,62.34172680332775,61.9459839913672,61.67313647776652,61.2435885772341,61.0169287575231,60.58190489034485,60.35609799275687,60.0643435249439,59.8998651807257,59.42999197722815,59.242057218012,58.995013404572276,58.601866713183,58.6456782264572,58.01972771586003,57.97109800859483,57.6469946179715,57.396293594608395,57.093927600939224,56.83495703434818,56.6331753512858,56.41283998705833,56.161417530919095,55.989895523913106,55.750577247977,55.456136241180374,55.290494101142144,55.112320832063325,54.838570329518376,54.658920962391825,54.523256701595976,54.14332687029068,54.05223128151785,53.7859600149466,53.596948256032704,53.423454110063,53.21229879157498,53.059694136117,52.7955926419554,52.56769095685785,52.43666971480898,52.20971395096153,52.02720676761908,51.82194586255705,51.6062787911215,51.385888012037,51.124303398165125
90,226.20935078562002,199.6583662526333,180.3488050412,168.53867177610599,156.3948366278914,147.20988942091452,140.93665289097498,134.04621243284402,128.53495109908,123.8274570121501,120.307062992423,115.6543377232675,111.16216477528529,109.31856911672699,105.5965088069944,103.5717791236251,102.1985994727246,98.37718033650211,97.193373686228,95.32027385277146,93.77763994889548,91.8349035914222,91.02662017505747,89.2166306581596,87.78144408010154,86.92335921029226,85.38381099556217,84.48543965854071,83.37118707256296,82.65293175812518,81.41313705677437,80.5152605032594,79.58169049095527,78.67375836228341,77.87173231277778,77.55304107857485,76.72856954509943,75.83513302554898,75.10142433678875,74.37444759275121,73.90664881071122,73.0929385364535,72.93085674264479,71.98751805888307,71.3011597099817,70.68736661677296,70.26766552863417,69.78581093401672,68.89812707961,68.78431858956215,68.20821094365034,67.99502651725072,67.64322586858373,66.76460062948395,66.54004467968353,66.07623676643423,65.76194673839812,65.37118070705935,64.78856706194864,64.45151185969708,64.04464865132339,63.664940127503186,63.11373173844266,62.80192493440093,62.47816763524664,62.26485713000983,61.81976687109819,61.55551215992174,61.215595357640474,60.93431356367045,60.437112592847505,60.45636322292563,59.99644676718214,59.50454434287507,59.66572505599641,59.092537367514055,58.87416038947201,58.64629342699698,58.4237460738765,57.937241470497426,57.68676876879523,57.4615925290517,57.20444159530416,57.05199537296889,56.843853880636644,56.52086639027317,56.14886717807157,56.0946026925679,55.81404257194593,55.56616442068853,55.29963428672109,55.08721252302754,54.79149283413937,54.66010892503855,54.33870202278051,54.10728659571987,53.984341371414665,53.64148900428683,53.4679195632067,53.24774024545002,52.9036091909804,52.801603911387,52.58349239898086,52.30671956990477,52.03999141245287,51.788950243364454,51.527997940555565,51.18426552311927
