,mpd10,mpd15,mpd20,mpd25,mpd30,mpd35,mpd40,mpd45,mpd50,mpd55,mpd60,mpd65,mpd70,mpd75,mpd80,mpd85,mpd90,mpd95,mpd100,mpd105,mpd110,mpd115,mpd120,mpd125,mpd130,mpd135,mpd140,mpd145,mpd150,mpd155,mpd160,mpd165,mpd170,mpd175,mpd180,mpd185,mpd190,mpd195,mpd200,mpd205,mpd210,mpd215,mpd220,mpd225,mpd230,mpd235,mpd240,mpd245,mpd250,mpd255,mpd260,mpd265,mpd270,mpd275,mpd280,mpd285,mpd290,mpd295,mpd300,mpd305,mpd310,mpd315,mpd320,mpd325,mpd330,mpd335,mpd340,mpd345,mpd350,mpd355,mpd360,mpd365,mpd370,mpd375,mpd380,mpd385,mpd390,mpd395,mpd400,mpd405,mpd410,mpd415,mpd420,mpd425,mpd430,mpd435,mpd440,mpd445,mpd450,mpd455,mpd460,mpd465,mpd470,mpd475,mpd480,mpd485,mpd490,mpd495,mpd500,mpd505,mpd510,mpd515,mpd520,mpd525,mpd530,mpd535,mpd540,mpd545
0.5,188.66485121885432,192.95958569047596,207.64867710234,214.605840648393,213.25210381497527,219.1240497500811,218.51941124614675,218.59740720378647,224.2779575592177,221.7818464713554,224.45029301784888,225.76434243363911,225.5089542924058,228.47258706707206,227.80892079778215,227.2518764093101,230.74348162488533,230.683568616364,229.953331378382,232.6112873011155,232.87457699725115,231.8006858698984,231.92124976610697,232.0478672254287,232.90194255213245,234.11689504818068,234.37627494627952,234.257070412116,234.4956157781506,234.98510152693228,235.0361049583341,237.14919394524208,237.00038300583873,236.55456565866987,234.8931712887707,237.07960436902482,237.06749701434606,237.5315540328495,237.09090997649324,238.40106574579312,239.46509325362447,236.4020668357528,237.58908047352338,240.70226702390778,240.36255932009985,239.1340767192538,240.2688788617748,240.93326731226983,240.19134193956063,241.0514071908254,240.6074597060504,241.69887927846895,241.72210062983748,240.32037072482123,242.4598757529122,242.21697275164598,239.87831121682652,241.45369164172826,241.45432434302953,244.06282982644163,242.5193135491297,244.16484076999316,242.6099274606822,241.68201818898606,244.12289032353743,243.09828827629454,244.66573176130782,244.4393741475862,245.52863820895462,244.94180600552303,245.53704646755372,244.97689016911494,246.0382822527874,246.5765815461542,246.64340097114413,246.51588042583708,246.14637480051863,246.2090336577459,247.43777714391416,247.1912116005904,245.4649373955923,246.86487241147083,247.8076467861927,247.40579398705376,248.13179721443746,247.71437697267584,247.63766699860898,247.55459960110676,248.50416447511859,248.48998082189198,248.14869047400055,248.72540270782687,249.2982364481771,249.14639517909976,249.73366778896334,249.59199362485245,249.88253815112017,250.26187896120138,250.55813500576176,250.43345766579952,250.9964148631304,250.86847777183036,251.28931145833243,251.49842766668274,252.47472126774522,252.54628511742104,252.66116510603277,253.91825523901218
1,195.5400478646667,199.5771935230472,211.78523932171996,217.58901198973368,216.44039894802307,220.0767187868226,219.99250549792708,220.52973657342594,225.7287173604385,224.5431848913792,227.29182869438569,228.13941359324554,227.61465576890552,229.54335410884488,230.25036614154635,229.84478241149912,231.5310178703129,231.75801440018304,231.75880341296124,234.17214352872335,233.49361042325893,233.52790191221212,233.7348524005659,233.2003613120465,234.28561794879116,235.75546770695453,236.46254999855216,236.15386139120216,235.3002485151747,235.88367162605402,235.86395256120406,237.60999519529204,238.7304845675016,239.0393162880816,237.52893626594673,238.60148530832504,237.86661460810112,239.77982159833383,238.37781091057707,239.71222352872707,241.30500436740562,238.9854463315363,240.69364931335383,241.8239769693198,240.91064522579387,240.28195575733233,241.18860793805783,242.22980721813443,241.2863091482548,242.61869110413718,242.83019174084015,242.594860640537,242.7931533042132,241.843511606869,243.18029306203348,243.15430081073416,243.19107934900725,242.63419882061564,243.38674763895725,245.07154541112328,243.73147451602688,244.99151865589945,243.96908992972104,244.00410231574037,245.5007642991572,244.66828509335124,245.14660474981855,245.5102752611453,246.08311496050294,245.82233031647368,246.2080737991651,245.80105848163046,246.74556113343752,246.86568199519746,247.2295677170175,247.57832469290096,246.67098259024624,246.9687241130819,247.84056493136654,247.79730469295782,247.39972863473608,247.5005727301296,248.26475161730613,247.8664285688548,248.48096279555034,248.022622430339,248.15396247691922,248.10126837650898,249.1827991767478,249.02342225354064,248.90968077913251,249.71258579175696,250.05906142028292,249.6074925839147,250.41243732748936,250.0299649107429,250.7949059109328,250.6887292415238,251.04490951626045,250.74072357773903,251.6246558835589,251.46649925633244,251.52072983341716,251.92294610962352,252.63663666139482,252.68216147371854,253.77932319791805,253.93117333932963
1.5,199.62094427877767,206.05534330247627,213.89410645219726,218.270502943627,218.72182465959818,223.4254373332937,221.92362705752473,221.12801189676404,226.47471904441016,226.00890516152444,228.65195284387963,228.88177200492655,228.75941322989053,230.01246950733085,231.15504160117163,231.1220316276925,232.93390181903368,232.64254673226253,233.05242653399023,234.68160586168926,234.15517504170361,234.3611813182963,234.52693220402907,235.1083697945433,235.41921819753333,236.71488261386492,237.33235556282244,236.887591544849,235.97441446115485,236.70868404142655,237.09887658594536,239.3652222211563,239.76200023784003,239.8972636972934,238.36504681695493,240.0170905848415,239.3130352314822,240.8717561700085,239.47733368867873,241.60779195013168,241.9111698360121,239.70874365402628,241.84826146448674,242.33189891889745,241.6147131513866,241.45040802811278,242.04763830653545,242.81453630367236,242.77887177561965,243.50158597417692,243.6787083569902,243.28279153328458,243.2399835699858,242.56939059233866,243.536842577677,243.76303605008076,243.56924253330388,243.813973570118,244.76973250946494,245.76389429204045,244.68970001031556,245.70014856664747,244.83129201681484,244.65256604479333,246.45840537732414,245.32742738416664,246.01859042311042,246.46680684216273,246.3789919194666,246.18095758366746,246.87572946345352,246.20145515790128,247.11173394945365,247.0946573712016,247.71526648816612,248.0073063626879,247.10940524158804,247.81863330403414,248.1303232212124,248.25805306079363,247.97915445716626,248.21829863904023,248.59699402000794,249.00822945605418,248.96192063428842,248.96713245121654,248.7165006199625,248.65831457062637,249.39817011203635,249.27620138166552,249.30228853053532,250.14454729669205,250.4545478210118,250.40775616552517,250.53134655463046,250.65244619746105,250.9960360436623,250.96833582523155,251.1862164446121,251.09418353861315,251.73491886936398,251.78387078265413,251.64522219181302,252.37115515756403,252.7449399626388,252.7545475690904,253.92745190101456,253.98139954613757
2,202.39476685200023,209.5762683405712,216.87914396044772,220.50993724409867,220.11696254007362,224.65343503290003,223.14674151406106,225.3909525737237,227.56113044192702,227.8410285837151,229.72950397039858,229.59950408541658,229.80814053554693,230.4298269392438,232.18084601770508,231.85516208553807,233.4176533958814,232.90669417619233,234.16853034883502,235.82144043992528,234.79241528668274,235.49355970892026,235.38296651587171,236.1079522208603,236.1935755854424,237.4666442684705,238.2266936494728,238.2772531861209,237.4842634754346,238.02261524862712,237.78850737333798,240.10195822852918,240.57206475343332,240.3060435051419,239.12512658411893,240.54696455396532,240.3306974103345,241.40841569450197,240.1918292958241,242.13426709500146,242.40367858636304,240.27587454621812,242.0242389561544,242.71606880017697,242.79854021344212,242.11252412576667,242.84620273070365,243.38231185722069,243.56787053511997,244.13859175629057,244.0633778544689,243.9758580667495,244.1609124316161,243.60366903092097,244.262108918564,244.41627658323424,244.3614049060334,244.65407139580142,245.4972791752501,246.0847813639158,245.28638465022556,246.16910310142617,245.21429378130418,245.5335729056679,246.95548045664415,245.63710647338132,246.42642692562788,247.08582953891235,246.88527876941095,247.0845985904467,247.16627879836406,247.04704048855638,247.58914495663024,247.25097398356894,248.08954439148624,248.30692143151177,247.64570199245924,248.08431918089983,248.38121291957137,248.67377168426148,248.20946806689324,248.77906142696818,249.2426393899611,249.42027127152429,249.6885729029163,249.4785326137824,249.2277929777974,249.1780654046777,250.07286949492538,249.71445947866403,249.96345417361516,250.43225461810394,250.57797353289027,250.76270831993597,250.7738557131228,250.97357940913201,251.27776365026256,251.1220740708603,251.45257846321275,251.55533028736266,251.9376579800867,251.92167189968566,252.18257467306873,252.85158331278598,252.83732841363843,252.8955703122912,253.9779937255662,253.99178463417587
2.5,205.00793831055512,212.16321747571465,217.55974353679466,221.418252658993,221.34833224324137,225.87184520521654,224.09483050282412,226.3277421880714,228.0811101251899,228.27046753881368,230.11706046642325,230.36188005338127,230.92989302783232,230.91791909340046,232.701377961231,232.5733030174724,234.4321506196084,233.77045232662778,234.9673420028032,236.3150495147804,236.0860590268339,236.13259392967723,235.9524220179307,236.9496362802307,236.62854478063073,238.39755283399074,238.70575590332066,239.22989845757886,239.30888575420292,238.36953451123654,238.27016568291725,240.64571772715732,240.83880594838064,240.77755790759116,240.926792782055,241.32542957473143,241.37539695426696,241.94272757890687,240.33030542829968,242.75165134407342,242.85603024264972,241.16862459254253,243.23797060444804,243.0844135861301,243.14124145202214,242.86939692057084,243.758597600106,243.91454632575562,243.93516205782487,244.36700952621314,244.60112385818888,244.4573421137012,244.34637300314407,243.87394535296013,244.60680338376292,245.17311868556598,244.65557516823068,245.10344144489116,246.04946912216988,246.4983433782851,245.8578386338012,246.67133353293067,245.99768827441605,246.37937926165483,247.10371658930572,245.8295445492433,247.23671823211967,247.45144494888802,247.26485212508558,247.2415186406281,247.66783236251572,247.33383346893282,247.90347862074114,247.7693801537197,248.47880925139472,248.4392196290766,248.01095137346852,248.65474473930496,248.83694751832863,248.98082374269447,248.62503590678958,249.0007162267715,249.5272635843242,249.62550528935228,249.9199183237205,249.8332107902284,249.7279730277558,250.06533178748415,250.2830574418522,249.96876976505774,250.32389538909717,250.56025767246405,250.8177412303977,250.85988750171424,251.04289723031053,251.18915040361895,251.52670942023738,251.48265318252044,251.84844681804626,251.85408041857684,252.13958042701879,252.06919983266866,252.5934038583894,252.92181307623102,252.89197883128196,253.1445369241688,253.99897934902208,254.01819132838853
5,213.20148460444415,218.1678935334284,220.85823977521315,225.270098964667,226.1794215681791,228.31589980847374,228.18964483756386,228.95097219341397,230.7324812269903,231.8068586492495,232.8997217346473,232.9811584834737,234.45315442148626,234.02426861026612,235.4010584292389,234.91681874285254,236.79289251032705,237.12128208446902,237.38618050123074,239.2518256023571,238.41302871195245,237.55035942991995,238.898278516207,239.4445553497339,238.96763889160346,240.05955488786245,240.70345986714835,241.3464251079298,241.11126166646565,240.93375215136584,240.8628115205231,242.6834014669651,242.9919382546338,243.13231900352693,243.3438427401524,243.3484631882327,243.67521411295735,243.6343422683823,242.54281891373535,244.3483023193971,244.59609902647367,243.8233382675202,244.55888067053232,245.19308944000096,244.6187336702371,245.70394532978077,245.36044935411965,245.47393850514285,245.45371506084655,246.5071580676294,246.1228302830869,246.20877450844262,246.41225498172633,246.17375443581724,246.44792912319974,246.46717805348905,246.25081671921657,247.05999226471826,247.55045256382954,247.50111873835868,247.82211588311375,247.7642108970736,247.3428840787103,247.5446277722533,248.29370309112056,247.2512810153415,248.45073414089129,248.6878254680129,248.4858781203572,248.66544382680556,248.91996902402585,248.82100272013489,249.1740198706301,249.0058887091738,249.58136751108725,249.570167959268,249.64372743696484,249.8481438520968,250.06673388074591,250.34155945801558,249.52192513103975,249.87321225878216,250.6295930477144,250.75724691792942,250.635450509737,250.6697368613697,250.63618758903252,250.93684886064153,251.24638707917637,250.97409237904026,251.20597618445342,251.51698081169977,251.74976110321904,251.62669564667655,251.65253593393578,251.82402452851542,252.3453582266436,252.2035682972568,252.287344813332,252.33093409041112,252.9055641927923,252.92657989306497,253.0530115119179,253.32717059158026,253.1787383886709,253.9972905171957,254.0792958289619,255.25880865941156
10,220.0501224933336,224.4110528986671,227.289505191053,229.5420894340733,230.82310462371478,231.6888935000604,232.3590373485792,233.416796630119,233.7959546239215,235.18831351580042,236.073030613584,236.0053599072056,237.231384119729,237.56237990238878,239.43131016940512,239.1425101725359,239.86944114520142,240.4527424989887,240.4854651213649,242.689914692903,241.83623477785773,241.3908469670207,242.77672752895552,242.0943315036563,241.81898500512142,243.2504607295572,243.66769512445882,244.220265271568,244.1359065521657,244.2652539479524,243.7817127451225,244.6494692529856,245.4301414008398,245.2522219857073,245.73526702449362,245.6619655888017,246.0600843427521,246.173861369881,245.6871286320792,246.7877979744605,246.35819057506149,246.64444872788792,247.0386521941835,247.109516017523,247.13973319635298,247.6777724662955,247.605292576202,247.8221595483869,247.7244952361802,248.06551898215338,248.2426566735723,248.16690610199302,248.4838334249696,248.2038851848246,248.6517860820037,248.511061052805,248.4621688868788,248.98411108068612,248.81310474976522,249.3024475927243,249.10622932814118,249.21149319212878,249.4131827851626,249.1511622149836,249.8920871844698,248.97681371555032,249.9421035551999,250.57443217019048,249.9173091769022,250.1284616580215,250.3847612293122,250.1559547509391,250.5435021404562,250.3928529357873,250.9963964504164,251.1211957936353,251.18738854704318,250.7557803822236,251.1785862772197,251.3793271986286,250.91215657379308,251.1595939868329,251.8183966418704,251.85138703503782,251.6446543338696,251.7656791088827,251.76698915658,251.9948269371107,252.08534336079182,251.9739050456703,252.032003235385,252.5374057563012,252.6451538198907,252.6869495578962,252.6754514185725,252.7175545596171,253.09303303934732,252.8091934466186,253.1677142373847,253.3422450801674,253.40652631529738,253.4586390229312,253.4987057908603,254.158329192514,254.15678130643622,254.21646866955808,254.2169918954151,255.3170428627611
25,232.28718783888925,234.68699920952375,235.4645260474605,236.33028778476674,238.33840939319725,238.76306853841174,239.627931382928,240.3609516915455,241.951428704149,242.52519003375926,244.364700748829,245.27439336512026,245.27593150502474,245.95740193974424,246.16638742310124,246.07396251642552,246.950580147185,247.06682155525374,246.814952554003,248.125306721898,248.2841886425275,246.57687440905926,248.09477535426748,247.61875694633852,247.54875484107077,248.38825734066674,248.99702191319776,249.110513618115,248.4632988058775,248.641426179181,249.19479584850998,249.7339285595495,250.298757351951,249.92392794905425,250.85088651782326,249.86296491546625,250.61842750079126,249.89176255882649,249.869734427999,251.5601473501305,250.50588835328176,251.13384965872223,251.05259708589276,251.00993434688326,251.31843999836875,251.468848460729,251.28790999079376,251.35794623566974,251.21441206039202,251.50331795874774,251.79207498983675,251.47372445405125,251.8511061897915,251.74100763843276,251.74621347030498,251.84016966245048,251.868187432343,251.77732250314924,252.098601525172,252.0284553852725,252.222999354394,252.3351003127235,252.10601228020448,252.2552625366365,252.589364279063,252.32955621107575,252.81272330636625,252.97577465594776,252.52383244495127,252.720777010543,252.94553282999527,252.65794699974575,253.03680704583525,252.66249062900775,253.396899519463,253.15754700118924,253.29829359530325,252.9105602284345,253.44183366661224,253.41803453629925,253.212335743016,253.36747486181275,253.7578081141115,253.81706887214125,253.45753652246776,253.67304112051698,253.68923424054373,253.873161867697,253.780982344272,253.81759920551724,253.85850113860602,254.106204716735,253.979203392372,254.26863500048324,254.275386303392,254.14504289253398,254.27523810214325,254.24291457268725,254.3108552800735,254.29938443075375,254.486555222183,254.65492421979474,254.65151290951223,254.69145142470225,254.70653046898175,254.90598750274575,255.390320884518,255.37643081444548
75,253.17151096461075,283.8801796634285,278.1476804010532,271.352608025267,269.88991401851126,269.11731041748203,266.76721635081424,268.91217783191325,267.573075167634,265.13364436084123,266.507584496085,264.57126843637,264.1504005316743,263.56423470924324,264.56313943376347,263.4198405571185,264.3864027244495,263.5443804360885,263.58201300386,263.89832848007495,262.29135007086177,261.7403461419898,262.354144731486,261.622948774006,261.781974524443,261.69716374301004,262.378646258775,261.7889447085855,260.91280247580426,261.777098617793,260.93343295631627,260.81280885485097,260.87276331250627,261.3713711725952,260.8993976222288,260.01043012343155,260.33558511178876,259.8520647149287,260.63604382752123,260.641612411181,259.759192831601,259.97063666706,260.2946199673422,259.9773383213365,259.49759020786126,259.67278557343195,260.11074943324104,259.88325652685324,259.51255570752625,259.36799809366227,259.24878670873375,259.2276737982985,259.2293901879252,259.1087205330933,258.82392789015125,259.0944193656755,258.92527803742,258.57961641434025,258.8759489695625,258.923333966587,258.95470092861626,258.48027101971223,258.41337805952026,258.51651268347126,258.2366768174985,258.0540467025445,258.4758175955752,258.38619571516125,258.2472568079045,258.3286797207025,258.08034476374377,258.0275610521315,257.9641569511688,258.0913190912075,258.21038568931795,257.88093027678326,257.9103011315252,257.82197411538175,257.8369520001245,257.8869395058895,257.64790972136876,257.60870171328247,257.6369249135065,257.74445277981476,257.33386958137527,257.122954985751,257.47425954523,257.23556903477,257.03883492005775,257.2320608554373,257.11912556005376,257.069170104971,257.03479168264,257.014477646341,256.9378445992718,256.7207243901265,256.7591370116178,256.78278234983725,256.7775042619518,256.713227115094,256.571009531092,256.46836241360927,256.3599931873168,256.2533391906393,256.09510025931473,255.948250305812,255.74919722151125,255.54595703693948
90,323.91037062362216,299.5805229390479,288.5094896861102,290.371464448853,291.1816497371703,285.8003649270346,281.5053436943586,278.20034280359977,276.4626722072544,274.7432246307481,278.0527073804307,275.06459135821507,274.2153024208148,273.135398220791,272.5326072735082,273.54945070421604,272.0690448006539,270.1045380188047,271.4360274994155,270.1287897912143,269.4038535272377,268.32294751523443,269.47509967812186,268.820656758995,267.8472410218073,267.9953508032657,267.363526009809,267.37877986276504,266.9746493356995,267.2633403249741,266.0760941210264,266.37456105146015,265.6389295518627,266.86293115771457,265.7025662979192,265.16924107050824,264.8474365851336,264.8824283418012,265.5371916787407,265.324949205108,264.6442586187755,264.3318147691648,264.3991265208438,264.08496487306087,263.1593812452187,263.5055713640044,262.9409061338081,263.1215731631572,263.1330438665371,262.8015936634906,262.42662301133197,262.641558302246,262.06945251682447,262.11089708127815,262.2000399826123,262.1709975831448,262.0844755758669,261.95947415919284,261.4252324207445,261.9950481776493,261.6189645452433,261.1555662323503,261.0678612716908,261.2188283629759,260.9617653013887,261.0045329388044,260.86811946303436,260.5995844464109,260.7291243006239,260.6929055819191,260.2548627429782,260.1844756337757,260.2977212524661,260.2636275882092,259.9493455627822,259.9113789636831,259.66067166100345,259.7042528937097,259.4518379039905,259.585835986289,259.39480327119094,259.4082471023918,259.1587957953681,259.0779202787204,258.6261145938984,258.651769616843,258.6383776484186,258.6019289139008,258.392628037469,258.4389126038752,258.34914634075255,258.1665044994789,258.2886314854655,258.0638407354626,258.0729584560664,257.7028969841421,257.728560807368,257.5844590072622,257.4275101875561,257.2446086255335,257.0822476939972,256.9324259140082,256.70727384048763,256.50187948920353,256.29404728161586,256.1420671727445,255.8938827512878,255.61230110062368
