,mntd10,mntd15,mntd20,mntd25,mntd30,mntd35,mntd40,mntd45,mntd50,mntd55,mntd60,mntd65,mntd70,mntd75,mntd80,mntd85,mntd90,mntd95,mntd100,mntd105,mntd110,mntd115,mntd120,mntd125,mntd130,mntd135,mntd140,mntd145,mntd150,mntd155,mntd160,mntd165,mntd170,mntd175,mntd180,mntd185,mntd190,mntd195,mntd200,mntd205,mntd210,mntd215,mntd220,mntd225,mntd230,mntd235,mntd240,mntd245,mntd250,mntd255,mntd260,mntd265,mntd270,mntd275,mntd280,mntd285,mntd290,mntd295,mntd300,mntd305,mntd310,mntd315,mntd320,mntd325,mntd330,mntd335,mntd340,mntd345,mntd350,mntd355,mntd360,mntd365,mntd370,mntd375,mntd380,mntd385,mntd390,mntd395,mntd400,mntd405,mntd410,mntd415,mntd420,mntd425,mntd430,mntd435,mntd440,mntd445,mntd450,mntd455,mntd460,mntd465,mntd470,mntd475,mntd480,mntd485,mntd490,mntd495,mntd500,mntd505,mntd510
0.5,81.660715752,90.71069904250997,90.545678074035,94.287318476558,91.68627193600634,90.64738432797003,89.3543610063175,86.22562850617334,87.3459226533523,84.76079594709361,82.46033694783337,79.8888472343153,80.05516304040705,78.79905456024076,77.88441052906894,77.50474290133297,76.35928719236665,77.06501994523052,74.23671861943399,74.2254495738421,73.20471408964029,72.32191541155672,71.84064054903104,71.69533708072852,71.57227539636075,70.71232438374716,68.26841649341424,68.56405076959172,67.7873301020335,68.26901444028537,68.14577082287404,66.13996740973786,65.69707270027777,64.93382744696227,65.20895850883086,64.40100239915382,63.43831987118703,64.10703904680022,63.550439137321824,62.97343992559464,62.78234539922962,62.96675653314305,61.73029170651967,61.327098242411616,61.408189719181614,60.54187210335722,60.62367380225899,60.9012413437285,59.08762587864844,59.641441381445624,59.03616356565189,58.95525523974464,59.23321578839674,58.518141041134186,58.52915863233352,58.4845053090583,58.2658952864838,57.80048339411897,57.50340558480832,57.55136318656775,57.447934932115665,57.253696865862956,56.75296307854632,56.44404441389985,56.32183320565705,55.98046712422015,55.790682411684685,56.25306952476264,55.73164819006472,54.95633265806105,55.6531114174582,54.946811770534225,55.100946867627904,54.37891025946018,54.35622440500074,54.626305799356466,54.42669827094198,53.86126846925956,53.9650923220876,54.1736879095547,54.11625620138829,53.60959392918417,53.46466685465782,53.73122508959479,53.50994869207238,53.28346007062988,53.39986639848147,53.22929729549733,53.07424274432458,52.95438882970556,53.138447768691556,52.84074677544768,53.09814951048938,52.781069317599666,52.84080069671612,52.77502941003812,52.692387896783046,52.857316063565634,52.81653125485256,52.90317592261643,53.4094241573137
1,91.469786723,101.82756176379,92.422075312,96.199986326564,94.92173121733337,91.66957703571433,91.148130657,89.89582081795332,89.6874132182912,86.37302589106424,83.97523905607795,81.64962069781203,82.39225726960146,81.5760719856645,80.00017557132388,79.89040602065377,77.39853695959174,77.7937582525873,75.77508643436495,75.44373489956946,74.99652228085759,73.3403532427122,72.78789679155132,72.27770318603156,72.0109938093365,71.23392499772436,69.9288383513592,69.1314972766899,68.307091564242,69.16540435031646,68.74663277903126,67.20412601023943,66.75673791003857,66.43024831813068,66.15375127747329,65.36039323474346,64.44033635894272,64.46837942858265,63.70352662705605,63.36008682083365,63.996409479318224,63.220726186911634,62.68839421997183,62.43887365847703,62.01278974063945,61.61760832225264,60.90469613171846,61.199036049474294,60.577342779329264,60.36134375197302,59.58600794069835,60.136563047762706,59.7126158344986,58.86595219444474,59.00415651479935,59.19063181246953,58.72695013723283,58.53444942046052,58.00856166429308,57.945010563965674,57.973942822889,57.52484825959935,57.05588715313813,57.14850139926057,56.79023064533745,56.4584604389874,56.31373955706434,56.388871851970734,55.97268198710066,55.470646620075826,55.815559487999714,55.34828050748426,55.52568477671311,55.014493423408865,55.01765454132722,54.89112264131388,54.65793231362104,54.37165647432014,54.336950049923125,54.306870479707506,54.311420777302416,53.91702895392628,53.94045308110429,53.9638996379617,53.893285208980714,53.67551206499158,53.62693748423426,53.521336628454364,53.27062090074728,53.394371262015206,53.33672952242793,53.122572951703575,53.28916087976595,52.92621098448425,52.94787716470875,52.99842335397125,52.77370071505058,52.971503553687384,52.946845414649246,53.10661386199684,53.4780805082941
1.5,101.646727499,105.28365053663302,97.07321053185099,98.0776507397519,97.02053608752419,95.40968341701863,93.85693712342625,91.0893676200639,91.12763362276681,88.21189138875818,85.21978749407955,83.40556907507802,83.12619087390466,82.56924402528061,80.99842583469959,80.9397631692782,78.45413985260885,78.06248233521055,77.6183483680775,76.62825047278284,75.47190752707553,74.05314665533652,73.91911537048917,72.69098198906248,72.78533996736368,72.42585991668984,71.19759107056844,69.84393825142733,69.01066299570276,69.84017038766737,69.298356789675,67.75214033670258,67.1262348470682,66.82495374844176,66.64554476498142,65.90930861694332,65.49175510972383,64.91006137413434,64.18671138839727,63.57469234311945,64.28705526097939,63.321032094246924,62.79450881982766,62.65238994849437,62.67854118782162,62.01693509630797,61.68220106305354,61.93640872293223,61.10182845879868,60.49424258647405,60.38853418520714,60.5220881574817,59.935032982591196,59.51127276113169,59.49018564106425,59.51120330249337,58.90853992781692,58.92968052627136,58.3793411700487,58.23034532142586,58.18101353816443,57.71186725372771,57.42247514719557,57.53864571780885,57.16192365148372,56.729234103823025,56.43433973932403,56.522361621885,56.10977675459454,55.883178144122844,56.09754594191232,55.518319711509996,55.79979355581431,55.34216111011702,55.216476442444815,55.13873381061995,55.03963882468042,54.612353899196066,54.5817399449328,54.63466748556666,54.589336664521944,54.024205885446605,54.19018475197924,54.147874131100025,54.05880145548419,53.89954096868273,53.81952205111721,53.59492250958715,53.426474967995134,53.45377269604085,53.44163323062575,53.21501631542746,53.414337002563464,53.07248854784608,53.10254553046087,53.08819790439002,52.965083141456006,53.11258093309959,53.07456976716,53.217624846435655,53.5359769161667
2,104.792294592,108.84907892799968,101.813067454532,100.428762948018,100.22212869994667,96.77848416043777,95.136323802818,91.90270457392894,91.679928354042,88.71947745308144,86.47087020008672,84.83532131201842,83.89097958258573,84.35821511428799,82.15581177047375,81.45023374033624,79.03205935950662,78.58513527325059,78.2315795737254,76.99075069720433,75.99284973662054,74.66247234496547,74.94364984904834,73.2449236264728,73.16196884646604,72.89322639514371,71.58217093908543,70.9842799573089,69.74765807577481,70.19661923396825,69.65896970324745,68.1515103753185,67.3251495008051,67.16793198839397,66.98017105663264,66.13455379929053,65.78640281564493,65.22028449874321,64.5873724522729,64.13683002931117,64.62778470999157,63.65510496733315,63.22757790455524,63.03384371867149,62.856570020056346,62.31249151083468,61.820767414643676,62.19152393392193,61.38073298516956,60.79838923523555,60.94158678889591,60.8212831902154,60.23539693531158,59.76204556296823,59.938632178279924,59.678944148992834,59.15671698239203,59.214756377468426,58.509267838302264,58.43852566586363,58.39536754634009,57.933693935064525,57.728232008133595,57.76399622521007,57.29198789326821,56.9371578413872,56.5652529764025,56.61681296591151,56.2562541694662,56.10754660731968,56.369130576990464,55.859664458179004,56.10823918348872,55.56359436892027,55.443154959897626,55.23109906514623,55.19783772595671,54.89284831053853,54.821827767783496,54.759708418311305,54.690814110255936,54.3011973186706,54.38871770697374,54.26134734861305,54.20838435669158,54.035353799844046,53.920912303954346,53.71006299628658,53.60688953058333,53.497252931434566,53.516424445045246,53.43411812366205,53.522222507673874,53.23099303288287,53.15781649839512,53.16491046998716,53.09991356968322,53.20298288147479,53.14790996306,53.294376496395266,53.55043798864706
2.5,107.09375069750001,110.802184271667,105.52561432292501,103.742742689897,100.74495607666634,98.40318268527142,96.536343865375,93.48907926944445,94.18160089132,89.42480428754092,87.54778814849664,86.02245995359351,84.6157990049071,84.8209484446167,83.25161298745532,82.96124827651299,79.87604619058669,78.87919017639997,79.0463984211575,77.83498227303718,76.59660032931495,74.95044507605478,75.58286997448285,73.9360828535099,73.46126125392155,73.28289120705651,72.02248424458571,71.24526882070177,70.38333969903616,70.56977012649081,69.90615216522268,68.7081988910696,67.81862586119026,67.5697123966181,67.4703093225042,66.39977501917998,66.51921539571556,65.56855774374716,64.86386659503874,64.51540929890204,64.9175221896867,64.070093716051,63.42622894954039,63.37961125232521,63.083836352161164,62.81491987249975,62.26945418048778,62.29266859297429,61.702851261035704,61.078750816234404,61.00725128391573,61.014677492995354,60.42131891672686,60.136849962700026,60.1352251866638,59.839730080904125,59.405126190476246,59.320549215175014,58.84583582982672,58.77950248634467,58.643688703275714,58.19595749784721,57.99311503796221,57.93512829420776,57.41997802758184,57.0038662208467,56.680242133573614,56.74966496704542,56.49611898772631,56.34524508670401,56.47399610993175,56.13756159608273,56.18971032080434,55.7479476875909,55.68607836269891,55.44798071252656,55.330171694725564,55.01027036699133,54.97323230486126,54.89559101770488,54.75326037597725,54.47942881328394,54.44658544218238,54.400496188914055,54.25966177576416,54.09140487392986,54.00001803950336,53.73868163239759,53.72156679155324,53.606231897244605,53.59869059551781,53.49600772115428,53.58008613132352,53.35179126090606,53.26668972694871,53.26852931335689,53.19863884846721,53.25074415796789,53.2214380419415,53.351221119118826,53.564758825009754
5,116.008115695,116.95199688666665,113.15586382895,110.855230475854,106.05497999467835,102.603984483671,100.3289557425,96.67625431777775,97.299024580457,93.85293804648549,91.52433347325584,88.97109751970002,87.8932137148357,87.51356305387,85.5082720203875,85.07672407943532,82.67503821512663,81.90143847131526,80.8350808112975,80.14822837097621,78.75220236372908,77.03407636850453,77.14871408108772,75.5894449356648,75.21300369263169,74.73845671064274,73.50008786085641,72.77554374284587,71.766559983654,71.32125243527355,71.09051545573715,70.05918749653337,69.197797775131,68.78190918647901,68.68734947368164,68.0019915511655,67.33021420444922,66.9086358573882,65.79392191148351,65.91689403280374,65.85046455993091,65.06941991910152,64.68148953569272,64.42061487308067,63.922834899779986,63.67956471541869,63.0188814307542,63.01483464831189,62.5733508137585,62.030439590304894,61.96336335219087,61.88125839714751,61.251399687884806,60.782259954459136,60.59764630673456,60.52425882247458,60.13470703206946,59.935623453341535,59.77624770015467,59.49801769609143,59.19144124645302,58.97221320768922,58.588038133966755,58.52200891249326,57.99274066393829,57.75983070030033,57.61497468007916,57.314195245989666,57.26143963707803,56.98948123535897,56.98758163628462,56.72066328025512,56.575053795730646,56.44810732299874,56.173586780611195,56.18402858114898,55.77278945594382,55.59385769564916,55.55622071940725,55.42682015934054,55.32119799843625,54.88530275497577,54.84642014004704,54.89721530158513,54.64134080891026,54.477875258013036,54.389145461116286,54.107671436741995,54.11445956513447,53.98028032573994,53.97384344158742,53.761403156090154,53.876536416389754,53.64571182729556,53.56000435849466,53.51955392240788,53.48112879564994,53.42769677115754,53.49774955846,53.50479242964471,53.5987941906471
10,128.46726481685002,126.77449011333361,119.9543412831125,115.996765312,112.7804438804003,108.51813316686871,106.8307393440825,101.28319065804469,101.14734222822,97.60900687046997,95.03102266752003,93.19185350635998,90.95385763029996,90.95487965158,88.6833723342575,87.2320281297106,85.65800074756781,84.31462976370418,83.466187963965,82.50813521918616,80.94033743469319,80.11694190319133,78.94820657764875,77.8598909172104,76.96356352702615,76.62810918471074,75.19028892796929,74.31848767798482,73.8352099457633,73.21746553252004,72.46468868074251,71.66808208113213,71.05037122689355,70.59889463348344,70.1540040156855,69.65713015585058,68.79824571287845,68.41961274565693,67.36891096437125,67.54218622862979,66.77250981066004,66.47513610266441,65.90550757581501,65.57785192240179,64.9570726601309,64.62314914851784,64.4617306703061,64.19156000038629,63.709723959399405,63.332588508490005,62.91231196974639,62.731340884524,62.3087789494689,61.90085958761582,61.542951256265326,61.36212931987231,61.02456399467397,60.77145215908866,60.4973149409213,60.3829503243236,59.956703346556765,59.822263210483186,59.2790395440491,59.24295582079722,58.92677929418154,58.47355159525135,58.55010955750371,58.19539278043669,57.97869278130917,57.84638405385117,57.581020677234065,57.44004615037616,57.23050178193095,57.0436351626251,56.8560298243967,56.74892562443464,56.40008467666817,56.15010824742899,56.13551351215075,55.931612244302805,55.75799733860318,55.416140037302924,55.344186669583124,55.335723047381386,55.036763284694175,55.030251773229764,54.77634446266933,54.72127241032249,54.552827742710356,54.323045893796895,54.33579437395792,54.185142028647924,54.19648536660147,53.95406152044175,53.81995580122513,53.813597270936064,53.7581662764864,53.6658563830909,53.670271939367304,53.63129700693065,53.71770941201957
25,149.76227857499998,143.77310063099998,133.0757956,128.1675646,122.0883689474165,117.688506207143,114.46140035806249,110.86342422131099,107.9955770009,104.33593191699075,101.456339867083,99.64724646626922,97.06665155504288,96.16227630876668,93.56443395837188,92.01090052043239,90.34558797305554,88.9748739287487,87.60222236931,86.55628518182851,85.11613220117498,83.79633093114673,82.61921109176667,81.148690522369,80.39667404092785,79.43361423574724,78.34502816911967,77.23562236619827,76.80780211290664,76.28219529504278,75.26325959965702,74.38815191101895,73.91174605966175,73.18717319096,72.66828948877642,72.00889569961485,71.32134974579274,70.83518451616925,70.04089842544937,69.68068383669208,69.04355379058097,68.54531456298488,67.86551826612049,67.79550454618892,67.12175469626578,66.7506442638585,66.20957762524063,65.92344304036837,65.4054166752675,65.1171437741647,64.57323109292354,64.32710484249435,64.0231363483,63.5421493747236,63.21799034746782,62.9886232960338,62.631914702231896,62.09168908323345,61.86740962389628,61.71162537760823,61.404054693003246,61.11090646773057,60.65571804188165,60.51147882149343,60.4497175803326,59.871464258924625,59.77111962365735,59.41456618134785,59.246234853100724,58.85161849125808,58.658760713814246,58.50616726056408,58.2930989488345,57.9947064449737,57.83172288698587,57.75645387196138,57.42511221923175,57.131669331317426,57.009626780279675,56.793302775432075,56.60947677630122,56.29431109194762,56.37154772535803,56.14228558845677,55.858069213728776,55.77839399730693,55.483357775423,55.35855468322558,55.183747459651954,55.05098284741045,54.950172579792074,54.782071964422556,54.67691203921145,54.478877984400775,54.35843226291665,54.2168213308866,54.1416719561403,54.001406494060625,53.921866811868256,53.85816534005938,53.8147683592745
75,199.79255072499998,181.237574450458,166.6589005,156.11625419295,147.35788512208302,140.04264304899974,134.11073935576877,129.05381233925,124.190665515995,120.46643042727925,116.509407881552,113.12644646240375,110.11402797533225,107.87823884886676,104.9676505303125,102.70902786599525,100.7672827734725,98.80397036806318,96.75203210906125,95.5697954924762,93.49113515986815,92.42154177808911,90.73241152452081,89.332109099396,87.75493820793562,86.79040903029255,85.43423900194553,84.51931815128279,83.44470142161914,82.63383443597179,81.4627566826797,80.72492928382725,79.83215911096028,79.07950026761857,78.11582215390555,77.44727674382297,76.75294785172368,75.99567545489485,75.55466575353375,74.38825240372802,73.96835524298453,73.12213791957907,72.52702808619543,72.11362051408891,71.65494601893698,70.93937498297922,70.34667280219587,70.02343279138063,69.44825398498399,68.92580458665935,68.64901017759564,68.20234209175567,67.577612587825,67.1896274943482,66.7086006928509,66.45232548122277,66.0073525061741,65.57132898646697,65.30544755076747,64.75173512195492,64.453813711298,64.20297139302541,63.696865929470704,63.419292170443875,63.223270490248474,62.4737020297377,62.47090856255665,61.996938100325025,61.83785668812325,61.525098916463,61.201520308533645,60.866013506275024,60.62788332604528,60.2542863983427,60.037577109827275,59.85506773971457,59.44800027200838,59.315523987749025,58.90245916438937,58.64805143613182,58.50484529457375,58.184945108422,58.04480253340153,57.727175628141154,57.3760594850605,57.22781429077962,56.962441987973,56.73146621870505,56.6092027429783,56.32125422150522,56.1411032645114,55.91054757749435,55.71528381177205,55.502987701996545,55.25131021511197,55.05999341328348,54.90757141548983,54.656354767355324,54.44759501546,54.22367569055442,53.9085159494706
90,224.5066640612,198.1661812400003,183.36276372281,169.00323931016,158.0229125249297,150.00127473524,142.376132170575,136.52061507142238,131.92865524287,127.32510245531641,123.069970092767,119.4108145846642,115.37833975561449,113.8847530554933,109.9007033460617,107.3623941478918,105.2857164835781,103.4470524647872,100.227580846968,99.6639079100295,97.18741375214954,96.36805972386347,94.2352626467167,92.820481246228,90.84487104074998,89.74334437943631,88.9202867899789,87.96004839222825,86.38097781269971,85.55898885268648,84.13365108397097,83.79812288917783,82.11413509577352,81.42067878770773,80.64723643665224,79.64178496436057,79.24720062917841,78.4934366121908,77.8019139054195,76.47581289777855,76.18067295704664,75.17729661016834,74.8175256564977,74.31061190924443,73.55834901452364,72.84638832295383,72.2774977135283,71.61514337500616,71.22432614350821,70.5837695607377,70.38643134535923,69.91887474167716,69.1678231922735,68.75409810449855,68.43931576048467,67.96625016780563,67.2713046764495,67.01028611605459,66.8547626488068,66.25337154908381,65.61916099336337,65.53364821209557,65.19428914745095,64.75127624746496,64.41727262933881,63.8029924308658,63.76697589249968,63.11012283255264,62.85519177684429,62.52665270014338,62.224770044811706,61.79296173606518,61.720041723085146,61.2444309966371,60.96242664577925,60.741700660508556,60.338501937313694,60.1363824338448,59.731471470904005,59.54664140087268,59.41275393406162,59.03296041064616,58.743769751333225,58.4884274982452,58.09080541749347,57.90222160708754,57.681379265824184,57.30857109976308,57.14366064413224,56.835219062373795,56.6056673329312,56.43604271227839,56.18064038305822,55.93347781741273,55.6370977712461,55.43216306489559,55.192497803025034,54.88659677693225,54.665951031408,54.34551514085152,53.9283403357451
