,mpd10,mpd15,mpd20,mpd25,mpd30,mpd35,mpd40,mpd45,mpd50,mpd55,mpd60,mpd65,mpd70,mpd75,mpd80,mpd85,mpd90,mpd95,mpd100,mpd105,mpd110,mpd115,mpd120,mpd125,mpd130,mpd135,mpd140,mpd145,mpd150,mpd155,mpd160,mpd165,mpd170,mpd175,mpd180,mpd185,mpd190,mpd195,mpd200,mpd205,mpd210,mpd215,mpd220,mpd225,mpd230,mpd235,mpd240,mpd245,mpd250,mpd255,mpd260,mpd265,mpd270,mpd275,mpd280,mpd285,mpd290,mpd295,mpd300,mpd305,mpd310,mpd315,mpd320,mpd325,mpd330,mpd335,mpd340,mpd345,mpd350,mpd355,mpd360,mpd365,mpd370,mpd375,mpd380,mpd385,mpd390,mpd395,mpd400,mpd405,mpd410,mpd415,mpd420,mpd425,mpd430,mpd435,mpd440,mpd445,mpd450,mpd455,mpd460,mpd465,mpd470,mpd475,mpd480,mpd485,mpd490,mpd495,mpd500,mpd505,mpd510
0.5,181.21235366173931,201.03920712019044,208.9051225732999,208.63417266675333,213.69529823791527,215.68897835318165,218.02297866954385,220.8572926162361,220.5233083489265,224.43223186371006,225.31384999797976,226.4255341910665,225.20414632960896,228.29362824464508,227.5407714979445,228.7292556882979,227.69817680247732,228.34020431915073,229.21999456999407,229.1033432322602,231.72900016572135,231.23995105983926,232.06402680185923,232.55599638130153,232.49339526529383,232.2738037849994,232.68553698442048,233.16653422309065,233.98659676548343,235.0044153193192,233.52195785145102,234.70385953683976,234.55424094925203,235.01469504264946,233.6197651603322,235.22918035099576,235.67158088873344,237.4932801905912,237.41297404031926,233.814070784359,237.3302598115679,236.98285714080302,237.14370729712553,237.55760134844965,237.8294716656826,238.6500915411045,238.38739912004712,237.72881550574874,239.7388951519263,239.47795916157548,238.60064437438479,239.28194656975597,239.00368914406502,238.53184335440085,239.21593692546878,240.03551608737985,239.95137632281538,240.65366273769706,239.68327032878233,240.29678077926368,240.43216377664453,241.41414039333915,241.45054281488376,241.3260921635022,240.1359803996284,241.4749775599755,242.44173007035496,242.28041740801302,242.80764407349943,243.6965230565231,242.25595731963412,241.95714635580677,243.0615782794426,244.13434648264428,243.4478789905369,243.48272587686787,243.68162640544824,243.63102499381208,244.393201743445,244.15864293958717,244.2963051234288,244.5788722081339,245.49509548318326,245.13644335848795,244.76921088267412,245.07320172126117,245.5982433501854,245.42389305757777,246.04635526878585,246.29307097350576,245.92911493003166,246.66931899557204,247.1006584656967,247.12869109320357,246.91049851985562,247.60715860128366,248.0337978856311,248.08572299983254,248.2768493016595,249.57802276255262,249.808729538193
1,191.0597500057781,205.15131670139095,211.4786278398418,212.83158871446702,217.20474432524622,221.00251648912302,222.66641865175993,223.05304355463562,222.5776681682806,226.507858560411,226.33543810615097,228.2015740269693,227.0416341437037,230.29489306162202,229.16154668944523,230.28975215522559,230.28628902248195,229.78931647964941,231.5011523914642,229.96197418676596,232.5350257356637,232.7287695423099,232.72427865341308,233.18636676897017,233.51666679998038,234.8355376499361,234.05820079917765,234.51627550982232,234.8771100762678,235.80072615712794,235.34007809942287,235.39972620684384,236.13200050117376,236.2577454526443,235.74902877851872,236.1069493523666,237.00914840859855,238.93890429765332,237.61802612050715,237.5824975619318,238.8391943878729,237.95184113044567,238.78742565492078,238.2559530100065,238.47534271831978,239.61580371945112,239.92599618938502,238.65017178399617,239.98477804478998,240.25183972459325,239.64046548226267,240.53676543922165,239.5825842162377,240.455638486872,240.30397024284665,240.73994218908055,240.7077268889801,242.01317569139866,240.9788314882275,241.30407596991617,241.39546048438973,242.44763471849683,242.13150757260638,241.94669159102742,241.9811473509174,242.1542846730703,242.9939721897409,243.10562176667403,243.7198975919639,244.12370437917298,243.30038836397898,243.03664498177673,243.6767365874789,244.55484006317778,244.38702509563896,244.00481442576947,244.48864986761734,244.28761703969903,244.78253334149235,244.74274205566573,244.7809668241,245.02428324822486,245.78429752901224,245.55623481526442,245.51052763246986,245.84200291607087,246.25528213803676,245.9657267023886,246.6944516664096,246.88105402603625,246.7344291492385,246.94481338308807,247.34602497480236,247.47670690705627,247.14914132498404,248.29730390932144,248.3529462756964,248.26606562592798,248.48279811888182,249.62766684091756,249.808729542114
1.5,194.82610279133334,211.9946361337177,213.55981776351973,218.27972865197202,218.93417674928745,222.81971936932786,223.62157432478696,224.72303134051708,224.22942346536553,227.2241305018792,227.43805798579038,228.6690660982823,228.44994884817896,230.73777919278598,229.70195425854715,231.04113113684863,230.9549677844029,231.2147877019579,231.92289685282904,231.38235077408117,233.4697263828911,233.45369384727357,233.7221107585792,234.19481218919012,234.1628332224046,235.10587885475263,235.12219081575725,235.35318854056305,235.4988337053019,236.42599227510718,236.058694750919,236.26588485966522,236.87861611424609,237.16420860408047,236.54358459820892,237.32456622473484,237.75957150816404,239.42633707853605,238.45878596983175,238.5408329255833,239.78702071895887,239.2145181105381,239.20951833669676,239.77010033245298,239.36874575528873,240.25674752543713,240.97625362034066,239.8488557841486,240.425255753761,240.99002208237766,240.63328113618303,240.80915783937039,240.62447433857852,241.13703906799913,240.94381666427373,241.26770876417245,241.19452153810425,242.3404776906535,242.0637234080905,242.3254999844838,242.30585170534602,243.06525550718752,242.72621956919846,242.37146178098766,242.44785612236103,243.2034344658146,243.501237167063,243.380934553962,244.00749326384886,244.4601952212482,244.3116887984846,243.96849203544548,244.09284512984047,244.7677141325505,244.95341778063198,244.85861098824273,244.84979138211534,244.5185625004623,245.28522878939106,245.18282749002063,245.1840805131085,246.16790785533422,246.19429189852139,245.8877558005106,246.01612993119974,246.26269102304494,246.6280812421673,246.4645008919221,247.3304683695611,247.27408322601448,247.0284120525806,247.32154011359643,247.79050883293297,248.09035629410224,247.67696556581703,248.40196413228122,248.4126809642737,248.44973214978666,249.36495178055958,249.684543861466,249.810142772008
2,197.74534025733323,213.64432567771394,214.3707191928991,219.75796899520032,220.74241859075852,224.36560379738134,224.67022134535654,225.92674025393237,224.76619518288206,227.87237861194293,228.9046424403265,229.61939198424892,228.8275365877396,231.52728695547196,230.3294458151568,231.2618547952796,231.87223832655735,231.97343947179354,232.55739355781262,232.41806806494202,234.07695747404634,234.10023527097704,234.28011393738592,234.4432041014881,234.79005616026518,235.4113049652825,235.62552256988826,236.00369720600426,235.83748168137254,237.2775488811709,236.97459143161288,237.03302236836484,237.41940236722206,237.7797328531624,237.39448412048137,238.36701086765865,238.40209693736824,239.90216502380827,238.85537109675758,239.12321314512732,240.18919021244818,239.76645240018007,239.80058279105077,240.331069634912,239.80704623526128,240.78445753775108,241.36891255435577,240.46311407336037,240.88210928213837,241.58933612983287,241.2935119426272,242.0819880541226,241.04838803201824,242.02633406384874,241.5813131018602,241.88229333405414,241.81239295564774,243.03189515942816,242.4273270386865,242.79212592279222,243.08948899115032,243.47301205534012,243.17283645799532,243.24907375507132,242.81828575415486,243.71548139134012,243.80967930262824,243.87045856378896,244.8444774411486,244.61568188802556,244.4505852005317,244.43503099897035,244.57873800365064,244.95254165928924,245.29013902087618,245.3512073903236,245.3257016008133,245.1213240634442,245.74409185870726,245.50651144729048,245.5266666362796,246.30742746766782,246.55654072362748,246.07007832360978,246.3862961107091,246.49047020134302,246.90473522362166,247.02388548223993,247.43420293440474,247.43573233981826,247.30576515896155,247.4971075071775,248.0703625260318,248.29800600435456,248.24145598204453,248.47867822635604,248.53344984610715,248.6839259614117,249.50520463188047,249.7303229235227,251.243749401593
2.5,200.30278288111143,214.2136675271093,215.54531000249986,220.4136067315,222.02609616977114,224.88087073927932,225.69860263824884,226.45124305037402,225.61440861801978,228.38411618940518,229.9833322113693,229.99527363829716,230.38100961238493,232.0049135097361,232.09371600500444,232.0665812393479,232.65412367713634,232.5674173388282,232.9813459994829,233.44765809316223,234.61336917731168,234.92556857236394,234.616624578557,235.28206073505126,235.42814959429816,235.71818467144251,236.09737347876214,236.6113704165646,236.53695087298723,237.99234196594884,237.38584858676137,237.6225924561743,238.69487810860636,238.27918951590556,238.21761745843088,238.83056775621716,238.8585541387865,240.28394829391036,239.25699075929074,239.46922803766094,240.5202987768645,240.04458091386508,240.47041468513615,240.79173944067233,240.0538596247981,240.96201166205168,241.7527462883779,240.91482836840117,241.17851960604372,242.144490929535,241.46593837500086,242.726362775557,241.5325371514147,242.30995275567264,242.0051531226712,242.06418470436188,242.36357729960727,243.31193024347033,242.7282129616689,242.9222366544711,243.3061698453979,243.64774544450353,243.50695719753955,243.63763728040965,243.12683591485154,244.1018304927846,244.11408542083697,244.18304736821673,245.10640874618184,244.85890736491976,244.82513520331878,244.80921091311438,244.70464090657865,245.25508250627962,245.47254239289683,245.5973002719933,245.51404871326005,245.75587879811576,245.8247570546997,245.6126337243974,245.784689108153,246.5134975575454,246.6968967573458,246.40355192541517,246.62059292839902,246.7937120450874,247.19103230819434,247.38837292614133,247.60475869756124,247.5349603530876,247.64808278145992,247.62514511317073,248.25000861683583,248.35309402788235,248.34742708662074,248.57179766369742,248.71028818830814,248.79370099808506,249.61265467819993,249.75455571876304,251.252264595229
5,214.0737545288887,218.8999504867771,221.48284636408457,225.2532648083997,226.35117852197564,228.19458045647065,228.74404682556298,230.4329995596054,228.8769433951617,230.7389392593989,232.30668853108781,231.71348459782575,232.56613387888973,234.45612731001935,234.8533476049216,234.01932314121444,234.21485198479868,234.75074621638493,235.26901746182386,235.85412087549082,236.7211669031476,237.31013000864866,236.96822439241978,237.73903285547564,237.55668992476396,237.565256003424,238.31965253960576,238.6151450795264,238.6582670035257,240.09038772975185,239.68445272514165,240.10455551640482,240.167793638073,240.49187781436765,240.10296875976394,240.51148967182775,240.34342112683748,241.5248119538483,241.84846419645157,241.48606891607264,242.07426713321246,242.16684118145375,241.93857206317776,242.36901062489426,241.93219941313149,242.8530376549525,242.8725576741605,242.476579216761,242.5883813287879,243.4472121645124,243.11357048369786,243.94472083520714,243.21836552395857,243.44866473557266,243.75595496560015,243.91887166840152,244.0848835745209,244.45496195255905,244.13895683606364,244.5558280621844,244.6005425388172,244.55165949477964,244.95864528218837,245.16201332699472,245.1562562940899,245.12446623800648,245.60258045491966,245.71341914712883,245.76890048547364,245.6665877302897,245.800912047509,245.73829215905374,246.0721441526082,246.244951920387,246.0423231104065,246.4050975151847,246.34767731000787,246.8061742947188,246.8325609058134,246.75624341010135,246.803825136036,247.44485834664695,247.48927725507562,247.43976091862106,247.8253644374643,247.76323322988776,248.161721242141,247.91443040997825,248.06611270410534,248.42667716352085,248.29918493260175,248.33792607173214,248.71069444222965,248.79480387766617,248.80919732941516,249.10490989229544,249.6502836172326,249.76000493326515,249.83986283382936,249.84845101017675,251.260921717352
10,222.6966759941329,223.8913988561856,227.3108615600002,229.2560951371197,230.38575943149428,231.60460432873958,232.2170008489016,233.1024980756728,232.0850552943,233.9684708852636,234.9090074906639,234.58485756778632,235.7368365800308,237.0964593364181,237.4109433713627,236.83965978225729,236.66676781426312,237.5931191812048,238.1757629185314,239.1431194251691,238.7732697993496,240.1918647170277,240.27442143963341,240.83761895193481,240.2625908845517,239.8189248556831,241.4544188758077,241.3544112247381,241.3795221570392,242.5017220363654,241.6313027778872,242.2016573111195,242.6128802677959,242.6341320298563,242.97052196970932,242.7698246124796,242.8852224714275,243.2493664605955,243.4180458532142,243.4403576368469,243.7769459513276,244.0020663969953,243.8220318908442,244.3178597906938,244.2209418233386,244.5353316948802,244.3837527312328,244.2691088597561,244.8116603019375,245.0869344137443,245.0892321294163,245.2023988079377,245.0319348568583,245.141250760881,245.50521762022942,245.6030381682733,245.68573984077432,245.79252377214578,245.6756397344487,246.1125259739821,246.1086239881306,246.10516851657482,246.03750328060198,246.5365358298175,246.69789878900158,246.6410047552829,246.6936912563884,246.9053636454336,246.8999886076724,246.7897630342231,247.101723995098,246.8914812579028,247.5045373363807,247.3100350893225,247.238222639976,247.3942181518331,247.4370186113595,247.7723575024917,247.7535220656855,248.0271773804175,248.2890409930135,248.3336496373827,248.32879238875788,248.3912477680162,248.757827106546,248.6785473033646,248.92785933248592,248.8106427937228,248.9423847563069,249.2230026411012,249.2210953426123,249.14374051422539,249.2498857849266,249.42688527333692,249.8273114639307,249.8803601288159,250.1076338688581,250.0426781334801,250.0782356960164,250.1852085422707,251.2769492942478
25,233.92546776111126,234.28864778571452,235.1816080652905,235.94271256430974,235.9995452755725,238.00893415996626,238.474800885631,238.55113934673525,238.74776799496325,239.58550044069426,241.123958447069,240.76906452468475,241.23795996346675,242.7024899922195,242.51922668911575,242.785090930118,243.30768732797176,243.21249842128475,244.1163804498215,243.89080158463827,243.721507515033,245.136398936076,244.93184531100374,245.5042308879905,245.16305108423427,245.331211769542,245.54114109471675,246.327700577036,246.03142024223973,246.4717911505375,245.93205610695924,246.21006444036274,246.46573084184476,246.61171768469725,246.90988588926425,246.851148272891,246.67726026085575,246.6503229659665,246.63128523049474,247.20997367269874,247.19359123229574,247.576698596214,247.37911383082675,247.3871090521405,247.91379977790476,247.84551022231176,247.592188012792,247.56390472516574,247.947673275282,248.4041503963125,248.0573548165505,248.02515344539302,248.1250910805635,248.274544939342,247.964303352286,248.29008678420473,248.2284523591855,248.49286204676298,248.5220274487965,248.75086451906026,248.65643517134873,248.64266130834875,248.4616617159125,248.828316896757,249.301974576872,249.03903722137875,249.09725808588252,249.13892531047802,249.087357220538,248.88232607311073,249.08546541007001,249.15954602815177,249.54393782006775,249.305165001797,249.29692155895475,249.18300845667073,249.42347809256924,249.6601884118455,249.62102080782125,249.70986304680076,249.686533174972,249.901727396795,249.92725207590925,249.96667617422924,250.08031414721677,249.99786629003125,250.178347698146,249.97935574841026,250.09537396926726,250.4216111115805,250.52269248535825,250.4742222810005,250.52804923442298,250.57957060402774,250.57620721374025,250.47873502234927,250.84629746664123,251.1896991362515,251.28593232440525,251.31371844250776,251.322166365498
75,252.56162533868326,252.279432719048,271.322418848684,268.6793139567335,263.919390642201,263.6944596038825,262.2520790729985,261.0733921492225,259.3097561939187,259.8327426174777,259.8764366034243,261.12766975588454,260.24238659929676,259.956565732144,258.6351482129173,257.5333593307985,258.44209508761946,257.7366125145013,258.16629511523024,257.097567773791,257.26365527281575,257.3453986716235,257.615678203693,257.30015348396574,256.3702891466572,257.21030536972177,256.318277962264,256.6313141068217,256.76202578492905,256.3806046881785,256.32478110690977,256.719515854287,255.88153940594424,256.2602250680525,256.45925688807625,256.110553663543,256.2387023660348,255.07706906148252,255.253045142399,255.510820732424,255.77139919347348,255.84912714820126,255.4409780791845,255.283167947149,255.3324734937575,255.166754845121,255.18658880646,254.806383149206,254.79543519897524,254.87620820113875,255.12939807163326,254.641711596155,254.54003513919125,254.43646346826975,254.33855116710225,254.43270468747977,254.42647262974324,254.5039879422925,254.53059415455476,254.24148213519175,253.97268278066548,254.18539776208127,253.9663455395185,253.90815406827875,254.0230378047325,253.57484984444275,253.790437680391,253.756286192466,253.5683427229655,253.5487959371635,253.70068997462525,253.59917856070248,253.54554438771626,253.58574001782824,253.6225901557225,253.267560991739,253.473709067946,253.2207178554245,253.3122222607725,253.255270568684,253.26239430511998,253.04393211443875,253.09961295225176,252.87080493792126,252.915133333318,252.824055772387,252.93431800047276,252.78229752564476,252.7537289831675,252.7240648757825,252.72674225322424,252.66710652186026,252.46771671102024,252.43296029336898,252.32533276280776,252.18129364317576,252.10152347940348,251.9474439960575,251.78888947081623,251.621845258057,251.41816149558
90,321.4468289800003,296.9541741140373,285.7504061494777,278.125077767167,273.4962682209008,278.542004017523,277.58065935281553,274.5653884739368,272.5539336173207,271.2113475426688,270.7451023220287,269.2879350812559,267.33407233061223,266.9196010027244,266.3756651551342,266.1950542142646,265.6558060765653,264.50253618852093,264.68690078619045,264.2018387372492,264.0126893597032,263.6080461640103,263.86069954724604,262.9390442195744,263.0788424908733,262.3306261747313,261.9057974822181,261.8461797207887,261.9914099892995,261.3820664435087,261.1604393626948,261.3503473761658,260.1322364312971,260.9225325217195,259.9784648376704,260.1412298127157,259.9503795800362,258.7110130331239,259.181702594755,259.6480715978345,259.2770985000668,259.1816973121641,259.0957539240167,258.5943775530605,258.6742176012202,258.3480293905,258.02935762125884,257.95446846710723,257.5374033015898,257.8043232440787,257.8846050060311,257.4587183415519,257.2780783034622,257.3550308998609,257.1832482449816,257.2680578749983,256.9038021571038,256.9719659495436,256.78841225339727,256.8092906785444,256.3337904616405,256.16511012653723,256.1067195975967,255.887442044592,256.1989331406675,255.7422065327927,255.7123119847303,255.6292168631233,255.4638440897652,255.5193188164397,255.4564101332102,255.47981621593252,255.1443473419783,255.263980574234,255.1130139862564,254.87965283882642,254.849450902592,254.5678560498398,254.7473592040104,254.5731757304726,254.6971953961222,254.2571049978163,254.2316949029595,254.21254058407388,254.0790837797059,253.9714428105871,253.80813720291698,253.6848332898307,253.5921071868315,253.4319493672148,253.2921851375182,253.191335470213,252.992725373668,252.8219169768824,252.69926902329482,252.4802197258469,252.3960110999532,252.1829562599262,251.96443232762448,251.7655612356663,251.51708656294
