,pd10,pd15,pd20,pd25,pd30,pd35,pd40,pd45,pd50,pd55,pd60,pd65,pd70,pd75,pd80,pd85,pd90,pd95,pd100,pd105,pd110,pd115,pd120,pd125,pd130,pd135,pd140,pd145,pd150,pd155,pd160,pd165,pd170,pd175,pd180,pd185,pd190,pd195,pd200,pd205,pd210,pd215,pd220,pd225,pd230,pd235,pd240,pd245,pd250,pd255,pd260,pd265,pd270,pd275,pd280,pd285,pd290,pd295,pd300,pd305,pd310,pd315,pd320,pd325,pd330,pd335,pd340,pd345,pd350,pd355,pd360,pd365,pd370,pd375,pd380,pd385,pd390,pd395,pd400,pd405,pd410,pd415,pd420,pd425,pd430,pd435,pd440,pd445,pd450,pd455,pd460,pd465,pd470,pd475,pd480,pd485,pd490,pd495,pd500,pd505,pd510
0.5,874.3419034350001,1183.5287859095001,1534.3545258432998,1869.59128551855,2190.4579443604,2498.633978065,2727.7790471493,3038.91482930537,3209.059980065,3502.54474821963,3744.23952378225,4025.22282821865,4226.2413608906,4579.49987245062,4704.5586000142,4957.5381888947695,5289.1346980650005,5470.88817421753,5668.62719743665,5924.827405696499,6128.18829952368,6364.0652777860005,6561.58590644867,6774.8857573430805,7017.6792303896,7188.11165422332,7267.751898989851,7506.7362490327,7708.93946614628,7950.7033651591,8157.198857433081,8275.99383202033,8622.7462050781,8734.62066031788,8912.69180279242,9213.444639064379,9344.52734139903,9501.73820057238,9580.81835398277,9840.362936875901,10096.8440981562,10184.69795756457,10454.96768653503,10470.0949203873,10744.093198407549,10816.41043221795,11114.94355600522,11241.837437850128,11369.32768917668,11676.14503497743,11779.736340311449,11935.3380476611,12023.51069763855,12321.12548528807,12458.302999927599,12608.24822948797,12874.52075243075,12877.35929631085,13100.426998193881,13257.6226740809,13459.181017545781,13661.075336535101,13821.5809721793,13977.07990298723,14121.388536605518,14252.01869942167,14428.0858896613,14611.62846398255,14623.34828334978,14875.45173277735,15019.36013054677,15159.23749941305,15339.5964409649,15480.07762663325,15658.9874690848,15840.59900406625,15981.4166730409,16164.36615610105,16280.18299075565,16452.865721973052,16615.72713317183,16716.9928239334,16849.50981744105,16991.833967505652,17241.62326910405,17365.70819638288,17476.84042091518,17656.019194334578,17848.144840149147,17989.679553995098,18169.54908990555,18339.1282929679,18479.826456016497,18624.4832649613,18843.9689941134,18937.3819261012,19123.633485800998,19287.078796581,19495.1277777164,19729.5915412578,19956.380515896
1,902.3141453300001,1237.4168324999998,1567.9433690100002,1934.09270326,2213.48919732786,2528.4303876234003,2771.9867268458997,3102.3513716513403,3277.0048011704,3571.4706270411602,3803.9861155287003,4062.9897564478,4353.4722624962,4610.7103646777,4793.9198564541,5060.1222702359,5361.9102954581,5553.6859074984,5749.8349074851,6025.53109729256,6245.2864832878,6407.8045865783,6654.41880693584,6860.94137102026,7091.92192735474,7274.36052064474,7430.16103895176,7638.1446973425,7809.7415817148,8061.9486455268,8239.1753050662,8367.363245829,8670.1773056226,8868.832645459499,8982.32164553914,9299.41229373466,9425.4194046537,9580.299337422499,9675.133967129539,9970.999681663041,10128.3372907876,10223.6970881889,10494.54858659834,10566.37991499286,10824.808176042301,10912.25757627884,11222.85399523,11287.45395825296,11501.880422607539,11706.947203345799,11854.328761569099,11989.440927572761,12196.04010821064,12369.257844982401,12520.45216739546,12686.60269876946,12904.2410029734,12949.8824061633,13173.5618981757,13320.848426242499,13544.0050739682,13696.2692199999,13868.09519019016,14032.5265575652,14163.838069260199,14312.8205809072,14485.078454050261,14658.5210582486,14678.1685090604,14951.21618092666,15093.9929111205,15271.6966456201,15419.129912717099,15526.7002941539,15724.918597685499,15882.8120226875,16040.9336514794,16227.0234134275,16352.67655916084,16512.052036949,16681.78965074626,16762.0719962147,16943.9341335204,17111.5753158406,17283.8662076532,17450.885369452302,17582.742814879697,17719.4584593405,17866.4068899088,18047.4374543856,18202.985011766003,18365.42599805146,18547.9497348993,18647.804151331842,18866.270146179697,19000.31330492436,19164.9019241073,19346.1305666173,19551.088606016,19755.3306690512,19975.957254896
1.5,938.919737095,1269.11741619895,1595.735734585,1968.8038560059,2258.0214209705,2546.5188855309,2815.50793778685,3130.906132985,3341.1459440828903,3614.85479499455,3847.90012073855,4124.047975103,4425.4529482396,4668.67718041696,4823.16680109375,5105.5909363869005,5395.01211895906,5572.4254889024505,5829.970767385,6073.02696024215,6275.4248398979,6469.84814781995,6697.0602621719,6946.69580891541,7125.36402611725,7295.12580068915,7462.87320079601,7706.73223331519,7862.84162289925,8145.04581920174,8335.19156830994,8449.63998858969,8707.42300063719,8914.279214562739,9036.98018526304,9344.534181346951,9486.6820896723,9613.371246814699,9773.310612263651,10035.18275328555,10184.059814315651,10249.686604837101,10537.18944187129,10659.02146075571,10887.18950466935,11018.805503598,11251.961155067791,11342.79834447839,11546.10925559559,11739.063508436939,11928.10090888966,12036.04602502845,12265.25345830536,12427.483753382408,12540.85714879709,12743.84288107515,12939.9357979288,13030.16023899651,13203.70461032656,13369.000603543851,13572.493747473,13732.17799081386,13888.1120353532,14081.320250506591,14230.499318006448,14348.9069196039,14560.0057400613,14702.57962525014,14753.980230558509,15004.781961881201,15153.54896317371,15353.9215030289,15487.166646612599,15623.501556912299,15752.71208976026,15908.00002151524,16099.48980522296,16241.95757852336,16383.22617674516,16577.392152900848,16718.5889022868,16828.97383317955,17020.77162621554,17166.357590405747,17301.750966154897,17475.87021837434,17620.33313877376,17769.611661746352,17912.49268953905,18070.095625070448,18216.13634718649,18379.7649486704,18587.31533233255,18708.98294649045,18888.96840816315,19007.8318349482,19193.4734197525,19371.146315803802,19561.002261211,19761.7614193655,19980.874924796
2,969.8941568457999,1280.65715218,1629.096775372,1989.31496542548,2299.1619120468,2580.0737815,2827.9952501394,3148.5944439282002,3392.8174260332,3663.43843186,3895.5666051874,4162.599881917,4458.492996778799,4695.862788422,4849.25676561608,5147.51798433608,5417.149687225199,5588.1550224322,5866.294990486321,6100.75637391312,6319.6356184037995,6504.39467891472,6729.21206825212,6988.8660146108,7140.4528648006,7343.344245329,7504.9143196182,7742.4809315014,7912.25477362588,8170.32319074768,8345.39178231252,8495.83567920972,8741.6000945052,8952.91833507632,9103.2625439234,9367.408253855281,9507.782958514801,9643.62476934028,9817.91304342472,10056.2469196572,10191.27575079352,10286.83409523588,10580.6582580974,10701.36666273668,10941.97511823248,11070.62120992248,11270.62790536512,11400.8323345864,11581.311514905521,11765.98975269388,11956.1162881286,12128.805235044001,12300.04918679028,12470.80220649,12584.408559012,12757.66041031652,12977.393425023081,13092.32961246732,13231.4348368712,13440.23545603368,13601.2928227932,13766.06986356012,13923.612327274,14119.21963636832,14274.798570832001,14380.777613667,14583.211413387999,14741.3846344102,14789.708133963399,15044.2206989522,15176.3181452072,15384.2226589998,15493.7609417374,15659.039061523199,15788.064772485399,15968.1088938956,16118.7096069782,16263.20591351148,16409.439707107198,16597.89732611288,16755.95275432,16895.266622562078,17042.0881435404,17180.993132594802,17343.3439614946,17502.057454361402,17639.145465357997,17795.191550545,17942.3201549386,18103.481210860202,18263.526346104798,18398.417834144,18600.3936400772,18745.2070590786,18910.5037195042,19027.664979573998,19242.7848855864,19390.203992586197,19578.6224874842,19775.141362156,19987.871198795998
2.5,978.95694955,1297.537166075,1638.3157999750001,1995.87866733185,2322.0776600364998,2599.56536935615,2845.3237427120002,3176.373144785,3402.01464254575,3701.0670507964,3942.454545498,4196.96307648535,4472.61384502585,4711.99997050475,4887.376078414,5185.476992303,5458.1257311521,5636.710062383,5911.73771037325,6156.78611321075,6342.3354686067505,6539.2429102675005,6772.224890939099,6999.5399766338505,7166.010890032,7394.434614557999,7544.21001138025,7774.8722689459,7950.352292982,8231.011639423,8386.76124318575,8551.604313259399,8786.236206572,8973.70384003225,9129.585879509601,9383.79239941925,9546.96224678675,9670.263925286848,9872.9396510735,10087.884639516851,10226.786802913899,10354.299090655,10609.26892714275,10736.1138370111,10999.1839899229,11092.0253970921,11304.6640103035,11446.36055071075,11616.027523042,11782.872946163,11980.93831695775,12163.0991495199,12336.261657953999,12493.2122629054,12609.523561233,12810.331026425749,12996.60369240225,13125.0607944081,13277.84951656225,13459.23330430725,13648.17157762,13806.08611838075,13955.83798837775,14151.71591810825,14298.36923797,14445.75647374925,14599.12920872925,14772.3356141595,14821.094723217999,15064.775119021851,15206.6950099926,15394.83696572365,15522.285417705749,15687.40907813685,15819.8911810081,15997.35485012,16148.005853491399,16295.5597409676,16438.6438007214,16638.6205044821,16765.29341379825,16914.1190987695,17062.14632033575,17195.05552327325,17364.50296331575,17520.35530733675,17666.734495803998,17829.0833002515,17981.08014800925,18134.496085913248,18285.18726118375,18430.47814339625,18612.1233091555,18763.7604102735,18928.140327321,19058.532060316502,19251.992938121,19407.771697921,19589.198492174248,19789.716090496,19990.786838896
5,1021.40363695,1348.47946075,1708.5513763,2042.9725526435,2392.3307426605,2699.3733797747,2924.9781965800003,3266.00193362,3502.2810492880003,3791.1432108875,4036.1156160742,4318.8662123495005,4542.714785351,4817.958222654001,5011.017917884,5301.3133263165,5570.688303281299,5739.3941958635,5998.7310774279995,6239.8710520885,6450.741798784699,6658.95860354,6884.321361033501,7134.0002839927,7253.736850891,7499.874049845001,7680.0256242647,7906.5789066558,8099.0774442552,8313.8594563905,8521.313447532,8687.2076844362,8872.8811124835,9052.2609412802,9247.3585720448,9498.1302007227,9629.33807735,9804.386377374,10026.2753038855,10191.940414374201,10326.3767116378,10493.075373784,10708.302398845199,10850.8486004752,11085.416373428201,11246.7062641017,11394.9753906627,11564.1874677293,11759.5771115225,11923.9969109762,12090.892647045,12289.9677230753,12437.975003699,12608.401453394,12741.2763807505,12889.886284533,13089.323396032,13243.261015745,13386.7787771398,13544.7846245588,13740.093644608001,13921.755615713499,14051.8041709465,14253.903723529,14380.1153933443,14540.18126666,14714.6187741945,14862.742516074,14959.234014014699,15159.816874578999,15302.0571294155,15486.161818876,15630.313789027701,15783.7411837858,15921.578893251,16101.1137723822,16246.959873305499,16381.8462663922,16547.1645807737,16732.8412317495,16845.493766205498,17014.050083789,17163.368991784002,17287.1204383272,17445.775391951003,17627.884670007497,17735.8811125285,17916.3692563195,18064.335201119302,18213.454189931002,18371.2794090305,18488.463701432498,18666.8711109275,18824.8469346615,18986.894332319498,19125.3372713775,19301.10748237,19467.472573296003,19630.229736846002,19812.816872646003,20004.696512526
10,1065.9060603,1419.3930658,1772.1783058,2110.15388,2457.6060015870003,2773.7765664,3044.1544542770002,3349.710843579,3604.943472118,3890.531219557,4140.59330844,4442.1757943486,4693.417872144,4960.474191848,5153.210580606001,5416.049103713,5675.423708857,5889.264449593,6136.4988047159995,6363.6257585230005,6584.759709769,6762.8365626469995,7027.199350333401,7242.250349542,7409.18306183,7622.916354567999,7813.103886536999,8028.761970871001,8222.078309348,8421.9994391534,8634.543975363002,8817.976157386,9013.212448274,9208.015383535,9399.5100414286,9623.541924711,9757.6028375584,9920.930952761999,10138.3869373136,10299.792427319999,10473.6275998476,10635.229021402001,10825.307621408,11028.602913345601,11213.167116057399,11363.929228478999,11512.582093152,11714.4209656726,11870.065251714,12060.400769308,12211.364633351,12406.40092381,12555.701986859,12738.0122245534,12859.178731499,13008.183282109001,13211.945247605,13344.368265884,13511.422366690002,13678.093427737,13871.248151901,14044.248275975,14183.6260092006,14375.3599350354,14507.7347433244,14658.4835767244,14804.176429606601,14995.672216432,15095.236575905,15266.9267368156,15395.6993526564,15603.110031231,15743.4809133324,15910.796133446,16022.5129241106,16177.9209515316,16339.292219515,16500.3618929504,16644.070040626,16831.1770665486,16947.254169049,17102.9261370366,17239.718006766,17393.4646121404,17546.265447556998,17710.993951923,17829.903641795,18003.024074722,18136.124001242,18299.923615215,18445.616611153,18571.052543771,18726.384998919,18884.306635796,19048.060260696002,19197.599092345,19351.697676596,19508.91840144,19670.915637266,19843.532836096,20029.921125896
25,1148.9157395,1520.443510122,1900.341484265,2244.8544942565,2596.13678445,2913.9675122364997,3197.03164861,3512.3293202225,3784.08757487,4057.5027054875,4340.9900558975005,4630.7191991975005,4892.8574913675,5134.0929545625,5360.343478789,5635.0604882275,5857.7317740974995,6096.514699675,6330.6967601825,6572.381691712,6795.516791792001,6987.6805065,7222.57011563,7434.9688423645,7634.7683041875,7848.134278327,8044.043455540001,8240.5137267095,8457.692661602001,8635.991583546,8843.770549576999,9025.9142417585,9230.5023804845,9431.01914805,9610.9170668925,9825.820145081,9971.53608305,10159.586905017,10337.1221909165,10517.0120505225,10698.997269296,10886.215627409,11061.340868414001,11249.041552861501,11423.7387367635,11578.805098022,11747.41058442,11950.592357134501,12102.940697627,12286.3307444825,12421.7094698185,12601.693184545,12772.847142221,12940.963967061,13081.907183971,13238.2263244765,13417.0042719385,13562.2745890915,13731.258890887,13913.8252657265,14070.9454162825,14246.6936212785,14386.277079456,14555.0443729685,14701.468689169,14858.922024985999,14999.146292093501,15171.287140181501,15284.8623959945,15481.867775375998,15590.4869052065,15775.8335198165,15912.015811736,16078.8139261935,16217.575619003499,16350.4648604535,16526.058169985998,16668.438887762,16808.7617990985,16979.5893046785,17121.090583651,17277.327545551,17399.872849606,17543.137336033502,17698.761559776,17865.2909561095,17991.160255808998,18124.1612226835,18279.859674074,18422.621312441,18575.794533303502,18711.6858630485,18843.030578846,19003.1356776185,19164.074932146003,19291.723992396,19444.6978835735,19577.986310870998,19734.7775790285,19892.081156601,20049.960799146
75,1338.4853528225,1770.9364103225,2178.589433394,2535.2270069,2917.11869375,3254.262351485,3586.542541885,3894.518373415,4191.4257003275,4460.22429718,4746.695161572499,5035.7478174425,5287.142720217,5557.2531992224995,5817.8160659475,6028.76206273,6296.6070979165,6546.557725573501,6771.340510745,7051.0858168725,7235.8829343375,7450.0665398765,7682.4491229015,7889.1984939124995,8089.129051105,8311.742027567001,8501.643627999001,8725.4930214175,8916.658959097,9122.052507339999,9306.799606506,9492.759230250002,9681.187079359,9899.004332434999,10079.8509722775,10266.959801629,10448.1678282365,10630.8236159225,10802.7623113815,11015.9062896315,11193.2272397625,11353.2046974795,11541.387915073501,11723.366667016,11880.931649887,12061.1429661185,12211.935406025,12412.2048288975,12563.5881927225,12750.999578399,12891.2243660565,13087.6807493165,13258.959080581499,13407.427833931499,13565.3446312535,13740.620466874001,13896.0421449615,14033.012881431001,14198.269849464,14357.966058544,14518.8909739025,14672.146608432,14828.571006213999,14983.3615260035,15113.9932254985,15289.041477278999,15426.26952276,15553.4388179485,15720.1699451535,15860.7773140475,15992.357165985999,16171.6038454635,16321.9791720485,16482.3374560785,16598.2636385535,16732.2190169245,16917.9774101235,17049.676123858502,17177.925153576,17328.305645906497,17472.662447660998,17624.312076994,17738.1954713735,17880.044950516,18018.5853012135,18160.7699512135,18295.4489886185,18422.609441688503,18560.013113896,18711.142905286,18835.000280769,18970.3127074185,19090.0511168235,19219.905419646,19360.932966396,19482.320581976,19615.308814834003,19735.4876833495,19852.304615396002,19976.536282756,20080.184533896
90,1442.9005218999998,1896.545120434,2334.1473628,2689.0312440074003,3049.663938213,3422.542827482,3732.848092876,4056.21368586,4348.7664651039995,4639.737668515,4921.1356570096,5231.26395691,5466.6834868000005,5746.364288694,6005.715873328,6268.351764826,6485.6634165014,6758.534420038,6981.2941980746,7236.6154637770005,7426.1784415954,7677.709934670999,7871.021734619,8094.290759629001,8305.2991989246,8516.709583967999,8727.054974120601,8967.1715980234,9139.081709334401,9346.146301855,9518.9482111016,9716.58923254,9891.551799878001,10118.045916484,10287.041486936,10475.403996412,10674.087564672,10852.598376211,11023.8654564594,11227.6802118856,11392.6232956446,11564.4431212456,11747.121037525,11920.568714686,12105.740400286,12276.171530747,12416.915103277,12605.4531854606,12770.4866243864,12989.280427156,13129.0645156464,13283.717768577399,13437.4845450334,13604.535355392001,13778.6766167414,13943.118785121,14073.9820993024,14212.949933520998,14374.9725425706,14541.8966081046,14708.555910980001,14886.847211831,14995.207472956401,15183.977254747,15316.383949019,15475.140119017,15623.114909861999,15727.4086188336,15909.316061931999,16054.650419241,16147.808186162401,16353.905286742,16487.657490925598,16632.7477182674,16793.046602855,16916.1661937326,17072.694139294,17209.969739103002,17340.8323761496,17453.2235636464,17616.865566878998,17762.4719071764,17886.535640952003,18022.394268401,18146.2815166926,18282.973639099,18421.5335533536,18556.687100419,18670.676539791002,18829.139998372,18945.4785580956,19059.676191726,19185.8881310746,19300.8089125126,19435.334708728602,19552.396562195998,19674.941901296,19791.499663096,19901.496006615,20007.350519395997,20085.365514896
