,mntd10,mntd15,mntd20,mntd25,mntd30,mntd35,mntd40,mntd45,mntd50,mntd55,mntd60,mntd65,mntd70,mntd75,mntd80,mntd85,mntd90,mntd95,mntd100,mntd105,mntd110,mntd115,mntd120,mntd125,mntd130,mntd135,mntd140,mntd145,mntd150,mntd155,mntd160,mntd165,mntd170,mntd175,mntd180,mntd185,mntd190,mntd195,mntd200,mntd205,mntd210,mntd215,mntd220,mntd225,mntd230,mntd235,mntd240,mntd245,mntd250,mntd255,mntd260,mntd265,mntd270,mntd275,mntd280,mntd285,mntd290,mntd295,mntd300,mntd305,mntd310,mntd315,mntd320,mntd325,mntd330,mntd335,mntd340,mntd345,mntd350,mntd355,mntd360,mntd365,mntd370,mntd375,mntd380,mntd385,mntd390,mntd395,mntd400,mntd405,mntd410,mntd415,mntd420,mntd425,mntd430,mntd435,mntd440
0.5,85.63865944000001,95.76517187966662,87.72651478850001,82.6754757428974,84.66578566833333,84.19326628085707,83.5299139235605,83.57539845767681,81.20519368331999,82.69394822130947,78.55230219263721,79.28072831228768,78.27046174241197,78.19734154082536,75.4745275049953,76.75926747377876,75.02892530784106,75.00026773694448,74.647816338708,72.40427662980727,73.92309868645178,73.00591780140034,70.55428152190666,69.83883564478509,71.0277048299438,68.88495590797527,68.73011072409713,68.89655926788936,67.69611794441687,66.78959787466574,65.62182851218088,65.86773260500996,66.0054604404227,65.62311414571494,65.1444503918434,63.93392913363951,64.65496307468132,62.92054155422063,63.37054478876158,63.04520996387265,61.86208842795051,62.039510980161474,62.066065694608255,61.58322313174672,60.58747607252552,61.00604118367542,60.43964623726338,60.6538649085319,59.106241448259546,59.326307157069536,59.70994466044571,59.29258555113966,58.9323361135906,59.00860321230648,58.307164187817975,58.367854353476034,58.32855775280099,57.64234555716313,58.51525041914457,58.02597918445276,57.494690700216154,57.116186850020675,57.22733336493838,57.144901339130975,56.854263324536404,56.2618950514439,56.188574988425245,56.293116865850834,55.75155411547507,56.60136636965476,56.07172388425271,55.78154319920822,55.765689390269664,55.864213592442105,55.78104216421681,55.4566276514277,55.52049841814113,55.19742301982407,55.20144717840922,55.51534737054565,55.298707407539055,55.323048755695524,55.45506382563331,55.15121207893952,55.4683167454791,55.53014451073382,55.65754341565
1,93.310139995,97.5970008086666,94.934512795,90.8419832168,88.5572540531467,86.42274456371422,88.0580195769475,86.28121237752465,83.7045597245247,85.24852373927277,82.94060531831664,81.97747709532894,79.48532075289242,80.07972615039996,78.4186493565095,78.2111842884537,78.06666700274472,75.79146411847465,76.349507248424,74.87006232675124,74.74727594215129,73.57081499215676,71.87621273478334,70.92566133135793,71.67432973458615,69.66197154379012,70.2383099126776,69.77819551652766,68.6613324966937,67.80547868958584,68.00903209728702,67.35203340664748,66.65881319766447,66.4308403664172,65.86826911247495,65.2044583898977,65.16225568507573,63.83362314743759,64.12313006379007,64.09103100065174,62.843322096373065,63.114839340688974,62.54198576622087,61.928545172541774,61.80565296514432,61.445797357232784,61.17551309096999,61.47579720205046,60.568300260951254,59.852810590113364,60.27439631286667,59.7650857235416,59.77450753988189,59.291554567194794,59.36978191691295,58.77305135551365,59.04579488142475,58.50073234799256,58.726225647740954,58.41143685873207,58.19480811451949,57.490054087036015,57.962938119777355,57.541020236938216,57.44301635674762,56.72173625636053,56.663298407647375,56.760541771127016,56.605734219041246,56.792404766274394,56.306651893012244,56.08750115546012,55.92371830923833,56.05915564138642,56.147523347704535,55.702523444502546,55.78375384401639,55.594020075668325,55.66818150136591,55.783311744779475,55.55274633361481,55.5161333807523,55.66697380701428,55.46255634613791,55.71000195982864,55.68927059708279,56.0582722377977
1.5,99.15983686050001,100.91449308,100.551544378455,95.56003792679999,93.5153074556667,89.59573167700002,89.988395085875,87.62077603037775,85.26815449879999,86.15659670035276,84.6307036188333,83.83291596149388,82.1358156065264,80.859401461821,79.79438117026581,79.476509625996,78.97929255101556,76.70823259923395,77.259906929965,76.34302085462451,75.76292347139977,74.0170179095122,73.4276604563767,72.26817609153521,72.28629730834432,70.3657061003811,70.67551162188897,70.39127808238646,69.43697914268371,68.90368036802965,68.1444247392682,67.75528430833114,67.19331375943895,66.68971239804422,66.31170462264014,65.55004507056282,65.7489747967796,64.34923395393974,64.74274067696248,64.4807474236221,63.47633493641319,63.44062903035729,63.112227763781746,62.33603815864207,62.53997647160669,61.64899098383279,61.621278706209814,61.70112329606935,60.96534337417232,60.36151706949759,60.72977681156463,60.3961312033431,60.15810710618958,59.75468514709995,59.73519368167154,59.06628257552557,59.18173682217193,58.77390400929249,58.92572234899437,58.713646382865704,58.56362433822471,57.81323943668962,58.29998073568367,57.7460831602641,57.71745901242999,56.94253586613726,56.886959499776076,57.08663449304998,56.94986732322403,57.0594377271098,56.76516443767748,56.31098467869152,56.18510449945324,56.33472147539242,56.334566749572275,55.935289427563234,55.88718566275833,55.652050027582234,55.85531885026125,55.85850506608972,55.75026006360831,55.69696009455257,55.74096930652262,55.72436690984122,55.761550914041806,55.823174598105744,56.12282557481253
2,102.206302424,102.06157928773366,101.958636467,97.898464131552,96.833793439049,91.35870073371426,92.15406325647801,88.83721688519027,87.68731371245839,86.93312595212547,85.788490518,84.57592608826462,83.39765402219426,81.19783332039023,80.76685510109525,79.95106300007022,79.16750904296484,78.05492186019787,77.7486453561472,77.11596275886238,76.29921100099796,74.80478567247043,74.12980348577535,72.65922190597553,73.01055453858514,71.10332846940031,71.10404479951782,70.713051495223,69.85408279847736,69.52383992725017,68.73308649656892,68.18523690671131,67.43144601205232,67.19535630802496,66.75134894266162,66.07248800064815,66.11892715106583,64.92875540084071,65.0834637512535,65.18475679200711,63.76288724642526,63.87590333284446,63.575154344358786,62.57433008107568,62.798861174821226,62.140367278076305,62.29530627291893,61.907633912462835,61.3787296135268,60.83714077160074,61.11830077890046,60.79545010462736,60.30456344533464,59.8668145793988,59.82418560822353,59.27170224884146,59.38284884889723,59.103520849310094,59.10769634337757,58.91079191989416,58.71161702655647,58.16603872316195,58.41854178266669,57.98677280380697,57.84340204625174,57.20515283507261,57.13687631836496,57.22606148392003,57.132054460670226,57.251766617034086,56.87564411826954,56.425751997395594,56.4767020853032,56.49708917662874,56.44464303681214,56.15889368835835,56.227785394473344,55.8823893301636,55.9939778190924,55.99145921022942,55.853793781123024,55.76360811768913,56.03513802895592,55.87442766658332,55.850889957793015,55.95277240714625,56.162605951343174
2.5,105.34230362000001,103.24863074175532,104.1754020665125,98.814458714936,97.83946725500003,92.95471766143362,93.07463559875,90.81678740953721,89.02536746349999,87.87358055521001,86.38191167080274,85.80390300629135,85.05742342362161,82.65690910976164,81.54414210159375,80.45739304096584,79.60155292265476,78.44743546668289,78.13019801035,77.40269397721833,76.63081444792695,75.29047295230974,74.5068112084123,72.8027006382236,73.57171326640288,72.06604394942953,71.76215169107343,70.94509935559968,70.39920243800064,69.7063797920326,69.14787494436679,68.36397211704897,67.77448848089244,67.39948280240574,67.05444231801484,66.68400062188255,66.31339292062802,65.4971862574698,65.77071492564593,65.33622245415303,64.23185766189582,64.07822109384479,64.06307504040186,62.89244553780181,62.91526609375743,62.47727067969245,62.491799066241946,62.17524884537294,61.65793943713035,61.01002005692377,61.29161559206109,61.2199567584368,60.53327779882795,60.04565024144362,59.98708184345115,59.56594929208448,59.55648117383437,59.23433867721193,59.26479335640779,59.006045281022004,58.982109046585904,58.30353219746193,58.60990404536895,58.128004728996835,58.044075908913776,57.50868383357673,57.23107148537543,57.33087044345928,57.35959731156797,57.31725587964918,57.06761379117065,56.63966382025494,56.579284669959755,56.57982384676243,56.5636526374968,56.25259251566303,56.30819770001125,56.047899715798444,56.129396643893216,56.09103466780467,55.903294448537096,55.84692187171851,56.08613296682312,55.91420789905885,55.89315807495813,56.05892842188042,56.181984306184056
5,115.46120109,110.70642444686665,109.58638520215,105.74974594694,101.9073749015797,98.25482146333569,97.0012405405775,94.52124943068222,93.074600550517,90.8917894756455,89.13000649310833,88.14595797936346,87.31843746014783,85.4102730313233,83.6927074682675,82.3480315476588,82.0075434140072,81.50578903591867,80.074021749846,79.3159909410326,78.43999492852409,77.71583062602802,76.22787651136233,75.4468476617384,74.87143953848711,74.07048274157097,73.07314314397611,72.43635206793692,71.9066743609653,71.04304771127613,70.53323610278996,69.7754790655971,69.40038461486914,68.77239017036604,68.36530684270892,67.84718511062702,67.62587495067524,66.75724732759447,66.83894407501725,66.22643355763046,65.32014994690313,65.26267462353974,65.14935031916606,64.45016111374046,63.958661778715296,63.962070239131116,63.289238728389996,63.01090432551552,62.5696742039361,62.14052898994955,62.08012330619806,61.77779672252746,61.400937467486315,60.932554302359726,60.627552188746925,60.33708188788504,60.44413054709481,59.93875721077427,59.8140327147813,59.88699485594227,59.544523097109725,58.943526675370116,59.3028466026239,58.683037307959815,58.69471709300026,58.10728777190685,58.117562506400695,57.79699034560363,57.86524881179507,57.724256391336084,57.57568087310108,57.20553646537975,57.0819862251277,56.993740863747064,56.87601982461681,56.76467961094543,56.78344400330791,56.42625122774175,56.4469745191375,56.46808469629738,56.167666748992886,56.20509441752047,56.304754467595515,56.186411326990616,56.17160565780927,56.25942876728967,56.34527307652495
10,126.77192385,120.016724893333,117.17395576,112.67274105684,108.1679355736967,104.760032769911,102.5839669347,99.29597929487333,97.369442503592,95.1189528070546,92.74800090769999,91.15875390037692,90.71862105770566,88.41620086070667,87.33904348260317,85.37537902877646,85.30979684768778,84.34717329101053,82.40066754532,81.27388006699621,80.29888408596359,79.72066599645217,78.52286829486954,77.762210830596,77.30896496639849,76.13911203515407,75.12360693372855,74.51216458299656,73.82603613016798,73.0864841694174,72.54728323754969,71.70846384618784,71.26874276567,70.52813600395973,70.01637051297551,69.42502413258812,69.17444004731762,67.9896847117526,67.89392508201925,67.44997773147199,66.32388513785908,66.51228841277651,66.2659086280618,65.63341949085377,64.99887458712435,64.88076684618125,64.49353898528206,64.19657931781998,63.7211330636294,63.31377384581195,62.9138691506635,62.68162819014335,62.35751413239736,62.0770089469789,61.400255884694644,61.49444374077528,61.05477456381739,60.801403661706615,60.5568317718583,60.60640071014128,60.23179924182098,59.80051320637411,59.8746235401655,59.561291400838776,59.22334514212276,58.90160046012999,58.72344585174944,58.69950048584727,58.48056010954799,58.28727654445027,58.172567265280584,57.812615966923296,57.77405190830001,57.55895033932256,57.41332985287246,57.25243798977585,57.203666547945595,56.97872225282785,56.820987486887496,56.77213117115378,56.6626875871127,56.570398124048154,56.57387468210832,56.422580792762794,56.41579427683026,56.42969806361145,56.47190040084321
25,149.81017107809998,137.799424,130.4615735,123.3441971158,118.831714083333,113.86600739999975,110.81272136875,106.61500563333325,104.61606054213999,101.83282737907925,99.51317303882918,97.18188340102887,96.1202491050714,94.5916308436667,93.11936824135313,90.52850034989703,89.90661231428197,88.7329672502934,87.052411770475,84.76967752778572,84.53837634353641,83.14736452031192,81.84591999725419,81.46141062529901,80.42849950873655,79.09633900555372,78.07560871527497,77.30212253460347,76.61845456021167,76.05081442606777,75.33615955091089,74.76792558783484,73.89068408447943,73.24295079121072,72.571596349125,71.72146733015674,71.50919197946773,70.70434032800128,70.26263839041376,69.63448063262437,68.8659959524577,68.56167584677036,68.16056667032154,67.48457208764333,66.9593462419978,66.67239996715583,66.1641186979495,65.96827232946835,65.3594787936255,64.88574629688922,64.56557292458943,64.34789917321177,63.953459835879656,63.54124428090998,63.147583200406274,62.93628064625395,62.508622711311205,62.257697056990274,62.02216348851705,61.7745634263721,61.47283715311533,61.141213292674976,61.073331989561304,60.72569426548807,60.34426824352803,60.083661035150776,59.91275856019708,59.67327029025287,59.45352332246428,59.2977615464359,59.17711937444165,58.7037342190849,58.693399547250294,58.40558864552135,58.292434949314774,58.040687449677925,57.9400737436564,57.72678588545288,57.58658892109062,57.423643650360525,57.2702806321302,57.06167897332775,57.06697711385955,56.87116940181498,56.73869650888605,56.71091548981835,56.644347065502224
75,193.484850375,172.6602760666665,161.83862244125,150.45232464653,142.3653574416665,135.90180662571424,129.626309466125,124.877816620689,121.71901554343,116.9619844197725,115.162525245833,110.82083304176524,109.726877852,106.01510885640025,104.230814158631,102.34558131604726,100.06767738408351,98.42236063953948,96.78908045309124,94.54920908206192,93.81018694014207,91.85563985941415,90.11708917839789,89.566929854885,88.13110468676538,86.73610101397225,85.51478669606162,84.5414617394845,83.45279972677915,82.37598054195969,81.54996873776798,80.67290171686057,79.84929586756911,78.9807258382014,78.28666186562502,77.14671455306083,76.74073387463753,75.85064275778848,75.20182811948375,74.49043085318415,73.83156790225713,73.31055774328834,72.77031680337333,72.06825405260496,71.39475073996415,70.95067336784467,70.39262757017138,69.9760814699883,69.336306988185,68.9023055862956,68.46660202261972,67.91274976942027,67.26234894101063,67.05123221906497,66.62636719005538,66.38107724104603,65.67964020218835,65.41544303473815,65.01430273232003,64.69131159345984,64.4305855875798,63.898472242976176,63.783673561791,63.23365115963965,62.8259281004807,62.67303251779923,62.295520369493374,61.9432747795431,61.772077401217174,61.377923683499304,61.034863245810755,60.75298552244932,60.57885836484023,60.18501627184135,60.03553245007795,59.70743321594932,59.41284033147565,59.21446323988857,59.00148344359625,58.66312143595707,58.47299759729145,58.183238388018374,57.96431687369997,57.7038736622247,57.465213498234846,57.2141937398184,56.89498872800225
90,219.99527950040002,190.8550925815903,177.54565982981,163.810538295712,153.5823053736664,144.27760661154298,138.9561024239521,133.785359703599,129.70725289659202,124.48745756935001,121.3660051393708,116.8344729748769,115.12593095836489,111.9172378029796,109.0950540056592,107.8435392261604,105.1055962864734,102.5974287498144,101.025822084167,98.45681644012383,97.1061791670382,95.21757485474743,93.5482027771317,93.02057600216399,91.64455907283616,89.94079304423448,88.34036965959969,87.52026817896933,86.27581028347467,85.25166782314095,84.17780699893032,83.81889658682515,82.58263193237941,81.66934995924228,80.76306673067808,79.8719117340589,79.00203537629812,77.74896224410769,77.454601061922,76.66027054060733,76.0052531408105,75.21958149955395,74.56162924032367,73.99365408467818,73.31863162690895,72.74442022443318,72.29488292128981,71.63241449311832,71.01609409448521,70.44279922042746,70.08446399841284,69.43658118148755,68.75767870818608,68.43807302160745,68.26934798150695,67.72981283306072,67.18651563689485,66.64248921532662,66.50665847145584,65.84233970624082,65.59425835993517,65.20617627748304,65.06873652619998,64.40502023635382,63.955285731239265,63.7039795306507,63.3089803984587,63.00392971100539,62.74306623787755,62.215006856856874,61.91366844228752,61.64540357463191,61.32838782511935,61.01310927427124,60.89900411563921,60.45538730568912,60.122048526687806,59.76835034041266,59.5486068024275,59.252733519099245,58.973334263343894,58.662992862003556,58.38697494959806,58.04928549261885,57.74562190636513,57.39178642906891,56.94245585084317
