,mpd10,mpd15,mpd20,mpd25,mpd30,mpd35,mpd40,mpd45,mpd50,mpd55,mpd60,mpd65,mpd70,mpd75,mpd80,mpd85,mpd90,mpd95,mpd100,mpd105,mpd110,mpd115,mpd120,mpd125,mpd130,mpd135,mpd140,mpd145,mpd150,mpd155,mpd160,mpd165,mpd170,mpd175,mpd180,mpd185,mpd190,mpd195,mpd200,mpd205,mpd210,mpd215,mpd220,mpd225,mpd230,mpd235,mpd240,mpd245,mpd250,mpd255,mpd260,mpd265,mpd270,mpd275,mpd280,mpd285,mpd290,mpd295,mpd300,mpd305,mpd310,mpd315,mpd320,mpd325,mpd330,mpd335,mpd340,mpd345,mpd350,mpd355,mpd360,mpd365,mpd370,mpd375,mpd380,mpd385,mpd390,mpd395,mpd400,mpd405,mpd410,mpd415,mpd420,mpd425,mpd430,mpd435,mpd440
0.5,181.719957698282,200.97593105253478,200.51343970273714,208.60891003869966,210.11961822983147,214.12882475744297,215.26788262804013,221.00431465010413,218.86869936043522,221.44761329935457,219.6251000659115,223.9397400849223,222.82564422710243,224.50220803716118,223.9031326801939,225.358385192144,226.89125293692473,227.47344449796077,227.27201379007946,226.72750947135103,226.90046043904871,228.86143386467393,227.87282294858787,228.20467033806824,229.25888586152206,229.75045645038006,229.60418135926946,230.14061432725433,230.77374136892342,229.9284477673921,231.2488185469297,230.0921173908226,232.38097979317845,232.2406457391285,232.2537641679411,232.7708113270338,233.1789458727816,231.96186118434818,232.85819333195604,232.68201292797465,232.919284357203,234.00216194656554,233.2717714166424,234.120743213672,235.03653988719586,233.55074626970315,233.86475090925154,234.7780492730617,234.31559545941937,235.06680859882889,235.4875766014028,235.800295017031,236.5184593114338,236.5228091712376,236.17198902749405,235.85521381741427,237.08501076458745,236.79551407943703,235.77503386380243,236.76247533270623,237.1743296379512,237.92768539082982,237.6596189096521,237.48311086055082,237.91747829241964,237.58615231509302,237.92612435131946,238.60138150606934,238.815633913833,239.49614775604533,239.0917795687595,239.02479265947764,238.99105905735857,239.16678685369266,239.76424491325702,239.49235761199796,239.61918138306933,240.00705132814008,239.8690095066652,240.96529474904696,241.30756674977368,241.1071097073271,242.11724394032822,241.7837754851856,241.81067210074318,243.17703817430865,243.40413758436387
1,188.91919943644487,204.95730890827755,205.2215345472106,212.41082062841366,213.60022815337436,215.38490869451462,218.1296738507073,222.512436908424,221.96079768559392,224.60495192312263,223.46751365700044,225.1587262173553,225.03088761397248,225.4654864483855,225.50712952398533,227.00958662532886,228.0973461566098,228.1972790586157,228.11222649313862,228.53015486684512,228.3343985848666,229.32957310598212,230.12552717592607,230.9311063075071,230.56960510216595,230.98559762859924,230.48026495244974,231.39776380014277,231.62954749769986,231.56300267934515,231.7236828823529,231.80469217493635,233.23795162830336,233.33556616069015,233.35725939170248,233.99553677692154,233.81605882313892,233.34164780783024,234.18424981869012,233.86982123965728,234.24124153165184,234.7967075098637,234.6243417797132,234.8495770182961,235.79515487369093,234.61228570728974,235.0336253057759,235.24894850193914,235.93435139288067,236.18389989741286,236.0801737162582,236.3032865034057,236.922167791016,237.13713814166098,236.88468534253536,236.48237944812934,237.4438866812395,237.68676321557066,237.69978668968386,237.1050980221078,237.8341772587569,238.38588058081086,238.59862942703418,238.2074907689148,238.7172379253176,238.661055500827,239.0024748931407,239.17265247495095,239.5565130786332,239.7378305073921,239.59140948137198,239.6864920295534,239.41412553157917,239.73527873243884,240.63849000593697,240.1844684403889,240.4464478817279,240.68608005880452,240.92723432141068,241.34650069981362,241.58882008542784,241.3200083295121,242.4723604413963,242.14772225884934,241.88795345584413,243.21108984654526,243.42456757839213
1.5,194.63010502644465,207.32933240553112,207.39936641149762,213.66316054313302,218.18268367125572,218.12734274043697,219.92284099594738,223.6147834002004,222.86641992378648,224.90822189977524,224.58861079000962,226.94232779610667,225.7204850652826,226.31412110287448,226.18315407006898,227.99749488567548,228.971712818027,229.2651355967046,228.86411774163412,229.52446063781116,228.81426107346158,230.35797110318111,230.7811725780832,231.73442345277329,231.18035637677758,231.9819990089986,231.4195139482073,232.28441445474596,232.37999486170193,232.165252582675,232.86804859164747,232.66017813307457,233.86013872007186,233.80762960718243,234.07826701682765,234.62943832673204,234.48306804266912,234.4052781411133,234.86063543296265,234.17543301231422,234.80825632513776,235.2901931226971,234.8739742609417,235.3706697914085,236.32926603511854,235.7246003097103,235.38894355854356,236.0628677180886,236.4165703360817,236.6610645554879,236.73658120354108,237.3080645538581,237.27790016922773,237.6066189167035,237.4040624354014,237.65193693456868,238.15337766617426,238.20049526503902,237.8799636288472,237.50329979966165,238.00241024410107,238.81397530802292,239.07205232581424,238.58200358989953,239.0212299620145,239.0706135066496,239.18027698092445,239.6108997137364,239.83313898139588,240.2153058941477,239.93693089289658,239.9336739102638,240.08282510379414,240.34884647561444,240.78913853060936,240.53946717378628,240.8198062586727,241.02924234230403,241.3729328963739,241.49117468417603,241.98696197425426,241.6297060938843,242.89210779801695,242.74519441074477,242.9646319316411,243.2793671437548,243.49231709465704
2,199.61610574933323,208.73392565685452,210.1542652071579,215.677191354,219.13765348668514,219.42383886198795,220.6211337501049,223.9424349605655,225.1315520126191,225.70472564404056,226.08233763443155,228.03774488909994,226.92879940398666,226.75221640842832,227.6409463564992,228.43325982363115,229.85181496863152,230.10490395397395,229.27688552209958,230.51606109591557,229.4958210891403,230.97518478720215,231.2235888246833,232.08525445012629,231.82644256668792,232.3473831193267,232.03024421720303,233.0705831460728,232.55240040890016,233.68377412094276,233.5138505047995,233.29401604341797,234.21775864404052,233.99224063501717,234.5282840579767,234.89095319514422,235.09893628297579,234.9847988241737,235.2292305492399,234.5982481104961,235.45645789464638,235.6563214958286,235.42390565784214,235.90388595311788,236.65968383653092,236.39956380138773,235.70172469561976,236.55147990213092,236.84032148853984,236.88457033579388,236.9719256893158,237.6443534133488,237.6450984868002,237.8067056106738,238.2669005202121,237.85589504666387,238.29738516493893,238.47935710197132,238.48288704453276,238.02628389682977,238.23644117663792,239.09713639749913,239.5446789185022,239.08028136691115,239.63234510427648,239.48443351004684,239.42120792231327,239.80050057677494,240.15328985427107,240.31373008097978,240.09539839926592,240.11006541250435,240.30563324666647,240.80224460784467,240.9847182828417,240.95851338577788,241.33592277968077,241.21896698034476,241.53180852317402,241.5848826932473,242.05377890658346,241.7303626146505,243.00083847309946,242.93714263843967,243.0117184174629,243.32361775362892,243.6174450784231
2.5,203.23517257777786,210.87675807283952,213.35653683355224,217.21946644318032,220.0849783256324,221.43833381387475,222.17190207805092,224.64100354361972,226.30063349484638,226.2084717833401,226.4795859679999,228.15900495588414,227.93130281448325,228.33923161934905,228.96123739985015,228.7147644334128,230.0069024131424,231.03259062279946,229.74196489074922,231.1446253800455,229.83914131149845,231.4333414484329,231.59549805216045,232.21234198019283,232.55893123135684,232.85470694348547,232.86637814700208,233.4679744183026,233.00723256921776,233.95664304741575,233.82236336607804,233.59232352259795,234.60777310213982,234.3146237628364,235.05348202938256,235.28826223575854,235.37005877894796,235.44412115052492,235.66093424885216,235.5060316358202,235.98246763691287,236.18394248263797,236.36914558484457,236.12237125448794,237.01420907347853,236.9253534732387,236.38568110911422,236.70967389399166,237.2291231305055,237.2827833922909,237.5568259373378,237.95798741613496,237.98009884629624,238.1253327302729,238.4287984056853,238.14245854013316,238.67913989126055,238.69992954404316,238.59777777992025,238.2783353507267,238.66522308885428,239.407108780778,239.7067354213688,239.2472472141662,239.90024901353948,239.76311725366205,239.7331842008226,239.93937171659542,240.32174721252204,240.5373487142918,240.43919913320067,240.28812498695237,240.66139077945803,240.99287883961858,241.35062071104772,241.40087690669847,241.51138223976608,241.4852186231643,241.60856850056425,241.76422571472648,242.16519615363052,241.87298307521584,243.09190133468235,243.16182119029017,243.152813624069,243.35846391135266,243.6342808619638
5,211.13604251231422,215.3338640242668,217.80927472684232,222.24691109269335,223.465967576437,225.1555728857144,225.66623619166631,227.2398065809094,228.66176415272597,228.75029769171735,228.89518720160396,230.4094149152856,229.67640472222385,230.8845665942231,231.4208922794183,231.3135227314894,231.93295346075075,232.39029560494987,231.94741467797283,232.7684704443896,233.05145452433885,232.98996703465681,233.62481326681814,234.18862235669374,233.843244917057,234.61055208166215,234.39982509264385,234.9157412899818,234.3820761561672,235.1336805071474,235.40237853370724,235.75178760769273,236.19816670504596,236.2025786364716,236.6919948026403,236.67936054929584,237.06504692210245,236.92347534658697,237.43536506905536,237.26718788393487,237.49550231902225,237.6410781020258,237.5749144756323,237.4352177634649,238.0950226841016,238.42883031810155,237.69588040671385,238.0714061760298,238.55066631194944,238.7783586268906,238.86722134544763,239.2938513980204,238.7985436485381,239.375006821485,239.7194433997794,239.55962166931664,239.8804013331198,239.72647858920647,239.7715097970871,239.25150185208113,239.75824448212566,240.05603744787805,240.5671576169196,240.49925015045994,240.7078143718064,240.8546355572613,240.6391707017482,241.16375847891484,240.92777971897726,241.36660376596873,241.4065168483637,241.42580477518186,241.69857066435813,241.6851246367803,242.04804664915244,242.05864010134795,242.05473171447412,242.2275215192155,242.2654430859265,242.47917422652296,242.9927080757173,242.9416564570166,243.3648967160868,243.41928156936643,243.42110329374535,243.50810604841496,245.09307303025605
10,218.5697775511113,221.71808116761932,224.31717331578952,226.418488209163,227.9658217173238,228.5699951383256,229.3855454620512,229.8216607373283,231.1502319233629,231.3165158334651,231.7149700802928,233.34902716959382,232.7092165583745,232.7219827606386,233.8191448294056,233.4566056833395,234.0854120043294,234.3442581429632,234.64184281143858,235.3160896627485,235.8550036492498,234.81187335782158,236.1494032417944,236.0469814240137,235.9017378405085,236.6605993543557,236.2836452105043,236.5164857323048,236.48769895345882,237.6294144215825,237.4311028374763,237.80168572929378,237.91958979329942,237.9407221584146,238.56306870824721,238.3889560501377,238.52481640253671,238.7306260254978,238.923032584194,238.9072322422505,239.2200103195087,239.158753501474,239.2403270233555,239.06088513391342,239.7085880193574,240.0229668552603,239.67969093425722,239.8432954047495,239.95959367898442,240.00488101822472,240.4079344066468,240.352193246952,240.8393760961855,240.411488255397,240.9626983258234,240.7439355772998,241.12162949079791,240.7858740181554,241.0006150084391,240.7746726848709,241.5206063345911,241.247443870442,241.6513592626824,241.7113633583293,241.79861625263462,241.9368407577086,241.6859706512547,242.3242599039401,242.03225896169522,242.2595659947478,242.1885911622574,242.4655850322001,242.3830517941749,242.6406222572491,242.84069259589162,242.91521417523148,242.83526407818948,243.2144449604223,243.2659308416601,243.4368338530147,243.52773700280252,243.4982584592185,243.7461987697404,243.6850424350435,243.7504838780554,244.6361543669519,245.134705676887
25,231.748235972222,232.43445040000026,232.782278748684,233.24510275999975,233.56786540588524,234.380428467557,234.95717147147474,235.5370540637175,235.639963725082,236.33666724492227,236.038004007593,237.52279932014076,236.94226559088673,237.47497505450076,237.91669931859002,237.371744170944,238.2725736309195,238.92551613784627,239.03525796568576,239.7457637226725,239.84030072885176,239.6940708817355,240.115318722489,240.00354473420998,239.76519784005401,241.0654191216735,240.78618262250325,240.67074179748002,240.3846241205555,241.12433064812225,240.84631178417524,241.23290260079324,241.23591146714224,240.96251490047675,241.7622390285715,241.8454934207865,241.11422767472325,242.10688401226275,241.55651126054676,242.03604667701052,242.015567971896,242.097950487926,242.14220186536102,241.94389673779773,242.25457372833677,242.8100541939565,242.3738065203085,242.55524560709225,242.39526696009526,242.63954660264426,242.8995048383075,242.580214471306,243.05831088204974,242.70847623262475,243.20301480680976,243.01758993246673,243.11640752033549,243.2104641083055,243.28118698597524,243.088588248493,243.59504683271425,243.25552505013223,243.3873951269495,243.55777767822548,243.519932417814,243.550524435694,243.6743768617505,244.0042462169765,243.69302267316925,243.67704256066725,243.81324189569474,243.90453692908477,243.92747492407227,244.0663363478615,244.21730807243398,244.232039862103,244.24446974942924,244.26947581460973,244.27254041603572,244.28094844259374,244.502146970175,244.39984286152776,244.96774365253276,245.00116534034225,245.15544275461224,245.18786557284426,245.21249777833074
75,249.56321596111076,249.13840191428602,248.5356648111525,249.8260957783335,256.1374765961033,257.0965597062208,255.920499230449,255.99325379252576,253.86238490574723,253.382440506811,252.38500349223676,252.41762032808649,252.1819667834875,251.1269229168325,251.2158184870195,250.58636601971577,250.95799658239875,250.019008986945,251.47397504033324,251.020719979414,250.88879559170874,250.42854309228025,250.650565854764,250.1616282097025,249.96192130441025,250.55413707333,250.067088170313,249.55897023204375,249.12940697208802,249.15122063338626,249.2926320314825,249.5556483222,249.08166110567,248.92417263236348,249.510052386084,249.15319904313702,248.90054709324852,248.832385100115,248.73631942357477,248.527871008202,248.66931473548277,248.74869712121227,248.52057517874402,248.3483439577385,248.25230117107375,248.28567466396925,248.360056791308,248.12109161567625,248.03914030883024,247.9017276989045,248.120043398118,247.8894880372125,247.88102489565026,247.96115979025748,247.84828191598575,247.8242273571455,247.8192067092565,247.606867422457,247.53872217376926,247.50142252511677,247.30135728158248,247.18587192013678,247.2872942289115,247.21319942297123,247.06847644921947,247.26384647179876,247.284340250658,247.059443685084,247.00062434805525,246.89744846860202,246.92689299719225,246.83650481562725,246.8196696238845,246.75758150942977,246.81064239504627,246.67167309679576,246.56212767353176,246.48837280480575,246.3471157248525,246.34100173388174,246.15743101691174,246.0349583635625,245.964854629615,245.86540476000476,245.730907907801,245.57001657297127,245.427131542301
90,304.96883699777754,292.4395539973523,280.484362173949,272.70809471196236,268.3222507179308,266.7503839196642,263.9983670961789,263.6160957131715,261.0811258569908,262.1301839679019,259.5595255116248,261.2674768288739,260.22578562410916,259.2248340316815,259.0318261884596,257.31412536524823,257.68847305464516,256.47572151100144,257.44615414124127,255.8002061926579,255.9653142635392,255.357731585827,254.6777914947396,254.2133095666074,254.7209686350503,254.455343080311,254.5349071898454,253.8922923193263,253.2219609949667,253.2076076164351,253.11040092921,253.3849115899982,252.9837295833662,252.4858046804291,252.73006651052648,252.66641432099988,251.946884828694,251.910886534911,251.8259039441601,251.472840551898,251.5790139000922,251.5237345081355,251.2391673656704,250.9302579306532,250.98244023377262,250.9083147584114,250.9444074849464,250.5788655087369,250.2927023099944,250.2501428701483,250.1566344099982,250.038307622964,250.062675217411,249.9976470836271,249.8805245637589,249.7398585514894,249.50300850610358,249.1364736779192,249.33099583395781,248.8753932859372,248.9675992672241,248.8028599366582,248.70468195387892,248.728961305178,248.5401025556954,248.50890963276692,248.51955838318992,248.1829861386052,248.1316433266424,247.95471422599792,247.96238186061012,247.87282193270772,247.6990450895586,247.60403317035272,247.4616853152763,247.31554070518482,247.13193812472372,246.9993618848294,246.87802637532158,246.8054694816021,246.5923048789726,246.392460317244,246.2756165103435,246.1227921984511,245.9437515714352,245.75872117788282,245.5116189030435
