,mntd10,mntd15,mntd20,mntd25,mntd30,mntd35,mntd40,mntd45,mntd50,mntd55,mntd60,mntd65,mntd70,mntd75,mntd80,mntd85,mntd90,mntd95,mntd100,mntd105,mntd110,mntd115,mntd120,mntd125,mntd130,mntd135,mntd140,mntd145,mntd150,mntd155,mntd160,mntd165,mntd170,mntd175,mntd180,mntd185,mntd190,mntd195,mntd200,mntd205,mntd210,mntd215,mntd220,mntd225,mntd230,mntd235,mntd240,mntd245,mntd250,mntd255,mntd260,mntd265,mntd270,mntd275,mntd280,mntd285,mntd290,mntd295,mntd300,mntd305,mntd310,mntd315,mntd320,mntd325,mntd330,mntd335,mntd340,mntd345,mntd350,mntd355,mntd360,mntd365,mntd370,mntd375,mntd380,mntd385,mntd390,mntd395,mntd400,mntd405,mntd410,mntd415,mntd420,mntd425,mntd430,mntd435,mntd440,mntd445,mntd450,mntd455,mntd460,mntd465,mntd470,mntd475,mntd480,mntd485,mntd490,mntd495,mntd500,mntd505
0.5,90.35108667499999,91.457000385,89.605002624,92.7242150398,89.07674489851414,88.4237143708998,82.03350548541782,83.68086995500003,84.49339811998401,81.7000036050909,81.89407016138013,78.8866668899715,77.79144920767072,76.88186766580003,76.68628374425874,75.04473876412304,74.26372672379556,71.60774219471897,71.97924973346622,71.96193006989806,71.76413911877593,71.40171417662586,70.72676146749524,69.26467527739992,67.95483175398594,67.35471655440963,66.60506594387866,65.96839261072353,64.66010375605387,64.97990884182673,64.95864558479862,64.32276927382098,63.246046472302616,63.157084979148166,63.835072662022014,61.3372436815615,62.001129434457376,62.194149857037424,61.478613063498564,60.73777798213316,61.45701678840714,60.02435310831789,59.9750713190199,60.41002549648287,60.01259801821947,58.93136856197906,59.30088599779349,58.82702735496393,57.97297680683748,57.64565903026581,57.64936308638725,57.133934499379215,56.99704970761789,56.68022539659738,56.922790976199195,56.36519863570628,56.83465024496694,55.9406685051471,56.126191130089694,55.929501166721046,55.273821837980144,54.991754186335825,55.237988453684736,55.10498499050833,54.51392148095946,54.25877679269432,54.38916384443669,54.06063218072984,53.72906787633657,54.14186088969476,53.2319418852292,53.25518142950194,52.898624199303335,53.085524546376625,52.23809766573792,52.70727971233639,52.49505209627074,52.406885374514346,52.401546106298305,52.379335021014825,51.898726977288725,51.82552300769961,51.77595030024068,51.968058744438416,52.02389583283789,51.49389204757352,51.31904446212523,51.71191125620652,50.982999909391225,51.40668091913855,51.46289852544418,51.27565185471329,51.135519709684885,51.0858310576122,51.054725571255865,51.13797884173159,51.26388394065041,51.21236632396059,51.32230151321,51.7110092913861
1,94.935011083047,98.75788549987666,93.6995125474075,99.5614190584452,91.74446914933334,91.05162858825928,84.97414384625,86.33423342644447,85.969577972376,83.19388387672124,84.49257777474004,80.41073895042874,79.93739161989295,79.65360710048333,78.034799515,76.74489266833432,75.95356773995928,73.29368170162687,74.9657702375891,73.9097092621923,72.9023451793468,72.1628921862253,71.76836972861406,70.12070895047465,68.3630145543815,68.49400718349274,68.03378546605644,66.96709876558869,67.01965296776707,67.0169131957404,65.98652346551063,65.33801580156664,64.61558752199466,63.92416052510854,64.46431690714437,62.94877761850658,63.25159648329193,62.652456736067556,62.46467320088665,61.249405633139496,61.993957975320434,61.594838517066876,60.541430426646755,61.00629326516174,60.455048821699734,59.87394360336767,59.97395563012224,59.653713615486396,58.77620169850252,58.05251427366198,58.33710162240841,57.6495830679199,57.582706113013025,57.27807452303882,57.341274775200695,56.916775383767174,57.07719156621655,56.61454158493689,56.4984920610802,56.34304770766363,55.7290047750368,55.38390557782346,55.591332614149096,55.46731497159122,54.717575223575395,54.72827662377736,54.660724478779905,54.43655434756569,54.11428596740806,54.420557714348895,53.97190369922598,53.532483112926364,53.42964308438256,53.44399554937247,53.01339211194741,53.14580935126638,52.84700784002023,52.81604128877742,52.68061416309141,52.59216349884269,52.32228896676901,52.49070898200003,52.04739804442192,52.032573710351464,52.2262370013931,51.94583639984915,51.67660931829955,51.81223014502539,51.34527439674769,51.570466369910825,51.675463084654226,51.43960256566574,51.33927676333274,51.341038894343285,51.27623273106882,51.23445147373196,51.4247843741428,51.36484120416162,51.4042821462868,51.727159635267284
1.5,98.89591988449999,101.843391788,98.29795250149999,101.4463183422945,93.79442183643,93.80765445734569,87.99015111715501,88.83879927273667,87.522998355138,84.78508492089134,85.14073219585956,80.96663106123883,81.6482949125976,81.03271751396791,78.80172317166475,77.90034583844759,76.60129125488324,75.03308551588415,75.82304464591961,74.59596708988667,74.03000690054674,72.95610835085219,72.27663591471693,71.07492583649197,70.56693365297191,68.9916506280495,68.80768127433072,67.38806036625314,68.17170464358595,67.66978220767358,66.44372878362556,65.76665515181902,65.68312839866284,64.41313696829732,64.72956954897074,64.05124672750947,63.54743311420625,63.29048943752446,62.93724321010372,62.07460574835885,62.32376626253705,61.9006763880068,61.18566714535541,61.16509922713313,60.76254558621593,60.44821241854533,60.232912617319606,59.93199771220205,59.31791243834799,58.72604289805427,58.904768983414286,57.9793440684817,58.03107942564165,57.76650822242286,57.888815554477205,57.28711293697942,57.54100733647327,56.85851440902816,56.844451861405126,56.570916045920306,56.15877389654553,56.12410203901801,56.01633399285509,55.730493203870736,55.349015885814026,54.98639003283454,55.00010827219437,54.65784178861045,54.296841531415154,54.62253421204338,54.21059589909561,54.11173739221053,53.81076831756715,53.82504719289296,53.2700028717858,53.39840689293968,53.10905354194128,53.102108866841434,52.830639423503726,52.80896768534266,52.57369053304631,52.59202269043927,52.313184960984984,52.17564553490836,52.3570855323655,52.19255627998847,52.00286918911044,51.886499966763,51.61389898731353,51.729533580152406,51.73046619291074,51.602019707108475,51.464733281544376,51.55064588558363,51.43365174261256,51.305444974371085,51.508550265012545,51.4599748537879,51.45633612075,51.7630328062376
2,102.039819792,104.16164598666634,100.5902814084185,103.360640960528,95.5711852255133,96.7674794662857,89.581540900765,89.9905803213955,89.25076360992,87.2717352542178,85.6950178030867,82.52742065589327,82.62738395711538,81.68691145451096,79.4023799773075,79.2879421866391,77.29228000296375,75.78183967752003,76.2447028083034,75.13761260375195,74.22316635195274,73.30817114517158,72.47410895760089,71.45967410387016,71.09966786130059,70.24314062715871,69.62747023572345,68.28436668173968,68.56533390754329,68.12465201358991,66.8781674360182,66.07129862408081,66.17062577584507,64.94074388847712,65.14564863478552,64.16532930792805,64.11723062416328,64.03032342388366,63.20545909907845,62.36485900547015,62.815349633253064,62.21471804007582,61.99899434459325,61.4322404926412,61.199957451334306,60.645615592498416,60.496623348725116,60.305463701336805,60.01404008068844,59.20800452020099,59.11237396226527,58.18791406920691,58.436528230357446,58.194787124199415,58.023532777064055,57.62087554291423,57.69350239432092,57.11683380308921,57.098786839161995,56.73269461465251,56.570927930750244,56.432217547327795,56.36716484674563,55.98497813412622,55.70304195728007,55.24102643533688,55.1012003368651,54.847571564315494,54.57912822866179,54.70874378557941,54.37126610698977,54.36331684601809,53.974530975850655,54.01300870867773,53.55783349623965,53.5441106009385,53.36778415319335,53.29607512192247,52.982295986429946,52.94716047838917,52.849739756966834,52.766197689528155,52.40974812739778,52.29637989095491,52.44670444129872,52.28885337030249,52.116972694289565,52.156316984455025,51.84781257293555,51.791577192834005,51.86933653687399,51.61213932079569,51.64040370155811,51.57486726574262,51.481555189372465,51.37811496984564,51.589586441004045,51.54745053418102,51.58298948174,51.816053629802
2.5,107.3277003725,105.58308205306635,103.056996345,104.50368513046,96.43969915692495,97.97002145501887,90.99645702201875,91.25738763055557,90.30259621042,88.47564326001526,86.47384955788336,83.13446954384617,83.5397982260432,82.73481068075769,79.88567811058749,79.78266126137517,78.15126755940415,76.30861719156779,77.12982159188024,75.59281040479284,74.8759042581465,74.00906830347684,72.86802510311145,71.6940353035572,71.31824729447652,70.80627849303386,70.09900068662868,68.80138613164532,69.06011430446287,68.87864385659668,67.37829594145218,66.55868377713647,66.3628356169132,65.52758133587363,65.4577626641774,64.41655801282607,64.4532883214762,64.55738046677106,63.84091801072544,62.71769452660552,63.33051557496432,62.49655557205575,62.194221121337016,61.65711855721423,61.3501507757248,60.838414037535635,60.65112134379365,60.71068195268463,60.303028502447546,59.50959589822691,59.35622940341073,58.57507424195508,58.5540884791396,58.35305100540714,58.11859565700844,57.96121830259648,57.899685250399,57.298557735475626,57.33127216003178,56.902958251051594,56.901928974211934,56.48577583586092,56.55402047425629,56.19517760847908,55.895215952420294,55.55320258740373,55.36175252069203,54.93520776204847,54.7308915562342,55.00356743619229,54.53893891924187,54.47312366511738,54.27354839469033,54.32767330391017,53.7307889133584,53.68427074487812,53.51066003498833,53.422513335296784,53.07054662680564,53.13369622743262,52.94087200625774,52.963255970074975,52.590546895893766,52.41117941271408,52.51070515033848,52.37735530842783,52.21788216214435,52.31184376583026,51.917814761361356,51.9217634334343,51.89773131790395,51.72801317947008,51.705188382491635,51.63305708332325,51.52888434000451,51.441081681903526,51.59629300104875,51.61543370211615,51.6521857101,51.8378829884158
5,117.93594261000001,112.29228243333364,110.488572325,108.36808079224,101.899515286667,102.69885586428545,95.1024212658475,94.58918304943558,93.57409629994001,92.10400814211361,89.350254405,86.91348769876917,86.26398454602429,84.95584715767164,82.51410318348624,82.55316262580494,80.42431576305668,78.88626602635524,79.2993739258665,77.77239656384758,76.74535078259547,75.59431235340865,74.48444561326083,73.4925515260512,73.08214668530925,72.22319779721427,71.40451224438804,70.89771642662534,70.44645251943237,70.18341758875866,68.85716908672126,67.8434110906667,67.64539039197645,66.8977332992663,66.71245269761663,65.76783937272282,65.69021665297771,65.71289071813906,64.78116112581,64.32610475624614,64.47014002861422,63.59229005305629,63.08098757201456,62.43392619301283,62.2959828879059,61.917070849619996,61.568105526245716,61.355118392909866,60.9666128899186,60.55282714664067,60.31032599256389,59.62927509358128,59.390517129728195,59.05381684863372,58.968216186049105,58.62685288156923,58.56616047358834,58.09319128482899,57.98512513380947,57.70105769906655,57.44905437404837,57.284741262780194,57.110503225801914,56.87682163426533,56.53620568491445,56.113776667064215,55.97470765792359,55.78823416834721,55.416118438027006,55.626576616413544,55.21575381964466,55.030130837681654,54.69357653159408,54.7862405599689,54.37202106047571,54.33950392104419,53.95983783890951,53.872845883771625,53.71405363731,53.48781136696422,53.41405544257772,53.36963600364841,53.20217818001189,52.864880840135896,52.97199158301394,52.641054826044225,52.58427452720894,52.55297148797277,52.3312968517314,52.21082103759837,52.247558094845225,52.06086745376914,52.05251438728897,51.89920410788357,51.81590079938541,51.721183258204775,51.77485984373198,51.76023400060604,51.76640677,51.91059018137054
10,128.36917943,120.9506407333336,117.1272811754125,114.65436526,108.5632345855997,107.3036366714286,100.690686314025,99.19647507613335,97.53222505298001,95.86821345650907,92.90625310143334,90.80924665932619,89.58362251245073,87.83902151695197,85.400027329725,85.0314961245017,83.4136208179111,82.14314322477892,81.34016096464501,79.95451556772285,79.35533827621086,77.65396590793698,77.157721560775,75.954946069874,74.68914952363919,74.49262857107634,73.40860158182217,72.75987052089452,72.38723338645471,71.55906918683614,70.65921014509064,69.40852947945213,69.26028597889002,68.84725190994203,68.25775347990941,67.32816548756482,67.1593163685545,66.90627292467515,66.040196327264,65.80056233194588,65.55855740665068,65.0775709655393,64.2796090037027,63.8450731811404,63.76649102349043,62.946960399148075,62.70638295387497,62.281271384706514,61.9339621729736,61.46882157008549,61.16769713996902,60.86859635395071,60.48243397319889,60.16787580690729,59.99419286735231,59.630428578058556,59.4984256143462,59.00741138879257,58.79348287405547,58.53477281887163,58.34906892948193,57.908110268309514,57.74120725970048,57.77038391666368,57.37893159071981,56.89369546747041,56.70983880322644,56.63029369147348,56.08159268483199,56.23273652856295,55.95364558815055,55.71748024990026,55.41306911208246,55.387355783016126,54.94818072436987,54.951656557567496,54.600508949713884,54.4918708035827,54.283791715679335,53.92685491313654,53.96832179165893,53.829384960110836,53.62015738271404,53.3342558673747,53.37167001352558,53.04675226193824,53.059425032889,52.976784893744345,52.651178291444396,52.70970671120063,52.52318022996279,52.44413210232427,52.35857461073182,52.217953178131076,52.0979837759243,51.99585164010305,51.99246289062776,51.956163963959625,51.9054262187,52.0057970022772
25,149.75303739999998,136.82037630620025,129.970938377875,125.27232982686,119.141517967558,114.72893269021401,110.4533821375,107.57140768277225,104.7932274498,102.0211220972795,99.47280351075,96.64344534653847,94.85795886162146,92.43494307421835,91.19718560075313,89.96533970411323,88.31022023946667,86.7084363508421,85.5712711962,84.07003506280947,83.18461621048525,81.5846396869739,80.83019584865625,79.367207762919,78.29545282826923,77.36521806151386,76.76318929556963,75.98962597880518,75.27564586964418,74.44158504367743,73.3915994241016,72.29713863736664,71.97960561195146,71.43265954717353,70.6924529109347,69.97631115497163,69.4512964880553,69.12408937928525,68.39685765112874,67.93079720167074,67.41135176236665,67.29561639625175,66.311069633004,65.83702785015052,65.51827380028747,64.97490366934468,64.58966610655989,64.09515945412042,63.739196455685,63.23935663884995,62.788702109713,62.62219770172212,62.1222523959926,61.799675589750024,61.5247054573504,61.2847237863224,60.931671931812474,60.4249762758746,60.305178600931676,59.982537244486075,59.75604945076735,59.36503921838332,59.15229534823087,58.94375096170535,58.60371893140305,58.27152224166042,57.9447479085198,57.85874124812285,57.52123390868998,57.2620671638813,57.0567846923406,56.85487101337807,56.50451063764732,56.255590357102996,56.02676341977003,55.94129747008865,55.62787628962117,55.43562292855945,55.21996773432745,54.976883145788875,54.855914484445094,54.645252575536446,54.509719411742225,54.26541061498148,54.1557040153038,53.889113488189096,53.75284726632187,53.61422330546293,53.40630738000698,53.31105731813245,53.1365193421739,53.003065737067175,52.8680976521106,52.6969200566316,52.54883240482785,52.45979964016495,52.368388786020425,52.24042690434342,52.1405484543,52.144027810198
75,201.295414625,178.082833026033,163.4610535475,152.08834941538998,144.258895135958,137.282200778189,131.50169881399648,126.5580521103775,121.562413764215,118.29268050922751,114.59677909650026,110.30440639725,107.5152466262855,105.59668006420024,102.677578823641,100.25995041623825,98.75015041373612,96.65408559405788,95.15227506678374,92.98749143942263,91.29640164724545,90.10620662413257,88.8081645455417,86.942803671253,86.00178117051728,85.18094017848149,83.91273731748657,82.63595023786378,82.06303267443498,80.70252898457015,79.66686360457345,79.0186031175235,77.8581185155912,77.1759560079686,76.53503239553677,75.3913347494513,74.81821887029938,74.49908692791283,73.59043555385813,73.00298640361831,72.32485242270769,71.65268637194762,70.89853928913577,70.4106077696822,69.85910010518748,69.2795032914542,68.88021337059061,68.25349670105764,67.7580821591845,67.21772807003727,66.7765233702726,66.46746725583534,65.8929061900278,65.59003114051318,65.08841265156252,64.38324661776663,64.33192140973361,63.77690686817202,63.71226843020543,63.090039578417624,62.76225053530807,62.5038662836809,62.15814323647457,61.63495044052305,61.38748435818482,61.09284679659592,60.887409435895925,60.3463226399808,60.06616854073175,59.913820039632,59.5990132406764,59.276751369374,58.8427092850939,58.475224153783,58.344583513406526,58.040480302013,57.8142505234971,57.451061540023375,57.25849086774967,56.957944915596954,56.6760542351674,56.478665487492776,56.230116141880075,55.91392661242002,55.75929594914243,55.50640690737987,55.34046699013435,55.011884180318006,54.818797160801076,54.60091782709395,54.315621549940474,54.16187206888173,53.92031984885105,53.67286921284367,53.426143674566404,53.254263377628845,53.0560123743954,52.80474319230328,52.534287156299996,52.237456239901
90,228.5939596334,197.1415350594533,178.09678835,165.96200058685602,155.5559883047497,147.82322232772609,139.2438715621188,134.3725719207986,129.37772474222,125.0421429195884,120.6123963093667,116.8240228344941,113.0009352006431,111.6417008295493,108.3147713590819,105.77030174524519,103.1935590711777,100.8667736569044,99.39396069795,96.59527010108575,95.73393182807276,93.97306661105829,92.61633161783413,90.7274092245224,89.30511650283539,88.62565535882219,87.43692641666144,85.95484805008894,84.94737944707333,84.01758624377223,82.58494749591719,81.92686378226155,80.59248131016851,79.75800123557856,79.05771614068115,78.01248884529734,77.29326042373997,76.8536079469972,75.76292608643949,75.32170062993853,74.3055397831971,73.74770175262137,72.81757585211093,72.5816546072344,71.63359842819048,71.22915663201016,71.00618760428705,70.22941943236569,69.50078224542379,68.82791563467981,68.641715511834,67.93704926021927,67.48286204759589,67.19088035938441,66.64551487681575,65.92693320097577,65.68474769564358,65.2880515221988,64.97775954721214,64.75527836580574,64.07346674631982,63.79567276182255,63.515747426127454,62.9084394251008,62.901635011629686,62.28854056416362,62.05409316023086,61.519174900186044,61.17611225954704,60.893126543320534,60.59573801452814,60.2353078082318,59.88737806351484,59.39547946379853,59.34895871800776,59.13924391812204,58.74733670189067,58.283683013209135,57.94317483765138,57.77825142410417,57.53452309116153,57.27771218193045,56.9515732836119,56.66081882988409,56.48087642420256,56.23605834084942,55.998822313673934,55.66481315592516,55.30107678752143,55.19695639031067,54.929874726616625,54.65831299651899,54.385748838340525,54.04411429724811,53.806160869251734,53.57485567919516,53.30599983948975,53.04974759747472,52.678514743499996,52.2612743171287
97.5,255.43205378019996,218.65612431,195.36433231327499,179.95192779536,165.73184220533363,158.907749341714,148.98575575435623,144.4469681419501,138.46056495175,131.37871484538277,128.2711718904848,123.77685519259092,119.0071708126447,117.87678817698833,113.05682419684999,111.71786629581155,108.846328910786,105.69116600995885,104.948444660371,101.1712846338552,100.22254208545614,98.4208214295472,96.5937908637125,94.648910209463,92.15188065989521,92.75492377576977,90.75236689655021,88.82317087260384,88.49638267661,87.27192668561426,85.84312405230281,85.19292763818054,83.36984985076852,82.57554555103111,81.73920045651953,80.55664184300122,79.45712360416803,79.3625711703316,78.14409597081018,77.96912423153351,76.2771884396486,76.17721645772596,74.76677260836347,75.11142367326953,73.4372546857991,73.52221338055242,73.39355531033299,71.92721455093437,71.08899704810969,71.35498810015774,70.30567102556753,69.92451952157849,69.39584550300974,69.00763331652449,68.37020044188137,67.56803183545851,67.11673870109358,66.98925402174858,66.78615422240195,66.36127242720093,65.3762489670736,65.26364443610242,64.91169059388172,64.16143722021121,64.27647895379168,63.63161619359631,63.1915326975915,62.72679798759092,62.18327772277195,61.9767149502058,61.66325588447067,61.203254708311725,60.95003169118987,60.384301424138464,60.548610789489395,59.928631236618564,59.612950428119454,59.275678318487394,58.8641918083893,58.604926551519185,58.34308289352192,57.959502642675176,57.64580245085727,57.436523317942004,57.10738806688565,56.98742295303567,56.660038486771946,56.372369772335354,55.87809333134368,55.788573604505466,55.52136885210285,55.113442618791474,54.861787842326535,54.463048900834764,54.18080829354874,53.90317007556705,53.617848141532235,53.30984199708271,52.79790999185,52.422608099405906
98,259.22683193599994,221.78972684771,197.14769600166,180.767052805552,167.24670388489363,160.83045255873284,149.599018728504,145.22683274713322,139.32330206976718,132.29273938302157,129.80082699918134,124.64315164106469,119.5491042122384,118.5515835680788,113.78984134407212,112.48990491823712,109.39792264332931,106.84251366963251,105.711427780213,102.09339595865266,100.71785001341136,98.94510823932134,97.69727707832419,95.10589617911168,92.88790477773121,93.02513689589314,90.94799691095898,89.29904402503716,89.1839021140502,87.94669561717477,85.9481902085323,85.73400746418571,83.48184309919806,83.14631451461428,82.73291972240663,81.20039507059815,79.7952124569793,79.89925448483147,78.62537698669314,78.24769463592759,76.75251202385377,76.64987663666174,75.1085568704445,75.60291228543561,73.62389371647093,73.70604060161011,73.72906366522069,72.22483521030505,71.48113718234777,71.58513418679954,70.40075779973958,70.12946969587051,69.57262320921566,69.12627467311566,68.49975949870436,68.03811147934329,67.25286926649687,67.07966249391559,66.99649590607403,66.70174978978953,65.72265933917035,65.47338931199533,65.21568821282136,64.28697288319694,64.42904688487882,63.778691970373444,63.269201522219525,62.798162977464486,62.28251314310225,62.146570557496545,61.878019416204694,61.26775779322735,61.11280357632338,60.56629484920317,60.65576356361693,60.08032526909004,59.71443320837239,59.54360275692209,58.954491300662575,58.69184851477213,58.4819598437076,58.01642057144236,57.786492159646514,57.50060948611374,57.2122431925374,57.04360899989152,56.70390818184547,56.41559152010632,55.987959714937844,55.8218693783993,55.55093525578502,55.22353725571839,54.9203457074681,54.55361590361437,54.2388133532292,53.95001084344332,53.64955190789266,53.339185702686905,52.808918023299995,52.4342473686139
