,pd10,pd15,pd20,pd25,pd30,pd35,pd40,pd45,pd50,pd55,pd60,pd65,pd70,pd75,pd80,pd85,pd90,pd95,pd100,pd105,pd110,pd115,pd120,pd125,pd130,pd135,pd140,pd145,pd150,pd155,pd160,pd165,pd170,pd175,pd180,pd185,pd190,pd195,pd200,pd205,pd210,pd215,pd220,pd225,pd230,pd235,pd240,pd245,pd250,pd255,pd260,pd265,pd270,pd275,pd280,pd285,pd290,pd295,pd300,pd305,pd310,pd315,pd320,pd325,pd330,pd335,pd340,pd345,pd350,pd355,pd360,pd365,pd370,pd375,pd380,pd385,pd390,pd395,pd400,pd405,pd410,pd415,pd420,pd425,pd430,pd435,pd440,pd445,pd450,pd455,pd460,pd465,pd470,pd475,pd480,pd485,pd490,pd495,pd500,pd505
0.5,856.5091892749999,1192.56851893,1507.79880498435,1840.06296798,2051.5907338300003,2389.8337416199997,2624.1573163604003,2932.49448116355,3241.9572529395,3429.48106672,3751.4798428757,3958.2094832655503,4232.2865882733,4470.636135805836,4704.2843819788,4921.3550300921,5031.6693157267155,5329.013683352349,5598.7675033652,5766.36363561975,5998.8213058316,6136.757370410065,6366.3625674411,6656.802842587915,6794.3869759058,7015.388688972415,7213.40867744475,7498.914733348565,7576.07077515235,7820.024677350734,7933.10292787185,8161.6282380026505,8358.331772319201,8593.53304260335,8751.872767082965,8984.01346004405,9109.976684886002,9252.504070265451,9450.547235884835,9719.18779959025,9877.888264997266,9995.698592662451,10219.100642149451,10322.64796612805,10439.342003563399,10652.318137841336,10966.8232011867,10919.863550860535,11187.407124133715,11305.43170445715,11499.652655890615,11762.476510406601,11898.41936228845,12019.5087265368,12217.7605654749,12197.72954794575,12474.1107644072,12691.1529024011,12827.015755459699,12921.359296206085,13166.316632190285,13288.016288062765,13573.506648272416,13472.569482569585,13724.7512336538,13850.677814324286,14037.511993015365,14142.104974249285,14410.449599631864,14438.52236396415,14655.09404631445,14825.6234100892,14981.00377130835,15043.171044832434,15323.3706761841,15421.85020210285,15555.115422324587,15737.096096579051,15891.0158561605,15974.90155953065,16220.138289462751,16412.9669630237,16507.65138140415,16717.723161005735,16799.433558665653,16958.14461507925,17087.2789718668,17316.156580597464,17427.02123720645,17565.3075664963,17707.1546224097,17859.73029726325,18002.287488031652,18168.0749228615,18376.473929927,18538.824325486235,18688.269630602,18874.9509658465,19077.668719017,19335.918476687
1,889.88316932,1234.8502398734001,1562.5826813523001,1857.0937923899999,2114.29643454,2426.55736596,2758.78994916,2974.3304102187,3272.18949089,3484.1332999966,3811.2734448853003,4051.21301352157,4283.09507787,4528.4427615911,4766.882632056,4943.43137716,5177.1618821574,5431.78502302027,5623.264665938799,5810.2597450214,6092.170554611301,6260.636677207101,6441.064888122,6714.8124725859,6879.5700380023,7100.2028483094,7344.4187114281,7581.6768378065,7608.3488654077,7873.843577682431,8022.965161609301,8253.6192923251,8412.4662732576,8691.95139854933,8848.974150782831,9070.22579799327,9177.6871028,9356.72500738253,9484.8980949775,9772.18103521193,9944.3333090642,10070.461661214571,10259.4124230777,10403.595456264571,10559.7810136954,10716.1208806422,11000.023402583,11096.62501302277,11284.43461309563,11403.25537325277,11596.750618623271,11802.5829226001,11959.4910456851,12059.11388594697,12302.04132141443,12299.3767088174,12569.9459505511,12752.260003733229,12925.56375103367,12984.3584031189,13209.77727971823,13368.061712194,13598.7268073449,13544.9665355384,13790.83224611497,13938.12308931077,14140.959932723701,14225.6556541332,14469.76885680763,14535.782435128871,14768.1331007501,14880.87563948093,15063.5391223247,15125.6648676592,15374.985360590701,15451.5808814354,15630.7920553048,15823.2278463603,15956.7687270526,16035.2932088973,16244.762846343901,16464.56793755377,16561.2468573407,16757.433110683698,16848.3971245866,17020.895737661398,17160.44960855057,17354.697251635,17462.8898887513,17630.5375617833,17746.343839217,17918.825877016498,18048.9710386114,18203.16738249687,18415.6517440622,18552.628226187,18719.7428393857,18901.406742397,19102.823602857,19349.054420687
1.5,916.13530526,1244.30544049525,1586.5320123443498,1890.03678911,2158.27009403695,2470.5335060716,2777.1808733492503,3010.5744998299,3300.573972975,3549.91588768935,3846.0713665900003,4085.7994748400997,4327.33788119625,4551.30307910835,4788.11124803495,5016.143507096401,5231.02593183575,5474.22731004685,5687.066671593499,5840.64500918655,6119.5495644867,6342.340765398755,6502.79984059065,6740.21076058875,6954.3734433095,7143.314503674795,7384.243618243995,7607.579230378756,7750.811089618405,7909.84778218435,8056.6154450031,8295.245996271899,8451.426024426204,8709.894988326705,8888.259481274501,9101.439952669549,9242.966772367701,9432.109231966546,9553.418057472396,9807.5060444559,9986.436528413,10120.043317204005,10359.873547992205,10438.442196406446,10617.568947913205,10799.9226413431,11039.275366823746,11147.867017701556,11319.66337513265,11453.457465502544,11631.612149911149,11850.003979047155,11991.413428657399,12132.950332029699,12350.876236414044,12398.280574187054,12614.670279484551,12792.099048538055,12946.3089514536,13071.8711108199,13281.36923761175,13440.92019221705,13623.825363456699,13627.662498648595,13837.574685359355,13989.738377958549,14166.484138771399,14267.0724759172,14513.1275841038,14671.183792753855,14781.5756696969,14938.357345108,15103.461086936499,15216.021313202145,15412.318306704356,15520.6028304469,15682.354749727101,15834.786358632999,15985.26929545085,16116.660852077599,16288.289948203095,16476.467069194,16618.7271736663,16805.20270688515,16896.26410270585,17041.51473444719,17202.59565673145,17391.53868915845,17520.0561284292,17667.772729751898,17789.71743974345,17968.9108196235,18069.627613055553,18235.6515003645,18436.5096624455,18593.07559329505,18748.969042422,18934.235289202,19137.849362032,19362.442181587
2,940.9928639,1267.3153599512002,1605.5475899268,1913.8930080599998,2169.3082158132,2518.3873228857997,2802.89426706,3044.6132248828,3319.5012697878,3585.4049797706,3894.8207526888,4105.4954993,4355.2146460746,4568.454323013199,4819.5942882056,5061.79608495726,5309.1993540102,5521.208935658799,5697.110913249339,5900.2886180782,6153.3712197174,6372.769151874,6548.928278914461,6791.9768811638005,6970.19331581754,7173.6667494292005,7416.4255080354,7668.2839701222,7803.78884663454,7946.4561046546005,8130.8291140954,8350.3488390966,8545.9476500392,8779.374789297859,8900.68350866526,9146.678170655941,9283.19783642526,9490.77487908794,9629.07206694594,9868.270967438259,10039.137976527001,10146.77228264174,10376.629796530999,10458.734675858,10676.2743590012,10842.593724090339,11063.143425676659,11169.55007174986,11356.0193516982,11465.98787044674,11674.86092253546,11897.05540271066,12021.3385838136,12159.944628187339,12369.9652066838,12430.9431015196,12638.9214297116,12849.260644205,12962.139201564341,13141.635650042399,13334.838615037399,13448.281704221,13653.456145857861,13692.47090967474,13874.529127895861,14042.949137225,14197.918567656,14299.42421394074,14552.3735373128,14689.3214328512,14828.5843150098,15008.36601447046,15127.332915997,15237.5040905776,15432.539685476939,15538.470914257001,15730.502066956598,15874.5083128024,16046.1357429878,16181.3053767876,16313.034483760799,16511.5223598476,16651.094917792543,16832.76714694354,16925.619762364142,17081.20802816,17230.95673695574,17404.3304932556,17564.215862269197,17704.933625678663,17808.991200245,17991.147584909002,18101.2583321566,18278.970613167,18468.1468802766,18607.664653276603,18761.148677267,18954.168039987,19144.790523249598,19367.954093687
2.5,948.931759975,1279.0712953134998,1619.8469998,1937.0209457775,2196.8585798500003,2535.9134271152498,2829.9860409000003,3076.22364036475,3333.3724530802497,3612.8831484340003,3927.1366520972497,4149.48295063975,4385.975771382,4592.874050610675,4845.512247747075,5093.960015422675,5344.315660014425,5547.353481706825,5753.1017054035,5938.9235342745,6159.187181536499,6407.86122345075,6593.82362930575,6819.202991667175,7009.429524280425,7216.979371030326,7470.12732354925,7688.180634169,7839.844073540249,7968.09502270425,8202.67219566275,8377.5129319965,8571.667893507249,8813.163360843251,8953.475929562925,9176.746515380426,9320.227333385325,9511.96646620825,9670.17871326725,9896.786453948,10056.23714778875,10184.724041614825,10399.85209870225,10484.1559313225,10714.762524052676,10870.372389121425,11083.421695353425,11207.27581863825,11399.870374403501,11536.744094435251,11692.856087499074,11913.667336854425,12043.573781332925,12204.439220351576,12388.81676082625,12473.21755324375,12686.924510167175,12865.438362364574,12990.206868503825,13169.557954562424,13363.483689621251,13482.924298520074,13663.507405141576,13740.99107520775,13921.0314132255,14066.820710171674,14233.760983405426,14327.51604935625,14570.77619907325,14709.841575299924,14869.611701002425,15044.892888600425,15168.15357749675,15302.008270221751,15445.5670519345,15558.738714485,15756.57495927775,15908.354053391675,16081.784041092,16225.29804853125,16355.183576001824,16539.8565767705,16671.43480046,16847.41715764625,16974.914461310174,17093.616871352002,17255.47128113175,17430.9025525375,17584.1993307025,17713.29633923875,17840.78679428325,18003.30555578975,18114.361048812,18330.166267857,18475.53044810675,18633.298499987,18786.681131437,18966.50401911525,19155.408092762,19371.006695162003
5,992.11238625,1342.8545862995,1673.89243247,2014.60140796915,2259.82083657685,2613.570438182,2890.54308627565,3186.2059729264997,3429.2018401170003,3693.62440215,4008.0230998879997,4246.3287648754995,4442.91602660835,4713.629488168151,4958.86518427815,5185.705043092999,5431.087435066001,5654.544579028,5845.6757661804995,6050.42946760785,6279.693521735,6501.175040745001,6694.524415088999,6919.239519536,7130.3407395945005,7337.373239860651,7565.7438910055,7784.291880381001,7925.952794240499,8087.440307440351,8310.9541535475,8492.8379187165,8684.01986072165,8906.790585364352,9055.11751836,9287.9620906655,9431.45543750635,9609.4255373965,9764.87607171985,9998.88210561665,10137.29874587485,10282.24256637985,10476.148926047501,10624.800795338151,10818.411920170649,11026.232136906,11182.00303143665,11293.855670909,11474.45583738685,11637.0770907085,11779.76260041665,12023.8362047545,12160.717810373852,12323.33549482985,12465.06872113415,12576.18401822435,12808.569922426499,12957.61277585415,13099.938104316,13309.56550753585,13451.706582025648,13566.159692119501,13758.23219902685,13849.1478854715,14041.375181782,14187.58996344615,14329.3055324815,14460.411476931,14678.0649066825,14822.40872421765,14977.66674200835,15111.2251478535,15257.82942506365,15439.32919852685,15526.79347416,15714.6290790975,15846.45223294915,15987.299473376499,16183.317469689498,16309.978990059,16460.5534971505,16593.2301030275,16761.37242059065,16918.042616881998,17045.1972744905,17196.459909431,17324.2141606865,17501.08834383265,17640.8199291315,17794.900684584998,17913.6044578435,18061.008063037,18183.038993084498,18377.898340981,18539.363316787,18691.3329573135,18857.7114398805,19012.181788587,19199.321166186997,19386.312663318502
10,1053.2118768,1411.2641503999998,1754.576738317,2102.3489864,2366.8376979890004,2717.0250619086996,2977.2533463877003,3280.3091498,3516.1829203740003,3808.777718617,4096.602276735301,4325.8787162127,4575.5036034817,4821.946080886,5067.831546044001,5306.89944251,5531.752635662,5763.802454427,5976.879347111,6178.5299890657,6408.845732112,6628.208794029,6837.399594196299,7053.6090681747,7281.162308436001,7469.42828662,7681.259352387,7905.984465118,8054.6417534057,8227.390830104,8423.376214328699,8614.595611973999,8842.824137964,9013.1819665387,9198.040949922,9393.055317069,9563.148966770299,9747.324916740701,9906.5536877097,10097.6135632483,10263.5641940723,10414.7713208747,10633.2977234397,10758.8278881757,10957.0541818053,11136.389669389,11276.843680531,11433.6490898297,11628.0160849857,11766.212135527701,11917.636470481,12122.768417014,12283.6420860337,12445.5409194743,12577.8210136737,12714.6028527377,12913.206024,13071.848269328,13222.4477977863,13394.555879931,13561.873534021,13688.5730153257,13859.713419973701,13980.3638527897,14152.775724105,14332.1310706437,14463.0456060607,14604.870985002,14797.749337296,14911.360453316001,15087.977070093999,15243.3282526477,15367.254812232,15540.052295391,15645.032981719,15819.231232884,15951.500524742,16100.515030654,16288.307509387001,16414.728793353,16560.7762407333,16703.030741814,16847.8358977607,16995.2820561183,17133.1110619183,17293.387940356,17421.764437967002,17574.723109500002,17728.897016987,17867.7857328313,18000.723197887,18144.300888132002,18287.8840504,18443.280473487,18601.541383670003,18756.011179587,18899.324641887,19059.113762297,19226.990969483,19410.801143587
25,1142.22266975,1526.018752755,1881.753619715,2218.43567458,2518.706974255,2872.2156233075,3145.12016903,3464.04637425,3723.4070355950003,3994.46820723,4303.69198142,4515.160156965,4777.77942933,5006.05721947,5285.29436003925,5496.615522872749,5724.8212693925,5976.70846231675,6179.887837725,6419.214445835,6645.8417736875,6846.552663572,7072.14110486525,7241.82691332525,7467.57925026025,7669.059073925,7874.99465540175,8086.2926056675,8249.6773843725,8450.95654664425,8640.485573285001,8857.7177565625,9039.33093734925,9228.255893155001,9415.73406878275,9611.999248035001,9743.59555293675,9962.4063372875,10115.55815866675,10309.42982719,10464.250014127501,10624.22795494425,10840.7846172845,10974.6462859245,11150.42170346,11329.88365133525,11499.379911739501,11668.92807935925,11852.05242401775,12018.23436518275,12135.997918807,12327.214347520001,12488.94178082425,12642.63214812675,12788.68941544025,12961.841316682,13114.8124443095,13276.014046772,13456.52505636,13592.52991992925,13775.119304230251,13914.63325898925,14073.77431384275,14214.928183382,14353.7376795025,14505.652193012,14648.504998176999,14810.2041894695,14977.96133391675,15109.445734850251,15265.374048857,15410.703410102,15555.232306797001,15715.72801696925,15836.8216219995,15993.20837447025,16140.062672906999,16268.444126227001,16452.37420141275,16579.71966874275,16718.116666904498,16861.5415000395,16998.884269327,17146.139253117,17277.7450149895,17422.784472187,17576.494136916997,17706.77894378175,17863.6278569045,17994.763554562,18129.682890922,18267.226492526752,18402.119836067,18555.482105937,18702.650707937,18842.126191557,18981.124969472,19131.626812187,19277.659109937,19434.804348687
75,1313.2508194225002,1777.42396675,2170.05700975,2549.8189774675,2875.972176335,3226.56354865,3504.8422833474997,3842.6904987375,4108.52963025,4391.199373645,4700.495659,4948.818937315,5213.62221920525,5420.9717792374995,5725.9496074075,5955.3243650224995,6182.77028611,6418.01658520425,6641.16022987275,6863.20571088,7112.731356425,7340.93735419675,7524.281994415,7725.44245057775,7932.95628038775,8144.6067504575,8341.56947215275,8533.6737980625,8696.0564589275,8905.04585544425,9120.94854418525,9329.241272661751,9516.00425528925,9699.5977026875,9884.92969655425,10095.33838599275,10232.21247813175,10431.052935085248,10593.583098969999,10776.97903148525,10955.72768103425,11100.6148867795,11330.659126345,11454.7029676695,11635.6441031875,11789.48333360525,11975.293044709251,12142.453633025001,12329.21605733025,12464.73824315175,12616.9123708795,12802.61392100925,12964.92430070775,13118.200167462,13285.352919987748,13442.2168825345,13589.9063251875,13742.00742862675,13887.93144198925,14032.309172082001,14226.3677527695,14364.4204220595,14499.540885310249,14647.078957811751,14791.583748711999,14949.137682597498,15073.43602399275,15253.15531203425,15381.458342384249,15537.200210984502,15695.100749474499,15809.090396395,15944.9541698345,16086.809028817499,16253.712502426752,16349.053998977,16517.47296158525,16623.2370618395,16804.120723077,16955.3272339295,17060.8353971745,17183.5638846195,17341.367916514253,17473.666786704252,17623.602374047,17717.60349839675,17860.632561517,17997.110952297,18112.3029123945,18243.157903187,18372.728643617,18503.537508437003,18629.1646108445,18759.4491720945,18887.988803252003,19008.107456437,19129.4744837195,19254.796588579502,19360.159492687002,19461.751790687
90,1402.5521716399999,1894.7982704,2305.9852341,2675.590093416,3039.8035615999997,3384.2232641,3661.36029529,4009.5371746,4278.876593551,4572.993228657,4891.289940149,5136.688630973001,5382.00630465,5628.6720165007,5901.750258500299,6154.8671438312995,6373.317120596,6608.506187893,6822.3119587817,7060.965584656,7308.609986898001,7537.5680851342995,7702.145211089,7945.090264253,8138.6611889293,8365.8051960887,8567.9926912863,8748.303754437,8922.037328071001,9114.4853423967,9320.8102462017,9545.9833977043,9741.733943492001,9934.135151770999,10097.009896628,10316.740810728701,10421.218455175,10658.364957567,10805.800370156001,10994.389343263,11163.224616859,11318.0904026353,11522.386691560001,11676.0371023923,11843.41717262,12002.006185408,12194.3447652267,12346.2013987703,12506.9368954283,12667.462535097,12797.258389246299,13005.759041977,13179.8954881953,13345.8377878147,13491.8103882543,13624.296653068,13787.4154672443,13934.7353504877,14113.284997596,14258.642799860001,14407.0725327117,14549.0039691693,14693.662578333,14842.881035681,14974.48405341,15120.4889889263,15264.78049408,15418.232006746699,15548.701522642,15711.3305884657,15867.132439052999,15981.1511949273,16110.125571747001,16255.747703327,16401.9844830883,16517.143714884,16665.616749455,16793.7467889967,16959.4997580737,17102.3327650797,17206.390147648,17355.671528847703,17490.5831320233,17599.231045953,17741.262262268698,17858.984197155,17991.640526156003,18106.138724300003,18237.841611435,18349.4500025827,18487.878291287,18599.399331217,18725.036390818303,18837.002287687,18962.901590487,19075.534015156,19186.601918018303,19293.184590687,19389.017725087,19466.988310687
