,mntd10,mntd15,mntd20,mntd25,mntd30,mntd35,mntd40,mntd45,mntd50,mntd55,mntd60,mntd65,mntd70,mntd75,mntd80,mntd85,mntd90,mntd95,mntd100,mntd105,mntd110,mntd115,mntd120,mntd125,mntd130,mntd135,mntd140,mntd145,mntd150,mntd155,mntd160,mntd165,mntd170,mntd175,mntd180,mntd185,mntd190,mntd195,mntd200,mntd205,mntd210,mntd215,mntd220,mntd225,mntd230,mntd235,mntd240,mntd245,mntd250,mntd255,mntd260,mntd265,mntd270,mntd275,mntd280,mntd285,mntd290,mntd295,mntd300,mntd305,mntd310,mntd315,mntd320,mntd325,mntd330,mntd335,mntd340,mntd345,mntd350,mntd355,mntd360,mntd365,mntd370,mntd375,mntd380,mntd385,mntd390,mntd395
0.5,82.722490399,86.78594536393001,84.039411902,80.05163382185471,80.93213952050003,82.2016710364286,83.371442546,79.36062709300006,75.85323652460255,75.99143019118183,73.00403499237528,73.54257010039674,71.16349359082524,70.78839292693334,69.90742919050625,71.3648368364706,70.61890835616454,68.13589644605271,67.2153285614185,67.26875931922713,68.1757145670024,67.80016110356551,65.32978878446873,64.68807646494508,64.35465950549862,62.74324608947839,61.805797748457124,63.878563820656524,62.472440675296504,61.74291724700721,61.21393900471834,60.995353605624516,61.40223507251329,60.00091465665011,58.682675353199464,58.84154640078762,58.188369774524986,57.52526946226795,57.88125719554115,57.06526172985591,57.08101997703565,56.84745867889926,55.56691564393819,55.713516239090396,56.11852798610298,55.8433291845594,54.90365316388475,54.83888790676746,54.1906916696521,53.35906450595263,54.03907508192721,53.506052593435264,54.15205057527211,53.050100760915846,53.59822401795838,52.674946468951305,52.876174991628645,52.064749153323866,52.178221534294096,52.33535673535128,51.49380181268349,51.78940372977381,51.35606431072778,51.285374151040884,50.9159527871195,50.86142567121509,50.88596682383861,50.54533953775945,50.44088051633393,50.36038729596051,50.27142555332696,49.907577888524926,50.2459528544757,50.139922780446696,49.657314952081585,49.94904160551022,49.88274405616923,50.14034076857212
1,94.73868662358001,95.56295584370797,88.581637612,89.1367137902212,85.45550394220783,85.16578713457147,85.61447162494875,80.52304580177781,78.51660786322259,78.19022592541268,76.20296583683336,75.31547507090988,73.47142318068703,73.32438164066663,72.48746963768649,72.67099876800074,71.5309376831111,70.30810339594801,68.64835358188681,68.89030554332761,68.9254952891176,68.57268540569349,66.49621936336044,65.61842728862943,65.03187454082901,64.63222175762834,62.919286947814115,64.16116036366344,63.71221712938517,62.734721764705526,62.346780619364395,61.56954913146697,61.76323320738462,60.56791077829267,59.992929746847466,59.259534910514816,58.695131320315596,57.89106580991124,58.5531601778273,57.7348312048461,57.462416815486264,57.76726723520327,57.33798029070685,56.38572173498887,56.62364384688368,56.14031340431905,55.48196842159329,55.70839486408281,54.86752576854848,54.340019622642416,54.4410597274338,54.49600497411798,54.45819228826149,53.63034310654942,53.891814627778416,53.200548486057194,53.18281428915581,52.84050011966923,52.54011689087347,52.622078317151065,52.02569699522446,52.34819523050957,51.45924312582447,51.55932261257188,51.322261999384686,51.15027571362631,51.14756386689129,50.742945119466754,50.85644131417865,50.76205442977927,50.486860828468465,50.31406638983354,50.4569448397686,50.279492820494525,49.902885515844694,50.26761023348308,50.12862051961797,50.2538043221038
1.5,100.58766382249999,99.68246413600001,92.37561926757999,91.23574533966,86.417878872,87.48573080418367,86.63792893025625,81.96568258864247,79.9936905681,79.47744857472695,77.33649553712675,77.79497166712964,74.97548103440216,74.7030208471423,73.726871144625,73.45106671379259,72.59440275540108,70.9504420696316,69.3960957524197,69.6775697608719,69.90340235006454,68.89583748355875,67.34311799901207,66.7930051331872,65.59955380638718,65.25969799629907,64.1049998116728,64.89330160246595,64.2430896282592,63.24311160592153,62.735209404505504,62.33977096502431,62.248754844037144,61.30700699622303,60.54017230945908,59.87093445425408,59.36760795275857,58.92546514717083,59.00756608514456,58.663723278692544,57.86554318174907,57.94378115352791,57.61612382211668,57.15387660091953,56.83813248067493,56.728304949252944,55.72058000027031,55.94638177184846,55.27789253330166,54.86814253849159,54.66504171135473,54.86961262894501,54.91488223958481,53.94682008638809,54.1358945104196,53.54512119740143,53.45452908414858,52.986217425136566,52.89375480379975,52.871854844034395,52.299158348153696,52.55052154961921,51.699698144577226,51.766765609936,51.59289911828051,51.30952139688383,51.45846533076795,50.8831229664295,51.04199657385541,50.876685833580275,50.864152554627196,50.54673578559828,50.630823407606215,50.4209635169941,50.1300370240562,50.39384955789873,50.201066341400036,50.45652954704049
2,102.49728145,102.78514405333334,95.490287827,93.615967156,89.32119822518834,88.72820593200001,87.83645343542226,83.8927553813658,82.2067557652,80.94753915057382,79.3086516298428,79.5313537609312,76.8601444960753,76.15908651497654,74.78164984325663,74.30146406954354,73.43615165846776,72.38686401013182,69.85489653463081,70.74311080568435,70.49534491554572,69.23594180578694,68.14583780931763,67.09565582312655,66.01420559061282,65.61255364636175,64.84797608090021,65.01267420663994,64.59755134564337,63.44892464670359,62.98704508442204,62.71357427604501,62.82269889325413,61.764745200917154,61.24806589906517,60.306048797265774,59.73172243727732,59.621879769022286,59.446307960162756,59.03005152046039,58.814624730151436,58.24178031467323,57.917284935046666,57.85037969362004,57.343736424487815,56.86487254928437,56.24308313532192,56.24639576377567,55.73021096910204,55.23555189418623,54.939215380513836,55.21231096857083,55.17529316171323,54.282031438692705,54.24070332915911,53.69578844858192,53.73279712743476,53.188703204507824,53.16492041935156,53.0669360626428,52.54279393781068,52.69719545248607,51.933174098066544,51.97619106785971,51.817250637441056,51.51278096929371,51.57262113260679,51.00449227646431,51.20973002793178,51.13503547517914,50.97641019844676,50.6378149251504,50.69951192474266,50.484692354035275,50.29645893582738,50.42039843117984,50.29325277977182,50.50338987552147
2.5,105.48670749,103.70844025976635,97.47525115500001,95.521786382,90.74854980166664,89.80552862287608,88.38661705187499,84.397025215,83.2121221095,82.2365047969738,79.97244261125005,80.14541936692302,78.53536490546429,77.30755635849434,75.2296178528125,75.0034523906972,74.17252644385219,72.7449496449126,70.5821323627975,70.88338902870937,70.57254305875094,69.46910551338732,68.55048667748333,67.4594390706146,66.62798844272031,66.48494608382342,65.41280075248245,65.36196168172124,64.90362554454752,64.31778905834487,63.50075839889734,63.03641730049313,62.961724916881245,62.123865879738545,61.43790759368201,60.7552379379664,60.19720409461625,60.09692405482528,59.72657293266637,59.365593060562944,59.08955833226944,58.59326546873615,58.166750347954725,58.08804747905797,57.49367094678072,57.197692152878126,56.36794637587901,56.71689697929898,55.92240675949905,55.369783773549734,55.19042346699676,55.53402963180648,55.26824394444192,54.683695804765,54.46180931324921,53.77944228915757,53.86500463373731,53.35186257376441,53.26377706405033,53.25654550215527,52.737499314912235,52.82923011113489,52.07174042857155,52.192981813285776,51.97593632269382,51.697727565126854,51.66540873037759,51.176516930694945,51.37562714577433,51.25011475019668,51.05050460204028,50.84901594747636,50.81294452695348,50.593233050292,50.4015307802228,50.47722058149292,50.429155132117934,50.536099820825356
5,114.990498985,109.76542571446666,107.017434105725,102.50897634274,98.86223111833337,93.98533640177502,91.534528740125,89.04723756506885,87.578956122736,85.6974718022795,82.90155963464167,83.05705828477693,81.41262354199218,79.42305376747727,78.104903200625,76.76411071206114,75.81670525549053,74.61415273129263,73.12702405795325,72.23231084074283,72.52294519623547,71.36317078637349,70.9169974042708,69.1112846048988,68.33736251175823,68.01826054474739,67.15580134387396,66.79099358233898,66.02373392597234,65.63174883714821,64.8359987479961,64.21994809138315,64.00302168478791,63.588004254079316,62.49964442785124,61.80489503291163,61.663563559353115,61.15513974660208,61.0266676124845,60.41527780608138,60.05267874203654,59.197879492075884,58.8645611248156,58.957085909673424,58.461404116614915,57.95832833247518,57.31664652525122,57.49244191448627,56.7742340521423,56.3182056050395,56.01524408908325,56.131768641504145,55.828557520188916,55.46513734576071,55.08820067269011,54.481488650850864,54.68797737534952,53.99663681715321,53.97276643918312,53.81375289291151,53.33178329620562,53.31699390535091,52.818662449985865,52.65850566572064,52.4439418253633,52.135281652417646,52.092839920444106,51.81390028586664,51.83567385100282,51.57267273995179,51.3868355823136,51.19892090380003,51.22633970168747,50.90824238573597,50.72434159947686,50.71316316584677,50.6960309424385,50.73008622406651
10,126.57096872999999,117.9455182333333,113.15955141,108.52672901628,103.4550820504803,98.02189795999996,97.249040118905,94.21967931934442,91.38494471468499,89.3929808643164,86.89691805054002,86.22202401597073,84.33416130747143,82.16478029664268,80.26037792614562,79.32744564046352,78.4786043630322,76.90157583420574,75.712174584763,75.01356001597283,74.4421418523627,73.76693528164351,72.9407042112433,71.31855023021599,70.34717965366188,69.85790668142592,68.61333555340066,68.49611364045896,67.62620652608832,67.04975262910061,66.1713608396912,65.76437219083215,65.18829834609504,64.8226143233734,63.76744971310446,63.085028996338366,62.91119461385525,62.433641910375364,62.029941645484996,61.67472212210729,61.32355776851144,60.22665324943437,60.346935522802056,60.17352360979313,59.471515980812356,59.02715198486514,58.39644266266729,58.275144364403886,57.822697237933,57.14528289063644,56.93188061155559,56.679950391816966,56.61970730388461,56.2507135302642,55.75441029688393,55.52030426870157,55.321757905413776,54.835059187462896,54.694675783590355,54.43502084918932,53.99122395137857,53.9893572832192,53.4891833504719,53.32139182734861,53.12438110632874,52.77125370625567,52.6336802693232,52.41277818704345,52.35051118742561,52.02684357211313,51.75093627253106,51.63240223172586,51.52514309339674,51.3239744220027,51.16696433752501,51.0199653010156,50.946314974989605,50.904392038863314
25,148.5236995843,135.45451671666677,126.431658796,118.56720159,115.263507608333,108.511598762,105.76836544993125,101.993872522222,98.32286580321251,95.860715412075,93.54803570125,91.70038578173839,90.29149670592322,87.77617992603503,85.4345917779203,83.8522212450279,82.74537005070137,81.64287494461583,79.820147844055,79.0132136870167,78.23709402142727,77.35079782283258,75.91319951673853,74.97322955588099,73.6261438517904,72.85606998315461,72.09228077087408,71.27471876359226,70.65339235558332,69.72962342940161,68.94249175755,68.16510980349392,67.44219283471175,67.24857636301925,66.39286722407917,65.75699625211826,65.07010831627568,64.47961265503714,64.0992476314475,63.6934939076774,63.1496587653333,62.380101474045375,62.14640477406705,61.83705806049558,61.15409567940215,60.82918385952128,60.268753673582275,59.971551264575524,59.528547881636,58.730556130119595,58.60612883732307,58.25048029613683,57.92900845667732,57.55776027829635,57.254155335054875,56.8471560403807,56.628136148775425,56.0744326051157,55.923409511607524,55.42541675803155,55.17512120947423,54.85996096108887,54.4367003901785,54.4824261854888,54.13237239780715,53.760738389179494,53.57390355223418,53.37072370569852,53.10876788203718,52.80574514464929,52.5267965286139,52.34481291968352,52.164262783678055,51.891484453469324,51.61113044618683,51.45145890987273,51.31168599969263,51.1689983019519
75,197.718450475,174.557885211333,159.4734144875,146.445219451,139.54488466118724,131.10037724010377,125.7602050861625,120.2523657235585,115.0270308310025,111.46210799447475,107.81143604097475,104.61285496335776,103.05711484737824,100.055642378,97.4453352044875,95.59518106595,92.80369268339444,91.33693298138813,89.35731470892,87.3280395687143,86.60481249439087,85.2477057808609,83.50923378374586,82.24633165284999,80.76152780354998,80.03566138097776,78.46240313853033,77.56450308555517,76.78776562551502,75.8164991068669,74.85357442102654,74.2419974208697,73.13186882422136,72.33301832397146,71.48321822106806,70.89516803408782,70.40127571614475,69.42748870355447,68.79594740399062,67.93744870440003,67.30860733715235,66.79816432036628,66.07123401375455,65.76950286238667,65.06763291219295,64.43544535174522,63.852243870573396,63.517250859270405,62.886610838851,62.38150668956958,61.91594694290818,61.372396513485825,61.1517133840768,60.58387566826408,60.180124634338426,59.7541991109741,59.274100340861196,58.88055639701648,58.55153527739915,58.048615499430326,57.770668614579,57.2011276268893,56.8045919144488,56.63321779828115,56.17005295237425,55.6616159311545,55.346519660237526,55.1388988135757,54.72924917663502,54.382432029678526,53.99906061750278,53.6861231811945,53.37087037754662,53.08873088543602,52.647303298999674,52.29584318130132,51.940821414233376,51.58358342228105
90,222.55494174026498,191.78606598705298,175.361269225,159.41939550360001,150.708507970795,140.4699296929669,134.63223330385,128.4255583227776,122.540639932213,118.2707918934379,114.90090796718749,110.9796863722892,108.0651791252575,105.3547803591523,102.3281378254281,100.1616103880845,97.40575142543167,94.7630068429947,93.534825537916,91.4534453973024,90.3329730365886,89.48394318476258,86.70146685818915,85.7399575922848,84.22612710868381,83.14771228335182,81.75037560334393,81.03700231115279,79.69835865069037,78.42092558973191,77.47576103791089,76.66709251584787,75.37363292768768,74.58182004935145,74.06100062221385,73.48032705986675,72.46611161968048,71.67025140740795,71.06836506585175,69.92459340232269,69.51980180765953,68.75347287984346,67.86299325284821,67.65501679664243,66.68004368778222,66.29641550278578,65.45562455712088,65.17302022073673,64.4837458460808,63.82984404292965,63.47584988742939,62.82208954702545,62.462794654611855,61.9979518372971,61.46574522400254,60.84378898110124,60.38973613681582,59.98038982771545,59.68203879545497,59.13215340103445,58.742573737056325,58.35467156869045,57.8260793026594,57.53159145879672,57.1668719300367,56.483315447913405,56.20917779731879,55.81561561348116,55.39699612185997,54.99865762211551,54.60143551095413,54.1793022086851,53.91286061518036,53.49403912200264,53.08251510434469,52.668830263524164,52.200438706797414,51.73301746974937
