,mpd10,mpd15,mpd20,mpd25,mpd30,mpd35,mpd40,mpd45,mpd50,mpd55,mpd60,mpd65,mpd70,mpd75,mpd80,mpd85,mpd90,mpd95,mpd100,mpd105,mpd110,mpd115,mpd120,mpd125,mpd130,mpd135,mpd140,mpd145,mpd150,mpd155,mpd160,mpd165,mpd170,mpd175,mpd180,mpd185,mpd190,mpd195,mpd200,mpd205,mpd210,mpd215,mpd220,mpd225,mpd230,mpd235,mpd240,mpd245,mpd250,mpd255,mpd260,mpd265,mpd270,mpd275,mpd280,mpd285,mpd290,mpd295,mpd300,mpd305,mpd310,mpd315,mpd320,mpd325,mpd330,mpd335,mpd340,mpd345,mpd350,mpd355,mpd360,mpd365,mpd370,mpd375,mpd380,mpd385,mpd390,mpd395
0.5,189.03810626499245,201.21713804457124,208.64846398497363,212.43802152820234,216.6371771306764,214.5119856288744,220.53341849985281,221.50569387467644,223.77637233947078,223.90219386246767,225.4116263468834,226.66802979743204,228.28985571107805,227.55681143157915,228.8157874595445,229.32110576744884,229.11637893713186,229.10451623688857,230.53427775503957,230.87408745248612,231.26884661207407,231.85625436934518,231.45616045513117,231.7397613410738,231.0948872112397,232.89962323286494,233.4642266893219,233.62669137252047,234.2211512466989,234.8962001772641,234.1872246059427,234.227263134909,234.76343256986638,235.3709835865133,235.6977453165139,235.5178469301762,236.33804356193363,237.90133249513843,236.99060024095206,236.01396718344034,236.58565206221272,237.42034995113642,237.7948658808054,237.77839228561834,237.27897416336904,238.53987930465055,239.51643124947807,238.82898805622713,239.62203302248852,239.86161304429348,239.758468558135,240.50417400206163,241.04103609254997,240.04900205047352,241.42090202330985,240.55231429544645,241.0619811520749,241.29891881879132,241.8997894580765,242.88890842676656,242.33324395876494,241.72149546153946,242.72110752159497,243.3803316481904,241.83515577740312,243.5328153851744,243.03436951970684,243.11161993177654,244.2714635242689,244.36113082397426,245.2159125199616,244.89131319570643,245.287470098953,246.42346376398547,246.788860723448,246.92941757877117,247.08501945317877,248.59339463460793
1,194.23012272333352,207.69452037523834,210.88159146552593,217.26224893120033,218.3918105469603,221.1785715979256,222.35834174814497,225.03426446422088,226.28030925218889,225.82020551156862,225.98078863138488,227.9859871559696,228.74239695425146,228.5599040192874,230.13874597634555,229.84236490207255,229.98280847520837,229.7386010652093,232.09977236605687,231.7788792440142,232.3838266721163,232.4207376180689,232.00599256211137,232.3656688346134,233.87729975565827,234.05856456792336,234.2141366325022,234.14392645355693,235.4464509728713,235.23152281900758,235.3195333546077,235.26830454597166,237.4613484887981,236.60127567607896,237.00840540806732,236.16361344962348,237.2455632496902,238.96031244484993,237.63661714033833,236.6922958259821,238.67450328443664,238.1313610603347,238.2568211838652,238.94287492762754,238.90411056277665,238.97868547696038,240.35641872348242,239.95101351445365,240.83645445110457,240.6358560843088,240.5772014724712,241.37523489125527,241.71542689205086,241.4654210184263,242.07077069676205,242.11393270677502,241.97562077935874,241.74429553233273,242.9025227116478,243.5996900491711,242.88702871368315,242.74035413931293,243.6587179555729,244.3144974504192,243.3958222708526,244.50298292796109,244.29915569603682,245.1874393197155,245.15106006831596,244.8347728562932,245.5271569462709,245.49461396685376,245.56568582229244,246.8344793114887,246.9595401599336,247.1343206678743,248.437400630016,248.69692400827904
1.5,198.586368767222,210.09475487514328,213.17233968607863,218.89771008606698,220.9636980214352,223.53355243198453,224.18878555724336,225.69242038641352,226.79023938554735,227.12033917769836,227.81596840166782,228.07039146078407,229.389488845855,229.65913565443205,230.80855544384963,230.7044008840118,231.58891790831456,231.03577538852258,232.7831986498805,232.3961250037955,234.31580159561685,232.84503692304168,233.49979398746774,233.61041181424216,234.77959060998498,235.05817655798276,234.84146874754444,235.0300458378812,236.34882634076763,236.9967928015217,236.24658399322504,236.12110364392157,237.92414875163274,237.1144422840124,237.5367918065649,237.59571397698096,237.56940148967394,239.41494259028548,237.97830607012858,238.37423928396893,239.38512939771047,239.02000762900312,239.27050154326375,239.75152764046783,240.0712642144607,239.92555292297988,240.8322589371278,240.67409285502546,241.65658867324626,241.12872082257604,241.30614304995194,241.7474249070633,242.0864387172751,241.98318054366527,242.33970178194366,242.7505826850124,242.24828946045284,242.31553388719757,243.47325563908257,243.69711128809735,243.5557625631814,243.51153217828426,243.9003520353696,245.05267845161245,244.12654976429147,244.9611357923701,244.99652062441018,245.58793958544013,245.59757231862434,245.05837528778318,245.74649617318715,245.77384904326325,246.44733751848864,247.13518724257943,247.00638732673207,247.36336213002917,248.53343696897824,248.75064126352393
2,201.2795163497781,211.49839657676154,215.16878941484117,220.03684416546668,223.05170743681364,224.23944813633577,224.61529937087363,226.06406249329316,227.52576353430186,227.7683157918984,228.5639599107588,228.8672546855001,229.83972263194784,230.5072433360107,231.48761746601116,231.22318739863192,232.50090705875255,231.8193817319822,233.35343181688515,233.0588090813466,235.20334416246516,234.10597487518243,234.1874523696456,234.0434773559944,235.54041947733901,235.59293301544938,235.0552139600468,235.2837190566273,236.87055196696883,237.57196901976033,237.34142046021543,236.60796819300535,238.5723664678282,237.96578585162106,238.0756873964351,238.0876417693244,238.89260595008298,240.03408990953645,238.38233259302834,238.99217140827574,239.84851627484758,239.59490810697412,239.74807182511458,240.40778726665525,240.99044657703564,240.8846436728456,241.2188713054986,240.95437850504598,241.94789207086433,241.4643142996456,241.60588137106694,242.14242360798866,242.57182530163485,242.4953460846122,242.98462308345128,242.96018377717138,243.0567348282044,242.87953094488418,243.79972478393805,243.93196811522887,243.75547423231814,243.96903151948484,244.32501114899196,245.34262604217324,244.58798784440518,245.14429316179695,245.2443318753604,245.83428856853934,245.85499173368106,245.4539495181684,246.22390123142884,246.64510686993336,246.62465322669115,247.3011761694552,247.18512111422845,248.39896332443845,248.57635866516978,248.786514522883
2.5,204.1005588215618,212.8591625124925,217.97333987084522,221.66615162583332,225.09161941260788,225.30779850462187,225.21207538538505,227.27291890355818,227.77771589382147,228.24915446763518,229.6389665783954,229.27831382551867,230.543944082569,231.17605859380774,232.2142162464778,231.67677552378683,232.8463577278606,232.3741585887542,234.52040735022723,234.12680603303858,235.55194271608798,234.66473917323955,235.23720804895063,234.4324965365032,236.2124558271976,235.975913194954,235.68146996662733,236.39739644701763,237.10251917949074,237.8970160738903,237.9245017303183,238.11215997994705,239.099146510652,238.43964264051286,238.29321634660567,238.5744430422408,239.1512297412522,240.40300938291364,238.89630919249265,239.25075459436903,240.2935613905169,240.0459447424031,240.08609754954506,241.19715669352894,241.39125513391616,241.50943368786716,241.5253802778996,241.6844315005982,242.33369211267913,242.01662023328848,242.22599003651098,242.45968167552937,243.00428644943983,242.8371217327935,243.35158642061313,243.08489605866538,243.27788589179679,243.566637882899,244.31010655191773,244.44321952028503,244.06250408335873,244.3026589617547,244.57743226684948,245.3842328660696,245.21092881434973,245.38957809359164,245.54362249463216,245.94592695931806,246.23795817104892,245.5810944427374,246.63465828583483,246.79768393267534,246.76648213512843,247.40340382598032,247.2583208153984,248.49362485038657,248.655414417686,248.80960368046607
5,213.4631606011109,218.74065359904725,222.3169683947789,224.32189610333336,227.27823638298807,227.71352157675665,228.1032969813331,230.3998976817856,229.92723967881642,230.5583868450356,231.725084441018,232.15539558273616,232.25435912927034,233.02642289731176,234.72560842320806,234.0404917164071,234.696286544648,234.85707407008775,236.22761919472396,235.79258373928414,237.36958628905995,236.56699933940772,237.18515902345416,236.56093133738176,237.77300154146621,237.9158311196491,237.82518846388336,238.60337550188547,238.61744424130436,239.5716323186443,239.94469242102664,239.98623828957545,240.8144193970939,240.255476525347,240.50736043583265,240.77452269499014,240.46099866196354,241.60712116175287,241.4615450881325,241.57195500317525,241.71932273381944,242.0063090166287,241.57789944709674,242.3648034978901,243.0261995973988,242.4839043161539,243.3999233650164,243.00166599604404,243.5595989389926,243.78795643016014,243.46144284038957,244.17358856955562,244.44779456741514,244.36513910197365,244.39748027118256,244.8056478373277,244.61512403061465,244.75820838414606,245.17274185675618,245.4971076565254,245.50904241306236,245.58110218327928,245.86286014493126,246.15272695937128,245.99407883730814,246.0840806577971,246.469842157657,246.8887296699337,247.3137212470538,246.8166998106585,247.31943379331292,247.25332459101742,247.2651179738248,248.17113147555807,248.67433336311007,248.8475894227561,248.8376614454614,248.99012483276604
10,220.4921794644443,226.771839379048,227.9436139821054,228.5097176973336,230.74521777078138,231.17231598349932,231.9382166288257,233.6841963583033,233.3849384670465,233.591018701671,234.9052881340087,234.8517866886543,235.0964327784531,235.6964269195381,237.4148420895642,236.1712848675619,237.29845251116228,237.6438617372,238.802279377367,238.4475900944596,239.55686397390332,238.8075819530535,240.0278356534199,239.78144307106191,240.1132772541165,240.9748009301812,240.5627390760037,241.1906543999583,241.0864297576983,241.4566641079718,242.04783844497982,242.1803891557704,243.17891296852352,242.3371996250462,242.9343839806263,243.2314923011032,242.6830034123646,243.4715014238322,243.5347471344141,243.7458979966444,243.57840577627522,244.0815134791419,243.5664798895587,244.02362539690068,244.5419040062339,244.3674517507823,245.4702072714621,245.24876687418228,244.905571059269,245.0791140899641,244.9480194534719,245.6632956766478,245.66690989527,245.8261329329132,245.6958457471031,246.1923945015503,245.9821924689678,246.566223461563,246.3259534052198,246.9702395530558,246.6275022349692,246.7427369790553,246.76628533872258,247.032444999265,247.40680706675292,247.2375316237213,247.5977270351419,247.8818318609818,248.0420551938834,247.6856994120333,248.1168642726505,248.1957115255623,248.2672719253592,248.98874583990778,249.1143216032788,249.1055362130607,249.1071026810037,250.5537537988282
25,231.81841081111125,234.9672926500475,235.084226593421,235.087801755,236.05793095632174,236.96518462392226,237.43307587212624,238.58401061558152,237.9025540206575,238.76825779598926,240.1964570669865,240.12898283755575,241.22820878944125,241.322616964056,242.9915739955415,242.56240847613475,243.73352659824252,243.11276919581525,244.06721726249674,244.8161324499055,244.65658940217,243.4964809649465,244.36478279113373,245.038525582661,244.85145322781426,245.59230614227698,244.81905078487299,245.474236899695,245.4480566000315,245.46963736947276,245.6324403932725,245.946317728392,246.75738578955952,246.35764686585748,246.74511905996675,246.4973746064275,246.06793316713575,246.780994925293,246.57503043959375,247.20266264611473,247.18817042267827,247.13205478666026,247.00688849454627,247.29229234318876,247.50989307402176,247.3445811997795,247.93764858688775,247.810068155008,247.6139272420765,248.11795297559024,247.865613279992,247.949017559645,248.08276845088926,248.1948076378025,248.093698682213,248.31089748559,248.41872137828,248.5662487538865,248.6626881087345,248.92557190201276,248.89148086134173,248.8513284472975,248.84199047765077,248.83657027698627,249.1270626382535,249.26569296641176,248.98419780878675,249.2668426983515,249.8640816515165,249.571079776724,249.770032121167,249.57885219444552,249.64134894714624,249.65302785811352,249.76556740328323,250.74021044746252,250.7350488792335,250.70859263400226
75,250.5512926055555,267.82427658095224,268.57618552105276,266.5503712985167,266.3151633903285,262.926159348471,260.9096177245725,260.0383832131775,258.05343434181555,258.5705452914963,260.0613222174275,258.86719790145077,258.66871752130425,258.07240105034975,258.7404933216588,258.162105791504,257.7848824040265,256.79506227767877,256.79325269309254,257.91608205444174,256.64505250152047,256.764953481937,256.84850480870875,256.444218537591,256.522119748742,256.2001507757225,255.6543789622215,256.26309436125825,255.4139181665625,254.98088260408525,255.49058624115926,254.57481060819023,255.7807517225785,255.535295010537,254.74479203825098,254.74857107765774,254.646175328806,254.42487140151425,254.69232498054026,254.6823156998155,254.040251256941,254.43084807218173,254.07470537314975,254.33450956588126,254.23896009962823,254.24463934438774,254.20130089854075,254.11737220319802,253.6228100611135,253.608754444335,253.47661657807825,253.37178250405674,253.3029932248835,253.162290811122,253.543987928492,253.28971570362225,253.11586132117176,253.15922004205225,253.170513789603,253.17414436511825,252.874738342821,252.77452801440324,252.69124932111248,252.40440208766626,252.71149336967397,252.8066241766275,252.5844695572045,252.56813974907627,252.49810440817976,252.37509169952924,252.3260911470125,252.013217731826,251.96299388728025,251.830673493346,251.60410083827475,251.41791631786526,251.20533058937676,250.98537416600152
90,317.61509079333314,296.4771185466668,283.8388372652628,276.49236932226665,276.7427009298848,275.32161062325747,275.4905736689642,273.8037774902994,269.9085492514028,269.5789062167004,268.4093503400191,266.16783864674966,266.7651377509227,265.906638966404,266.936959708962,265.5974486682091,265.79793112281794,263.1895692148208,263.36102616530485,263.2982678754765,262.1289491553463,262.1387573180907,262.7950180234162,261.9388373579091,261.95791291182013,261.44608357129493,260.5178915613382,260.5434706818238,260.1489568031476,259.75102916634245,259.7578346117451,258.4951299095652,259.9002821831077,259.4271429238931,258.8391155202625,258.1836428387601,258.1578408247314,258.19788912954533,257.74102038649863,257.4835238888129,257.3152632089217,257.9121143440699,257.0860819815979,257.1071053137554,256.9051773548405,257.0506062082946,256.8043056520795,256.5074038805004,256.1558045549705,256.0368416622603,255.8447370182156,255.710570184829,255.5174385314201,255.188139102762,255.3020204482246,255.0792243130392,254.9231328010195,254.6609010492195,254.8740526185641,254.7502914383936,254.58360419817782,254.4475232272925,254.41664808400128,253.8578695319862,253.9561570479504,253.7221492120724,253.5393044840566,253.37022219145192,253.17719988056328,252.9771795086361,252.8517365496308,252.50458586872,252.3963082750495,252.1833514640872,251.90395040320422,251.6573270584665,251.42789044360302,251.11897501827139
