,pd10,pd15,pd20,pd25,pd30,pd35,pd40,pd45,pd50,pd55,pd60,pd65,pd70,pd75,pd80,pd85,pd90,pd95,pd100,pd105,pd110,pd115,pd120,pd125,pd130,pd135,pd140,pd145,pd150,pd155,pd160,pd165,pd170,pd175,pd180,pd185,pd190,pd195,pd200,pd205,pd210,pd215,pd220,pd225,pd230,pd235,pd240,pd245,pd250,pd255,pd260,pd265,pd270,pd275,pd280,pd285,pd290,pd295,pd300,pd305,pd310,pd315,pd320,pd325,pd330,pd335,pd340,pd345,pd350,pd355,pd360,pd365,pd370,pd375,pd380,pd385,pd390,pd395
0.5,888.10234443,1197.123794315,1465.8905739650002,1815.371449295,2078.98940897,2383.5602501,2552.070428115,2882.7324844051,3112.6442775989,3358.60627020115,3563.7242702810504,3734.3944325633,4051.4445917939497,4304.4395741688495,4486.68775764155,4709.3066803500005,4958.0202953322005,5078.73102971,5350.720461419565,5542.47649808105,5689.85955342815,5882.996995542785,6237.719535527201,6332.2438216572,6536.95035973055,6725.917227040935,6862.462594501385,7104.051530032965,7238.5377140133005,7574.95391730845,7620.7655323810495,7796.693086231385,8103.895141476,8209.8430438812,8489.9035933821,8531.751335309998,8747.969198548035,8936.974212133886,9011.298419061815,9260.902926187251,9468.070858275685,9576.71383379135,9755.77560793135,9961.1848457703,10093.414360565414,10221.53279601585,10406.38611760465,10487.093828274901,10783.9996995141,10875.5866097859,11086.391448149865,11189.42470635875,11366.78433898385,11445.030471358701,11699.24655349705,11864.0347685294,12010.215922404665,12130.821697148516,12294.876526933784,12531.970581303485,12624.6927979767,12705.748744715951,12971.392596205951,13054.33144141385,13211.6707643842,13371.550730361885,13468.8872268864,13681.04748357215,13855.064207385449,13929.365627125151,14072.517474657001,14288.202955488434,14474.024053632,14598.2121979647,14765.9893791745,14963.856105317,15079.24786980465,15294.278420407
1,915.854121,1250.5849553844,1535.8107524,1869.7662457099998,2127.6910339,2427.5162314968998,2653.72451821,2957.9448396800003,3148.31634924237,3405.0911223244,3656.9527543956,3810.9939335544,4117.88538067037,4396.011239155499,4563.948528683601,4815.84469190793,5040.611922501001,5164.636767989,5401.79502446987,5601.80793360403,5721.7982960587,5951.79060440257,6299.5250555546,6363.8240654564,6633.567775862431,6814.84550756063,6893.32297567,7175.5605636572,7295.7530166152,7618.16948563437,7677.2153899060295,7895.279965423099,8166.7266910894,8249.78301186667,8521.137997235399,8607.6423733461,8780.8147301969,9004.074927291,9071.1291102074,9322.5469671072,9533.7175857198,9621.43057027793,9823.77953782107,10022.9250383543,10147.7840197086,10294.654392573,10439.203245047529,10574.638118832469,10811.5203776736,10952.224923349031,11152.28617389413,11280.8261367099,11420.6157355736,11546.832291219,11744.01174451973,11908.7145403466,12055.227854848628,12163.8144270603,12361.2246961205,12556.96658877033,12707.693747267,12779.509908021131,12994.07886230643,13095.658290805699,13281.201563482,13413.173814446,13518.9699254249,13743.8719378439,13896.501073452599,13992.780155182,14143.7298982833,14318.4364435033,14497.5998947364,14631.244989877,14832.933371222,14983.5029606097,15147.1315288383,15343.5187470807
1.5,935.4476487,1265.63761993695,1575.290340836595,1897.85773578,2160.5697945401002,2488.86780462195,2683.1383129716,2967.3199490199004,3196.6785977885,3445.22883086,3685.409534348145,3866.6591777850003,4145.752457065405,4420.42843527475,4636.6198174,4847.5883303635,5080.412577359745,5229.982923561245,5454.139977871955,5644.34470579185,5839.283766757505,6023.112802000899,6331.649782093805,6489.340128724551,6680.686832006605,6873.731849954949,6991.401177662205,7212.536271425855,7371.529389588545,7649.286773568805,7788.37036835995,7964.525425911255,8188.4724951604,8332.54844596395,8542.561471425144,8647.4285393753,8835.653204814795,9041.12590276915,9109.541571473856,9355.438252509495,9567.577341313205,9698.706328354296,9875.424982309502,10057.37836032975,10214.954720708549,10331.647278339751,10501.65802216585,10640.75287605795,10850.46971123045,11002.732809041694,11177.97356211915,11322.342110467895,11457.076242283249,11587.000746622305,11786.63215650495,11967.45733112015,12076.493647809395,12201.666829697899,12400.0887089852,12597.303863303545,12740.521423263246,12821.91292409705,13034.348283488549,13146.671943009405,13325.568087675001,13424.462887412994,13577.19524598555,13759.23755605,13931.115334293401,14032.641840626697,14187.1640178745,14348.98517090755,14529.3355530255,14663.472270352,14858.560661237,15002.78696019255,15165.358487122001,15363.27237880645
2,949.1286850399999,1278.6179978530001,1588.48794328,1916.83173304,2179.5167333488002,2504.77397936634,2702.41090301314,3008.6118936854,3236.9528523574,3497.08395900054,3729.35271996,3940.4122552331996,4180.0095197088,4448.22606975246,4671.11613941394,4880.11335316,5111.150774881199,5245.0968081446,5501.3957855998,5676.18993924734,5884.183747222601,6084.94708949374,6368.918119948999,6532.2951906056005,6738.6068316758,6932.2671958128,7030.46464805706,7261.3091329126,7413.02061668926,7721.6994393602,7831.36339656254,8006.2986781946,8235.98213041726,8365.885268047861,8574.14207265534,8687.4399335414,8863.1992771466,9065.74011768894,9152.60878524194,9414.58626159934,9589.821199819,9728.90945773274,9911.51783001294,10068.630593169399,10227.80242098166,10372.78456224186,10555.004489629,10679.787256929802,10894.497583338201,11025.35468690914,11199.936378267459,11351.7211164082,11491.847070902459,11637.35944295874,11825.1967770272,11993.51186017534,12104.23367128154,12242.7475799488,12410.6712004434,12609.04600602266,12754.9876822824,12859.0531393928,13060.53528640454,13180.5440800978,13339.742877434799,13456.7968250392,13626.698980422141,13788.101951217,13945.8776668054,14048.559164187,14207.18193611506,14369.197083235,14558.9773201258,14688.89210925206,14868.653766008201,15009.0992975696,15184.913314437,15380.103226965799
2.5,956.9802519499999,1291.897416375,1612.702075425,1935.0072949467499,2208.8128167064997,2515.74668048025,2726.91322735525,3032.14016715,3252.1596367,3509.0282874467503,3780.7081349860005,3966.696465500675,4220.0243743,4455.958938914,4699.486580725,4923.12441703625,5142.333752717675,5299.845579734,5539.911323951,5709.24815770075,5935.7207738435,6118.132714723751,6386.949989887175,6548.868463201175,6757.5986923334995,6944.2132536295,7070.4948149235,7281.666757504825,7428.1526189205,7749.339778356425,7909.685197172575,8033.052539620925,8259.268437043176,8394.974028689674,8591.1166060715,8741.415291461,8902.983655654825,9097.23363265675,9205.439307171326,9445.32665886275,9603.337532018575,9753.247959682174,9938.057405719675,10102.77730447425,10236.662703317827,10423.14646346225,10587.506554353326,10705.9811855595,10932.878077629575,11063.646893862,11218.00698554375,11372.428328636573,11523.218765721002,11677.07299748475,11842.6857753395,12011.713440734002,12125.65474435325,12281.005984751999,12445.955546451925,12620.893506722325,12770.649133367,12877.65590346675,13072.795162125249,13197.761359282751,13355.80427324025,13475.208854592,13640.92841071675,13801.39631672375,13959.96464230025,14073.36767386575,14229.805269497501,14378.354273547,14570.826090058,14701.83029806625,14882.086574371999,15019.397634697001,15194.188902222,15398.277797722
5,1005.1879104495,1347.3187431499998,1668.6063310999998,1989.6245602669999,2286.5884468685,2571.9072991,2803.7646562206496,3115.080165618,3335.7637293499997,3618.46654771985,3871.4522046995003,4061.82642877135,4325.01714835735,4557.310547894001,4792.12241785085,5007.9292726115,5238.8202070865,5410.76053600265,5656.292950605,5819.51957295085,6039.1138059,6230.62801392065,6471.67683697935,6677.612846127,6850.349540769999,7036.99470662165,7228.43437343615,7394.620882606,7571.957166687151,7829.5501664695,7978.5723877555,8115.071205281351,8360.061567005,8489.791288807151,8644.732750875499,8828.1833727265,9018.12796551885,9174.9417679125,9326.614197683499,9527.7030259365,9686.91097096415,9839.612574341,9994.34646231515,10201.5593748565,10342.23425917015,10520.97774875865,10686.8046563875,10819.62274194715,11037.776910940851,11142.956293111349,11321.87797049815,11463.444035156,11588.3012510555,11763.51199219665,11919.046544257,12097.416312246,12223.78486505,12364.653939566,12504.1864332605,12708.791701266999,12854.199505515,12959.11862581385,13146.417224465,13265.53828317665,13429.7043901015,13559.840630070501,13687.806522696,13886.30281226015,14012.53038769285,14159.760714397,14298.599047774,14458.54569033465,14626.848482747,14743.352602747,14927.989568097,15072.694632315,15240.796287047,15429.483677197
10,1061.945066956,1418.677474883,1745.0276993,2048.6861869000004,2365.2997701927,2642.6199156,2907.953982821,3218.068975238,3441.978631537,3727.604499669,3962.45067331,4166.3079232887,4426.010149767,4676.580280204,4882.150311011,5097.1126155990005,5349.599331817,5550.465536,5771.4703507883005,5956.583315299999,6196.279745945,6395.50590397,6594.3088506933,6787.429254536,6998.959041655,7160.9384522889995,7346.856043081,7518.5840633327,7689.225666507001,7973.9226985370005,8116.8441971540005,8259.632432816701,8454.7196461063,8626.747677596299,8778.4436893353,8972.70179,9151.2772986323,9299.783796126,9465.9971449727,9660.6414441233,9837.668570117,9964.879860686,10141.179963730001,10324.0035241457,10459.2410056287,10647.202982282299,10806.298070244,10956.415078089001,11123.7373239853,11253.4655611997,11414.186717966,11576.6610857657,11693.13305275,11874.945732728,12021.655154649301,12190.742106998,12312.257120599,12455.9342187507,12608.967498214999,12793.0633215037,12937.8111902117,13080.456309006,13223.539992783,13358.814444228,13508.8128878333,13649.959636059999,13794.860422197,13959.762474183,14087.282813963999,14237.307084240001,14366.2184773597,14532.325009897,14689.879851304,14817.097324786999,14982.814264706,15123.771276597,15282.863462197,15456.984590397
25,1138.96251525,1511.37825775,1853.49658275,2176.02028075,2487.367293,2799.0401252499996,3068.6665392225,3355.4892465525,3632.8493171575,3915.80741742,4146.125261525251,4360.38831501275,4627.9464917175,4871.767353105,5094.97647072425,5295.75726150775,5538.1471278075,5752.9452881275,5952.73797081675,6178.832515475,6394.18767482,6575.74984576275,6797.649521915249,6956.8106886395,7167.90894954675,7367.77829135025,7545.202725350249,7717.4782085874995,7914.14422102925,8123.61657003775,8299.29232548925,8459.1164602625,8659.876338224249,8816.726742792,8982.198339842,9181.58449421025,9355.44618296925,9487.6609379925,9669.6528186775,9855.31446325675,10018.03568563925,10146.4052760925,10327.70487459925,10537.326224027,10639.92059093275,10827.83971322925,10981.78147631175,11139.643243416998,11290.141019512,11444.8213912045,11587.29658046425,11733.417900477,11882.44890827175,12053.429789512,12202.5290929595,12346.322511177,12477.59612633675,12643.41113173175,12791.387787942,12946.594519585,13079.23193202425,13219.76820947425,13362.5295181545,13517.847589479501,13650.38208287925,13792.987654912,13938.9076530495,14069.94569942525,14219.50221618025,14360.5153883045,14499.78872258175,14639.648748847,14781.113236302,14921.8417607195,15063.758976457,15206.002776846999,15346.334004177,15493.862538846999
75,1307.300174,1747.8848030202498,2127.1561885,2492.24262225,2837.4295087675,3142.9585341325,3436.0517729075,3729.769808895,4015.692919335,4294.819390085,4554.18041215025,4786.246591102001,5061.94443763,5289.5948033625,5519.55133765775,5738.6045475825,5972.78603884925,6198.525286914501,6398.2893004825,6617.1686837975,6816.4970295225,7014.19236603,7228.21130698,7405.81126227025,7614.52855009775,7803.7980314467495,7979.14458344,8197.85397876525,8364.9861539125,8556.98454459275,8731.78430185525,8914.5677045845,9112.47392315,9260.11339948925,9430.8570380475,9609.372197965251,9762.1629907175,9948.95605084025,10089.128716077,10265.5618189925,10438.272111455251,10590.7798672675,10744.85931507275,10931.56155675175,11070.9777603445,11238.623179555,11393.26841382025,11537.978805504501,11689.28463674275,11834.412235847001,11976.62487654425,12101.89036205525,12271.71685193525,12421.54635061775,12574.2703305045,12693.526518952749,12842.31372635175,12990.279814942749,13141.501577517,13271.3797917145,13402.566179217749,13537.628995362,13676.3660316995,13816.658617259502,13951.9296002145,14090.735279847,14215.843175497,14355.7086313195,14476.550683292,14601.059367111999,14723.014225847,14855.071508022,14979.897647194499,15103.764947207,15234.726898097,15341.773783597,15460.020722596999,15567.392753847
90,1411.039109,1874.6346542899998,2262.746345922,2638.6972969,2987.6179143,3303.9063171860003,3591.801063071,3906.1761960999997,4181.664647077,4439.735207697,4730.687279204,4963.099450583,5218.661445546,5472.204029339699,5704.859883593001,5918.960288212,6137.9334516813,6392.0144425317,6597.983521034,6810.348174525,7007.732281863299,7206.898193889,7430.0556451887005,7615.696025530699,7817.03307844,8015.114821273,8188.900506266,8389.3186545967,8564.206143636,8751.942409414,8911.5413630767,9136.161386153,9297.9085888983,9445.586790741301,9626.3165207113,9796.2382194463,9955.674810890001,10141.8390063157,10278.019497125999,10463.489342397,10640.192694383999,10780.352274953,10969.3786904447,11116.425698793999,11231.58014119,11413.629010491,11556.4585090173,11705.374107217,11877.2250372343,12020.052682206,12151.963196930301,12287.751136795701,12441.2994819593,12586.070741227,12721.8280851433,12841.524471068002,12996.759677913,13137.6234842747,13284.439214647,13419.452049194999,13544.1004875857,13676.107586415,13814.9176107213,13948.662065114,14067.3548071443,14215.297427914,14327.84076856,14463.97353238,14576.123372308299,14700.736654673,14811.451273493001,14934.33709701,15048.085883497,15169.676721397,15292.278938678699,15391.689836897,15499.132452997,15585.731248797
