"","name"
"1","Abies_concolor"
"2","Abies_magnifica"
"3","Acanthomintha_obovata"
"4","Acer_glabrum"
"5","Achillea_millefolium"
"6","Aconitum_columbianum"
"7","Actaea_rubra"
"8","Agastache_urticifolia"
"9","Agoseris_heterophylla"
"10","Agoseris_retrorsa"
"11","Agrostis_exarata"
"12","Agrostis_idahoensis"
"13","Agrostis_pallens"
"14","Agrostis_scabra"
"15","Aliciella_hutchinsifolia"
"16","Aliciella_leptomeria"
"17","Aliciella_lottiae"
"18","Aliciella_micromeria"
"19","Aliciella_triodon"
"20","Alisma_gramineum"
"21","Alisma_triviale"
"22","Allium_abramsii"
"23","Allium_acuminatum"
"24","Allium_anceps"
"25","Allium_bisceptrum"
"26","Allium_burlewii"
"27","Allium_campanulatum"
"28","Allium_lacunosum"
"29","Allium_lemmonii"
"30","Allium_parishii"
"31","Allium_parvum"
"32","Allium_platycaule"
"33","Allium_tribracteatum"
"34","Allium_validum"
"35","Allium_yosemitense"
"36","Allophyllum_gilioides"
"37","Allophyllum_integrifolium"
"38","Almutaster_pauciflorus"
"39","Alopecurus_aequalis"
"40","Alopecurus_geniculatus"
"41","Aloysia_wrightii"
"42","Amaranthus_californicus"
"43","Amaranthus_powellii"
"44","Amelanchier_alnifolia"
"45","Amelanchier_utahensis"
"46","Amphiscirpus_nevadensis"
"47","Amsinckia_tessellata"
"48","Anaphalis_margaritacea"
"49","Anemone_tuberosa"
"50","Anisocoma_acaulis"
"51","Antennaria_microphylla"
"52","Apocynum_androsaemifolium"
"53","Apocynum_cannabinum"
"54","Aquilegia_formosa"
"55","Arabis_eschscholtziana"
"56","Arabis_modesta"
"57","Arceuthobium_campylopodum"
"58","Arceuthobium_douglasii"
"59","Aristida_purpurea"
"60","Arnica_chamissonis"
"61","Arnica_cordifolia"
"62","Arnica_dealbata"
"63","Arnica_fulgens"
"64","Arnica_latifolia"
"65","Arnica_longifolia"
"66","Arnica_mollis"
"67","Arnica_nevadensis"
"68","Arnica_ovata"
"69","Arnica_parryi"
"70","Arnica_sororia"
"71","Artemisia_arbuscula"
"72","Artemisia_bigelovii"
"73","Artemisia_douglasiana"
"74","Artemisia_dracunculus"
"75","Artemisia_ludoviciana"
"76","Artemisia_nova"
"77","Artemisia_rothrockii"
"78","Artemisia_spiciformis"
"79","Artemisia_tridentata"
"80","Asclepias_fascicularis"
"81","Astragalus_casei"
"82","Astragalus_coccineus"
"83","Astragalus_inyoensis"
"84","Astragalus_malacus"
"85","Astragalus_oophorus"
"86","Athysanus_pusillus"
"87","Atriplex_canescens"
"88","Atriplex_truncata"
"89","Baileya_pleniradiata"
"90","Balsamorhiza_deltoidea"
"91","Balsamorhiza_sagittata"
"92","Balsamorhiza_serrata"
"93","Barbarea_orthoceras"
"94","Beckmannia_syzigachne"
"95","Berberis_aquifolium"
"96","Berula_erecta"
"97","Betula_glandulosa"
"98","Betula_occidentalis"
"99","Bidens_cernua"
"100","Bidens_frondosa"
"101","Blepharidachne_kingii"
"102","Blepharipappus_scaber"
"103","Boechera_bodiensis"
"104","Boechera_cobrensis"
"105","Boechera_davidsonii"
"106","Boechera_dispar"
"107","Boechera_evadens"
"108","Boechera_glaucovalvula"
"109","Boechera_lincolnensis"
"110","Boechera_parishii"
"111","Boechera_pendulocarpa"
"112","Boechera_perennans"
"113","Boechera_puberula"
"114","Boechera_pygmaea"
"115","Boechera_rectissima"
"116","Boechera_retrofracta"
"117","Boechera_shockleyi"
"118","Boechera_stricta"
"119","Boechera_suffrutescens"
"120","Bolboschoenus_fluviatilis"
"121","Brasenia_schreberi"
"122","Brickellia_grandiflora"
"123","Brickellia_longifolia"
"124","Bromus_suksdorfii"
"125","Calamagrostis_canadensis"
"126","Calocedrus_decurrens"
"127","Calochortus_bruneaunis"
"128","Calochortus_flexuosus"
"129","Calochortus_kennedyi"
"130","Calochortus_leichtlinii"
"131","Calochortus_macrocarpus"
"132","Calochortus_palmeri"
"133","Calycoseris_parryi"
