,mntd10,mntd15,mntd20,mntd25,mntd30,mntd35,mntd40,mntd45,mntd50,mntd55,mntd60,mntd65,mntd70,mntd75,mntd80,mntd85,mntd90,mntd95,mntd100,mntd105,mntd110,mntd115,mntd120,mntd125,mntd130,mntd135,mntd140,mntd145,mntd150,mntd155,mntd160,mntd165,mntd170,mntd175,mntd180,mntd185,mntd190,mntd195,mntd200,mntd205,mntd210,mntd215,mntd220,mntd225,mntd230,mntd235,mntd240,mntd245,mntd250,mntd255,mntd260,mntd265,mntd270,mntd275,mntd280,mntd285,mntd290,mntd295,mntd300,mntd305,mntd310,mntd315,mntd320,mntd325,mntd330,mntd335,mntd340,mntd345,mntd350
0.5,74.89603373050001,84.65436764899997,89.57849805574999,85.0559043362,89.83264831785667,83.29424880262854,79.9097380379825,78.72568044737669,79.12434003841099,78.02236810291967,77.07228080038108,73.35802378815384,76.09070082705865,74.60472171998597,72.46176784546874,71.56364799199999,70.22582147255889,69.64794094557162,68.79295830680175,69.13226367536186,69.14585561704202,67.34185745255934,67.33116188845324,65.75195739712298,64.82727419724813,64.4504837094915,65.21163353450855,64.39866259373139,63.48910186793537,63.67088904159162,63.271084423378284,62.92905569204868,62.0163931124876,61.620076149249314,60.874969650539775,60.74873709985806,61.150072863816945,59.20401932557355,60.19248889191655,60.704240592981655,60.40928098530609,59.90435935976692,59.02679712505332,58.61770396624825,58.84985119632317,58.053216921597944,57.65187221422467,57.6118274801811,57.7554389734216,56.68377902194671,56.91051520527179,56.68521370970807,56.76071556816174,56.03896458630014,55.918530876801654,55.62752982511719,55.51666286441785,55.540026624077,55.03183990195456,55.38115932667009,55.68490863658451,55.128729469551764,55.45999293041654,54.664527354983186,55.32659975707154,55.171798184859746,54.97651694107237,55.491719312660834,55.3981256575229
1,87.9667163939,90.76540924200003,90.8446351135,88.6586239747728,91.52541132900001,86.75874644171427,83.45889125408563,80.51868602245777,82.3824567767448,81.08324281951685,80.39813984314463,76.36738428255076,77.279566286945,76.4336896693056,75.27425997650126,71.79509924020573,71.42411962770302,71.5022049984132,70.2762293322221,69.89635205157461,69.92352637445411,69.32518893979301,68.3810873666167,67.19661935318655,66.75391138726619,65.8635921151668,65.89393978047569,65.78477839045948,64.73055928955367,64.11676247424032,65.05290791362071,63.769570356505184,62.97311912576587,62.23729027721639,62.40351639482667,61.36591776437478,62.199122368280314,60.30460492253999,61.21415137765825,60.99806868112239,60.78248349694419,60.257877145395526,59.61086109175384,58.93996175169893,58.996636765593934,58.56014007914949,57.9529371488833,58.45451637612549,58.013517555045,57.34323238600578,57.27819040053906,57.311961437182596,57.196659363933925,56.57745026709183,56.58454337072858,56.45033801993619,56.55250698162804,55.94383367367114,55.907816812278035,55.91998632933674,56.011147186518585,55.58016318263199,55.6783183925956,55.2271624833924,55.50925899027859,55.47435091827762,55.30217497500585,55.62034092308117,56.25194609146571
1.5,91.643666574,92.995383102,92.496830811,91.95502191940001,92.4472829368333,88.18167407642858,87.4572489450575,83.57741077066663,83.1977480451996,82.03117348039927,81.401252830245,78.45225283997155,78.43085173657036,77.1794719800667,76.41923530887156,73.07654046458279,73.13959432961113,73.33246449003161,70.9047815051146,70.979698300171,71.06048443733818,70.35850130307703,69.33598973808282,68.4735141228288,67.64304360883908,66.94696238287999,66.37307755160661,66.25235570519105,65.5208520686683,64.85315511807708,65.34759117450422,64.77715439740034,63.2310981354326,62.57687544339181,62.69851515889818,61.69400496958375,62.415225880890674,61.38660456900483,61.55454357886018,61.11377480349454,61.23532801341497,60.63383737651642,60.19600682694777,59.374767135140296,59.23521812814127,58.81969418265232,58.705115964576564,58.67506353061268,58.32907763739648,57.59326301527723,57.42961586181986,57.68946133058482,57.41159468826628,57.22164555596791,56.8712279609246,56.8253297129021,56.88387243040685,56.490698634453864,56.1537169784416,56.14437092825578,56.2492501580809,55.73982055038739,55.847244442709666,55.39736209141789,55.705948752334514,55.74821996686475,55.58927750201757,55.833414127085504,56.3012140318086
2,95.62109571799999,97.9821947471233,94.554648541,95.62297077703201,93.095022446,89.86757870065144,88.35262155014125,85.12052122931416,84.38335076839999,83.35025498072723,82.51156021336664,79.41759338772312,78.93911209708915,77.89641436556796,76.76503568129024,74.60282052483103,74.00095989684995,73.6662884233381,71.6780273929232,71.77192862797331,71.58287977814663,70.88842906592696,69.94387172866331,68.944804976192,68.44274091967925,67.41979805756863,66.7261485582756,66.68846600807355,66.47713774824403,65.21964097043507,65.6564277171775,65.57158292031528,63.71931112375494,63.134088227438255,63.19174734923914,61.94822444395078,62.60424740356192,61.70637492945272,61.927179963757546,61.48790876452931,61.48275415576961,60.86223064954096,60.57596879934589,59.7236517461004,59.50870239561423,58.92941168024149,59.042091294540796,59.007597272299236,58.716440971475365,58.03933278272015,57.80349805115495,57.812582135423206,57.60084159463986,57.45043380131177,57.23457192085156,57.04482627629767,57.20977921070495,56.64352427319523,56.45648963823887,56.25824386985328,56.37984090322648,55.8890399432882,55.97504046248435,55.555137852792704,55.854292040424504,55.94943481533007,55.78443898309707,55.95523901099421,56.3293150115229
2.5,100.24011794500001,102.46077832143365,96.6131210788125,96.748047737704,94.28766788083334,90.72703927895715,89.295015314865,85.26891951159331,84.63789566444001,84.12255949032367,82.78727860028167,80.31154540228361,80.03324169294558,79.25045534296663,77.74307575703594,74.83311462085587,74.8347940763889,74.23059175768525,72.22106337841062,72.24887224490973,72.43883631759884,71.50849387888104,70.32788631981045,69.5817947803112,68.93534517254827,68.20925957009793,67.26865381299017,67.0998056505193,66.86960653657864,65.46394015352926,65.80663378618203,66.00462655733882,64.18389522098356,63.601274179497025,63.46185769814823,62.45400614396555,62.735876392835216,62.19728067651791,62.207651003414995,61.6686692975283,61.82162388701959,61.149863512192205,60.694889740420145,60.12633287510445,59.600900809334064,59.21401489557895,59.298866117469515,59.36687278591645,58.919681945814304,58.3599810118887,57.9948908624074,58.09130243945321,57.70851075794854,57.63494255448152,57.40915593690717,57.22856029353684,57.245817851545894,56.807690299250865,56.570466868152295,56.37061608271127,56.453234044141915,55.9809750605226,56.04715309237403,55.64661494631731,55.970877350706026,55.994246995311016,55.96703605414118,55.9999741956029,56.3688804689514
5,107.9096237245,108.79782164333335,102.69083801000001,101.412630058984,98.95180429223328,95.3708691285714,92.48695824610625,90.78976682761109,88.78569995520999,87.78762518546179,85.1372175565467,83.75184155230774,82.5684319709589,81.2152156178117,80.57434114332813,78.09503736888408,77.10702025245999,76.45612477511443,75.70784329727374,74.40513664240952,74.1918876126834,73.04145784813691,72.09230387428336,71.4289007553354,70.30561915492115,69.77082718413072,69.28985319743943,68.30790829411849,68.14483244630163,67.20724569676419,66.8974090107437,66.87396610785092,65.31492090655439,65.10834675495546,64.5733945861964,64.08454624628325,63.889326738656585,63.00664659241025,63.281195801135,62.88440072407295,62.555813825824984,61.88709075027781,61.77077637825614,60.83500579003442,60.36655377191888,60.11730737373636,60.08954102755163,59.94086525747297,59.7433556546268,59.09778790763969,58.55080746459715,58.87116775868825,58.30201083436294,58.42520497652581,58.08498784596218,57.68007559780487,57.82924510811114,57.38131652772201,57.03139646860553,56.829767126839386,56.8665644171426,56.49780733737843,56.43945592839998,56.07573366748613,56.31176792693517,56.1975354499313,56.27357554186181,56.20301494574781,56.4129162689514
10,123.00584658,115.8943252133336,110.26954082499999,107.558230476,103.85865827333329,100.00684631457105,96.84939394027501,94.87564393628335,92.82118357633,91.46730030703274,88.6925284392333,87.11528944522458,85.66757145111434,83.58307296241331,83.560856916275,81.30689433176761,80.49237601533774,79.33454344993946,78.386371130824,76.35814971155429,76.27587440491094,75.25329796352693,73.87388386477329,73.263940630288,72.7498227164877,71.86329198162629,70.6394523277786,70.22687469019175,69.64159495147531,69.01218742607028,68.72390940555437,68.28933634916847,66.93206126680057,66.5855848994263,66.04870794726467,65.45181814008215,65.26407318642633,64.63926175125484,64.160639967084,63.90802788641565,63.63902160761,63.2360681248677,62.724501475941786,62.19826621212663,61.45844491693477,61.1281281285315,61.05219961204378,60.84012917206451,60.597430016287205,60.1238389864629,59.69296555582811,59.5489783518313,59.3309085577256,59.10167195222293,58.70046804160071,58.44901205748845,58.41246601985103,57.995586934209186,57.82292356057664,57.51825992956655,57.38102014628838,57.042385646791764,56.86949911847185,56.67837709765232,56.68254284521511,56.52043686304778,56.57222317856412,56.49228991197974,56.6019511118086
25,141.489635625,131.78919623333326,125.3047677,119.9702103158,113.94296739889975,109.265243411732,106.072972675625,102.74339643411125,99.7230938272,97.57183120240913,94.89862770428124,93.02125718521542,90.93241472977144,90.10378454306665,87.98563386405625,86.20969766535295,84.6433370329444,83.53303395532502,82.07786027902,80.33336250764758,80.10213315545,78.90256173040217,77.6711228907417,76.44671800895,75.83675231875961,74.98387191586298,74.04662339131694,72.9356799793448,72.70123157012748,71.7292539401274,70.89802761235626,70.36617137842421,69.52529808892791,68.89451118395,68.39617108635002,67.86649647725272,67.25897298606972,66.8700529708859,66.33812716600374,65.6847310168976,65.45235930074998,64.94058510932092,64.48255399223297,64.04758823377557,63.45944502117388,62.97318808567343,62.64845337037502,62.22151348869795,62.040562951023006,61.7312635037186,61.22287814252305,60.853896613797176,60.554577473987074,60.29951224281545,59.909485567135725,59.6219132421123,59.32233248063105,59.0063816919398,58.731923052693325,58.578167531709,58.18979994174518,57.92638311337858,57.70900374854372,57.48513295103997,57.3612123776,57.1213034098746,57.00717053274413,56.816356902341994,56.792616076094326
75,188.9134980762,169.350310631592,158.361167515,145.11301949,138.12022981666675,130.969630565982,124.900920830375,121.23895610333325,115.643625531425,112.1626787574,109.7005645868165,106.2650881982805,103.72427774323225,101.00975458807174,99.08711448626562,97.12579581517647,95.0381535438611,93.17697074647367,91.2569092775,89.7394058643929,88.10814846113067,86.80470403532068,85.5984677751771,84.04867130126101,82.76166299765387,82.06099826445367,80.81640923155891,79.20104033171552,78.8614485416317,77.72518483080162,76.84907248729375,75.69906498047875,75.03929800406027,74.51955748416145,73.63632447511112,72.80802362603785,72.35635832845458,71.4119108239731,70.58984620921875,70.23537245225488,69.3541305474333,68.81379987775814,68.41281893417725,67.85731723287665,67.14989017847284,66.78781455067343,66.152716009,65.5701495522857,65.172616846593,64.7245340374,64.2148059272769,63.58242775166418,63.27020855590368,62.850666012385446,62.4815144473277,62.01131736113335,61.59353102391035,61.098266373359294,60.89653081410335,60.4173290037861,60.00144352899675,59.54647024056507,59.3235910588906,58.92322886110382,58.5479981343333,58.1664866538149,57.8124526878912,57.4219921821826,56.92841996038
90,213.42149720999998,187.8563278466667,172.87156596975,157.24107127924,148.756134262707,141.5419826253373,135.26974711725,128.7865454443021,122.7852156142,118.7159708828238,115.5461072296864,112.7627699239077,108.91278605696601,105.77255918634431,103.5351970433192,101.8131993551291,99.79899450995109,97.67397554485056,95.545181144525,93.78869489903715,91.73687023967365,90.31883997371565,88.56195673305002,87.4274985836488,86.28565636611457,84.96778122070516,84.0020549654389,82.15799631277586,81.43377366817866,80.24791914057094,79.1921838288063,78.01434257788728,77.27130069593647,76.88993047489261,75.90510519751945,75.03647333391405,74.31188550773943,73.48974257343285,72.420789908535,72.07957760851222,71.178909677029,70.49130622670374,70.04954678411679,69.29907805124843,68.8558252269361,68.22919199714747,67.70695004412711,66.95959393652446,66.4966157470328,65.9649818499439,65.47362584233093,64.76356314228796,64.53635549386219,63.90093810915385,63.50554506479182,63.063972460745916,62.42733692446965,62.01718607100236,61.732268036706,61.16953661153768,60.73701563578229,60.32037702829997,59.922410673394346,59.49080792817784,58.96792151706973,58.602408606964225,58.13577642450883,57.64076543284932,56.952866562094265
