,mpd10,mpd15,mpd20,mpd25,mpd30,mpd35,mpd40,mpd45,mpd50,mpd55,mpd60,mpd65,mpd70,mpd75,mpd80,mpd85,mpd90,mpd95,mpd100,mpd105,mpd110,mpd115,mpd120,mpd125,mpd130,mpd135,mpd140,mpd145,mpd150,mpd155,mpd160,mpd165,mpd170,mpd175,mpd180,mpd185,mpd190,mpd195,mpd200,mpd205,mpd210,mpd215,mpd220,mpd225,mpd230,mpd235,mpd240,mpd245,mpd250,mpd255,mpd260,mpd265,mpd270,mpd275,mpd280,mpd285,mpd290,mpd295,mpd300,mpd305,mpd310,mpd315,mpd320,mpd325,mpd330,mpd335,mpd340,mpd345,mpd350
0.5,169.26544401244445,196.9152058167639,202.6679138837542,209.15947756427767,207.26592054864352,211.7989489814057,214.13018432503773,217.613342155769,218.64917968859376,219.68619479812133,220.36429256482356,219.4822764121622,221.97361589034008,221.44590179736622,222.5544925844817,224.5853065479374,224.4925946963883,225.29471328807836,225.9675531882984,225.28944933090372,226.3842717560547,226.79463533247474,227.8688723688012,227.79587085645272,228.39890270965398,228.24575105371795,228.28893925795185,228.75141751805924,228.77841711251054,230.00746255920993,229.49913049725254,230.5888196313002,229.47696118727822,231.0745340836131,230.94719020242658,231.28206300102815,230.7915751135045,231.2053870276942,231.70403153610863,231.78075369747492,232.61458457817886,232.55666059401779,232.31318944090674,233.21024771147214,233.9750826086945,233.58929462516488,233.57148688774006,234.1792952999774,232.4354335454994,234.93787147146915,235.02581404245922,235.81557348267827,235.55697307148446,234.9160313720747,235.94522206734263,235.13793713530768,236.21142592759762,235.9354867276595,236.91920422729703,237.6450741163664,237.965412799197,237.94993015673992,238.35940316817474,238.1948587284346,238.33449951350778,238.964094100959,240.6832595862603,240.71480155119482,241.021211298017
1,182.97752918853365,200.0469094952386,205.67505334794026,210.14075129308833,209.74881223505773,214.73436880282364,216.2666583184658,218.89560163965575,221.05988893557725,220.9048377526364,223.24818143887862,221.89059476627406,223.96957005344868,223.62048389020524,224.98334569428005,225.22649515524716,225.56882804738603,226.15890662857774,226.56104942497933,227.32710641001864,227.70504214429204,228.58858332542684,228.84452776061292,228.595245290434,229.8016500058432,229.84733999948003,228.91216943307367,231.0233265810179,229.78794132422016,230.65391908064674,230.5361004851788,231.41025928830186,230.9688577747449,231.90914447770197,231.69098428139546,232.01329731373434,232.0653530734228,232.38230473822983,232.8605724239058,232.65366314188975,233.6469339876137,233.1395240579813,233.92764243638868,233.94040161500178,235.12462121634334,234.0443265396885,235.4031605330255,235.16058326066505,234.06389979479465,235.33831483683394,235.42165530906237,236.35885363260533,236.13162235410152,236.19521205030404,236.42272149805865,236.22750983746593,236.8661339737358,237.23178991108006,237.44200736763398,238.202956874034,238.18658258314682,238.5483473441429,238.80934721631886,238.84393432089982,238.57032031566013,240.17675413877146,240.74187901122943,240.86161302084543,241.02500151033
1.5,191.80599951466232,203.02881840085755,208.33966481690993,214.122590397801,212.85544641752662,217.03097456272286,217.63767276846798,220.00180266669048,222.48742512071055,221.8183279387797,224.51870938407507,223.0112382867398,225.75229735167196,224.74746508157267,226.29103204702363,225.5812027746276,226.68538895469501,227.44075978546445,227.7702636388287,228.14900278133135,227.99191281988124,229.02164474574928,229.54551976422457,229.40597622182815,230.551607152457,230.51839031744103,229.6546489577731,231.194789371566,230.17598084540498,231.34500700380173,230.81671503117673,232.5201801132564,231.72177287438157,232.25406054416968,232.6615133206838,232.3517050766844,233.73891837602517,232.86714044978302,233.52409540316566,232.97556107280815,233.86107563511183,234.07355764095325,234.34790496212952,234.36743300449893,235.56662821112982,235.16591265768207,235.72750691552582,236.07715308133191,235.07093793172618,235.54872644877454,235.9527029316443,236.50680438834073,236.38738300392026,236.7373964084187,236.89170459504223,236.40681237120862,237.15267452029266,237.83273138236115,237.91714801585604,238.54253495730765,238.32583282724153,238.78579166403372,238.9900495147873,239.2839635962475,238.75344572266346,240.54436171835246,240.8364723777102,240.91690827723488,243.11758189752607
2,193.9331676746671,204.91514422666708,210.99398348757936,214.699536040732,213.7868473350164,218.23706764122397,218.7512696928457,221.44783858563193,223.51374307919232,222.96026286483908,224.8184787868169,224.01053593499546,226.17913891309863,226.13865980275375,226.6654198298025,226.24747176693324,227.48867973929353,228.05218086589338,228.48882502794822,229.23825643401747,229.53515260675826,229.3286443366062,229.8822908629293,229.8886591138539,230.83829591686884,231.2313383190064,229.8975411587439,231.43927355333074,230.83225934390447,232.00184244979042,231.5389819997763,232.6670390777659,232.4446663725772,232.56720643943052,232.97312861530233,233.36750037424306,234.08100199299147,233.67711803740465,233.979222589019,233.55187391023617,234.869501087024,234.68004323427115,234.6307700783752,234.58503179537377,235.8475483568915,235.5636088910137,235.95515172835314,236.39294528762628,235.51405946620616,235.97583094120964,236.28940690395282,236.6840623465168,236.92026810042825,236.9605006447584,237.29870763224395,236.9904091669931,237.35325497131453,238.3254734838783,238.16176410284956,238.67178422386758,238.58593368881336,238.88780671630096,239.2990766003396,239.6523458666567,239.3279243173839,240.64633947964597,240.90324628950458,240.96189385259325,243.168142990969
2.5,195.81867284166654,208.99577969619025,212.03108623868386,215.90233208066635,214.9500251427246,219.03018938265674,220.079967506718,222.62336234839267,224.3793300737226,223.43772258702154,225.54450769728277,224.5712373796142,226.61803348252383,226.81445093326437,227.27935038124946,226.94368485286003,227.95003396289172,228.4844068806591,228.97886466085623,229.8701811233367,229.96490540558375,229.84787620799978,230.27403025360348,230.56406105130594,231.5259654361781,231.61539698299356,231.33838355410344,231.97302885835555,231.59273496249867,232.72287030128146,232.03900550221346,233.10453411274415,232.81327718761614,233.06763512059626,233.45754185175358,233.50887815962528,234.61521062844008,233.92422212113794,234.64738974328816,234.20446324476612,235.17250752059954,234.96140686636673,235.0864287835954,234.84310528662743,236.03952093626302,235.7704519903965,236.22730841164673,236.65700243335982,236.35311816844683,236.2087221031704,236.64008703471015,236.95142642855586,237.23421406914585,237.56130632831392,237.50250802046313,237.73040348360334,237.6706284592811,238.6148052461967,238.31385721758653,238.80666710786792,238.9269436688762,239.0796901690751,239.54831601106233,240.04171669176495,239.9380251124642,240.69417138012312,240.98338903344415,241.03120649695566,243.1702690380228
5,203.75682561333355,215.06638599742905,217.53995541552652,219.98056205700001,220.03780160287346,221.758650847563,224.48162343483094,225.6230551223819,227.62782643886314,226.7276005250826,227.0433189746355,227.2502646023485,228.71430953052294,229.12587328945443,229.12924001289727,229.58129208743057,229.99392212001885,230.18686796622825,230.72630902397506,231.16642971251332,231.4955927433079,232.1996132863135,231.6286926618526,232.1125089945885,232.8446732235949,232.67198739940955,233.24426531798437,233.17337178834194,233.13818811311705,234.00733356478653,233.4144097910458,234.4486863377426,234.53716330414946,234.60155854662236,234.4504681777025,235.09452168785054,235.5708027672863,235.6818404683685,236.19027575497526,235.77382258074576,236.04154167275286,236.6512295078782,236.4262030925546,236.3262548910097,236.85402793338693,237.14208025203214,237.2243753013136,237.82550471190763,237.5610353182318,237.41995111654646,237.50795938221495,238.04278310969343,238.28130504833518,238.82137340299863,238.74941371478127,238.5389852284422,238.6743912234335,239.16581897620534,239.46285403074634,239.6782198496575,239.5573182751918,239.88401019629606,240.44574891688256,240.68941330676074,240.76430533675853,240.9752577853086,241.2450291051682,241.31423585445575,243.18305942893474
10,214.52440909111098,221.11719107619058,222.56478123947372,224.3545933091467,225.20913457235432,226.1788085516571,227.783986898091,228.6876878854545,229.6814195459677,228.5865531915801,229.63736239518292,229.6875935678538,231.1069352744351,231.25056093713962,231.4643242095655,231.9877536040176,232.5782165167619,232.5398976922198,232.6589402653197,233.2165986853862,233.40131458045832,234.02661278634992,233.6196084516494,233.91718485479942,234.8441410718311,235.2018073875792,235.0593892723012,235.4279186254364,235.4646278933687,235.8354988095872,235.4655614046148,236.3642382606254,236.1597762026731,236.4576272294259,236.3322992932554,236.7578787796565,237.1653486889721,237.2801522030835,237.7018858999432,236.9857128463883,237.56714991342162,238.1508980060654,237.9205158990999,237.8373516034156,238.5803909577219,238.5972275186056,238.760595335056,239.05209049887742,238.8686309919526,239.2969836798855,239.0676230857819,239.3057780969131,239.65610213292481,239.69324341628442,239.8510754857706,239.61106543296412,239.6524605461747,240.2305607331229,240.7370654317894,240.6199583971486,240.7815771792682,240.9963962037354,241.2280297744501,241.24892239736562,241.3011952393553,241.3176611460619,242.003223188357,242.95952553663932,243.2013677218868
25,227.93503013888926,229.9653075904765,230.3629264701845,231.588824228333,232.31879107847,232.69921187153625,233.081704412203,233.59887187979774,234.5333875985345,233.517883840559,233.76558074830476,234.44976550103473,235.39174491202775,235.18597270974226,235.96681780743626,235.86201598178675,236.685406336099,236.787330302241,237.30815541989728,237.43860283033274,237.21110214767225,238.01707080458326,238.03150587635378,238.13687853174176,238.26406638747426,239.23529274704924,238.74507975189576,239.1066793658265,239.49523993668674,239.2713190685705,239.4962295105755,239.608754178261,239.51595164761926,239.87009666838497,239.54627091698225,239.88533164595452,239.89784295061298,239.78607460090424,240.62994464093174,240.34709785841352,240.39259238213901,240.62278294780825,240.88672030147075,240.40315934982374,240.87546772512275,240.77015969423974,241.21230443827827,241.27695717298099,240.989016011104,241.38792679043974,241.33370602673324,241.49718773255825,241.51100357274152,241.6646474779125,241.861764419052,241.64680707472473,241.698216962631,241.88979256374353,242.03932633339198,241.93514592707726,242.10539263851874,242.06746351202224,242.27810668144875,242.6042367825815,242.98092032733024,243.10991535295898,243.27046456710326,243.21997846999025,243.281602547268
75,247.169568077778,246.92284730952375,245.94944816910876,249.6843463099465,256.8904892229882,255.58191198679876,253.167729750183,253.1784874262625,252.35258675072524,250.96013509610825,250.42728722966473,249.28348337245174,249.60585487686552,249.08789608049875,249.45073585121327,249.0832965903175,248.7201549672755,248.91747341911076,248.786199307873,248.29318795925076,248.3994560091475,248.5151976227255,248.5500784372555,247.9654754321365,248.4614915403595,247.74208586164673,247.26183777403776,247.69652585895727,247.8055414012055,246.98612910553925,247.27453228686775,247.30177812837502,247.42834228592974,246.92685448284976,246.793067921663,246.7440348119205,246.69471737677048,246.492082873786,246.85437211647874,246.528009341781,246.52847091141925,246.6770680811265,246.18456911221799,245.84569635859674,245.77586888549678,245.76607421979026,245.66323256868824,245.779165304923,245.74456579460275,245.73970455972625,245.60019051714775,245.45663110047374,245.5628163209245,245.420582397677,245.35213806944049,245.32193514224326,245.189525008786,245.18942861298575,244.9830218931865,244.82212244047423,244.76432782521624,244.60606411918175,244.503184446012,244.3774193538345,244.1878298119575,244.07447450904274,243.91351391739101,243.67504763212702,243.41417477155426
90,300.97237334000016,291.0772507238097,277.92726265652607,271.8487969587403,268.2540895337424,263.64668352759116,261.5677531858978,259.0921575761337,260.4454816590153,257.7213338738045,259.46765973201207,258.2462395440735,258.153235059192,255.8933827975649,256.083794467594,255.6559872913505,255.6453603358841,254.213908515454,253.7583883294017,253.30893880579112,253.8069537355533,252.8820499832145,252.9018104393518,252.30006275097008,252.6063298118114,251.88903472862438,251.3399006140739,251.9727659689716,251.7110860192978,250.82594711936332,250.2585060060124,250.56727271459368,250.5286893108936,250.324631930658,249.8059424339839,249.53744388195392,249.2843171705476,249.5419913883987,249.71004199682838,248.8998276448339,248.7271030519879,248.72952972853642,248.2267445299044,248.1121534045421,248.058126271876,247.5828292728809,247.6045327537557,247.58262205888929,247.6840604157794,247.4391757464337,247.2014578399536,247.073460775618,246.92749593991982,246.738694686032,246.46626797023572,246.3816181522591,246.0887163066573,245.9458785460597,245.7518995208666,245.53335284327702,245.3774926854345,245.1307717680516,245.0318962915991,244.8232871188481,244.5610914839013,244.38159529086101,244.1643038462384,243.8841078856782,243.57049022478282
