,mntd10,mntd15,mntd20,mntd25,mntd30,mntd35,mntd40,mntd45,mntd50,mntd55,mntd60,mntd65,mntd70,mntd75,mntd80,mntd85,mntd90,mntd95,mntd100,mntd105,mntd110,mntd115,mntd120,mntd125,mntd130,mntd135,mntd140,mntd145,mntd150,mntd155,mntd160,mntd165,mntd170,mntd175,mntd180,mntd185,mntd190,mntd195,mntd200,mntd205,mntd210,mntd215,mntd220,mntd225,mntd230,mntd235,mntd240,mntd245,mntd250,mntd255,mntd260,mntd265,mntd270,mntd275,mntd280,mntd285,mntd290,mntd295,mntd300,mntd305,mntd310,mntd315,mntd320,mntd325,mntd330,mntd335,mntd340,mntd345,mntd350,mntd355,mntd360,mntd365,mntd370,mntd375,mntd380,mntd385
0.5,86.4287494655,96.78428858000007,94.83738936606838,85.47740910122,87.78821128913164,86.55173309657846,87.19623098626,82.41878845022492,81.8024590622487,81.61461106367344,78.72476304158697,78.06711433587037,78.28014469081974,78.9495087743555,75.67222825533725,72.18536681568716,74.56892700337004,74.19756925240104,71.78937029645903,71.4010932158551,72.26446677804223,70.67545300410202,70.31747967659012,68.17754687137587,67.59181247009187,66.68707936877625,67.62977721659159,66.77578953258292,66.36556254219066,64.67425557714712,65.43210884094553,65.08284409164997,64.20142381600778,62.511838937888974,62.88657333344735,62.827866860772325,62.12334342011973,60.9577420695263,61.11897943500292,61.21221914744478,59.319907200935106,60.724518057153745,60.64117644163354,60.03594037760273,59.67168669730663,57.920947460643966,58.27241816412375,57.7310479972317,58.16370966444741,57.829721442953065,57.615616301461486,57.308634332864436,57.4057575660763,57.16425985942386,56.829810939686375,55.68366016226947,55.81839288380152,55.94268102719302,55.805698016387524,55.1105016060035,55.2347393177375,55.33279876138337,54.79150300781732,54.87628206376754,54.59665651164749,54.558833824085944,54.407121509157975,54.48571335709911,54.504758991957175,54.19189158174506,54.11136444518148,54.19219914879173,53.78591689103921,54.064485885516326,54.05311924798551,54.32279650766101
1,95.275469576,98.65043698374907,97.5767097790265,89.493045365882,89.9644713413333,90.25713676228573,89.6343255546595,87.52422950361242,84.94269046497999,84.43992640904001,80.54326347072944,81.10511569359679,80.34354021921972,80.2712083953333,77.59691921353313,75.24547898052742,76.62789314285264,75.55668513978144,73.7071024873788,72.29115140769571,73.24641061888885,71.49330913825551,70.58734165410641,69.47175886236768,70.18539109535494,68.73260015773207,68.1891471346967,67.59381371500189,67.49663199666112,66.3939936663948,66.30139088816722,65.90838367282203,64.8066946269407,63.58726279777957,63.89224100440218,63.63008508343906,62.99996788688361,62.03974352130664,61.88639813621902,62.032803516657346,60.2452333692928,60.96386090924224,61.03579816792747,60.30723762739088,60.34950861585224,59.510077663747246,58.60757475911298,58.11870629916528,58.85750700105956,58.684822155822275,58.26299023534408,57.717256823125794,57.78143208958848,57.385825019430065,57.01103565930568,56.46261515716552,56.26824407454612,56.4451292096453,56.46623755880855,55.68960452473588,55.83028635562242,55.511908720269844,55.463842520942116,55.47604405022337,55.07010025781305,54.924116000102934,54.86395524099963,54.761834592013,54.64626510464556,54.675355055830856,54.39438348644412,54.36378688810937,54.237053486041916,54.19847321515712,54.383393196021245,54.37216710668697
1.5,102.047538081,101.15215965666698,100.94177765890751,91.5853066802743,91.0908175573333,91.70939570985715,90.67933171975,89.30518602190637,88.4496754422525,86.94480418560924,81.58490332725232,82.8510814246718,81.9738436091883,80.8221397069333,78.82334663899256,76.58179837985908,77.51182616768554,76.51931192726127,74.75770678925828,73.13719196081757,73.82057009783263,72.05668471832449,71.26205040998362,69.82390942958884,70.3657070228964,69.16930758334732,68.98695011854292,68.29631275401948,68.43810328986,67.34199745405121,66.82325537832261,66.17251194351233,65.62240805502931,64.19650417667982,64.2796286271773,64.01951065516398,63.557700541265206,62.419685317628456,62.41988260998489,62.33070168990128,61.212164292595844,61.38227191758518,61.372038757111675,60.62573884543627,60.45283277822916,60.23127220990837,59.153535409632994,59.0546615741557,59.13438452451928,58.98983893681239,58.44093153344315,58.041450859824764,57.94638576069541,57.58520318401622,57.37346046830063,56.97089349638425,56.536297075168754,56.740705374101665,56.706671138489654,56.30175526777993,56.04056090143499,55.818490583118376,55.5791525037118,55.65998613994391,55.289362145705084,55.18194104296329,55.08301067871621,54.871131994189895,54.888107011160535,54.88525749681554,54.50926182764679,54.53513012449179,54.40807960039051,54.408541287800844,54.522613769771084,54.56356013687794
2,103.998859234,103.34073295466666,103.87398778402651,94.72308376320001,94.04597084819903,94.0808384834286,91.50200443261001,90.51331853023244,89.2417123292288,88.0893400614462,83.96870787743003,83.94149411606463,83.51407288285714,81.6202309928864,79.114095455734,76.93879807417382,78.64333244979423,77.01505443252628,75.65635853154241,74.50998556483138,74.09386901334588,72.84367738053442,72.07406969176189,70.89076512230592,71.18885576198856,69.69904085540755,69.5149346318006,68.71051181714338,69.02889165777364,67.66388174161156,67.20286909352251,66.59865797831131,66.07893960420655,64.94003162537645,64.80613386750427,64.56624494463706,64.00709932844181,63.2826240243355,62.65765149400285,62.844026464549344,62.05902481541834,61.7619512962708,61.69394916364893,61.16772373467437,60.747383645344804,60.49281127063095,59.52159476061595,59.71658660229306,59.67929760038772,59.23892071196281,58.54045082367933,58.28891907901509,58.106828412245,57.91772521423441,57.847263525744914,57.12451581607865,56.94721895848343,56.8967747545597,56.963648602970494,56.53995984595134,56.130906605670525,56.03454352955004,55.67792251891041,55.741622761973304,55.42080482781318,55.25825452902458,55.331459213602294,55.01630316100021,55.07313321851521,54.94625314237046,54.749148796700005,54.64238306346223,54.5239088139666,54.56859585659866,54.61386746105616,54.60004188785584
2.5,108.0274187125,105.68506861166699,105.92658003483501,97.9002499181,95.00273873416673,95.64685721681434,91.894773451875,91.47115156739449,90.285594865665,88.93372412716863,85.11486412549525,84.69105605734617,83.80412784856432,82.08465562687047,80.19129260085958,77.87811402455104,79.59390674710559,77.62619132179248,76.60466970925,75.18558139698072,74.67294857691157,73.21183354491889,72.50893643596962,71.535276263826,71.41480739366307,70.23166384193833,69.98930954025678,69.16300200858073,69.24677389564732,68.0301829441369,67.44166946726047,66.72740204086583,66.38253163211563,65.23232970192413,65.2289290456473,64.83518476759471,64.22754853284529,63.57077774677645,62.96472177279412,63.244231857343806,62.362924991718955,62.12563723623064,61.953713088465186,61.32986462778102,61.06078752520405,60.673121646071415,59.81752404541108,59.7838340817097,59.8862231421247,59.395173465933006,58.83800590887296,58.60142263349627,58.520551687518186,58.082014496747995,58.00265393781586,57.36244893596065,57.019590831945415,56.9141695302915,57.11672754817321,56.853563379381676,56.36069629696594,56.134501588341706,55.784567365436395,55.84910502316946,55.5996176860913,55.34704300824096,55.38727097226151,55.12792075491108,55.183197663248585,55.036326184895884,54.82628523551968,54.71274400461798,54.6988964957149,54.688893479372034,54.66667232582758,54.71472626854414
5,118.51960871,115.6187855299997,111.20286009,104.3332264002,100.35445672333366,99.42903407999998,97.51850808264625,95.64588324888891,93.058702904625,91.78769207017278,89.15416181342086,87.35266469294963,86.464826875525,84.49554689777601,82.69757795304031,81.13499759882359,81.54458510172948,79.82053249892185,78.8070444450975,77.49437120484545,76.56673079450407,75.33222445772564,74.03530632134333,73.452850690792,72.75943684269039,71.85236888602522,71.69098344526466,70.6198372258197,70.84782930550953,69.47504897205053,68.72659539131173,68.37122044268317,67.77288141441383,66.655723679513,66.37634326428238,66.22412002214419,65.44896356071429,64.73651683600873,63.99491189773225,64.21646645347694,63.59883236065748,63.26722203882303,62.56812395266133,62.242876660119194,61.8764434753012,61.53986031505279,60.48865772942667,60.6050086554921,60.5828502878497,60.09594428729308,59.72412671333695,59.22931035595256,59.05747026842634,58.62299100071908,58.64494674874055,58.022794721633296,57.94807554646978,57.609191220486615,57.74077032405241,57.360340994037955,57.015918542037916,56.65587021910032,56.35971196247008,56.37911310327539,56.10462683008506,55.97291343434809,55.78914543869589,55.57528279609309,55.541804263932036,55.452678522652235,55.217470449699654,55.069548293228124,55.00062154197623,54.925296018972,54.90866746630254,54.903260546011644
10,130.10833998,123.5589848533333,117.575267209,112.3597242952,106.40573524259031,104.1532620457904,101.8990219462662,100.6643560348558,96.98913630593,95.26906551152729,92.64221795340997,90.50991462154997,89.34009977494568,87.1119440663853,85.63677552994564,83.65365329022708,83.64221729921114,82.44380576959108,80.82035287595001,79.68690629343813,78.86178154121458,77.42480461840694,76.06229041094626,75.4481002915452,74.43347419559464,73.86817381934185,73.42695208466534,72.83319643780966,72.31617050245298,71.1330931217558,70.2268721481672,69.86883663449093,69.33633643493353,68.33329655340117,67.62421503592114,67.65854412442596,66.59905399113056,66.14297895864664,65.483965982771,65.17576705730977,64.77324529799144,64.21907551435096,63.62018353329724,63.40689632504776,62.93918511055545,62.52814670226173,61.94077982496016,61.62099916893709,61.2561154485626,60.92655801748961,60.55501524899443,60.07109045226469,60.05034239954391,59.57271090527256,59.37326412032622,58.88651213830299,58.76499537265378,58.554948268866596,58.40121716380267,58.100041483622476,57.723898024361574,57.40788202848076,57.008298628659425,56.93359157502981,56.73885258033634,56.61554615541637,56.28267571695437,56.167958451781175,56.01435944824383,55.7799688540797,55.68785417512886,55.473432334423265,55.31908850287698,55.196811206572036,55.103025307038195,55.0894535154922
25,147.423180475,140.03095200000027,130.5654690125,123.36273038210001,118.888119675,114.161508253093,109.948198017875,108.090971152778,103.83155994040999,101.69596110909075,98.8896441298333,96.19972787288653,94.9584837765036,92.74174778781668,90.64552083467501,89.29714964301616,88.16345556220277,86.69059798043553,85.2339305417725,83.37030797508808,82.30936924478637,80.86098562821306,79.79431647173335,78.874017892552,78.24989592514038,77.23034722701297,76.35579524148572,75.87586717584395,74.745411821625,73.9892571075726,72.92540983103981,72.5005427614856,71.83461215113968,70.86983815622075,69.7961518789847,69.72107011040812,69.11529741275787,68.3727915069756,67.73966128670563,67.36711121412378,66.75852357969706,66.28341945133195,65.72350438959376,65.19204456128222,64.75632050603693,64.28664090435,63.67725857009633,63.449355673812725,62.836032159591,62.48342190256815,62.109478301538005,61.8179652230387,61.35997926806022,61.0282115449773,60.715145015547776,60.189059993156576,60.148685134503424,59.664374723965246,59.4220111823871,59.190302291926656,58.946948132902406,58.4638265173885,58.17554060141095,57.94822837442923,57.81382763298715,57.49497300676825,57.1259291361757,56.910099948375375,56.739483153478574,56.4854608639398,56.31770365460868,56.08469885313662,55.86387928268748,55.62377074257198,55.47723840845917,55.31490504536235
75,196.38719265,177.27617134476674,161.902095875,152.31764274,142.45904031916675,136.58324191164274,129.719969061625,125.466331041414,120.8349794231525,116.52357157567076,113.801425441208,110.6125404526405,107.48830520337175,104.26500677740674,101.5389973936375,99.67828944792059,98.30642897471947,96.04292984872501,94.7754118825,92.79603104996308,90.80306843595451,89.54944259984785,87.95781192761252,86.372080267808,85.6334677059827,83.9232330080565,82.8436989354,82.20711970694916,80.93868250655497,80.13269083933947,79.0374375560867,78.56792226708255,77.45125047207796,76.58704319009497,75.41682410772293,74.50223925299463,73.75973604410595,73.30205977214167,72.61542507573938,71.70697544265798,70.9746908177333,70.66156392921225,69.63756268501533,69.27287433115555,68.62689180586301,68.08136285291488,67.35177653174688,67.11556990634287,66.601280599082,66.10889172151175,65.38438566688271,65.04033161494058,64.66271886124167,64.0062245754809,63.6759974550375,63.11649275594557,62.85307826863575,62.50128964849407,61.984237408907944,61.60500459950652,61.138752958281074,60.85559016223297,60.4848214831125,59.972463847658446,59.6096185738837,59.29152593893248,58.92117644156288,58.59188709148405,58.20420485895933,57.85597175398205,57.550154024206925,57.23096416154658,56.87720810844625,56.518484358571975,56.2099372110908,55.7694166752325
90,218.93354231,196.2098771482567,177.19723939029,164.357392434684,153.01988857333328,145.331275204971,139.757531328905,133.707206411,130.078688999666,123.206493312347,120.4386094568767,116.4476834365875,113.4128624976297,110.5424290754424,106.2611883006871,104.2012351642349,102.2441079301379,100.23772294406291,98.58474379933399,96.93489838432187,94.30151993623637,93.52503470837222,91.17764752827497,89.557003086932,88.5780693656339,87.31864719121924,86.10960487297497,85.01873206788378,83.77931477784404,82.62766518359095,81.31081770259779,81.00390456167027,79.78015945642291,78.86573946597318,77.57011172569833,76.58961858564678,76.1421650341076,75.43703453553206,74.79054928742175,73.96379464071875,73.1761219485881,72.42554535577555,71.88371102914772,71.10723969103248,70.31523482509193,69.73462510286488,69.01686922766939,68.71002651748302,68.0899880106468,67.78984774047943,66.87326800045139,66.40189129493073,65.89823252242019,65.43653062375928,64.93312796713147,64.31778092495595,63.88467907292191,63.743837823720845,63.02198121561947,62.75668845793883,62.26323073444068,61.795075388280345,61.33069830664529,60.8625171700752,60.401235609541246,60.0773174406546,59.77066954552062,59.31793612508401,58.849059327206554,58.453413975958696,58.09258116517916,57.688121243393105,57.315892366390536,56.90596893207664,56.457354478327595,55.930608137050605
