,pd10,pd15,pd20,pd25,pd30,pd35,pd40,pd45,pd50,pd55,pd60,pd65,pd70,pd75,pd80,pd85,pd90,pd95,pd100,pd105,pd110,pd115,pd120,pd125,pd130,pd135,pd140,pd145,pd150,pd155,pd160,pd165,pd170,pd175,pd180,pd185,pd190,pd195,pd200,pd205,pd210,pd215,pd220,pd225,pd230,pd235,pd240,pd245,pd250,pd255,pd260,pd265,pd270,pd275,pd280,pd285,pd290,pd295,pd300,pd305,pd310,pd315,pd320,pd325,pd330,pd335,pd340,pd345,pd350,pd355,pd360,pd365,pd370,pd375,pd380,pd385
0.5,877.9353926599999,1237.542585825,1537.08833095,1844.9118396307,2148.5394387687,2352.0900912754,2661.2237511617,2954.4669045696,3282.348934275,3464.070385855,3610.7196981497004,3942.8412997117,4204.8750096661,4429.76172206935,4654.6900171640855,4816.3124140413,5175.395605404149,5280.338441977616,5483.33546708825,5780.02191602,5952.572413891935,6159.33953197225,6405.247842172865,6711.31732895,6820.42247465315,6884.4267136556,7217.164199428215,7334.03417020335,7488.77351226625,7803.9735197131,7965.074837476865,8160.4188154178155,8367.4179430559,8576.1345102627,8768.011733975036,8936.185969657365,9114.4148234648,9245.831215834465,9501.600955943584,9646.669850381484,9853.718292033036,10117.766552222001,10178.81154504115,10251.7874587857,10547.833060654651,10746.920666287735,10904.876187874235,10959.36176840375,11265.079613729566,11358.171587413799,11520.29356831795,11719.340153483849,11909.1357967968,12034.108228071002,12272.41114780095,12373.7308716598,12456.379119574885,12760.6681984521,12891.128870052935,13075.504307701714,13270.835776320135,13399.997700348435,13526.88234406395,13681.5298541015,13873.788603244699,13979.615967341186,14193.613639262,14334.856296730964,14507.36985949385,14703.2587762196,14842.373928480149,15006.29558005535,15182.398698602,15395.641002752,15563.1765573525,15754.669657382
1,888.91809071,1258.099217746,1583.15985587,1898.19512561,2164.0869743587,2451.04486889,2710.79066332,3009.44741354,3327.2796206326,3491.14258594673,3689.33141458433,3991.3894795166,4227.8305270119,4501.5344779066,4702.8322906235,4956.2879667199,5213.7637262507005,5421.4061937383,5603.35767009127,5835.7155851712705,6033.94633028797,6286.09103113683,6507.611519935431,6741.861480160001,6850.09182957207,7046.80865313083,7255.90138501673,7428.559187037969,7591.919577669099,7857.05874221847,8070.2615718813695,8193.7801754894,8429.8855628815,8653.4816982499,8863.85047713627,9011.3040992747,9151.8801295053,9351.49356597797,9567.8071445526,9764.46391390423,9902.1392916361,10158.46899316803,10245.818167623369,10401.75915945963,10614.77648480973,10767.9891626416,10949.50891197653,11114.3531955169,11315.71339845873,11444.016440676301,11573.4807922839,11780.39325744557,11945.790752106399,12123.0864529809,12315.2460334764,12468.8085086709,12618.5056339718,12807.1146800481,12958.0671214405,13118.9053830564,13313.054755127701,13433.772917129128,13558.2560376924,13747.7784046145,13936.900981371471,14049.453551980201,14243.6765928116,14420.4146208357,14560.5788658922,14732.1222794647,14925.672462082199,15074.773737877002,15259.9359341533,15437.236139652401,15587.750510088,15770.426433407
1.5,897.31607321,1274.84126679,1604.795235285,1910.7725076133,2210.0937464529,2459.585452375,2780.76029112095,3037.19707341525,3348.3775937843498,3527.768288506,3754.4224035110547,4034.51268870185,4305.771578445,4548.0584160549,4775.379254779649,4987.76597253855,5261.981645437805,5461.1945109197995,5650.0079944369045,5889.5880804163,6073.57024740475,6322.5970977598945,6581.581082028099,6766.40763347095,6862.5831126165,7110.074864448555,7348.325418784905,7474.6464200401,7707.9248253073,7906.09194181965,8093.037652988355,8225.81701552845,8472.658123141995,8699.864693398795,8878.47580446295,9040.19306489035,9226.631571837956,9456.11994700625,9584.281261394144,9813.405609276555,9941.499651850745,10182.428978224694,10293.3809669726,10464.47052440955,10691.959072216005,10806.706420341145,10994.80878219205,11198.405934908495,11364.836667997255,11524.093344541954,11647.509948126544,11815.00154660675,11997.825295536444,12170.284669542505,12331.399149397994,12491.46539465035,12655.13291662445,12843.0503843964,12981.45608710145,13133.20431929795,13344.37614958045,13485.6196278389,13598.828652447806,13776.412521006245,13977.77679672105,14090.03510402235,14289.23812886795,14441.277931833745,14596.408397457952,14787.298490516345,14974.1806362448,15092.888266573551,15285.403194783501,15459.1212716151,15616.452136156999,15838.111189746649
2,931.29288612,1293.03402636,1621.80440824,1937.4873460800002,2236.6503507400002,2512.90462640966,2802.8989311216,3070.7953394242,3371.02785490846,3577.7700138458003,3822.19735436054,4079.4506282800003,4321.0228977712,4583.8374204974,4807.5167329808,5019.49373799794,5284.64554614806,5504.372221243,5688.6432597588,5921.4284470928005,6132.852422173,6345.4093846992,6596.861931199,6806.0132943622,6890.1265469576,7146.36129139114,7371.9401672288,7504.08852838286,7746.770375098,7945.5619023562,8105.1266848338,8267.78530622594,8531.5511710694,8733.266191513001,8914.487018281661,9071.09424395874,9247.38620913534,9476.35007560406,9616.39775731446,9837.50680414626,9954.67681693854,10202.41419854774,10320.1803196394,10518.856900944,10722.13604167794,10860.8504006734,11021.250887168939,11224.55499604946,11402.5955696924,11555.441633769,11719.53086374114,11843.78741135134,12043.86549174714,12199.99302962174,12374.316906029,12515.6419892582,12700.71175109126,12869.4496712902,13034.519559785,13167.12024382986,13378.74335615026,13499.264406392,13628.865047529602,13848.677746517,13992.07646291634,14136.440534307,14302.826237655001,14452.772271617,14617.944236537,14803.6261310396,14989.445838935,15108.5465786244,15307.889501456999,15481.2116028078,15634.709020367,15863.006043517
2.5,938.8449379,1319.42155205,1641.756482325,1964.237600746575,2258.2014873715,2540.088665989,2819.1613709860003,3084.77432242325,3394.3568942398247,3634.595790675,3833.6577145385,4115.9947868395,4354.432333191,4608.317646269001,4846.70707380125,5080.2266712685005,5310.410353808575,5518.4639034715,5704.35551756725,5944.754468733575,6169.616132090575,6363.18283502775,6621.678031071,6816.749179635425,6930.1635088075,7176.9624697415,7396.065549648175,7541.843337618825,7822.566468712425,7968.8655358105,8142.51860906325,8355.114302498676,8560.33030489475,8750.907226241,8964.68415682375,9122.050586489251,9274.155145501676,9505.158366432575,9632.09749027225,9861.204370955575,9981.373989473,10224.218768273076,10347.188657231001,10546.554642656749,10764.768659103174,10897.140474579075,11088.371001483676,11239.759308864075,11413.273427555425,11572.558939023325,11737.39378571275,11868.78087145225,12054.157927908002,12224.328692728175,12390.730168504999,12529.9912880855,12727.58072112575,12883.920303895677,13064.85866380025,13185.635647784251,13403.62013924175,13537.213943927925,13656.2752435435,13862.593521922501,14005.279281305677,14149.17361240775,14323.05825129225,14467.481377437074,14641.666333958501,14837.2284706545,14996.6664761055,15139.5967841545,15331.558726668749,15498.144283906999,15637.287978657001,15869.907884807
5,982.9783730500001,1357.4246179499999,1683.0527068000001,2019.95171845,2330.63181625,2626.2578340595,2914.4537792829997,3159.1675060013504,3436.182386613,3733.82776837,3946.8347798170003,4216.40665132765,4449.1768110535,4695.2995428605,4934.6511736105,5171.800703036351,5423.5699528145005,5649.4986115149995,5836.475800043,6062.29700344735,6248.381750570999,6469.5724927775,6707.9466944756505,6910.70401724385,7034.160086167501,7300.140991758,7485.32073379485,7707.75137975235,7900.56958872,8071.43045301515,8266.95398660765,8500.88831036565,8677.298554815501,8857.844354105,9071.824333821849,9225.64067525915,9398.102475293,9605.40552628115,9727.81471083615,9937.364421596501,10106.42986682535,10315.58497908215,10467.35533408535,10640.286690452,10848.6789361055,10960.54608335215,11173.894342247,11331.483625072,11496.46912326265,11688.060524951,11837.371216253001,11951.236522109999,12168.669147494998,12303.4618135115,12470.0115611665,12622.793870581501,12799.30215926665,12977.802694612,13126.900572445,13270.86293849585,13462.053637943502,13595.075883431002,13743.798835882999,13927.3325706845,14079.5460353125,14227.0706547575,14401.73570641285,14550.7712486885,14707.379615165,14880.11680734965,15048.698130855852,15195.8097502605,15376.103250451,15536.422741507,15693.633566851,15901.805862907
10,1043.1362153999999,1424.0816791,1764.114088487,2094.05224951,2411.887429767,2715.6942204,2986.9065983533,3257.0968768340003,3549.1388604242998,3816.8916098610002,4037.2103485113,4346.256745335,4549.6305816603,4811.951731591,5056.15371145,5283.777803742,5535.155189412,5752.210912614,5972.342863563,6198.046946576,6378.6143291083,6591.7498671193,6807.044798651001,7030.833603806001,7199.775296237,7448.8082214997,7606.8534589460005,7816.5023774977,8035.5890409217,8208.119360833001,8395.4691107767,8592.480356471,8802.787350024999,8970.526396133,9192.6652427113,9335.499133854,9498.6245263083,9725.9425167427,9880.571354335001,10053.899818682,10221.884825272,10424.559764272699,10589.548851506299,10751.4642548943,10963.3906445013,11096.5607249513,11262.025859313,11439.118880414,11605.257823924301,11786.522869699,11916.420421257,12084.705934794702,12259.777211787,12404.0462793927,12575.972943757999,12734.303748002,12917.836320298,13051.194171147,13238.402922178,13382.025258736001,13540.865223522,13680.432927586,13829.228050393001,14024.501524201001,14172.966331487,14306.8577176683,14471.906571667001,14626.336720592699,14778.674544136,14948.088753657,15110.979531757,15249.219955957,15429.312859357,15591.828454157001,15756.054880057001,15928.525433556999
25,1134.98336475,1521.94829075,1881.1243609325002,2216.7800242149997,2536.62423142425,2864.73076704,3134.659705075,3416.5904197475,3708.42467173775,3995.8870145,4236.57894206525,4518.82816569175,4742.8107183875,5004.8465820575,5256.94523758425,5514.76841469025,5721.593177245,5943.985489075,6187.44525804925,6403.318851489999,6592.0177280200005,6836.64108374925,7019.1835181475,7218.9895097994995,7435.219991015249,7639.651925704249,7827.9898746825,8043.811190077749,8239.061760945251,8436.1924020925,8605.76133498,8800.080940402,9003.1413748625,9184.811197285,9382.421859469501,9553.238789337749,9742.516450937,9927.161951947,10071.916413122,10236.2623627575,10426.46511756275,10617.56761271925,10777.80939188175,10944.83714173,11124.0708361545,11289.819475317501,11447.26495315425,11627.0823025395,11798.0301856325,11948.478925996751,12093.830789430001,12284.09663116025,12438.118031917751,12587.69583427275,12759.31948248425,12913.941517019499,13074.990763187,13219.679090422,13395.612085742,13537.985670292499,13704.623644229501,13839.729951977,13992.171365167751,14153.816556704249,14305.998491425002,14456.2863526195,14606.636418847,14753.691132862,14901.184017632,15061.008850207001,15219.934871587,15354.143198457,15518.84245401775,15663.962755457,15820.953530362,15969.685923457
75,1309.9570845,1750.3480009025,2156.054484465,2507.17446475,2876.4334632425,3192.0654694199998,3500.75305025,3783.434144715,4100.696823464999,4369.9866830775,4647.9648489075,4919.855360825,5176.4493967425,5426.34668160025,5671.1399144075,5924.3496135450005,6142.891085615,6372.16380116925,6607.722394655249,6830.862083785,7040.630045795,7260.104840705,7459.180755595,7668.2873064275,7878.15302036525,8096.979651775249,8282.30822497675,8496.899681957,8697.076643375,8863.57577867,9070.06659405925,9253.927000325,9448.71692522425,9615.085608669498,9821.31891625,9983.39057032275,10195.3653457875,10350.822724922,10521.656424256998,10668.24256030025,10870.87757461175,11044.95065231175,11216.46384840775,11362.822614377,11538.956452365,11701.197245284251,11862.5894089095,12020.092889226999,12194.4292035045,12330.3939503995,12496.542064915251,12652.777198447,12815.4536918545,12941.712239887001,13112.9863972695,13277.861026012,13427.50261316525,13567.8038721745,13715.169328769249,13841.5624216645,14007.386350364499,14160.716783902,14311.1593968645,14445.55367872025,14581.01932319275,14722.10806244175,14875.6586286645,14999.844680457,15143.043668707,15272.030376207,15415.95524472425,15545.790503932001,15677.165703862,15808.211638707,15930.147612957,16048.463122207
90,1392.9073107000002,1863.6191014,2283.343799089,2654.5076063290003,3012.655308427,3356.6502785027,3685.4326510243004,3972.2206418,4271.946619549701,4553.79116869,4824.865746702,5124.7687667830005,5341.290024911,5641.716459233,5891.519778985,6102.463647732,6328.4267374593,6587.761368122,6801.6039454209995,7016.102588861,7239.738705521,7460.2178603417005,7651.1500964213,7907.23970489,8101.3576451320005,8282.292866991,8463.411616991001,8699.918808794,8888.569714998,9074.243748731,9250.4312655343,9427.867445990001,9661.3341050987,9787.167002029999,9999.1485673473,10174.449147370999,10395.630998451,10534.364085458,10719.20481344,10871.138250652699,11066.4063214773,11203.413419655999,11398.7375813003,11557.9181758603,11737.412967789001,11887.3686638753,12030.671778973001,12201.2571266763,12360.753072423,12475.239957843,12679.7622660293,12804.58595447,12989.7122548853,13069.504014377,13273.609841803,13432.0993358213,13590.9018124403,13707.559973381702,13863.505013657,13988.4263033053,14149.215099385701,14264.149045684,14436.571958026,14560.775435227999,14686.1323667783,14824.1009122587,14966.460635174,15101.1692354597,15235.4230243387,15357.6316209093,15494.188112947,15623.359230674,15737.979440057,15858.3394322387,15968.558037908999,16071.364461457
