,mntd10,mntd15,mntd20,mntd25,mntd30,mntd35,mntd40,mntd45,mntd50,mntd55,mntd60,mntd65,mntd70,mntd75,mntd80,mntd85,mntd90,mntd95,mntd100,mntd105,mntd110,mntd115,mntd120,mntd125,mntd130,mntd135,mntd140,mntd145,mntd150,mntd155,mntd160,mntd165,mntd170,mntd175,mntd180,mntd185,mntd190,mntd195,mntd200,mntd205,mntd210,mntd215,mntd220,mntd225,mntd230,mntd235,mntd240,mntd245,mntd250,mntd255,mntd260,mntd265,mntd270,mntd275,mntd280,mntd285,mntd290,mntd295,mntd300,mntd305,mntd310,mntd315,mntd320,mntd325,mntd330,mntd335,mntd340,mntd345,mntd350,mntd355,mntd360,mntd365,mntd370,mntd375,mntd380,mntd385,mntd390,mntd395,mntd400,mntd405,mntd410,mntd415
0.5,89.66491594749999,95.89297267335733,89.800234919,88.92126505441401,84.6473870061667,84.47965165182575,83.946018292,81.13634646120316,84.43620144669029,80.3110665936873,76.52012990094508,76.97449700566239,75.72366392764283,75.18326425094747,72.6490657223749,72.96519502709455,72.12534292699173,71.76071497661746,69.648689445888,69.26493653368122,67.35201831050439,68.16895293364956,65.00826793146332,67.65676399164168,66.79212203417512,65.61117840309286,63.66594129154205,63.75101429465321,64.02820665677318,63.687979866415645,62.01381680840258,63.038724934253885,62.1550166579695,61.7321503746739,61.11836933074111,59.91314488548604,61.53190876381776,60.59789826223409,59.627517862013946,59.58431288454764,59.49158931837462,58.95461585047251,58.27901013754018,58.35008515150338,57.42208999715499,57.64812126438867,57.72158556386618,57.34266807289998,56.537249904151544,57.004424622739286,56.865847805298955,56.499039125041534,55.57536099566489,55.99844052749204,55.588580212636295,55.14873471753722,55.355940768749576,54.26591912561391,54.9751567581017,54.51610655612934,54.35236365374012,54.46388678044332,53.52479928902675,54.204123738054115,53.892292923604664,53.365973789788626,53.08869190545741,53.33628482424027,53.0117281529534,52.647575905764384,52.966184540601105,52.654396754089206,52.277233409438594,52.50145167295152,52.496883552423235,52.30507287237758,52.12475794657419,52.05636313360254,51.8744097380185,52.11236497681761,52.148413733160005,53.2213334728747
1,97.943266986,101.42460242333365,94.466489162,92.5360352252,87.5560341480375,87.96424837685709,86.72828184601813,84.24801428444448,85.9501872730053,81.3809189930909,78.72745707863334,78.29413565415487,77.2535746168054,76.63143914203224,74.15310166829786,74.56109734657267,73.1482904112878,73.18514645411871,71.01694146777595,70.21884888485084,68.33424849179538,68.79173799967731,67.61115507254667,67.94560713811224,67.58137924666161,66.41894955759052,65.26245028355387,65.53684789398127,64.38326855458007,64.44991249866666,63.03757575489451,63.8588314155474,63.64855816682915,62.518039448568075,61.804812927636696,61.56588009735453,62.449313142931636,61.09247896858767,60.533167297792545,60.104349989773674,60.05036555969866,59.93268973188232,59.040953621957655,58.995075315063616,58.74049143885512,57.87025041466247,58.21369643986866,58.41116477025389,57.710781229696806,57.61729461779981,57.29990665977935,56.8773621464465,56.17282066491492,56.7016200681261,56.19456618020675,55.779324017683614,55.805202261145084,54.927455073298184,55.314333522462135,55.00742965004546,54.716050973837056,55.05159797863488,54.22476207061726,54.42892295391216,54.2233847963883,53.904996240418555,53.47557237264723,53.58848636878949,53.35551919597497,53.10616564319883,53.196689436142194,52.868444477051995,53.03664493211803,52.6952488652613,52.671398631648856,52.418951201251396,52.33418126275125,52.15002910950131,52.273974486357496,52.24483906427904,52.36183161930295,53.2213334728747
1.5,101.879033456,102.805255907293,98.3058528406925,95.809961836,91.9277124072353,91.97450408471431,87.91137894499424,86.2380877515428,86.81855085479096,83.54459364178638,80.3839622305658,78.95235050270496,78.56759189191348,77.4103848995621,76.70840031538788,76.14496831909167,73.98660403998176,74.371925240651,71.78227767425,71.57640700659482,69.57978487460002,70.54231649217881,68.86500958322026,68.68453722919486,68.07912517709886,67.17487714239132,66.2390495612684,66.11570005279627,64.95961348297466,65.01213463187801,64.04809520224748,64.60969346422084,64.38531623685584,63.130605760311155,62.615646258749585,62.13321236914659,62.768651969333064,61.512989022258125,60.985808802209014,61.00271054503349,60.44176601758834,60.425433098417464,59.69738485744559,59.54768853030914,59.11998961220691,58.64034515885754,58.788559178187235,58.51358775868637,58.153536789723404,58.06411008976425,57.53826407305092,57.27417194627677,56.61265224107523,56.95882563874257,56.41542358740927,55.961454746263456,56.069642654986644,55.48918997606754,55.5334971271069,55.13060229855755,55.02598355272606,55.116383105946284,54.48647528868491,54.681374425532674,54.3955695423478,54.10650887095309,53.80032094873174,53.895389394197146,53.62566522588322,53.27723133187558,53.36303323987684,53.2676239645467,53.12086923846867,52.83151774391976,52.855303388546496,52.55898885528857,52.51198518638255,52.44579923541244,52.411705861145,52.39936604154253,52.44652796256831,53.2213334728747
2,105.5624213,104.41692660621301,99.91248307856,97.89654501679999,93.02855676333334,93.7494946297143,89.47743263393201,87.28233022311106,87.6887343214128,84.3885289466509,82.11720734113847,80.94499624545874,79.36031820189518,78.65479345733863,77.54578089270349,77.0330294293929,74.90848023761403,74.87261254084052,73.0592002942427,71.87355224926053,70.55393705773399,71.09550874199778,69.28337610697633,69.16217141366351,68.86412060633586,67.72457744064855,66.53675591485808,66.69060904963527,65.31738898265401,65.66742523180712,65.01390300632589,64.87536256337334,64.5866805261607,63.97879158815032,63.38065605647717,62.58725324641092,62.84441576452296,61.9068407281876,61.7499523437525,61.25967245226878,60.643612498665846,60.59503513528906,60.70440236862983,59.79208111908488,59.36769782849558,58.861648753982536,59.1305124616651,58.9154290978332,58.4939036053228,58.34376540449362,57.75709207260152,57.81659025668593,57.00328020576516,57.177446661256454,56.68435442723749,56.32925716001755,56.273669548056496,55.83534773912741,55.68626692836433,55.34850577583925,55.257166420415295,55.20550878887303,54.63637170587248,54.87829009553055,54.461298068503524,54.20386590737546,54.04034585265898,54.23850347480927,53.84919991319796,53.59135209406478,53.540079365764235,53.40049855825484,53.22643798843074,53.027409040378636,52.91514941810687,52.681158408509425,52.63402307639811,52.59413306446332,52.5469741819075,52.55975395171112,52.57612844547069,53.2213334728747
2.5,108.02257260249999,105.00959400723364,101.7262674607,99.90830327421,94.55690565583333,94.97143416067998,90.38538954625,87.73973991666664,88.41408243996999,85.35636053551997,82.82160297241205,82.13481927036769,79.81675179407388,80.19142721212663,78.01449286706166,77.53392724610826,75.26516011296181,75.21938261841369,73.64497211470189,72.29754067391109,70.96322448277631,71.24236092630215,70.1857387647169,70.04816670118281,69.21455567375868,68.01354648200191,67.25029642840784,66.98461205513233,66.2684344173885,65.95962698127498,65.64106599325797,65.26262784561102,64.92417278860003,64.18794460439058,63.81929944168499,63.00717048859751,63.311131293607716,62.21490255689808,61.938214744821686,61.645865240639424,61.16028220739676,60.86476734401657,60.98476650182915,60.028835477111045,59.71143664839391,59.24891740460066,59.41795080760761,59.0792728614886,58.7388503387099,58.53474977898329,57.93106447665279,57.85278725342033,57.2937803536107,57.252849209138596,56.95518027145496,56.75520767048908,56.46829056239869,56.235894959565435,55.792446470836666,55.49354729085167,55.420309494190974,55.26315073351319,54.868385937782215,55.007298915256925,54.604100476659006,54.43626480730184,54.12421783901711,54.38666045753047,53.95226766868559,53.814556551530416,53.6311833618625,53.45928983768538,53.37246980473376,53.1861985864152,52.97643427745424,52.741723984974044,52.71426479895644,52.653941869293355,52.59929656316272,52.619345760112694,52.60351084059269,53.2213334728747
5,121.62246945995,113.12875403000031,108.7715437375,105.9694025842,100.96068131582031,99.18750146398573,94.7871077786275,91.08058866482219,91.295346047416,89.01951968000002,87.91237408721666,84.88585776828424,82.6558826302607,82.34572617333336,80.73682687135187,79.85574207570819,77.58633399472636,77.11849449442633,75.838937786995,74.568017419809,73.26174069674657,73.20904386682147,71.78678091878669,71.4539556594666,70.81207523795825,69.89862806542365,68.9619273588362,68.90429721204296,67.77150505780584,67.22910462654033,66.88700391150155,66.52501269955515,65.73263167679222,65.55985956587881,64.7992157184025,64.66905801206428,64.30565387813587,63.34611175456228,63.183773543084,63.001034991522474,62.52456982756617,61.82705645196293,61.650924513042455,61.12928984420033,60.48788814974891,60.279210298067625,60.226357637232525,59.80889360210707,59.544017342917996,59.341647368400984,58.76221403878703,58.88867773785517,57.85628781939111,57.79369542370572,57.69245040177135,57.392593703156415,57.07779188141081,56.944426376481786,56.57683230367872,56.14804970405896,56.10174644085197,56.0649673837286,55.4989053920787,55.42699960732632,55.26985865250517,55.133278077122,54.793053481766165,54.71647961131967,54.32296715798857,54.270367171719826,53.97228088879241,53.76270148074373,53.72123204118525,53.62040656998194,53.36650562137479,53.14177652628704,52.97318372036671,52.95036696302029,52.9759878946075,52.867998531958015,52.842827231934116,53.2213334728747
10,132.6023621607,123.4536186600003,117.01846041406,111.82862209780001,107.2852973436667,104.4353530971147,100.491598920455,96.30585984535557,94.94646569456,92.65526449301821,90.9260260854875,88.2770821310815,86.25194193072139,85.77387991917264,83.37035513446438,82.2995594074729,80.61474274002224,79.77763751611838,78.174078640066,77.25745789338336,75.82675106307501,75.10296521789088,74.03348667637833,73.262569201108,72.5606712021496,71.85504442753958,71.08408543953138,70.2491473180138,69.5080513110113,68.5750999420632,68.74078472812405,67.97952328681247,67.11435506683442,66.75736269586514,66.32036708186469,66.07269524223081,65.48346773680022,64.61724985634302,64.38095038481025,64.19821504642752,63.627261907112356,63.206102078140724,62.85866127620048,62.28064256192266,61.84466625564176,61.41019596234229,61.200108363358325,60.71927350659512,60.4611782519796,60.36827626929511,59.76680309897363,59.49715813898208,58.98679981688959,58.71653869460164,58.60429644299286,58.367134723879815,57.8531538098755,57.610750164642376,57.368824499893535,57.063125549475245,56.83416928670938,56.623763935362696,56.05645394913513,56.00639512654322,55.85546319880027,55.75119501467298,55.441214729692355,55.172168245315966,55.014681357547275,54.82284015630321,54.57644186757209,54.19662242901821,54.22247134593311,53.98585071748307,53.74543628471101,53.56470711167601,53.34475503496149,53.25645393557,53.1775035230875,53.07377249146419,53.00408400912927,53.2213334728747
25,151.987452225,139.71553673333324,131.2578671125,123.2582810863,117.797056569167,113.9705293644465,108.635368775,104.914711497611,101.8922738667,99.14092264532727,96.972771328575,94.0358664382865,91.9181359312571,90.51352892009166,87.986264585925,86.63996560758233,85.35100607881668,83.95576789765522,82.07728166723251,81.29260040078569,79.68031208359322,78.74282972339563,77.61856613353855,76.634335949736,75.76871789757502,75.19142316557593,74.11062744631782,73.4111135949241,72.76511195864917,71.64745446254754,71.1361565858289,70.6590479693447,69.95936813145877,69.18099632668925,68.58863512354651,68.17011483604867,67.40214268974337,66.81579831768717,66.338669902145,66.04929545198108,65.66800670518688,65.23158701431106,64.61931990237726,64.01320266653775,63.734361517250505,63.2474281482149,62.907860451480225,62.40973509134795,62.283407373999,61.861452474763226,61.3876175172365,60.92197342067028,60.551820341315704,60.1142329442291,60.090662576104904,59.70538089579515,59.130496114593946,58.79241205864745,58.516797362728305,58.30845195412007,57.9247602000262,57.81586200248727,57.226130337149996,57.19740508976807,56.835082301387125,56.61460606068732,56.474855951115075,56.07751741067932,55.92231493643217,55.66080872159333,55.41832698952082,55.05322473541368,54.92204837067565,54.595890352408,54.40563286235293,54.18707100063115,53.95714236506058,53.83983344175442,53.6288079262325,53.442256546896324,53.237097868275626,53.2213334728747
75,199.7788650506875,179.25183875033326,165.54688505000001,152.67393462008,143.816241046517,135.31643733374275,128.8019891199375,123.663633722222,118.72269175605001,114.38383866612725,110.5009923946355,107.2115605757155,104.17510081146399,102.07797373525476,99.39064188161562,97.33465612584999,95.77070405522223,93.73721637306315,91.44951510399625,90.41353133716908,88.30630591630114,86.78972243996304,85.78842657335102,84.151736078906,82.93740308779613,82.23358881288237,80.98157167385718,79.86617632674397,79.15916549063749,78.11247452854192,77.316910324225,76.67298695315532,75.43041503702575,74.77200528184716,73.72726451533886,73.36932007010674,72.59394124957758,72.06486404606092,71.15885762594125,70.55780850792257,70.04732261416373,69.35845097051046,68.7647208720602,68.37709306705,67.66998854186468,67.1770357285,66.60193044542292,66.12959806941528,65.6896287646255,65.29769370021125,64.75003492725338,64.36665110465425,63.66517804979535,63.53355393927543,63.184556033277644,62.60834474460573,62.15988206115297,61.90734741767075,61.311866490915826,61.1836950767615,60.635725272706026,60.35714270884442,59.82962924897775,59.41137191298925,59.25043333320797,58.8552970985269,58.47078538816578,58.03970185320145,57.76396584379465,57.442040628693974,57.20644721724895,56.6819546962082,56.48301501813245,56.106113489098696,55.785189543426,55.47695235530875,55.07603697935545,54.768404473433826,54.4629461487325,54.101783355538245,53.71548220592465,53.2213334728747
90,223.72182708,197.9801340533336,181.26191797406003,167.070177511236,156.2790891400883,144.2888450111661,137.2900801560575,132.2089723140942,126.871981003304,121.3051604317632,116.9048609038164,112.9811319175723,110.253732283636,107.6956092758667,104.00430910862501,102.8497725897649,100.2728969036863,97.65643820018214,95.9638078265295,93.59182178923237,92.0618169126227,90.35939957261175,89.16432937901747,87.3643915896672,86.8994327720423,85.06038501969928,84.14817610316067,82.81083182500896,82.078767618829,80.77477098849478,79.74970176912625,79.24383252534754,77.74518391220676,77.274041701786,76.22858916458972,75.63141984815461,74.89804572921632,74.23971427623769,73.036730078666,72.66319609617025,71.8568301475869,71.27324022972856,70.78136935449956,70.17421939559335,69.47287840545106,69.0668071294951,68.19153824569125,67.68605826462166,67.3668102503962,66.74235349425447,66.43688312155439,65.79334012089694,65.00033474064986,65.04304438291217,64.63026946720032,63.82200936342944,63.3623041553555,62.99314707751828,62.58480175025647,62.17944538666053,61.68948499193546,61.30833348217789,60.79987362270065,60.4843578941317,60.08179203358092,59.69030610523434,59.51534113653634,58.78035326418265,58.635210943609735,58.30231505864394,58.08346128696834,57.33377009969742,57.07552112092702,56.67393097037637,56.29956455899868,55.98953720317036,55.429508165269716,55.17094657740257,54.7749779413575,54.37545671418023,53.88314162620243,53.2213334728747
