,pd10,pd15,pd20,pd25,pd30,pd35,pd40,pd45,pd50,pd55,pd60,pd65,pd70,pd75,pd80,pd85,pd90,pd95,pd100,pd105,pd110,pd115,pd120,pd125,pd130,pd135,pd140,pd145,pd150,pd155,pd160,pd165,pd170,pd175,pd180,pd185,pd190,pd195,pd200,pd205,pd210,pd215,pd220,pd225,pd230,pd235,pd240,pd245,pd250,pd255,pd260,pd265,pd270,pd275,pd280,pd285,pd290,pd295,pd300,pd305,pd310,pd315,pd320,pd325,pd330,pd335,pd340,pd345,pd350,pd355,pd360,pd365,pd370,pd375,pd380,pd385,pd390,pd395,pd400,pd405,pd410,pd415
0.5,863.30496988,1210.3728323799999,1526.4577008922001,1863.25420990395,2136.5690342549997,2325.4408172233,2650.4797153072,2917.9695948199997,3208.887074375135,3506.38767321895,3711.22672561615,3961.88989847745,4212.07119157065,4332.184131269049,4726.7772571181995,4875.686575842085,5020.009759561351,5313.505608547551,5470.166708712914,5754.59233370385,5944.11992071455,6147.8387940088505,6380.76613443545,6485.3505520504,6769.903088800916,7044.130782744385,7059.455360338785,7305.651485581715,7505.2032907219,7687.169981226,7828.1897917178,7931.872893177785,8248.025126875165,8353.629762425851,8552.745688477935,8820.738423118815,8985.468647030351,9151.989046834115,9314.920657099816,9549.013563560236,9704.50291291995,9765.653569436201,9961.87524187865,10158.63472597275,10364.141471443336,10595.2251439914,10655.967927766898,10858.734239760315,11011.585159752065,11163.564367621666,11322.527749976985,11477.44656916895,11659.516649941215,11879.927163389615,12007.106837092715,12193.6581523122,12322.29286354855,12427.256259685699,12666.807691838834,12854.678138287149,12965.093913515933,13132.662930054936,13332.4936688802,13359.26691463865,13592.1459342869,13730.0631712562,13918.882225682051,14043.7525896846,14264.6020596876,14383.47219953235,14509.620570770701,14668.72125880435,14817.088030040415,15001.87749176015,15203.29262760635,15343.2694909993,15504.312862160601,15692.746241512785,15886.436081122,16030.2836736194,16242.045131902,16602.862265807
1,913.5384887841,1238.24100049,1571.3618275200001,1895.1276631285,2195.31320069,2432.7298194469004,2681.3026041866,3005.2413884599996,3234.6279427,3574.7574892733996,3766.2278371699,4019.9119421011,4229.098867465799,4404.71968657027,4769.7197292611,4949.2242373175,5104.5619820507,5359.3874650466,5636.35640567673,5818.49771072203,6045.32213017087,6233.56557515933,6436.0580314285,6592.5444861412,6839.414184928701,7110.777825564331,7210.67046180733,7377.4245478909,7614.6988120694,7747.908488149829,7960.41941666393,8044.8960362691,8301.964047577001,8444.7016896056,8682.43520456013,8886.92442695477,9031.2746213168,9187.3528778989,9378.66555836207,9580.09414029923,9769.23804621397,9847.416670368471,10069.658408551099,10285.080393401498,10395.92481917697,10642.676053963669,10742.72557023303,10922.8736901375,11090.5344941203,11320.611746233,11435.48294308073,11574.1872160074,11756.735840674399,11936.01679800033,12067.37797616587,12268.02538292723,12374.317608748699,12512.726945985,12695.5536034388,12887.5144919327,13048.8097015524,13193.5829578913,13349.4243427608,13464.007042455,13638.6547304252,13793.810544374799,13983.0455087277,14108.3957086649,14308.3604899915,14458.90490368587,14601.20449911707,14737.6405933898,14943.16030241013,15044.2257559524,15237.3390408568,15419.3257606013,15536.836560317,15721.959457506999,15911.230576551401,16071.544296527,16278.796613807,16602.862265807
1.5,946.2421525149999,1260.65603603,1588.491754785,1917.074853165,2220.5766174027,2485.2192425485,2721.95443721,3041.550432738095,3279.399468975,3610.3012975350002,3805.37688467115,4065.8977587118,4273.128266162055,4496.0495028751,4821.26458601,5005.66039037255,5156.847164485601,5418.637456579695,5671.39040603425,5865.100469627105,6081.62002540895,6296.29798236495,6481.6114968019,6685.642568475795,6902.6373444334,7141.7338491613555,7281.75885237765,7468.919749540495,7637.440309075255,7809.544825082995,7988.894137087345,8112.9926178992,8336.8310288219,8510.0680945228,8752.991368122444,8919.641966277855,9090.0843565326,9238.112586920905,9437.139720598601,9610.900181782496,9806.246996508904,9949.012299547001,10139.61673640745,10321.948479205052,10467.508266003006,10674.215844595146,10769.894380026895,10971.490795138501,11179.9145621884,11343.83199173485,11479.98413529125,11646.046420146895,11816.746568198,11965.249524780895,12119.7611574601,12287.93752292475,12439.777260732204,12544.853724608345,12736.211671784946,12947.3153277611,13083.387600605001,13231.5258312892,13366.76364178945,13513.941730021948,13676.500990656095,13855.688114586455,14003.34453818385,14139.9705645631,14327.37564834065,14484.68712501705,14660.131350118954,14803.422787401994,14968.116020706699,15082.1766942234,15266.169945777254,15429.05169170375,15579.7876736403,15743.3046137923,15924.4323498498,16085.185769287,16292.691952717,16602.862265807
2,958.89397574,1278.8012723253999,1603.4038935731999,1950.59495176,2254.01641314,2520.0103427282,2766.86336970054,3090.5605539000003,3324.2294202011403,3635.6496694106,3828.6256788168,4089.2367488888,4308.74511347374,4563.3829226106,4842.852595194199,5051.1088956712,5196.3589893,5450.79851800714,5708.043223111,5899.2582278644,6127.468489645,6315.50825035554,6505.1419514712,6728.8386506166,6928.08861339326,7177.4217282952595,7318.8951319013995,7508.5497003457995,7671.21576485,7848.32705583374,8041.172037998999,8171.58431524334,8390.080147823199,8568.852497723941,8794.4251236706,8963.39388852986,9138.22245999174,9256.0901576668,9460.58506487446,9648.9147502378,9826.9974573292,10024.13621397954,10177.15023702206,10356.5707219186,10510.369442969939,10737.066428341339,10831.3995737194,10987.4375330822,11211.9288872982,11372.84682642494,11508.31579433746,11676.3773090668,11840.4508687992,12008.99207534326,12166.8925659136,12306.8845244702,12456.912412982141,12612.2070574706,12754.832062753,12964.046150983999,13109.3321111034,13245.407256766259,13392.6509871532,13560.4661770632,13692.8860144892,13873.322050110739,14030.86312004106,14167.892390868,14352.1589334382,14510.7792658826,14676.4411748024,14819.253734968659,14985.5781603552,15120.03178289414,15295.973315269,15438.4106040844,15590.3069410754,15769.950384238,15947.165479223999,16102.523082927,16327.443207847,16602.862265807
2.5,977.5510359835,1295.23915235,1637.4801325,1977.7511111782499,2266.929094125,2563.576990088675,2799.0592132475,3125.8918011524997,3339.677792859,3655.3522074,3910.4821191565,4098.043855481925,4327.067964343,4592.416255621825,4858.29488872425,5088.12299342825,5238.129670622249,5501.789578668176,5743.621982047,5929.213343514425,6153.5162134835,6337.364141231675,6566.509487659825,6748.356811545575,6937.547722674,7201.765435145249,7346.664159701325,7559.744925985,7729.144539520425,7877.281925415175,8075.77343413275,8204.626021717675,8417.830945241676,8579.4054223135,8819.006040069175,8974.79916154025,9157.586136602,9288.859808902826,9478.683829563324,9695.82072630725,9843.530151777575,10054.45524431325,10219.507397266076,10420.01924637675,10529.668563683324,10761.978821126826,10847.06159548925,11014.084762412,11232.175869092076,11386.123433125675,11539.212320245999,11704.188576475675,11880.447026293325,12033.345452878999,12187.263642748248,12328.516037005424,12489.2607957405,12622.47253151275,12793.243917344074,12982.23680720325,13168.328124372825,13275.480382306076,13409.548260895,13587.962883750926,13740.5829431525,13893.358176288,14061.954920376751,14195.87937842925,14363.71463234975,14527.276428785999,14693.104096616,14839.496304269675,14996.5604079225,15144.838051732,15300.390420733,15461.52849528075,15603.8494186845,15783.222277331999,15955.978760482001,16120.691209482,16337.13571876575,16602.862265807
5,1018.73719185,1368.8897936,1701.2444028105,2042.19752225,2356.9871684706504,2616.326638523,2905.718167828,3187.9351264861502,3447.5929962620003,3728.5879433415,3985.9578894624997,4191.5118862265,4447.396937458349,4697.138776732,4939.267593807,5137.0965532704995,5346.489468878,5607.550505823,5831.322957073,6025.9887478,6249.739063233,6434.9746064675,6665.968320696,6856.529779701999,7022.346421726999,7288.2055748015,7454.61033253085,7687.272790707149,7845.670856265,7986.12060086185,8208.64913662165,8320.29986886085,8549.8460096375,8734.20756875365,8933.570506342501,9117.06655608785,9257.3299826155,9434.644910345649,9612.685368845,9791.9286205795,9964.754529571499,10144.89720909865,10342.508533075,10499.00430345265,10645.2214708385,10825.751654443351,10972.1329787805,11111.465411124,11300.902745568,11485.299510241,11636.739103803151,11776.17288062,11958.50968105965,12125.808100742,12279.903799055,12421.2225110445,12566.86175975665,12714.005420307649,12885.058097841,13064.75476039635,13229.370302715,13374.921239533,13526.9379112425,13666.2128354415,13834.101027874,13983.3376198135,14142.271171863,14273.3135435055,14433.570979503,14595.7480657055,14761.2150932935,14929.576423385,15061.889573205499,15208.667378879501,15354.2430825435,15529.802193749001,15670.8960060635,15842.932688556999,15993.5946939085,16162.7919508805,16366.631615757,16602.862265807
10,1078.8789645,1447.14292421,1774.502078356,2103.123198683,2421.8912373000003,2706.1315900629997,3016.3375769830004,3288.527218193,3550.4705286999997,3812.7191929,4102.479608216,4296.6198049407,4558.1850792027,4829.7582353397,5044.694031811,5259.5757062679995,5477.786795067001,5728.93910399,5937.6656139629995,6133.0800333203,6349.060209616,6567.78044301,6764.2884085880005,6971.3391001973,7171.518379536,7380.983274688,7564.892444859301,7769.2689301127,7953.167977448001,8112.3531465020005,8340.4396732053,8464.0322421257,8663.746350207699,8838.01524749,9053.290628661,9231.7408912967,9382.980141402,9553.78926641,9738.0653249267,9915.4208277257,10085.6386279423,10266.814161921699,10448.626807455,10611.9466034093,10748.8587223523,10922.249336973,11070.9367748833,11230.441003831002,11406.3035400037,11589.8424818613,11736.746257438,11921.9200785303,12080.334632467,12237.848256382,12394.578667811,12539.040848492,12684.373997982,12839.413377678,13002.7931310837,13151.404071596,13313.313578254001,13465.115805438,13632.773251611,13776.652699751,13920.5709052757,14081.7768141773,14215.416503776001,14381.707069369,14529.674281374,14666.173054028,14837.408856486,14996.4878525853,15138.668239337001,15284.678700293,15433.056304553,15593.927715874,15734.042242607,15914.472105107,16061.975220907001,16214.486335407,16400.391674737,16602.862265807
25,1157.702079,1551.474903505,1891.47810625,2246.79193152025,2578.55146925,2855.95333139,3161.0547434775,3448.5608576,3731.6709205875,3984.6579306875,4263.958566977501,4502.0098182525,4753.4583648875,5003.41015031025,5257.879747085,5448.091188567751,5683.0707435525,5922.861810659249,6145.50058273,6354.4035720175,6546.65003891675,6755.3884755195,6953.5133434125,7172.1535443075,7397.1623842225,7578.83152621025,7759.437173627501,7969.25651848025,8147.39768287525,8323.365458857501,8521.4628145195,8691.909141475,8889.8333802175,9070.11407016925,9253.4169265475,9430.152415429999,9590.30087076775,9764.79877608275,9950.8330142325,10118.51773678275,10300.128192010001,10483.64170822,10637.204631455,10807.89196375525,10936.71350329675,11121.20517638425,11270.7261025095,11439.1307711645,11593.96827179425,11772.553492562,11929.322238974499,12102.4808577695,12263.651278537,12413.927849430249,12566.1867738745,12711.25855985775,12847.853128274252,13037.01076292025,13164.771317062,13323.36744956775,13480.166622714249,13639.496740484501,13785.63238509275,13940.772198632,14066.589218952,14229.6012819395,14376.35614574925,14526.738745927,14674.870680561999,14806.353703057,14982.985015387,15123.300014692,15266.899189187,15411.294997432,15553.6667757045,15701.367252902,15834.168168137,15992.184015072,16142.79181877175,16284.377149557,16439.618878307,16602.862265807
75,1345.62046975,1794.02499175,2183.2831135750002,2560.40340470425,2915.424553,3237.95109577425,3541.0500615,3834.1410381775,4114.600404525,4379.041892385,4670.04190879,4887.3979619775,5166.710996547499,5427.8065686975,5645.46001108,5853.690577602751,6124.50475759675,6339.29758554175,6561.4588269195,6770.9387454425,6987.81895883,7180.4893981475,7399.169084646999,7607.9106157625,7821.91837037,8001.223509239499,8203.44302585175,8389.65633167925,8565.44466792175,8768.997211735,8944.986732505,9102.76558632275,9326.510312639999,9496.352271880249,9665.8086424545,9872.132396705,10008.4921483375,10202.67412971925,10379.780503310001,10551.04654581675,10733.26337456275,10887.22158076175,11043.764720037,11242.10638843675,11374.098816560001,11560.72523499525,11685.081116181998,11866.995564745,12014.355406597,12200.049511999501,12338.66399130175,12488.31753649525,12639.10977142925,12788.6972716195,12963.41628778425,13106.053548790249,13235.56247431425,13411.768435259499,13553.086741804249,13693.0835872945,13840.870231974499,13994.2091292495,14135.9969153895,14287.0319229645,14420.794535024499,14570.341990672001,14678.732202804249,14862.0849060495,14977.332825307,15103.1137776745,15243.013852852,15388.495831272001,15509.5172858395,15642.898644927,15761.970907057,15888.7377752345,16032.2892352775,16158.306197352,16280.781564057,16401.919802307,16513.426924307,16602.862265807
90,1459.7308938,1917.7176639040001,2323.2338829,2691.568667,3052.549158407,3400.320083135,3692.7449333127,3979.671111711,4284.9306339943,4545.167994568,4855.347588969,5070.5672146067,5331.752725343999,5574.51438537,5821.1841236479995,6054.012944691701,6312.449540495,6520.927828069,6733.874755424,6964.178428652,7173.2500694622995,7403.89484406,7629.390175014,7768.978604317001,7989.749726412,8202.236613101699,8395.181386909,8573.267711916,8765.4746098663,8962.0009497057,9153.840798731,9334.050633771001,9536.7236755883,9677.3505037327,9883.361239175,10075.1347672043,10213.111238939,10394.154902341299,10552.084988452001,10760.881335461,10914.825066934,11118.977018143301,11238.084651298,11404.149040688999,11574.8179547863,11736.9097909373,11884.213580587,12073.09955357,12199.7277081913,12364.4927840037,12531.9352185797,12656.734178368999,12822.289357405301,12969.186369085,13135.779668051999,13254.9607779327,13410.7170852363,13556.626080844,13697.731657254,13854.051073992701,13992.5052562133,14127.5673027493,14285.404349007,14442.295829865001,14550.481782720999,14697.533083784301,14808.707168478999,14968.999665526,15099.130396972001,15228.84499139,15358.068064281,15487.115228409,15599.417251883,15741.7388212383,15841.340470609,15978.920421989,16106.208177707,16220.188723506999,16336.057968607,16443.710495407002,16540.842135407,16602.862265807
