"","name"
"1","Abronia"
"2","Acanthoscyphus"
"3","Acmispon"
"4","Aconogonon"
"5","Adiantum"
"6","Ageratina"
"7","Allotropa"
"8","Amauriopsis"
"9","Ancistrocarphus"
"10","Anthoxanthum"
"11","Antirrhinum"
"12","Arctomecon"
"13","Argemone"
"14","Argyrochosma"
"15","Aspidotis"
"16","Asplenium"
"17","Asyneuma"
"18","Athyrium"
"19","Azolla"
"20","Bistorta"
"21","Bolandra"
"22","Botrychium"
"23","Botrypus"
"24","Calliscirpus"
"25","Callitriche"
"26","Calyptridium"
"27","Camassia"
"28","Camissonia"
"29","Carsonia"
"30","Celtis"
"31","Centrostegia"
"32","Chamerion"
"33","Cheilanthes"
"34","Chloropyron"
"35","Chylismia"
"36","Chylismiella"
"37","Circaea"
"38","Comandra"
"39","Coryphantha"
"40","Cryptogramma"
"41","Cynoglossum"
"42","Cystopteris"
"43","Damasonium"
"44","Digitaria"
"45","Dryopteris"
"46","Dulichium"
"47","Enemion"
"48","Equisetum"
"49","Eremothera"
"50","Eucephalus"
"51","Euonymus"
"52","Euphrosyne"
"53","Floerkea"
"54","Frasera"
"55","Fraxinus"
"56","Gentiana"
"57","Gentianella"
"58","Gentianopsis"
"59","Githopsis"
"60","Glaux"
"61","Glossopetalon"
"62","Halimolobos"
"63","Helianthella"
"64","Heliomeris"
"65","Heliotropium"
"66","Hosackia"
"67","Hymenopappus"
"68","Idahoa"
"69","Iliamna"
"70","Isoetes"
"71","Iva"
"72","Ivesia"
"73","Jamesia"
"74","Kochia"
"75","Kopsiopsis"
"76","Krascheninnikovia"
"77","Lepidospartum"
"78","Ligusticum"
"79","Lindernia"
"80","Linum"
"81","Listera"
"82","Lobelia"
"83","Malacothamnus"
"84","Malaxis"
"85","Malvella"
"86","Marsilea"
"87","Mimulus"
"88","Minuartia"
"89","Monolepis"
"90","Mucronea"
"91","Narthecium"
"92","Nemacladus"
"93","Neoholmgrenia"
"94","Nestotus"
"95","Nuphar"
"96","Oenothera"
"97","Olsynium"
"98","Orobanche"
"99","Orogenia"
"100","Oxytheca"
"101","Ozomelis"
"102","Pectiantia"
"103","Pellaea"
"104","Peritoma"
"105","Petradoria"
"106","Phalacroseris"
"107","Physaria"
"108","Pilularia"
"109","Piperia"
"110","Platanthera"
"111","Poa"
"112","Polanisia"
"113","Polyctenium"
"114","Polygala"
"115","Polygonum"
"116","Polypodium"
"117","Polystichum"
"118","Porterella"
"119","Primula"
"120","Pseudostellaria"
"121","Pteridium"
"122","Pterospora"
"123","Pycnanthemum"
"124","Rhodiola"
"125","Rudbeckia"
"126","Rumex"
"127","Sarcodes"
"128","Saussurea"
"129","Sceptridium"
"130","Scopulophila"
"131","Scribneria"
"132","Scutellaria"
"133","Selaginella"
"134","Sidalcea"
"135","Spartina"
"136","Sphaeromeria"
"137","Sphenosciadium"
"138","Spirodela"
"139","Stachys"
"140","Stipa"
"141","Streptopus"
"142","Subularia"
"143","Synthyris"
"144","Taraxacum"
"145","Taraxia"
"146","Thermopsis"
"147","Tonella"
"148","Torreyochloa"
"149","Townsendia"
"150","Triantha"
"151","Trichostema"
"152","Triodanis"
"153","Tripterocalyx"
"154","Vicia"
"155","Woodsia"
"156","Zeltnera"
