"","x"
"1","Acalypha"
"2","Acarospora"
"3","Acleisanthes"
"4","Ceiba"
"5","Aeschynomene"
"6","Chondrosum"
"7","Anthyllis"
"8","Anticlea"
"9","Crusea"
"10","Cucumis"
"11","Alectoria"
"12","Alhagi"
"13","Amerorchis"
"14","Ammi"
"15","Alternanthera"
"16","Amoreuxia"
"17","Flavopunctelia"
"18","Anemia"
"19","Anomodon"
"20","Lasianthaea"
"21","Aptenia"
"22","Mimosa"
"23","Asanthus"
"24","Asplenium"
"25","Physostegia"
"26","Pilosocereus"
"27","Punctelia"
"28","Ayenia"
"29","Azadirachta"
"30","Azalea"
"31","Bergia"
"32","Borago"
"33","Calibrachoa"
"34","Calicium"
"35","California"
"36","Callirhoe"
"37","Caloplaca"
"38","Cascabela"
"39","Cladonia"
"40","Cnidium"
"41","Coix"
"42","Cologania"
"43","Colubrina"
"44","Coptis"
"45","Critonia"
"46","Cyphomeris"
"47","Dasylirion"
"48","Dendrographa"
"49","Dennstaedtia"
"50","Dermatocarpon"
"51","Diospyros"
"52","Diphyscium"
"53","Dracocephalum"
"54","Drymaria"
"55","Echidiocarya"
"56","Echinacea"
"57","Echinocystis"
"58","Eriobotrya"
"59","Escobaria"
"60","Errazurizia"
"61","Escallonia"
"62","Eucryphia"
"63","Buellia"
"64","Eysenhardtia"
"65","Flourensia"
"66","Galanthus"
"67","Gaura"
"68","Geocaulon"
"69","Graphephorum"
"70","Gronovia"
"71","Haematomma"
"72","Halenia"
"73","Hamatocaulis"
"74","Handroanthus"
"75","Heterodermia"
"76","Heterosperma"
"77","Hosta"
"78","Hyparrhenia"
"79","Iberis"
"80","Imshaugia"
"81","Isopterygiopsis"
"82","Ixophorus"
"83","Klaprothia"
"84","Leibnitzia"
"85","Kleinia"
"86","Koanophyllon"
"87","Koerberia"
"88","Kosteletzkya"
"89","Lagunaria"
"90","Laguncularia"
"91","Lagurus"
"92","Lecania"
"93","Lechea"
"94","Lecidea"
"95","Leycesteria"
"96","Liparis"
"97","Lloydia"
"98","Lobelia"
"99","Lomandra"
"100","Malus"
"101","Malaxis"
"102","Malvastrum"
"103","Malvaviscus"
"104","Manihot"
"105","Mazus"
"106","Melampodium"
"107","Melochia"
"108","Metastelma"
"109","Mikania"
"110","Moenchia"
"111","Moldavica"
"112","Morus"
"113","Chaenotheca"
"114","Myrtillocactus"
"115","Nectouxia"
"116","Nodobryoria"
"117","Ochrolechia"
"118","Oplopanax"
"119","Oligotrichum"
"120","Oplismenus"
"121","Palmerella"
"122","Collema"
"123","Parmeliopsis"
"124","Pastinaca"
"125","Paullinia"
"126","Peltophorum"
"127","Pennellia"
"128","Phaeophyscia"
"129","Petasites"
"130","Peucedanum"
"131","Peumus"
"132","Peyritschia"
"133","Phaeorrhiza"
"134","Phanerophlebia"
"135","Phoenix"
"136","Phlyctis"
"137","Pittosporum"
"138","Pityopus"
"139","Pleurozium"
"140","Poliomintha"
"141","Polygonatum"
"142","Porpidia"
"143","Psacalium"
"144","Pseudephebe"
"145","Pyrrhopappus"
"146","Pyracantha"
"147","Ramalina"
"148","Rainiera"
"149","Randia"
"150","Rhizoplaca"
"151","Rinodina"
"152","Ruellia"
"153","Schizachne"
"154","Schizachyrium"
"155","Schoenocaulon"
"156","Schoenus"
"157","Scolochloa"
"158","Scorzonera"
"159","Scorzoneroides"
"160","Sebastiania"
"161","Selenia"
"162","Sematophyllum"
"163","Semele"
"164","Seymeria"
"165","Sideroxylon"
"166","Simsia"
"167","Spirodela"
"168","Suksdorfia"
"169","Sulcaria"
"170","Symblepharis"
"171","Syrmatium"
"172","Tagetes"
"173","Tephrosia"
"174","Teucrium"
"175","Thelomma"
"176","Tibouchina"
"177","Tradescantia"
"178","Tremolecia"
"179","Trigonospermum"
"180","Tripsacum"
"181","Usnea"
"182","Hypoxis"
"183","Waltheria"
"184","Weinmannia"
"185","Xanthoparmelia"
"186","Zinnia"
"187","Zizania"
"188","Abietinella"
"189","Abrothallus"
"190","Karwinskia"
"191","Kyllinga"
"192","Acaciella"
"193","Armoracia"
"194","Acanthospermum"
"195","Acca"
"196","Achimenes"
"197","Acmella"
"198","Acnistus"
"199","Acorus"
"200","Acrolasia"
"201","Acrocarpus"
"202","Acroceras"
"203","Calylophus"
"204","Adolphia"
"205","Adonis"
"206","Adoxa"
"207","Aegopodium"
"208","Aegopogon"
"209","Aeonium"
"210","Aethusa"
"211","Agalinis"
"212","Agapanthus"
"213","Crotalaria"
"214","Agonandra"
"215","Ageratum"
"216","Agonis"
"217","Agrostemma"
"218","Ajuga"
"219","Ahtiana"
"220","Ailanthus"
"221","Akebia"
"222","Albizia"
"223","Alcea"
"224","Aleuritopteris"
"225","Aliciella"
"226","Allantoparmelia"
"227","Alliaria"
"228","Alpinia"
"229","Allosidastrum"
"230","Almutaster"
"231","Alocasia"
"232","Alonsoa"
"233","Aloysia"
"234","Althaea"
"235","Alvaradoa"
"236","Amandinea"
"237","Amaryllis"
"238","Amauria"
"239","Amauriopsis"
"240","Amicia"
"241","Ammoselinum"
"242","Fendlera"
"243","Amphirrhox"
"244","Amphiscirpus"
"245","Amyris"
"246","Anacardium"
"247","Anastrophyllum"
"248","Anchusa"
"249","Andrachne"
"250","Andromeda"
"251","Anethum"
"252","Flowersia"
"253","Aneura"
"254","Anisomeridium"
"255","Angophora"
"256","Anisacanthus"
"257","Annona"
"258","Anoda"
"259","Anoectangium"
"260","Anredera"
"261","Anthephora"
"262","Kolkwitzia"
"263","Antinoria"
"264","Lecanora"
"265","Antiphytum"
"266","Antigonon"
"267","Anzia"
"268","Apera"
"269","Aphananthe"
"270","Aphanisma"
"271","Apium"
"272","Apodanthera"
"273","Arabidopsis"
"274","Arachis"
"275","Arachniodes"
"276","Archibaccharis"
"277","Arctomecon"
"278","Arctoparmelia"
"279","Lycurus"
"280","Lysiloma"
"281","Arctotheca"
"282","Arctous"
"283","Arcytophyllum"
"284","Arenga"
"285","Argyranthemum"
"286","Argentina"
"287","Arida"
"288","Aristocapsa"
"289","Arnebia"
"290","Arthonia"
"291","Arthopyrenia"
"292","Arthothelium"
"293","Arthrocnemum"
"294","Arthrorhaphis"
"295","Arundinella"
"296","Asperugo"
"297","Askellia"
"298","Aspicilia"
"299","Asterohyptis"
"300","Astelia"
"301","Astraea"
"302","Azorella"
"303","Athrotaxis"
"304","Astrocaryum"
"305","Astrolepis"
"306","Aurinia"
"307","Averrhoa"
"308","Axonopus"
"309","Azara"
"310","Bacidia"
"311","Bacidina"
"312","Bahia"
"313","Baeomyces"
"314","Balantium"
"315","Baloghia"
"316","Bambusa"
