"","x"
"1","Abronia"
"2","Acacia"
"3","Acalypha"
"4","Anemone"
"5","Acarospora"
"6","Acleisanthes"
"7","Caesalpinia"
"8","Aconogonon"
"9","Acourtia"
"10","Actaea"
"11","Carex"
"12","Cerastium"
"13","Ceiba"
"14","Aeschynomene"
"15","Agastache"
"16","Chondrosum"
"17","Cleome"
"18","Codriophorus"
"19","Anthyllis"
"20","Anticlea"
"21","Ageratina"
"22","Agrostis"
"23","Crusea"
"24","Cucumis"
"25","Alectoria"
"26","Alhagi"
"27","Amblystegium"
"28","Amerorchis"
"29","Ammi"
"30","Allium"
"31","Cyperus"
"32","Dodecatheon"
"33","Alternanthera"
"34","Amblyopappus"
"35","Amaranthus"
"36","Astragalus"
"37","Amoreuxia"
"38","Fissidens"
"39","Flavopunctelia"
"40","Anemia"
"41","Anomodon"
"42","Lasianthaea"
"43","Anulocaulis"
"44","Apocynum"
"45","Buddleja"
"46","Aptenia"
"47","Aquilegia"
"48","Arctostaphylos"
"49","Lithospermum"
"50","Arabis"
"51","Araujia"
"52","Aristida"
"53","Argemone"
"54","Arnica"
"55","Artemisia"
"56","Mimosa"
"57","Asanthus"
"58","Asclepias"
"59","Asarum"
"60","Hydrocotyle"
"61","Muhlenbergia"
"62","Asparagus"
"63","Asplenium"
"64","Asterella"
"65","Aster"
"66","Pennisetum"
"67","Atriplex"
"68","Physostegia"
"69","Pilosocereus"
"70","Potamogeton"
"71","Punctelia"
"72","Pleiacanthus"
"73","Ayenia"
"74","Azadirachta"
"75","Azalea"
"76","Barbarea"
"77","Potentilla"
"78","Bassia"
"79","Salix"
"80","Berberis"
"81","Bergia"
"82","Blechnum"
"83","Boechera"
"84","Borago"
"85","Botrychium"
"86","Bouteloua"
"87","Brickellia"
"88","Brodiaea"
"89","Bryoerythrophyllum"
"90","Bryum"
"91","Bucklandiella"
"92","Bursera"
"93","Calibrachoa"
"94","Calicium"
"95","California"
"96","Calochortus"
"97","Callirhoe"
"98","Callistemon"
"99","Caloplaca"
"100","Calystegia"
"101","Selaginella"
"102","Camissonia"
"103","Campylopus"
"104","Cascabela"
"105","Castilleja"
"106","Ceanothus"
"107","Centaurea"
"108","Cephaloziella"
"109","Cercis"
"110","Cercocarpus"
"111","Chenopodium"
"112","Chorizanthe"
"113","Circaea"
"114","Cirsium"
"115","Cladonia"
"116","Claytonia"
"117","Clarkia"
"118","Clematis"
"119","Cnidium"
"120","Allophyllum"
"121","Coix"
"122","Cologania"
"123","Colubrina"
"124","Coptis"
"125","Corydalis"
"126","Corylus"
"127","Crepis"
"128","Critonia"
"129","Crossidium"
"130","Croton"
"131","Cryptantha"
"132","Cuscuta"
"133","Cynodon"
"134","Cylindropuntia"
"135","Cymopterus"
"136","Cynosurus"
"137","Cypripedium"
"138","Cyphomeris"
"139","Dalea"
"140","Dasylirion"
"141","Desmodium"
"142","Dendrographa"
"143","Delphinium"
"144","Dennstaedtia"
"145","Dermatocarpon"
"146","Descurainia"
"147","Balsamorhiza"
"148","Dicentra"
"149","Dichelostemma"
"150","Didymodon"
"151","Dioscorea"
"152","Diospyros"
"153","Diphyscium"
"154","Distichium"
"155","Dracocephalum"
"156","Drymaria"
"157","Dryopteris"
"158","Echidiocarya"
"159","Echinacea"
"160","Echinocereus"
"161","Echinochloa"
"162","Elymus"
"163","Echinocystis"
"164","Echinodorus"
"165","Eleocharis"
"166","Encelia"
"167","Ephedra"
"168","Epilobium"
"169","Equisetum"
"170","Eremalche"
"171","Eriogonum"
"172","Brachythecium"
"173","Eriastrum"
"174","Ericameria"
"175","Erigeron"
"176","Eriophorum"
"177","Eriobotrya"
"178","Eriocaulon"
"179","Brassica"
"180","Erodium"
"181","Eriophyllum"
"182","Escobaria"
"183","Errazurizia"
"184","Eryngium"
"185","Escallonia"
"186","Eschscholzia"
"187","Eucephalus"
"188","Eucryphia"
"189","Eucrypta"
"190","Euphorbia"
"191","Buellia"
"192","Eurhynchium"
"193","Euthamia"
"194","Eysenhardtia"
"195","Festuca"
"196","Flourensia"
"197","Fouquieria"
"198","Fragaria"
"199","Galanthus"
"200","Galium"
"201","Gamochaeta"
"202","Gaura"
"203","Geocaulon"
"204","Gilia"
"205","Gentianella"
"206","Gentianopsis"
"207","Glycyrrhiza"
"208","Gnaphalium"
"209","Glyceria"
"210","Graphephorum"
"211","Gronovia"
"212","Gutierrezia"
"213","Haematomma"
"214","Halenia"
"215","Hamatocaulis"
"216","Handroanthus"
"217","Hedera"
"218","Helianthus"
"219","Helminthotheca"
"220","Hesperolinon"
"221","Hesperevax"
"222","Heterodermia"
"223","Heterosperma"
"224","Hosta"
"225","Hieracium"
"226","Hierochloe"
"227","Hoffmannseggia"
"228","Holodiscus"
"229","Hordeum"
"230","Hosackia"
"231","Horkelia"
"232","Hydrophyllum"
"233","Hyparrhenia"
"234","Hypericum"
"235","Iberis"
"236","Ilex"
"237","Imperata"
"238","Imshaugia"
"239","Ipomoea"
"240","Iris"
"241","Isopterygiopsis"
"242","Isocoma"
"243","Ivesia"
"244","Ixophorus"
"245","Jaffueliobryum"
"246","Jamesia"
"247","Juncus"
"248","Leersia"
"249","Juniperus"
"250","Justicia"
"251","Kalmia"
"252","Klaprothia"
"253","Leibnitzia"
"254","Kleinia"
"255","Koanophyllon"
"256","Koerberia"
"257","Kosteletzkya"
"258","Lagunaria"
"259","Laguncularia"
"260","Lagurus"
"261","Landoltia"
"262","Lathyrus"
"263","Lecania"
"264","Lechea"
"265","Lecidea"
"266","Lepidium"
"267","Leucaena"
"268","Lewisia"
"269","Leycesteria"
"270","Leymus"
"271","Lilium"
"272","Liparis"
"273","Linaria"
"274","Lloydia"
"275","Lobelia"
"276","Lomandra"
"277","Lophozia"
"278","Lomatium"
"279","Lonicera"
"280","Lophocolea"
"281","Lupinus"
"282","Lunularia"
"283","Lycium"
"284","Lysichiton"
"285","Lythrum"
"286","Madia"
"287","Malus"
"288","Malaxis"
"289","Malvastrum"
"290","Malva"
"291","Malvaviscus"
"292","Manihot"
"293","Mannia"
"294","Marah"
"295","Marsilea"
"296","Marsupella"
"297","Mazus"
"298","Melampodium"
"299","Melica"
"300","Melochia"
"301","Mentha"
"302","Mentzelia"
"303","Metastelma"
"304","Micranthes"
"305","Microseris"
"306","Mielichhoferia"
"307","Mikania"
"308","Mimulus"
"309","Minuartia"
"310","Mohavea"
"311","Moehringia"
"312","Moenchia"
"313","Moldavica"
"314","Monanthochloe"
"315","Monardella"
"316","Montia"
"317","Oxalis"
"318","Morus"
"319","Nasturtium"
"320","Myristica"
"321","Navarretia"
"322","Chaenotheca"
"323","Myrtillocactus"
"324","Najas"
"325","Nama"
"326","Nectouxia"
"327","Chloris"
"328","Nodobryoria"
"329","Nymphaea"
"330","Ochrolechia"
"331","Oplopanax"
"332","Oenothera"
"333","Oligotrichum"
"334","Ophioglossum"
"335","Oplismenus"
"336","Orthocarpus"
"337","Paeonia"
"338","Palmerella"
"339","Collema"
"340","Panicum"
"341","Parapholis"
"342","Parmeliopsis"
"343","Paspalum"
"344","Passiflora"
"345","Pastinaca"
"346","Paullinia"
"347","Paxistima"
"348","Pedicularis"
"349","Peltophorum"
"350","Pennellia"
"351","Penstemon"
"352","Phacelia"
"353","Pentachaeta"
"354","Phalaris"
"355","Persicaria"
"356","Petalonyx"
"357","Phaeophyscia"
"358","Petasites"
"359","Peucedanum"
"360","Peucephyllum"
"361","Peumus"
"362","Peyritschia"
"363","Phaeorrhiza"
"364","Phanerophlebia"
"365","Phleum"
"366","Phlox"
"367","Phoenicaulis"
"368","Phoenix"
"369","Phlyctis"
"370","Phoradendron"
"371","Physalis"
"372","Physocarpus"
"373","Pittosporum"
"374","Pityopus"
"375","Plagiobothrys"
"376","Plectritis"
"377","Plantago"
"378","Platystemon"
"379","Pleurozium"
"380","Poa"
"381","Pogogyne"
"382","Dysphania"
"383","Polemonium"
"384","Poliomintha"
"385","Polygala"
"386","Polygonatum"
"387","Polypodium"
"388","Porpidia"
"389","Portulaca"
"390","Primula"
"391","Prosartes"
"392","Prosopis"
"393","Prunus"
"394","Psacalium"
"395","Pseudephebe"
"396","Pterygoneurum"
"397","Eragrostis"
"398","Pyrrhopappus"
"399","Pycreus"
"400","Pyracantha"
"401","Pyrrocoma"
"402","Quercus"
"403","Ramalina"
"404","Raillardella"
"405","Rainiera"
"406","Randia"
"407","Ranunculus"
"408","Rhizoplaca"
"409","Rorippa"
"410","Rinodina"
"411","Rosa"
"412","Ruellia"
"413","Rubus"
"414","Rumex"
"415","Ruta"
"416","Sagittaria"
"417","Salicornia"
"418","Salazaria"
"419","Setaria"
"420","Salvia"
"421","Sapindus"
"422","Satureja"
