"","x"
"1","Abronia"
"2","Acacia"
"3","Acalypha"
"4","Anemone"
"5","Acleisanthes"
"6","Caesalpinia"
"7","Aconogonon"
"8","Acourtia"
"9","Actaea"
"10","Carex"
"11","Cerastium"
"12","Ceiba"
"13","Aeschynomene"
"14","Agastache"
"15","Cleome"
"16","Codriophorus"
"17","Anticlea"
"18","Ageratina"
"19","Agrostis"
"20","Cucumis"
"21","Alhagi"
"22","Amblystegium"
"23","Ammi"
"24","Allium"
"25","Cyperus"
"26","Dodecatheon"
"27","Alternanthera"
"28","Amblyopappus"
"29","Amaranthus"
"30","Astragalus"
"31","Fissidens"
"32","Anulocaulis"
"33","Apocynum"
"34","Buddleja"
"35","Aptenia"
"36","Aquilegia"
"37","Arctostaphylos"
"38","Lithospermum"
"39","Arabis"
"40","Araujia"
"41","Aristida"
"42","Argemone"
"43","Arnica"
"44","Artemisia"
"45","Mimosa"
"46","Asclepias"
"47","Asarum"
"48","Hydrocotyle"
"49","Muhlenbergia"
"50","Asparagus"
"51","Asplenium"
"52","Asterella"
"53","Aster"
"54","Pennisetum"
"55","Atriplex"
"56","Physostegia"
"57","Potamogeton"
"58","Pleiacanthus"
"59","Ayenia"
"60","Azadirachta"
"61","Barbarea"
"62","Potentilla"
"63","Bassia"
"64","Salix"
"65","Berberis"
"66","Bergia"
"67","Blechnum"
"68","Boechera"
"69","Borago"
"70","Botrychium"
"71","Bouteloua"
"72","Brickellia"
"73","Brodiaea"
"74","Bryoerythrophyllum"
"75","Bryum"
"76","Bucklandiella"
"77","Bursera"
"78","Calibrachoa"
"79","California"
"80","Calochortus"
"81","Callistemon"
"82","Calystegia"
"83","Selaginella"
"84","Camissonia"
"85","Campylopus"
"86","Cascabela"
"87","Castilleja"
"88","Ceanothus"
"89","Centaurea"
"90","Cephaloziella"
"91","Cercis"
"92","Cercocarpus"
"93","Chenopodium"
"94","Chorizanthe"
"95","Circaea"
"96","Cirsium"
"97","Claytonia"
"98","Clarkia"
"99","Clematis"
"100","Cnidium"
"101","Allophyllum"
"102","Coix"
"103","Colubrina"
"104","Coptis"
"105","Corydalis"
"106","Corylus"
"107","Crepis"
"108","Crossidium"
"109","Croton"
"110","Cryptantha"
"111","Cuscuta"
"112","Cynodon"
"113","Cylindropuntia"
"114","Cymopterus"
"115","Cynosurus"
"116","Cypripedium"
"117","Dalea"
"118","Dasylirion"
"119","Desmodium"
"120","Delphinium"
"121","Dennstaedtia"
"122","Descurainia"
"123","Balsamorhiza"
"124","Dicentra"
"125","Dichelostemma"
"126","Didymodon"
"127","Dioscorea"
"128","Diospyros"
"129","Distichium"
"130","Dracocephalum"
"131","Dryopteris"
"132","Echidiocarya"
"133","Echinacea"
"134","Echinocereus"
"135","Echinochloa"
"136","Elymus"
"137","Echinocystis"
"138","Echinodorus"
"139","Eleocharis"
"140","Encelia"
"141","Ephedra"
"142","Epilobium"
"143","Equisetum"
"144","Eremalche"
"145","Eriogonum"
"146","Brachythecium"
"147","Eriastrum"
"148","Ericameria"
"149","Erigeron"
"150","Eriophorum"
"151","Eriobotrya"
"152","Eriocaulon"
"153","Brassica"
"154","Erodium"
"155","Eriophyllum"
"156","Escobaria"
"157","Eryngium"
"158","Escallonia"
"159","Eschscholzia"
"160","Eucephalus"
"161","Eucryphia"
"162","Eucrypta"
"163","Euphorbia"
"164","Eurhynchium"
"165","Euthamia"
"166","Eysenhardtia"
"167","Festuca"
"168","Flourensia"
"169","Fouquieria"
"170","Fragaria"
"171","Galium"
"172","Gamochaeta"
"173","Gaura"
"174","Gilia"
"175","Gentianella"
"176","Gentianopsis"
"177","Glycyrrhiza"
"178","Gnaphalium"
"179","Glyceria"
"180","Graphephorum"
"181","Gutierrezia"
"182","Hamatocaulis"
"183","Handroanthus"
"184","Hedera"
"185","Helianthus"
"186","Helminthotheca"
"187","Hesperolinon"
"188","Hesperevax"
"189","Hieracium"
"190","Hierochloe"
"191","Hoffmannseggia"
"192","Holodiscus"
"193","Hordeum"
"194","Hosackia"
"195","Horkelia"
"196","Hydrophyllum"
"197","Hyparrhenia"
"198","Hypericum"
"199","Iberis"
"200","Ilex"
"201","Imperata"
"202","Ipomoea"
"203","Iris"
"204","Isopterygiopsis"
"205","Isocoma"
"206","Ivesia"
"207","Jaffueliobryum"
"208","Jamesia"
"209","Juncus"
"210","Leersia"
"211","Juniperus"
"212","Justicia"
"213","Kalmia"
"214","Kleinia"
"215","Kosteletzkya"
"216","Lagunaria"
"217","Lagurus"
"218","Landoltia"
"219","Lathyrus"
"220","Lepidium"
"221","Leucaena"
"222","Lewisia"
"223","Leycesteria"
"224","Leymus"
"225","Lilium"
"226","Liparis"
"227","Linaria"
"228","Lobelia"
"229","Lomandra"
"230","Lophozia"
"231","Lomatium"
"232","Lonicera"
"233","Lophocolea"
"234","Lupinus"
"235","Lunularia"
"236","Lycium"
"237","Lysichiton"
"238","Lythrum"
"239","Madia"
"240","Malus"
"241","Malaxis"
"242","Malvastrum"
"243","Malva"
"244","Malvaviscus"
"245","Manihot"
"246","Mannia"
"247","Marah"
"248","Marsilea"
"249","Marsupella"
"250","Mazus"
"251","Melampodium"
"252","Melica"
"253","Mentha"
"254","Mentzelia"
"255","Micranthes"
"256","Microseris"
"257","Mielichhoferia"
"258","Mimulus"
"259","Minuartia"
"260","Mohavea"
"261","Moehringia"
"262","Moenchia"
"263","Monanthochloe"
"264","Monardella"
"265","Montia"
"266","Oxalis"
"267","Morus"
"268","Nasturtium"
"269","Myristica"
"270","Navarretia"
"271","Myrtillocactus"
"272","Najas"
"273","Nama"
"274","Chloris"
"275","Nymphaea"
"276","Oenothera"
"277","Oligotrichum"
"278","Ophioglossum"
"279","Oplismenus"
"280","Orthocarpus"
"281","Paeonia"
"282","Palmerella"
"283","Panicum"
"284","Parapholis"
"285","Paspalum"
"286","Passiflora"
"287","Pastinaca"
"288","Paullinia"
"289","Paxistima"
"290","Pedicularis"
"291","Penstemon"
"292","Phacelia"
"293","Pentachaeta"
"294","Phalaris"
"295","Persicaria"
"296","Petalonyx"
"297","Petasites"
"298","Peucedanum"
"299","Peucephyllum"
"300","Peumus"
"301","Phleum"
"302","Phlox"
"303","Phoenicaulis"
"304","Phoenix"
"305","Phoradendron"
"306","Physalis"
"307","Physocarpus"
"308","Pittosporum"
"309","Pityopus"
"310","Plagiobothrys"
"311","Plectritis"
"312","Plantago"
"313","Platystemon"
"314","Poa"
"315","Pogogyne"
"316","Dysphania"
"317","Polemonium"
"318","Poliomintha"
"319","Polygala"
"320","Polygonatum"
"321","Polypodium"
"322","Portulaca"
"323","Primula"
"324","Prosartes"
"325","Prosopis"
"326","Prunus"
"327","Pterygoneurum"
"328","Eragrostis"
"329","Pycreus"
"330","Pyracantha"
"331","Pyrrocoma"
"332","Quercus"
"333","Raillardella"
"334","Ranunculus"
"335","Rorippa"
"336","Rosa"
"337","Ruellia"
"338","Rubus"
"339","Rumex"
"340","Ruta"
"341","Sagittaria"
"342","Salicornia"
"343","Salazaria"
"344","Setaria"
"345","Salvia"
"346","Sapindus"
"347","Satureja"
"348","Saxifraga"
"349","Scapania"
"350","Schistidium"
"351","Schizachne"
"352","Schizachyrium"
"353","Trichostema"
"354","Schoenus"
"355","Scolochloa"
"356","Scorzonera"
"357","Scorzoneroides"
"358","Scouleria"
"359","Scribneria"
"360","Sedum"
"361","Sematophyllum"
"362","Semele"
"363","Senecio"
"364","Senegalia"
"365","Sida"
"366","Sidalcea"
"367","Silene"
"368","Simmondsia"
"369","Simsia"
"370","Sisymbrium"
"371","Sisyrinchium"
"372","Solanum"
"373","Sphaeralcea"
"374","Solidago"
"375","Sparganium"
"376","Stachys"
"377","Spirodela"
"378","Sporobolus"
"379","Stanleya"
"380","Staphylea"
"381","Stellaria"
"382","Stenotus"
"383","Stephanomeria"
"384","Streptopus"
"385","Streptanthus"
"386","Suksdorfia"
"387","Symphoricarpos"
"388","Symphyotrichum"
"389","Synthyris"
"390","Syrmatium"
"391","Tagetes"
"392","Tephrosia"
"393","Hypnum"
"394","Tetradymia"
"395","Thalictrum"
"396","Teucrium"
"397","Tibouchina"
"398","Tolmiea"
"399","Torreyochloa"
"400","Tortula"
"401","Toxicodendron"
"402","Tradescantia"
"403","Triantha"
"404","Trillium"
"405","Tripsacum"
"406","Trisetum"
"407","Vaccinium"
"408","Veronica"
"409","Valeriana"
"410","Verbascum"
"411","Vicia"
"412","Viola"
"413","Weinmannia"
"414","Yucca"
"415","Zeltnera"
"416","Zinnia"
"417","Zizania"
"418","Abies"
"419","Abutilon"
"420","Abrus"
"421","Kyhosia"
"422","Kyllinga"
"423","Amphilophium"
"424","Acamptopappus"
