"","x"
"1","Listera"
"2","Nardostachys"
"3","Hydrastis"
"4","Dionaea"
"5","Dendrobium"
"6","Sarracenia"
"7","Hylocereus"
"8","Schlumbergera"
"9","Ptilagrostis"
"10","Asimina"
"11","Velezia"
"12","Artabotrys"
"13","Calycanthus"
"14","Liquidambar"
"15","Schedonorus"
"16","Asyneuma"
"17","Pentaphylloides"
"18","Tissa"
"19","Pickeringia"
"20","Cerasus"
"21","Bartonia"
"22","Camptothecium"
"23","Kochia"
"24","Hesperoyucca"
"25","Dendroalsia"
"26","Trichoptilium"
"27","Stutzia"
"28","Plectranthus"
"29","Achyranthes"
"30","Diplachne"
"31","Osteospermum"
"32","Pulvigera"
"33","Antheropeas"
"34","Dentaria"
"35","Crocanthemum"
"36","Lindera"
"37","Argythamnia"
"38","Petradoria"
"39","Pseudotaxiphyllum"
"40","Scurrula"
"41","Targionia"
"42","Hymenoclea"
"43","Narthecium"
"44","Tofieldia"
"45","Hainardia"
"46","Parishella"
"47","Peritoma"
"48","Acanthus"
"49","Phascum"
"50","Calliscirpus"
"51","Stegonia"
"52","Reboulia"
"53","Carissa"
"54","Atrichum"
"55","Malosma"
"56","Boerhaavia"
"57","Rulac"
"58","Astomum"
"59","Cyamopsis"
"60","Baeria"
"61","Koponeniella"
"62","Phymatoceros"
"63","Allocarya"
"64","Nyholmiella"
"65","Rhoicissus"
"66","Rhinotropis"
"67","Arum"
"68","Hura"
"69","Desmatodon"
"70","Malephora"
"71","Spartium"
"72","Isomeris"
"73","Atractylocarpus"
"74","Tessaria"
"75","Roellia"
"76","Werdermannia"
"77","Cowania"
"78","Dactylicapnos"
"79","Chamaenerion"
"80","Porothamnium"
"81","Erica"
"82","Bolelia"
"83","Crumia"
"84","Gomphocarpus"
"85","Acaena"
"86","Dodecahema"
"87","Riella"
"88","Embelia"
"89","Coronopus"
"90","Ventilago"
"91","Sibaropsis"
"92","Rumohra"
"93","Canbya"
"94","Kadsura"
"95","Godetia"
"96","Gilmania"
"97","Periballia"
"98","Pseudoziziphus"
"99","Clevea"
"100","Tillaea"
"101","Conicosia"
"102","Epimedium"
"103","Gyrothyra"
"104","Hugelia"
"105","Pseudisothecium"
"106","Psoralidium"
"107","Sinomenium"
"108","Amarella"
"109","Plecostachys"
"110","Buxbaumia"
"111","Euryale"
"112","Arisaema"
"113","Cnicus"
"114","Nestotus"
"115","Geocalyx"
"116","Dicanthelium"
"117","Alsine"
"118","Duhaldea"
"119","Sitanion"
"120","Boschniakia"
"121","Osmunda"
"122","Isopyrum"
"123","Osbeckia"
"124","Ananas"
"125","Smilacina"
"126","Condea"
"127","Atractylodes"
"128","Swallenia"
"129","Lablab"
"130","Dipogon"
"131","Anthurium"
"132","Cicendia"
"133","Sixalix"
"134","Grossularia"
"135","Siraitia"
"136","Herniaria"
"137","Stebbinsoseris"
"138","Piptatheropsis"
"139","Terminalia"
"140","Kentranthus"
"141","Ventia"
"142","Moghania"
"143","Deyeuxia"
"144","Pyrethrum"
"145","Striga"
"146","Cratoxylum"
"147","Mucuna"
"148","Peltiphyllum"
"149","Pleuraphis"
"150","Sacciolepis"
"151","Taraxia"
"152","Chrysopsis"
"153","Scorzonella"
"154","Macfadyena"
"155","Bromidium"
"156","Oryctanthus"
"157","Comarostaphylis"
"158","Trichostomopsis"
"159","Leucosyris"
"160","Polyctenium"
"161","Physcomitrella"
"162","Alloberberis"
"163","Holarrhena"
"164","Camellia"
"165","Achyronychia"
"166","Pentacalia"
"167","Distictis"
"168","Trapa"
"169","Saraca"
"170","Phormium"
"171","Radicula"
"172","Mariscus"
"173","Stokesiella"
"174","Acroptilon"
"175","Castanopsis"
"176","Glyptostrobus"
