"","x"
"1","Isoetes bolanderi"
"2","Isoetes echinospora"
"3","Isoetes howellii"
"4","Isoetes nuttallii"
"5","Isoetes occidentalis"
"6","Isoetes orcuttii"
"7","Lycopodiella inundata"
"8","Lycopodium clavatum"
"9","Selaginella asprella"
"10","Selaginella bigelovii"
"11","Selaginella cinerascens"
"12","Selaginella eremophila"
"13","Selaginella hansenii"
"14","Selaginella leucobryoides"
"15","Selaginella oregana"
"16","Selaginella scopulorum"
"17","Selaginella wallacei"
"18","Selaginella watsonii"
"19","Asplenium septentrionale"
"20","Asplenium trichomanes subsp. trichomanes"
"21","Asplenium vespertinum"
"22","Asplenium viride"
"23","Athyrium distentifolium var. americanum"
"24","Athyrium filix-femina var. cyclosorum"
"25","Azolla filiculoides"
"26","Azolla microphylla"
"27","Struthiopteris spicant"
"28","Woodwardia fimbriata"
"29","Cystopteris fragilis"
"30","Pteridium aquilinum var. pubescens"
"31","Dryopteris arguta"
"32","Dryopteris expansa"
"33","Dryopteris filix-mas"
"34","Polystichum californicum"
"35","Polystichum dudleyi"
"36","Polystichum imbricans"
"37","Polystichum imbricans subsp. curtum"
"38","Polystichum imbricans subsp. imbricans"
"39","Polystichum kruckebergii"
"40","Polystichum lemmonii"
"41","Polystichum lonchitis"
"42","Polystichum munitum"
"43","Polystichum scopulinum"
"44","Equisetum arvense"
"45","Equisetum ×ferrissii"
"46","Equisetum hyemale subsp. affine"
"47","Equisetum laevigatum"
"48","Equisetum palustre"
"49","Equisetum telmateia subsp. braunii"
"50","Marsilea oligospora"
"51","Marsilea vestita subsp. vestita"
"52","Pilularia americana"
"53","Botrychium ascendens"
"54","Botrychium crenulatum"
"55","Botrychium lineare"
"56","Botrychium lunaria"
"57","Botrychium minganense"
"58","Botrychium montanum"
"59","Botrychium paradoxum"
"60","Botrychium pinnatum"
"61","Botrychium pumicola"
"62","Botrychium simplex"
"63","Botrychium simplex var. compositum"
"64","Botrychium simplex var. simplex"
"65","Botrychium tunux"
"66","Botrychium yaaxudakeit"
"67","Botrypus virginianus"
"68","Ophioglossum californicum"
"69","Ophioglossum pusillum"
"70","Sceptridium multifidum"
"71","Polypodium californicum"
"72","Polypodium calirhiza"
"73","Polypodium glycyrrhiza"
"74","Polypodium hesperium"
"75","Polypodium scouleri"
"76","Adiantum aleuticum"
"77","Adiantum capillus-veneris"
"78","Adiantum jordanii"
"79","Adiantum shastense"
"80","Argyrochosma jonesii"
"81","Argyrochosma limitanea subsp. limitanea"
"82","Aspidotis californica"
"83","Aspidotis carlotta-halliae"
"84","Aspidotis densa"
"85","Astrolepis cochisensis"
"86","Cryptogramma acrostichoides"
"87","Cryptogramma cascadensis"
"88","Myriopteris clevelandii"
"89","Myriopteris cooperae"
"90","Myriopteris covillei"
"91","Myriopteris gracilis"
"92","Myriopteris gracillima"
"93","Myriopteris intertexta"
"94","Myriopteris newberryi"
"95","Myriopteris parryi"
"96","Myriopteris viscida"
"97","Myriopteris wootonii"
"98","Notholaena californica"
"99","Pellaea andromedifolia"
"100","Pellaea brachyptera"
"101","Pellaea breweri"
"102","Pellaea bridgesii"
"103","Pellaea mucronata"
"104","Pellaea mucronata var. californica"
"105","Pellaea mucronata var. mucronata"
"106","Pellaea truncata"
"107","Pentagramma glanduloviscida"
"108","Pentagramma maxonii"
"109","Pentagramma pallida"
"110","Pentagramma rebmanii"
"111","Pentagramma triangularis"
"112","Pentagramma viscosa"
"113","Amauropelta nevadensis"
"114","Pelazoneuron puberulum var. sonorense"
"115","Woodsia oregana"
"116","Woodsia plummerae"
"117","Woodsia scopulina"
"118","Callitropsis nootkatensis"
"119","Calocedrus decurrens"
"120","Chamaecyparis lawsoniana"
"121","Hesperocyparis abramsiana"
